filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	lmna_nwt	lmna_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_LMNA_200808_E01	200808	1	NB203	insH2Bfabp	CD15	LMNA	1	0	0	2	1	9	.9763081	1	2	7.4511763	.3062664	.28540829	.2041776	.9352992	1	4	4															224	758220	17884	31796.187	28152.887	5.69e+08	-123.4129	2.43e+08	21	3950.94	1036435	1408182	3_LMNA	1	1	1	4.3	1	1	7	.3904518	.9019402	.8103805	1.173722	.6449072	.6744897	-.7670732	-.9472499	-.0862122	-.1246971	-.4766831	-.1838047	.6275435	1.399161	1.504888	.8871465	1.028805													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_LMNA_200808_C08	200808	1	NB250	insH2Bfabp	CD15	LMNA	1	0	0	2	1	9	.9554611	1	2	6.7907041	.3743256	.33297634	.2382072	.4676496	1	2	51	232150	5527	4334	10243	3547	42	2.237e+09	1	2465831	95380	109	171	160	122	3	615844	160	16352.475	24445.796	2616396	-11663.99	-2.72e+08	13	3835.078	832273.3	1156154	3_LMNA	1	1	2	7.95	1	1	7	-.2566249	-.5686108	-.2895613	-1.580799	-1.112734	-1.166061	-.1915416	.5420468	-.8334692	.2811101	.3110992	-.4022501	-.2494273	-.7215223	-.7952457	-1.930286	-.8871465	-.7677715	-1.339746	-1.012131	-1.245046	-1.001331	.0627068	.755415	-.9457771	-1.245046	-1.012131	-1.652854	-.4008581	-.2279667
InsH2Bfabp_CD15_09dpf_VAST02_plate02_LMNA_200808_A02	200808	2	NB269	insH2Bfabp	CD15	LMNA	1	0	0	2	1	9	.9541143	1	2	7.7247501	.3062664	.26955227	.3062664	1.169124	1	21	70	525119	7096	7997	8643	2774	74	4.495e+09	1	4093708	159908	146	226	178	126	26	827954	2305	21999.148	21272.955	5.07e+07	-2676.681	-1.80e+08	180	4042.365	956836.9	1204798	3_LMNA	1	1	2	9.516666	1	1	7	.6449072	.4954916	.0953326	-.0953326	.9019402	-.5207167	.2895613	-.9472499	.134345	.8748062	-.8334692	-.1309267	.8801318	-.397259	-.397259	-.9555776	-.3422765	1.120983	1.012131	-.0411038	1.448272	.7009514	-.5005801	-.1891184	.3348942	.5625072	.6874435	-.2703575	.1443224	.1443224
InsH2Bfabp_CD15_09dpf_VAST02_plate01_LMNA_200808_G09	200808	1	NB262	insH2Bfabp	CD15	LMNA	1	0	0	2	1	9	0	0	1	12.734954	.340296	.74523275	.1361184	.389708	1	14	63	516799	8910	7133	9025	2253	58	4.651e+09	1	3812142	179285	120	234	213	146	0		0		17647.012				35	4022.37	970609.1	1347724	3_LMNA	1	1	2	8.733334	1	1	7	.5686108	.5686108	.5686108	.6063177	.4249322	.1776799	.1593188	-.1536793	-1.092054	-.9032142	2.667861	1.202508		-1.351702	-1.351702			.423225	.9457771	.9457771	.8241822	.755415	-.3186394	-.871771	.1235907	.9457771	-.31324	-.0411038	1.047038	.9784155
InsH2Bfabp_CD15_09dpf_VAST02_plate01_LMNA_200808_G01	200808	1	NB205	insH2Bfabp	CD15	LMNA	1	0	0	2	1	9	.9637242	1	2	12.294639	.3062664	.3012643	.2041776	1.2470656	1	6	6	353310	8412	6631	8850	1848	42	3.126e+09	1	2491364	124301	103	224	164	125	36	422692	2824	20622.371	23555.61	5.82e+07	-6456.83	-2.04e+08	4	3775.065	836250.9	1123181	3_LMNA	1	1	1	4.416667	1	1	7	-.5686108	-.4954916	-.5686108	-1.001768	-1.001768	-1.104836	-1.310954	-.9472499	.2316706	-.1246971	-.1633676	1.00999	-.8254945	-.3186394	-.3576728	-.8226373	-.4887764	-.7677715	-.0822773	.5625072	.4686158	-.3186394	-.3629173	-1.56892	-.8833463	-.3786901	-1.509592	-.3348942	-.2491061	.0205476
InsH2Bfabp_CD15_09dpf_VAST02_plate01_LMNA_200808_G08	200808	1	NB254	insH2Bfabp	CD15	LMNA	1	0	0	2	1	9	0	0	1	7.1209402	.3743256	.20612821	.170148	4.4426712	1	6	55	316023	5181	5007	16403	4305	61	4.963e+09	1	2897897	133715	114	217	159	129	0	573927	0		24598.432				0	3858.389	852954.1	1122717	3_LMNA	1	1	2	8.2	1	1	7	-.1915416	-.2895613	-.6063177	.1915416	-.2566249	-.2104284	-.2566249	.5420468	2.425978	-.5531617	-1.687002	-.291285	-.3690087	-1.351702	-1.351702			.5385985	-.5625072	-1.57718	-.8241822	.9345893	2.39398	1.56892	-.5625072	-.1651163	-.6362858	-.5625072	-.4916726	.3348942
InsH2Bfabp_CD15_09dpf_VAST02_plate01_LMNA_200808_A02	200808	1	NB207	insH2Bfabp	CD15	LMNA	1	0	0	2	1	9	.7115362	1	2	17.468337	.3743256	.34883235	.2041776	.779416	1	8	8	348636	8108	7346	7370	2022	43	2.442e+09	1	3164551	123253	111	252	196	96	64	357286	4991	43923.949	37307.766	2.19e+08	2365.324	-2.33e+08	0	3775.27	881964.1	1159713	3_LMNA	1	1	1	4.583333	1	1	7	-.5316958	-.0317348	-.1915416	-.5686108	-.3228149	1.574445	-.7251591	.5420468	-.3312469	-.1246971	.5869282	1.454408	-1.616156	-.0184321	-.1293777	-.2028072	-.7028602	-.5385985	-.1235907	.4686158	1.012131	-.871771	-1.072861	-1.072861	-.3348942	-.423225	-.8533908	.3786901	.8241822	-1.448272
InsH2Bfabp_CD15_09dpf_VAST02_plate01_LMNA_200808_E07	200808	1	NB244	insH2Bfabp	CD15	LMNA	1	0	0	2	1	9	1	1	2		.340296	.31712032	.1020888	.6235328	1	45	45	339463	6528	5025	12880	3233	52	4.300e+09	1	2878701	106553	141	176	153	125	70	416646	5608	33041.886	33066.121	1.85e+08	-4050.778	-2.08e+08	12	3892.017	865604.9	1164453	3_LMNA	1	1	1	7.55	1	1	7	.0953326	-.1915416	-.1272606	-.9019402	-.3904518	-.6346741	-.3904518	-.1536793	-.509093	-1.330948	.0574353		-.9982012	.0184321	-.0184321	-.3422765	-.5398714	.2069287	-.2917317	-.3348942	-.7404675	.5977601	1.23544	.3186394	-.6113263	-.9457771	.2703575	-1.339746	-.8241822	.0205476
InsH2Bfabp_CD15_09dpf_VAST02_plate01_LMNA_200808_A06	200808	1	NB235	insH2Bfabp	CD15	LMNA	1	0	0	2	1	9	1	1	2	13.83574	.2382072	.28540829	.3062664	.9352992	1	36	36	249913	4900	4021	10550	3045	51	2.676e+09	1	3114186	122504	119	264	181	89	51	626176	4475	34170.498	41522.556	1.53e+08	-11825.81	-3.58e+08	0	3874.811	851623.3	1159668	3_LMNA	1	1	1	6.6	1	1	7	-.0635016	-.3564294	-.2239646	-.7251591	-.1915416	.5578848	-.9019402	-2.073047	-.0862122	.8748062	-.4766831	1.318011	-.2104284	-.241944	-.166648	-.4389272	-1.291794	.1235907	-1.012131	-1.739384	-1.739384	-.8122178	.2318344	-.0627068	-.423225	-.5149938	-.3786901	.6362858	.2917317	-1.739384
InsH2Bfabp_CD15_09dpf_VAST02_plate01_LMNA_200808_E09	200808	1	NB260	insH2Bfabp	CD15	LMNA	1	0	0	2	1	9	0	0	1	8.3318058	.3743256	.68180869	.2041776	2.338248	1	12	61	327843	9367	6658	12089	3719	35	3.865e+09	1	3565276	149138	133	218	163	123	1		304	14893.911	16116.63	4527749	-4352.907	-1.55e+08	0	4130.613	1015649	1395725	3_LMNA	1	1	2	8.616667	1	1	7	.9506695	.7670732	.7251591	.4599256	1.001768	-.1776799	.4599256	.5420468	.962342	-.1246971	1.820373	.2104284		-.8468857	-.697813	-1.534121	-.2028072	-1.448272	-.4686158	1.339746	.5149938	.4079188	.871771	1.072861	-.0411038	.2917317	.1235907	-.5149938	-.2917317	-.1235907
InsH2Bfabp_CD15_09dpf_VAST02_plate01_LMNA_200808_E06	200808	1	NB239	insH2Bfabp	CD15	LMNA	1	0	0	2	1	9	1	1	2	5.9100746	.340296	.34883235	.2382072	.779416	1	40	40																							37	3515.596	731650.4	1054559	3_LMNA	1	1	1	6.866667	1	1	7	-1.389907	-1.580799	-.9506695	-.3904518	-1.702789	1.696752	-.4954916	-.1536793	-.3312469	.2811101	.5869282	-.6102946																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_LMNA_200808_C03	200808	1	NB216	insH2Bfabp	CD15	LMNA	1	0	0	2	1	9	1	1	2	6.6806254	.4083552	.26955227	.1020888	.6235328	1	17	17	154150	5505	5025	6570	2336	28	1.007e+09	1	1573718	77600	101	157	125	109	0	1454268	0		15685.73				0	3920.249	898218.7	1200267	3_LMNA	1	1	1	5.183333	1	1	7	.1593188	.1593188	.0635016	.2566249	-.1915416	.0160688	-1.001768	1.10959	-.509093	-1.330948	-.8334692	-.4595582	1.48947	-1.351702	-1.351702			-1.967025	-2.400036	-1.08327	-.7404675	-2.39398	-1.56892	-.8122178	-1.967025	-1.739384	-1.739384	-2.400036	-1.448272	-.8241822
InsH2Bfabp_CD15_09dpf_VAST02_plate01_LMNA_200808_G07	200808	1	NB246	insH2Bfabp	CD15	LMNA	1	0	0	2	1	9	.8994812	1	2	3.0480286	.2722368	.3964004	.1020888	.779416	1	47	47	329229	6719	7047	10710	3166	49	3.219e+09	1	3375419	139578	127	257	146	133	21	373116	1312	45859.079	40775.111	6.02e+07	649.7435	-4.40e+08	18	3871.823	883623.9	1176087	3_LMNA	1	1	1	7.683333	1	1	7	-.1272606	0	-.0953326	1.478625	-.1915416	1.851466	-1.389907	-1.648566	-.3312469	-1.330948	1.057954	-2.310991	-1.207414	-.437478	-.4991879	-.7613826	-2.368567	-.1651163	-.3786901	-.2069287	.7677715	-.1046335	.2749777	.2533471	-.2069287	0	-.102912	.423225	-1.08327	.4916726
InsH2Bfabp_CD15_09dpf_VAST02_plate01_LMNA_200808_E02	200808	1	NB211	insH2Bfabp	CD15	LMNA	1	0	0	2	1	9	1	1	2	5.4697598	.3062664	.31712032	.170148	.779416	1	12	12																							0	3875.214	869821.8	1242346	3_LMNA	1	1	1	4.833333	1	1	7	-.0317348	-.1593188	.2895613	-.8103805	-.8552639	.0482231	-.8103805	-.9472499	-.3312469	-.5531617	.0574353	-.7076435																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_LMNA_200808_G04	200808	1	NB227	insH2Bfabp	CD15	LMNA	1	0	0	2	1	9	.7805722	1	2	8.1116484	.3062664	.28540829	.0340296	0	1	28	28	282322	4785	4365	11062	3101	59	3.001e+09	2	2956768	121786	138	194	154	133	14	521908	1440	40199.918	38233.952	5.79e+07	-2333.872	-4.07e+08	3	3586.696	794321	1088563	3_LMNA	1	1	1	5.983333	1	1	7	-1.173722	-.8103805	-.7251591	-1.23942	-.5686108	-1.047494	.3228149	-.9472499	-2.425978	-2.163089	-.4766831	.1309267	-.5375191	-.5201756	-.437478	-.8871465	-1.534121	.4686158	-.7137046	-1.967025	-1.160362	-.5005801	.3629173	.146745	-.4686158	-.5625072	.1651163	-.9141163	-.7404675	.4916726
InsH2Bfabp_CD15_09dpf_VAST02_plate01_LMNA_200808_C04	200808	1	NB223	insH2Bfabp	CD15	LMNA	1	0	0	2	1	9	1	1	2	8.5519632	.340296	.52324853	.2041776	.2338248	1	24	24															0	1640734	0		12659.705				0	3929.316	933643.8	1224716	3_LMNA	1	1	1	5.733333	1	1	7	.2895613	.3564294	.1593188	.6844819	.9506695	2.069902	-.4599256	-.1536793	-1.515006	-.1246971	1.457283	.3462343	1.77585	-1.351702	-1.351702															
InsH2Bfabp_CD15_09dpf_VAST02_plate01_LMNA_200808_A05	200808	1	NB229	insH2Bfabp	CD15	LMNA	1	0	0	2	1	9	0	0	1	12.404717	.3062664	.41225642	.170148	.779416	1	30	30	374350	8706	5815	14110	3946	43	5.277e+09	1	2902124	131426	118	196	156	127	118	705826	9159	32647.024	31816.922	2.99e+08	-3130.378	-7.73e+07	0	3879.62	893478.4	1243602	3_LMNA	1	1	1	6.116667	1	1	7	.0317348	.0635016	.3228149	-.0317348	.8103805	-.4484255	-.1593188	-.9472499	-.3312469	-.5531617	1.145726	1.101146	.2104284	.4784177	.437478	.2028072	.0223825	-.5385985	.1235907	.8241822	-.0822773	1.150349	1.959964	1.330562	-.5149938	-.2069287	-.4458055	-.8241822	-.6616482	.2491061
InsH2Bfabp_CD15_09dpf_VAST02_plate01_LMNA_200808_A08	200808	1	NB248	insH2Bfabp	CD15	LMNA	1	0	0	2	1	9	1	1	2		.3062664	.28540829	.1020888	.0779416	1	49	49															0	384400	0		18109.214				28	3829.616	759912.8	1025653	3_LMNA	1	1	1	7.816667	1	1	7	-.2895613	-1.310954	-1.23942	-.2239646	-.7670732	1.232001	-.6449072	-.9472499	-1.931388	-1.330948	-.4766831		-1.13214	-1.351702	-1.351702															
InsH2Bfabp_CD15_09dpf_VAST02_plate02_LMNA_200808_C01	200808	2	NB266	insH2Bfabp	CD15	LMNA	1	0	0	2	1	9	.8790839	1	2	18.015107	.340296	.28540829	.1020888	2.9617808	1	18	67	821044	7533	6531			109		1	8324769	309123	166	289	260	177									0	4537.832	1201269	1653272	3_LMNA	1	1	2	9.316667	1	1	7	2.075128	2.075128	2.075128	1.857141	2.075128	.3101982	1.389907	-.1536793	1.308099	-1.330948	-.4766831	1.624981						1.967025	1.967025	.2069287	.3348942				2.400036	2.400036	1.739384	1.245046	2.400036	2.400036
InsH2Bfabp_CD15_09dpf_VAST02_plate01_LMNA_200808_A09	200808	1	NB256	insH2Bfabp	CD15	LMNA	1	0	0	2	1	9	0	0	1	18.348967	.2382072	.3012643	.3743256	2.4941312	1	8	57	368620	7228	7539	12411	3166	51	4.380e+09	1	4398434	156096	105	280	221	158	1	1045446	32	32496.281	21111.981	1039881	7989.939	-2.27e+08	2	4177.542	1030244	1413087	3_LMNA	1	1	2	8.333333	1	1	7	1.173722	.8552639	.8552639	1.112734	1.055626	-.0804273	-.0317348	-2.073047	1.008995	1.612422	-.1633676	1.862732	1.290233	-.8468857	-.9008895	-2.368567	-.5924169	.1235907	.0411038	.0822773	1.120983	.6484922	1.001331	.2533471	.4686158	.5149938	-1.120983	.9784155	1.57718	1.739384
InsH2Bfabp_CD15_09dpf_VAST02_plate02_LMNA_200808_A03	200808	2	NB274	insH2Bfabp	CD15	LMNA	1	0	0	2	1	9	0	0	1		.340296	.34883235	.2041776	2.0264816	1	26	75	451103	9022	8706	7825	2542	50	3.492e+09	2	4436292	176153	132	260	191	126	159	526124	14396	37672.029	33458.44	5.42e+08	166.2991	1.43e+08	45	3876.518	911721.8	1267005	3_LMNA	1	1	2	9.85	1	1	7	0	.1915416	.4249322	-.4599256	-.9506695	.8010945	.7670732	-.1536793	.7547789	-.1246971	.5869282		-.4941332	.7702081	.7952457	.7613826	.6466521	-.0205476	.5625072	1.08327	1.967025	.1046335	-.755415	-.4079188	.5149938	.8833463	.0822773	.4916726	.6616482	.1443224
InsH2Bfabp_CD15_09dpf_VAST02_plate01_LMNA_200808_E05	200808	1	NB233	insH2Bfabp	CD15	LMNA	1	0	0	2	1	9	1	1	2	11.414009	.3062664	.3012643	.170148	.2338248	1	34	34	340645	5976	5348	8619	3060	57	2.974e+09	2	4559379	143857	161	278	178	114	60	713528	5117	29750.161	28661.702	1.52e+08	-2705.161	-1.80e+08	24	4104.453	1007395	1437491	3_LMNA	1	1	1	6.383333	1	1	7	.8103805	.6844819	.9506695	.6449072	.7670732	.8462095	.4249322	-.9472499	-1.515006	-.5531617	-.1633676	.9265376	.2888094	-.0553215	-.0553215	-.4887764	-.390146	.3567066	-.2491061	-.6113263	-.423225	-.5485223	-.5485223	.0208901	.5625072	.0411038	1.448272	.8833463	.1443224	-.5867419
InsH2Bfabp_CD15_09dpf_VAST02_plate01_LMNA_200808_G03	200808	1	NB220	insH2Bfabp	CD15	LMNA	1	0	0	2	1	9	.8109621	1	2		.340296	.19027219	.0340296	.1558832	1	21	21																							0	3886.395	792496.6	1062679	3_LMNA	1	1	1	5.45	1	1	7	.0635016	-.8552639	-.9019402	.7251591	-2.493243	.7575541	-2.075128	-.1536793	-1.687002	-2.163089	-1.872998																			
InsH2Bfabp_CD15_09dpf_VAST02_plate01_LMNA_200808_C07	200808	1	NB242	insH2Bfabp	CD15	LMNA	1	0	0	2	1	9	1	1	2		.3062664	.31712032	.1361184	.5455912	1	43	43	209990	5675	6024	11674	2956	37	2.171e+09	1	1917542	82294	114	171	124	114	135	471928	10535	33207.521	29917.44	3.50e+08	-569.9474	-156107.2	0	3763.475	846882.9	1082851	3_LMNA	1	1	1	7.416667	1	1	7	-.6449072	-.4599256	-.7670732	.3904518	.3395742	-2.069902	-2.493243	-.9472499	-.6330246	-.9032142	.0574353		-.6744897	.5628612	.5201756	.3422765	.3422765	-1.290949	-1.739384	-.8833463	.0411038	-1.150349	.5485223	-.146745	-1.448272	-1.57718	-.6362858	-1.652854	-1.57718	-.5867419
InsH2Bfabp_CD15_09dpf_VAST02_plate01_LMNA_200808_F03	200808	1	NB219	insH2Bfabp	CD15	LMNA	1	0	0	2	1	9	.9859803	1	2	4.3689729	.3062664	.36468837	.0680592	.6235328	1	20	20	401083	8913	7603	9745	2569	45	3.800e+09	1	3380674	122625	143	179	168	134									0	3924.355	817902.8	1151025	3_LMNA	1	2	1	5.383333	2	1	7	.2239646	-.7251591	-.3564294	-2.075128	.0317348	-.3784071	1.580799	-.9472499	-.509093	-1.820373	.8470871	-1.101146						-.3348942	.2491061	1.012131	1.245046	.3186394	-.146745	-.3629173	-.1651163	-.4686158	.4686158	-1.245046	-.1651163	.6113263
InsH2Bfabp_CD15_09dpf_VAST02_plate02_LMNA_200808_E02	200808	2	NB273	insH2Bfabp	CD15	LMNA	1	0	0	2	1	9	1	1	2	10.237512	.4083552	.34883235	.2382072	1.2470656	1	25	74															75	422278	6551	33862.781	32274.023	2.22e+08	-2395.896	-1.61e+08	0	3957.136	939400.9	1220215	3_LMNA	1	2	2	9.783334	2	1	7	.4249322	.4249322	.1272606	.3564294	.1272606	-.9420758	-.2239646	1.10959	.2316706	.2811101	.5869282	.7764218	-.8801318	.1293777	.0922863	-.1573107	-.2487277													
InsH2Bfabp_CD15_09dpf_VAST02_plate02_LMNA_200808_B03	200808	2	NB275	insH2Bfabp	CD15	LMNA	1	0	0	2	1	9	1	1	2		.5785032	.36468837	.340296	1.3250072	1	27	76	371259	5229	4212	11767	4616	71	3.945e+09	1	4663865	144560	156	281	180	101	73	371838	5907	29509.985	30675.581	1.74e+08	-5065.718	-1.86e+08	22	3727.123	831734.9	1072473	3_LMNA	1	2	2	9.916667	2	1	7	-.7670732	-.6063177	-.8103805	-.8552639	-.0317348	-.5958401	.5316958	2.425978	.3110992	1.222883	.8470871		-1.290233	.0553215	.0184321	-.390146	-.4389272	.9457771	.0822773	-1.448272	-1.448272	.4537622	.5977601	1.731664	.8241822	.0822773	1.120983	1.120983	.2279667	-1.201627
