filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	N84_nwt	phlpp1_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_C08	210125	1	NI953	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	1	1	3	11.540163	.7486512	.44396845	.2722368	2.1044232	1	43	43															174	822298	13439	4501.5913	3941.2676	6.05e+07	94.57236	3.14e+07	0	3984.545	1172124	1373086	51_PHLPP1	1	1	1	11.25	1	1	4	.3232857	1.65172	.5570917	2.455101	2.031014	-1.072307	-1.090797	.8266231	.5631492	-.4307273	.8416212	.0329879	1.14229	1.451407	1.451407	1.361571	1.451407													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_C07	210125	1	NI950	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	1	1	3	11.96798	.5785032	.38054438	.2722368	2.338248	1	40	40															96	698171	8511	4000.5998	3727.9486	3.40e+07	-166.9916	8124528	0	3915.793	975484	1360689	51_PHLPP1	1	1	1	11.01667	1	1	4	-.035312	.3232857	.3986639	.035312	.2497032	-.1502124	-.4108815	.3232857	.6433454	-.4307273	.6027625	.1824072	.3763366	.5631492	.6640369	.5631492	.5244005													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_E05	210125	1	NI939	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	1	1	3	8.438493	.6125328	.17441618	.4083552	.8573576	1	29	29	178714	4964	4980	11029	4664	36	1.984e+09	2	1143445	58835	88	182	104	83	55	689682	4272	4199.0892	3775.4671	1.79e+07	-21.83655	-8689968	11	3815.909	869971.3	1231774	51_PHLPP1	1	1	1	10	1	1	4	-.4371924	-.7309843	-.2497032	-1.045537	-.5988157	.1881663	.4507442	.5163159	-.3054808	.6027625	-.7949086	-.8276041	.3406948	-.167894	-.2018935	-.1004337	-.4864239	-.9420758	-.6445316	-.3697907	.2186495	.0723697	1.496147	1.898029	-1.663793	-1.663793	-1.496147	-.9051525	-1.663793	-1.496147
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_G02	210125	1	NI922	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	1	1	3	8.7593554	.2041776	.28540829	.2041776	.9352992	1	12	12	155972	3545	3619	2814	858	44	4.234e+08	1	2374015	94925	89	248	185	103	28	482588	2027	3180.813	2822.1411	6447508	29.89313	-6059170	11	3503.162	851742.9	988643.2	51_PHLPP1	1	1	1	8.516666	1	1	4	-1.809183	-.8773774	-1.809183	.9863861	-2.455101	.1124738	-1.51239	-1.375379	-.2189787	-.9944579	.1509692	-.6953402	-.9153651	-.8902469	-1.14229	-1.451407	-.2706416	-.2933812	-1.061503	-1.496147	-1.249346	-1.663793	-1.898029	-1.898029	-.5299395	-.4752407	-1.362383	.3957253	1.020076	-.6151411
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_E08	210125	1	NI955	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	1	1	3	9.4010803	.4423848	.50739251	.2382072	.779416	1	45	45	176962	4916	4089	7620	2365	36	1.371e+09	1	2364161	91536	122	249	141	74	58	522528	5084	4422.3859	3496.9117	2.25e+07	514.1086	-18772.1	17	3916.784	883309.9	1231236	51_PHLPP1	1	1	1	11.38333	1	1	4	0	-.4763812	-.2863006	.3607185	-1.331275	.3833065	-.3716615	-.267957	-.4124631	-.7279133	1.022241	-.5549229	-.6027625	-.1004337	-.0334279	.0334279	.167894	-.9420758	-.7683021	-.4219289	-.8347719	-.5862727	.1208042	.1695239	-.6445316	-.6445316	-.0482231	.5024022	-.7683021	-1.898029
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_A08	210125	1	NI951	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	0	0	1	16.139192	.7826808	.52324853	.4423848	2.4161896	1	41	41															41	665644	3364	3095.0363	2915.2875	1.04e+07	-160.4305	-3474772	4	3876.176	978265.4	1331560	51_PHLPP1	1	1	1	11.11667	1	1	4	-.2134373	.3607185	.2134373	-.5163159	.4566991	1.072307	-.2948402	.9863861	.7279133	.9410746	1.14229	1.150349	.167894	-.4676988	-.3763366	-.6850168	-.0334279													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_E02	210125	1	NI920	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	0	0	1	11.112347	.7826808	.3964004	.3062664	2.8058976	1	10	10	347611	6207	5176	5770	1821	56	1.973e+09	1	4361984	153988	153	246	187	107	152	764820	12970	4620.2768	4089.0053	5.99e+07	47.43811	2.87e+07	0	3903.952	973405.4	1324950	51_PHLPP1	1	1	1	8.383333	1	1	4	-.070668	.2497032	.1416912	.6416095	-.2497032	.2649541	-.6631314	.9863861	1.20899	-.1340876	.6850168	-.1156944	.6850168	1.20899	1.281552	1.281552	1.281552	.5578848	.8347719	.9051525	.4752407	.0241045	-.5862727	-.5299395	.8347719	.9803303	1.362383	.2933812	1.19838	-.3186394
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_G06	210125	1	NI948	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	1	1	3	5.9785474	.2382072	.07928008	.2041776	1.169124	1	38	38	157153	4365	4668	8948	3100	36	1.292e+09	1	1833095	75194	90	197	146	115	60	511150	4560	3764.6925	3230.3671	1.72e+07	155.5829	-1386809	16	3479.862	753123.8	985742.2	51_PHLPP1	1	1	1	10.73333	1	1	4	-2.031014	-2.031014	-2.031014	-1.176396	-1.65172	-.4651961	.145827	-1.212419	-.0668933	-.9944579	-2.053749	-1.937932	-.7279133	-.0668933	-.1004337	-.2018935	0	-.9420758	-.9803303	-.9051525	-.1208042	-.6445316	.8347719	.9051525	-.9803303	-.9803303	-1.249346	-.6151411	-.5862727	.3697907
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_C04	210125	1	NI931	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	0	0	1	12.502751	.6125328	.22198422	.4083552	.5455912	1	21	21															125	699984	10350	4403.7066	4006.8376	4.56e+07	-76.9077	1.55e+07	17	3890.64	964478.1	1366416	51_PHLPP1	1	1	1	9.433333	1	1	4	-.1416912	.1416912	.4371924	-.2134373	.5163159	.6396686	.9674216	.5163159	-.7498695	.6027625	-.2533471	.3888753	.4124631	1.050837	1.080319	.9674216	1.022241													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_E06	210125	1	NI946	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	1	1	3	28.225011	.5785032	.60252861	.3743256	1.94854	1	36	36	331509	5525	4946	7704	2705	60	2.602e+09	2	5032679	148215	163	349	147	111	120	794013	9644	4121.0558	3622.2232	3.97e+07	72.12982	1.54e+07	6	3993.211	955849.9	1325832	51_PHLPP1	1	1	1	10.6	1	1	4	.3607185	-.035312	.17745	.070668	-.035312	1.497249	-1.31531	.3232857	.4307273	.3763366	1.361571	2.479467	.9674216	.9674216	1.022241	.8180418	.9153651	.8010945	.5862727	.0241045	.1208042	.5299395	.3186394	.6445316	1.362383	.6445316	1.898029	2.341027	-.5299395	.0241045
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_H01	210125	1	NI916	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	1	1	3	7.796768	.2722368	.23784024	.2041776	.9352992	1	6	6	192606	4815	4256	6273	1797	40	1.291e+09	1	2213928	91827	93	229	153	110	76	406519	6464	5085.1553	4195.1932	3.29e+07	393.1321	24484.97	55	3691.649	874412.6	1070215	51_PHLPP1	1	2	1	8.033334	2	1	4	-.9304992	-.5163159	-1.176396	.3986639	.3986639	.5503351	-1.796193	-1.108593	-.2189787	-.9944579	-.1340876	-1.25212	-1.833915	.236128	.2706416	.4491363	.2018935	-.6151411	-.5862727	-.5299395	-.6445316	-.7050659	-.4219289	-.5862727	-.7050659	-.5862727	-1.020076	-.1451209	-.2186495	-.0482231
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_H05	210125	1	NI942	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	1	1	3	7.796768	.4764144	.22198422	.4423848	.4676496	1	32	32	265006	4077	3518	6523	2259	65	1.767e+09	1	3262526	132087	102	327	171	122	75	454320	6239	3927.334	3694.2422	2.45e+07	-202.4255	-922640.2	30	3755.655	749265.8	1058342	51_PHLPP1	1	2	1	10.2	2	1	4	-.7309843	-2.455101	-1.331275	-.1061127	-1.809183	.7843482	-.9674216	0	-.9410746	.9410746	-.2533471	-1.25212	-1.20899	.184867	.1340876	.1340876	.1004337	1.150349	-.2186495	-1.249346	-1.496147	-.0723697	-.2683089	-.0241045	.0241045	.3697907	-.5578848	1.663793	.1695239	.7363159
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_B02	210125	1	NI918	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	1	1	3	16.032238	.85074	.44396845	.8167104	2.1044232	1	8	8															224	951726	18473	5677.4605	4491.9536	1.05e+08	652.3556	6.76e+07		4325.07	1384002	1386783	51_PHLPP1	1	2	1	8.183333	2	1	4	1.527002	2.031014	.6856121	2.031014	1.422333	-1.29875	-.2197229	1.250087	.5631492	2.47474	.8416212	1.059277	1.833915	1.833915	1.833915	1.833915	2.053749													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_H03	210125	1	NI928	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	0	0	1	15.176605	.1020888	.14270414	.1020888	.6235328	1	18	18	421511	6022	4595	6719	1907	70	2.806e+09	1	4465737	179117	139	246	187	133	65	781438	6801	3386.172	3006.8257	2.30e+07	27.9635	7786910	0	3941.795	990931.1	1387381	51_PHLPP1	1	2	1	9.1	2	1	4	.1416912	.4371924	.7309843	1.422333	.5988157	1.29875	0	-1.65172	-.5828415	-1.281552	-1.281552	.8276041	.8656782	.0167116	.3406948	.0668933	.4864239	1.898029	1.663793	.6445316	-.2186495	.9051525	-.2186495	-.4752407	.9051525	1.663793	.5578848	.2933812	1.19838	1.249346
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_B01	210125	1	NI912	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	1	1	3	12.395797	.6125328	.50739251	.0680592	.5455912	1	2	2	278169	6182	5449	5282	1538	45	1.561e+09	1	2425071	102280	129	176	157	109	103	611076	7616	4583.8722	3945.7373	3.49e+07	171.8365	5760051	11	4010.084	974347.6	1349609	51_PHLPP1	1	2	1	7.683333	2	1	4	.3986639	.2863006	.2863006	-.3607185	.3419422	.4238958	-.0727199	.5163159	-.7498695	-1.678071	1.022241	.3360381	-.1004337	.8180418	.4864239	.6433454	.4491363	-.1940281	.0723697	.8347719	.7050659	-.3186394	-.6445316	-.7683021	-.4219289	-.3697907	.1208042	-.9803303	-.1695239	-.1451209
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_H04	210125	1	NI935	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	0	0	1	8.0106764	.340296	.28540829	.340296	.5455912	1	25	25	276514	6284	4530	4989	1519	44	1.437e+09	2	3753649	123343	122	322	134	105	32	315046	2587	2640.6065	2481.0827	6831249	-127.512	-623265.9	90	3716.939	900312.2	1094634	51_PHLPP1	1	2	1	9.666667	2	1	4	-.8266231	-.2134373	-.9863861	.3232857	-.070668	.1502124	-2.019086	-.851726	-.7498695	.1340876	.1509692	-1.059277	-2.47474	-.6850168	-.8180418	-1.361571	.1340876	-.2933812	.0241045	.9803303	-.2683089	-.5299395	-.7050659	-.8347719	.5299395	.0241045	-.0482231	1.426077	-.9051525	-.4484255
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_F02	210125	1	NI921	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	0	0	1	19.347817	1.1229768	.14270414	.5785032	3.117664	1	11	11	400063	5883	5640	7684	2358	68	2.846e+09	1	5128674	165862	144	221	195	141	99	887654	8511	3569.801	3659.2585	3.04e+07	-520.6932	5475519	17	4377.201	1165918	1582571	51_PHLPP1	1	2	1	8.433333	2	1	4	2.031014	1.527002	2.031014	1.250087	1.331275	1.623523	.8572543	1.809183	1.833915	2.053749	-1.281552	1.839855	1.361571	.6229257	.6640369	.3406948	.4124631	1.663793	1.362383	.4219289	1.150349	1.150349	.2186495	.1208042	1.898029	1.249346	.8694237	-.3186394	1.496147	1.663793
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_D08	210125	1	NI954	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	0	0	1	8.0106764	.4764144	.31712032	.3062664	1.0132408	1	44	44	303934	5845	5572	9564	2205	52	2.807e+09	1	2795574	132002	114	193	179	116	99	481258	7007	4004.7377	3271.5751	2.81e+07	349.3764	8896967	0	3951.823	872947.1	1252021	51_PHLPP1	1	2	1	11.31667	2	1	4	.2134373	-.5570917	-.1416912	.5570917	-.5570917	.5944087	.0363359	0	-.1509692	-.1340876	.4124631	-1.059277	-.9674216	.6229257	.4124631	.3054808	.6433454	.2683089	.3697907	.3697907	.9803303	.9803303	1.104836	-.2186495	-.2683089	.3186394	-.2933812	-.7683021	.6151411	.4484255
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_H06	210125	1	NI949	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	1	1	3	7.4759056	.4423848	.12684813	.1020888	.3117664	1	39	39	269540	5615	5968	5859	2143	48	1.606e+09	2	3415577	120687	152	229	148	125	15	518240	1690	2835.3012	2551.1227	4791659	-11.42975	-3700373	7	3627.129	764024.9	1082926	51_PHLPP1	1	2	1	10.8	2	1	4	-1.250087	-1.65172	-1.108593	-1.809183	-1.422333	.5073057	-.0363359	-.267957	-1.405072	-1.281552	-1.678071	-1.368829	-.6433454	-1.554774	-1.361571	-1.554774	-.1004337	-.0241045	-.1695239	.1695239	1.362383	-.2186495	-.5299395	-.4219289	.1695239	-.0723697	1.249346	-.1451209	-.4484255	.9420758
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_B03	210125	1	NI924	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	1	1	3	16.032238	.8167104	.38054438	.510444	2.4161896	1	14	14	288931	6019	4281	2127	596	48	6.497e+08	1	2851347	118672	141	204	143	123	72	472306	5880	1619.4881	1387.0156	9522590	79.3422	1.83e+07	1	4268.96	1029242	1455495	51_PHLPP1	1	2	1	8.666667	2	1	4	1.331275	.7309843	1.176396	1.331275	1.250087	-.2649541		1.108593	.7279133	1.451407	.6027625	1.059277	-1.080319	.1340876	.1004337	-.8180418	1.14229	-.0241045	.1695239	.5862727	-.5862727	-1.150349	-2.341027	-2.341027	-.1695239	-.1695239	.7050659	-.4752407	-.6744897	.8347719
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_D05	210125	1	NI938	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	0	0	1	16.994825	1.191036	.87208088	.510444	2.727956	1	28	28															100	974974	8824	3715.1011	3337.3434	3.28e+07	-14.078	1.26e+07	0	4487.403	1230144	1629256	51_PHLPP1	1	2	1	9.95	2	1	4	2.455101	1.809183	2.455101	1.108593	1.809183	1.782751	1.51239	2.455101	1.080319	1.451407	2.053749	1.327902	2.47474	.6850168	.8656782	.4124631	.8180418													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_F03	210125	1	NI927	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	1	1	3	9.828897	.5785032	.19027219	.4083552	.779416	1	17	17	401177	6368	5522	10000	3619	63	3.676e+09	1	3638924	135840	135	248	172	100	29	635242	2831	3024.2395	2975.5357	8561622	-298.8494	-6217320	26	4023.014	971311.9	1351717	51_PHLPP1	1	2	1	9	2	1	4	.4371924	.2134373	.3232857	-.3232857	-.17745	.0748947	.3330051	.3232857	-.4124631	.6027625	-.5631492	-.4610861	.0334279	-.7721932	-.6850168	-.9153651	-.3054808	.9803303	1.496147	1.061503	.8347719	2.341027	1.249346	1.249346	.4219289	.4752407	.3697907	.3957253	.2434042	-.7050659
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_D04	210125	1	NI932	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	1	1	3	16.994825	.85074	.90379291	.4423848	2.8058976	1	22	22															184	936292	14674	5026.6912	4702.6467	7.38e+07	-234.894	3.34e+07	0	4341.077	1108437	1523444	51_PHLPP1	1	2	1	9.483334	2	1	4	1.65172	1.176396	1.65172	.6856121	1.108593	.2263933	.2948402	1.250087	1.20899	.9410746	2.47474	1.327902	1.678071	1.554774	1.554774	1.678071	1.554774													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_F04	210125	1	NI933	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	1	1	3	9.4010803	.4423848	.41225642	.2722368	1.6367736	1	23	23	195478	4546	4144	12278	3722	43	2.425e+09	1	1754311	80146	117	155	132	105	62	539080	4422	3974.6814	3434.3591	1.76e+07	136.6126	-3999540	6	3770.859	842471.6	1156572	51_PHLPP1	1	2	1	9.566667	2	1	4	-.5988157	-.9304992	-.7309843	-.8773774	-.6416095		-.4913366	-.267957	.2018935	-.4307273	.7498695	-.5549229	-.5244005	-.0334279	-.1340876	-.1340876	-.1340876	-.3697907	-.5299395	-.7050659	-.7050659	.3697907	1.898029	1.496147	-1.061503	-.8347719	-.2186495	-1.496147	-.9803303	-.4484255
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_B08	210125	1	NI952	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	1	1	3	15.81833	.9528288	.76108877	.4764144	2.9617808	1	42	42	315433	7693	7044	7790	2532	41	2.579e+09	2	2932844	105313	100	253	213	114	17	858780	1426	6187.0245	5020.2147	8822697	569.0035	-3.62e+07	0	4073.972	1007305	1398163	51_PHLPP1	1	2	1	11.18333	2	1	4	.5988157	.5988157	.8266231	1.527002	.6416095	-.6862788	-.3330051	1.65172	1.613358	1.244452	1.678071	.9500138	1.20899	-1.451407	-1.554774	-.8656782	-2.47474	-.5024022	.5299395	1.663793	2.341027	.4752407	.4219289	.4752407	-.1208042	-.3186394	-.7363159	.6151411	1.898029	.2683089
