filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	wtKITAT1	inframeKITAT1	frameshiftKITAT1	wtKITAT5	inframeKITAT5	frameshiftKITAT5	gcg_dich	qRNA	WT_KITA	mutant_KITA	KITA_confirmed	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GCG_211007_A01	211007	1	NS336	insH2Bfabp	CD15	GCG	1	0	0	2	1	10	1	0	0	0	1	0	0	1	5		1	13.232072	.0340296	.14270414	.170148	.3117664	1	1	1	223451	4858	3705	6289	2570	46	1.508e+09	1	2899531	112770	97	244	176	144	182	454281	13080	32344.154	26178.573	4.23e+08	891.0932	-1.36e+08	8	3833.604	844505.3	1204065	95_GCG	1	1	1	2.316667	1	1	5	-.0223825	-.5244005	-.0671924	1.392945	-.7028602	-.295179	-1.085325	-1.65172	-2.455101	-.7542415	-.4784177	.5778279	-.4526599	-.2410404	-.4972006	.4526599	-1.357561	.0896424	.0223825	-.0223825	-.6466521	-.390146	-.8226373	-.3422765	.1121376	.0223825	-.920823	.5398714	.4887764	1.534121
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GCG_211007_H01	211007	1	NS343	insH2Bfabp	CD15	GCG	1	0	0	2	1	10	1	0	0	0	1	0	0	1	5		1	8.4713729	.1020888	.19027219	.2722368	1.0132408	1	8	8	152327	3173	3417	4749	1865	48	7.410e+08	1	2509751	110877	118	184	156	125									45				95_GCG	1	2	1	2.925	2	1	5								-.1238823	.2863006	-.1238823	.0553215	-.8773774						.1573107	-.9555776	-1.291794	-1.028805	-1.194857	-1.291794	-.9555776	-.295179	-.1121376	.0896424	-1.028805	-.0671924	.7613826
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GCG_211007_H05	211007	1	NS367	insH2Bfabp	CD15	GCG	1	0	0	2	1	10	1	0	0	0	.41511387	.58488613	0	1	5		1	27.735597	.1361184	1.0623531	.4083552	1.558832	1	32	32															255	846594	18621	19191.585	15660.271	3.57e+08	101.3167	6.18e+07	14	4543.949	1208760	1642116	95_GCG	1	2	1	4.9	2	1	5	1.930286	1.524945	1.930286	.3730773	1.699178	.4887764	1.27107	.6634502	1.331275	.777914	2.439542	2.455101	1.179761	.7383242	.6374841	.0397983	.7916386													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GCG_211007_B03	211007	1	NS352	insH2Bfabp	CD15	GCG	1	0	0	2	1	10	0	1	0	1	0	0	1	5		1	1	22.642756	.1361184	.61838462	.6125328	2.1044232	1	17	17															262	1070906	19192	29626.324	26200.741	5.69e+08	-1852.792	9146176	0	4702.282	1351657	1788138	95_GCG	1	2	1	3.7	2	1	5	2.368567	2.361894	2.368567	.422408	2.368567	1.930286		.6634502	2.031014	2.455101	1.399161	1.809183	2.411822	.9057289	.9057289	1.179761	.2410404													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GCG_211007_D02	211007	1	NS347	insH2Bfabp	CD15	GCG	1	0	0	2	1	10	1	0	0	0	.64114832	.35885167	0	1	5		1	11.571363	.0340296	.23784024	.1361184	.779416	1	12	12	261306	6077	5255	11023	3916	43	3.084e+09	1	2864037	118311	111	234	149	110	272	596664	19073	40642.535	35259.891	7.75e+08	-1484.345	-1.11e+07	13	3933.402	875145.3	1264822	95_GCG	1	2	1	3.25	2	1	5	.1573107	-.2298841	.0671924	-.3730773	-.5398714	1.402673	-.9310033	-1.65172	.0176532	-.9304992	.5201756	.035312	.4526599	1.033036	.8473045	1.980752	0	-.1800124	.6466521	.9555776	.7028602	1.028805	.7028602	.9555776	.0223825	.295179	-.27188	.2257079	-.295179	0
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GCG_211007_D06	211007	1	NS371	insH2Bfabp	CD15	GCG	1	0	0	2	1	10	.38290155	0	.61709845	1	0	0	1	5		1	1	11.017793	.0680592	.8879369	.4764144	1.4029488	1	36	36	258537	5620	4673	8650	3286	46	2.247e+09	1	3515746	121285	153	230	150	124	270	587682	21384	22219.999	18544.22	4.75e+08	-259.9474	1.07e+08	66	4226.843	1010461	1478299	95_GCG	1	2	1	5.15	2	1	5	.9555776	.5244005	.9555776	.5774487	.8871465	1.291794	2.355084	-.9036195	.9580686	1.422333	1.789531	-.070668	.2822162	.9674216	1.263668	.6374841	1.103428	.0896424	.5924169	.4887764	.390146	.295179	-.0671924	.4887764	.4887764	.3422765	1.345167	.1121376	-.2487277	.7028602
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GCG_211007_F02	211007	1	NS349	insH2Bfabp	CD15	GCG	1	0	0	2	1	10	0	1	0	1	0	0	1	5		1	1	8.0285172	.0340296	.19027219	.170148	.5455912	1	14	14	114257	3088	3542	3926	880	37	4.056e+08	1	1482191	65433	91	212	124	89	126	362448	7200	17191.082	14328.397	1.24e+08	-333.7559	-1.38e+08	58				95_GCG	1	2	1	3.45	2	1	5								-1.65172	-1.045537	-.7542415	.0553215	-1.045537	-1.754382	-1.033036	-1.179761	-1.263668	-1.465234	-.6466521	-1.108011	-1.402673	-.8871465	-1.534121	-1.699178	-2.368567	-1.291794	-1.291794	-1.291794	-.295179	-1.028805	-1.067571
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GCG_211007_B05	211007	1	NS361	insH2Bfabp	CD15	GCG	1	0	0	2	1	10	1	0	0	0	1	0	0	1	5		1	14.782067	.1361184	.41225642	.5444736	1.4808904	1	26	26															237	763854	17794	21604.476	17530.927	3.84e+08	315.5134	4.20e+07	36	4307.778	1082731	1547579	95_GCG	1	2	1	4.466667	2	1	5	1.402673	.9434426	1.402673	.6888636	1.402673	.1121376	-.1163093	.6634502	1.176396	2.031014	1.186831	.9863861	1.103428	.5894558	.4972006	.2002695	.5894558													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GCG_211007_F06	211007	1	NS373	insH2Bfabp	CD15	GCG	1	0	0	2	1	10	.1013849	.09250065	.80611445	1	0	0	1	5		1	1	9.910654	.1361184	.23784024	.3743256	.5455912	1	38	38	299723	4611	4573	10310	2897	65	3.023e+09	1	3677172	143767	122	235	195	112	230	465376	16704	11533.281	9759.0322	1.93e+08	-620.9069	4.48e+07	37	4051.219	893971.9	1289241	95_GCG	1	2	1	5.3	2	1	5	.4887764	-.137154	.2028072	-.0912767	.390146	.7028602	.4563363	.6634502	-1.045537	.4962496	.5201756	-.4371924	-.3661064	.409	.2822162	-.7916386	.6870306	1.194857	.8871465	-.295179	.295179	.9555776	.4389272	-.0223825	.6466521	.8871465	.3186394	.3661064	1.150349	.2028072
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GCG_211007_D03	211007	1	NS354	insH2Bfabp	CD15	GCG	1	0	0	2	1	10	.16825776	.16348449	.66825776	1	0	0	1	5		1	1	11.682077	.0680592	.15856016	.0340296	.779416	1	19	19															295	647614	20889	28820.617	25099.517	6.02e+08	-1364.164	7.02e+07	26	3757.421	856363.5	1200028	95_GCG	1	2	1	3.866667	2	1	5	-.2487277	-.3730773	-.1121376	-1.281552	.1573107	-1.402673	.3554904	-.9036195	.0176532	-1.809183	-.2993069	.070668	.6870306	1.357561	1.033036	1.465234	.9674216													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCG_211027_G01	211027	1	NS824	insH2Bfabp	CD15	GCG	1	0	0	2	1	9	.11148087	.05712701	.83139212	.98004288	.01995712	0	1	5		1	1	9.2544765	.0680592	.17441618	.2722368	.7014744	1	47	47	55971	2665	1511	7690	2188	21	4.348e+08	2	415293	30348	64	106	92	58	93	380738	6034	23611.504	16901.139	1.42e+08	3062.769	-1.84e+08	16	3351.597	738573.9	1016636	95_GCG	2	3	3	3.5	3	2	5	-1.930286	-1.690622	-1.291794	-.0455908	-.9555776	-.5398714	-.7339767	-.9036195	-.2134373	-.1238823	-.1479871	-.5988157	-1.263668	-1.357561	-1.754382	-1.033036	-2.411822	-1.699178	-1.930286	-1.699178	-2.368567	-1.402673	-.390146	-.7613826	-1.930286	-1.930286	-1.930286	-2.100166	-1.930286	-1.802743
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCG_211027_D01	211027	1	NS821	insH2Bfabp	CD15	GCG	1	0	0	2	1	9	.18006431	0	.81993569	1	0	0	1	5		1	1	12.883621	.2041776	.20612821	.340296	1.0911824	1	44	44	249461	4620	4989	13490	4199	54	3.139e+09	1	2778684	129322	115	203	195	106	89	434113	6444	21521.249	15495.869	1.39e+08	2624.211	-1.53e+08	445	4191.052	950406.8	1324666	95_GCG	2	3	3	3.183333	3	2	5	.8226373	.1833219	.295179	-1.184125	.2028072	1.194857	.5620615	1.65172	.4178506	.2863006	.2800857	.4371924	-.7383242	-1.465234	-1.357561	-1.103428	-1.754382	.6193067	.390146	-.2487277	.4887764	1.108011	1.699178	1.291794	-.0671924	.4887764	-.1346898	-.4887764	1.150349	-.1573107
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCG_211027_D02	211027	1	NS828	insH2Bfabp	CD15	GCG	1	0	0	2	1	9	1	0	0	0	.42407057	.57592943	0	1	5		1	13.703105	.0340296		.4083552	1.169124	1	2	51	274339	7621	6391	7050	2681	36	1.911e+09	1	2947000	116657	109	245	165	117	244	732381	18947	28497.295	22334.711	5.40e+08	1562.156	7.73e+07	15	4345.075	1121446	1492685	95_GCG	2	3	4	4.033333	3	2	5	1.534121	1.281552	1.108011	-.8095796	.9555776	.8871465	.4053977	-1.65172	.5988157	.777914		.7542415	.9057289	.6870306	.7383242	.8473045	1.033036	-.7916386	.7613826	1.930286	1.930286	-.0671924	-.6466521	-.1573107	.2028072	.0671924	-.390146	.5924169	.2487277	.4637077
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCG_211027_G04	211027	1	NS855	insH2Bfabp	CD15	GCG	1	0	0	2	1	9	0	1	0	1	0	0	1	5		1	1	7.4984389	.1361184	.12684813	0	.4676496	1	29	78	186121	4328	4581	3957	1139	43	7.706e+08	1	2163568	90779	134	232	129	98	135	368816	10368	27094.811	20074.233	2.81e+08	2816.548	-1.25e+08	268	3672.766	843159.5	1120773	95_GCG	2	3	4	6.65	3	2	5	-.4887764	-.5774487	-.4389272	-1.096804	-1.194857	-.0223825	1.914506	.6634502	-1.586279	-2.455101	-.7702081	-1.472651	-1.465234	-.8473045	-.9057289	-.3238762	-1.263668	-.1800124	-.4887764	-.4389272	.3422765	-1.028805	-1.534121	-1.699178	-.7613826	-.5924169	.6466521	.1573107	-.8226373	-.7916386
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCG_211027_F07	211027	1	NS875	insH2Bfabp	CD15	GCG	1	0	0	2	1	9	.12860257	.09433277	.77706466	1	0	0	1	5		1	1	7.7325773	.1020888	.20612821	.1020888	.6235328	1	49	98	182705	4152	3769	9169	3008	44	1.824e+09	2	2321392	98632	124	179	143	111	169	362985	10688	18575.903	15323.607	1.99e+08	-118.6639	-8.86e+07	91	3489.641	779636.6	1018999	95_GCG	2	3	4	8.416667	3	2	5	-.8226373	-1.184125	-1.108011	-1.392945	-1.930286	-.8226373	-1.382994	-.1238823	-.5778279	-1.045537	.2800857	-1.250087	-1.593219	-.6374841	-.7916386	-.7383242	-.9057289	-.0896424	-.5924169	-.6466521	-.5924169	-.1121376	.2028072	.1573107	-.4389272	-.390146	.4389272	-1.194857	-.4144133	.0896424
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCG_211027_B07	211027	1	NS863	insH2Bfabp	CD15	GCG	1	0	0	2	1	9	.18406877	.03965616	.77627507	1	0	0	1	5		1	1	9.7227532	.0680592	.12684813	.2382072	1.0911824	1	37	86	177087	6325	4198	7480	2633	28	1.287e+09	1	2197844	84799	92	195	161	105	227	421048	14930	15476.718	13439.721	2.31e+08	-1003.603	-8895406		3373.892	778305.7	1041609	95_GCG	2	3	4	7.516667	3	2	5	-1.534121	-1.281552	-.8871465	-.8745511	-1.028805	-1.699178	-.4563363	-.9036195	.4178506	-.3419422	-.7702081	-.5163159	-.9057289	.3029805	-.0397983	-.6374841	.0397983	-1.534121	-.6466521	1.194857	-.0223825	-.7613826	-.5398714	-.2487277	-.7028602	-.7028602	-1.150349	-.6744897	.0671924	-.27188
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCG_211027_B04	211027	1	NS844	insH2Bfabp	CD15	GCG	1	0	0	2	1	9	.08394584	.15319149	.76286267	.95512821	0	.04487179	1	5		1	1	5.8594705	.1361184	.3012643	.4083552	.5455912	1	18	67	191960	3490	3678	7703	2507	55	1.481e+09	1	3431978	112080	120	217	179	126	300	1004868	24609	26368.572	22188.003	6.49e+08	-394.1317	1.90e+08	377				95_GCG	2	3	4	5.7	3	2	5								.6634502	-1.045537	.777914	.8735691	-2.455101	1.980752	1.593219	1.754382	1.754382	1.593219	.7318081	-.4389272	-.9555776	-.7028602	-.4389272	-.3422765	-.4887764	.4389272	-.0223825	.1573107	-.2257079	.5924169	.8544474
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCG_211027_A03	211027	1	NS832	insH2Bfabp	CD15	GCG	1	0	0	2	1	9	.11170465	.05163818	.83665717	1	0	0	1	5		1	1	9.1374073	.1020888	.12684813	.2722368	.6235328	1	6	55																								3390.594	736794.4	1091569	95_GCG	2	3	4	4.416667	3	2	5	-1.194857	-1.92248	-.7028602	1.184125	-.4389272	.295179	.3064536	-.1238823	-.5778279	-.1238823	-.7702081	-.6416095																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCG_211027_A04	211027	1	NS839	insH2Bfabp	CD15	GCG	1	0	0	2	1	9	1	0	0	0	0	1	0	1	5		1	14.756728	.170148	.07928008	.3062664	1.0911824	1	13	62	218416	3971	3615	8450	2500	55	1.753e+09	1	40814	5435	29	106	30	22	212	489054	16788	25571.731	20819.247	4.29e+08	417.8087	4584777	38	3640.803	1250960	1033848	95_GCG	2	3	4	5.316667	3	2	5	-.5924169	1.690622	-1.028805	-2.361894	-1.534121	-.7028602	-1.914506	1.289619	.4178506	.0883765	-1.88951	.9304992	-.1598289	.0796597	.3238762	.5427505	.1598289	.7318081	-.1121376	-.7613826	-.8226373	-.2028072	-.1573107	-.5398714	-2.368567	-2.368567	-2.368567	-2.100166	-2.368567	-2.368567
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCG_211027_H07	211027	1	NS880	insH2Bfabp	CD15	GCG	1	0	0	2	1	9	0	0	1	1	0	0	1	5		1	1	12.064137	.1361184	.19027219	.2382072	.7014744	1	5	103	198547	4843	4995	10781	3760	41	2.164e+09	1	2258019	96108	103	235	118	100	190	469114	14924	26461.156	21377.166	3.95e+08	651.4782	-4.38e+07	83	3471.758	828146.1	1135323	95_GCG	2	3	5	8.766666	3	2	5	-.9555776	-.8745511	-.390146	-1.524945	-.390146	-.5924169	-.6172997	.6634502	-.2134373	-.3419422	.0553215	.1595451	-.2410404	-.1598289	-.0796597	.3238762	-.409	-.4144133	-.3422765	-.0671924	.5398714	.1121376	.5398714	.8226373	-.5924169	-.4389272	-.7916386	.3661064	-1.402673	-.5659488
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCG_211027_D07	211027	1	NS869	insH2Bfabp	CD15	GCG	1	0	0	2	1	9	.12903226	.1277156	.74325214	1	0	0	1	5		1	1	8.5520615	.0340296	.14270414	.2041776	.779416	1	43	92	193122	6035	5714	12988	3642	32	2.377e+09	1	2528775	88290	108	279	128	99	224	459520	16175	20681.842	18109.804	3.35e+08	-1287.51	-2.24e+07	74	3368.785	745602.1	1016950	95_GCG	2	3	4	7.916667	3	2	5	-1.699178	-1.524945	-1.194857	-1.92248	-1.108011	.0671924	.1631881	-1.65172	.0176532	-.5163159	-.4784177	-.8266231	-.409	.2206091	.2002695	-.0397983	-.0796597	-1.028805	-.390146	.8871465	1.291794	.390146	1.402673	.7028602	-.2487277	-.6466521	-.4389272	1.194857	-.920823	-.7028602
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCG_211027_D04	211027	1	NS849	insH2Bfabp	CD15	GCG	1	0	0	2	1	9	1	0	0	.0377488	.36087852	.60137268	0	1	5		1	7.4984389	.170148	.0951361	.0680592	1.0132408	1	23	72	244215	6978	5301	7854	2587	35	2.007e+09	1	3387815	107293	104	265	171	141	224	680150	15103	26143.948	21301.329	3.95e+08	423.4051	-4.19e+07	92	3962.561	1028839	1407419	95_GCG	2	3	4	6.083333	3	2	5	.295179	.6321747	.5924169	.1833219	-.5924169	1.534121	1.515564	1.289619	.2863006	-1.331275	-1.504888	-1.472651	.8473045	.2206091	0	.2822162	-.3661064	-.9555776	.295179	1.699178	.8226373	.0671924	-.2487277	-.295179	.390146	-.1573107	-.6744897	1.108011	.4144133	1.402673
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCG_211027_E04	211027	1	NS850	insH2Bfabp	CD15	GCG	1	0	0	2	1	9	0	1	0	1	0	0	1	5		1	1	13.00069	.1020888	.3964004	.3743256	1.169124	1	24	73	108159	9013	5855	5877	1042	12	6.766e+08	1	572214	37887	66	124	104	87	274	881453	21203	25780.383	20395.85	5.47e+08	1124.104	1.33e+08	485	4234.091	1030080	1361960	95_GCG	2	3	4	6.166667	3	2	5	1.108011	.6888636	.390146	.2298841	.6466521	2.368567	.6744897	-.1238823	.5988157	.4962496	1.049131	.4763812	1.465234	1.103428	1.179761	1.033036	1.263668	-2.368567	-1.291794	2.368567	1.534121	-1.291794	-.9555776	-1.930286	-1.534121	-1.534121	-1.699178	-1.699178	-1.534121	-1.194857
