filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	slc2a10_nwt	slc2a10_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_11dpf_VAST02_plate01_SLC2A10_210208_C07	210208	1	NJ378	insH2Bfabp	CD15	SLC2A10	1	0	0	2	1	11	.014042	0	1	16.014789	1.0889472	.01585602	.3062664	.7014744	1	4	102															49	824738	3696	11489.9	10219.892	4.25e+07	-272.5442	-1.90e+07	1	4208.353	1116287	1477836	52_SLC2A10	2	9	3	6.3	2	2	5	.5244005	.5127759	.4491363	.5916962	.7721932	.1188359	-.4124631	.4204492	-.6309245	-.227256	-2.535274	.3639316	1.429219	.0737913	0	.1379956	-.200022													
InsH2Bfabp_CD15_11dpf_VAST02_plate01_SLC2A10_210208_B07	210208	1	NJ377	insH2Bfabp	CD15	SLC2A10	1	0	0	2	1	11	1	1	3	21.663402	2.3140128	.65009666	.6465624	1.4029488	1	3	101															16	1005180	1728	9098.2731	8139.96	1.57e+07	-225.1463	-3.05e+07	5	4136.761	1226540	1535093	52_SLC2A10	2	9	3	6.216667	2	2	5	.3406948	1.13409	.6850168	-.1188359	1.14229	1.444321	.0334279	1.909639	.4514221	1.495318	1.130117	1.633934	1.88951	-.7215223	-.4908544	-.5279112	-.5279112													
InsH2Bfabp_CD15_11dpf_VAST02_plate01_SLC2A10_210208_A04	210208	1	NJ354	insH2Bfabp	CD15	SLC2A10	1	0	0	2	1	11	.0091231	0	1	17.073904	1.3271544	.55496056	.1020888	1.6367736	1	29	78	41391	3449	3446	364	51	12	15358301	2	217354	29773	48	250	92	10	12	273330	1104	7970.1694	7366.945	8799067	-446.7765	-3.17e+07	11				52_SLC2A10	2	9	2	3.694444	2	2	5								.7193747	.7377372	-1.376912	.3446772	.521135	-1.88951	-.9064346	-.8207921	-.9275163	-.5995885	-1.759861	-1.654435	-1.654435	-1.23808	-1.88951	-2.333769	-2.333769	-1.654435	-1.486092	-1.654435	.2482751	-1.486092	-2.333769
InsH2Bfabp_CD15_11dpf_VAST02_plate01_SLC2A10_210208_A07	210208	1	NJ376	insH2Bfabp	CD15	SLC2A10	1	0	0	2	1	11	.0159594	0	1	14.602635	1.0549176	.77694478	.1361184	.389708	1	2	100	174645	2729	2235	2621	925	64	4.747e+08	1	3556506	124846	151	242	144	132	4	332161	224	6902.7188	8674.0123	1546209	-3046.955	-4.86e+07	44	3912.033	1059628	1304553	52_SLC2A10	2	9	3	6.133333	2	2	5	-.0334279	.2568465	-.1004337	-.3635204	-.236128	-.7176502	-.0668933	.3446772	-1.275175	-1.029232	1.758563	.1573107	-1.516426	-1.389417	-1.516426	-1.873672	-1.026029	.9674216	-.8917089	-1.88951	-1.88951	-1.351702	-1.351702	-1.138523	.2993069	.0491694	1.486092	.098458	-.4307273	1.138523
InsH2Bfabp_CD15_11dpf_VAST02_plate01_SLC2A10_210208_A01	210208	1	NJ333	insH2Bfabp	CD15	SLC2A10	1	0	0	2	1	11	1	1	3	18.721416	1.2590952	.60252861	.510444	1.6367736	1	8	57															185	788029	15045	12534.788	9609.0681	1.89e+08	1488.624	1.32e+08	11	4265.799	1115106	1528992	52_SLC2A10	2	9	2	1.383333	2	2	5	.7721932	.4745116	.6433454	1.201055	.8180418	1.013522	-.5631492	.6138328	.7377372	.8950011	.8950011	.7478586	1.281552	1.88951	2.104968	1.720366	2.090361													
InsH2Bfabp_CD15_11dpf_VAST02_plate01_SLC2A10_210208_G04	210208	1	NJ360	insH2Bfabp	CD15	SLC2A10	1	0	0	2	1	11	.850659	1	3	18.133019	1.531332	.52324853	.6125328	1.7147152	1	35	84	281556	4332	4508	8560	3109	65	2.342e+09	1	4466062	178271	131	221	196	139	35	687191	2759	11363.237	8584.624	3.14e+07	1518.383	-1.81e+07	0	4094.018	1049774	1467951	52_SLC2A10	2	9	2	4.416667	2	2	5	.2706416	.1873945	.3763366	-.7621911	.1340876	-.6325508	1.20899	.9378634	.8336214	1.275175	.0845939	.6744897	.9064346	-.2686029	-.2993069	-.0764961	-.1689275	1.092736	.2482751	-.7537816	-.403916	.5700741	.8207921	.9674216	.8917089	1.23808	.3511308	-.2230078	.8917089	1.351702
InsH2Bfabp_CD15_11dpf_VAST02_plate01_SLC2A10_210208_G06	210208	1	NJ375	insH2Bfabp	CD15	SLC2A10	1	0	0	2	1	11	1	1	3	4.7175615	.2382072	.66595267	.1020888	.7014744	1	1	99	186024	5315	4842	6796	2361	35	1.311e+09	1	1956510	101163	98	208	142	102	84	447168	6832	11183.756	8850.4442	7.64e+07	1027.189	2.50e+07	247				52_SLC2A10	2	9	3	5.975	2	2	5								-1.244045	-.6309245	-1.376912	1.244045	-1.75333	-.3302958	.6110349	.7407855	.5279112	.7946292	-.7537816	-.8207921	0	-.0491694	-.2993069	.1479871	.403916	-.689997	-.6289042	-.8917089	-.4578519	-.5700741	-.4307273
InsH2Bfabp_CD15_11dpf_VAST02_plate01_SLC2A10_210208_D07	210208	1	NJ379	insH2Bfabp	CD15	SLC2A10	1	0	0	2	1	11	1	1	3	9.7777778	.0680592	.57081658	.3062664	1.2470656	1	5	103															46	469114	3470	8808.8692	8021.3062	3.06e+07	-375.4113	-1.48e+07	31	3840.725	898502.8	1222398	52_SLC2A10	2	9	3	6.366667	2	2	5	-.3763366	-.7176502	-.5631492	-1.444321	-1.281552	-.9061341	-1.14229	-1.909639	.227256	-.227256	.4987188	-.8056329	-.0590137	-.029494	-.0590137	-.1379956	-.1379956													
InsH2Bfabp_CD15_11dpf_VAST02_plate01_SLC2A10_210208_F08	210208	1	NJ387	insH2Bfabp	CD15	SLC2A10	1	0	0	2	1	11	.5759104	1	3	15.544071	1.2590952	.60252861	.510444	1.2470656	1	13	111	443350	7644	5759	6834	2229	58	2.912e+09	1	5424858	154253	151	367	168	101	27	606932	2065	8282.5022	8028.0083	1.71e+07	-909.6375	-2.83e+07	54	3942.208	985637.5	1375508	52_SLC2A10	2	9	3	7.133333	2	2	5	0	-.0508319	.1340876	.1873945	-.1340876	-.4369299	-.236128	.6138328	.227256	.8950011	.8950011	.2739918	.5244005	-.4092545	-.3932733	-.425144	-.425144	.5700741	1.351702	1.654435	.7537816	.8917089	.2482751	.1479871	1.486092	.7537816	1.486092	1.88951	.3773919	-.5131547
InsH2Bfabp_CD15_11dpf_VAST02_plate01_SLC2A10_210208_E01	210208	1	NJ337	insH2Bfabp	CD15	SLC2A10	1	0	0	2	1	11	.9850434	1	3	26.37058	2.0758056	.65009666	.6125328	3.3514888	1	12	61															10	627521	704	9278.4659	8436.8797	6532040	-393.1354	-4.19e+07	0	4862.025	1501029	1911924	52_SLC2A10	2	9	2	1.716667	2	2	5	2.47474	1.82788	2.47474	.8561915	2.47474	-.6744897	.9674216	1.539856	2.535274	1.275175	1.130117	2.531313	.7025232	-1.075049	-1.049131	-1.195972	-.8814972													
InsH2Bfabp_CD15_11dpf_VAST02_plate01_SLC2A10_210208_C08	210208	1	NJ385	insH2Bfabp	CD15	SLC2A10	1	0	0	2	1	11	1	1	3	11.54297	.8167104	.53910454	.340296	.8573576	1	11	109	164131	4827	3865	8472	3297	34	1.358e+09	1	2646498	97136	99	238	157	124	79	620486	6104	10740.681	8962.0645	6.56e+07	453.2231	1.33e+07	32	3803.389	920499.6	1222907	52_SLC2A10	2	9	3	6.95	2	2	5	-.5631492	-.4745116	-.5244005	-.6325508	-.184867	1.071858	-1.833915	.0845939	-.3898747	.0563585	.1984454	-.3336597	.6289042	.5075561	.5933586	.3919137	.5279112	-.8207921	-.9674216	-.403916	-.7537816	-.2482751	.7537816	1.23808	-.5131547	-.7537816	-.8207921	.0491694	0	.5700741
InsH2Bfabp_CD15_11dpf_VAST02_plate01_SLC2A10_210208_A03	210208	1	NJ349	insH2Bfabp	CD15	SLC2A10	1	0	0	2	1	11	0	0	1	12.366726	1.020888	.65009666	.4423848	1.0911824	1	24	73															8	489133	576	8591.5399	7673.4211	4948727	-184.7942	-3.78e+07	11	3766.572	875100.4	1246743	52_SLC2A10	2	9	2	3.183333	2	2	5	-.6027625	-.9061341	-.4124631	-.4369299	-1.022241	.0847849	-.6850168	.3149377	.0140826	.5471588	1.130117	-.1862194	.029494	-1.157523	-1.101709	-1.41001	-.7533835													
InsH2Bfabp_CD15_11dpf_VAST02_plate01_SLC2A10_210208_H07	210208	1	NJ382	insH2Bfabp	CD15	SLC2A10	1	0	0	2	1	11	1	1	3	19.427493	1.1570064	.44396845	.4764144	1.7147152	1	8	106	225662	4340	3715	6835	2368	52	1.634e+09	1	2967539	117078	116	191	164	131	105	651986	8049	9588.708	8095.5085	7.72e+07	317.4145	3.13e+07	0	4161.426	1083045	1443442	52_SLC2A10	2	9	3	6.633333	2	2	5	.4124631	.3999556	.236128	-.3275615	.3763366	.5916962	.3763366	.4987188	.8336214	.7193747	-.5471588	.9750298	.8628221	.8628221	.9064346	.563388	.8372732	.2482751	-.2993069	-.689997	-.9674216	.0491694	.2993069	.4578519	-.1978822	-.1479871	-.1978822	-.7215223	.1978822	1.007436
InsH2Bfabp_CD15_11dpf_VAST02_plate01_SLC2A10_210208_A06	210208	1	NJ370	insH2Bfabp	CD15	SLC2A10	1	0	0	2	1	11	.0142693	0	1	12.131367	.6465624	.44396845	.1020888	.389708	1	45	94															50	568092	5127	8468.4287	7483.9443	4.34e+07	-85.71607	2037136	172	3892.655	924492.2	1175683	52_SLC2A10	2	9	2	5.45	2	2	5	-.1340876	-.4369299	-.8180418	1.071858	-.5631492	1.671644	-.6027625	-.1841031	-1.275175	-1.376912	-.5471588	-.2445328	.3616052	.1479871	.2993069	.1689275	.3266899													
InsH2Bfabp_CD15_11dpf_VAST02_plate01_SLC2A10_210208_A08	210208	1	NJ383	insH2Bfabp	CD15	SLC2A10	1	0	0	2	1	11	.9084027	1	3	21.310364	.9187992	.41225642	.4764144	1.7926568	1	9	107															35	632082	2992	8123.6487	6705.6954	2.43e+07	482.115	-1.14e+07	7	4010.457	1052705	1444444	52_SLC2A10	2	9	3	6.7	2	2	5	.1004337	.2219866	.2706416	-.2920214	.4124631	.0169375	1.022241	.2128286	.9378634	.7193747	-.9378634	1.534121	.7407855	-.2686029	-.2079166	-.2628283	.0152849													
InsH2Bfabp_CD15_11dpf_VAST02_plate01_SLC2A10_210208_D08	210208	1	NJ386	insH2Bfabp	CD15	SLC2A10	1	0	0	2	1	11	1	1	3	22.13412	1.9056576	.57081658	.510444	.6235328	1	12	110															12	432066	1108	8960.4892	8116.6136	9928222	-335.5532	-3.61e+07	15	4638.174	1576260	1648471	52_SLC2A10	2	9	3	7.016667	2	2	5	1.833915	2.048199	1.451407	-.5127759	1.833915	-.3275615	-.3054808	1.376912	-.7752326	.8950011	.4987188	1.75333	-.4253408	-.9064346	-.7801644	-.7946292	-.7133814													
InsH2Bfabp_CD15_11dpf_VAST02_plate01_SLC2A10_210208_A05	210208	1	NJ362	insH2Bfabp	CD15	SLC2A10	1	0	0	2	1	11	.0289206	0	1	20.251249	2.0077464	.4915365	.6465624	1.6367736	1	37	86															14	364662	1264	9703.4003	7741.8081	1.23e+07	846.8724	-3.10e+07	194	4319.652	1236828	1575737	52_SLC2A10	2	9	2	4.6	2	2	5	1.080319	1.201055	1.080319	.6325508	.6640369	.7621911	-1.022241	1.453563	.7377372	1.495318	-.1412905	1.301224	-.8628221	-.8003131	-.6652629	-.6744897	-.563388													
InsH2Bfabp_CD15_11dpf_VAST02_plate01_SLC2A10_210208_F07	210208	1	NJ380	insH2Bfabp	CD15	SLC2A10	1	0	0	2	1	11	1	1	3	19.89821	1.3271544	.57081658	.510444	1.94854	1	6	104															174	1053290	13013	14438.682	12108.877	1.88e+08	461.1247	1.12e+08	14	4389.539	1174158	1554279	52_SLC2A10	2	9	3	6.483333	2	2	5	1.20899	.8561915	.8180418	-.2219866	.7279133	.3999556	0	.7193747	1.214075	.8950011	.4987188	1.150349	2.104968	1.737194	1.737194	1.59929	1.720366													
InsH2Bfabp_CD15_11dpf_VAST02_plate01_SLC2A10_210208_C01	210208	1	NJ335	insH2Bfabp	CD15	SLC2A10	1	0	0	2	1	11	.9858266	1	3	18.956775	.1361184	.53910454	.5785032	1.4029488	1	10	59															42	760854	3120	12680.322	11334.481	3.96e+07	-389.1419	-3.01e+07	24	4227.946	1189784	1558525	52_SLC2A10	2	9	2	1.583333	2	2	5	.6433454	.9584461	.8656782	-.0169375	.8656782	-.2568465	-.1340876	-1.453563	.4514221	1.157199	.1984454	.8254945	1.157523	-.088585	-.088585	.0764961	-.4930868													
InsH2Bfabp_CD15_11dpf_VAST02_plate01_SLC2A10_210208_C02	210208	1	NJ343	insH2Bfabp	CD15	SLC2A10	1	0	0	2	1	11	.7384484	1	3	15.308712	.6465624	.58667259	.2722368	1.2470656	1	18	67															31	420101	2624	9476.367	10037.763	2.49e+07	-2072.505	-3.53e+07	121	4277.063	1086545	1508894	52_SLC2A10	2	9	2	2.283333	2	2	5	.8180418	.4369299	.5631492	-.3999556	-.184867	1.201055	.8656782	-.1841031	.227256	-.5147302	.6833558	.2445328	-.4908544	-.3302958	-.3302958	-.231311	-.6744897													
InsH2Bfabp_CD15_11dpf_VAST02_plate01_SLC2A10_210208_A02	210208	1	NJ341	insH2Bfabp	CD15	SLC2A10	1	0	0	2	1	11	0	0	1	17.77998	1.0889472	.41225642	.4423848	1.8705984	1	16	65	264944	5888	6157	4288	1190	45	1.189e+09	1	3416472	157804	126	219	154	141	118	625594	8176	12157.181	10715.855	9.94e+07	-186.8526	3.42e+07	6	4029.795	992187.2	1412922	52_SLC2A10	2	9	2	2.133333	2	2	5	.2018935	.0169375	.167894	.3275615	-.4124631	.4369299	-.7721932	.4204492	1.05345	.5471588	-.9378634	.5875741	.6652629	1.049131	.9518433	.7533835	.9275163	-.1479871	.1479871	.2993069	1.351702	-.4578519	-.8207921	-.8207921	.1978822	.8917089	.1978822	-.2993069	-.1479871	1.486092
InsH2Bfabp_CD15_11dpf_VAST02_plate01_SLC2A10_210208_A09	210208	1	NJ388	insH2Bfabp	CD15	SLC2A10	1	0	0	2	1	11	.0158343	0	1	14.837994	.1020888	.45982446	.2382072	1.0132408	1	14	112															51	551672	3952	16863.379	17804.726	6.66e+07	-3793.397	-5.06e+07	51	4231.169	1030962	1426545	52_SLC2A10	2	9	3	7.25	2	2	5	.6850168	.1530252	.2018935	.0169375	-.2706416	.3275615	.2706416	-1.639431	-.1270809	-.7752326	-.4358834	.2152846	.2993069	.2079166	.088585	.4588506	-1.135663													
InsH2Bfabp_CD15_11dpf_VAST02_plate01_SLC2A10_210208_B08	210208	1	NJ384	insH2Bfabp	CD15	SLC2A10	1	0	0	2	1	11	1	1	3	13.190482	.9868584	.42811243	.5444736	.8573576	1	10	108															19	598564	1008	6756.9861	6024.0551	6811042	-85.22435	-2.38e+07	66	3876.944	993024.6	1363500	52_SLC2A10	2	9	3	6.866667	2	2	5	-.236128	.0508319	.1004337	.9061341	.3054808	1.548003	-1.361571	.2854742	-.3898747	1.05345	-.7012515	-.0712713	.4908544	-.5933586	-.9993048	-1.135663	-.3919137													
InsH2Bfabp_CD15_11dpf_VAST02_plate01_SLC2A10_210208_E05	210208	1	NJ366	insH2Bfabp	CD15	SLC2A10	1	0	0	2	1	11	.0311889	0	1	15.897109	1.3952136	.55496056	.340296	1.7926568	1	41	90	205655	3808	3717	7461	2578	54	1.522e+09	1	3730247	139970	145	281	150	118	38	338214	3104	9143.6157	8733.1242	2.84e+07	-875.3759	-2.22e+07	4	4214.603	1063965	1453476	52_SLC2A10	2	9	2	4.983333	2	2	5	.5631492	.3275615	.3054808	.2219866	.236128	.2568465	.3406948	.8336214	.9378634	.0563585	.3446772	.3186394	-1.429219	-.1928725	-.1330958	-.200022	-.2946089	.3511308	-.4578519	-1.138523	-.8917089	-.1479871	.4578519	.6289042	.403916	.4578519	1.049131	.8207921	-.1978822	.2482751
InsH2Bfabp_CD15_11dpf_VAST02_plate01_SLC2A10_210208_C06	210208	1	NJ372	insH2Bfabp	CD15	SLC2A10	1	0	0	2	1	11	1	1	3	12.837443	1.7695392	.74523275	.4083552	.9352992	1	47	96																											52_SLC2A10	2	9	2	5.641666	2	2	5								1.244045	-.2562565	.3747248	1.453563	-.1285329																		
InsH2Bfabp_CD15_11dpf_VAST02_plate01_SLC2A10_210208_G07	210208	1	NJ381	insH2Bfabp	CD15	SLC2A10	1	0	0	2	1	11	0	0	1	16.838545	.1020888	.42811243	.4423848	1.2470656	1	7	105															38	639901	2848	11717.656	9564.9892	3.34e+07	723.181	-2.33e+07	16	3756.184	986983.3	1344061	52_SLC2A10	2	9	3	6.566667	2	2	5	-.6433454	-.0169375	.0334279	-.1873945	.2706416	.2219866	-.4864239	-1.639431	.227256	.5471588	-.7012515	.4727891	.8207921	-.1928725	-.2686029	-.0152849	-.3591108													
InsH2Bfabp_CD15_11dpf_VAST02_plate01_SLC2A10_210208_G01	210208	1	NJ339	insH2Bfabp	CD15	SLC2A10	1	0	0	2	1	11	.9703637	1	3	12.013687	.6465624	.47568048	.1020888	.3117664	1	14	63															153	506782	10958	12309.798	10333.507	1.35e+08	414.1237	7.26e+07	8	3885.653	838852.9	1212738	52_SLC2A10	2	9	2	1.933333	2	2	5	-.2018935	-1.13409	-.6027625	-1.35419	-1.361571	-.3635204	-.3406948	-.1841031	-1.639431	-1.376912	-.3001733	-.2739918	.1182339	1.429219	1.281552	1.079224	1.41001													
InsH2Bfabp_CD15_11dpf_VAST02_plate01_SLC2A10_210208_G05	210208	1	NJ368	insH2Bfabp	CD15	SLC2A10	1	0	0	2	1	11	1	1	3	18.956775	1.2590952	.38054438	.3743256	.7014744	1	43	92															3	521346	128	9634.1875	9890.8856	1233176	-1742.449	-5.78e+07	61	3633.607	1184476	1494838	52_SLC2A10	2	9	2	5.283333	2	2	5	-.9674216	.9061341	.4864239	1.548003	1.554774	-1.273889	-.2018935	.6138328	-.6309245	.2562565	-1.341447	.8254945	.177872	-1.564726	-1.616981	-2.090361	-1.41001													
InsH2Bfabp_CD15_11dpf_VAST02_plate01_SLC2A10_210208_E02	210208	1	NJ345	insH2Bfabp	CD15	SLC2A10	1	0	0	2	1	11	.0398783	0	1	16.250147	.85074	.41225642	.4083552	1.0132408	1	20	69															188	815730	13736	10172.57	9335.2813	1.40e+08	-552.5388	8.47e+07	0	4393.671	1264851	1649369	52_SLC2A10	2	9	2	2.633333	2	2	5	1.361571	1.444321	1.554774	.5127759	1.022241	-.4745116	.2018935	.1412905	-.1270809	.3747248	-.9378634	.3945408	1.351702	2.104968	1.88951	1.195972	1.59929													
