filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	znf598_nwt	znf598_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate02_ZNF598_201127_A09	201127	2	NE620	insH2Bfabp	CD15	ZNF598	1	0	0	2	1	9	.9806575	1	2	8.6659361	.510444	.52324853	.2722368	1.2470656	1	22	120	327249	9625	5239	7883	2782	34	2.699e+09	1	4001089	130752	135	291	146	98	108	477058	7534	5708.5287	5371.0863	4.30e+07	-694.6797	-1.11e+07	65	3630.602	865275.9	1189680	34_ZNF598	1	1	3	10.53333	1	1	4	-.3881343	-.0792395	-.0130557	.4552406	.1177699	.7544993	.0667151	-.1891184	1.126391	-.3988551	-2.572352	-.152506	-.1104053	-.8694237	-.9103512	-1.092245	-.3661064	-.7000902	1.057414	2.550635	.2173225	.2173225	-.3292913	-.2173225	1.10579	.7707414	1.03413	1.239788	-.3292913	-.3867724
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ZNF598_201127_E06	201127	1	NE540	insH2Bfabp	CD15	ZNF598	1	0	0	2	1	9	.013654	0	1	10.253297	1.1570064	1.1099211	.1020888	.8573576	1	40	40	258783	6018	5428	7962	3053	43	2.097e+09	1	2933008	110632	117	285	157	88	254	625776	18556	7824.1179	7182.0322	1.45e+08	-828.4503	4.59e+07	29	4004.071	899609.4	1294519	34_ZNF598	1	1	1	3.283333	1	1	4	.9884819	.2126769	.7588928	-.7430576	.0653232	1.092245	.5771623	1.281552	.1891184	-1.644854	1.168949	.416878	.9971714	1.426077	1.256896	.5180898	1.19838	.1351755	.0809473	.1898044	.4455616	-.1624294	-.3009654	-.0539321	.1080217	0	.0809473	1.03413	.0674336	-.8648943
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ZNF598_201127_E07	201127	1	NE548	insH2Bfabp	CD15	ZNF598	1	0	0	2	1	9	.9234105	1	2	6.8811384	.5444736	.98307299	.170148	.4676496	1	48	48	316124	7527	5707	7112	2329	42	2.296e+09	2	2328399	93090	95	216	184	117	217	548952	16568	8952.2242	7888.9461	1.48e+08	-578.3954	3.13e+07	102	3517.989	770993.4	1095591	34_ZNF598	1	1	1	3.883333	1	1	4	-.8679592	-.8994349	-.3601299	-.6413788	-.7588928	-.9971714	-.5771623	-.0878448	-.8596174	-1.015222	.3487557	-.714776	.3661064	.9528633	1.092245	.5821887	.7544993	.0134769	.807541	1.057414	.5682099	-.0269563	-.4455616	-.4455616	-.3292913	-.4159872	-.8846525	-.1624294	1.211232	.8648943
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ZNF598_201127_A05	201127	1	NE530	insH2Bfabp	CD15	ZNF598	1	0	0	2	1	9	.0266183	0	1	10.662044	.9528288	.96721698	.340296	1.0911824	1	30	30	280742	5849	6578	15059	3941	48	4.069e+09	1	2670654	115667	105	208	152	128	254	671560	19344	15960.838	12500.934	3.09e+08	701.7089	7.67e+07	12	3769.407	885612.8	1246668	34_ZNF598	1	1	1	2.666667	1	1	4	-.0130557	.105739	.3881343	-.0133335	.5946412	.6151411	.0400101	1.036433	.8238936	.227545	.2298841	.6508373	1.650205	1.426077	1.320065	1.91931	1.388992	.6001788	.357884	.0809473	1.156903	1.156903	1.10579	.7707414	-.1080217	.1898044	-.5059336	-.3722894	-.1080217	1.365669
InsH2Bfabp_CD15_09dpf_VAST02_plate02_ZNF598_201127_E05	201127	2	NE596	insH2Bfabp	CD15	ZNF598	1	0	0	2	1	9	.9614184	1	2	6.6227851	.5444736	.85622486	.2041776	.9352992	1	47	96	220287	5245	6226	5240	1911	42	1.271e+09	1	2638401	94303	132	206	148	97	152	506410	10544	11750.816	9879.6217	1.24e+08	-252.4039	-4.28e+07		3508.25	776436.4	1059837	34_ZNF598	1	1	2	8.183333	1	1	4	-.9884819	-.8605722	-.5637612	-.6744897	-1.077516	-2.543048	-.6744897	-.0878448	.3988551	-.8964733	-.57446	-.8894945	.0827304	-.2363168	-.3957253	.2505037	-1.143702	.0134769	-.357884	-.357884	.8846525	-.7349572	-.8846525	-.8454682	-.1898044	-.3867724	.7707414	-.4455616	-.2450062	-.4455616
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ZNF598_201127_A04	201127	1	NE523	insH2Bfabp	CD15	ZNF598	1	0	0	2	1	9	.945215	1	2	9.6401773	.8167104	.95136096	.2722368	.6235328	1	23	23	324225	7720	6843	16996	3926	42	5.296e+09	1	2860745	127121	114	271	175	96	185	591144	15007	10457.852	8942.7134	1.57e+08	-381.6428	1.37e+07	30	3972.537	935662.6	1279521	34_ZNF598	1	1	1	2.233333	1	1	4	.8305109	.5859714	.5946412	-.425856	.6909717	-.4560533	-.4850236	.755415	-.3318534	-.3988551	.1014517	.152506	.7916386	.3957253	.7183728	.7544993	.2790326	.0134769	.9674216	1.332196	1.476592	1.660698	1.660698	.7000902	.0539321	.6327733	-.0404405	.8263561	.7000902	-.5059336
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ZNF598_201127_E08	201127	1	NE555	insH2Bfabp	CD15	ZNF598	1	0	0	2	1	9	.8122734	1	2	6.4723919	.3062664	.82451283	.2722368	.779416	1	6	55	35361	1607	1076	1569	513	22	58918968	2	1193235	61976	84	195	162	42	38	315829	3280	8601.6738	6040.4756	2.82e+07	1367.023	-4.26e+07	86	3515.051	853926.1	1032412	34_ZNF598	1	1	2	4.333333	1	1	4	-.9467818	-.1589805	-.6581891	1.064209	.9884819	1.143702	-1.217526	-1.103063	-.0125335	-.3988551	-1.029957	-.9878373	-1.650205	-1.650205	-1.650205	-1.465234	-1.092245	-1.716768	-1.928738	-1.928738	-2.141198	-1.928738	-2.550635	-2.550635	-1.332196	-1.269393	-1.300153	-.6493239	.2311422	-1.928738
InsH2Bfabp_CD15_09dpf_VAST02_plate02_ZNF598_201127_A06	201127	2	NE600	insH2Bfabp	CD15	ZNF598	1	0	0	2	1	9	.9503194	1	2	6.9292578	.6125328	.76108877	.3743256	.779416	1	2	100	155512	5362	3830	13562	4468	29	2.021e+09	1	1508838	68707	97	191	136	72	76	423192	6368	3982.0468	3389.4537	2.54e+07	40.20655	2.07e+07		3422.39	769856.9	984530.9	34_ZNF598	1	1	3	8.483334	1	1	4	-1.34979	-.9397059	-1.176029	-1.482159	-1.493078	-2.132484	.9533248	.240426	-.0125335	.628006	-1.690622	-.6824579	-.6487755	-1.092245	-1.043529	-1.650205	.4868373	-1.011394	-1.011394	-.2173225	-.8846525	-.2173225	1.011394	1.156903	-1.10579	-1.156903	-.807541	-.8846525	-.6829734	-1.476592
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ZNF598_201127_E04	201127	1	NE547	insH2Bfabp	CD15	ZNF598	1	0	0	2	1	9	.8366463	1	2	6.472392	.340296	.96721698	.2722368	.6235328	1	47	47																								3593.753	828370.4	1021392	34_ZNF598	1	1	1	2.466667	1	1	4	-.5334097	-.4355574	-.7941926	.0133335	-.0653232	-.3077905	-1.11242	-1.015222	-.3318534	-.3988551	.2298841	-.9277537																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ZNF598_201127_E03	201127	1	NE518	insH2Bfabp	CD15	ZNF598	1	0	0	2	1	9	1	1	2	6.4723919	1.8035688	.90379291	.4764144	.4676496	1	18	18															113	274460	8798	7781.8694	6152.0742	6.85e+07	408.6029	-5165070	25	3477.209	982587	854150.4	34_ZNF598	1	1	1	1.866667	1	1	4	-1.031976	1.025212	-2.561682		-.9066662	-1.650205	-2.554361	2.326348	-.8596174	1.475791	-.191052	-.9878373	-1.91931	-.8106226	-.7183728	-.7544993	-.0827304													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ZNF598_201127_A07	201127	1	NE544	insH2Bfabp	CD15	ZNF598	1	0	0	2	1	9	.9237278	1	2	8.4139378	.4083552	.85622486	.2041776	.389708	1	44	44	114630	4094	3339	4344	1851	28	4.689e+08	1	1617697	70681	108	178	116	92									7	3454.381	807839.1	1053437	34_ZNF598	1	1	1	3.65	1	1	4	-1.125407	-.5549229	-.5946412	.0400101	.3324052	1.043529	-1.064209	-.612813	-1.226528	-.8964733	-.57446	-.2039612						-1.156903	-1.400745	-1.057414	-1.156903	-1.562036	-1.400745	-.9674216	-.9674216	-1.10579	-.272879	-1.269393	-1.269393	-.6829734
InsH2Bfabp_CD15_09dpf_VAST02_plate02_ZNF598_201127_A01	201127	2	NE566	insH2Bfabp	CD15	ZNF598	1	0	0	2	1	9	.9155841	1	2	9.7896691	.4083552	.80865682	.2722368	1.2470656	1	17	66	295905	5690	4438	8831	3165	52	2.465e+09	1	3328055	133758	122	212	183	105	104	608644	8352	8585.1213	6902.7636	7.17e+07	279.4301	-2.07e+07	162	3813.391	895721.4	1183220	34_ZNF598	1	1	2	5.233333	1	1	4	.1705427	.1589805	-.1177699	-.3968347	1.793352	1.19838	.1742078	-.612813	1.126391	-.3988551	-1.247754	.2169044	.9103512	-.9103512	-.7916386	-.7183728	-.5498568	.7890077	.5368115	-.0269563	-.3867724	.1624294	-.1624294	.0539321	.4755309	.8454682	.3150968	-.2450062	1.156903	.0134769
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ZNF598_201127_B01	201127	1	NE501	insH2Bfabp	CD15	ZNF598	1	0	0	2	1	9	1	1	2	8.1073779	.2382072	.99892901	.2722368	1.0132408	1	1	1	158628	6101	5884	6416	1878	26	1.060e+09	1	1655760	76356	103	190	124	85	75	324870	6137	4886.0344	4748.2003	3.00e+07	-743.4929	-8610194	147	3558.761	743732.9	1010864	34_ZNF598	1	2	1	.85	2	1	4	-.6581891	-1.281552	-.9066662	-.2837581	-.7941926	.0827304	-.2013492	-1.405072	.5977601	-.3988551	.4727891	-.3086658	-1.465234	-1.143702	-1.143702	-1.320065	-.2790326	-1.400745	-.8454682	.2173225	.7000902	-.8454682	-.6327733	-.9252446	-.8846525	-.8846525	-.6163942	-.9891686	-1.057414	-1.03413
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ZNF598_201127_F02	201127	1	NE511	insH2Bfabp	CD15	ZNF598	1	0	0	2	1	9	.5653639	1	2	8.0051913	.2382072	.95136096	.2722368	.779416	1	11	11	111120	6536	5246	4819	2231	17	5.774e+08	1	1093328	52781	84	173	125	78										3395.625	840751.9	924043.6	34_ZNF598	1	2	1	1.45	2	1	4	-1.417797	-.2944409	-2.153875	1.163366	-.9467818	-.3957253	-1.163366	-1.405072	-.0125335	-.3988551	.1014517	-.3353332						-2.023606	-1.562036	.6001788	.2450062	-1.476592	-1.10579	-.5059336	-1.562036	-1.476592	-1.300153	-1.332196	-.9891686	-1.400745
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ZNF598_201127_F07	201127	1	NE549	insH2Bfabp	CD15	ZNF598	1	0	0	2	1	9	.026632	0	1	8.8226843	.6125328	.99892901	.3062664	.9352992	1	49	49	305479	6788	5710	6458	1779	45	2.185e+09	1	5066397	152351	154	338	162	99	194	495433	14363	9858.7396	8276.8547	1.42e+08	-153.6979	1.49e+07	24	3610.793	814717.7	1184939	34_ZNF598	1	2	1	3.95	2	1	4	-.4741167	-.494359	-.0915151	.1471942	-.3881343	1.91931	-.7083573	.240426	.3988551	-.0627068	.4727891	-.0887345	0	.7183728	.5180898	.4560533	.3368052	.2868939	.6660544	.7349572	.6001788	-.1080217	-.6001788	-1.057414	2.550635	1.332196	2.023606	1.660698	.2311422	-.3150968
InsH2Bfabp_CD15_09dpf_VAST02_plate02_ZNF598_201127_F05	201127	2	NE597	insH2Bfabp	CD15	ZNF598	1	0	0	2	1	9	.8735097	1	2	6.8271002	.4423848	.84036885	.170148	.4676496	1	48	97	234185	5855	5186	12769	3797	40	3.231e+09	1	2709569	97735	114	185	157	113	91	421186	7075	6815.6294	6216.3443	4.82e+07	-637.4665	-2.70e+07	117	3516.302	763740.9	1021586	34_ZNF598	1	2	2	8.25	2	1	4	-.9066662	-1.070909	-.7588928	.0667151	-1.417797	-1.465234	.339753	-.426148	-.8596174	-1.015222	-.7817808	-.7478586	-.6831604	-.9528633	-.9528633	-.9971714	-.7544993	-.1761004	-.2173225	.1080217	.0809473	.5368115	.7707414	.6327733	-.0809473	-.272879	-.0404405	-1.156903	.0674336	.6327733
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ZNF598_201127_F04	201127	1	NE527	insH2Bfabp	CD15	ZNF598	1	0	0	2	1	9	1	1	2	10.968603	1.5653616	1.1099211	.5785032	.389708	1	27	27	261205	4749	4019	12727	4230	55	3.241e+09	1	3280287	126613	117	244	157	127	121	706224	9934	8036.334	7051.2162	7.98e+07	-453.7488	-1.62e+07	58	4128.655	1010894	1425199	34_ZNF598	1	2	1	2.5	2	1	4	1.67594	1.344003	1.67594	1.665843	.3049337	1.551094	.3116334	1.695398	-1.226528	2.575829	1.168949	.8166274	2.132484	-.6151411	-.4256956	-.5821887	-.4560533	1.011394	.1351755	-.7349572	-.7000902	.5682099	.7349572	.8648943	.4159872	.6001788	.0809473	.4755309	.0674336	1.239788
InsH2Bfabp_CD15_09dpf_VAST02_plate02_ZNF598_201127_B02	201127	2	NE575	insH2Bfabp	CD15	ZNF598	1	0	0	2	1	9	.925475	1	2	10.504772	.5444736	1.030641	.3743256	1.558832	1	26	75	342569	6010	4644	10917	3571	57	3.539e+09	1	4689615	152593	138	228	185	133	255	583728	21843	14437.934	11921.512	3.15e+08	-101.4999	9.78e+07	21	3662.197		1213037	34_ZNF598	1	2	2	5.933333	2	1	4	-.3049337		.1705427	-.3681439	-.4741167	.7916386	.0133335	-.0878448	1.439531	.628006	.6508373	.5894558	.6151411	1.551094	1.768825	2.132484	1.650205	1.156903	1.211232	.1624294	-.2450062	.7707414	.4159872	.5059336	1.778823	1.400745	1.183631	.0539321	1.269393	1.778823
InsH2Bfabp_CD15_09dpf_VAST02_plate02_ZNF598_201127_F08	201127	2	NE617	insH2Bfabp	CD15	ZNF598	1	0	0	2	1	9	.0244594	0	1	6.7249427	.4083552	.91964893	.0680592	.779416	1	19	117	247057	5257	5046	3854	1497	47	9.166e+08	1	3339732	142639	119	255	170	115	223	448137	16270	8628.0189	7095.3364	1.40e+08	83.13482	4.32e+07	20	3351.156	721706.3	1001339	34_ZNF598	1	2	3	10.36667	2	1	4	-1.67594	-1.572695	-.9884819	-2.554361	-1.28751	.4560533	1.665843	-.612813	-.0125335	-2.17009	-.0887345	-.834427	-.4256956	1.043529	.9528633	.4256956	1.043529	.4755309	.0269563	-.3292913	-.0539321	-1.011394	-1.476592	-1.332196	.5059336	.9252446	.1761004	.6660544	.5368115	.7527288
InsH2Bfabp_CD15_09dpf_VAST02_plate02_ZNF598_201127_F02	201127	2	NE579	insH2Bfabp	CD15	ZNF598	1	0	0	2	1	9	1	1	2	6.7249427	1.6334208	1.030641	.5444736	1.0132408	1	30	79	134447	3735	6278	6289	2350	36	8.381e+08	2	2444934	89263	101	239	127	88	59	484292	3784	8417.8784	6494.184	3.19e+07	619.6804	-5.03e+07	172	3524.46	759733.3	1026326	34_ZNF598	1	2	2	6.25	2	1	4	-.8305109	-1.118958	-.7245144	.5152434	-.9884819	.8694237	-.9325278	1.959964	.5977601	1.959964	.6508373	-.834427	-.0551186	-1.320065	-1.465234	-1.143702	-1.256896	-.5682099	-1.332196	-1.156903	.9252446	-1.156903	-.7000902	-.3867724	-.272879	-.5368115	-.6660544	.3150968	-.9047621	-.8648943
InsH2Bfabp_CD15_09dpf_VAST02_plate02_ZNF598_201127_F06	201127	2	NE604	insH2Bfabp	CD15	ZNF598	1	0	0	2	1	9	.966081	1	2	10.402614	1.1570064	.84036885	.4423848	1.4029488	1	6	104	423286	5570	4751	7639	2332	76	3.256e+09	1	5056716	169565	151	271	173	120	205	636101	15267	8821.0166	7794.5747	1.35e+08	-592.3851	2.01e+07	0	4245.487	1023141	1372084	34_ZNF598	1	2	3	9.083333	2	1	4	2.561682	1.487654	1.125407	.1742078	.5637612	-.6831604	.7786766	1.281552	1.226528	1.310579	-.7817808	.5302197	1.143702	.8694237	.7916386	.3957253	.4256956	2.550635	1.928738	-.1080217	-.2173225	.6327733	-.357884	-.4159872	2.141198	1.660698	1.716768	.8263561	.6493239	1.10579
InsH2Bfabp_CD15_09dpf_VAST02_plate02_ZNF598_201127_B05	201127	2	NE593	insH2Bfabp	CD15	ZNF598	1	0	0	2	1	9	.0216815	0	1	10.300457	.680592	1.1574892	.3062664	1.558832	1	44	93	231377	6253	5188	10506	3087	37	2.344e+09	1	2812083	102343	110	191	156	119	283	655261	20378	11399.099	9410.6789	2.32e+08	-21.65112	7.73e+07	25	3986.634	946623.6	1338603	34_ZNF598	1	2	2	7.966667	2	1	4	.9467818	.7164975	.9884819	.6744897	.5334097	.3957253	.5152434	.4817269	1.439531	-.0627068	1.508944	.4586791	1.256896	1.91931	1.465234	1.465234	1.465234	-.4307273	-.272879	.3292913	.1080217	.0269563	.2035442	-.0269563	-.0269563	-.1351755	-.1487886	-.8846525	0	1.057414
InsH2Bfabp_CD15_09dpf_VAST02_plate02_ZNF598_201127_F07	201127	2	NE611	insH2Bfabp	CD15	ZNF598	1	0	0	2	1	9	.0241078	0	1	11.219875	.9528288	1.0940651	.4083552	.4676496	1	13	111	246319	5728	6344	9798	3250	43	2.339e+09	1	3389530	121164	132	236	178	84	306	681170	22967	11902.594	9813.0084	2.73e+08	-17.88652	1.08e+08	7	4106.854	1001952	1393811	34_ZNF598	1	2	3	9.8	2	1	4	1.493078	1.281552	1.34979	.1202876	.8679592	-.4256956	.3968347	1.036433	-.8596174	1.036433	1.008673	.9474013	1.768825	2.132484	1.91931	1.551094	1.91931	.1351755	-.0539321	0	1.10579	0	-.0809473	.1351755	.5682099	.357884	.7707414	.2035442	.9674216	-1.10579
InsH2Bfabp_CD15_09dpf_VAST02_plate02_ZNF598_201127_F01	201127	2	NE571	insH2Bfabp	CD15	ZNF598	1	0	0	2	1	9	1	1	2	11.322032	1.361184	.84036885	.510444	1.0911824	1	22	71	363656	6270	5380	9904	3413	58	3.570e+09	1	4021364	170492	121	276	189	114	136	572952	10743	8012.7198	7107.243	8.61e+07	-546.9534	-1.14e+07	59	4021.693	968381.1	1409991	34_ZNF598	1	2	2	5.666667	2	1	4	1.031976	.8994349	1.577923	.9325278	.3881343	.2221774	.425856	1.475791	.8238936	1.644854	-.7817808	1.008673	.4560533	-.4106643	-.3661064	-.3957253	-.3957253	1.332196	1.562036	.357884	.3867724	.807541	-.0539321	.272879	1.156903	1.778823	.2450062	.9047621	1.476592	.7000902
