filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	snap25b_nwt	snap25b_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SNAP25_201012_A05	201012	1	NH031	insH2Bfabp	CD15	SNAP25	1	0	0	2	1	10	.6078432	1	3	11.799933	1.0549176	.26955227	.340296	2.4161896	1	31	31	293718	7343	4882	8351	3050	40	2.431e+09	1	3383706	140511	117	287	169	104	74	555870	5072	10638.16	10955.647	5.40e+07	-643.7856	-2.85e+07	16	3979.668	945576.8	1265943	18_SNAP25B	1	1	1	6.433333	1	1	3	-.4484255	-.5578848	-.5578848	-.8010945	-.5578848	.7721932	-.5578848	-.7164975	.8045964	-.63364	-.5938214	-.5716375	-.6533766	.2046599	.2046599	.4183713	-.9319713	-.8648943	-.6001788	1.057414	0	.807541	2.141198	1.660698	-.5059336	-.3292913	-1.057414	.5059336	-.2450062	-.7000902
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SNAP25_201012_A09	201012	1	NH053	insH2Bfabp	CD15	SNAP25	1	0	0	2	1	10	0	0	1	18.886945	1.3952136	.33297634	.510444	.3117664	1	4	53	348319	5904	5567	4885	1634	59	1.586e+09	1	4570305	152391	158	235	175	130	140	789132	9232	10285.751	9248.6364	9.50e+07	663.2253	3.40e+07	26				18_SNAP25B	1	1	2	8.455556	1	1	3								.0329879	-1.507905	.8510585	-.0991079	.9319713	.4183713	1.494155	1.312981	1.312981	1.494155	.0404405	-.1624294	.1624294	.4159872	-.3292913	-.3292913	0	-.0809473	-.2450062	.4604945	-.2450062	-.1624294	.2868939
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SNAP25_201012_G01	201012	1	NH007	insH2Bfabp	CD15	SNAP25	1	0	0	2	1	10	.033023	0	1	8.6266444	.9868584	.22198422	.3062664	.7014744	1	7	7	175912	4754	3024	2479	648	37	4.424e+08	1	2103647	86656	128	173	135	108	41	305036	3008	7426.2523	6920.0815	2.23e+07	67.36253	-9298383					18_SNAP25B	1	1	1	3.911111	1	1	3								-.8510585	-.7164975	-.7598096	-.9500138	-1.042247	-2.211127	-.5716375	-.5716375	-.6533766	-.2743915	-1.057414	-.807541	-.6001788	-1.660698	-1.211232	-1.400745	-1.400745	-.9252446	-.9252446	-.7000902	-1.400745	-.9252446	-.4159872
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SNAP25_201012_A01	201012	1	NH001	insH2Bfabp	CD15	SNAP25	1	0	0	2	1	10	.6649351	1	3	7.9919866	1.4632728	.19027219	.5444736	1.4029488	1	1	1	488114	5193	4056	1324	392	94	6.360e+08	1	8546360	237435	210	272	221	187	99	1483316	7871	9146.9398	9183.4516	7.20e+07	-412.2189	1.19e+07	0				18_SNAP25B	1	1	1		1	1	3								.3013365	.1656644	1.182917	-1.182917	-1.166919	2.211127	.6119958	.8320063	.7397372	.4935534	1.660698	.9252446	-.3292913	-.807541	-.807541	-2.141198	-2.141198	1.211232	1.400745	2.141198	.2450062	.9252446	2.141198
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SNAP25_201012_G02	201012	1	NH014	insH2Bfabp	CD15	SNAP25	1	0	0	2	1	10	.0359585	0	1	12.857696	1.531332	.28540829	.4764144	.4676496	1	14	14	462887	8734	7387	6860	2096	53	2.948e+09	1	4612982	164388	142	314	150	125	15	726246	1142	7745.7741	8101.6985	8845674	-761.79	-3.77e+07	7	4198.123	1060391	1466576	18_SNAP25B	1	1	1	4.666667	1	1	3	.4484255	.2434042	.4484255	.8010945	.8010945	1.281552	1.574445	.4428217	-1.059277	.5549229	-.4428217	-.4183713	.1359107	-1.312981	-1.312981	-1.166919	-1.312981	-.3722894	.7000902	2.141198	1.660698	1.660698	1.057414	.6001788	0	0	.0404405	.7000902	-.4159872	-.0404405
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SNAP25_201012_E05	201012	1	NH035	insH2Bfabp	CD15	SNAP25	1	0	0	2	1	10	1	1	3	18.675392	1.70148	.6976647	.5444736	2.4161896	1	35	35	444812	8393	8343	6276	1962	53	2.780e+09	1	4746746	204821	139	245	214	161	99	861290	8705	9122.398	8305.2499	7.94e+07	416.9575	3.03e+07	0				18_SNAP25B	1	2	1	6.691667	2	1	3								.63364	.8045964	1.182917	1.059277	.8320063	.6533766	.6119958	.9319713	.9319713	1.042247	-.3722894	.6001788	1.660698	2.141198	1.211232	.7000902	.3292913	.0809473	.9252446	-.1624294	-.1624294	.807541	1.660698
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SNAP25_201012_B04	201012	1	NH025	insH2Bfabp	CD15	SNAP25	1	0	0	2	1	10	.0529959	0	1	5.4533556	1.0549176	.74523275	.0340296	.4676496	1	25	25	130313	4204	2761	8257	3287	31	1.109e+09	1	1994318	77684	118	193	122	103										3805.033	799076.3	1009115	18_SNAP25B	1	2	1	5.95	2	1	3	-.8010945	-1.574445	-2.069902	-1.574445	-1.303783	-2.053749	-.9420758	-.7164975	-1.059277	-2.221519	1.507905	-1.744448						-1.400745	-1.660698	-.9252446	-2.141198	-.6001788	1.660698	2.141198	-1.400745	-1.211232	-.9252446	-.807541	-1.400745	-.807541
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SNAP25_201012_B09	201012	1	NH054	insH2Bfabp	CD15	SNAP25	1	0	0	2	1	10	.5483871	1	3	30.310785	2.382072	1.0623531	.6465624	5.3779704	1	5	54	572975	7849	7250	4551	1405	73	2.659e+09	1	8611728	284391	162	366	206	159	56	996660	4112	9156.6418	8640.3652	3.77e+07	125.4286	-1.57e+07	0				18_SNAP25B	1	2	2	8.627778	2	1	3								2.221519	1.756827	1.507905	2.221519	2.211127	1.312981	0	-.0677986	.1359107	-.5716375	.4604945	2.141198	1.211232	1.400745	1.057414	-.4159872	-.2450062	1.660698	2.141198	.7000902	1.400745	.4159872	1.400745
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SNAP25_201012_B05	201012	1	NH032	insH2Bfabp	CD15	SNAP25	1	0	0	2	1	10	.0172876	0	1	16.559866	1.7695392	.3012643	.4423848	1.0911824	1	32	32															7	742354	512	8599.7852	7998.7599	4403090	192.2899	-4.08e+07	65	4222.389	1118874	1503377	18_SNAP25B	1	2	1	6.483333	2	1	3	.8010945	.8010945	.9420758	1.303783	.5578848	1.080319	-.6744897	.8045964	-.0991079	.3013365	-.3711493	.5321897	.2743915	-2.211127	-2.211127	-2.211127	-1.744448													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SNAP25_201012_H04	201012	1	NH030	insH2Bfabp	CD15	SNAP25	1	0	0	2	1	10	.0425672	0	1	12.963472	1.4632728	.26955227	.3743256	.7014744	1	30	30	408867	5601	4809	6200	1984	73	2.411e+09	1	5754620	164830	177	273	181	138	109	577038	7239	9953.338	9865.4652	7.21e+07	-268.8201	3320170	10	4006.962	948956.3	1296448	18_SNAP25B	1	2	1	6.366667	2	1	3	-.3441025	-.3441025	-.2434042	.1451209	.1451209	-.1004337	-1.104836	.3013365	-.7164975	-.3711493	-.5938214	-.2743915	-.4935534	.9319713	.7397372	.8320063	.2743915	.4604945	.1624294	0	-.0809473	.7000902	.6001788	.5059336	.6001788	.0809473	1.400745	.3292913	.0404405	.5059336
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SNAP25_201012_E06	201012	1	NH042	insH2Bfabp	CD15	SNAP25	1	0	0	2	1	10	.0271481	0	1	14.655893	.7826808	.45982446	.1361184	1.3250072	1	42	42															100	676294	6794	8951.1682	7651.9146	6.08e+07	880.8484	2.00e+07	21	4266.415	1063217	1433797	18_SNAP25B	1	2	1	7.433333	2	1	3	.9420758	.3441025	.2434042	.3441025	.3441025	-.4124631	1.104836	-1.756827	.0991079	-1.327902	.3360381	-.0338798	-.1359107	.7397372	.4183713	.4935534	.7397372													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SNAP25_201012_B07	201012	1	NH046	insH2Bfabp	CD15	SNAP25	1	0	0	2	1	10	0	0	1	14.444341	1.3271544	.11099211	.4083552	1.7147152	1	46	46	301888	5117	5153	6602	2316	59	1.999e+09	2	3766047	152735	132	247	158	140	23	692820	1696	9286.25	7742.8527	1.57e+07	1127.527	-2.62e+07	10				18_SNAP25B	1	2	1	7.85	2	1	3								-.1323128	.5168467	0	-1.756827	-.1359107	-.0677986	-1.042247	-1.042247	-.9319713	-.8320063	.0404405	-.5059336	-.4159872	.1624294	0	.9252446	1.057414	-.2450062	-.1624294	-.5059336	-.0809473	-.3292913	.7000902
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SNAP25_201012_B08	201012	1	NH050	insH2Bfabp	CD15	SNAP25	1	0	0	2	1	10	.0275948	0	1	14.655893	1.3271544	.36468837	.4083552	1.6367736	1	1	50	532627	7008	5744	5048	1382	76	2.597e+09	1	5651626	191680	161	373	145	125	59	728730	4480	7932.058	7594.4894	3.55e+07	-82.43754	-4594729	52	4099.312	1026670	1425393	18_SNAP25B	1	2	2	8.15	2	1	3	.0482231	.0482231	.1451209	-.1451209	.0482231	.3054808	.0482231	-.1323128	.3711493	0	.0329879	-.0338798	.2046599	.0677986	.0677986	.0677986	-.0677986	.807541	1.660698	.807541	.7000902	.9252446	-.0809473	-.4159872	.5059336	.5059336	.6001788	1.660698	-.5524426	-.0404405
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SNAP25_201012_E02	201012	1	NH012	insH2Bfabp	CD15	SNAP25	1	0	0	2	1	10	0	0	1		.8847696	0	.2041776	.1558832	1	12	12	142832	4328	3871	2661	847	33	3.693e+08	1	2007105	80475	120	182	130	95	88	322537	6823	5889.7331	5122.363	4.02e+07	278.4427	3.12e+07	14				18_SNAP25B	1	2	1	4.505555	2	1	3								-1.118958	-2.221519	-1.182917	-2.221519		-1.744448	.4183713	.4935534	.2046599	1.166919	-1.211232	-1.400745	-.807541	-.9252446	-1.400745	-1.211232	-1.211232	-1.211232	-1.057414	-.807541	-1.057414	-1.211232	-1.130978
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SNAP25_201012_E03	201012	1	NH020	insH2Bfabp	CD15	SNAP25	1	0	0	2	1	10	.8688784	1	3	12.963472	.8847696	.38054438	.2382072	.7014744	1	20	20	319699	6524	5949	4408	1288	49	1.382e+09	1	2848677	110658	137	189	144	127	40	421040	2745	5169.3789	5414.8416	1.42e+07	-726.2361	1511067		3748.353	870973.2	1101035	18_SNAP25B	1	2	1	5.416667	2	1	3	-1.303783	-.8010945	-1.104836	-.9420758	-.9420758	-1.281552	.4484255	-1.118958	-.7164975	-1.003148	.0991079	-.2743915	-1.166919	-.6533766	-.6533766	-1.042247	.1359107	-.5059336	-.3292913	.5059336	.807541	-.5059336	-.5059336	-.7000902	-.7000902	-.6001788	-.3722894	-.9252446	-.7000902	.0809473
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SNAP25_201012_D08	201012	1	NH052	insH2Bfabp	CD15	SNAP25	1	0	0	2	1	10	0	0	1	14.973222	1.2590952	.31712032	.4083552	.9352992	1	3	52	422032	6493	5313	5376	1774	65	2.361e+09	1	4416911	176733	142	264	229	90	50	647985	3712	8524.5787	7687.8985	3.16e+07	419.2781	-9663550	26	3789.108	948462.8	1292785	18_SNAP25B	1	2	2	8.283334	2	1	3	-.9420758	-.4484255	-.3441025	-.6744897	-.0482231	.9153651	.6744897	-.3360381	-.3013365	0	-.2669941	.0677986	-.2743915	-.3097425	-.2743915	-.0677986	-.3454851	.3292913	.3292913	.4159872	.2450062	.5059336	.1624294	.2450062	-.1624294	.2450062	.0404405	0	1.211232	-1.400745
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SNAP25_201012_G03	201012	1	NH022	insH2Bfabp	CD15	SNAP25	1	0	0	2	1	10	.0592721	0	1	15.60788	1.7695392	.23784024	.4764144	.8573576	1	22	22	393480	4372	4432	4937	1398	90	1.982e+09	1	5441536	190866	158	321	184	105	12	663468	869	9443.1185	9010.7158	8206070	51.87994	-4.98e+07	0	4208.124	1337870	1474606	18_SNAP25B	1	2	1	5.566667	2	1	3	.5578848	2.069902	.6744897	-.2434042	2.069902	-1.554774	-2.069902	.8045964	-.4428217	.5549229	-.8045964	.2743915	-.2046599	-1.494155	-1.494155	-1.312981	-2.211127	1.057414	.0809473	-.7000902	-.5059336	-.0809473	-.2450062	-.3292913	.3292913	.4159872	.4604945	.9252446	.1624294	-.6001788
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SNAP25_201012_F05	201012	1	NH036	insH2Bfabp	CD15	SNAP25	1	0	0	2	1	10	.0225887	0	1	15.078998	1.2931248	.47568048	.4423848	1.0132408	1	36	36															172	836874	12848	7505.7175	7216.5769	9.64e+07	-141.4016	6.11e+07	28	4146.646	1088130	1495017	18_SNAP25B	1	3	1	6.75	3	1	3	.2434042	.5578848	.8010945	.2434042	-.1451209	-.5244005	-.2434042	-.2329639	-.2329639	.3013365	.4428217	.1359107	.5716375	1.744448	1.744448	1.494155	1.744448													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SNAP25_201012_F04	201012	1	NH028	insH2Bfabp	CD15	SNAP25	1	0	0	2	1	10	.0327709	0	1	16.136761	2.041776	.3964004	.3743256	.4676496	1	28	28	392932	6775	6943	6100	2210	58	2.350e+09	1	7061381	187854	191	319	194	157	33	564253	2422	10134.303	9383.8347	2.45e+07	380.3475	-3.81e+07	0	4311.218	1120444	1573659	18_SNAP25B	1	3	1	6.2	3	1	3	1.104836	.9420758	1.104836	.9420758	.9420758	0	.5578848	1.327902	-1.059277	-.3711493	.1656644	.4183713	-.5716375	-.8320063	-.7397372	-.4935534	-1.494155	-.0809473	0	.6001788	1.211232	.4159872	.4159872	.9252446	1.057414	.3292913	1.660698	.807541	.3292913	1.211232
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SNAP25_201012_F02	201012	1	NH013	insH2Bfabp	CD15	SNAP25	1	0	0	2	1	10	1	1	3	17.194524	1.4632728	.71352072	.4764144	3.2735472	1	13	13	496989	8147	6521	3216	1082	61	1.510e+09	2	6744612	201248	157	296	209	123	77	803845	6576	7809.6534	7731.9918	5.14e+07	-338.5111	9494164	15	4218.911	1088653	1470793	18_SNAP25B	1	3	1	4.6	3	1	3	.6744897	.6744897	.5578848	1.104836	.6744897	.6433454	-.1451209	.3013365	1.182917	.5549229	1.25212	.6533766	.4935534	.2743915	.3454851	.3454851	.4183713	.2450062	1.057414	1.400745	1.057414	-.4159872	-.9252446	-.9252446	.9252446	.7000902	.2868939	.6001788	.6001788	-.1624294
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SNAP25_201012_H03	201012	1	NH023	insH2Bfabp	CD15	SNAP25	1	0	0	2	1	10	.0480779	0	1	15.396327	1.6334208	.31712032	.4083552	.8573576	1	23	23															102	717434	7108	6876.2489	7343.7752	4.89e+07	-894.5223	1.19e+07	0	4190.106	1072638	1456736	18_SNAP25B	1	3	1	5.616667	3	1	3	.3441025	.4484255	.3441025	.4484255	.2434042	.5244005	.8010945	.5168467	-.4428217	0	-.2669941	.2046599	.0677986	.8320063	.5716375	.2743915	.5716375													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SNAP25_201012_C05	201012	1	NH033	insH2Bfabp	CD15	SNAP25	1	0	0	2	1	10	.5813953	1	3	21.108247	1.9396872	.63424064	.5444736	2.727956	1	33	33	428150	7136	6097	5169	1728	60	2.149e+09	1	4809862	158833	173	228	212	129	50	923064	3714	7518.8043	8517.639	2.79e+07	-1393.104	-2.38e+07	3				18_SNAP25B	1	3	1	6.558333	3	1	3								1.118958	.9500138	1.182917	.7598096	1.494155	1.166919	-.3097425	-.2046599	-.2046599	-.7397372	.1624294	.4159872	.9252446	.9252446	.2450062	0	.1624294	.1624294	-.0809473	1.211232	-.4159872	.7000902	.1624294
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SNAP25_201012_F01	201012	1	NH006	insH2Bfabp	CD15	SNAP25	1	0	0	2	1	10	1	1	3	4.9244741	.9528288	.12684813	.4083552	6.4691528	1	6	6	327411	5953	5647	7881	2544	55	2.824e+09	1	3697445	119672	157	216	145	139	35	536120	2239	9390.3939	7673.1833	2.10e+07	1299.398	-2.01e+07	58	4027.898	1009922	1407449	18_SNAP25B	1	3	1	3.816667	3	1	3	-.2434042	-.0482231	.0482231	.6744897	-.2434042	-.3054808	.3441025	-.9500138	2.221519	0	-1.507905	-2.211127	-.7397372	-.7397372	-.8320063	-.7397372	-.6533766	-.1624294	-.2450062	.2450062	.6001788	1.400745	1.400745	1.211232	-.3292913	-.5059336	.2868939	-.5059336	-.5524426	.6001788
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SNAP25_201012_C03	201012	1	NH018	insH2Bfabp	CD15	SNAP25	1	0	0	2	1	10	1	1	3	10.107513	0	.14270414	.4423848	1.2470656	1	18	18	155947	3318	3489	2943	1055	47	4.492e+08	1	2013030	77244	113	179	132	95	64	457955	4776	5011.5452	5176.2832	2.39e+07	-652.1621	1.43e+07	0	3827.084	881650.1	1153133	18_SNAP25B	1	3	1	5.216667	3	1	3	-.6744897	-.6744897	-.8010945	-.5578848	-1.574445	-.6433454	1.303783	-2.221519	.0329879	.3013365	-1.327902	-.7397372	-.9319713	.1359107	.1359107	-.5716375	.6533766	-.7000902	-.9252446	-2.141198	-1.211232	-1.057414	-1.057414	-1.057414	-1.057414	-1.400745	-1.300153	-1.211232	-1.057414	-1.130978
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SNAP25_201012_H02	201012	1	NH015	insH2Bfabp	CD15	SNAP25	1	0	0	2	1	10	0	0	1	19.944708	1.1570064	.65009666	.0680592	2.9617808	1	15	15	528386	6862	5570	6407	2205	77	3.134e+09	1	5951894	202848	138	269	246	144	125	874472	9855	8278.0511	8326.0489	8.16e+07	-447.6086	3.22e+07	0				18_SNAP25B	1	3	1	4.75	3	1	3								-.5938214	1.059277	-1.756827	.8510585	1.166919	.7397372	1.312981	1.494155	1.042247	1.312981	.9252446	1.400745	.7000902	.5059336	2.141198	.807541	.807541	.7000902	.807541	-.2450062	.1624294	2.141198	.807541
