filename	date	plate	index	control_1_mutant_0	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	tp53inp1_nwt	tp53inp1_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate02_TP53INP1_201028_A09	201028	2	NE404		insH2Bfabp	CD15	TP53INP1	1	0	0	2	1	9	0	0	1	11.580356	.4764144	.3012643	.510444	2.1823648	1	20	118	299777	5259	4915	15983	5815	57	4.254e+09	1	3687160	132121	148	242	138	128	81	486148	6243	24132.605	20979.707	1.51e+08	1029.835	-5.96e+07	0	3867.675	966212.8	1259229	23_TP53INP1	1	1	3	10.65	1	1	11	-.7782177	-.3387705	-.5341752	-.3939513	-.0159326	.2710356	-.2386158	-.7082911	.0439045	-.4130954	-1.11137	.3254671	-.6347654	-.081702	-.0583267	.9012755	-1.031459	.0121684	-.2270455	-.5146521	-.264672	.0426012	.7210581	1.11002	-.0547838	-.2772953	.6744897	-.0608781	-1.055357	.5567915
InsH2Bfabp_CD15_09dpf_VAST02_plate02_TP53INP1_201028_E03	201028	2	NE367		insH2Bfabp	CD15	TP53INP1	1	0	0	2	1	9	1	1	2	3.6817082	.4423848	.3964004	.3743256	.5455912	1	32	81	190986	4897	4361	15213	5483	39	2.729e+09	2	1867253	88054	87	202	162	123	97	417079	7919	12693.542	10810.181	1.01e+08	809.8315	7371613	34	3804.108	881081.9	1106283	23_TP53INP1	1	1	2	7.15	1	1	11	-1.130004	-.9820262	-1.28397	-.3144339	.998996	-1.506971	-1.129299	-.7982758	-1.380882	-1.067571	-.5266227	-2.3136	-1.181991	.2654048	.3696707	.2835644	.3079248	-1.034354	-1.066035	-.7210581	-.5854392	-.45984	.5710568	.9076226	-1.284323	-1.024021	-1.590818	-.9076226	-.2836234	.3540506
InsH2Bfabp_CD15_09dpf_VAST02_plate03_TP53INP1_201028_A02	201028	3	NE416		insH2Bfabp	CD15	TP53INP1	1	0	0	2	1	9	1	1	2	9.049623	.3062664	.34883235	.4423848	1.558832	1	32	130															10	269856	672	13119.009	15103.486	8815974	-3501.092	-1.34e+08	56				23_TP53INP1	1	1	3	11.53333	1	1	11								-1.279355	-.1863885	-.7207839	-.8251853	-.3899795	-2.13749	-1.844459	-1.912485	-1.460379	-2.034905													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TP53INP1_201028_A08	201028	1	NE335		insH2Bfabp	CD15	TP53INP1	1	0	0	2	1	9	.6857143	1	2	14.40409	.8847696	.26955227	.6125328	1.558832	1	49	49	447718	6489	6022	12479	3889	69	5.384e+09	2	4929393	178803	159	321	168	102	150	656492	11629	19005.03	16328.184	2.21e+08	1033.839	6.43e+07	23	4282.696	1095263	1443682	23_TP53INP1	1	1	1	4.65	1	1	11	1.05293	.9137094	.6946285	1.068919	1.855258	-.5573728	-.4856815	.0096783	-.1863885	-.0532547	-1.385096	1.171546	.7228575	1.041433	1.011812	1.11438	1.092944	.8023853	.6744897	.14654	.5999438	.393196	.177363	.1158556	.7210581	.6592913	1.034354	1.357075	-.177363	-.8108084
InsH2Bfabp_CD15_09dpf_VAST02_plate02_TP53INP1_201028_A05	201028	2	NE377		insH2Bfabp	CD15	TP53INP1	1	0	0	2	1	9	1	1	2	9.4895374	.340296	.17441618	.3743256	1.0911824	1	42	91	271847	6630	5930	16286	4972	41	4.246e+09	1	3122409	118301	134	201	184	92	55	409590	3788	11632.28	10247.264	4.41e+07	369.5814	-4.26e+07	19	3690.579	883609	1201717	23_TP53INP1	1	1	2	8.216666	1	1	11	-1.578692	-.947315	-.8676367	-.8646443	-.5775628		-1.458376	-1.11137	-.6233205	-1.067571	-2.111271	-.2533471	-1.230247	-.5649717	-.6635525	-.3821831	-.6929004	-.8984756	-.6145757	.264672	.4734077	.0304249	.7692455	.6145757	-.5426386	-.6293404	.0426012	-.9261483	.4329535	-1.230669
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TP53INP1_201028_A06	201028	1	NE320		insH2Bfabp	CD15	TP53INP1	1	0	0	2	1	9	1	1	2	7.0056846	.3743256	.52324853	.4764144	1.0911824	1	34	34	274990	7432	6227	17241	4982	37	4.425e+09	2	2639047	96212	105	261	179	92	44	505403	3385	20577.327	12977.24	6.97e+07		-4.85e+07	15	3647.806	772070	1042177	23_TP53INP1	1	1	1	3.633333	1	1	11	-1.700787	-2.164385	-1.61675	-1.698774	-1.415986	-1.243628	-1.839855	-1.025729	-.6233205	-.5773448	-.0145177	-.9859902	-.4846749	-.8088444	-.8007855	-.0583267	-.7848216	-1.121357	-.5710568	.8192893	.7369298	.1526925	1.087765	.6293404	-.8023853	-.8894032	-1.024021	.3475804	.2709782	-1.230669
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TP53INP1_201028_E06	201028	1	NE324		insH2Bfabp	CD15	TP53INP1	1	0	0	2	1	9	0	0	1	7.9665165	.7826808	.58667259	.5444736	.779416	1	38	38	324374	5593	4555	14775	4455	58	4.698e+09	1	3933726	146956	136	237	154	133	42	712897	3203	16595.819	15438.464	5.32e+07	-393.8309	-9.33e+07	18	4133.083	1074268	1479690	23_TP53INP1	1	1	1	3.85	1	1	11	.2742425	.7161268	.998996	.944957	.7219276	-.8016987	.6676047	-.0726496	-.9570909	-.2693702	.0969326	-.6264277	1.071998	-.8753282	-.8839111	-.271448	-1.704048	.097499	-.0304249	-.2772953	-.4734077	.2772953	.50081	.3282556	.140393	.0791753	.14654	-.214577	-.5426386	.8023853
InsH2Bfabp_CD15_09dpf_VAST02_plate02_TP53INP1_201028_E08	201028	2	NE402		insH2Bfabp	CD15	TP53INP1	1	0	0	2	1	9	.013089	0	1	8.9087544	.4423848	.20612821	.2041776	1.3250072	1	18	116	270400	4507	3434	5126	1689	60	1.317e+09	1	4190437	144766	142	255	154	129	64	605272	4624	19343.607	16817.646	8.94e+07	832.4383	-7.29e+07	26	4439.917	1119069	1508027	23_TP53INP1	1	1	3	10.51667	1	1	11	1.918207	1.155646	1.236961	.8802509	.6878846	-1.219308	1.903176	-.7982758	-.3379398	-1.958315	-1.926403	-.4657712	.3821831	-.3821831	-.4978289	.187635	-1.230247	.220807	-.6293404	-1.024021	-1.312592	-1.044798	-1.205124	-1.066035	.2270455	.0182532	.4262813	.214577	-.5426386	.5999438
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TP53INP1_201028_A04	201028	1	NE307		insH2Bfabp	CD15	TP53INP1	1	0	0	2	1	9	.9123917	1	2	12.962842	.4083552	.33297634	.2722368	.389708	1	21	21	267464	4953	4527	12835	3875	54	3.366e+09	1	3218287	129816	121	262	209	94	269	667336	21054	16853.889	14402.81	3.55e+08	1006.777	2.20e+08	22	4176.459	961233.2	1272822	23_TP53INP1	1	1	1	2.783333	1	1	11	.5650586	-.3853205	-.4094582	.6512368	-.590158	.770659	-1.108737	-.9245263	-2.208099	-1.424022	-.9394683	.7815437	.8169562	2.269206	2.458459	2.13749	2.269206	-.1526925	-.6442436	-.6744897	-.5146521	-.2021419	.2021419	.1036139	-.4734077	-.3540506	-.5077189	.3800834	1.121357	-1.087765
InsH2Bfabp_CD15_09dpf_VAST02_plate02_TP53INP1_201028_A07	201028	2	NE392		insH2Bfabp	CD15	TP53INP1	1	0	0	2	1	9	.6517021	1	2	6.4694662	.340296	.20612821	.4083552	1.2470656	1	8	106	285993	4269	4034	9753	3708	67	2.617e+09	1	4290607	137284	142	301	171	92	117	538530	8976	36162.571	31557.262	3.25e+08	1390.605	-7567065	0				23_TP53INP1	1	1	3	9.608334	1	1	11								-1.11137	-.4378726	-.9024924	-1.926403	-1.171546	-.1521486	.6135165	.6205683	1.756109	-.1051219	.6072435	-.4329535	-1.205124	-.7857075	-.4870631	-.3411247	.0304249	.3026771	-.1650152	.4262813	1.034354	-.0852799	-1.230669
InsH2Bfabp_CD15_09dpf_VAST02_plate02_TP53INP1_201028_A04	201028	2	NE370		insH2Bfabp	CD15	TP53INP1	1	0	0	2	1	9	.7992582	1	2	7.7471886	.7146216	.42811243	.510444	.6235328	1	35	84	294786	6700	5125	14661	4892	44	4.439e+09	1	4621008	131833	136	340	145	97	127	527346	9437	14299.87	12663.414	1.35e+08	371.6648	2.04e+07	29	3985.483	977592.4	1334760	23_TP53INP1	1	1	2	7.466667	1	1	11	-.3410701	-.2030059	.0159326	-.3595965	-.7014042	-.9170987	-.8589812	-.2046599	-1.162244	-.4130954	-.2996046	-.7354442	-.2835644	.7534779	.7228575	.7380812	.6064951	-.7369298	-.3282556	.3670359	-.1036139	.1650152	.4734077	.5567915	.4870631	-.3026771	.14654	1.683734	-.9076226	-.9449974
InsH2Bfabp_CD15_09dpf_VAST02_plate02_TP53INP1_201028_A01	201028	2	NE350		insH2Bfabp	CD15	TP53INP1	1	0	0	2	1	9	0	0	1	13.206548	.4764144	.3012643	.4764144	2.0264816	1	15	64	519285	6924	6119	19137	5860	75	9.703e+09	1	5057296	193442	142	276	210	106	91	572545	6687	17405.254	15470.936	1.16e+08	379.7804	-3.05e+07	6	4127.35	1014872	1396623	23_TP53INP1	1	1	2	5.8	1	1	11	.2522505	.1808036	.4326704	.370999	.2413007	-1.37807	-.5872772	-.7082911	.0048767	-.5773448	-1.11137	.8791677	.1639539	.1757821	.0700096	.5244005	-.5110696	1.13284	1.066035	.5426386	.651749	1.858438	1.437819	1.205124	.7529894	.9837413	.4262813	.5926759	1.168219	-.6442436
InsH2Bfabp_CD15_09dpf_VAST02_plate03_TP53INP1_201028_E02	201028	3	NE420		insH2Bfabp	CD15	TP53INP1	1	0	0	2	1	9	.65	1	2	9.5998879	.170148	.31712032	.3743256	1.94854	1	36	134	384906	6524	5142	11669	3815	59	4.117e+09	1	4626577	152670	141	254	176	117	137	522846	9983	30486.767	26459.916	3.04e+08	1338.212	3.09e+07	53	3863.666	911826.5	1188244	23_TP53INP1	1	1	3	11.78333	1	1	11	-.7926769	-.7736624	-.9313067	-.280983	-.7219276		-.17124	-1.744448	-.0292644	-1.067571	-1.017574	-.226658	-.320173	.9368471	.8007855	1.570585	.8333433	.1588508	.2899629	.177363	-.0791753	.0060841	.0426012	.0791753	.50081	.1897378	.3800834	.1835469	.1219828	-.0365124
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TP53INP1_201028_E09	201028	1	NE346		insH2Bfabp	CD15	TP53INP1	1	0	0	2	1	9	1	1	2	8.4469324	.7826808	.36468837	.6125328	1.169124	1	11	60	299477	6655	5527	15380	5064	45	4.394e+09	1	3076142	132179	116	244	167	127	94	577576	7873	14567.278	13912.849	1.15e+08	-739.3087	-1.42e+07	0				23_TP53INP1	1	1	2	5.375	1	1	11								-.0726496	-.5367509	-.0532547	-.7145236	-.5443409	.1757821	.2233594	.3572158	.5110696	-.2593712	-.6293404	-.2520908	.3026771	.1526925	.140393	.6293404	.7529894	-.5567915	-.264672	-.6821476	0	-.2083554	.5146521
InsH2Bfabp_CD15_09dpf_VAST02_plate03_TP53INP1_201028_A04	201028	3	NE424		insH2Bfabp	CD15	TP53INP1	1	0	0	2	1	9	.8353519	1	2	10.920524	.2382072	.36468837	.4764144	1.7926568	1	40	138	431362	7189	5863	10265	2972	60	4.292e+09	1	3419082	138668	139	254	139	113	102	549510	6306	22201.435	19629.089	1.40e+08	588.6729	-5.47e+07	16	3886.754	948223.6	1251842	23_TP53INP1	1	1	3	12.26667	1	1	11	-.6946285	-.5369468	-.6028475	-.5866381	-.2742425	.653186	-1.341295	-1.524383	-.0878938	-.5773448	-.7145236	.1737411	0	.3448162	-.0349833	.8007855	-.9550847	.220807	.6145757	.7369298	.4063765	.0913878	-.2395494	-.4196279	-.3154405	-.1036139	.3218414	.1835469	-1.003678	-.3411247
InsH2Bfabp_CD15_09dpf_VAST02_plate02_TP53INP1_201028_E06	201028	2	NE388		insH2Bfabp	CD15	TP53INP1	1	0	0	2	1	9	.0162834	0	1	17.736655	.8847696	.41225642	.7146216	1.2470656	1	4	102	394789	5892	5098	15322	5355	67	6.288e+09	1	4093770	163589	141	269	156	122	130	614464	9167	14202.111	13543.207	1.30e+08	-696.6848	5556767	0	4046.293	1093887	1352839	23_TP53INP1	1	1	3	9.3	1	1	11	-.0265564	.8811052	.1438825	.0961465	1.192537	-.2357375	-1.012281	.0096783	-.4378726	.1115289	-.402578	1.628361	.4716042	.8169562	.6635525	.6929004	.2353289	.6072435	.393196	-.140393	-.140393	.705366	.6145757	.8714744	.2021419	.4063765	.3800834	.4870631	-.45984	.3090526
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TP53INP1_201028_A03	201028	1	NE301		insH2Bfabp	CD15	TP53INP1	1	0	0	2	1	9	0	0	1	5.180104	.1361184	.31712032	.3062664	.389708	1	15	15	606342	9624	9026	10896	3017	63	6.376e+09	1	5967807	210632	137	301	249	113	206	779964	15696	19788.741	17093.271	3.11e+08	973.5021	1.45e+08	0	4252.305	1025384	1399045	23_TP53INP1	1	1	1	2.4	1	1	11	.9478215	.2929437	.456118	.9617599	.2632306	.4161876	.0605038	-1.840894	-2.208099	-1.268461	-1.017574	-1.596645	1.427318	1.656234	1.531761	1.656234	1.877387	.3735517	1.437819	2.443065	2.120302	.7210581	-.1036139	-.3411247	1.205124	1.341952	.2332929	1.034354	1.931688	-.3411247
InsH2Bfabp_CD15_09dpf_VAST02_plate03_TP53INP1_201028_A03	201028	3	NE423		insH2Bfabp	CD15	TP53INP1	1	0	0	2	1	9	0	0	1	11.911001	.4083552	.42811243	.2382072	.779416	1	39	137	319196	5410	4695	11169	3181	59	3.547e+09	1	3284185	147508	139	193	181	137	158	566640	12017	21248.145	19149.397	2.55e+08	164.5802	6.61e+07	104	3925.718	928679.2	1255147	23_TP53INP1	1	1	3	11.98333	1	1	11	-.5158886	-.702113	-.5775628	-.8960749	-.6092287	-.7860842	-.2048116	-.9245263	-.9570909	-1.642985	-.2996046	.4465882	.0700096	1.158864	1.092944	1.308518	1.11438	.1588508	-.0547838	-.3670359	-.4063765	-.1650152	-.0304249	-.2395494	-.4063765	.0913878	.3218414	-1.076836	.3540506	1.121357
InsH2Bfabp_CD15_09dpf_VAST02_plate02_TP53INP1_201028_E04	201028	2	NE373		insH2Bfabp	CD15	TP53INP1	1	0	0	2	1	9	1	1	2	9.605694	.6125328	.38054438	.3743256	.4676496	1	38	87	307200	5486	4541	14789	4895	56	4.337e+09	1	3372601	140344	134	251	177	94	119	517472	7696	13672.358	13456.352	1.05e+08	-1130.619	-1.84e+07	30	3891.818	998542.5	1258765	23_TP53INP1	1	1	2	7.75	1	1	11	-.6285236	-.0163483	-.5526422	1.540641	1.308576	-.2710356	-1.731664	-.4395933	-1.763471	-1.067571	-.6295981	-.1737411	-.3572158	.6419122	.3324693	.4073909	-.3079248	-.0608781	-.1526925	-.3282556	-.50081	.1036139	.5285937	.5710568	-.3411247	-.0913878	.0426012	.1219828	.1650152	-1.087765
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TP53INP1_201028_E04	201028	1	NE310		insH2Bfabp	CD15	TP53INP1	1	0	0	2	1	9	.8895906	1	2	11.905927	.1020888	.47568048	.4083552	1.4808904	1	24	24	503896	7521	6708	13764	4713	67	6.902e+09	1	5032561	190959	145	330	169	125	88	627440	6799	18197.194	17697.913	1.24e+08	-1285.089	-4.88e+07	1	4140.246	1017623	1368914	23_TP53INP1	1	1	1	3.033333	1	1	11	.3186394	.1918929	.2086189	1.127397	.3750449	-.5841923	-.7094098	-1.926403	-.2362617	-.9024924	-.1115289	.4275682	.6064951	.0875522	.0934055	.6490918	-.8007855	.6072435	1.003678	.9076226	.9076226	.8714744	.3282556	.4802242	.7369298	.9261483	.5426386	1.612762	-.1342513	.4666131
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TP53INP1_201028_E05	201028	1	NE318		insH2Bfabp	CD15	TP53INP1	1	0	0	2	1	9	1	1	2	9.1195147	.4423848	.34883235	.3743256	.5455912	1	32	32	274924	5187	4785	15844	6048	53	3.927e+09	1	5537778	142959	167	238	179	134	30	530421	2480	15996.743	14250.879	3.97e+07	317.2415	-9.31e+07	43	3863.415	935662.6	1267528	23_TP53INP1	1	1	1	3.483333	1	1	11	-.8073037	-.6744897	-.456118	-.5244005	-.421036	-.8497671	-.9762363	-.7982758	-1.380882	-1.067571	-.8251853	-.371393	-.2114218	-1.170349	-1.158864	-.4716042	-1.656234	-.2083554	-.5854392	-.5567915	-.3282556	-.0547838	.6744897	1.372516	.9837413	-.0304249	1.372516	-.1588508	.2709782	.8984756
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TP53INP1_201028_E01	201028	1	NE290		insH2Bfabp	CD15	TP53INP1	1	0	0	2	1	9	1	1	2	7.5821837	.2382072	.3012643	.6465624	1.0911824	1	4	4	285598	6347	6030	10213	3891	45	2.786e+09	2	3545592	150030	112	264	172	134	74	595864	5600	17343.774	14799.197	9.71e+07	1059.366	-4.20e+07	19	4022.217	994205.9	1342371	23_TP53INP1	1	1	1	1.716667	1	1	11	-.1546229	-.0381536	.0690934	.4287776	-.1010742	1.243628	-.5613464	-1.524383	-.6233205	.0387221	-1.11137	-.7933289	.320173	-.2114218	-.271448	.271448	-.6781535	-.6293404	-.4870631	.0913878	.6293404	-.4329535	-.2520908	.1281146	-.2021419	.1281146	-.8192893	.4129931	-.0426012	.8984756
InsH2Bfabp_CD15_09dpf_VAST02_plate02_TP53INP1_201028_A08	201028	2	NE399		insH2Bfabp	CD15	TP53INP1	1	0	0	2	1	9	.0148464	0	1	16.575089	.0680592	.34883235	.5444736	2.5720728	1	15	113															189	833700	14319	22837.651	19520.088	3.27e+08	1345.139	1.34e+08	1				23_TP53INP1	1	1	3	10.2	1	1	11								-2.158512	.1074942	-.2693702	-.8251853	1.458047	1.756109	1.427318	1.336471	1.813418	1.531761													
