filename	date	plate	index	anxa6_dich	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	qRNA	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ANXA6_220616_A05	220616	1	MD029	0	insH2Bfabp	CD15	ANXA6	1	0	0	2	1	9	13.883979	21.336559	6.8339429	2.8244568	9.1191672	1	29	29	181204	4214	4157	10687	3752	43	1.966e+09	2	2444076	87119	86	259	187	97	17	484510	1290	1907.9543	2372.0308	2461261	-348.826	241813.3	0	3978.44	967543.6	1215968	44_ANXA6	1	1	1	3.166667	1	1	1	8	-.3760274	-.3593968	-1.3116	-.1957222	.5194481	.7339767	.2399812	1.328539	.0401168	.8761429	1.011034	-.27188	-.7383242	-.4748125	-.1598289	-.4972006	-.1196481	-.9271548	-.9881546	-.7112601	-.1940281	-.3957253	.9881546	1.122762	-1.122762	-1.19838	-1.608653	.8144545	.2137151	-.8979152
InsH2Bfabp_CD15_09dpf_VAST02_plate02_ANXA6_220616_A02	220616	2	MD065	0	insH2Bfabp	CD15	ANXA6	1	0	0	2	1	9	16.040733	12.250656	6.2948384	2.1438648	8.3397512	1	16	65	301145	6844	6255	8229	2755	44	2.456e+09	1	3260884	129343	123	229	196	106	23	504218	1280	1946.6672	2010.5705	2491734	159.7573	6392773	5				44_ANXA6	1	1	2	5.375	1	1	1	8								-.5244005	-.5129304	-.0796597	.6557267	.3343768	-.4972006	-.0198952	-.2002695	-.4526599	.9057289	-.8416212	.1548709	1.481544	1.608653	.0385731	.0385731	.1940281	-.5691847	-.3543496	-.4166655	-.4806444	.6866431	-.4591118
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ANXA6_220616_E06	220616	1	MD041	0	insH2Bfabp	CD15	ANXA6	1	0	0	2	1	9	13.625169	19.737168	5.3593334	3.40296	7.3265104	1	41	41	319098	4693	4506	11493	3813	68	3.817e+09	1	4115437	150183	107	250	201	150	23	446566	1407	2863.0903	2590.1943	4028368	322.7143	-1885169	13	3855.451	964732.4	1350192	44_ANXA6	1	1	1	3.85	1	1	1	8	-1.215598	-.5043221	-.2399812	-.0216105	-1.051338	.0696849	-.3300273	1.062519	-1.098468	1.332976	-.1611186	-.3449144	-1.103428	-.0198952	-.0397983	.1598289	-.409	.5024022	.313572	-.2733094	.1159498	1.122762	1.122762	1.19838	.2334853	.1159498	-1.053073	.2933812	.9881546	1.481544
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ANXA6_220616_A08	220616	1	MD051	0	insH2Bfabp	CD15	ANXA6	1	0	0	2	1	9	17.334786	10.957531	5.3593334	2.5862496	9.8206416	1	2	51	251784	4496	4090	7088	2353	56	1.846e+09	1	4760125	134954	156	253	184	115	26	516742	1528	2383.1852	2519.9178	3641507	-65.83672	-1082062	93	4125.767	1035164	1454134	44_ANXA6	1	1	2	4.483333	1	1	1	8	.2399812	.3593968	.7874227	-.4705935	-.0216105	.5084881	.0216105	-.7454495	.3477872	.6620542	-.1611186	.6620542	-.3661064	.1196481	0	0	-.2410404	-.0578776	-.3543496	-.4377901	-.2733094	-.5244005	-.3543496	-.2733094	.8694237	-.1940281	1.020076	.3957253	.0965586	-.1940281
InsH2Bfabp_CD15_09dpf_VAST02_plate02_ANXA6_220616_A01	220616	2	MD057	0	insH2Bfabp	CD15	ANXA6	1	0	0	2	1	9	13.366358	13.271544	5.7240218	1.191036	8.4176928	1	8	57	236891	5922	4717	11587	4022	40	2.944e+09	1	2467098	108094	119	276	129	80	37	428234	2081	2059.89	2153.5075	4286631	87.1731	5767366	8	3917.464	901643.1	1239341	44_ANXA6	1	1	2	4.866667	1	1	1	8	-.9789874	-1.412188	-1.129657	-1.945423	-.5695757	-1.085325	-.0648721	-.2637144	-.4789137	-1.241867	.1712846	-.5084881	-1.263668	.6870306	.409	.3238762	.6870306	-1.159742	-.6151411	.7112601	.3957253	.3957253	1.19838	1.481544	-1.053073	-.7618428	-.6624353	1.281552	-1.481544	-1.683348
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ANXA6_220616_E07	220616	1	MD048	0	insH2Bfabp	CD15	ANXA6	1	0	0	2	1	9	9.9155514	23.00401	6.0252861	2.3140128	9.9765248	1	48	48	111722	3990	4014	6218	2138	28	6.691e+08	1	1392493	64184	114	136	130	104	60	407260	4273	1974.4135	2143.8744	8436669	14.219	1.01e+07					44_ANXA6	1	1	1	4.291667	1	1	1	8								1.490853	.4343973	.169912	.3477872	-1.494976	-1.593219	1.593219	1.465234	1.179761	1.263668	-1.869607	-1.768825	-.9881546	-.3957253	-1.122762	-.6151411	-.5691847	-1.608653	-1.608653	-.7363159	-1.768825	-1.37468	-.6866431
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ANXA6_220616_A06	220616	1	MD037	0	insH2Bfabp	CD15	ANXA6	1	0	0	2	1	9	13.970249	8.847696	6.960791	2.55222	7.8721016	1	37	37	402344	7889	7189	8410	2834	51	3.230e+09	1	4665337	172642	126	247	219	132													44_ANXA6	1	1	1	3.633333	1	1	1	8								-1.237235	-.7857738	.5543124	1.174987	-.2512934						-.3957253	.9271548	2.423196	2.423196	.6151411	.1940281	.313572	.6151411	.8144545	-.2334853	.1159498	1.768825	.5466556
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ANXA6_220616_A01	220616	1	MD001	0	insH2Bfabp	CD15	ANXA6	1	0	0	2	1	9	14.57414	16.232119	5.3593334	3.1307232	9.9765248	1	1	1																								3960.402	892596.1	1190682	44_ANXA6	1	1	1	1.75	1	1	1	8	-.4705935	-1.707553	-1.551885	-2.38152	-.4228376	-.1163093	-.6744897	.4015707	.4343973	1.160042	-.1611186	-.0796597																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ANXA6_220616_B04	220616	1	MD023	1	insH2Bfabp	CD15	ANXA6	1	0	0	2	1	9	18.111217	14.020195	3.8371559	2.55222	8.8074008	1	23	23	381286	5017	5154	7037	2285	76	2.864e+09	2	3979023	171704	132	250	183	138	20	771247	1240	3350.7355	3036.2196	4154912	230.5613	-9311021	4	4264.875	1080548	1526809	44_ANXA6	1	2	1	2.85	2	2	1	8	1.129657	.7745655	1.051338	.2847156	.1518435	-.3064536	.5695757	-.1509692	-.2741101	.5543124	-1.281552	1.016222	1.263668	-.3029805	-.2822162	.2410404	-1.357561	1.281552	.7618428	0	.9271548	.2733094	-.3957253	-.3957253	.0772036	.7618428	.019283	.2933812	.0385731	.8694237
InsH2Bfabp_CD15_09dpf_VAST02_plate02_ANXA6_220616_B02	220616	2	MD066	1	insH2Bfabp	CD15	ANXA6	1	0	0	2	1	9	17.334786	11.638123	2.980931	2.3140128	9.0412256	1	17	66	551272	7552	6257	7726	2080	73	4.055e+09	1	5614221	201286	133	347	196	116	29	704832	1786	2329.7598	2596.1571	4160951	-218.3672	-1853551	0				44_ANXA6	1	2	2	5.4375	2	2	1	8								-.6188731	-.0200544	.169912	-1.706043	.6620542	1.103428	.3449144	.1598289	.2822162	-.3661064	1.053073	1.993984	1.993984	1.768825	1.37468	-.1159498	-.6151411	1.481544	1.37468	.0965586	2.423196	.6866431	-.1159498
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ANXA6_220616_B08	220616	1	MD052	1	insH2Bfabp	CD15	ANXA6	1	0	0	2	1	9	29.153798	22.425506	4.3604044	1.2590952	6.7809192	1	3	52	166221	3614	3664	2265	692	46	3.963e+08	1	2960651	112723	120	246	169	87	8	543863	292	2216.8733	2451.3323	647327	-142.9927	-2914906	7				44_ANXA6	1	2	2	4.55	2	2	1	8								1.378659	-1.405072	-1.160042	-.9153651	2.654759	-.1196481	-1.179761	-1.465234	-1.593219	-.5427505	-.7363159	-1.053073	-1.19838	-.8694237	-1.608653	-2.423196	-2.423196	-.7112601	-.6624353	-.5691847	.019283	-.313572	-1.19838
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ANXA6_220616_F06	220616	1	MD042	1	insH2Bfabp	CD15	ANXA6	1	0	0	2	1	9	13.280088	15.27929	3.6310277	3.062664	8.8074008	1	42	42	150694	4432	4568	7423	2691	34	1.059e+09	1	1622221	79971	89	213	145	94	31	479010	2169	2425.8774	2448.3426	5261728	69.89777	1750119	33	3840.789	913277	1251722	44_ANXA6	1	2	1	3.916667	2	2	1	8	-1.421497	-1.301807	-1.051338	-1.551885	-1.551885	-.3554904	-1.551885	.1105162	-.2741101	1.067571	-1.378659	-.5776624	-.8473045	.4748125	.4972006	.409	.1196481	-1.608653	-1.19838	-.5466556	.1940281	-.9271548	-.2334853	.0772036	-1.37468	-1.281552	-1.37468	-.9881546	-1.053073	-1.053073
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ANXA6_220616_B07	220616	1	MD045	1	insH2Bfabp	CD15	ANXA6	1	0	0	2	1	9	15.264302	23.582513	6.1997023	3.5390784	7.6382768	1	45	45	211843	4413	3730	10602	3456	48	2.166e+09	1	2567608	98567	93	248	193	104	30	535132	2032	2989.1885	2867.2375	6074031	88.6779	-4530585	22	3951.942	970040.9	1376734	44_ANXA6	1	2	1	4.116667	2	2	1	8	-.5695757	-.2669941	.1518435	-.3300273	-.6211776	1.382994	-.4705935	1.554774	-.900226	1.465234	.5475513	.149762	-.2002695	.409	.3238762	.5894558	-.6870306	-.5920066	-.8144545	-.6624353	-.6624353	-.1940281	.8694237	.8144545	-.9881546	-.9881546	-1.281552	.2137151	.5466556	-.6866431
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ANXA6_220616_F03	220616	1	MD020	1	insH2Bfabp	CD15	ANXA6	1	0	0	2	1	9	15.523112	15.857794	5.7240218	2.0077464	9.2750504	1	20	20	298362	4144	4147	8193	2417	72	2.583e+09	1	4038132	162510	135	257	160	124	1	618462	128	2458.9609	2053.6647	314747	616.032	3486087	93	4095.08	1034506	1438029	44_ANXA6	1	2	1	2.65	2	2	1	8	.1082554	.3128614	.5194481	-.2399812	.7874227	1.914506	-.7874227	.2845356	.1004337	-.2104284	.1712846	.2002695	.6870306	-2.147594	-1.980752	-1.980752	.2822162	.9271548	.1159498	-.8144545	-.2334853	.1940281	0	-.2334853	.1940281	.4806444	.1548709	.7618428	-.7112601	.1548709
InsH2Bfabp_CD15_09dpf_VAST02_plate02_ANXA6_220616_F01	220616	2	MD062	1	insH2Bfabp	CD15	ANXA6	1	0	0	2	1	9	15.178032	1.9737168	7.2779113	1.9056576	8.8853424	1	13	62	425733	5068	4073	8552	2636	84	3.594e+09	1	1378	587	13	18	12	11	13	545364	739	2825.1055	3145.1041	2087753	-436.6102	-1.32e+07	2	4222.513	982153.3	1406507	44_ANXA6	1	2	2	5.183333	2	2	1	8	.7874227	-.0880656	.3300273	-1.3116	-1.129657	-.7339767	-.7297922	-1.911036	-.2018935	-.3238762	1.328539	.099634	-.0397983	-.7647097	-.7916386	-.6374841	-1.593219	1.608653	1.122762	.1159498	-.313572	.9881546	.2334853	0	-2.423196	-2.423196	-2.423196	-2.423196	-2.423196	-2.423196
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ANXA6_220616_F05	220616	1	MD034	1	insH2Bfabp	CD15	ANXA6	1	0	0	2	1	9	16.472084	12.79513	5.4703255	2.4161016	8.2618096	1	34	34															34	703815	2364	2859.8367	3027.6934	6760654	-249.2542	-6560909	240	4141.629	1060196	1502285	44_ANXA6	1	2	1	3.483333	2	2	1	8	.2847156	.5043221	.9789874	-.1082554	-.4705935	-1.914506	.4705935	-.3907257	-.559237	.3449144	-.0401168	.4637077	1.033036	.5894558	.5427505	.6374841	-.9057289													
InsH2Bfabp_CD15_09dpf_VAST02_plate02_ANXA6_220616_F02	220616	2	MD070	1	insH2Bfabp	CD15	ANXA6	1	0	0	2	1	9		15.789734	6.1521342	2.041776	6.8588608	1	21	70	97052	2489	2409	4067	1465	39	3.814e+08	1	2723319	93066	120	242	153	81										3989.455		1101124	44_ANXA6	1	2	2	5.65	2	2	1	8	-.2847156		-1.945423	2.38152	-2.38152	-.7961826	-.9789874	.2637144	-1.328539	-.1901312	.4676988							-1.281552	-1.993984	-1.768825	-1.768825	-1.768825	-1.37468	-1.122762	-.8144545	-1.053073	-.5691847	-.1353847	-.9271548	-1.481544
InsH2Bfabp_CD15_09dpf_VAST02_plate02_ANXA6_220616_B01	220616	2	MD058	1	insH2Bfabp	CD15	ANXA6	1	0	0	2	1	9	14.660411	16.776593	5.4703255	2.1438648	7.0926856	1	9	58	282980	4796	4500	6208	2010	59	1.754e+09	1	3983834	136735	151	301	146	107	48	604638	3314	2294.58	2425.4289	7604238	-31.6136	4480619	441	4373.028	1095487	1361870	44_ANXA6	1	2	2	4.933333	2	2	1	8	1.551885	.9674216	-.1082554	1.051338	.9114298	.1631881	-1.421497	.5015274	-1.155221	-.0796597	-.0401168	-.0397983	.5894558	1.179761	1.103428	.8473045	.4526599	.0965586	.0385731	-.1548709	.0772036	-.6151411	-.6624353	-.7618428	.1159498	-.1159498	.8144545	1.608653	-.9881546	-.3957253
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ANXA6_220616_B03	220616	1	MD016	1	insH2Bfabp	CD15	ANXA6	1	0	0	2	1	9	19.232729	12.284686	2.5211065	2.4161016	10.288291	1	16	16	276007	5412	5219	8394	2581	51	2.282e+09	1	3739654	135688	142	236	164	129	15	584890	977	2645.5834	2436.3577	2584735	305.1832	-723937.8	25	4182.608	1116631	1534226	44_ANXA6	1	2	1	2.4	2	2	1	8	.4228376	1.412188	1.129657	1.551885	-.1082554	.3554904	.8477958	-.5015274	.5709994	.3449144	-2.053749	1.436734	.2822162	-.6132931	-.5427505	-.3238762	-.1598289	-.3957253	-.1548709	.3543496	1.053073	-.0772036	.1548709	-.0772036	-.1159498	-.1548709	.5024022	-.3749572	-.4591118	.3749572
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ANXA6_220616_F04	220616	1	MD027	1	insH2Bfabp	CD15	ANXA6	1	0	0	2	1	9	17.679866	11.331857	5.1373492	1.70148	11.067707	1	27	27	382906	4909	4829	8236	2681	78	3.115e+09	1	5178260	170666	163	263	176	129	25	777868	1759	2205.3195	2184.6918	3879157	192.0655	4831858	0				44_ANXA6	1	2	1	3.077778	2	2	1	8								-.6934934	1.011034	-.5659488	-.2845356	.7916386	1.357561	.0397983	.1196481	.0796597	.4972006	1.481544	.8694237	-.0772036	.6151411	.5691847	.0772036	.0385731	1.122762	.6151411	1.768825	.8694237	-.1159498	.3749572
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ANXA6_220616_B06	220616	1	MD038	1	insH2Bfabp	CD15	ANXA6	1	0	0	2	1	9	15.264302	15.27929	8.2609843	2.2799832	10.21035	1	38	38	443993	5045	4892	12461	4052	88	5.355e+09	1	6029742	212278	164	265	192	150	22	490840	1376	2231.8844	2485.8994	3071073	-172.9161	-1076473		3833.299	950077.8	1334401	44_ANXA6	1	2	1	3.666667	2	2	1	8	-1.551885	-.7164975	-.3760274	-1.051338	-.3300273	.3064536	.1957222	.1105162	.5359401	.099634	1.911036	.149762	-.6374841	-.099634	-.1196481	-.0796597	-.2002695	1.768825	1.281552	.0772036	.6624353	1.768825	1.608653	1.608653	1.993984	1.608653	1.993984	.9271548	.4377901	1.481544
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ANXA6_220616_B01	220616	1	MD002	1	insH2Bfabp	CD15	ANXA6	1	0	0	2	1	9	15.523112	20.349701	4.1067081	.9187992	8.8853424	1	2	2																								4120.424	941150.5	1317907	44_ANXA6	1	2	1	1.75	2	2	1	8	.1957222	-.9674216	-.6211776	-.6211776	.2399812		-1.945423	1.195223	-.2018935	-1.629654	-1.116987	.2002695																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ANXA6_220616_F02	220616	1	MD012	1	insH2Bfabp	CD15	ANXA6	1	0	0	2	1	9	17.679866	15.483468	5.6764537	4.4578776	9.5088752	1	12	12	278283	3761	3651	5430	1548	74	1.578e+09	1	5310943	162372	169	223	200	158	8	784803	368	2941.1712	3683.1793	1082351	-1020.001	-2.33e+07	53	4204.183	1097356	1548985	44_ANXA6	1	2	1	2.25	2	2	1	8	.6744897	1.040203	1.421497	.6744897	.4228376	.0232116	-.4228376	.2018935	.2533471	2.654759	.1105162	.7916386	1.465234	-1.179761	-1.263668	-1.179761	-2.411822	1.122762	-.1159498	-1.053073	-.9271548	-.7112601	-.8144545	-.9881546	1.281552	.4377901	2.423196	-.7112601	.8979152	1.993984
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ANXA6_220616_B05	220616	1	MD030	1	insH2Bfabp	CD15	ANXA6	1	0	0	2	1	9	17.766137	5.614884	5.4386135	3.1987824	6.7809192	1	30	30	297067	5122	3862	8657	3222	58	2.501e+09	1	3690315	156346	127	244	162	146	28	654688	2076	3397.0877	3079.9368	7052354	220.0845	-7153828	119	4389.654	1120534	1554847	44_ANXA6	1	2	1	3.216667	2	2	1	8	1.715755	1.543098	1.715755	.3300273	.1082554	1.085325	.5194481	-1.625763	-1.405072	1.241867	-.0802983	.8473045	.8473045	.2822162	.3661064	.6870306	-1.033036	.0385731	.0772036	.1548709	-.4806444	.1159498	.313572	.5691847	-.1940281	.3957253	-.1548709	-.0772036	-.5466556	1.19838
