filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	N19_nwt	dusp26_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_DUSP26_200821_C01	200821	1	NB451	insH2Bfabp	CD15	DUSP26	1	0	0	2	1	9	1	1	2	3.113567	.340296	.38054438	.2382072	.9352992	1	2	2															188	530632	15063	47213.149	41985.013	7.11e+08	2634.201	1.00e+08	25	3850.995	1025444	1396563	6_DUSP26	1	1	1	2.366667	1	1	3	-1.085325	-.4393922	-.2104284	.2581433	-.2104284	-1.871871	-1.085325	-.7502154	-.2372021	-.9778975	.650104	-1.802743	-.9165567	.1771698	.2573935	.2981024	.3811055													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_DUSP26_200821_E07	200821	1	NB494	insH2Bfabp	CD15	DUSP26	1	0	0	2	1	9	1	1	2	4.2312577	.4423848	.31712032	.340296	1.0911824	1	39	39															190	773105	15577	46672.305	47110.912	7.27e+08	-2930.609	4.70e+07	77	4153.591	1107704	1505649	6_DUSP26	1	1	1	7	1	1	3	.1163093	.2876889	.6744897	-.4053977	-.7961826	-.5361763	-1.173137	.6024495	-.1375134	.4450965	-.1375134	-.6193067	1.272699	.2573935	.3393116	.3811055	.217107													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_DUSP26_200821_H01	200821	1	NB456	insH2Bfabp	CD15	DUSP26	1	0	0	2	1	9	.069339	0	1	4.739299	.2722368	.33297634	.340296	2.2603064	1	6	6															88	368000	7504	37272.318	36166.792	2.80e+08	-1604.108	-2.52e+08	45	3962.435	1067359	1185597	6_DUSP26	1	1	1	3.266667	1	1	3	-.6744897	-.0473125	-1.085325	.3554904	-.4053977	.3119191	-1.681877	-1.862732	.5791321	.4450965	.0980721	-.4389272	-1.601009	-1.272699	-1.189164	-1.272699	-1.043158													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_DUSP26_200821_F04	200821	1	NB475	insH2Bfabp	CD15	DUSP26	1	0	0	2	1	9	1	1	2	6.3650309	.4423848	.36468837	.4083552	2.5720728	1	22	22	506600	8171	7711	12481	4701	62	6.106e+09	1	4424094	176510	151	250	190	122	252	711330	20170	44657.602	40129.864	9.01e+08	1896.913	3.15e+08	2	4243.969	1129192	1441573	6_DUSP26	1	1	1	5.45	1	1	3	.4563363	.7824294	.1631881	1.914506	-.1631881	1.635039	1.382994	.6024495	.6744897	.9778975	.4668251	-.1121376	.5109658	1.473468	1.366204	1.043158	1.272699	.3186394	.8544474	1.345167	1.150349	1.150349	.9915265	1.345167	.4144133	.7318081	.6744897	.0447762	.6193067	.1800124
InsH2Bfabp_CD15_09dpf_VAST02_plate01_DUSP26_200821_D07	200821	1	NB493	insH2Bfabp	CD15	DUSP26	1	0	0	2	1	9	1	1	2	3.113567	.3743256	.31712032	.340296	.3117664	1	38	38															103	483854	8237	33531.881	28875.489	2.76e+08	1801.766	-1.57e+08	32				6_DUSP26	1	1	1	6.783333	1	1	3								-.2372021	-1.366204	.4450965	-.1375134	-1.802743	-1.113194	-1.043158	-1.043158	-1.366204	-.650104													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_DUSP26_200821_C05	200821	1	NB479	insH2Bfabp	CD15	DUSP26	1	0	0	2	1	9	0	0	1	7.1778969	.2722368	.36468837	.3062664	3.0397224	1	26	26	416543	7438	6760	12233	4224	56	4.942e+09	2	3842308	152889	127	327	171	111	184	579645	12696	45624.431	40841.387	5.79e+08	2166.368	-1.61e+07	30	3870.861	926122.1	1211557	6_DUSP26	1	2	1	5.033333	2	1	3	-.9310033	-1.260339	-1.00517	-1.085325	-1.382994	.9405437	-1.27107	-1.862732	.8584844	-.0195843	.4668251	.1121376	-.4235761	.0980721	-.1375134	-.0980721	-.0195843	-.2257079	.3186394	.5141561	.6193067	.7318081	.8544474	.9915265	-.4144133	-.1346898	-.7318081	1.611169	-.2257079	-.5659488
InsH2Bfabp_CD15_09dpf_VAST02_plate01_DUSP26_200821_B08	200821	1	NB498	insH2Bfabp	CD15	DUSP26	1	0	0	2	1	9	.8985088	1	2	6.8730722	.4423848	.20612821	.340296	.7014744	1	43	43															114	575030	10069	31478.495	26347.92	3.17e+08	2225.685	-8.25e+07	55	4048.979	997047.1	1393572	6_DUSP26	1	2	1	6.516667	2	1	3	-.3064536	-.6597193	-.2581433	-.6172997	-.0696849	-.3119191	.0232116	.6024495	-.5109658	.4450965	-1.601009	.0671924	-.5109658	-.8584844	-.6992833	-1.043158	-.3393116													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_DUSP26_200821_G08	200821	1	NB502	insH2Bfabp	CD15	DUSP26	1	0	0	2	1	9	.9592243	1	2		.3743256	.22198422	.2041776	.389708	1	46	46	144171	4119	4183	4083	950	35	5.669e+08	1	1721915	82670	104	238	163	54	229	759678	18231	48947.832	47175.769	8.92e+08	-718.6492	2.11e+08	31	4136.481	1067030	1481335	6_DUSP26	1	2	1	7.483333	2	1	3	.0232116	-.0947312	.5084881	-.5084881	-.8616341	-.477996	-.3064536	-.2372021	-1.077516	-1.67594	-1.318011		1.113194	1.043158	.7502154	.9165567	.6024495	-1.611169	-1.611169	-1.611169	-1.345167	-2.100166	-1.611169	-2.100166	-1.345167	-1.345167	-1.150349	-.5141561	-.6744897	-1.611169
InsH2Bfabp_CD15_09dpf_VAST02_plate01_DUSP26_200821_B05	200821	1	NB478	insH2Bfabp	CD15	DUSP26	1	0	0	2	1	9	0	0	1	3.2151753	.340296	.3012643	.2722368	.8573576	1	25	25	439206	6365	6025	6936	1930	69	2.951e+09	1	5277841	172065	164	270	179	125	115	362956	9387	31621.688	28720.104	2.97e+08	43.86681	-1.35e+08	8	3933.703	992919.9	1326565	6_DUSP26	1	2	1	4.083333	2	1	3	-.7961826	-.7197189	-.6744897	-.1631881	-1.00517		.0696849	-.7502154	-.3601299	-.4887764	-.3186394	-1.534121	-1.76167	-.8031726	-.8584844	-1.113194	-.5109658	.8544474	.5141561	-.3186394	.2257079	-.2257079	-.8544474	-.9915265	.8544474	.5141561	1.611169	.5141561	0	.4637077
InsH2Bfabp_CD15_09dpf_VAST02_plate02_DUSP26_200821_A02	200821	2	NB518	insH2Bfabp	CD15	DUSP26	1	0	0	2	1	9	1	1	2	7.5880758	.3743256	.19027219	.2722368	.5455912	1	12	61	355950	7264	7537	5828	1605	49	2.102e+09	3	4041497	150892	137	233	165	133	134	424152	10348	32035.856	27775.591	3.32e+08	1383.766	-8.73e+07	12	3723.194	867668.4	1165604	6_DUSP26	1	2	2	7.866667	2	1	3	-1.515564	-1.906358	-1.515564	-1.173137	-1.085325	-1.635039	-1.914506	-.2372021	-.6992833	-.4887764	-1.76167	.1573107	-1.272699	-.4022501	-.5109658	-.9165567	-.3811055	-.7916386	-.4144133	.4144133	.9915265	-.7318081	-1.150349	-1.150349	-.0447762	-.2257079	-.1346898	-.7318081	-.4637077	.9915265
InsH2Bfabp_CD15_09dpf_VAST02_plate01_DUSP26_200821_F02	200821	1	NB461	insH2Bfabp	CD15	DUSP26	1	0	0	2	1	9	1	1	2	11.64866	.85074	.65009666	.4423848	2.727956	1	11	11															303	800565	22973	46675.377	43095.041	1.07e+09	1008.474	4.46e+08	36				6_DUSP26	1	2	1	2.933333	2	1	3								2.417559	.7502154	1.318011	1.987428	1.108011	1.366204	1.987428	1.987428	1.76167	1.987428													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_DUSP26_200821_G05	200821	1	NB482	insH2Bfabp	CD15	DUSP26	1	0	0	2	1	9	1	1	2	9.1084536	.4764144	.34883235	.3062664	3.2735472	1	29	29															140	551576	11461	44365.001	46061.881	5.08e+08	-4209.744	-1.57e+08	23				6_DUSP26	1	2	1	5.7	2	1	3								.9467818	1.189164	-.0195843	.2981024	.4389272	-.650104	-.3393116	-.3393116	-.2981024	-.6024495													
InsH2Bfabp_CD15_09dpf_VAST02_plate02_DUSP26_200821_C02	200821	2	NB520	insH2Bfabp	CD15	DUSP26	1	0	0	2	1	9	1	1	2	12.553835	.340296	.34883235	.3062664	3.117664	1	14	63															200	523848	15200	51596.492	46409.437	7.84e+08	2681.104	1.14e+08	44	4062.808	1415195	1161387	6_DUSP26	1	2	2	8.183333	2	1	3	-.2581433	2.34813	-1.681877	-1.914506	-2.355084	-1.023392	-2.355084	-.7502154	.9165567	-.0195843	.2981024	1.291794	-.9778975	.4668251	.2981024	.5561256	.4235761													
InsH2Bfabp_CD15_09dpf_VAST02_plate02_DUSP26_200821_B02	200821	2	NB519	insH2Bfabp	CD15	DUSP26	1	0	0	2	1	9	1	1	2	10.494862	.340296	.36468837	.2722368	2.1823648	1	13	62	343846	4776	4511	10103	3207	72	3.656e+09	1	4375926	177685	129	248	213	123	213	610964	18232	44733.338	38774.165	8.16e+08	3301.387	2.48e+08	0	3961.905	1013870	1390671	6_DUSP26	1	2	2	8.033334	2	1	3	-.7339767	-.4921101	-.3064536	.7339767	.3554904	.2586331	.8616341	-.7502154	.5109658	-.4887764	.4668251	.7613826	-.1771698	.650104	.8031726	.6992833	.9165567	.9915265	-.6193067	-1.150349	-.9915265	-.0447762	.6193067	.5141561	.3186394	.8544474	-.5141561	-.0447762	1.345167	.3186394
InsH2Bfabp_CD15_09dpf_VAST02_plate02_DUSP26_200821_F02	200821	2	NB523	insH2Bfabp	CD15	DUSP26	1	0	0	2	1	9	1	1	2	5.7713344	.3743256	.25369626	.2382072	1.7147152	1	16	65	364264	6623	5580	7179	2422	55	2.511e+09	1	4231465	165286	140	276	182	110	47	376233	3416	38347.413	38038.627	1.31e+08	-2363.626	-4.26e+08	144	4378.339	1119099	1463615	6_DUSP26	1	2	2	8.75	2	1	3	1.085325	.4393922	.3554904	1.515564	-.6456308	.477996	.5620615	-.2372021	.1573107	-.9778975	-.9778975	-.2028072	-1.473468	-1.987428	-1.987428	-1.987428	-1.601009	-.3661064	-.3186394	-.2257079	-.2257079	-.5141561	-.6193067	-.5141561	.2257079	.1346898	.2257079	.7318081	.1800124	-.7318081
InsH2Bfabp_CD15_09dpf_VAST02_plate02_DUSP26_200821_G02	200821	2	NB524	insH2Bfabp	CD15	DUSP26	1	0	0	2	1	9	0	0	1		.3743256	.26955227	.2722368	.2338248	1	17	66	736216	8090	6417	7540	2476	91	5.499e+09	1	6042583	254514	151	338	191	132	235	750938	22586	25004.448	21957.101	5.65e+08	55.14268	2.25e+08	39	4335.305	1171152	1515728	6_DUSP26	1	2	2	8.95	2	1	3	.8616341	1.073562	.7339767	1.173137	.8616341	-1.465234	1.00517	-.2372021	-1.601009	-.4887764	-.7502154		1.043158	1.189164	1.76167	-.1375134	.8031726	2.100166	2.100166	1.150349	.3186394	.9915265	-.5141561	-.3186394	1.611169	2.100166	.6744897	2.100166	.7916386	.8544474
InsH2Bfabp_CD15_09dpf_VAST02_plate01_DUSP26_200821_H02	200821	1	NB463	insH2Bfabp	CD15	DUSP26	1	0	0	2	1	9	1	1	2	10.530969	.4083552	.3964004	.3743256	2.0264816	1	13	13															162	620204	13625	47869.696	47808.664	6.52e+08	-2417.094	-3.73e+07	4	4157.941	998273.3	1375972	6_DUSP26	1	2	1	3.333333	2	1	3	.2581433	-.6020065	-.4563363	.3064536	.1631881	.1024905	-.3554904	.2372021	.4235761	.7502154	.7764218	.8544474	-.0980721	-.0980721	.0195843	.1771698	-.217107													
InsH2Bfabp_CD15_09dpf_VAST02_plate02_DUSP26_200821_E02	200821	2	NB522	insH2Bfabp	CD15	DUSP26	1	0	0	2	1	9	0	0	1	4.1968252	.4764144	.15856016	.2382072	.5455912	1	15	64															199	650012	18945	32989.772	27280.456	6.25e+08	2822.971	2.13e+08	64	4207.521	1056278	1437625	6_DUSP26	1	2	2	8.6	2	1	3	.3064536	-.2387225	.0696849	-.1163093	.4053977	.6585199	-.0232116	.9467818	-.6992833	-.9778975	-1.987428	-.7028602	.0195843	.4022501	1.043158	.0980721	.650104													
InsH2Bfabp_CD15_09dpf_VAST02_plate02_DUSP26_200821_H02	200821	2	NB525	insH2Bfabp	CD15	DUSP26	1	0	0	2	1	9	1	1	2	11.706023	.4083552	.45982446	.4083552	1.94854	1	18	67	546216	8033	6739	8599	2622	68	4.626e+09	2	5909184	206151	156	303	191	131	241	749764	19460	47766.743	42829.601	9.30e+08	2360.003	3.07e+08	27	4156.702	1067419	1423958	6_DUSP26	1	2	2	9.166667	2	1	3	.2104284	0	-.0696849	-.0232116	-.1163093	1.214676	-.6172997	.2372021	.3186394	.9778975	1.077516	1.194857	.9778975	1.272699	1.113194	1.189164	1.113194	.6744897	1.345167	.9915265	.5141561	.4144133	.1346898	-.0447762	1.345167	1.611169	.9915265	1.345167	.7916386	.6744897
