filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	bcl11a_nwt	bcl11a_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_BCL11A_210117_D05	210117	1	NH477	insH2Bfabp	CD15	BCL11A	1	0	0	2	1	9	0	0	1	13.50582	.3743256	.34883235	.4423848	1.4808904	1	32	32	472226	6296	5388	7365	2654	75	3.546e+09	1	6130331	198506	125	327	219	158	189	795605	14832	6187.3655	5339.8686	9.18e+07	99.79166	1.34e+07	82	4465.173	1128549	1560380	48_BCL11A	1	1	1	5.1	1	1	7	1.318011	.7531015	1.00999	1.273623	.6151411	-.2181168	-.0533578	.1361284	.2009159	1.365887	.7683021	.0573726	.9007111	.9252446	.8767082	.8917089	.5188059	1.249774	1.227826	.3106094	.247039	.8157657	-.143141	.1328539	1.369856	1.107003	-.2681058	1.423913	1.31953	1.844979
InsH2Bfabp_CD15_09dpf_VAST02_plate01_BCL11A_210117_D08	210117	1	NH499	insH2Bfabp	CD15	BCL11A	1	0	0	2	1	9	1	1	2	10.464756	.2722368	.19027219	.4083552	1.0132408	1	5	54	250398	5823	4848	13735	4256	43	3.225e+09	1	2796874	124575	116	213	176	103	137	376644	9439	3670.7598	3273.923	3.46e+07	47.25886	2.28e+07	57	3885.099	829566.6	1174711	48_BCL11A	1	1	2	7.05	1	1	7	-.9265376	-1.772034	-1.506478	-2.108763	-1.235127	-.2366225	-2.103055	-.828048	-.2665588	1.065556	-.7575541	-.9415848	-1.895211	.3636371	.1870609	.0163839	.8028215	-.8591751	-.7332358	-.143141	-.3754618	.581393	2.250926	2.250926	-.8445288	-.5104216	-.8157657	-.9042674	-.0203805	-.6428442
InsH2Bfabp_CD15_09dpf_VAST02_plate02_BCL11A_210117_A01	210117	2	NH512	insH2Bfabp	CD15	BCL11A	1	0	0	2	1	9	1	1	2	14.53994	.340296	.22198422	.4083552	1.558832	1	18	67	392050	6323	5593	7612	2554	62	3.113e+09	1	5253622	161057	170	290	193	120	81	530602	6786	4305.6317	3656.4348	2.92e+07	225.9053	5089523	11	4074.175	1071636	1449858	48_BCL11A	1	1	2	8.233334	1	1	7	-.255145	.1661288	.1133889	.0350649	.5733119	-.4077554	-.2699041	-.1765363	.2748396	1.065556	-.2268854	.2146177	-.7420377	-.2035442	-.1297374	-.1314431	.1717471	.4531975	.581393	.3320687	.5574269	.5104216	-.0816069	.0407695	.6808997	.3106094	1.903997	.5693691	.4419345	.3864182
InsH2Bfabp_CD15_09dpf_VAST02_plate01_BCL11A_210117_D06	210117	1	NH485	insH2Bfabp	CD15	BCL11A	1	0	0	2	1	9	1	1	2	12.984495	.3062664	.15856016	.1020888	3.5853136	1	40	40															71	572424	5168	5549.9114	4498.0565	2.87e+07	466.3748	-2.25e+07	31	3948.704	966601.6	1358162	48_BCL11A	1	1	1	5.8	1	1	7	-.5791321	-.498608	-.4211972	.070173	-.6472309	-.9867994	-.8594887	-.4630729	1.900826	-1.024218	-1.322813	-.0737913	-.4515226	-.2953298	-.4336865	-.1645718	-.7805539													
InsH2Bfabp_CD15_09dpf_VAST02_plate02_BCL11A_210117_A02	210117	2	NH520	insH2Bfabp	CD15	BCL11A	1	0	0	2	1	9	.0260609	0	1	17.311503	.510444	.53910454	.510444	3.8191384	1	26	75															450	952822	35664	9420.8915	8096.2053		45.80872	1.69e+08	3	4472.463	1206487	1640112	48_BCL11A	1	1	2	8.75	1	1	7	1.360692	1.406006	1.562987	1.034935	1.235127		.4405008	1.123685	2.343412	1.900826	1.448648	1.170425	1.895211	2.7239	2.7239		2.721761													
InsH2Bfabp_CD15_09dpf_VAST02_plate02_BCL11A_210117_A03	210117	2	NH528	insH2Bfabp	CD15	BCL11A	1	0	0	2	1	9	1	1	2	10.580564	.2722368	.22198422	.2722368	.389708	1	34	83	147699	6714	6487	6248	2661	22	9.975e+08	1	2044151	100496	94	232	146	111	63	461701	4944	3952.6466	3701.4302	1.95e+07	-180.7462	-6035600	20	3467.99	830463.9	1172752	48_BCL11A	1	1	2	9.316667	1	1	7	-2.310991	-1.693934	-1.562987	-.9489278	-1.690622		-1.495624	-.828048	-1.0378	-.1280756	-.2268854	-.9163619	-1.245622	-.4876378	-.4695036	-.5894558	-.2382486	-2.047078	-1.546635	.7068257	1.31953	-1.423913	-.6056978	.1637617	-1.369856	-1.034691	-1.423913	-.5220637	-.9838216	-.1948269
InsH2Bfabp_CD15_09dpf_VAST02_plate01_BCL11A_210117_D04	210117	1	NH471	insH2Bfabp	CD15	BCL11A	1	0	0	2	1	9	.9702017	1	2	9.9434311	.4083552	.14270414	.340296	2.0264816	1	26	26	242250	4944	4542	7760	2599	49	1.919e+09	1	3422494	119456	104	342	206	98	21	509445	1487	3502.0054	3480.2367	5207482	-367.5679	-1.32e+07	74	3811.106	933718.6	1325743	48_BCL11A	1	1	1	4.633333	1	1	7	-1.360692	-.7531015	-.5586672	-1.19838	-.3394567	-1.047294	.4800305	.4630729	.6895999	.4899012	-1.60282	-1.255905	-.8767082	-1.660698	-1.728654	-1.997678	-.6143848	-.2999338	-.8740081	-.9674216	-.6808997	-.581393	-.0203805	.0816069	-.4195739	-.6056978	-1.107003	1.791764	.7876622	-1.070148
InsH2Bfabp_CD15_09dpf_VAST02_plate01_BCL11A_210117_A05	210117	1	NH475	insH2Bfabp	CD15	BCL11A	1	0	0	2	1	9	.0244741	0	1	14.114033	.3743256	.33297634	.3743256	3.2735472	1	30	30	498572	6737	5495	6610	2408	74	3.256e+09	1	7142968	251901	166	320	253	136	300	742266	21859	8879.2123	8182.5097	1.94e+08	-598.8066	2.42e+07	20	4222.688	1094485	1509343	48_BCL11A	1	1	1	4.916667	1	1	7	.291285	.4402967	.5384336	.358085	.0350649	.1996854	2.103055	.1361284	1.666864	.7730539	.6644377	.1812018	.6001788	1.660698	1.599645	1.88951	.8486	1.145427	1.369856	.7332358	.3974212	.6808997	-.4419345	-.1637617	1.791764	2.047078	1.698407	1.272341	2.250926	1.227826
InsH2Bfabp_CD15_09dpf_VAST02_plate01_BCL11A_210117_D01	210117	1	NH449	insH2Bfabp	CD15	BCL11A	1	0	0	2	1	9	0	0	1	16.981322	.3062664	.53910454	.340296	2.727956	1	4	4	371601	5994	5232	13389	5011	62	4.698e+09	1	4276708	158406	126	271	174	140	276	731358	21358	7224.8391	6463.522	1.54e+08	-202.9268	3.98e+07	3	4268.019	1077692	1493163	48_BCL11A	1	1	1	2.583333	1	1	7	.498608	.255145	.4789918	.0526109	.7022593	1.181485	1.683913	-.4630729	1.202166	.4899012	1.448648	1.138523	.5244005	1.492822	1.544032	1.537451	1.48947	.4531975	.3974212	-.0407695	.0203805	1.482485	2.047078	2.646619	.0611754	.2260813	-.2052224	.2156401	-.1123207	1.482485
InsH2Bfabp_CD15_09dpf_VAST02_plate01_BCL11A_210117_A02	210117	1	NH454	insH2Bfabp	CD15	BCL11A	1	0	0	2	1	9	.0219573	0	1	11.681182	.2722368	.45982446	.2382072	1.558832	1	9	9	421913	6697	5520	10857	3620	63	4.551e+09	2	5501709	185319	153	287	171	125	158	536510	12172	5325.5866	4751.165	6.48e+07	-59.83497	5440825	11	4026.977	972926.9	1365968	48_BCL11A	1	1	1	2.883333	1	1	7	-.4022501	-.4595582	-.3647771	-.92178	-.4532765		-.7847092	-.828048	.2748396	-.3930704	1.104836	-.4945539	-.6795741	.6493239	.543048	.4945539	.2048845	.5455638	.7601675	.6554235	.4195739	1.369856	1.369856	1.272341	.9674216	.7876622	.8300614	.4988484	-.2260813	.6056978
InsH2Bfabp_CD15_09dpf_VAST02_plate01_BCL11A_210117_A01	210117	1	NH446	insH2Bfabp	CD15	BCL11A	1	0	0	2	1	9	.0332212	0	1	10.725419	.3062664	.20612821	.3062664	.9352992	1	1	1	243511	5294	4458	6441	2319	46	1.616e+09	2	3806062	125743	120	271	172	111	9	637180	848	6194.5	5729.4853	5252936	-357.7734	-8.56e+07	37	3817.665	932223.2	1291723	48_BCL11A	1	1	1	2.416667	1	1	7	-1.318011	-.7764218	-.7301839	-1.402255	-.070173	-1.488228	-1.614666	-.4630729	-.3587993	.1603423	-.4933082	-.8675862	-.0647324	-1.895211	-1.895211	-1.88951	-2.138607	-.5455638	-.8157657	-.6554235	-.7601675	-.7876622	-.5337768	-.3320687	-.2260813	-.4645183	-.581393	.2156401	-.1844524	-.1948269
InsH2Bfabp_CD15_09dpf_VAST02_plate01_BCL11A_210117_A09	210117	1	NH504	insH2Bfabp	CD15	BCL11A	1	0	0	2	1	9	1	1	2	12.550057	.3062664	.17441618	.1020888	.2338248	1	10	59	261598	5687	6054	8242	3515	46	2.029e+09	2	3784379	143309	120	255	233	111	23	446872	1886	3292.0992	3415.5879	6208899	-500.3669	-1.02e+07	55	3918.718	939116.8	1286265	48_BCL11A	1	1	2	7.45	1	1	7	-.6854571	-.6854571	-.7531015	-1.235127	-.8952951	.4875067	1.552397	-.4630729	-1.666864	-1.024218	-1.033688	-.1812018	-1.400745	-1.517929	-1.599645	-1.79978	-.3923424	-.5455638	-.5337768	-.2681058	1.000491	-.4873416	.247039	1.107003	-.247039	-.0611754	-.581393	-.1948269	1.656795	-.1948269
InsH2Bfabp_CD15_09dpf_VAST02_plate01_BCL11A_210117_G08	210117	1	NH502	insH2Bfabp	CD15	BCL11A	1	0	0	2	1	9	1	1	2	10.030319	.2722368	.25369626	.1361184	.3117664	1	8	57	220049	6112	5842	6105	2073	36	1.432e+09	3	1378395	59687	73	186	173	113	7	496552	624	2861.1138	2673.7115	1785335	-46.50924	9303593	14	4045.838	954623.7	1354394	48_BCL11A	1	1	2	7.283333	1	1	7	-.3462343	-.6208137	-.4595582	.9767936	-1.005439	-.7987068	1.853367	-.828048	-1.270739	-.8057584	.1532449	-1.154327	-.950348	-2.003149	-2.003149	-2.333769	.3748229	-1.369856	-1.145427	.1225808	.8445288	-1.034691	-.7876622	-.6808997	-1.698407	-1.617868	-1.791764	-1.423913	-.1637617	-.0509698
InsH2Bfabp_CD15_09dpf_VAST02_plate01_BCL11A_210117_D02	210117	1	NH457	insH2Bfabp	CD15	BCL11A	1	0	0	2	1	9	.6215119	1	2	10.290981	.3062664	.20612821	.3743256	.779416	1	12	12	236174	8747	6716	9198	3000	27	2.221e+09	1	1885530	94460	103	207	146	93	113	480288	7875	3168.2631	2999.6026	2.50e+07	-128.0534	2.20e+07		3828.816	853447.6	1175788	48_BCL11A	1	1	1	3.1	1	1	7	-1.202508	-1.506478	-1.454408	-1.096804	-.7712489	-.5493959	1.056412	-.4630729	-.4809202	.7730539	-.4933082	-.9939208	-1.02954	.1134454	.0161725	-.3862029	.7586667	-1.791764	-.9353781	2.250926	1.698407	-.1844524	.6056978	.5337768	-1.423913	-1.272341	-1.165288	-1.034691	-.9838216	-1.31953
InsH2Bfabp_CD15_09dpf_VAST02_plate02_BCL11A_210117_D01	210117	2	NH515	insH2Bfabp	CD15	BCL11A	1	0	0	2	1	9	.0329583	0	1	17.806425	.4423848	.45982446	.4764144	2.8838392	1	21	70															164	765837	13087	6624.1476	5616.9912	8.67e+07	206.047	-574288.9	0	4285.268	1200626	1625548	48_BCL11A	1	1	2	8.45	1	1	7	.5586672	1.318011	1.406006	.1940281	1.450737	.6801605	.2883881	.6795092	1.407647	1.605971	1.104836	1.23808	.7853335	.7000902	.6593401	.8439581	-.1223809													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_BCL11A_210117_A03	210117	1	NH462	insH2Bfabp	CD15	BCL11A	1	0	0	2	1	9	.0152181	0	1	11.854957	.1361184	.12684813	.1361184	.4676496	1	17	17															254	831746	18712	6869.8201	6008.8094	1.29e+08	-15.60583	2.87e+07	5	4101.691	1051404	1422163	48_BCL11A	1	1	1	3.55	1	1	7	-.1661288	.0609627	.0261137	-.4147544	-.2298841		-1.683913	-1.811499	-.8507568	-.8057584	-1.898029	-.4217567	1.11578	1.319216	1.211232	1.351702	.920823													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_BCL11A_210117_G01	210117	1	NH452	insH2Bfabp	CD15	BCL11A	1	0	0	2	1	9	1	1	2	16.807547	.4083552	.3012643	.2722368	1.169124	1	7	7	356854	6261	5911	8026	2647	57	2.706e+09	1	4408411	143023	166	218	214	115	132	536192	10108	5074.0341	4507.5958	5.13e+07	-20.8801	-250191	6	3929.366	959782.7	1303507	48_BCL11A	1	1	1	2.75	1	1	7	-.6420614	-.518418	-.6208137	1.235127	.4826129	1.298124	-.3444652	.4630729	-.087925	-.1280756	.511538	1.077973	-.7000902	.3122656	.2953298	.2822162	-.0896424	.1328539	.2892923	.2892923	.9353781	.2260813	.1844524	.1020724	.2052224	-.0816069	1.698407	-.8157657	1.107003	.0918348
InsH2Bfabp_CD15_09dpf_VAST02_plate01_BCL11A_210117_G05	210117	1	NH480	insH2Bfabp	CD15	BCL11A	1	0	0	2	1	9	1	1	2	10.204094	.340296	.17441618	.2382072	.7014744	1	35	35	305943	5367	5108	6746	2444	57	2.158e+09	1	3673109	140262	126	270	189	98	38	526900	2704	4352.7315	3984.6293	1.18e+07	-118.4356	-2.29e+07	14	3941.574	929411.9	1311267	48_BCL11A	1	1	1	5.3	1	1	7	-.5998427	-.8001721	-.5998427	-.1761961	-.9489278	.0180343	-.9121265	-.1765363	-.535424	-.3930704	-1.033688	-1.049131	-.7635067	-.9252446	-1.086135	-1.107741	-.8028215	.1328539	-.143141	-.4645183	-.1020724	-.3106094	-.4195739	-.1020724	-.3320687	-.1020724	-.2052224	.1740978	.2892923	-1.070148
InsH2Bfabp_CD15_09dpf_VAST02_plate02_BCL11A_210117_E02	210117	2	NH524	insH2Bfabp	CD15	BCL11A	1	0	0	2	1	9	.9817911	1	2	9.9866576	.2722368	.3964004	.3062664	.779416	1	30	79																											48_BCL11A	1	2	2	9.058333	2	1	7								-.828048	-.4809202	.1603423	.954672	-1.203564																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_BCL11A_210117_B06	210117	1	NH483	insH2Bfabp	CD15	BCL11A	1	0	0	2	1	9	.0102646	0	1	12.636945	.3062664	.17441618	.3062664	1.0911824	1	38	38	316131	5099	4574	6962	2238	62	2.089e+09	2	3697659	147376	141	236	171	110	175	610436	15010	5472.5812	4760.7027	8.21e+07	75.784	2.25e+07	75	3915.421	914772.3	1277128	48_BCL11A	1	2	1	5.583333	2	1	7	-.7301839	-.8743192	-.8001721	-.5324627	-1.163183	-.0180343	-1.963007	-.4630729	-.1684338	.1603423	-1.033688	-.1397103	-.1788385	.807541	.9252446	.7980584	.7805539	.4531975	-.0407695	-.7876622	-.6056978	-.4419345	-.2892923	-.4645183	-.2892923	0	.3428553	-.4084725	-.2260813	-.2786834
InsH2Bfabp_CD15_09dpf_VAST02_plate01_BCL11A_210117_G09	210117	1	NH510	insH2Bfabp	CD15	BCL11A	1	0	0	2	1	9	1	1	2	12.636945	.7146216	.28540829	.510444	1.0911824	1	16	65	318866	5798	5411	9229	2849	55	3.016e+09	1	4321732	156979	152	270	138	136	149	576236	11404	5606.2048	4855.4206	6.39e+07	96.43665	1193591	2	4094.311	1054409	1479750	48_BCL11A	1	2	2	7.983333	2	1	7	-.2015382	.1133889	.3278097	.5324627	-.0175298	.4672965	.7140806	2.072525	-.1684338	1.900826	.3784071	-.1397103	-.4159872	.5151451	.4336865	.4761228	-.0081385	.0203805	0	-.1637617	.2892923	.4419345	.6303658	.3320687	.1020724	.1637617	.7738417	.1740978	-1.295575	1.227826
InsH2Bfabp_CD15_09dpf_VAST02_plate01_BCL11A_210117_B01	210117	1	NH447	insH2Bfabp	CD15	BCL11A	1	0	0	2	1	9	1	1	2	18.45841	.2722368	.07928008	.2382072	1.94854	1	2	2	417730	6962	5140	10057	3630	60	4.316e+09	1	5584147	200031	140	298	210	113	235	699872	18569	6788.8033	5676.4109	1.26e+08	299.8323	3.69e+07	99	4318.545	1066671	1478912	48_BCL11A	1	2	1	2.483333	2	1	7	.7076435	.1485047	.3094957	.7478586	.7950689	2.687716	-.9962083	-.828048	.5820848	-.3930704	-2.341027	1.393731	.3292913	1.211232	1.178218	1.311934	1.174338	.3428553	.7332358	.9353781	-.0611754	1.272341	1.034691	1.31953	1.070148	1.18562	.2786834	.8016348	.9197114	-.0509698
InsH2Bfabp_CD15_09dpf_VAST02_plate01_BCL11A_210117_B03	210117	1	NH463	insH2Bfabp	CD15	BCL11A	1	0	0	2	1	9	.9574991	1	2	19.50106	.510444	.25369626	.2382072	.389708	1	18	18	299015	5155	4892	8774	3818	58	2.498e+09	1	111213	9629	38	123	77	28	59	544362	4796	5527.0173	4683.3557	2.65e+07	222.4726	-3.07e+07	15	3911.174	1115046	1271596	48_BCL11A	1	2	1	3.616667	2	1	7	-.7531015	.6420614	-.8490862	-2.308362	.1761961	.4274319	-2.692484	1.123685	-1.0378	-.3930704	.1532449	1.537451	-.6593401	-.5713802	-.5244005	-.2993069	-1.142499	.2052224	-.353682	-.7332358	-.3320687	.0407695	.4195739	1.482485	-2.047078	-2.047078	-2.047078	-1.903997	-2.047078	-2.047078
InsH2Bfabp_CD15_09dpf_VAST02_plate01_BCL11A_210117_H07	210117	1	NH496	insH2Bfabp	CD15	BCL11A	1	0	0	2	1	9	.013826	0	1	13.50582	.6125328	0	.1020888	.3117664	1	2	51															181	646094	16235	5744.984	5025.1239	9.33e+07	32.80914	2.51e+07	13	4456.408	1195990	1635402	48_BCL11A	1	2	2	6.833333	2	1	7	1.277605	1.277605	1.506478	1.163183	1.19838	.2366225	.5000764	1.666864	-1.270739	-1.024218	-2.726023	.0573726	-.0485344	.8767082	.976065	.9674216	.8721677													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_BCL11A_210117_E02	210117	1	NH458	insH2Bfabp	CD15	BCL11A	1	0	0	2	1	9	0	0	1	16.025559	.3743256	.53910454	.3743256	1.94854	1	13	13	296613	5493	4716	9667	3391	54	2.664e+09	2	3976927	137030	151	236	166	123	321	753329	23323	7928.6141	6758.3797	1.85e+08	149.1686	6.09e+07	13	4417.947	1153357	1572582	48_BCL11A	1	2	1	3.266667	2	1	7	1.133643	1.039416	1.069771	.92178	1.356862	.1813217	-1.154667	.1361284	.5820848	.7730539	1.448648	.7321905	.6795741	1.805684	1.660698	1.654435	1.657578	-.0407695	-.3974212	-.353682	-.5104216	.1637617	.8740081	.9674216	-.1225808	-.1637617	.7068257	-.4084725	-.4195739	.475899
