filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	atp2a3_nwt	atp2a3_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ATP2A3_201210_E04	201210	1	NH334	insH2Bfabp	CD15	ATP2A3	1	0	0	2	1	9	1	1	2	11.943088	5.1724992	12.732381	5.9211504	16.679502	1	26	26	346148	6073	5225	2423	776	57	8.314e+08	1	4065370	156599	130	223	179	123	47	546132	3968	7560.2671	6779.4583	3.00e+07	-418.4032	-4.75e+07	26	4381.218	1117095	1526345	40_ATP2A3	1	1	1	8.633333	1	1	5	1.138044	1.299194	1.188354	-.0639882	1.299194	-1.655485	-1.942444	-1.980752	.1196481	.2656923	.4176672	-.0238749	0	-.9427782	-.9068503	-.8654489	-.8720565	.3338914	.1159498	-.1940281	0	-1.608653	-2.423196	-2.423196	.2334853	.3957253	-.0772036	-.6624353	.0965586	.4166655
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ATP2A3_201210_A02	201210	1	NH316	insH2Bfabp	CD15	ATP2A3	1	0	0	2	1	9	0	0	1	12.559264	20.41776	15.063215	6.465624	20.810407	1	8	8															95	562848	7823	5771.294	4612.6999	4.51e+07	445.237	1.30e+07	18	4229.675	990961	1438762	40_ATP2A3	1	1	1	7.333333	1	1	5	.7069592	.1670294	.4923825	-1.299194	-.1411454	.4964666	1.077516	.7593904	1.179761	.4438613	.9299809	.167894	.0938433	-.2124247	-.2124247	-.4788077	.3340819													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ATP2A3_201210_A03	201210	1	NH322	insH2Bfabp	CD15	ATP2A3	1	0	0	2	1	9	1	1	2	4.1381898	23.956838	11.844444	6.80592	21.122174	1	14	14															111	401806	8985	6892.9465	6243.2724	6.19e+07	-429.3084	-4337380	64	3937.596	868984.4	1147690	40_ATP2A3	1	1	1	7.85	1	1	5	-.2985202	-.611579	-.8824176	-1.428802	-.5810237	.2337006	-.9467818	1.179761	1.281552	.7435598	.0238749	-1.980752	-1.292276	-.0585996	-.04687	-.1304298	-.0938433													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ATP2A3_201210_H01	201210	1	NH315	insH2Bfabp	CD15	ATP2A3	1	0	0	2	1	9	1	1	2	14.715881	31.681558	13.636174	4.9683216	18.783926	1	7	7	417925	6430	5512	3755	1392	65	1.408e+09	1	4965398	198425	153	270	188	132	130	544904	11290	8804.0665	7611.706	9.94e+07	-193.4676	4489615	13	4797.624	1178479	1639170	40_ATP2A3	1	2	1	7.283333	2	1	5	2.162077	1.588183	1.951308	1.685788	1.241867	-.6240287	-.2506518	2.18935	.667016	-.0956362	.5800146	.6084982	-.0234286	.2727483	.4094043	.4006481	.164727	.8416212	.6624353	.1548709	.313572	-.7618428	-1.122762	-.9271548	.6624353	1.122762	.8694237	.4377901	.4377901	1.087257
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ATP2A3_201210_H04	201210	1	NH337	insH2Bfabp	CD15	ATP2A3	1	0	0	2	1	9	1	1	2	3.7274057	20.724026	12.09814	6.7378608	15.900086	1	29	29	329941	5788	4073	4095	1105	57	1.333e+09	1	3880563	137422	150	250	157	117	176	458322	13968	8623.6641	7522.7336	1.20e+08	-264.9472	2.74e+07	49	3918.882	838658.4	1203631	40_ATP2A3	1	2	1	8.816667	2	1	5	-.4074555	-.920823	-.611579	-.6427163	-.7069592	.0136234	-.9884819	.8247319	-.1437292	.667016	.1921572	-2.592656	-.7734564	.7117243	.8720565	.8654489	.7734564	.3338914	0	-.4806444	-1.481544	-.8694237	-.9881546	-1.481544	-.0385731	-.2334853	.5691847	-.1940281	-.7363159	.0578776
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ATP2A3_201210_B02	201210	1	NH317	insH2Bfabp	CD15	ATP2A3	1	0	0	2	1	9	.0133333	0	1	6.0894145	19.873286	13.588606	6.4996536	20.498641	1	9	9	334420	6310	5508	5485	1989	53	1.807e+09	1	4580246	145715	155	293	186	93	202	437974	15339	6901.1298	6169.9812	1.06e+08	-331.3997	4.11e+07		3805.733	756428.5	1132467	40_ATP2A3	1	2	1	7.4	2	1	5	-.809257	-1.871871	-1.045226	-1.188354	-1.299194	.8770955	-2.561682	.6820014	1.13317	.4703636	.5519941	-1.337828	-.9799662	1.215176	1.144693	.5878935	1.100698	.0578776	.0385731	.0772036	.2733094	-.3543496	-.7618428	-.5691847	.5244005	.1548709	.9572095	.7112601	.313572	-1.020076
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ATP2A3_201210_F01	201210	1	NH313	insH2Bfabp	CD15	ATP2A3	1	0	0	2	1	9	1	1	2	9.2729915	11.195738	14.508255	6.6698016	16.211853	1	5	5															204	417368	14239	10540.826	9099.5686	1.50e+08	-278.1961	2.40e+07	59	3815.796	851877.4	1187033	40_ATP2A3	1	2	1	7.166667	2	1	5	-.6744897	-.809257	-.6744897	-.4074555	-.2454314	1.150349	-.5334097	-1.088917	-.0597171	.6374841	.7593904	-.3533721	-1.24006	1.292276	.9799662	1.052756	.6238741													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ATP2A3_201210_B01	201210	1	NH310	insH2Bfabp	CD15	ATP2A3	1	0	0	2	1	9	1	1	2	11.224216	18.852398	12.716525	4.5599664	19.251575	1	2	2	335251	6574	5513	4542	1391	51	1.482e+09	1	3946347	129749	155	227	177	115										3880.979	862778.6	1169896	40_ATP2A3	1	2	1	6.933333	2	1	5	-.4923825	-.7069592	-.7401917	-1.138044	-.6427163	.1229156	-1.077516	.4972006	.8247319	-.2165341	.3789003	-.0597171						-.1548709	.0772036	.313572	.3543496	-.6624353	-.8694237	-.9881546	.0385731	-.2733094	.9572095	-.5244005	-.019283	-.1548709
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ATP2A3_201210_H03	201210	1	NH329	insH2Bfabp	CD15	ATP2A3	1	0	0	2	1	9	1	1	2	11.224216	15.34735	12.510397	8.3032224	21.200115	1	21	21															201	492352	13775	6993.0038	6392.0756	9.63e+07	-511.4206	2.69e+07	49	4062.881	845626.8	1227841	40_ATP2A3	1	2	1	8.283334	2	1	5	.0639882	-.8452716	-.4637077	-1.36114	-1.588183	1.326172	.0915151	-.3533721	1.337828	1.398694	.3155015	-.0597171	-.4609147	1.122424	.8382877	.3751523	.7422367													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ATP2A3_201210_D04	201210	1	NH333	insH2Bfabp	CD15	ATP2A3	1	0	0	2	1	9	0	0	1	9.0675994	16.640474	12.446973	8.4053112	13.63978	1	25	25															129	477346	9575	6345.9365	5916.7685	6.08e+07	-576.6021	1324727	15	4065.772	904215.1	1312778	40_ATP2A3	1	2	1	8.583333	2	1	5	.0896424	-.3798165	-.1411454	-1.090461	-.1930258	-1.263188	1.34979	-.0716793	-.8247319	1.465234	.2656923	-.4046779	-.5679139	.2364492	.0703373	-.1782959	0													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ATP2A3_201210_F02	201210	1	NH320	insH2Bfabp	CD15	ATP2A3	1	0	0	2	1	9	1	1	2	12.14848	34.88034	14.857087	4.6280256	29.072217	1	12	12															70	607343	6385	7026.1231	5789.3435	4.49e+07	259.5822	-1.19e+07	92	3905.075	959109.8	1298318	40_ATP2A3	1	2	1	7.633333	2	1	5	-.4354094	-.0127893	-.2191533	-.2191533	.5510015	.3474399	-.9066662	2.592656	1.718451	-.167894	.8247319	.0716793	.3340819	-.5679139	-.4094043	-.5055002	-.260611													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ATP2A3_201210_B04	201210	1	NH331	insH2Bfabp	CD15	ATP2A3	1	0	0	2	1	9	.0288989	0	1	4.2408859	16.810622	10.005146	5.8530912	13.250072	1	23	23															192	693626	15335	9717.9205	7735.5677	1.49e+08	568.751	5.15e+07	14	4098.412	944978.6	1348442	40_ATP2A3	1	2	1	8.466666	2	1	5	.2191533	-.1930258	.0639882	-.7742626	.4923825	-1.004335	-.6581891	-.0238749	-.9299809	.167894	-.4703636	-1.833915	.7422367	.9799662	1.100698	1.012455	1.24006													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ATP2A3_201210_D03	201210	1	NH325	insH2Bfabp	CD15	ATP2A3	1	0	0	2	1	9	.0128439	0	1	8.1433351	20.962234	12.01886	7.3844232	15.432437	1	17	17	145806	3739	4232	3062	1225	39	4.451e+08	1	2910222	104663	121	201	177	83	196	507064	16660	5582.2185	5098.4489	9.30e+07	-338.5076	5.07e+07	48	3854.087	829147.9	1154404	40_ATP2A3	1	2	1	8.033334	2	1	5	-.521468	-1.090461	-.8452716	-.611579	-.8824176		-1.67594	.8587541	-.2410404	.8938006	.1196481	-.6374841	-.3340819	1.018561	1.348275	.3498982	1.191022	-.8694237	-1.993984	-2.423196	-1.122762	-2.423196	-1.768825	-1.281552	-.7618428	-1.053073	-.4166655	-1.281552	-.019283	-1.541986
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ATP2A3_201210_B03	201210	1	NH323	insH2Bfabp	CD15	ATP2A3	1	0	0	2	1	9	0	0	1	8.9649034	14.530639	7.5316076	7.7247192	17.380977	1	15	15															107	428486	7584	9856.1417	8252.3097	7.47e+07	74.3606	-3.36e+07	11	3619.302	825185.3	1147331	40_ATP2A3	1	2	1	7.916667	2	1	5	-1.299194	-1.138044	-.920823	.8452716	-.960637	.6240287	.626099	-.5244005	.2410404	.948535	-1.465234	-.4703636	-1.144693	-.1174013	-.260611	.1304298	-.6238741													
InsH2Bfabp_CD15_10dpf_VAST02_plate02_ATP2A3_201211_D08	201211	2	NH406	insH2Bfabp	CD15	ATP2A3	1	0	0	2	1	10	1	1	2	9.0213583	12.454834	8.5939607	5.3426472	16.211853	1	49	98	294819	6273	4502	10136	3271	47	3.036e+09	1	2847793	119809	107	251	151	121	78	361590	6009	5943.2907	5027.1453	3.57e+07	109.8567	-5106861	56	3420.048	780249.6	1036360	40_ATP2A3	1	3	2	7.033333	3	1	5	-1.951308	-1.685788	-1.685788	.1411454	-1.802743	-.799651	.7588928	-.9299809	-.0597171	.0477635	-.9674216	-.4438613	-1.727309	-.4094043	-.5405975	-.6450915	-.164727	-.3543496	-.313572	.0385731	-.8144545	.6151411	1.281552	1.122762	-.8144545	-.4806444	-1.159742	-.1353847	-.9271548	.2533471
InsH2Bfabp_CD15_10dpf_VAST02_plate02_ATP2A3_201211_G04	201211	2	NH379	insH2Bfabp	CD15	ATP2A3	1	0	0	2	1	10	0	0	1	7.0508667	16.470326	12.034716	6.5336832	19.4854	1	22	71	230815	5496	4181	7507	2941	42	1.693e+09	1	2505048	111277	101	261	151	102	144	379128	11024	6776.8751	5574.68	7.47e+07	273.1319	2.24e+07	97	4571.358	967872.6	1238339	40_ATP2A3	1	3	2	4.5	3	1	5	1.685788	.0127893	-.3798165	-2.568836	-.7401917	-1.394908	-.2776904	-.1196481	.8761429	.5244005	.1558003	-.8416212	-1.475095	.4094043	.3589585	.1066151	.5679139	-.5466556	-1.122762	-.7618428	-1.281552	-.4806444	.0772036	.8694237	-1.19838	-.7618428	-1.37468	.1548709	-.9271548	-.4806444
InsH2Bfabp_CD15_10dpf_VAST02_plate02_ATP2A3_201211_D09	201211	2	NH413	insH2Bfabp	CD15	ATP2A3	1	0	0	2	1	10	1	1	2	9.8834484	17.355096	11.035787	2.4841608	11.925065	1	7	105	261091	6072	4724	8097	2505	43	2.260e+09	1	3458511	108522	149	224	134	126	186	486598	15428	5660.92	4244.2597	8.73e+07	785.919	6.29e+07	35	4585.146	996329.4	1231101	40_ATP2A3	1	3	3	7.866667	3	1	5	1.802743	.1930258	-.4354094	.3253741	-1.503722	.7267301		.1921572	-1.254876	-1.13317	-.167894	-.2656923	-.4871272	.8720565	1.191022	.2753871	1.475095	-.4591118	-.7618428	-.2334853	-.313572	-.0772036	.6151411	.3957253	-.4377901	-.9881546	.4806444	-.6151411	-1.481544	.7112601
InsH2Bfabp_CD15_10dpf_VAST02_plate02_ATP2A3_201211_A05	201211	2	NH380	insH2Bfabp	CD15	ATP2A3	1	0	0	2	1	10	1	1	2	3.9719735	24.943697	7.7694478	7.0441272	13.717722	1	23	72															289	693270	21962	17133.893	14839.963	3.76e+08	-712.6989	1.30e+08	37	4092.247	1028166	1410305	40_ATP2A3	1	3	2	4.633333	3	1	5	.1670294	.4074555	.2985202	-.1670294	.4354094	.6916925	-.6909717	1.465234	-.7593904	.7916386	-1.398694	-2.18935	.7117243	2.196763	1.988748	2.595914	1.988748													
InsH2Bfabp_CD15_10dpf_VAST02_plate02_ATP2A3_201211_A04	201211	2	NH374	insH2Bfabp	CD15	ATP2A3	1	0	0	2	1	10	1	1	2	10.499227	22.731773	22.404551	5.8871208	13.405955	1	17	66	238132	4860	3789	9821	3805	49	2.115e+09	1	4017703	114742	144	244	151	112	146	506032	12158	6540.1923	5276.9679	7.95e+07	400.9176	3.35e+07	0	3947.131	862988	1211946	40_ATP2A3	1	3	2	4.1	3	1	5	-.27188	-.6427163	-.5510015	-.8824176	-.5510015	-2.546865	-1.417797	1.067571	-.8938006	.2287701	1.980752	-.167894	-.3589585	.4479274	.5679139	.2023762	.8720565	-.2334853	-.9881546	-1.481544	-1.993984	-.1548709	1.19838	1.608653	.1548709	-.5691847	.4377901	-.313572	-.9271548	-.2933812
InsH2Bfabp_CD15_10dpf_VAST02_plate02_ATP2A3_201211_A06	201211	2	NH388	insH2Bfabp	CD15	ATP2A3	1	0	0	2	1	10	.0158704	0	1	15.055989	24.63743	20.026148	3.9474336	14.029488	1	31	80															17	737675	1664	12603.393	9875.1383	2.10e+07	834.8943	-1.21e+08		4199.066	1108182	1512050	40_ATP2A3	1	3	2	5.233333	3	1	5	.5510015	1.045226	.920823	.6427163	-.0383762	.6574843	.5035419	1.398694	-.7124431	-.4307273	1.538979	.6971414	1.058737	-1.63141	-1.408853	-1.185426	-2.196763													
InsH2Bfabp_CD15_10dpf_VAST02_plate02_ATP2A3_201211_D03	201211	2	NH370	insH2Bfabp	CD15	ATP2A3	1	0	0	2	1	10	1	1	2	12.223407	23.140128	11.479756	6.5336832	22.213356	1	13	62	491856	6388	5198	5946	1814	77	3.019e+09	1	7339731	181696	192	275	223	129	214	631600	17127	14590.78	11450.697	2.50e+08	893.4332	7.46e+07	8	4160.78	1069198	1481604	40_ATP2A3	1	3	2	3.733333	3	1	5	.3798165	.7401917	.7069592	-.4637077	1.002035	-.7626835	.5946412	1.13317	1.431172	.5244005	-.0716793	.1076344	.4871272	1.408853	1.475095	1.984772	1.63141	1.608653	1.19838	.1159498	-.0772036	.5691847	-.6151411	-.7112601	2.423196	.7112601	2.423196	.5466556	1.481544	.9271548
InsH2Bfabp_CD15_10dpf_VAST02_plate03_ATP2A3_201211_A04	201211	3	NH441	insH2Bfabp	CD15	ATP2A3	1	0	0	2	1	10	1	1	2	18.006773	15.755705	14.936367	2.6202792	10.054466	1	35	133	329702	9420	8092	3344	1090	35	1.180e+09	1	2959270	113866	134	220	179	89	225	833818	17196	9695.1017	8379.748	1.67e+08	-242.6935	5.57e+07		4000.834	1051628	1436235	40_ATP2A3	1	3	3	10.36667	3	1	5	-.0896424	.5810237	.4637077	.1153556	.3253741	.205788	.1441061	-.2287701	-1.980752	-1.00627	.8761429	1.281552	1.408853	1.475095	1.548528	1.234595	1.292276	-1.37468	-.0385731	1.768825	1.608653	-.9881546	-1.37468	-1.608653	-.7112601	-.6151411	.0385731	-.7618428	.0965586	-1.238894
InsH2Bfabp_CD15_10dpf_VAST02_plate02_ATP2A3_201211_D04	201211	2	NH377	insH2Bfabp	CD15	ATP2A3	1	0	0	2	1	10	1	1	2	5.8193094	17.0148	9.0696412	6.6017424	13.63978	1	20	69	287180	5221	4538	7743	2823	55	2.372e+09	1	3254149	129341	137	247	143	124	93	368600	7040	4496.3337	3622.2136	3.17e+07	382.861	2.02e+07	47				40_ATP2A3	1	3	2	4.322222	3	1	5								.0836517	-.8247319	.5800146	-.7593904	-1.398694	-1.63141	-.2727483	-.3340819	-.7985898	.5136787	.2137151	-.3957253	-1.281552	-.7618428	-.0385731	.2334853	.7112601	-.4806444	-.313572	.1940281	-.2533471	-1.19838	.5244005
InsH2Bfabp_CD15_10dpf_VAST02_plate02_ATP2A3_201211_D06	201211	2	NH391	insH2Bfabp	CD15	ATP2A3	1	0	0	2	1	10	.9811828	1	2	6.435088	13.986166	8.5305366	2.1778944	14.497138	1	34	83	212880	7341	6904	7938	3043	29	1.660e+09	1	3150279	98074	137	203	142	115	93	459364	7824	6952.0097	5157.7903	5.44e+07	958.636	1.08e+07	183	4043.42	985099.2	1342745	40_ATP2A3	1	3	2	5.383333	3	1	5	.0127893	.1411454	.0383762	.0896424	-.4074555	-.837745	.0130557	-.5800146	-.5519941	-1.179761	-1.00627	-1.179761	-.7422367	-.2727483	-.1885222	-.2753871	.260611	-1.993984	-1.37468	.8144545	1.19838	-.5691847	.3957253	.9271548	-.5691847	-1.281552	.1940281	-1.122762	-1.281552	-.1548709
InsH2Bfabp_CD15_10dpf_VAST02_plate03_ATP2A3_201211_A03	201211	3	NH434	insH2Bfabp	CD15	ATP2A3	1	0	0	2	1	10	.0077857	0	1	18.126541	18.886428	11.368763	6.80592	18.783926	1	28	126															75	576884	5734	7131.8901	6740.7324	4.09e+07	-799.3708	-3.58e+07	1	4304.932	1022812	1493268	40_ATP2A3	1	3	3	9.866667	3	1	5	.920823	.3524647	.7742626	.7069592	.1153556	.5591096	1.942444	.5244005	.667016	.7435598	-.1196481	1.367628	.1410246	-.5003588	-.6238741	-.5600113	-.652593													
InsH2Bfabp_CD15_10dpf_VAST02_plate02_ATP2A3_201211_A02	201211	2	NH361	insH2Bfabp	CD15	ATP2A3	1	0	0	2	1	10	.0420438	0	1	19.120128	17.04883	8.3561204	5.8530912	22.213356	1	4	53	526751	6931	5999	7610	2099	76	4.105e+09	1	5979013	248802	157	273	210	151	14	1005105	880	6930.2886	6602.2962	6098654	-831.4944	-6.77e+07	80	4563.135	1267842	1775532	40_ATP2A3	1	3	2	2.9	3	1	5	1.588183	2.162077	2.568836	1.588183	2.162077	-.2337006	1.031976	.1196481	1.431172	.167894	-1.088917	1.538979	1.988748	-1.781895	-1.842373	-1.722905	-1.191022	1.326678	1.993984	.5244005	.7112601	1.37468	.1548709	-.3543496	1.281552	2.423196	1.122762	.4806444	1.238894	2.423196
