filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	msra1_nwt	msra2_nwt	msra_nwt	msra_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_10dpf_VAST02_plate01_MSRA_201102_G03	201102	1	ND225	insH2Bfabp	CD15	MSRA	1	0	0	2	1	10	.6178394	1	.8089197	1	3	19.236328	1.4632728	.45982446	.7826808	4.1309048	1	22	22	332181	5727	4795	6450	1735	58	2.204e+09	1	3667950	130099	156	237	144	133	57	674143	4320	10827.391	11394.935	4.68e+07	-1310.994	-1.50e+07	489	4211.143	1110022	1485851	25_MSRA	1	1	1	4.183333	1	1	2	.1624294	-.0417893	.1624294	.0809473	.5059336	-.3292913	-1.057414	.5894558	.8122178	1.150349	.5485223	.5485223	-.4172841	-.1108129	-.185367	-.5845898	-.1108129	0	-.5141561	-1.150349	-.8544474	-.7318081	-.9915265	-.9915265	-.3186394	-.4144133	1.150349	-.5141561	-.7318081	.2257079
InsH2Bfabp_CD15_10dpf_VAST02_plate01_MSRA_201102_E08	201102	1	ND256	insH2Bfabp	CD15	MSRA	1	0	0	2	1	10	0	0	0	0	1	21.159602	1.4632728	.74523275	.6465624	3.4294304	1	4	53	389046	5807	5112	9018	2791	67	3.333e+09	3	5437140	179437	149	242	219	135	273	1144441	20415	20724.801	17385.844	4.23e+08	2256.272	2.71e+08	401	4564.303	1329720	1686648	25_MSRA	1	1	2	7.433333	1	1	2	1.660698	1.191816	1.211232	1.400745	1.211232	1.660698	2.141198	.5894558	.4692529	.1749599	2.200411	.9132499	1.704781	2.177923	2.177923	2.177923	2.177923	.6744897	.1346898	-.7318081	-.6193067	-.2257079	-.1346898	-.0447762	.6193067	.5141561	.5141561	-.27188	1.150349	.3186394
InsH2Bfabp_CD15_10dpf_VAST02_plate01_MSRA_201102_A05	201102	1	ND235	insH2Bfabp	CD15	MSRA	1	0	0	2	1	10	.0822538	0	.0411269	0	1	9.9236345	1.1229768	.15856016	.6465624	1.7926568	1	32	32	576249	7787	6939	9063	2939	74	5.011e+09	1	5584128	187842	164	274	188	128	44	818860	3968	13602.532	13566.399	5.40e+07	-830.2753	-4.07e+07	202	4283.891	1161956	1508775	25_MSRA	1	1	1	4.933333	1	1	2	.4159872	.2967378	.2450062	-.2450062	-.0809473	.807541	.5059336	.0348213	-.6314019	.1749599	-1.150349	-.8122178	.0368705	-.5413951	-.2609674	-.3380917	-.3380917	1.150349	.8544474	.2257079	.6193067	.6193067	-.0447762	.2257079	.7318081	.8544474	1.345167	.9915265	.1346898	.1346898
InsH2Bfabp_CD15_10dpf_VAST02_plate01_MSRA_201102_E01	201102	1	ND208	insH2Bfabp	CD15	MSRA	1	0	0	2	1	10	0	0	0	0	1	11.948133	.5785032	.57081658	.4764144	1.6367736	1	5	5	460325	6975	6006	17369	5059	66	7.622e+09	1	4117670	173502	128	257	197	120	42	632228	2880	15546.694	15715.758	4.48e+07	-1157.181	-8.23e+07	574	3507.358	869851.7	1154898	25_MSRA	1	1	1	2.633333	1	1	2	-1.660698	-1.382994	-1.057414	-2.141198	-.5059336	-.7000902	.7000902	-1.024592	-.7647097	-.7647097	1.085325	-.3928308	-.6744897	-.6744897	-.7702081	-.6744897	-.7702081	.5141561	.2257079	-.0447762	-.3186394	1.150349	2.100166	2.100166	-.0447762	.1346898	-.7318081	.4144133	.4144133	-.1346898
InsH2Bfabp_CD15_10dpf_VAST02_plate01_MSRA_201102_G02	201102	1	ND217	insH2Bfabp	CD15	MSRA	1	0	0	2	1	10	.5067627	.9371035	.7219331	1	3	15.389781	.8847696	.41225642	.680592	3.9750216	1	14	14															156	523556	12754	14942.81	13707.374	1.91e+08	361.0446	9.38e+07	9	4003.538	1105012	1437670	25_MSRA	1	1	1	3.333333	1	1	2	-.4159872	-.1256613	-.0809473	.2450062	.7000902	.9252446	.3292913	-.3186394	.6314019	.5084881	.3554904	.0348213	-1.115337	.987231	.987231	.6744897	.6744897													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_MSRA_201102_G08	201102	1	ND257	insH2Bfabp	CD15	MSRA	1	0	0	2	1	10	.0881208	0	.0440604	0	1	18.325304	1.4292432	.52324853	.680592	3.7411968	1	5	54	342421	9011	8011	6679	1713	38	2.320e+09	1	3815015	126559	123	241	154	139	7	837074	368	14553.97	14431.204	5355861	-792.6125	-1.02e+08	0	4477.014	1203960	1616411	25_MSRA	1	1	2	7.55	1	1	2	1.057414	.7835004	.807541	.3292913	.6001788	.1624294	.0809473	.4692529	.5485223	.5084881	.8122178	.3928308	.2609674	-1.564726	-1.704781	-1.449999	-1.115337	-1.067571	-.3186394	.8544474	.8544474	-.5141561	-.8544474	-1.150349	-.1346898	-.5141561	-.9915265	-.4144133	-.3186394	.4144133
InsH2Bfabp_CD15_10dpf_VAST02_plate01_MSRA_201102_C04	201102	1	ND229	insH2Bfabp	CD15	MSRA	1	0	0	2	1	10	0	0	0	0	1	11.442008	.6125328	.14270414	.510444	2.4941312	1	26	26	463964	7999	5442	10746	3162	58	5.177e+09	1	3426609	140716	134	242	151	121	138	1916379	10720	11465.262	6985.5387	1.23e+08	3985.956	1.28e+08	15	3640.122	883190.3	1167832	25_MSRA	1	1	1	4.566667	1	1	2	-1.057414	-1.036433	-.9252446	-1.400745	-.9252446	-2.141198	-.5059336	-.8122178	.0348213	-.4692529	-1.297543	-.5485223	2.177923	.6744897	.5845898	.4172841	1.264969	0	.3186394	.3186394	-.4144133	.8544474	.5141561	.5141561	-.7318081	-.1346898	-.3186394	-.27188	-.4144133	-.0447762
InsH2Bfabp_CD15_10dpf_VAST02_plate01_MSRA_201102_A02	201102	1	ND211	insH2Bfabp	CD15	MSRA	1	0	0	2	1	10	0	0	0	0	1	24.803699	1.70148	.68180869	.7146216	5.455912	1	8	8	503647	10493	9265	9954	2665	48	4.980e+09	1	5379195	179949	146	247	184	141	92	914360	6273	17302.364	17859.238	1.09e+08	-1666.365	-5.10e+07	2	4541.227	1441140	1713938	25_MSRA	1	1	1	2.883333	1	1	2	1.400745	1.644854	1.660698	.5059336	1.660698	-.0809473	-.807541	1.085325	2.200411	.7647097	1.731664	1.731664	.6744897	.2230078	.1108129	.3380917	-.4991879	-.6193067	.5141561	1.611169	1.150349	.5141561	.3186394	-.2257079	.5141561	.6193067	.4144133	.1346898	.0447762	.5659488
InsH2Bfabp_CD15_10dpf_VAST02_plate01_MSRA_201102_F05	201102	1	ND240	insH2Bfabp	CD15	MSRA	1	0	0	2	1	10	.0171693	0	.0085847	0	1	11.644458	.9528288	.28540829	.5444736	2.4941312	1	37	37	367675	8171	6431	5146	1480	45	1.897e+09	1	4707062	163287	142	310	179	96	32	595272	2252	22961.84	18032.048	5.17e+07	3810.515	-1.10e+08	28				25_MSRA	1	2	1	5.288888	2	1	2								-.2461637	.0348213	-.2822162	-.6314019	-.4692529	-.8735691	-.8735691	-.8735691	-.4172841	-1.704781	-.7318081	-.0447762	.5141561	.1346898	-1.150349	-1.611169	-1.611169	.3186394	.0447762	.1800124	1.611169	-.0447762	-1.150349
InsH2Bfabp_CD15_10dpf_VAST02_plate01_MSRA_201102_H02	201102	1	ND218	insH2Bfabp	CD15	MSRA	1	0	0	2	1	10	0	0	0	0	1	22.070626	1.361184	.58667259	.2382072	4.3647296	1	15	15	342658	5711	4590	7050	2350	60	2.393e+09	1	5307295	176194	129	298	175	141	180	1050274	15312	16330.502	13729.574	2.50e+08	1725.279	1.53e+08	58	4704.869	1314288	1705968	25_MSRA	1	2	1	3.433333	2	1	2	2.141198	1.036433	1.400745	.9252446	.3292913	.0809473	1.660698	.3554904	1.085325	-1.731664	1.297543	1.297543	1.264969	1.449999	1.704781	1.264969	1.704781	.1346898	-.2257079	-1.345167	-1.345167	-.4144133	-.6193067	-.4144133	.4144133	.3186394	-.5659488	1.150349	-.1346898	.5659488
InsH2Bfabp_CD15_10dpf_VAST02_plate01_MSRA_201102_B05	201102	1	ND236	insH2Bfabp	CD15	MSRA	1	0	0	2	1	10	0	0	0	0	1	9.21506	.5785032	.25369626	.6125328	1.6367736	1	33	33	322875	5766	5173	12316	4807	56	3.679e+09	1	3448871	120108	124	255	142	103	53	594280	3472	18147.637	18761.97	6.30e+07	-1774.942	-1.10e+08	44	3861.665	1001189	1341997	25_MSRA	1	2	1	4.983333	2	1	2	-.7000902	-.6744897	-.6001788	-.4159872	-.1624294	.4159872	0	-1.024592	-.7647097	-.0696849	-.7647097	-1.024592	-.987231	-.2609674	-.4172841	-.0368705	-1.449999	-.1346898	-.7318081	-.8544474	-.5141561	.1346898	.9915265	1.611169	-.6193067	-.7318081	-.8544474	.2257079	-.8544474	-.8544474
InsH2Bfabp_CD15_10dpf_VAST02_plate01_MSRA_201102_B01	201102	1	ND205	insH2Bfabp	CD15	MSRA	1	0	0	2	1	10	0	0	0	0	1	22.475526	1.5993912	.41225642	.7146216	4.3647296	1	2	2	586128	6978	6916	11044	3140	84	6.302e+09	1	7254022	239625	154	345	223	157	71	986624	5736	17304.838	15888.312	9.93e+07	418.6386	-3.05e+07	28	4244.949	1158098	1529755	25_MSRA	1	2	1	2.383333	2	1	2	.2450062	.2104284	.6001788	-.1624294	.0809473	-.1624294	1.057414	.9132499	1.085325	.7647097	.3554904	1.479941	.987231	.0368705	.0368705	.185367	-.2609674	1.345167	.9915265	.0447762	.5141561	.9915265	.6193067	.3186394	1.611169	1.611169	.7916386	2.100166	1.611169	1.150349
InsH2Bfabp_CD15_10dpf_VAST02_plate01_MSRA_201102_B04	201102	1	ND228	insH2Bfabp	CD15	MSRA	1	0	0	2	1	10	.5790531	.7328345	.6559438	1	3	9.4175099	1.020888	.20612821	.85074	2.727956	1	25	25	158847	5883	3713	11144	3834	27	1.851e+09	1	1532632	74717	101	171	131	93	34	459664	2976	13208.952	14768.768	3.93e+07	-2494.309	-7.35e+07	102	3609.415	835892	1122583	25_MSRA	1	2	1	4.5	2	1	2	-1.211232	-1.644854	-1.211232	-1.660698	-1.057414	-.9252446	-2.141198	-.1749599	.2461637	1.731664	-.9674216	-.9132499	-1.264969	-.7702081	-.5845898	-.7702081	-.5845898	-1.611169	-1.611169	-.6193067	-2.100166	-1.345167	.7318081	1.150349	-1.345167	-1.345167	-1.150349	-1.345167	-1.241867	-1.345167
InsH2Bfabp_CD15_10dpf_VAST02_plate01_MSRA_201102_D06	201102	1	ND245	insH2Bfabp	CD15	MSRA	1	0	0	2	1	10	0	0	0	0	1	16.80693	1.361184	.20612821	.680592	3.117664	1	42	42	738177	10397	9965	6147	1650	71	4.386e+09	1	7419022	239996	168	301	200	161									3	4132.417	1189037	1527078	25_MSRA	1	2	1	6.066667	2	1	2	-.0809473	.5729675	.5059336	.7000902	.2450062	-1.211232	.1624294	.3554904	.3554904	.5084881	-.9674216	.1749599						.9915265	1.611169	1.345167	1.611169	.3186394	-1.345167	-1.345167	2.100166	2.100166	1.611169	1.345167	.6193067	1.345167
InsH2Bfabp_CD15_10dpf_VAST02_plate01_MSRA_201102_H04	201102	1	ND234	insH2Bfabp	CD15	MSRA	1	0	0	2	1	10	.090212	.064055	.0771335	0	1	26.220848	1.871628	.3012643	.8167104	1.0911824	1	31	31	386101	5763	4999	13140	4246	67	5.021e+09	1	4179262	173980	137	219	204	143	46	695334	3360	16429.404	17338.819	5.52e+07	-1989.437	-9.64e+07	113	3886.104	988613.3	1337735	25_MSRA	1	2	1	4.866667	2	1	2	-.6001788	-.7835004	-.7000902	-.7000902	-.6001788	-.807541	-.0809473	1.731664	-1.22064	1.382994	-.4307273	2.200411	-.3380917	-.4172841	-.4991879	-.2609674	-.8735691	.6744897	.0447762	-.9915265	-.7318081	.7318081	1.345167	1.345167	.0447762	.2257079	-.0447762	-.6193067	.8544474	.7318081
InsH2Bfabp_CD15_10dpf_VAST02_plate01_MSRA_201102_F04	201102	1	ND232	insH2Bfabp	CD15	MSRA	1	0	0	2	1	10	.8835629	1	.9417814	1	3	10.126084	.5444736	.3012643	.4764144	2.4161896	1	29	29	319821	6034	4686	11267	3714	53	3.402e+09	1	2952689	116649	129	193	146	125										3817.87	882846.4	1119054	25_MSRA	1	2	1	4.75	2	1	2	-.807541	-1.191816	-1.400745	-1.057414	-1.400745	-1.057414	-.7000902	-1.297543	-.1046335	-.7647097	-.4307273	-.7188681						-.3186394	-.8544474	-.5141561	-1.150349	-.0447762	.8544474	.8544474	-.8544474	-.8544474	-.5659488	-1.150349	-.6193067	.0447762
InsH2Bfabp_CD15_10dpf_VAST02_plate01_MSRA_201102_D01	201102	1	ND207	insH2Bfabp	CD15	MSRA	1	0	0	2	1	10	0	0	0	0	1	16.19958	.85074	.50739251	.680592	2.4941312	1	4	4	334494	9557	10137	7119	2136	35	2.214e+09	2	1993389	83046	95	213	168	97	66	850545	4577	12500.446	12995.662	5.72e+07	-1329.307	-2.88e+07	94	4070.924	1075255	1427622	25_MSRA	1	2	1	2.566667	2	1	2	-.2450062	-.2967378	-.1624294	-.5059336	.1624294	.5059336	1.211232	-.3928308	.0348213	.5084881	.7188681	.1046335	.3380917	-.0368705	-.0368705	-.185367	-.185367	-1.345167	-.4144133	1.150349	2.100166	-.6193067	-.5141561	-.5141561	-1.150349	-1.150349	-1.345167	-.8544474	-.2257079	-.9915265
InsH2Bfabp_CD15_10dpf_VAST02_plate01_MSRA_201102_B07	201102	1	ND250	insH2Bfabp	CD15	MSRA	1	0	0	2	1	10	0	0	0	0	1	20.349802	1.7355096	.31712032	.8847696	4.4426712	1	47	47															152	900164	11660	20309.016	18935.001	2.37e+08	203.6088	6.10e+07	44	4323.813	1202600	1619925	25_MSRA	1	2	1	6.65	2	1	2	.7000902	.6744897	.9252446	.807541	1.057414	-.5059336	.807541	1.297543	1.479941	2.200411	-.2461637	.7188681	.5845898	.8735691	.7702081	1.115337	.4172841													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_MSRA_201102_H06	201102	1	ND248	insH2Bfabp	CD15	MSRA	1	0	0	2	1	10	0	0	0	0	1	15.187331	.7486512	.25369626	.6465624	2.2603064	1	45	45	262775	4778	4286	7695	2622	55	1.997e+09	2	3748927	130892	153	273	150	113	54	699220	4568	16296.789	15427.539	7.44e+07	-102.5457	-4.83e+07	285	4249.922	1119188	1443831	25_MSRA	1	2	1	6.4	2	1	2	.3292913	.1256613	0	-.9252446	-2.141198	-.6001788	.6001788	-.5485223	-.2461637	.1749599	-.7647097	-.0348213	-.2609674	-.185367	-.1108129	.0368705	-.4172841	-.2257079	-.9915265	-2.100166	-1.611169	-.9915265	-.3186394	-.3186394	-.2257079	-.3186394	.6193067	.8544474	-.5141561	-.3186394
InsH2Bfabp_CD15_10dpf_VAST02_plate01_MSRA_201102_F01	201102	1	ND209	insH2Bfabp	CD15	MSRA	1	0	0	2	1	10	0	0	0	0	1	21.564501	1.8375984	.55496056	.7486512	4.1309048	1	6	6	567758	8735	6906	14440	3818	65	8.055e+09	1	6680053	218098	136	270	233	172	20	950387	1216	17681.967	21237.628	2.15e+07	-4856.453	-1.89e+08	163				25_MSRA	1	2	1	2.7	2	1	2								1.479941	.8122178	.9674216	.9132499	1.150349	.8735691	-.987231	-.987231	-.987231	-2.177923	.4144133	.7318081	.7318081	.4144133	1.345167	1.611169	.9915265	1.345167	1.150349	-.1346898	.7318081	2.100166	2.100166
InsH2Bfabp_CD15_10dpf_VAST02_plate01_MSRA_201102_H03	201102	1	ND226	insH2Bfabp	CD15	MSRA	1	0	0	2	1	10	.0374867	.074785	.0561358	0	1	6.0770872	.3062664	.12684813	.4423848	1.8705984	1	23	23															10	449738	501	19394.611	14341.775	9716700	4142.521	-9.66e+07	0	3655.334		1016651	25_MSRA	1	2	1	4.3	2	1	2	-.9252446		-1.660698	2.141198	-1.660698	.7000902	-1.660698	-1.731664	-.5485223	-1.024592	-1.479941	-1.479941	-1.449999	-1.264969	-1.449999	-1.264969	-.987231													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_MSRA_201102_F06	201102	1	ND246	insH2Bfabp	CD15	MSRA	1	0	0	2	1	10	1	1	1	1	3	12.150583	.5785032	.36468837	.510444	2.1823648	1	43	43															146	733836	12407	14782.165	12902.92	1.83e+08	1050.406	9.88e+07	0				25_MSRA	1	2	1	6.175	2	1	2								-1.024592	-.3928308	-.4692529	.0348213	-.3186394	-.0368705	.7702081	.8735691	.5845898	.8735691													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_MSRA_201102_D03	201102	1	ND222	insH2Bfabp	CD15	MSRA	1	0	0	2	1	10	0	.0241377	.0120688	0	1	14.175081	1.531332	.3964004	.8167104	2.0264816	1	19	19	247444	6512	6709	7383	2890	38	2.069e+09	1	3572934	135119	139	218	189	107	49	728458	3763	10266.941	10731.901	3.86e+07	-1170.865	-1.32e+07	140	3934.952	1003642	1348502	25_MSRA	1	2	1	3.95	2	1	2	-.5059336	-.5729675	-.5059336	-.6001788	-.7000902	1.057414	-.3292913	.7647097	-.4692529	1.382994	.1749599	-.1749599	-.1108129	-.3380917	-.3380917	-.8735691	-.0368705	-1.067571	-1.150349	-.4144133	.3186394	-.8544474	-.4144133	.1346898	-.5141561	-.2257079	.0447762	-.7318081	.2257079	-.6193067
InsH2Bfabp_CD15_10dpf_VAST02_plate01_MSRA_201102_D02	201102	1	ND214	insH2Bfabp	CD15	MSRA	1	0	0	2	1	10	0	0	0	0	1	21.260826	1.70148	.57081658	.7486512	4.4426712	1	11	11	866184	9415	8162	10695	2780	92	9.056e+09	2	8484	2084	24	34	24	18	13	949158	784	13619.417	15051.94	1.07e+07	-2383.051	-1.06e+08	25	4311.892	1360629	1609308	25_MSRA	1	2	1	3.083333	2	1	2	.6001788	1.382994	.7000902	.6001788	1.400745	1.400745	-1.400745	1.085325	1.479941	.9674216	1.085325	1.024592	.7702081	-1.115337	-1.115337	-1.115337	-1.264969	2.100166	2.100166	.9915265	.9915265	2.100166	.4144133	-.1346898	-2.100166	-2.100166	-2.100166	-2.100166	-2.100166	-2.100166
