filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	ctbp2_nwt	ctbp2_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CTBP2_201001_A04	201001	1	NC184	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	9	1	1	2		.85074	.6976647	.170148	.2338248	1	22	22																								4363.444	1068391	1445745	14_CTBP2	1	1	1	8.833333	1	1	5	1.370745	.7291514	.8056329	.0998612	.6567159	-.1648683	-.4569218	.4795057	-1.126391	-1.554774	.3318534																			
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CTBP2_201001_A06	201001	1	NC197	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	9	.9607894	1	2	10.904301	.85074	.66595267	.5444736	.9352992	1	35	35																							0	4247.867	1002999	1313092	14_CTBP2	1	1	1	9.916667	1	1	5	.8871465	-.0427396	-.3639316	.5540488	.0142427		.5540488	.4795057	.0125335	.8064212	.0752699	-.3584588																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CTBP2_201001_C03	201001	1	NC178	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	9	1	1	2	16.699354	.7826808	.77694478	.3062664	.1558832	1	16	16	576197	5286	4321	6052	2025	109	3.366e+09	1	7355786	255393	134	336	270	143	45	634092	4294	13647.454	11151.066	5.86e+07	755.6773	-4930273	11				14_CTBP2	1	1	1	8.35	1	1	5								.2126769	-1.281552	-1.036433	.7388468	1.103063	-.1824072	.5168467	.6953402	.6515277	.1293777	2.375107	1.412188	-.7164975	-.8994349	.0439901	-1.205345	-.9674216	1.543098	1.937932	-.1992013	1.707553	2.375107	.6069868
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CTBP2_201001_G01	201001	1	NC166	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	9	1	1	2	15.654345	.9528288	.57081658	.5444736	1.7147152	1	4	4	247531	5381	4582	17015	4622	46	4.220e+09	1	2155677	99101	106	220	135	94	60	658526	4400	18417.587	15664.017	8.10e+07	-1024.852	-2.45e+07	0	4009.407	1023410	1363500	14_CTBP2	1	1	1	7.483333	1	1	5	-.3036906	.2152846	.0712713	-.0998612	.7106959	.6558747	-.6567159	.8798375	1.200359	.8064212	-.5680515	.6903088	.0164917	.7820069	.7379805	.9576579	-.6065981	-.7745655	-.8994349	-.6607511	-.8353711	.6607511	1.937932	1.205345	-1.205345	-1.205345	-1.412188	-.5549229	-1.301807	-1.412188
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CTBP2_201001_G03	201001	1	NC182	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	9	0	0	1	10.8093	.4423848	.68180869	.4083552	1.169124	1	20	20	360390	6674	5566	15285	4739	54	5.736e+09	1	3399487	136483	131	230	142	132	205	557438	15681	13455.764	11941.383	2.11e+08	-583.1775	1.40e+08	0	3889.993	896155.1	1202943	14_CTBP2	1	1	1	8.616667	1	1	5	-.7668313	-.9750298	-.8871465	-1.23748	-1.071175	.0746714	-1.123174	-.7164975	.3718561	-.4817269	.1763742	-.3988551	-.7379805	2.479467	2.059215	2.439542	2.012971	-.2442754	-.1323128	.3128614	0	1.412188	1.543098	1.301807	-.7164975	-.5549229	-.3128614	-.4067242	-1.078744	.1768208
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CTBP2_201001_G02	201001	1	NC174	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	9	.0170879	0	1	14.324332	.4083552	.61838462	.4083552	.2338248	1	12	12	322662	6327	6349	6691	2212	51	2.234e+09	1	3752804	152368	128	238	170	117	35	628872	2544	7974.8707	6968.1122	2.03e+07	1154.757	-4282715	0	4223.814	1006588	1375628	14_CTBP2	1	1	1	8.066667	1	1	5	.6567159	.0142427	.2152846	-.8456872	-.1285329	.2873955	1.633934	-.8798375	-1.126391	-.4817269	-.227545	.3186394	-.2499428	.3535393	.2841234	.2041513	.166648	-.3829533	-.5043221	0	.6069868	-1.040203	-.8994349	-.7164975	-.3593968	-.0880656	-.3829533	-.2898515	-.5043221	-.3128614
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CTBP2_201001_E01	201001	1	NC164	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	9	1	1	2	12.804318	.4764144	.60252861	.3743256	1.0911824	1	2	2	205317	7897	5686	22536	8041	26	4.331e+09	1	1964008	82527	105	171	142	111	11	536848	848	8529.092	8925.6268	7232670	-1132.403	-3.56e+07	0	4177.414	993802.2	1300351	14_CTBP2	1	1	1	7.35	1	1	5	.4255243	-.1573107	-.4569218	-.5875741	.2888094	-.8982587	.4255243	-.63364	.240426	-.755415	-.3186394	-.0752699	-.9762363	-.2669941	-.1824072	-.2800857	-.9576579	-1.707553	-1.040203	1.412188	.0439901	.8994349	2.375107	2.375107	-1.543098	-1.412188	-1.543098	-1.412188	-1.078744	-.6883569
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CTBP2_201001_B05	201001	1	NC190	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	9	1	1	2	16.319351		.57081658	.510444	1.558832	1	28	28															0	576399	0		350.87092				147	4202.885	1022618	1341085	14_CTBP2	1	2	1	9.416667	2	1	5	.5875741	.1862194	-.1573107	-.3639316	-.3036906	.3821084	-.3036906		.8416212	.4676988	-.5680515	1.015222	-.5742636	-1.619856	-1.619856															
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CTBP2_201001_F06	201001	1	NC202	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	9	1	1	2	10.904301	.3062664	.6976647	.3743256	.9352992	1	40	40																							0	3798.735	869806.8	1132318	14_CTBP2	1	2	1	10.26667	2	1	5	-1.123174	-1.071175	-1.123174	-.9750298	-1.633934	.7318081	-.7668313	-1.223734	.0125335	-.755415	.3318534	-.3584588																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CTBP2_201001_D03	201001	1	NC179	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	9	.7586505	1	2	14.229331	.8167104	.3964004	.5444736	1.6367736	1	17	17															26	524882	2176	8748.5584	9011.3261	1.90e+07	-1037.332	-2.46e+07	17	3926.719	1131764	1341504	14_CTBP2	1	2	1	8.416667	2	1	5	-.5875741	1.23748	-.1285329	.7291514	1.75333	-.6558747	-1.904707	.3500305	.9741139	.8064212	-1.959964	.2663106	-1.030806	.1323128	.1489679	.0922863	-.6515277													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CTBP2_201001_H03	201001	1	NC183	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	9	1	1	2	15.559344	.8167104	.57081658	.510444	1.558832	1	21	21	335606	6581	5277	9490	3361	51	3.372e+09	1	4799168	146980	167	208	190	145	133	666150	9634	13637.739	12233.436	1.31e+08	-825.1245	5.78e+07	0	3938.946	999469.6	1308023	14_CTBP2	1	2	1	8.7	2	1	5	-.521135	-.1285329	-.4255243	1.301224	-.93019	1.510357	-.521135	.3500305	.8416212	.4676988	-.5680515	.6588377	.0825485	1.458376	1.458376	1.504888	1.399161	-.3829533	-.3128614	.1768208	-.2669941	.0880656	.1768208	.4067242	.1323128	-.2216821	1.040203	-.7164975	.3593968	.7164975
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CTBP2_201001_H04	201001	1	NC188	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	9	.9776456	1	2	12.899319	1.0549176	.6976647	.4764144	1.4808904	1	26	26															58	776178	3984	7487.1142	7041.0661	2.98e+07	561.1067	4578358	0	4379.658	1140138	1516910	14_CTBP2	1	2	1	9.266666	2	1	5	1.534121	1.447606	1.370745	.8456872	.9750298		.2739918	1.169741	.7063026	.1383042	.3318534	-.0376083	.8276041	.6953402	.5742636	.397259	.6065981													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CTBP2_201001_F02	201001	1	NC173	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	9	.0583865	0	1	13.374324	0	.58667259	.170148	.389708	1	11	11	465382	7629	6666	13521	4582	61	6.249e+09	1	4811317	196748	136	255	195	129	136	604800	10369	13318.472	11600.665	1.38e+08	-225.9081	7.04e+07	6	4293.212	1098732	1442515	14_CTBP2	1	2	1	7.983333	2	1	5	.9750298	1.021921	.7291514	2.118995	.1573107	-.3821084	-.0712713	-2.307039	-.9541653	-1.554774	-.426148	.0376083	-.4610861	1.561435	1.561435	1.630759	1.630759	.0880656	.6607511	1.118958	.8994349	1.707553	1.205345	1.118958	.1768208	.7745655	-.0880656	.1768208	.5549229	.1323128
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CTBP2_201001_H01	201001	1	NC167	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	9	1	1	2	13.564325	.6465624	.53910454	.4423848	.9352992	1	5	5	421416	6197	6226	15231	6166	68	6.363e+09	2	4325585	164826	120	256	215	124	127	622884	9200	12252.745	11847.803	1.13e+08	-1650.363	4.27e+07	0	4244.651	1026281	1372607	14_CTBP2	1	2	1	7.566667	2	1	5	.8456872	.2445328	.1573107	.4887764	-.2739918	-.4803868	-.8056329	-.1723557	.0125335	-.1763742	-.8064212	.1130385	-.3186394	1.368829	1.368829	1.307107	1.150349	.6069868	.5043221	-.0439901	.4307273	1.937932	1.412188	1.937932	-.0439901	.2216821	-.7745655	.2216821	.9674216	-.0439901
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CTBP2_201001_F01	201001	1	NC165	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	9	0	0	1	18.029367	1.191036	.80865682	.680592	2.6500144	1	3	3															185	813401	17254	10828.198	9219.223	1.87e+08	740.5402	1.41e+08	0	4333.768	1263177	1586623	14_CTBP2	1	2	1	7.416667	2	1	5	1.23748	1.75333	1.904707	.1862194	1.904707	1.21023	1.447606	1.619856	2.326348	2.17009	.9153651	1.253565	.9762363	1.937932	2.479467	1.789531	2.439542													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CTBP2_201001_F03	201001	1	NC181	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	9	0	0	1	13.849328	.4083552	.6976647	.4764144	.9352992	1	19	19	378151	5252	4760	9274	2709	72	3.630e+09	1	6019997	224497	156	276	217	140	78	539736	6463	9145.8891	7539.6291	5.91e+07	1496.205	2.92e+07	0	4192.166	977472.8	1345302	14_CTBP2	1	2	1	8.55	2	1	5	.5540488	-.3639316	-.0427396	-.6924793	-.6924793	.1951978	1.370745	-.8798375	.0125335	.1383042	.3318534	.1636585	-.9244287	.8749908	.8749908	.697813	.9008895	.7745655	.0439901	-.7745655	-.7164975	.4067242	.0880656	-.3128614	1.040203	1.301807	.6069868	.5549229	1.118958	.5043221
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CTBP2_201001_B03	201001	1	NC177	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	9	0	0	1	16.034348	.8847696	.7928008	.5785032	1.6367736	1	15	15	414681	5385	5539	10872	3984	77	4.200e+09	1	7427176	186467	194	257	225	156	107	650212	8956	12768.111	11720.67	1.14e+08	-950.4608	4.55e+07	8	4168.749	1039590	1393572	14_CTBP2	1	2	1	8.283334	2	1	5	.3639316	.521135	.2739918	-.0142427	.0569997	-.0447762	-.2445328	.6175954	.9741139	1.103063	.8238936	.8064212	-.0494931	1.21679	1.289085	1.399161	1.307107	1.118958	.4067242	-.6069868	-.0439901	.6069868	.6607511	.9674216	1.707553	.6069868	2.375107	.2669941	1.354934	1.301807
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CTBP2_201001_H02	201001	1	NC175	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	9	0	0	1	8.8142812	.2722368	.52324853	.170148	.779416	1	13	13	505400	6923	6872	7249	2334	73	3.783e+09	1	7441254	204026	188	334	229	110	111	548100	8677	11162.906	9858.9603	9.69e+07	146.6539	4.54e+07	0	4041.048	980972	1311462	14_CTBP2	1	2	1	8.133333	2	1	5	-.0998612	-.3036906	-.3945408	.2739918	-.0142427	-.583549	.8056329	-1.44889	-.3451255	-1.554774	-.9741139	-.7891917	-.7820069	1.289085	1.21679	1.150349	1.224965	.9328892	.9674216	.5043221	.9674216	.5549229	-.7745655	-.5043221	1.937932	.8994349	1.937932	1.474486	1.707553	-.7745655
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CTBP2_201001_D01	201001	1	NC163	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	9	1	1	2	12.99432	.680592	.0951361	.5785032	1.2470656	1	1	1															58	594694	4065	9686.2696	9553.3553	3.94e+07	-886.3893	-9276054	2	3917.01	980628.1	1330528	14_CTBP2	1	2	1	7.25	2	1	5	-.6217734	-.3336597	-.1862194	.3036906	-.7668313	.3501975	-.3945408	-.0792395	.4676988	1.103063	-2.17009	.0125335	-.4980894	.6953402	.6136091	.5201756	-.166648													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CTBP2_201001_D05	201001	1	NC192	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	9	1	1	2	16.129349		.80865682	.4764144	.0779416	1	30	30															28	616380	1418	9001.3188	8588.9389	1.28e+07	-171.4654	-2.69e+07	0	4429.431	1149544	1556806	14_CTBP2	1	2	1	9.566667	2	1	5	1.75333	1.534121	1.534121	1.75333	1.370745	1.884304	.2152846		-1.554774	.1383042	.9153651	.8964733	-.3888753	.2160518	-.0494931	-.0922863	-.7456442													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CTBP2_201001_D06	201001	1	NC200	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	9	1	1	2	8.2442759	.4083552	.6976647	.4083552	.389708	1	38	38																							617	3460.613	797685.6	1007231	14_CTBP2	1	2	1	10.13333	2	1	5	-1.904707	-1.633934	-1.75333	-1.071175	-.4887764	-1.345167	-1.633934	-.8798375	-.9541653	-.4817269	.3318534	-.9741139																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CTBP2_201001_F05	201001	1	NC194	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	9	1	1	2	13.564325	.9187992	.60252861	.6465624	.9352992	1	32	32															1	1058164	64	4285.9531	5383.83	274301	-234.5343	-9539867	0	4002.01	960575.3	1282676	14_CTBP2	1	2	1	9.716666	2	1	5	-.3639316	-.521135	-.5540488	-.0427396	-.4255243	.4803868	.1573107	.768643	.0125335	1.811911	-.3186394	.1130385	1.368829	-1.21679	-1.21679	-2.012971	-.241944													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CTBP2_201001_H05	201001	1	NC196	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	9	1	1	2	16.034348	.0340296	.93550494	.6465624	1.3250072	1	34	34	391138	8149	6129	7560	2132	48	2.959e+09	2	4089779	148047	114	334	177	125	0	1488740	0		3246.0511				0	4375.871	1078171	1430208	14_CTBP2	1	2	1	9.85	2	1	5	1.447606	.8056329	.6567159	.3336597	.7668313	.1648683	-.1285329	-1.937932	.5244005	1.811911	1.281552	.8064212	2.479467	-1.619856	-1.619856			-.63364	.1323128	1.707553	.3593968	-.3128614	-.5549229	-.8353711	-.1323128	-.1768208	-1.118958	1.474486	-.2669941	.0219897
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CTBP2_201002_D06	201002	1	NC245	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	10	1	1	2	6.2243142	.8167104	.47568048	.4423848	.389708	1	34	83																							0	4035.024	936425.2	1290377	14_CTBP2	1	3	2	5.966667	3	1	5	-.1285329	-.6567159	-.4887764	-.4887764	-.5875741	-.1951978	.6567159	.3500305	-.9541653	-.1763742	-1.253565	-1.598193																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CTBP2_201002_A08	201002	1	NC257	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	10	1	1	2	6.3152005	.680592	.66595267	.3743256	.4676496	1	46	95																							0	4075.35	958526.6	1341549	14_CTBP2	1	3	2	6.933333	3	1	5	-.0142427	-.5540488	-.0998612	.5875741	-.6217734	.8122178	-.2152846	-.0792395	-.8238936	-.755415	.0752699	-1.439531																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CTBP2_201002_A03	201002	1	NC219	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	10	1	1	2	7.9511547	.9528288	.72937674	.4423848	.8573576	1	8	57																							0	4068.862	1008217	1401483	14_CTBP2	1	3	2	4	3	1	5	-.0427396	.0427396	.3336597	.4255243	-.5540488	2.514955	.0142427	.8798375	-.1763742	-.1763742	.5244005	-1.058122																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CTBP2_201002_G08	201002	1	NC263	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	10	1	1	2	8.3147	.8847696	.44396845	.3743256	.779416	1	3	101	411188	5633	5324	7540	2333	73	3.029e+09	1	5987908	161434	180	241	216	136	39	544597	3744	8695.2487	8099.7314	3.26e+07	232.5616	-2556114	0	4129.143	1012330	1372383	14_CTBP2	1	3	3	7.466667	3	1	5	.2445328	.0712713	.1285329	1.021921	-.3639316	.9915265	.9750298	.6175954	-.3451255	-.755415	-1.554774	-.9345893	-.8276041	.4247038	.5357877	.437478	.2800857	.9328892	.3593968	-.5549229	-.1768208	-.1768208	-.7164975	-.5549229	.8994349	.1323128	1.543098	-.2216821	1.040203	.3128614
InsH2Bfabp_CD15_10dpf_VAST02_plate02_CTBP2_201002_A02	201002	2	NC279	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	10	.8809524	1	2	16.4768	.5444736	1.030641	.4764144	1.6367736	1	19	117															20	544434	982	5194.9705	4835.4785	5101461	1470.429	394851.9	0	4124.845	1029541	1415778	14_CTBP2	1	3	3	9.283334	3	1	5	.1862194	.3639316	.4569218	-.2152846	1.633934	-.2257079	1.23748	-.4210971	.9741139	.1383042	1.695398	1.058122	-.8749908	-.0164917	-.1489679	-.6515277	.397259													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CTBP2_201002_A07	201002	1	NC250	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	10	1	1	2	16.040039	.5785032	.65009666	.4764144	1.7147152	1	39	88	503444	6992	6226	9129	2726	72	4.303e+09	2	5764737	195867	127	254	225	167	11	741034	608	8474.3635	9484.3885	5152413	-1998.188	-4.29e+07	0	4178.996	1032009	1414148	14_CTBP2	1	3	2	6.416667	3	1	5	.4569218	.3945408	.3945408	.9750298	.2152846	.8982587	-.6924793	-.3500305	1.200359	.1383042	-.0250689	.8596174	.4610861	-.2669941	-.3888753	-.6065981	-1.224965	.7745655	.8994349	.7164975	.4307273	.7164975	.0439901	-.2669941	.7745655	.7164975	-.4795057	.1323128	1.354934	1.543098
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CTBP2_201002_G04	201002	1	NC233	insH2Bfabp	CD15	CTBP2	1	0	0	2	1	10	.700959	1	2	19.402834	1.361184	1.1733452	.7146216	2.338248	1	22	71																							0				14_CTBP2	1	3	2	5.105556	3	1	5								2.558043	1.750686	2.575829	1.811911	1.959964																		
