filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	txnipa_nwt	txnipb_nwt	txnip_nwt	txnip_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_C07	200925	1	NE488	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	1	1	1	1	3	3.8877182	1.5653616	1.7283057	.7826808	1.7147152	1	41	41																							0	4013.265	898831.8	1233868	11_TXNIP	1	1	1	7.8	1	1	2	.4200915	-.1757821	0	-.2353289	.6205683	.4846749	-.247039	.5894558	-.2822162	-.3406948	-.6920772	-1.096804																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_A09	200925	1	NE496	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	1	1	1	1	3	3.1042768	1.2590952	2.0771381	.5444736	.4676496	1	49	49	439536	8970	6619	18459	5718	49	8.268e+09	1	4282798	120630	148	202	170	122										3836.049	839465.9	1086231	11_TXNIP	1	1	1	8.333333	1	1	2	.0583267	-.4846749	-.7690553	-1.570585	-1.570585	.4200915	-1.369856	-.0836517	-2.286548	-1.22064	.8025719	-1.823803						-.8994349	.1323128	1.412188	.1323128	1.412188	1.412188	.8994349	-.4067242	-1.118958	.7164975	-1.118958	-.7164975	-.1323128
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_E06	200925	1	NE482	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	.0248663	0	.0124331	0	1	5.454601	2.3140128	2.0454261	1.0549176	.8573576	1	35	35	432200	6649	5356	8809	2928	65	3.634e+09	1	4454077	170451	144	232	173	140	22	808098	1536	14511.544	14101.975	2.23e+07	-967.152	-5.22e+07	35				11_TXNIP	1	1	1	6.816667	1	1	2								1.833915	-1.22064	.7647097	.6229257	-.5707313	1.150349	-.1046335	-.1046335	-.1046335	-1.731664	.2669941	0	-.1323128	-.8994349	-1.412188	-1.118958	-.8994349	-.1323128	.2669941	.1992013	-.5549229	-.5549229	.8994349
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_C03	200925	1	NE466	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	.0123104	0	.0061552	0	1	4.3773691	2.211924	1.7283057	.9868584	1.4808904	1	19	19	501388	6776	6021	14618	4292	74	7.628e+09	1	6358055	224672	147	300	238	123									141	4354.287	1057430	1448601	11_TXNIP	1	1	1	4.833333	1	1	2	1.570585	1.031459	1.136341	.2353289	.5513477	1.395747	1.000491	1.593219	-.5244005	.4927033	-.6920772	-.9523705						.8994349	.5549229	0	-.1323128	.8994349	.1323128	0	1.412188	1.937932	.5549229	1.118958	1.619856	.1323128
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_C09	200925	1	NE498	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	1	1	1	1	3	3.8877182	1.0549176	1.7758738	.7146216	1.7926568	1	2	51																								3571.993	799689.3	1050058	11_TXNIP	1	1	2	8.466666	1	1	2	-1.031459	-1.255486	-1.136341	-1.813418	-1.255486	0	-.9042674	-.5566336	-.1116372	-.7279133	-.5244005	-1.096804																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_C08	200925	1	NE493	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	1	1	1	1	3	8.0987157	.3743256	2.5052505	.6125328	3.7411968	1	46	46																							0	3435.266	752869.6	1011059	11_TXNIP	1	1	1	8.133333	1	1	2	-2.269206	-2.269206	-1.813418	-2.269206	-.6929004	-.9368471	-2.250926	-1.420179	.4307273	-.9674216	1.833915	.142907																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_E07	200925	1	NE490	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	1	1	1	1	3	9.4697382	1.3271544	1.7917298	1.0549176	7.0926856	1	43	43	494278	5955	5884	10758	3235	83	5.509e+09	1	303	198	8	8	8	8									13	3574.976	858247.7	1148587	11_TXNIP	1	1	1	7.933333	1	1	2	-.9368471	-.2353289	-.2957227	.4200915	.3572158	.7690553	-.0611754	.0557317	1.420179	.7647097	-.4614937	.3186394						1.937932	.4067242	-1.412188	-.4067242	0	-.5549229	-.5549229	-1.937932	-1.937932	-1.937932	-1.937932	-1.937932	-1.937932
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_G02	200925	1	NE462	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	1	1	1	1	3		1.191036	1.8868659	.4764144	1.169124	1	15	15	344809	8210	7724	14944	4531	42	5.349e+09	1	2538950	117108	113	209	155	126									0	3493.514	818366.4	1062140	11_TXNIP	1	1	1	4.566667	1	1	2	-1.255486	-.8499573	-1.031459	-.7690553	-.5513477	.5513477	-.1844524	-.2246877	-.8819982	-1.593219	-.027855							-1.937932	-.8994349	.5549229	.7164975	-.1323128	.2669941	.1323128	-1.412188	-1.412188	-1.412188	-.8994349	-1.412188	.4067242
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_A01	200925	1	NE448	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	1	1	1	1	3	3.4959975	1.3952136	1.8234418	1.1570064	1.2470656	1	1	1																							0	3704.449	824572.1	1084481	11_TXNIP	1	1	1	3.516667	1	1	2	-.4200915	-.6205683	-.9368471	-.5513477	-.4200915	-.4200915	-1.546635	.1397103	-.8025719	1.701288	-.3406948	-1.48947																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_G01	200925	1	NE454	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	.0476028	.0433248	.0454638	0	1	5.8463217	.7146216	.95136096	1.0549176	1.4029488	1	7	7	376653	6278	5487	18125	7195	60	6.701e+09	1	5675024	173244	144	277	191	122	13	724644	944	10632.162	11309.635	1.00e+07	-1325.119	-2.00e+07	10	3920.05	978085.9	1394230	11_TXNIP	1	1	1	4.016667	1	1	2	.2957227	.4200915	.7690553	-.0583267	.6929004	-.5513477		-.923867	-.6571085	.7647097	-2.286548	-.3487557	.1046335	-.6744897	-.5485223	-.5485223	-.5485223	-.0660118	-.2669941	-.8994349	-.7164975	.7164975	1.118958	1.937932	.7164975	.4067242	.1992013	.5549229	.2669941	-.1323128
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_H04	200925	1	NE477	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	1	.9909636	.9954818	1	3	9.5676683	0	1.966146	.9528288	.5455912	1	30	30															66	804938	4908	10451.195	8798.4635	5.13e+07	1660.746	6.13e+07	6	3793.86	962459.4	1263431	11_TXNIP	1	2	1	5.9	2	1	2	-.0583267	.2957227	.0583267	.1168527	1.031459	-.8499573	.4419345	-2.286548	-1.701288	.2822162	.2533471	.4099833	.8122178	.8122178	.8122178	.5485223	1.731664													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_D02	200925	1	NE459	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	.0257823	0	.0128911	0	1	7.2173441	1.191036	1.4270414	.680592	2.2603064	1	12	12	567729	8871	8511	8952	3090	64	5.125e+09	1	5553770	195764	138	282	237	132									13	4288.311	1158950	1618908	11_TXNIP	1	2	1	4.35	2	1	2	1.395747	1.813418	1.813418	1.395747	1.255486	.8499573	2.250926	-.2246877	.167894	-.8416212	-1.593219	-.0284883						.1323128	1.118958	.8994349	1.118958	-.2669941	-.8994349	-.7164975	.5549229	.5549229	-.1992013	.7164975	1.118958	.5549229
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_F06	200925	1	NE483	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	.9632176	1	.9816088	1	3	4.9649501	1.3952136	2.1722742	.5444736	1.4029488	1	36	36																							0	3779.264	849454.9	1179242	11_TXNIP	1	2	1	6.883333	2	1	2	-.1168527	-.4200915	-.2353289	.5513477	-.9368471	1.255486	1.227826	.1397103	-.6571085	-1.22064	1.16395	-.7106959																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_B07	200925	1	NE487	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	1	1	1	1	3	13.484875	1.8035688	2.1247061	1.0549176	6.5470944	1	40	40																							6	4187.786	1136549	1407090	11_TXNIP	1	2	1	7.733333	2	1	2	.8499573	1.255486	.8499573	.3572158	.4200915	-1.136341	-.5104216	1.16395	1.281552	.7647097	1.060562	1.150349																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_E08	200925	1	NE495	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	0	0	0	0	1	10.54697	1.70148	1.982002	1.1570064	5.455912	1	48	48	372347	4965	5907	13030	4036	75	5.065e+09	1	4452764	169071	138	291	185	109	38	735668	2960	10920.144	11404.849	3.23e+07	-1157.212	785278	27	3730.808	904858.1	1188453	11_TXNIP	1	2	1	8.266666	2	1	2	-.2957227	-.0583267	-.1757821	-.6205683	-.0583267	-1.255486	.5104216	.9674216	.8416212	1.701288	.4003634	.5707313	.3186394	.1046335	.1046335	.1046335	-.1046335	1.118958	-.5549229	-1.937932	-.2669941	-.4067242	-.1323128	-.2669941	-.2669941	.1323128	-.1992013	.8994349	-.0660118	-.8994349
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_D01	200925	1	NE451	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	.0113692	0	.0056846	0	1	7.3152743	1.5993912	1.6331696	.9528288	2.338248	1	4	4	507396	8457	6935	13000	4594	60	6.152e+09	1	4516254	167921	150	250	183	122									78	4272.713	1152206	1570817	11_TXNIP	1	2	1	3.816667	2	1	2	1.255486	1.570585	1.570585	1.136341	1.136341	-.3572158	-.3754618	.6920772	.2246877	.2822162	-1.060562	.0569997						-.0660118	.8994349	.7164975	.4067242	.5549229	-.2669941	.2669941	.1323128	0	1.25212	-.2669941	-.2669941	-.1323128
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_B03	200925	1	NE465	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	.9708856	1	.9854428	1	3	11.526272	.8167104	1.982002	.9187992	.9352992	1	18	18																							0	4074.114	1012375	1354648	11_TXNIP	1	2	1	4.766667	2	1	2	.6929004	.6929004	.6205683	1.031459	1.570585	1.031459	.9042674	-.7279133	-1.060562	.027855	.4003634	.639147																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_D07	200925	1	NE489	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	1	1	1	1	3	3.0063466	1.191036	1.6807377	.7826808	.7014744	1	42	42																								3445.527	802605.3	1026341	11_TXNIP	1	2	1	7.866667	2	1	2	-1.813418	-1.136341	-1.570585	-.6929004	-1.136341	-1.031459	-1.000491	-.2246877	-1.420179	-.3406948	-.9674216	-2.277988																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_F03	200925	1	NE468	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	1	.9699987	.9849994	1	3	16.12899	1.70148	1.5856016	1.1229768	8.963284	1	21	21																							19				11_TXNIP	1	2	1	4.991667	2	1	2								.9674216	2.286548	1.16395	-1.281552	1.823803																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_D09	200925	1	NE499	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	1	.9886905	.9943452	1	3	12.897294	.7826808	1.8710099	.4764144	1.0132408	1	3	52																							0	4039.598	1041175	1385153	11_TXNIP	1	2	2	8.533334	2	1	2	.6205683	.7690553	.6929004	2.269206	.8499573	-.6205683	-.1225808	-.8025719	-.9674216	-1.593219	-.1116372	.9523705																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_H03	200925	1	NE470	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	.9289531	.7814682	.8552107	1	3	7.3152743	1.4632728	1.9027219	.9187992	2.9617808	1	23	23																								3495.241	790672.3	1046379	11_TXNIP	1	2	1	5.133333	2	1	2	-1.136341	-1.570585	-1.255486	.6205683	-2.269206	1.813418	1.791764	.2533471	.3406948	.027855	.0836517	.0569997																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_D04	200925	1	NE474	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	1	1	1	1	3	13.386945	.9187992	2.2039862	.7486512	5.84562	1	27	27																							206	3925.644	935513	1277831	11_TXNIP	1	2	1	5.666667	2	1	2	.3572158	.1168527	.1168527	-.4846749	.1757821	-.7690553	-.581393	-.6571085	1.060562	-.5894558	1.347629	1.046231																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_B08	200925	1	NE492	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	.8181387	.8603703	.8392545	1	3	9.371808	.2041776	2.3308344	1.1229768	.5455912	1	45	45																								3581.088	817349.6	1090552	11_TXNIP	1	2	1	8.066667	2	1	2	-.8499573	-.9368471	-.6205683	-1.255486	-.6205683	-1.570585	-.7332358	-1.701288	-1.701288	1.16395	1.593219	.2592342																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_B04	200925	1	NE472	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	0	0	0	0	1	5.7483915	2.1098352	1.4428975	.9868584	1.7926568	1	25	25	620561	7855	8007	9431	2612	79	5.996e+09	1	6271943	213229	170	269	207	149	12	792487	816	8627.3591	9310.2768	7039925	-808.5363	8896105	123	4226.16	1044600	1456617	11_TXNIP	1	2	1	5.516667	2	1	2	1.031459	.8499573	1.255486	1.813418	1.395747	.6205683	.0611754	1.420179	-.1116372	.4927033	-1.420179	-.4727891	.5485223	-1.150349	-.9674216	-1.150349	.3186394	1.412188	1.937932	.4067242	.8994349	.4067242	-.7164975	-1.412188	1.118958	1.412188	1.937932	.2669941	.4795057	1.412188
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_B02	200925	1	NE457	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	.9765359	1	.988268	1	3	4.4752993	1.0549176	1.8234418	.680592	.8573576	1	10	10	347029	6941	6818	12809	4194	50	4.462e+09	1	4521669	147643	117	271	210	146									0	3772.499	899803.8	1216387	11_TXNIP	1	2	1	4.216667	2	1	2	-.2353289	-.1168527	-.1168527	.2957227	-.4846749	-.2957227	.6554235	-.5566336	-1.22064	-.8416212	-.3406948	-.8254945						-.63364	-.7164975	.2669941	.2669941	-.8994349	-.4067242	-.1323128	.2669941	-.2669941	-.8994349	.4067242	.7164975	1.118958
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_D06	200925	1	NE481	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	.0205763	0	.0102882	0	1	7.119414	3.2668416	1.7124497	1.1570064	2.8058976	1	34	34															13	632122	816	10622.598	9938.8294	8668040	394.0363	502977.9	0	5151.416	1264508	1715165	11_TXNIP	1	2	1	6.75	2	1	2	2.269206	2.269206	2.269206	1.255486	2.269206	.2957227		2.286548	.2822162	1.701288	-.8819982	-.0855575	-.5485223	-.6744897	-.9674216	-.8122178	-.3186394													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_H06	200925	1	NE485	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	1	1	1	1	3	6.3359726	1.2590952	1.7283057	.9528288	1.6367736	1	38	38															43	684960	3264	12047.495	10489.628	3.93e+07	1124.323	2.24e+07	66	4031.978	1006109	1332531	11_TXNIP	1	2	1	7.016667	2	1	2	.5513477	.6205683	.3572158	-.1168527	.2353289	.9368471	0	-.0836517	-.4003634	.2822162	-.6920772	-.2592342	-.3186394	.3186394	.3186394	.3186394	.5485223													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_F02	200925	1	NE461	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	1	1	1	1	3	3.4959975	.680592	1.966146	.4083552	1.558832	1	14	14	374541	6571	7283	15478	5510	57	5.674e+09	1	4022513	156569	132	331	164	100										3666.212	853357.9	1131076	11_TXNIP	1	2	1	4.5	2	1	2	-.5513477	-.3572158	-.3572158	-1.031459	-.2957227	-.1757821	-.4419345	-1.060562	-.4614937	-2.286548	.2533471	-1.48947						-.2669941	-.4067242	-.4067242	.5549229	.2669941	.4067242	.5549229	-.5549229	-.1323128	-.5549229	1.937932	-1.118958	-1.412188
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_F01	200925	1	NE453	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	1	1	1	1	3	9.959389	1.531332	1.6173136	.9187992	4.2088464	1	6	6																								3489.758	820968.3	1045377	11_TXNIP	1	2	1	3.95	2	1	2	-1.395747	-.6929004	-1.395747	.0583267	-.7690553	-.6929004	-.6554235	.4927033	.5244005	.027855	-1.16395	.5048896																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_H01	200925	1	NE455	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	.9314756	.9682644	.94987	1	3	9.5676683	.6125328	1.8234418	.7826808	5.84562	1	8	8	282688	6282	5348	16920	5563	45	4.720e+09	1	3542320	129947	123	251	169	107	4	413577	288	14970.674	11832.123	4311554	2354.483	-3.40e+07	0	3453.177	819428.1	1127547	11_TXNIP	1	2	1	4.083333	2	1	2	-1.570585	-.7690553	-.4200915	-1.395747	-1.395747	-.4846749	1.369856	-1.16395	1.060562	-.3406948	-.3406948	.4099833	-1.731664	-1.731664	-1.731664	-1.731664	-.8122178	-1.118958	-1.937932	-.7164975	-1.118958	-.7164975	.5549229	.7164975	-.8994349	-.7164975	-.7164975	-.1323128	-.8994349	-1.118958
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_B06	200925	1	NE479	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	.0126332	0	.0063166	0	1	6.4339027	1.2931248	1.997858	.4764144	2.1823648	1	32	32	586459	8886	8678	13772	3928	66	7.672e+09	1	5680301	200765	149	266	207	124	82	594754	6410	12295.046	11995.941	7.88e+07	-527.7346	3.78e+07	15	3912.557	942077.6	1352524	11_TXNIP	1	2	1	6.616667	2	1	2	.1757821	.1757821	.5513477	-.4200915	-.2353289	.6929004	1.546635	0	.0557317	-1.593219	.5244005	-.1717471	-1.150349	1.731664	1.731664	1.150349	1.150349	.4067242	1.412188	1.118958	1.412188	1.118958	0	-.4067242	.8994349	.7164975	.8994349	.1323128	.4795057	.2669941
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_F04	200925	1	NE475	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	.037276	0	.018638	0	1	13.778666	1.0889472	1.8392979	1.0549176	4.9882624	1	28	28																							3	3916.589	970594.2	1330244	11_TXNIP	1	2	1	5.75	2	1	2	.2353289	.3572158	.2353289	-.3572158	.4846749	-.2353289	.1844524	-.4307273	.6571085	.7647097	-.2246877	1.268707																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TXNIP_200925_D08	200925	1	NE494	insH2Bfabp	CD15	TXNIP	1	0	0	2	1	10	.7288991	1	.8644495	1	3	12.603504	.7146216	2.933363	.9187992	5.84562	1	47	47	327412	6420	4537	17683	5022	51	5.583e+09	1	3405612	143525	116	247	190	118	20	691793	1424	13923.097	13085.483	1.98e+07	-273.703	-3.85e+07	17	4024.044	990975.9	1346902	11_TXNIP	1	2	1	8.2	2	1	2	.4846749	.4846749	.4200915	.4846749	.0583267	.3572158	.1225808	-.923867	1.060562	.027855	2.286548	.8662307	-.1046335	-.3186394	-.3186394	-.3186394	-1.150349	-.4067242	-1.118958	-.5549229	-1.937932	.1323128	.8994349	.4067242	-1.118958	-.4067242	-1.118958	-.4067242	.1323128	-.4067242
