filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	N69_nwt	N70_nwt	N71_nwt	fndc5_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FNDC5_210104_E02	210104	1	NH734	insH2Bfabp	CD15	FNDC5	1	0	0	2	1	9	1	1	1	1	4	8.0757468	2.55222	1.1892012	.3062664	2.9617808	1	11	11	205372	5868	4923	5069	1534	35	1.064e+09	1	3092406	109141	114	217	174	93	97	401450	7152	4486.3737	4105.3328	3.21e+07	35.18984	-5067455	23	3579.071	788399.4	1006333	45_FNDC5	1	1	1	3.45	1	1	2	-.6084982	-.4438613	-1.00627	-.2165341	0	-.0760316	-1.00627	.2046599	-.4183713	-2.211127	.0348213	-.4692529	-.852495	.2298841	.152506	.3086658	-.0760316	-1.297543	-.5485223	.3186394	-.1046335	-2.200411	-2.200411	-2.200411	.6314019	.1046335	.1749599	-.3928308	.5084881	-.8122178
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FNDC5_210104_B08	210104	1	NH773	insH2Bfabp	CD15	FNDC5	1	0	0	2	1	9	1	1	1	1	4	16.745797	4.0154928	2.5211065	1.6674504	8.8074008	1	1	50	357226	5031	4517	7976	3467	71	2.759e+09	2	6050139	166035	176	341	157	133	155	651778	11589	4671.9758	4150.8146	5.41e+07	169.5982	1.61e+07	50	4289.375	1088414	1533553	45_FNDC5	1	2	2	7.466667	2	1	2	2.18935	2.18935	2.18935	.8938006	1.718451	-.2298841	2.18935	1.494155	1.744448	2.211127	1.731664	1.731664	1.4342	1.096804	.852495	.9674216	.9674216	2.200411	1.024592	-.6314019	-.3928308	-.3186394	-1.150349	-.2461637	2.200411	1.731664	2.200411	2.200411	.0348213	2.200411
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FNDC5_210104_H02	210104	1	NH737	insH2Bfabp	CD15	FNDC5	1	0	0	2	1	9	1	1	1	1	4	11.393914	3.3689304	1.1574892	1.5653616	1.0911824	1	14	14	192823	5509	5324	8082	2694	35	1.604e+09	1	2242167	95445	92	221	147	130	11	465300	987	3347.615	3588.4289	3304096	-521.7499	-2.36e+07		3887.4	940642.1	1308426	45_FNDC5	1	2	1	3.666667	2	1	2	.8938006	1.13317	1.281552	.3661064	.8938006	.4727891	1.718451	1.166919	-1.744448	1.606755	-.1046335	.6744897	-.152506	-1.690622	-1.690622	-1.690622	-1.096804	-1.297543	-.9132499	.0348213	.4692529	-1.150349	-.9132499	-1.024592	-.7188681	-.6314019	-1.914506	-.1397103	-.4307273	1.479941
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FNDC5_210104_H05	210104	1	NH757	insH2Bfabp	CD15	FNDC5	1	0	0	2	1	9	1	1	.9254084	1	4	10.109462	2.211924	.99892901	.9187992	2.9617808	1	34	34	185105	4407	3658	10815	3853	42	1.945e+09	1	2165309	94251	106	224	161	98	50	453908	3612	5423.4372	4278.6231	1.96e+07	777.2004	-2.10e+07	183	3818.49	824452.5	1147705	45_FNDC5	1	2	1	5.933333	2	1	2	.6084982	0	0	-.1437292	1.00627	-.3894143	-.2905068	-.4556403	-.4183713	-.695908	-.8122178	.2461637	-.3894143	-.5157048	-.4727891	-.2298841	-.9674216	-.2104284	-1.479941	-1.479941	-1.024592	-.8122178	-.2461637	-.0348213	-.9132499	-.8122178	-.4692529	-.0348213	.2461637	-.4692529
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FNDC5_210104_D09	210104	1	NH782	insH2Bfabp	CD15	FNDC5	1	0	0	2	1	9	1	1	1	1	4	12.357253	2.892516	1.2526253	1.2931248	4.9103208	1	10	59	296744	6056	5002	11241	4358	49	3.409e+09	1	2829817	122599	122	225	156	117	56	451928	4137	3530.541	3737.0457	1.46e+07	-506.1046	-1.53e+07	99	3839.335	900581.4	1201418	45_FNDC5	1	2	2	8.233334	2	1	2	.6971414	.7916386	.6084982	.6084982	.3661064	1.247754	.2905068	.5716375	.8320063	.785036	.2104284	.9674216	-.4727891	-.3894143	-.3086658	-.5595922	-.5595922	.4692529	.5485223	.5485223	-.0348213	.3186394	-.1749599	.2461637	.1749599	.5485223	.3554904	.0348213	-.0348213	.4692529
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FNDC5_210104_H07	210104	1	NH771	insH2Bfabp	CD15	FNDC5	1	0	0	2	1	9	1	.8807155	.7941142	1	4	17.388023	4.0495224	1.966146	1.5653616	5.7676784	1	48	48															50	686836	3959	4442.8873	3889.2306	1.76e+07	234.9447	-1.53e+07	94	4286.822	1050641	1510644	45_FNDC5	1	2	1	7.316667	2	1	2	1.718451	1.718451	1.718451	.7916386	1.281552	.152506	.6084982	1.744448	1.312981	1.606755	1.479941	2.200411	1.690622	-.5157048	-.3894143	-.3894143	-.6508373													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FNDC5_210104_D05	210104	1	NH753	insH2Bfabp	CD15	FNDC5	1	0	0	2	1	9	1	.8917789	1	1	4	12.357253	3.8113152	1.5856016	1.3271544	4.1309048	1	30	30	376440	6274	5276	8917	2918	60	3.387e+09	2	4084771	148639	131	235	183	118	40	485306	2392	4144.3085	4497.8572	9913186	-748.6948	-3.50e+07	20	3655.835	878210.8	1247535	45_FNDC5	1	2	1	5.433333	2	1	2	-.0716793	.6084982	1.00627	0	.6971414	.7478586	.0716793	1.312981	.3454851	.9856104	1.024592	.9674216	.0760316	-.9084579	-.9674216	-.7478586	-1.690622	1.22064	1.479941	.7188681	.3186394	.1046335	-.6314019	-.4692529	1.479941	1.297543	.7188681	.3928308	.8122178	.6314019
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FNDC5_210104_F05	210104	1	NH755	insH2Bfabp	CD15	FNDC5	1	0	0	2	1	9	1	1	.7066493	1	4	6.6842572	2.2459536	.99892901	.4764144	1.2470656	1	32	32	196240	5772	4343	7073	2664	34	1.307e+09	1	1997891	93371	112	172	147	103									8	3622.24	746813.4	964074.4	45_FNDC5	1	2	1	5.583333	2	1	2	-.2905068	-1.13317	-1.718451	-1.465234	-1.718451	-.6508373	-2.18935	-.3097425	-1.494155	-1.312981	-.8122178	-1.024592						-1.731664	-.8122178	.1749599	-.5485223	-1.731664	-1.731664	-1.150349	-1.150349	-.9132499	.0696849	-2.200411	-.4307273	-.2461637
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FNDC5_210104_H06	210104	1	NH764	insH2Bfabp	CD15	FNDC5	1	0	0	2	1	9	0		0	0	1	11.286877	2.1778944	1.1416332	.7146216	3.3514888	1	41	41	252689	5615	4613	12331	2837	45	3.122e+09	1	1977390	104535	96	209	142	122	57	517215	3267	5223.3281	5488.634	1.71e+07	-784.8782	-4.75e+07		4017.834	911033.9	1175668	45_FNDC5	1	2	1	6.65	2	1	2	1.281552	1.00627	.3661064	1.718451	-.1437292	-1.247754	1.00627	-.695908	-.1017956	-.9319713	-.2104284	.5084881	.4727891	-.3086658	-.5595922	-.4727891	-2.166107	.0348213	.1749599	.1046335	-.2461637	.0348213	.3186394	-.6314019	-1.297543	-.3186394	-1.297543	-.4692529	-.8122178	.7647097
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FNDC5_210104_B09	210104	1	NH781	insH2Bfabp	CD15	FNDC5	1	0	0	2	1	9	.9865863	1	.9569343	1	4	9.1461234	3.062664	1.3794734	1.191036	3.507372	1	9	58	250134	4905	3925	11605	4467	51	2.843e+09	1	2947391	113637	105	234	180	111	79	474018	5900	4208.9708	3984.4596	2.48e+07	-106.16	-9926078	181	3759.597	864274	1177747	45_FNDC5	1	2	2	8.15	2	1	2	.2905068	.3661064	.4438613	-.4438613	.5244005	1.4342	.4438613	.9319713	.0338798	.4935534	.4692529	-.0348213	-.0760316	-.0760316	-.0760316	0	-.3086658	.5894558	.1046335	-.8122178	-.8122178	-.2461637	.1046335	.3928308	.3186394	.3928308	-.5894558	.3186394	.6744897	.1046335
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FNDC5_210104_B06	210104	1	NH759	insH2Bfabp	CD15	FNDC5	1	0	0	2	1	9	0	0		0	1		1.020888	.93550494	.6125328	.5455912	1	36	36	189667	5126	5426	9233	2255	37	1.782e+09	1	1616239	78427	110	178	121	96	10	409118	725	1972.9821	1804.5939	1430412	111.4743	9863440	187	3503.334	763053	1028674	45_FNDC5	1	2	1	6.1	2	1	2	-1.13317	-.7916386	-.6084982	-.6971414	-.8938006	.9674216	1.13317	-2.211127	-2.211127	-1.166919	-1.150349		-.7478586	-2.166107	-2.166107	-2.166107	.3894143	-.9132499	-1.150349	-.3928308	.6314019	-1.024592	-.4692529	-1.479941	-2.200411	-1.731664	-.2104284	-1.731664	-1.382994	-.7188681
InsH2Bfabp_CD15_09dpf_VAST02_plate02_FNDC5_210104_D01	210104	2	NH788	insH2Bfabp	CD15	FNDC5	1	0	0	2	1	9	1	1	1	1	4	6.2600737	2.1778944	1.4270414	1.0889472	2.6500144	1	16	65	199874	5125	5004	8488	1924	39	1.602e+09	1	2341124	89598	100	228	141	113										3260.336	689780.3	881829.5	45_FNDC5	1	2	2	8.833333	2	1	2	-2.18935	-2.18935	-2.18935	-1.718451	-1.00627	.2298841	-1.465234	-.695908	-.6533766	0	.5485223	-1.297543						-.5485223	-.7188681	-.4692529	.0348213	-1.297543	-.8122178	-1.731664	-.5485223	-1.150349	-.9674216	.1046335	-.9132499	.2461637
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FNDC5_210104_B07	210104	1	NH766	insH2Bfabp	CD15	FNDC5	1	0	0	2	1	9	1	1	1	1	4	11.072801	2.4161016	1.3477614	1.1570064	4.286788	1	43	43	274710	6868	5296	11806	3931	40	3.392e+09	1	2605230	120366	111	238	206	85	27	577694	2035	3092.4364	3229.3321	6293108	-372.7347	-1.35e+07	35	3781.638	868356.3	1246773	45_FNDC5	1	2	1	6.9	2	1	2	.3661064	.4438613	.8938006	-.3661064	.6084982	-.5595922	-.0716793	-.2046599	.4935534	.2743915	.3928308	.3928308	1.247754	-1.096804	-1.096804	-.9674216	-.4727891	-.3928308	.3186394	1.150349	.3928308	.1749599	.2461637	.0348213	-.1749599	.4692529	-.0696849	.4692529	2.200411	-1.593219
