filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	sirt1_nwt	sirt1_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SIRT1_201029_E06	201029	1	ND819	insH2Bfabp	CD15	SIRT1	1	0	0	2	1	9	1	1	2	8.7176126	.6465624	.28540829	.340296	0	1	39	39	208025	6710	6244	8169	2885	31	1.665e+09	1	2092693	78791	116	200	119	95	133	444755	9779	19441.751	17877.397	1.90e+08	-378.5627	-9.72e+07	139	3828.257	876909.8	1183833	24_SIRT1	1	1	1	4.75	1	1	5	-1.123573	-1.320803	-.9624554	-.1786546	-1.526579	.5513477	-.7164975	-.4819097	-2.484125	.6643075	-.1728808	-1.355292	-1.226528	-.4491363	-.4399132	-.1763742	-1.226528	-1.715078	-1.43573	.1356647	.7863633	-1.181485	-.3305199	0	-1.257333	-1.488228	-.823767	-1.298124	-1.545182	-1.386915
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SIRT1_201029_E07	201029	1	ND828	insH2Bfabp	CD15	SIRT1	1	0	0	2	1	9	0	0	1	16.844692	1.1229768	.53910454	.3062664	2.0264816	1	48	48	492194	6476	5930	7903	2360	76	3.700e+09	1	5888459	206081	165	260	215	141	243	680661	16917	16016.107	15292.15	2.71e+08	-751.3005	5.12e+07	21				24_SIRT1	1	1	1	5.716667	1	1	5								.4099833	.8486	.3748229	1.203564	.4819097	.4770404	.9541653	.8297738	.5340118	.717066	.8623604	.6576059	0	.4875067	.0360744	-.4672965	-.7030663	.7263473	.7987068	1.095309	.0541263	.7146584	.9722318
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SIRT1_201029_D02	201029	2	ND854	insH2Bfabp	CD15	SIRT1	1	0	0	2	1	9	1	1	2	15.166615	.7486512	.25369626	.2722368	1.169124	1	25	74	317105	5033	4306	4629	1519	63	1.481e+09	1	5402800	183784	132	338	222	96	171	582372	14892	21909.733	18006.023	3.26e+08	1937.525	3.56e+07	411	4004.196	1011642	1308860	24_SIRT1	1	1	2	9.466666	1	1	5	-.3532773	-.2359998	-.3732596	-.4547992	-1.15946	-.1955515	-.8443099	-.2132027	.0569997	.0978166	-.3337581	.1717471	-.0920395	.1340876	.4583978	.9027348	.5340118	.0631585	-.5493959	-1.277463	-1.181485	-1.386915	-1.677088	-1.677088	.4875067	.3688625	-.172163	1.386915	.8888183	-1.341198
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SIRT1_201029_A05	201029	2	ND872	insH2Bfabp	CD15	SIRT1	1	0	0	2	1	9	1	1	2	20.333799	.9528288	.19027219	.340296	1.2470656	1	43	92	390455	9297	6663	10199	3649	42	3.821e+09	1	4226231	136443	118	253	195	114	142	651912	11920	22743.253	19330.986	2.71e+08	1206.403	-5.42e+07	61	4322.534	1079920	1435009	24_SIRT1	1	1	2	11.38333	1	1	5	.5612504	.2552792	.2941324	-.0842775	.1596785	.441412	-.2281252	.1223809	.1552511	.6643075	-.8557124	1.27786	.279319	-.1933732	-.0417893	.5533847	-.6744897	-1.145992	-.0721959	1.755717	1.079027	.090289	.3305199	.6576059	-.1630188	-.3882355	-.7030663	-.1630188	.2181168	-.4274319
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SIRT1_201029_G05	201029	2	ND876	insH2Bfabp	CD15	SIRT1	1	0	0	2	1	9	1	1	2	18.726231	1.2250656	.19027219	.340296	.389708	1	47	96	396370	6954	5342	9862	2731	57	4.079e+09	1	5632877	185542	155	264	189	131	206	662608	15641	25007.588	21732.128	3.91e+08	635.241	3191813	33				24_SIRT1	1	1	2	11.7	1	1	5								.6242437	-1.127005	.6643075	-.8557124	.9459858	.3318534	.6744897	.5729675	1.300781	.0417893	-.1630188	0	.3882355	-.2552097	.3496269	.1813217	-.1996854	.6134658	.3882355	.7030663	.1813217	.090289	.4472753
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SIRT1_201029_A02	201029	1	ND786	insH2Bfabp	CD15	SIRT1	1	0	0	2	1	9	.0959724	0	1	13.59386	1.191036	.38054438	.340296	.3117664	1	6	6	447786	6785	6804	11440	3539	66	4.907e+09	1	4544554	169435	140	234	180	130	135	677412	10554	14272.934	13969.632	1.51e+08	-932.7179	-3.46e+07	22	4262.983	1091763	1433035	24_SIRT1	1	1	1	2.633333	1	1	5	.3532773	.3732596	.2552792	.4136855	.9624554	1.299424	-1.735192	.5564225	-1.296494	.6643075	.3424315	-.18829	.4215776	-.4033827	-.2447285	-.4958504	-.4033827	.2552097	.4472753	.2366225	1.218533	.8493556	.6353812	.5704901	.0180343	.090289	.1265702	-.6464536	-.0721959	.3882355
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SIRT1_201029_E08	201029	1	ND835	insH2Bfabp	CD15	SIRT1	1	0	0	2	1	9	.7490457	1	2	9.7625229	.2041776	.23784024	.1020888	.5455912	1	6	55	569093	7488	5832	6967	2029	76	3.840e+09	1	6505263	195342	131	411	185	143	150	629370	11735	17493.076	15530.063	2.05e+08	444.7192	-2.07e+07	6	4368.809	1080309	1463749	24_SIRT1	1	1	2	6.616667	1	1	5	.7467344	.274654	.4136855	.698164	.1218913	-1.031459	.9876823	-1.596444	-.8721677	-1.31559	-.4217567	-1.111778	.1594259	-.0752699	-.0920395	-.0417893	-.227545	.8623604	1.218533	.9297163	.3496269	.1265702	-.9578677	-1.145992	.9022831	.6134658	-.2366225	2.097253	.0270532	1.111886
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SIRT1_201029_E05	201029	1	ND813	insH2Bfabp	CD15	SIRT1	1	0	0	2	1	9	.0719954	0	1	14.522669	1.531332	.58667259	.4083552	1.7147152	1	33	33	861264	9464	8217	9952	2792	91	8.729e+09	2	7545941	279711	146	417	218	139	269	781672	21920	13904.096	12680.651	3.05e+08	220.5955	1.53e+08	0	4339.419	1153103	1496318	24_SIRT1	1	1	1	4.366667	1	1	5	.6282339	.7716892	.6056064	1.526579	.9046108	.5741128	.6923432	1.296494	.5281394	1.241867	1.311934	.0162775	1.036433	1.382994	1.644854	.7609839	1.880794	1.799482	2.687716	1.846993	1.846993	1.846993	.2552097	-.0541263	1.298124	1.846993	.3020815	2.297632	.8111733	.7741385
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SIRT1_201029_D02	201029	1	ND789	insH2Bfabp	CD15	SIRT1	1	0	0	2	1	9	1	1	2	15.683681	1.8035688	.33297634	.3743256	1.8705984	1	9	9	498050	6468	6715	8701	2735	77	4.471e+09	1	4848049	188337	139	326	198	107	86	480384	7792	14088.841	12325.857	1.10e+08	824.3168	-3.25e+07	57	4282.769	1099973	1501313	24_SIRT1	1	1	1	2.816667	1	1	5	.3732596	.4547992	.6511877	.4341506	.5612504	1.06512	1.412188	1.657578	.7264997	.9982012	.1149349	.2888094	-1.008252	-1.340755	-1.008252	-1.008252	-.3318534	.9436985	.6801605	-.0360744	1.111886	.5285433	-.1447705	-.1813217	.2181168	.4077554	.0812391	1.218533	.2832589	-.7500287
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SIRT1_201029_B08	201029	1	ND832	insH2Bfabp	CD15	SIRT1	1	0	0	2	1	9	.0591448	0	1	7.2082979	.4083552	.19027219	.1020888	.6235328	1	3	52	397077	6303	5346	8181	2487	63	3.268e+09	1	4590914	145043	157	260	172	114	93	540042	7698	10996.497	9979.8955	8.47e+07	502.3069	3588885	9	3951.721	942825.3	1333683	24_SIRT1	1	1	2	6.35	1	1	5	-.6282339	-.6056064	-.2359998	-.8496452	-.7716892	-1.395747	1.655889	-1.067571	-.7054673	-1.31559	-.8557124	-1.596444	-.4770404	-1.095418	-1.036433	-1.382994	.0752699	.0631585	.0180343	-.2181168	-.2366225	-.2926572	-.3115327	-.4875067	.0541263	-.3115327	.8364928	.0541263	-.3020815	-.4274319
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SIRT1_201029_B09	201029	1	ND837	insH2Bfabp	CD15	SIRT1	1	0	0	2	1	9	1	1	2	16.031984	1.1570064	.4915365	.340296	1.7926568	1	8	57															225	703130	15941	16023.616	14679.951	2.55e+08	-20.84834	5.16e+07	201	4363.565	1120669	1477477	24_SIRT1	1	1	2	6.95	1	1	5	.7222362	.5612504	.5179723	.6282339	.1407598	.6443017	.3062708	.4819097	.6341637	.6643075	.9805851	.3574176	.5927726	.7835004	.6956203	.4033827	.7388468													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SIRT1_201029_D03	201029	1	ND796	insH2Bfabp	CD15	SIRT1	1	0	0	2	1	9	1	1	2	11.736242	.6125328	.23784024	.170148	1.0911824	1	16	16															191	573884	15208	13891.702	12843.97	2.11e+08	15.33982	5.54e+07	12	4131.35	1007604	1330617	24_SIRT1	1	1	1	3.333333	1	1	5	.0093532	-.274654	-.2552792	1.055832	-.5179723	.5288648	-.577044	-.5659488	-.0407033	-.9459858	-.4217567	-.6242437	-.1425233	.4958504	.5340118	.0250689	.7609839													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SIRT1_201029_G02	201029	1	ND792	insH2Bfabp	CD15	SIRT1	1	0	0	2	1	9	.0692753	0	1	16.496389	1.1229768	.44396845	.340296	2.1044232	1	12	12	515076	7255	6256	9253	3217	71	4.726e+09	1	6941722	211648	131	295	231	152	147	664260	11482	13585.722	12637.377	1.56e+08	-46.67523	5533476	0	4386.676	1120579	1469297	24_SIRT1	1	1	1	3.066667	1	1	5	.8231059	.539485	.4341506	.2359998	.5179723		-.5549229	.4099833	.920823	.6643075	.7109355	.4099833	.349563	-.1425233	-.1763742	-.4399132	.1425233	.5493959	.7987068	.7030663	.823767	.6353812	0	.1996854	1.145992	.9297163	-.2366225	.7030663	1.181485	1.641376
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SIRT1_201029_A01	201029	2	ND844	insH2Bfabp	CD15	SIRT1	1	0	0	2	1	9	.9343176	1	2	18.381752	.8167104	.3964004	.2722368	2.1044232	1	15	64	365678	5804	5830	8031	2556	63	2.844e+09	1	4281614	154859	121	265	195	132	216	628782	15975	21509.85	19499.377	3.44e+08	-225.8525	1.40e+07	59	4024.325	1031186	1410873	24_SIRT1	1	1	2	8.633333	1	1	5	-.2552792	-.1218913	.1407598	-.274654	-.274654	-.441412	.7410772	-.0978166	.920823	.0978166	.4578519	.8721677	.1425233	.7609839	.717066	1.036433	.3318534	.0631585	-.1265702	-.5493959	.3305199	-.5079181	-.3882355	-.4274319	-.1084118	-.1447705	-.6026184	.2459055	.2181168	.5182031
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SIRT1_201029_E09	201029	1	ND840	insH2Bfabp	CD15	SIRT1	1	0	0	2	1	9	1	1	2	18.818412	1.6674504	.61838462	.4083552	2.4161896	1	11	60	548437	6771	6003	7155	2451	81	3.696e+09	1	7783380	263748	170	334	233	130	172	727518	13115	14729.354	14543.643	1.93e+08	-1154.144	-7061234	52	4509.17	1174711	1588687	24_SIRT1	1	1	2	8.133333	1	1	5	1.366947	.9046108	1.123573	1.659501	.1786546	.0778033	.577044	1.48947	1.25966	1.241867	1.415702	.9982012	.7609839	.1594259	.1425233	-.1256613	-.0417893	1.111886	1.047294	.1996854	.5918413	.0180343	-.7741385	-.5811326	1.488228	1.755717	1.199803	1.298124	1.298124	.3882355
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SIRT1_201029_E04	201029	1	ND807	insH2Bfabp	CD15	SIRT1	1	0	0	2	1	9	.9087237	1	2	3.4930615	.340296	.22198422	.170148	.4676496	1	27	27	182767	5711	4843	12532	4626	32	2.227e+09	1	1969709	80635	104	231	118	89	149	439459	12171	18176.374	17048.67	2.21e+08	-665.2996	-4.44e+07	335	3921.033	881799.6	1147271	24_SIRT1	1	1	1	3.983333	1	1	5	-.7716892	-1.15946	-1.277311	-1.659501	-1.196906	-.822394	-.3062708	-1.355292	-1.025357	-.9459858	-.5509042	-2.336206	-1.262784	-.1004337	-.0083555	.1425233	-.5533847	-1.607642	-1.607642	-.6353812	-.6801605	-.823767	.8755128	1.298124	-1.488228	-1.43573	-1.277463	-.8111733	-1.607642	-1.607642
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SIRT1_201029_B07	201029	1	ND825	insH2Bfabp	CD15	SIRT1	1	0	0	2	1	9	1	1	2	13.129456	.680592	.44396845	.2382072	1.0911824	1	45	45	217402	5435	4618	9912	3530	40	2.162e+09	2	3025892	102802	119	270	158	76	184	480066	14419	14756.87	13609.128	2.13e+08	-23.06389	3.69e+07	212				24_SIRT1	1	1	1	5.291667	1	1	5								-.4277527	-.0407033	-.2803347	.7109355	-.2634448	-1.036433	.3406948	.4215776	.0417893	.5533847	-1.257333	-1.386915	-.8493556	-.9867994	-.9022831	.2181168	.5493959	-.7741385	-1.079027	-.6801605	.3115327	-.6026184	-1.755717
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SIRT1_201029_A01	201029	1	ND804	insH2Bfabp	CD15	SIRT1	1	0	0	2	1	9	0	0	1	17.309097	1.4973024	.65009666	.0680592	2.1823648	1	24	24	476063	6348	5106	7174	2300	75	3.420e+09	1	6285653	225856	154	292	229	153	108	645170	7485	13207.534	13422.068	9.89e+07	-1351.502	-7.21e+07	76	4382.591	1083913	1470120	24_SIRT1	1	1	1	2.15	1	1	5	.7971342	.3137231	.4547992	1.277311	.6056064	-1.255486	.6221632	1.207414	1.039222	-1.690622	1.486092	.5375191	.2447285	-.853588	-1.065463	-1.191816	-.9027348	.7863633	.5918413	-.1447705	-.4672965	-.2181168	-.7500287	-.7741385	.7987068	1.016582	.6688406	.5918413	1.047294	1.755717
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SIRT1_201029_B02	201029	1	ND787	insH2Bfabp	CD15	SIRT1	1	0	0	2	1	9	.0659851	0	1	21.140434	1.361184	.7928008	.4083552	2.4941312	1	7	7	651042	9574	7850	13816	4094	68	9.458e+09	1	6933119	253558	163	273	232	157	321	905938	22155	16917.846	15939.763	3.75e+08	-614.3238	1.38e+08	0	4558.938	1246309	1633054	24_SIRT1	1	2	1	2.7	2	1	5	1.659501	1.416202	1.589532	.9624554	1.277311	.9368471		.8254945	1.355292	1.241867	1.940758	1.540754	1.790751	2.128045	1.790751	1.262784	1.583387	.3305199	1.607642	1.956896	1.545182	2.297632	1.341198	.9297163	1.111886	1.488228	1.001579	.3592281	1.2377	1.846993
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SIRT1_201029_B03	201029	2	ND860	insH2Bfabp	CD15	SIRT1	1	0	0	2	1	9	.9536052	1	2	11.032868	.4764144	.3964004	.2041776	.779416	1	31	80	141434	4562	4326	6500	2417	31	8.941e+08	2	2001279	72856	110	223	112	93	114	511054	9664	19324.479	16049.094	1.87e+08	1663.2	-5.28e+07	292	3724.635	891579.3	1124542	24_SIRT1	1	2	2	10.11667	2	1	5	-1.589532	-1.123573	-1.469154	-1.738689	-.9046108	-.7178201	-.3260839	-.9717622	-.4727891	-.6341637	.4578519	-.8369914	-.853588	-.7721932	-.5148374	-.2619846	-.6331026	-1.715078	-1.846993	-1.607642	-1.145992	-1.755717	-1.181485	-.6353812	-1.43573	-1.677088	-1.145992	-1.016582	-1.755717	-1.43573
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SIRT1_201029_F06	201029	1	ND820	insH2Bfabp	CD15	SIRT1	1	0	0	2	1	9	1	1	2	9.6464217	.4083552	.19027219	.2382072	.3117664	1	40	40	231204	6084	5966	18912	6304	38	4.720e+09	1	2007393	91322	100	248	127	98	132	418298	10062	14051.883	12939.967	1.41e+08	62.15816	-1.70e+07	43	3833.999	879990.3	1160400	24_SIRT1	1	2	1	4.816667	2	1	5	-1.089078	-1.236109	-1.15946	-.9331427	-.6282339	-.5741128	.6452009	-1.067571	-1.296494	-.2803347	-.8557124	-1.142499	-1.427856	-.4864239	-.4033827	-.6536562	-.1933732	-1.386915	-1.257333	-.4077554	.5493959	.6134658	2.297632	2.687716	-1.386915	-1.257333	-1.43573	-.2832589	-1.488228	-1.199803
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SIRT1_201029_C06	201029	1	ND818	insH2Bfabp	CD15	SIRT1	1	0	0	2	1	9	.9741604	1	2	10.923534	.6465624	.14270414	.2041776	.2338248	1	38	38	245699	5850	5497	8641	2622	42	2.137e+09	1	2664480	105601	111	280	132	109	139	490200	10378	18337.572	15816.901	1.90e+08	950.4886	-4.32e+07	78	3970.923	930608.2	1202570	24_SIRT1	1	2	1	4.65	2	1	5	-.5179723	-.7222362	-.9046108	-.3732596	-.8767968	-.4200915	-.8994349	-.4819097	-1.567991	-.6341637	-1.292805	-.8721677	-.9281431	-.279319	-.3142472	-.1425233	-.5148374	-1.145992	-1.145992	-.4672965	-.1265702	-.9297163	-.1813217	-.3496269	-1.047294	-1.047294	-1.063027	.5079181	-1.3637	-.6688406
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SIRT1_201029_G03	201029	2	ND864	insH2Bfabp	CD15	SIRT1	1	0	0	2	1	9	.071214	0	1	10.229084	.3062664	.26955227	.1020888	.2338248	1	35	84	411934	5643	4041	9889	3955	73	3.985e+09	1	5936761	168670	181	366	173	108	118	522092	8773	14211.012	12896.534	1.25e+08	272.5764	-3.26e+07	435	3788.845	920918.3	1249943	24_SIRT1	1	2	2	10.4	2	1	5	-1.320803	-.8231059	-.6056064	-1.366947	-1.366947	-.6443017	.094374	-1.419188	-1.567991	-1.31559	-.2737019	-.9982012	-.6536562	-.717066	-.8297738	-.853588	-.349563	.6576059	.1630188	-.6801605	-1.43573	.2738854	.1996854	.7987068	.7500287	.0721959	1.516091	1.755717	-.2552097	-.7030663
