filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	plin1_nwt	plin1_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PLIN1_201022_A03	201022	1	ND408	insH2Bfabp	CD15	PLIN1	1	0	0	2	1	9	.9630387	1	2	20.834451	1.531332	.68180869	.5785032	2.1823648	1	13	13	402025	7310	7013	6051	1871	55	2.528e+09	1	2365	850	15	19	15	14	351	930896	26805	32530.253	27936.813	8.72e+08	1361.449	4.12e+08	20	4332.33	1149380	1575274	22_PLIN1	1	1	1	3.683333	1	1	5	1.644854	1.763728	2.128045	2.128045	1.250516	-.7668313	.2677537	2.546865	1.924054	2.546865	1.924054	2.546865	2.527302	2.527302	2.527302	2.527302	2.527302	.1515802	.6095368	.5735608	.9357584	-.8034983	-1.26794	-1.338533	-2.51073	-2.51073	-2.51073	-2.51073	-2.51073	-2.51073
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PLIN1_201022_D07	201022	1	ND433	insH2Bfabp	CD15	PLIN1	1	0	0	2	1	9	0	0	1	12.036124	1.0889472	.41225642	.2722368	.7014744	1	38	38	305271	5986	5257	9393	2747	51	3.154e+09	1	4117804	133449	115	334	194	96	171	659000	13792	24612.495	20723.03	3.39e+08	1167.2	5.59e+07	45	4242.746	981046.8	1361586	22_PLIN1	1	1	1	6.316667	1	1	5	1.250516	.3853205	.5404469	.9899016	.3853205	.0998612	-.7835004	1.359737	-.5432517	-.0681677	.2337006	.435715	.9223964	.6124654	.8375226	1.014499	.4786552	-.0755727	-.2130021	-.3067468	-.2752391	-.3707237	-.5037205	-.6095368	.2440025	-.2752391	-.8034983	2.095297	.4866505	-1.26794
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PLIN1_201022_E05	201022	1	ND420	insH2Bfabp	CD15	PLIN1	1	0	0	2	1	9	0	0	1	4.1067681	.85074	.3012643	.2382072	.6235328	1	25	25															151	386986	11997	20107.171	17991.723	2.41e+08	-413.8239	2.46e+07	65	3647.199	786096.5	1085931	22_PLIN1	1	2	1	5.05	2	1	5	-1.136959	-1.644854	-1.036433	-1.313873	.1537869	-.8456872	.0417893	.8185495	-.7267301	-.4964666	-.7626835	-2.019086	-1.528305	.2622828	.2622828	.3837693	.2325743													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PLIN1_201022_B04	201022	1	ND415	insH2Bfabp	CD15	PLIN1	1	0	0	2	1	9	1	1	2	14.20855	.85074	.42811243	.340296	1.169124	1	20	20	444777	5560	4129	14623	4406	80	6.462e+09	1	7286680	189437	195	348	213	121	130	542718	9381	24948.702	20564.697	2.34e+08	1672.927	-4.56e+07	14	3897.409	959319.1	1326670	22_PLIN1	1	2	1	4.5	2	1	5	-.2104284	.0976349	.2677537	-.2104284	.0417893	-.9750298	.1820346	.8185495	.5432517	.6406669	.4658759	1.074478	-.0288158	-.1591341	-.1737411	.3224307	-.5112223	1.458952	1.033853	-.762464	-1.086838	1.203157	.6463197	.4362566	1.726056	.8899477	1.797293	2.51073	1.143064	.1058988
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PLIN1_201022_E08	201022	1	ND439	insH2Bfabp	CD15	PLIN1	1	0	0	2	1	9	1	1	2	11.275775	.5444736	.50739251	.2722368	.779416	1	44	44	315894	8100	7124	15572	4054	39	4.930e+09	1	1909123	110170	99	182	166	128										3494.144	892057.8	964852	22_PLIN1	1	2	1	6.733333	2	1	5	-1.763728	-.2677537	-2.128045	.0139262	-.0696849	.6567159	-2.539185	-.205788	-.3911963	-.0681677	1.050522	.3474399						-1.086838	-.1515802	1.203157	1.143064	.5383123	.9357584	.1515802	-1.504199	-.9836224	-1.338533	-1.879026	-.3707237	.4032736
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PLIN1_201022_E09	201022	1	ND445	insH2Bfabp	CD15	PLIN1	1	0	0	2	1	9	0	0	1	15.83787	.680592	.71352072	.2722368	1.4808904	1	1	50	509966	6455	6379	14251	4576	79	6.868e+09	1	6708446	235350	171	278	225	146	202	626920	14532	24203.885	20740.365	3.52e+08	740.0299	6.78e+07	0	4057.744	1053856	1429984	22_PLIN1	1	2	2	7.183333	2	1	5	.3554904	1.085325	1.250516	1.191816	.6061059	-.4887764	-.0976349	.3619474	1.233495	-.0681677	2.136868	1.556601	.6835603	1.230818	1.014499	1.063939	.6476036	1.338533	1.26794	.1515802	.5383123	1.26794	.5037205	.5735608	1.416509	1.605273	1.416509	.762464	1.504199	1.086838
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PLIN1_201022_H05	201022	1	ND423	insH2Bfabp	CD15	PLIN1	1	0	0	2	1	9	.8933159	1	2	8.4516207	.6465624	.34883235	.2041776	.4676496	1	28	28	215899	4406	4096	11102	4389	49	2.378e+09	1	3023129	115705	139	225	151	114	183	385810	12407	16945.328	16071.977	2.10e+08	-1520.271	4.06e+07	62	3690.961	836235.9	1035837	22_PLIN1	1	2	1	5.316667	2	1	5	-.9027348	-.7835004	-1.459439	-.5729675	-1.382994		-2.128045	.2337006	-1.124338	-.8572543	-.2477242	-.799651	-1.628361	.9223964	.414974	.0288158	.352934	-.3545969	-1.203157	-1.416509	-1.143064	-.8899477	-.1515802	.3707237	-.5037205	-.8899477	.2752391	-.3067468	-1.059974	-.2909568
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PLIN1_201022_B09	201022	1	ND443	insH2Bfabp	CD15	PLIN1	1	0	0	2	1	9	1	1	2	6.9309223	.4423848	.33297634	.2382072	.3117664	1	48	48																								3659.804	851069.9	965584.7	22_PLIN1	1	2	1	7.05	2	1	5	-1.036433	-.6399237	-1.914506	.6744897	-2.286548	.1285329	-1.914506	-.7810338	-1.51239	-.4964666	-.4207837	-1.326172																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PLIN1_201022_E03	201022	1	ND410	insH2Bfabp	CD15	PLIN1	1	0	0	2	1	9	1	1	2	6.1705731	.6125328	.42811243	.2722368	.389708	1	15	15	281962	5754	5727	13715	4430	49	3.809e+09	1	2252059	117982	108	192	168	114	163	563860	12832	24554.935	19304.02	3.15e+08	2628.917	6.63e+07	53	3786.821	818306.6	1150576	22_PLIN1	1	2	1	3.866667	2	1	5	-.6061059	-1.191816	-.5729675	-.7461852	-.9027348	-.8056329	-.1537869	.0681677	-1.326172	-.0681677	.4658759	-1.556601	.1155036	.4786552	.5443409	.8375226	.5780677	-.3545969	-.5037205	-.5383123	.2130021	-.1210967	.4032736	.4697212	-1.086838	-.8459325	-1.033853	-1.552754	-.2909568	-.2909568
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PLIN1_201022_E06	201022	1	ND428	insH2Bfabp	CD15	PLIN1	1	0	0	2	1	9	.6912325	1	2	5.9533305	.4764144	.33297634	.2382072	.4676496	1	33	33	361707	7696	8159	11450	3386	47	4.092e+09	1	3201687	134449	112	237	216	113	44	500346	3326	24405.599	25048.767	8.12e+07	-3671.09	-3.08e+08	78	3626.499	873605.1	1140213	22_PLIN1	1	2	1	5.716667	2	1	5	-1.313873	-.4154975	-.6744897	-1.250516	.2677537	-1.534121	-.5404469	-.5912576	-1.124338	-.4964666	-.4207837	-1.655485	-.4465882	-1.528305	-1.441564	-1.230818	-2.527302	-.5209385	.2752391	.8459325	1.726056	.0907253	.0302049	-.2440025	-.4032736	-.2130021	-.86773	.0151007	1.234901	-.3545969
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PLIN1_201022_B02	201022	1	ND402	insH2Bfabp	CD15	PLIN1	1	0	0	2	1	9	.698307	1	2	13.33958	.8847696	.42811243	.340296	.9352992	1	7	7	408849	6490	7304	6941	2201	63	2.816e+09	1	5049158	156769	139	255	177	131	319	837009	24289	33988.199	28632.651	8.26e+08	2074.389	3.48e+08	0	4151.897	1109334	1420638	22_PLIN1	1	2	1	3.016667	2	1	5	.7098812	1.545513	1.085325	1.763728	1.763728	-1.071175	-.9899016	.9178534	-.0136234	.6406669	.4658759	.7626835	2.114381	2.114381	1.899709	2.114381	2.114381	.8245299	.762464	.1822052	1.338533	-.6095368	-1.033853	-.8899477	.8459325	.5037205	.2752391	.3067468	-.0151007	.4697212
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PLIN1_201022_B01	201022	1	ND397	insH2Bfabp	CD15	PLIN1	1	0	0	2	1	9	1	1	2	13.774065	1.191036	.55496056	.510444	1.4029488	1	2	2	288870	7046	7105	12739	4039	41	4.002e+09	1	3455843	148409	133	218	194	120	265	710928	21075	25793.34	22210.631	5.44e+08	755.3302	2.24e+08	42	4035.303	1045616	1340173	22_PLIN1	1	2	1	2.466667	2	1	5	.2967378	1.036433	.3259735	1.914506	1.313873	.3639316	-1.313873	1.773856	1.074478	1.924054	1.263188	.8770955	1.294762	1.748025	1.748025	1.628361	1.748025	-.9357584	-.4362566	.5037205	1.086838	.0604375	.2440025	.0907253	-.1822052	.1822052	.1210967	-.6095368	.4866505	.045316
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PLIN1_201022_E04	201022	1	ND418	insH2Bfabp	CD15	PLIN1	1	0	0	2	1	9	1	1	2	5.1929812	.6125328	.3012643	.2041776	.1558832	1	23	23	409633	8905	7056	9942	2734	46	3.981e+09	1	4084939	153798	132	264	147	133										3556.622	829491.9	1050073	22_PLIN1	1	2	1	4.683333	2	1	5	-1.545513	-.8616341	-1.250516	1.382994	1.382994	2.531313	-.0139262	.0681677	-2.019086	-.8572543	-.7626835	-1.773856						-.6095368	.8034983	1.879026	.9836224	.0302049	-.3707237	-.6839988	.2130021	.4032736	.045316	.5037205	-1.172581	.5383123
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PLIN1_201022_B08	201022	1	ND438	insH2Bfabp	CD15	PLIN1	1	0	0	2	1	9	1	1	2	4.1067681	.5444736	.38054438	.170148	.3117664	1	43	43	281952	5639	4941	13655	4051	50	3.700e+09	1	4170657	149609	139	301	205	88	165	653450	13206	30510.762	25465.096	4.03e+08	1988.327	3242520	10				22_PLIN1	1	2	1	6.633333	2	1	5								-.205788	-1.51239	-1.150349	-.0272493	-2.019086	.8791677	.5112223	.6124654	1.364489	-.1155036	-.1975802	-.5383123	-.6463197	-.5735608	-.2130021	.3707237	.1210967	.3707237	.3067468	.2752391	1.203157	.86773	-1.504199
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PLIN1_201022_F08	201022	1	ND440	insH2Bfabp	CD15	PLIN1	1	0	0	2	1	9	1	1	2	14.9689	.8847696	.4915365	.3062664	.8573576	1	45	45	262795	6738	7632	8267	2686	39	2.124e+09	1	3206282	121993	138	224	181	98	204	526840	15377	25477.978	21890.088	3.92e+08	783.1606	7.96e+07	385	3879.919	901613.2	1221621	22_PLIN1	1	3	1	6.816667	3	1	5	-.2389929	-.1820346	-.2104284	-.0139262	-.8616341	-.0427396	-.0696849	.9178534	-.1918929	.2759211	.9388143	1.326172	-.1737411	1.294762	1.230818	1.230818	.9223964	-1.086838	-.7226751	.338562	1.416509	-.9836224	-.6839988	-.762464	-.3707237	-.7226751	.1822052	-.3545969	.1058988	-1.114511
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PLIN1_201022_F03	201022	1	ND411	insH2Bfabp	CD15	PLIN1	1	0	0	2	1	9	0	0	1	9.8636978	.3062664	.42811243	.3062664	.8573576	1	16	16	276879	4774	3245	11233	3900	58	2.958e+09	1	2565542	108745	137	224	124	117										3675.991	806926.9	1028196	22_PLIN1	1	3	1	3.983333	3	1	5	-.9899016	-1.313873	-1.545513	-.4770404	-.7461852	.93019	.6061059	-1.431895	-.1918929	.2759211	.4658759	-.2617966						.3707237	-.6463197	-1.203157	-1.726056	-.4697212	-.0907253	.0604375	-.9357584	-1.033853	.1515802	-.3545969	-1.726056	-.1058988
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PLIN1_201022_F04	201022	1	ND419	insH2Bfabp	CD15	PLIN1	1	0	0	2	1	9	1	1	2	8.560242	.7486512	.26955227	.2041776	.4676496	1	24	24	247570	4059	3569	10879	3852	61	2.739e+09	1	4367888	149512	156	249	189	112	47	525188	3975	21503.319	17295.533	8.55e+07	1727.707	-1.14e+08	40	3858.348	826082.4	1103637	22_PLIN1	1	3	1	4.733333	3	1	5	-.3853205	-.9454201	-.9454201	-1.644854	-1.545513	-.6924793	-.4154975	.6075616	-1.124338	-.8572543	-1.204851	-.6916925	-.2030698	-1.441564	-1.230818	-1.063939	-1.063939	.6095368	-.8899477	-1.504199	-1.504199	-.7226751	-.2752391	0	.5037205	.2752391	1.143064	.2284748	.4032736	-.4032736
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PLIN1_201022_G03	201022	1	ND412	insH2Bfabp	CD15	PLIN1	1	0	0	2	1	9	1	1	2	9.6464552	.340296	.41225642	.2722368	1.0132408	1	17	17	240298	6495	6000	7143	2091	37	1.694e+09	3	1743414	78595	112	212	123	84	120	417740	8954	23067.608	20655.545	2.07e+08	-305.4338	-7.54e+07	31	3814.529	818934.6	1141619	22_PLIN1	1	3	1	4.083333	3	1	5	-.5404469	-1.136959	-.6399237	-1.914506	-.6399237	.0142427	-1.250516	-1.233495	.1504181	-.0681677	.2337006	-.2901008	-1.171546	-.2325743	-.2622828	-.0288158	-.7582926	-1.338533	-.9357584	.2130021	.3707237	-1.143064	-.9357584	-1.086838	-1.879026	-1.605273	-.86773	-.8034983	-1.879026	-1.662635
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PLIN1_201022_F05	201022	1	ND421	insH2Bfabp	CD15	PLIN1	1	0	0	2	1	9	.905618	1	2	3.3464189	.8847696	.3012643	.2382072	.1558832	1	26	26	338632	5644	4666	10976	4083	60	3.724e+09	1	4384987	153468	145	259	168	104	141	438074	10300	18438.854	16432.115	1.90e+08	-412.3311	1.15e+07	29	3837.204	839346.3	1101468	22_PLIN1	1	3	1	5.2	3	1	5	-.5084881	-.7098812	-.9899016	-.9027348	-.6061059	-.3945408	-1.459439	.9178534	-2.019086	-.4964666	-.7626835	-2.546865	-.9223964	0	-.1155036	-.1737411	-.0288158	.5037205	-.0302049	-.6095368	-.762464	-.1822052	-.2130021	.1822052	.6095368	.3707237	.5383123	.3707237	-.2909568	-.9357584
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PLIN1_201022_H09	201022	1	ND447	insH2Bfabp	CD15	PLIN1	1	0	0	2	1	9	1	1	2	8.9947273	.5444736	.31712032	.170148	.4676496	1	3	52	27502	1375	1122	791	211	20	20845438	2	976190	51908	92	199	131	44	137	337732	8429	21630.179	18114.254	1.82e+08	977.9959	-3.73e+07	52	3481.777	798792.1	974527	22_PLIN1	1	3	2	7.35	3	1	5	-1.914506	-1.545513	-1.763728	-.1537869	-.0417893	2.118995	-.9027348	-.205788	-1.124338	-1.150349	-.5912576	-.5912576	-1.748025	-.0865434	-.352934	-.2325743	-.414974	-2.51073	-2.51073	-2.51073	-2.51073	-2.51073	-2.51073	-2.51073	-2.095297	-2.095297	-1.726056	-1.26794	-1.605273	-2.095297
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PLIN1_201022_H06	201022	1	ND430	insH2Bfabp	CD15	PLIN1	1	0	0	2	1	9	0	0	1	15.294764	.7486512	.42811243	.3062664	1.0911824	1	35	35	372990	5920	4598	4350	1487	63	1.600e+09	1	4167256	143459	130	223	196	119	80	455789	6462	20176.064	16241.329	1.30e+08	1529.146	-4.34e+07	0	3931.116	986953.4	1298811	22_PLIN1	1	3	1	5.883333	3	1	5	-.1256613	.4154975	.0139262	-.4460577	-.4770404	.4887764	1.545513	.6075616	.3619474	.2759211	.4658759	1.394908	-.6835603	-.7204233	-.6124654	-.5780677	-.4786552	.8245299	.4362566	-.338562	-.8459325	-1.26794	-1.605273	-1.605273	.338562	.0907253	-.1058988	-.4362566	.6095368	-.0151007
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PLIN1_201022_F06	201022	1	ND429	insH2Bfabp	CD15	PLIN1	1	0	0	2	1	9	0	0	1	16.815462	1.0889472	.45982446	.3743256	1.2470656	1	34	34	277075	6157	5797	9117	3197	45	2.464e+09	1	2952152	127637	128	220	169	93	101	514686	7264	16523.551	13298.918	1.20e+08	1026.956	1.83e+07	23	3961.649	987327.3	1355904	22_PLIN1	1	3	1	5.783333	3	1	5	.0139262	.4460577	.4460577	-.2967378	-.5404469	.3336597	1.644854	1.359737	.6744897	1.050522	.7267301	1.655485	-.352934	-.5277092	-.5443409	-.7582926	.0865434	-.7226751	-.6095368	-.0604375	.3067468	-.8459325	-.5735608	-.3707237	-.6463197	-.4362566	-.1975802	-.5735608	-.2284748	-1.376475
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PLIN1_201022_G09	201022	1	ND446	insH2Bfabp	CD15	PLIN1	1	0	0	2	1	9	1	1	2	8.3429994	.7146216	.33297634	.2722368	.4676496	1	2	51	359946	6922	5704	20231	6244	52	7.003e+09	1	3269410	134667	120	234	181	115	145	570214	11805	19365.237	16217.023	2.29e+08	744.3435	5.54e+07	121	4011.637	953726.5	1303581	22_PLIN1	1	3	2	7.266667	3	1	5	.2389929	.0417893	.0417893	.1537869	.1820346	-.5875741	.1256613	.4658759	-1.124338	-.0681677	-.4207837	-.9178534	.144561	.0720919	.1737411	.2922246	.4465882	0	.2440025	.4697212	.1822052	1.338533	1.879026	1.605273	-.338562	-.1822052	-.5383123	-.0907253	.1058988	-.2130021
