filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	rpgra_nwt	rpgrb_nwt	rpgr_nwt	rpgr_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RPGR_200909_E04	200909	1	ND708	insH2Bfabp	CD15	RPGR	1	0	0	2	1	9	.5878676	1	.7939338	1	3	5.5417352	.340296	.45982446	.3743256	.779416	1	23	23	419692	6359	5112	10021	2929	66	4.179e+09	1	4741710	165465	147	221	194	126	90	736898	6320	2881.4858	2558.533	1.82e+07	-35.10093	-1.44e+07	0	3773.723	1061946	1226301	7_RPGR	1	1	1	6.433333	1	1	3	-.9982012	-.0569997	-1.207414	1.179761	2.000424		-1.48947	-.5024022	-.6744897	-.1451209	-.6151411	-1.574445	.5751093	-.8871465	-.8871465	-.7091025	-1.027154	.8207921	.6289042	-.1479871	0	.4578519	-.1479871	-.1479871	0	-.1479871	0	-1.049131	.2993069	.1479871
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RPGR_200909_D09	200909	1	ND743	insH2Bfabp	CD15	RPGR	1	0	0	2	1	9	1	.6430976	.8215488	1	3	14.343883	.3062664	.57081658	.4083552	3.117664	1	8	57															102	562548	7680	2142.8294	1853.8895	1.65e+07	-2.049863	-1939257	0	3858.866	1037048	1350924	7_RPGR	1	2	2	9.766666	2	1	3	-.6744897	-.4099833	-.2888094	-.4972006	-.5375191	1.465234	.6744897	-1.104836	1.426077	.3957253	.3441025	.1451209	-.8572543	-.741594	-.741594	-1.233495	-.2197229													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RPGR_200909_D04	200909	1	ND707	insH2Bfabp	CD15	RPGR	1	0	0	2	1	9	.0560371	.0686814	.0623592	0	1	18.144811	.4423848	.82451283	.6125328	1.94854	1	22	22	502680	9309	6642	12511	2856	54	6.331e+09	1	5120360	185282	153	263	160	143	251	1121166	19368	2327.7884	2134.2584	4.51e+07	-124.1437	2.10e+07	13	4219.394	1214278	1557539	7_RPGR	1	2	1	6.366667	2	1	3	.8254945	.8254945	1.207414	.9674216	.9982012	1.980752	2.000424	.6744897	.3441025	2.069902	1.426077	1.303783	2.019086	2.036834	2.036834	.3330051	2.019086	.2993069	1.351702	1.049131	1.049131	1.049131	1.049131	-.2993069	.8207921	.8207921	.6289042	0	-.8207921	.8207921
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RPGR_200909_E08	200909	1	ND736	insH2Bfabp	CD15	RPGR	1	0	0	2	1	9	.0695157	0	.0347578	0	1	14.143834	.3743256	.55496056	.4083552	3.4294304	1	1	50	284038	6763	5956	11218	3280	42	2.991e+09	2	2746571	102081	131	218	140	102	75	702846	5900	2833.5117	2500.1705	1.67e+07	-19.1579	-1.47e+07	0	4155.769	1057056	1397699	7_RPGR	1	2	2	9.25	2	1	3	.6744897	-.1717471	-.0569997	-.3661064	-.6744897	-.6374841	.2888094	0	2.069902	.3957253	.0965586	.0482231	0	-1.054472	-1.054472	-.8572543	-1.233495	-.3773919	-.1479871	.4578519	.2993069	-.1479871	.1479871	0	-1.049131	-1.351702	-.4578519	-1.351702	-1.351702	-1.049131
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RPGR_200909_A07	200909	1	ND726	insH2Bfabp	CD15	RPGR	1	0	0	2	1	9	1	1	1	1	3	14.94403	.3743256	.42811243	.4083552	2.5720728	1	40	40															195	825626	14349	2638.3962	2345.833	3.79e+07	-45.24697	9524359	0	4145.646	1295731	1564253	7_RPGR	1	2	1	7.933333	2	1	3	.5375191	1.207414	1.48947		-1.207414	-1.465234	-.9982012	0	.7363159	.3957253	-1.574445	.2434042	1.233495	.6102946	.3740954	-.1092005	.4507442													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RPGR_200909_D06	200909	1	ND723	insH2Bfabp	CD15	RPGR	1	0	0	2	1	9	.0746751	.0536741	.0641746	0	1	19.245079	.4083552	.72937674	.5444736	2.5720728	1	38	38	613049	6812	5331	6794	2124	90	4.219e+09	2	8510615	277459	169	419	215	145	248	805054	19324	2904.1716	2730.5798	5.61e+07	-200.8362	2.00e+07	1	4325.214	1234899	1634654	7_RPGR	1	2	1	7.533333	2	1	3	1.48947	.9982012	2.000424	1.465234	.8254945	.9674216	.9982012	.3957253	.7363159	1.303783	1.104836	1.574445	.7091025	1.534121	1.534121	1.027154	1.51239	1.88951	1.88951	.6289042	.1479871	.6289042	-.6289042	-.8207921	1.351702	1.88951	1.351702	1.049131	1.351702	1.049131
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RPGR_200909_H08	200909	1	ND739	insH2Bfabp	CD15	RPGR	1	0	0	2	1	9	.4977745	1	.7488872	1	3	12.343395	.2382072	.44396845	.3743256	.389708	1	4	53	31284	2086	1935	483	88	15	15564818	3	4598937	202226	127	512	261	42	0	357158	0		2245.326				0	3520.275	875399.5	1114373	7_RPGR	1	2	2	9.45	2	1	3	-2.000424	-1.48947	-2.000424	.1196481	-.8254945	.7916386	-.8254945	-2.069902	-1.104836	-.1451209	-.9420758	-.4484255	-2.019086	-2.036834	-2.036834			-1.88951	-1.88951	-1.351702	-1.351702	-1.88951	-1.351702	-1.351702	-.1479871	1.049131	-.6289042	1.88951	1.88951	-1.88951
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RPGR_200909_B06	200909	1	ND721	insH2Bfabp	CD15	RPGR	1	0	0	2	1	9	.0409465	.0450163	.0429814	0	1	17.244591	.510444	.44396845	.1361184	.3117664	1	36	36																							0				7_RPGR	1	2	1	7.4	2	1	3								1.19838	-1.426077	-1.303783	-.9420758	.9420758																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RPGR_200909_C09	200909	1	ND742	insH2Bfabp	CD15	RPGR	1	0	0	2	1	9	1	.5145631	.7572815	1	3	15.144079	.340296	.58667259	.170148	.4676496	1	7	56	274609	4993	4125	11746	4264	55	3.046e+09	1	3725309	128989	114	293	175	124	172	688906	13262	3023.615	2742.2352	4.01e+07	-94.15758	3757435	0	3888.483	1003163	1307350	7_RPGR	1	2	2	9.7	2	1	3	-.5375191	-.6744897	-.5375191	-.9674216	-.9982012	.1196481	.0569997	-.5024022	-.9420758	-1.104836	.6151411	.3441025	-.2197229	.1573107	.1573107	.1092005	0	.4578519	-.4578519	-.8207921	-1.049131	.1479871	.4578519	1.049131	-.2993069	-.4578519	-.8207921	.6289042	.1479871	-.1479871
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RPGR_200909_C07	200909	1	ND728	insH2Bfabp	CD15	RPGR	1	0	0	2	1	9	.4000441	.8688244	.6344342	1	3	10.342907	.3743256	.44396845	.340296	1.4808904	1	42	42	47510	1131	814	412	67	42	19137532	3	13106941	238876	190	490	199	151	72	679851	5392	2630.0746	1893.4019	1.42e+07	441.9223	-5013020	0	4039.419	1503526	1409049	7_RPGR	1	2	1	8.066667	2	1	3	-.1717471	2.000424	.1717471	-1.980752	-1.48947	-1.980752	-2.000424	0	-.2933812	-.4484255	-.9420758	-.8010945	-.4507442	-1.258162	-1.258162	-1.51239	-.3330051	-.3773919	-1.351702	-1.88951	-1.88951	-1.351702	-1.88951	-1.88951	1.88951	1.351702	1.88951	1.351702	.7215223	1.351702
InsH2Bfabp_CD15_10dpf_VAST02_plate01_RPGR_200910_C03	200910	1	ND767	insH2Bfabp	CD15	RPGR	1	0	0	2	1	10	.061706	.0653105	.0635082	0	1	11.957361	.4764144	.52324853	.3062664	2.1044232	1	31	80	400456	10823	9983	12368	3461	37	5.132e+09	1	4944683	171199	149	298	167	114	205	819790	16363	3520.2138	3018.103	5.76e+07	100.3179	1.57e+07	61				7_RPGR	1	3	2	2.208333	3	1	3								.8694237	.4484255	-.6151411	-.2933812	-.5578848	.8572543	1.258162	1.054472	1.51239	1.233495	-.9288995	.4578519	1.88951	1.88951	.8207921	.8207921	.1479871	.4578519	.2993069	.2993069	.8207921	-.2993069	-.3773919
InsH2Bfabp_CD15_10dpf_VAST02_plate01_RPGR_200910_C05	200910	1	ND780	insH2Bfabp	CD15	RPGR	1	0	0	2	1	10	.4648156	.844602	.6547088	1	3	13.073413	.2722368	.84036885	.3062664	2.2603064	1	42	91	500738	10015	6271	19044	5551	50	9.476e+09	1	5115269	176228	162	225	210	128	175	705060	14032	2868.5406	2598.9631	4.03e+07	-92.32414	6803865	0	4379.358	1148482	1525508	7_RPGR	1	3	2	3.333333	3	1	3	2.000424	.6744897	.9982012	1.980752	-.0569997	-.3661064	.5375191	-1.574445	.5578848	-.6151411	2.069902	-.2434042	.1092005	.264147	.264147	.2197229	.3330051	0	1.049131	1.351702	.8207921	1.88951	1.88951	1.88951	.6289042	.4578519	1.049131	-.8207921	1.049131	.2993069
InsH2Bfabp_CD15_10dpf_VAST02_plate01_RPGR_200910_F03	200910	1	ND769	insH2Bfabp	CD15	RPGR	1	0	0	2	1	10	.0467221	.058848	.0527851	0	1	10.232555	.340296	.57081658	.4083552	.3117664	1	33	82	245955	6473	7679	10447	3848	38	2.393e+09	1	3336282	119174	132	239	137	111	145	716382	11312	2996.0817	2593.1246	3.39e+07	41.61116	562124.6	0	4047.014	1124691	1487944	7_RPGR	1	3	2	2.483333	3	1	3	-.0569997	.2888094	.4099833	.6374841	-.4099833	-.9674216	1.207414	-.5024022	-1.426077	.3957253	.3441025	-.9420758	.4507442	-.1573107	-.0522452	-.5751093	-.1092005	-.6289042	-.8207921	0	1.351702	-.4578519	0	.8207921	-.6289042	-.6289042	-.2993069	-.2993069	-1.88951	-.6289042
InsH2Bfabp_CD15_10dpf_VAST02_plate01_RPGR_200910_A04	200910	1	ND771	insH2Bfabp	CD15	RPGR	1	0	0	2	1	10	.086536	.0627358	.0746359	0	1	8.3048298	.3062664	.52324853	.3743256	.8573576	1	35	84																							4				7_RPGR	1	3	2	2.683333	3	1	3								-1.104836	-.5578848	-.1451209	-.2933812	-1.104836																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_RPGR_200910_D02	200910	1	ND761	insH2Bfabp	CD15	RPGR	1	0	0	2	1	10	.4861253	.8298782	.6580017	1	3	8.1019113	.4083552	.42811243	.1020888	.2338248	1	25	74															111	708686	9420	4057.5419	3235.033	3.82e+07	400.07	-8074763	0	4073.918	1393512	1509941	7_RPGR	1	3	2	1.683333	3	1	3	.4099833	1.48947	.8254945	-.2410404	-2.000424	-.1196481	-1.207414	.3957253	-2.069902	-1.768825	-1.574445	-1.303783	.2197229	-.6102946	-.6102946	0	-.5751093													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_RPGR_200910_E03	200910	1	ND768	insH2Bfabp	CD15	RPGR	1	0	0	2	1	10	.1079185	.0774825	.0927005	0	1	15.406975	.340296	.66595267	.1020888	1.4808904	1	32	81															177	823853	15409	3365.7972	3011.6505	5.19e+07	-47.03206	1.01e+07	0	4287.582	1113745	1437341	7_RPGR	1	3	2	2.416667	3	1	3	1.207414	.1717471	.2888094	.2410404	.4099833	.6374841	-.5375191	-.5024022	-.2933812	-1.768825	.9420758	.4484255	1.027154	.3740954	.741594	.7091025	.5751093													
