filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	rfx6_nwt	rfx6_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RFX6_201217_A04	201217	1	NJ065	insH2Bfabp	CD15	RFX6	1	0	0	2	1	9	1	1	2	8.324099	11.842301	12.304268	4.3217592	18.238334	1	18	18	226683	4122	4519	14793	3906	55	3.174e+09	1	2471174	102394	136	208	153	101	27	426006	2105	7412.5629	6290.982	1.56e+07	202.6909	-8068705	76	3706.08	798164.1	1147032	43_RFX6	1	1	1	3.3	1	1	2	-.5059336	-1.400745	-.9252446	-1.400745	-1.057414	1.574445	-.0417893	.0760316	0	-1.4342	.3894143	-.4727891	-1.382994	-.1256613	-.2967378	-.1737411	.2967378	.5485223	-.8122178	-1.150349	-.5485223	-.3186394	1.731664	.5485223	-.8122178	-.8122178	.5485223	-.8122178	-.3186394	-.8122178
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RFX6_201217_A01	201217	1	NJ043	insH2Bfabp	CD15	RFX6	1	0	0	2	1	9	0	0	1	8.8911037	10.991561	11.416332	5.3766768	16.913327	1	1	1															5	611106	464	5505.653	5055.8936	2554623	-316.1055	6355726	0	4180.592	1022214	1465634	43_RFX6	1	1	1	1.716667	1	1	2	.6001788	.4159872	.6001788	.5059336	.4159872	-1.303783	1.382994	-.0379883	-.5595922	-.3894143	.2298841	-.1141853	.2104284	-1.501086	-1.644854	-1.364489	.7835004													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RFX6_201217_E02	201217	1	NJ054	insH2Bfabp	CD15	RFX6	1	0	0	2	1	9	1	1	2	6.4340832	10.991561	8.0865682	8.7115776	21.43394	1	10	10	200873	3720	3940	6235	1871	54	1.281e+09	1	2820096	124010	116	195	172	125	1	411876	128	15339.742	5832.4614	1963487	8645.2	-1.15e+07		3682.898	799151	1066656	43_RFX6	1	1	1	2.366667	1	1	2	-.6001788	-1.211232	-1.211232	.2450062	-.7000902	.9420758	-.7835004	-.0379883	.852495	.7478586	-.7478586	-1.247754	-1.644854	-2.128045	-2.128045	-2.114381	.0417893	.3186394	-1.150349	-1.731664	-1.731664	-1.150349	-1.150349	-.8122178	.1046335	-.1046335	-.8122178	-1.150349	.2104284	.5485223
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RFX6_201217_C01	201217	1	NJ045	insH2Bfabp	CD15	RFX6	1	0	0	2	1	9	0	0	1	12.198631	16.946741	14.191134	8.7796368	25.019254	1	3	3															11	581227	846	5947.6194	6290.2638	5031686	-1261.446	-1.86e+07	1	4357.903	1068989	1530652	43_RFX6	1	1	1	1.816667	1	1	2	1.211232	.7000902	.9252446	.807541	.6001788	-.8010945	1.644854	.852495	1.690622	.9674216	.6508373	.7478586	-.2104284	-1.036433	-1.036433	-1.014499	-.4770404													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RFX6_201217_G05	201217	1	NJ076	insH2Bfabp	CD15	RFX6	1	0	0	2	1	9	1	1	2	9.4581084	14.326462	18.139282	6.125328	20.342758	1	28	28	539450	6828	8498	11670	3946	79	6.364e+09	1	4929332	195599	132	276	218	127	35	587629	3501	7899.3533	6854.2362	2.77e+07	56.44088	-8545516	8	3727.06	1036884	1184102	43_RFX6	1	1	1	3.866667	1	1	2	-.3292913	.5059336	-.4159872	.0809473	1.211232	-.4484255	-1.644854	.3086658	.4727891	-.152506	1.4342	.191052	-.1256613	.4307273	.3853205	.4465882	.2104284	1.731664	1.150349	.3186394	1.731664	1.150349	.3186394	.8122178	1.150349	1.731664	-.1046335	1.731664	1.731664	.8122178
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RFX6_201217_C05	201217	1	NJ074	insH2Bfabp	CD15	RFX6	1	0	0	2	1	9	.7324756	1	2	7.6625934	18.920458	5.961862	4.3898184	15.198612	1	26	26															23	549178	1839	5377.286	6300.7185	9888829	-1843.529	-1.40e+07	8	3784.884	838703.3	1184536	43_RFX6	1	1	1	3.733333	1	1	2	-.1624294	-.7000902	-.3292913	-.4159872	-.6001788		.9027348	2.166107	-.6985257	-1.247754	-2.166107	-.6508373	-.4770404	-.3853205	-.4770404	-.6476036	-.2104284													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RFX6_201217_B06	201217	1	NJ078	insH2Bfabp	CD15	RFX6	1	0	0	2	1	9	1	1	2	8.8911037	17.218978	13.73131	4.9002624	17.147152	1	30	30															5	574355	496	4548.1431	5394.5449	2255879	-1654.225	-1475964	32	3659.97	816676.6	1149813	43_RFX6	1	2	1	3.983333	2	1	2	-.9252446	-.9252446	-.7000902	.4159872	-1.660698	.1451209	-.1256613	.9674216	-.4307273	-.6985257	.5595922	-.1141853	-.2967378	-1.501086	-1.382994	-1.628361	.6744897													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RFX6_201217_D05	201217	1	NJ075	insH2Bfabp	CD15	RFX6	1	0	0	2	1	9	.0179786	0	1	3.8825619	8.9838144	5.993574	6.4315944	15.198612	1	27	27															47	343184	3824	5277.5649	4118.0148	2.02e+07	509.8866	4.48e+07	42				43_RFX6	1	2	1	3.8	2	1	2								-.6508373	-.6985257	-.0760316	-1.690622	-2.166107	-2.128045	.6744897	.4770404	.352934	1.382994													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RFX6_201217_D01	201217	1	NJ046	insH2Bfabp	CD15	RFX6	1	0	0	2	1	9	1	1	2	12.860137	14.973024	17.045217	8.7115776	24.707487	1	4	4															35	841848	3892	7373.3124	7203.1527	2.87e+07	-861.7466	-1.53e+07	0	4488.379	1147077	1575363	43_RFX6	1	2	1	1.883333	2	1	2	1.660698	1.400745	1.400745	1.400745	.9252446	.3441025		.4727891	1.247754	.7478586	.9674216	1.168949	1.382994	.4307273	.5729675	.5443409	-.2967378													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RFX6_201217_F02	201217	1	NJ055	insH2Bfabp	CD15	RFX6	1	0	0	2	1	9	1	1	2	8.9856045	5.9211504	10.496683	6.80592	20.96629	1	11	11	257781	5055	4385	6499	1869	51	1.715e+09	1	5587	1522	21	24	22	18	13	701202	1296	10538.725	8615.5735	1.37e+07	716.2491	-6.17e+07	9	3902.371	956717.3	1357026	43_RFX6	1	2	1	2.416667	2	1	2	.1624294	.1624294	.4159872	-.3292913	-.0809473	-.1451209	.5729675	-1.690622	.7478586	.1141853	0	0	.5729675	-.5729675	-.6744897	-.4465882	-1.644854	0	-.1046335	-.3186394	-.8122178	-.8122178	-.8122178	-1.150349	-1.731664	-1.731664	-1.731664	-1.731664	-1.731664	-1.731664
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RFX6_201217_D06	201217	1	NJ080	insH2Bfabp	CD15	RFX6	1	0	0	2	1	9	.0145791	0	1	9.5526092	9.4942584	18.789379	5.2065288	13.873605	1	32	32															28	657828	2233	7911.8786	7184.7029	1.77e+07	-302.4448	-2.59e+07	26	3889.362	1060092	1313825	43_RFX6	1	2	1	4.083333	2	1	2	.0809473	.6001788	.2450062	1.211232	.3292913	-.6744897	-1.191816	-.4727891	-1.247754	-.4727891	1.690622	.3086658	.4770404	0	-.0417893	0	-.5729675													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RFX6_201217_B04	201217	1	NJ066	insH2Bfabp	CD15	RFX6	1	0	0	2	1	9	0	0	1	12.860137	10.515146	8.0390001	4.934292	19.95305	1	19	19															88	756416	8464	9180.3134	7791.0362	7.77e+07	284.5332	2.07e+07	9				43_RFX6	1	2	1	3.35	2	1	2								-.152506	.3086658	-.5595922	-.852495	1.168949	.9027348	1.191816	1.191816	1.364489	1.036433													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RFX6_201217_G03	201217	1	NJ063	insH2Bfabp	CD15	RFX6	1	0	0	2	1	9	1	1	2	8.5131005	6.7378608	8.3402644	4.9002624	15.12067	1	17	17	232270	4554	4105	10924	3465	51	2.522e+09	1	2664636	102039	136	219	135	105	9	460586	599	4967.8681	5919.5407	2975753	-1824.542	-1.24e+07	31	3832.474	877298.6	1192461	43_RFX6	1	2	1	2.866667	2	1	2	-.0809473	-.3292913	-.1624294	-.7000902	0	2.069902	-.6744897	-1.247754	-.852495	-.6985257	-.6508373	-.3487557	-1.036433	-1.191816	-1.191816	-1.171546	-.0417893	0	-.5485223	-.5485223	-1.150349	-.5485223	-.1046335	-.3186394	-.5485223	-1.150349	.5485223	0	-1.150349	-.3186394
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RFX6_201217_B05	201217	1	NJ073	insH2Bfabp	CD15	RFX6	1	0	0	2	1	9	1	1	2	7.5680926	17.627333	9.5928897	6.7718904	35.385486	1	25	25																								3593.706	800392.1	1003223	43_RFX6	1	2	1	3.716667	2	1	2	-1.400745	-1.057414	-1.660698	-1.660698	-2.141198		-2.128045	1.247754	2.166107	0	-.3894143	-.7478586																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RFX6_201217_D04	201217	1	NJ068	insH2Bfabp	CD15	RFX6	1	0	0	2	1	9	1	1	2	11.820628	8.4053112	7.2937674	8.7115776	17.458918	1	21	21	359336	5363	5049	11577	3723	67	4.278e+09	1	4507973	163392	136	275	157	151	42	627598	4672	12323.835	9238.1141	5.76e+07	1801.687	-3.17e+07	7	4305.947	1105969	1540925	43_RFX6	1	2	1	3.45	2	1	2	.807541	1.057414	1.057414	1.660698	.7000902	-.5578848	.6744897	-.852495	-.2298841	.7478586	-1.096804	.6508373	.2967378	.5729675	.7835004	.8791677	-.7835004	1.150349	.5485223	.1046335	-.1046335	.8122178	.1046335	.1046335	.8122178	.8122178	.5485223	1.150349	-.1046335	1.150349
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RFX6_201217_H04	201217	1	NJ071	insH2Bfabp	CD15	RFX6	1	0	0	2	1	9	.0101941	0	1	8.2295982	14.258402	10.417403	8.4733704	17.147152	1	23	23															28	600998	2192	8353.6026	7486.6979	1.83e+07	-200.1323	-3.20e+07	18	3674.274	851159.7	1182577	43_RFX6	1	2	1	3.616667	2	1	2	-.7000902	-.5059336	-.5059336	0	-.3292913	-.2434042	-.5729675	.2298841	-.4307273	.4727891	-.0760316	-.5595922	.0417893	0	-.1256613	.1737411	-.9027348													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RFX6_201217_D03	201217	1	NJ060	insH2Bfabp	CD15	RFX6	1	0	0	2	1	9	1	1	2	4.8275697	2.1438648	12.764093	9.3241104	20.420699	1	15	15																								3543.626	730558.8	964014.6	43_RFX6	1	2	1	2.733333	2	1	2	-1.660698	-2.141198	-2.141198	-.9252446	-.807541	.6744897	1.036433	-2.166107	.5595922	1.4342	.4727891	-1.690622																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RFX6_201217_H01	201217	1	NJ050	insH2Bfabp	CD15	RFX6	1	0	0	2	1	9	0	0	1	15.128156	17.729422	11.685884	10.004702	17.225094	1	7	7															22	767164	2560	5881.7508	6317.9575	1.51e+07	-1358.439	-9214912	14	4556.392	1187601	1630183	43_RFX6	1	2	1	2.116667	2	1	2	2.141198	1.660698	2.141198	1.057414	1.660698	1.303783	2.128045	1.4342	-.3086658	1.690622	.3086658	2.166107	1.036433	-.4770404	.1256613	-.2622828	.1256613													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RFX6_201217_F01	201217	1	NJ048	insH2Bfabp	CD15	RFX6	1	0	0	2	1	9	.9308267	1	2	9.1746061	16.776593	10.290554	7.996956	18.160393	1	6	6															25	528676	2080	7692.3909	6673.5609	1.60e+07	52.53903	-1.62e+07	37	3744.993	880543.5	1242900	43_RFX6	1	2	1	2.016667	2	1	2	-.2450062	-.2450062	0	-.807541	-.2450062		-.9027348	.7478586	-.0760316	.3894143	-.152506	.0760316	-.6744897	-.2967378	-.3853205	-.0865434	-.3853205													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RFX6_201217_B02	201217	1	NJ052	insH2Bfabp	CD15	RFX6	1	0	0	2	1	9	1	1	2	8.7021021	13.816018	6.3106944	10.549176	8.183868	1	9	9	339078	7886	7084	12480	3861	43	4.265e+09	1	2794581	125641	130	217	151	122	26	591842	2400	7382.9175	6631.0351	1.77e+07	-209.1397	-1.35e+07	0	3854.821	910405.9	1286175	43_RFX6	1	2	1	2.216667	2	1	2	0	-.0809473	.0809473	-.5059336	.0809473		-.2967378	.152506	-1.690622	2.166107	-1.4342	-.2298841	-.0417893	-.2104284	.0417893	.0865434	-.1256613	-.9674216	.3186394	.8122178	.8122178	.5485223	.5485223	.3186394	-.3186394	.1046335	-.3186394	-.3186394	-.8122178	.1046335
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RFX6_201217_H02	201217	1	NJ057	insH2Bfabp	CD15	RFX6	1	0	0	2	1	9	1	1	2	7.1900895	8.8817256	7.1193512	7.5886008	19.407458	1	13	13	185371	4311	4653	3247	1105	43	5.778e+08	2	3776875	126156	151	219	180	121	12	481904	977	6759.8434	5815.5572	6604367	84.30036	-6492455	8	3597.242	872438.7	1114702	43_RFX6	1	2	1	2.55	2	1	2	-1.211232	-.4159872	-1.057414	.3292913	-.5059336	.5578848	-1.036433	-.7478586	.152506	.2298841	-1.247754	-.852495	-.7835004	-.7835004	-.7835004	-.7582926	.3853205	-.9674216	-1.731664	-.8122178	-.3186394	-1.731664	-1.731664	-1.731664	.5485223	.3186394	1.731664	0	.5485223	-.1046335
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RFX6_201217_F06	201217	1	NJ082	insH2Bfabp	CD15	RFX6	1	0	0	2	1	9	1	1	2	6.9065871	9.017844	14.714383	2.5181904	24.941312	1	34	34															29	542780	2137	6687.3706	7084.5108	1.43e+07	-1414.347	-2.70e+07	50	3673.677	839211.8	1147406	43_RFX6	1	2	1	4.15	2	1	2	-.807541	-.6001788	-.807541	-1.211232	-1.211232	1.104836	.2967378	-.5595922	1.4342	-2.166107	.7478586	-.9674216	-.5729675	.1256613	-.2104284	-.352934	-.6744897													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_RFX6_201217_B01	201217	1	NJ044	insH2Bfabp	CD15	RFX6	1	0	0	2	1	9	0	0	1	8.5131005	6.3975648	17.378194	4.6280256	.0779416	1	2	2															61	715310	4393	7620.9725	6891.5729	3.35e+07	-263.9027	-3552737	14	3723.613	930114.8	1190577	43_RFX6	1	2	1	1.766667	2	1	2	-.4159872	0	-.2450062	.7000902	1.400745	-2.069902	-.3853205	-1.4342	-2.166107	-.9674216	1.247754	-.3487557	.6744897	.7835004	.6744897	.7582926	.5729675													
