filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	N001_nwt	cdkn1a_dich	qRNA	protein	ldl	tg	tc	gluc	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200709_D02	200709	1	NA366	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	0	0	1		.6125328	.389708	.2382072	.22198422	1	18	67																							59	3813.006	934615.8	1215235	1_CDKN1A	1	2	1	4.083333	2	1	7	-.4099833	-.5375191	-.773217	-1.290233	-1.062786	-.4668251	1.593219	-.5432517	-1.604084	-.5275293	-.9601961																			
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200715_A01	200715	1	NA379	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	0	0	1	17.2064	.7826808	.6235328	.340296	.45982446	1	31	80																							0	4206.303	1090612	1524685	1_CDKN1A	2	3	2	3.383333	3	2	7	1.382994	.4516583	1.13214	.6275435	.3690087	.5561256	0	.0408803	-.3765316	.5432517	.5591096	2.535274																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200715_C07	200715	1	NA427	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	0	0	1	10.434583	.7826808	1.169124	.340296	.52324853	1	30	128																							0	3950.541	1022094	1369512	1_CDKN1A	2	3	3	6.383333	3	2	7	.2104284	-.0569997	.0189907	.5819415	.8801318	-.2573935	-.0397983	.0408803	1.124338	.5432517	1.294038	.2854742																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200715_E10	200715	1	NA451	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	.5984226	1	2	6.4705928	.6465624	.7014744	.2382072	.31712032	1	5	152																								3522.005	759778.1	1075060	1_CDKN1A	2	3	4	8.766666	3	2	7	-1.382994	-2.000424	-1.616156	-2.428737	-1.690622	-.0195843	-2.411822	-.481115	0	-.5275293	-.5432517	-.9378634																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200715_G07	200715	1	NA431	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	0	0	1	12.829494	.9528288	1.4808904	.4083552	.41225642	1	34	132																							19	4029.176	1106358	1472841	1_CDKN1A	2	3	3	6.6	3	2	7	.4941332	.5819415	.6744897	1.207414	2.000424	.0195843	.2002695	.7626835	1.711675	1.204851	.1918929	.8950011																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200715_E06	200715	1	NA421	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	1	1	2	7.874506	.7146216	.8573576	.2722368	.3012643	1	24	122																							0	3519.774	807240.9	1096474	1_CDKN1A	2	3	3	5.85	3	2	7	-1.48947	-1.48947	-1.48947	-1.062786	-2.000424	-.2981024	-1.033036	-.2337006	.4507442	-.1092005	-.6406669	-.5635893																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200715_C08	200715	1	NA435	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	1	1	2	12.251412	.85074	.7014744	.2722368	.44396845	1	38	136	139235	4351	3871	18806	4579	32	2.480e+09	1	3586671	109318	121	292	179	77									2	3876.248	996209.7	1394679	1_CDKN1A	2	3	3	6.816667	3	2	7	-.0950912	-.2104284	.1717471	-.3286447	-.4099833	.9778975	-.2822162	.3619474	0	-.1092005	.3765316	.7012515						-.3186394	-.5485223	-.9132499	-.3928308	.4692529	1.024592	1.150349	.0348213	-.2461637	-.1046335	.3186394	-.2461637	-.3554904
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200715_G10	200715	1	NA453	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	0	0	1	8.452588	.6125328	.8573576	.2382072	.34883235	1	7	154																							16				1_CDKN1A	2	3	4	8.883333	3	2	7								-.5432517	.4507442	-.5275293	-.1642108	-.4987188																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200715_G02	200715	1	NA391	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	0	0	1	10.599749	1.0549176	1.169124	.3743256	.15856016	1	43	92																							66	3823.554	850083	1206353	1_CDKN1A	2	3	2	4.166667	3	2	7	-.2494273	-1.13214	-.8801318	-.8254945	-.9982012	1.601009	.2410404	1.099066	1.124338	.9820262	-1.655485	.3446772																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200715_A05	200715	1	NA409	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	0	0	1	9.5261687	.6465624	.9352992	.2722368	.36468837	1	12	110																							0	3419.521	788489.1	1128803	1_CDKN1A	2	3	3	5.2	3	2	7	-2.000424	-1.616156	-1.207414	-2.000424	-1.207414	1.473468	-.6870306	-.481115	.6744897	-.1092005	-.0681677	.0281681																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200715_E11	200715	1	NA459	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	.0306212	0	1	8.3091631	.510444	.6235328	.2382072	.71352072	1	13	160	164478	4445	3811	14817	2880	37	2.397e+09	1	3703185	110439	144	235	151	108									2	3684.622	914936.8	1338259	1_CDKN1A	2	3	4	9.333333	3	2	7	-.8801318	-.8254945	-.1333212	-.773217	-.3690087	.0980721	.5894558	-.799651	-.3765316	-.5275293	1.843765	-.5308747						-.1046335	-.2461637	-.8122178	-.4692529	.3186394	.4692529	.3186394	.1749599	-.1749599	1.024592	-.6314019	-.9674216	.5485223
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200715_A10	200715	1	NA447	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	1	1	2	14.068241	.7486512	.7014744	.1020888	.52324853	1	1	148	124713	4454	3606	15090	2315	28	1.943e+09	1	2038294	76084	81	261	214	69									39	3889.097	916611.6	1303477	1_CDKN1A	2	3	4	8.55	3	2	7	-.0189907	-.773217	-.3690087	-.6275435	-.8254945	-.217107	-1.465234	-.0955058	0	-2.294895	1.294038	1.307593						-.6744897	-.6314019	-.7188681	-.9132499	-.0348213	.6314019	-.0348213	-.9132499	-1.024592	-1.150349	-.0348213	.5894558	-.8122178
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200715_C11	200715	1	NA457	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	.0297165	0	1	16.186648	.1020888	1.3250072	.2382072	.6976647	1	11	158	245402	4812	3220	15002	3144	51	3.659e+09	1	5936735	162791	127	298	245	118									4	3919.72	1015575	1462344	1_CDKN1A	2	3	4	9.116667	3	2	7	.1333212	-.1333212	.6275435	.0569997	-.4516583	.4235761	.4972006	-1.843765	1.394908	-.5275293	1.655485	1.639431						.8616341	.4692529	-.5485223	-1.150349	1.297543	.5485223	.5485223	1.731664	.8122178	.1046335	.5485223	1.479941	.8122178
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200715_G03	200715	1	NA399	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	1	1	2	11.838496	.9187992	1.4029488	.4083552	.3964004	1	2	100																							18	4053.663	1068406	1433767	1_CDKN1A	2	3	3	4.583333	3	2	7	.5375191	.3286447	.3690087	.8801318	1.207414	1.043158	-.7916386	.5912576	1.556601	1.204851	.0818291	.5969185																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200715_A09	200715	1	NA440	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	1	1	2	13.655325	.85074	.6235328	.2382072	.38054438	1	43	141																							8	4071.618	1116945	1488333	1_CDKN1A	2	3	3	7.116667	3	2	7	.773217	.9375322	.773217	.9982012	1.616156	-.1771698	-.1196481	.3619474	-.3765316	-.5275293	0	1.244045																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200715_E07	200715	1	NA429	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	.7373316	1	2	9.7739181	.85074	.4676496	.3743256	.4915365	1	32	130	113321	3148	3041	19745	5050	36	2.074e+09	1	2601720	103100	125	317	115	78									0	4067.87	984381.4	1371097	1_CDKN1A	2	3	3	6.483333	3	2	7	.7229722	-.2888094	.0569997	-.2494273	-.3286447	-.5561256	-.7383242	.3619474	-1.004335	.9820262	.9388143	.0845939						-.2104284	-.7188681	-2.200411	-1.479941	.0348213	1.150349	2.200411	-.6314019	-.3928308	.0348213	.9132499	-1.150349	-.2461637
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200715_G05	200715	1	NA415	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	0	0	1	6.9660916	.9868584	.7014744	.340296	.45982446	1	18	116																							14	3788.516	878913.6	1268186	1_CDKN1A	2	3	3	5.516667	3	2	7	-.5819415	-.9982012	-.4941332	-.5819415	-.0189907	.9165567	.1196481	.8770955	0	.5432517	.5591096	-.7377372																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200715_A11	200715	1	NA455	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	.9655395	1	2	10.029533	.1361184	.779416	.1361184	.42811243	1	9	156	149250	7107	5302	15959	4595	21	2.428e+09	1	2524942	91696	123	235	174	65									5	4176.176	1114194	1503197	1_CDKN1A	2	3	4	9	3	2	7	1.207414	.8254945	.8254945	.6744897	-.2888094	.3393116	-.3661064	-1.470951	.2477242	-1.711675	.2759211	.1412905						-.9132499	-.3928308	1.150349	.6314019	.3928308	.9132499	1.297543	-.7188681	-.7188681	-.0348213	-.6314019	-.5485223	-1.085325
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200715_A07	200715	1	NA425	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	0	0	1	16.710901	1.020888	1.7147152	.170148	.42811243	1	28	126	100816	4201	4700	14653	3459	24	1.565e+09	1	4365092	136337	135	323	232	74									0	4134.932	1108482	1522113	1_CDKN1A	2	3	3	6.283333	3	2	7	.9982012	.7229722	1.062786	1.062786	.2494273	.8584844	-.409	.9601961	2.136868	-1.233495	.2759211	1.758563						-.8122178	-.9132499	-1.024592	.3186394	-.2461637	.3186394	.6314019	.8122178	.4692529	.3186394	1.024592	1.085325	-.5485223
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200715_C06	200715	1	NA419	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	0	0	1	9.2784193	.85074	1.0132408	.4083552	.45982446	1	22	120	150527	3584	3707	15224	2927	42	2.289e+09	1	2821408	102349	103	235	233	68									19	3663.684	872438.7	1222249	1_CDKN1A	2	3	3	5.733333	3	2	7	-.9982012	-1.062786	-.7229722	-1.48947	-1.48947	-.0587829	-.8473045	.3619474	.837745	1.204851	.5591096	-.1128968						.2104284	-.3186394	-1.731664	-.6314019	.1749599	.7188681	.3928308	-.5485223	-.4692529	-.5894558	-.6314019	1.297543	-.9132499
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200715_E09	200715	1	NA443	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	.5460688	1	2	10.764916	.4764144	.779416	.2722368	.47568048	1	46	144	225275	5495	5616	11383	2023	41	2.543e+09	1	3029866	118430	130	253	172	85									0	3846.785	930967.1	1223609	1_CDKN1A	2	3	3	8.083333	3	2	7	-.1333212	-.5819415	-.6744897	.1333212	-.0950912	.7502154	.0397983	-.9388143	.2477242	-.1092005	.7445865	.4051146						.1046335	.3928308	.1046335	.8122178	.6314019	.0348213	-.1046335	-.4692529	.1046335	.1749599	-.2104284	-.6314019	0
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200715_D02	200715	1	NA388	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	0	0	1	7.7093398	.680592	.6235328	.170148	0	1	40	89	168396	5432	4613	14788	2697	31	2.521e+09	1	1680859	78088	88	222	184	77									14	3640.605	897396.3	1183773	1_CDKN1A	2	4	2	4	4	2	7	-1.13214	-.9375322	-.9982012	-.5375191	.4941332	-.6024495	-.9057289	-.3765316	-.3765316	-1.233495	-2.136868	-.5969185						-.4307273	-.1046335	-.0348213	.2461637	.5485223	.3928308	.1046335	-1.024592	-.9132499	-1.024592	-1.150349	-.1749599	-.3554904
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200715_H05	200715	1	NA416	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	.6390217	1	2	10.104251	.1361184	.6235328	.340296	.33297634	1	19	117	216537	6015	4500	21111	4932	36	4.752e+09	1	3452921	114433	107	302	187	74									14	4336.398	1048099	1443547	1_CDKN1A	2	4	3	5.583333	4	2	7	1.48947	.2494273	.4516583	.0950912	-.0569997	2.417559	.5427505	-1.470951	-.3765316	.5432517	-.3474399	.227256						-.2104284	.1749599	.5485223	.0348213	2.200411	1.731664	1.479941	-.0348213	.0348213	-.3928308	.7188681	-.0348213	-.5485223
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200715_B09	200715	1	NA441	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	0	0	1	13.24241	.85074	.5455912	.340296	.28540829	1	44	142																							16	4117.255	1043000	1318714	1_CDKN1A	2	4	3	7.166667	4	2	7	.9375322	.1333212	-.2888094	-.0950912	.6744897	.6992833	-.5427505	.3619474	-.7091025	.5432517	-.7091025	1.130117																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200715_D11	200715	1	NA458	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	.5545274	1	2	5.9549721	.5785032	.6235328	.3062664	.17441618	1	12	159	197526	4703	4553	14425	4010	42	2.880e+09	2	3374294	111913	105	306	211	89									183	3831.492	962444.4	1355949	1_CDKN1A	2	4	4	9.166667	4	2	7	-.1717471	-.4099833	-.0569997	-.4516583	-.7229722	1.76167	.1598289	-.6075616	-.3765316	.1642108	-1.470951	-1.244045						.2104284	.1046335	-.6314019	.1749599	.8122178	.2461637	.9132499	-.1749599	-.0348213	-.4692529	.8122178	.4692529	.1749599
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200715_F07	200715	1	NA430	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	.7211607	1	2	10.930082	.9528288	.6235328	.2382072	.47568048	1	33	131																							1	3993.273	1049101	1389355	1_CDKN1A	2	4	3	6.55	4	2	7	.4099833	.2888094	.1333212	.5375191	1.48947	1.272699	.0796597	.7626835	-.3765316	-.5275293	.7445865	.4358834																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200715_H06	200715	1	NA424	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	.9490229	1	2	6.635759	.9187992	.8573576	.3062664	.31712032	1	27	125																								3255.173	705526.4	905052.5	1_CDKN1A	2	4	3	6.016667	4	2	7	-2.428737	-2.428737	-2.428737	2.428737	-1.690622	-.9778975	-1.980752	.5912576	.4507442	.1642108	-.5432517	-.8138509																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200715_H11	200715	1	NA462	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	0	0	1	7.0415218	.4083552	.7014744	.2382072	.65009666	1	16	163																							14	3655.672	925239.9	1181007	1_CDKN1A	2	4	4	9.483334	4	2	7	-1.062786	-.7229722	-1.062786	-1.382994	.4516583	-.650104	-1.357561	-1.204851	0	-.5275293	1.556601	-.7012515																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200715_H02	200715	1	NA392	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	.0925411	0	1	14.728906	.7486512	.7014744	.2382072	.41225642	1	44	93																							12	4200.812	1095771	1484176	1_CDKN1A	2	4	2	4.216667	4	2	7	1.290233	.5375191	.7229722	.1717471	.1717471	1.987428	1.980752	-.0955058	0	-.5275293	.1918929	1.453563																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200715_F08	200715	1	NA438	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	.5495427	1	2	16.876067	.510444	.9352992	.2722368	.41225642	1	41	139																							7	3973.186	1044719	1332606	1_CDKN1A	2	4	3	6.966667	4	2	7	.2888094	.1717471	-.1717471	.3286447	.7229722	.1375134	-.2410404	-.799651	.6744897	-.1092005	.1918929	1.909639																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200715_F02	200715	1	NA390	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	.8215159	1	2	8.5351711	.7146216	.7014744	.2382072	.34883235	1	42	91	172544	5566	4303	15784	3102	31	2.723e+09	1	3409710	111550	108	265	249	88									39	3987.322	1045631	1457783	1_CDKN1A	2	4	2	4.116667	4	2	7	.3690087	.2104284	.5375191	.0189907	-.2494273	1.113194	-1.263668	-.2337006	0	-.5275293	-.1642108	-.4358834						-.4307273	-.0348213	.2461637	-.3186394	.7188681	.8122178	.4692529	-.1046335	-.1046335	-.2822162	.0348213	1.731664	.1046335
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200715_F04	200715	1	NA406	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	0	0	1	7.3790072	.7486512	.9352992	.4083552	.28540829	1	9	107																							18	3671.018	926391.3	1159219	1_CDKN1A	2	4	3	5.033333	4	2	7	-.9375322	-.6744897	-1.13214	-.9982012	.5819415	-.7502154	-1.103428	-.0955058	.6744897	1.204851	-.7091025	-.6656764																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200715_B07	200715	1	NA426	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	0	0	1	12.499161	.85074	1.3250072	.340296	.47568048	1	29	127	87452	5466	4484	6567	1224	16	5.806e+08	1	643652	38403	65	158	110	62									0				1_CDKN1A	2	4	3	6.333333	4	2	7								.3619474	1.394908	.5432517	.7445865	.8138509						-1.479941	-1.479941	.0348213	-.0348213	-1.297543	-.1749599	-1.024592	-1.479941	-1.479941	-1.479941	-1.731664	-1.297543	-1.479941
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200715_F03	200715	1	NA398	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	.737581	1	2	9.113253	.1020888	.8573576	.340296	.33297634	1	1	99																							41	3891.735	1020749	1340023	1_CDKN1A	2	4	3	4.533333	4	2	7	.0189907	-.0950912	-.0950912	1.77585	.9375322	.6024495	.6870306	-1.843765	.4507442	.5432517	-.3474399	-.2562565																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200715_F06	200715	1	NA422	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	.6527638	1	2	9.9390843	.5444736	.6235328	.2722368	.4915365	1	25	123	147941	3699	2850	24013	4420	40	3.511e+09	1	3189665	97413	95	332	196	101									19	3736.169	947431	1328045	1_CDKN1A	2	4	3	5.9	4	2	7	-.6744897	-.4941332	-.2494273	-.9375322	-.5375191	.2573935	-.5894558	-.6744897	-.3765316	-.1092005	.9388143	.1128968						.0348213	-.4692529	-1.479941	-2.200411	1.150349	2.200411	1.024592	-.3928308	-.6314019	-.7188681	1.150349	.2104284	.3928308
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200715_B10	200715	1	NA448	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	0	0	1	11.342998	.9528288	1.0132408	.2722368	.34883235	1	2	149																							19	3744.658	841843.6	1112489	1_CDKN1A	2	4	4	8.6	4	2	7	-.6275435	-1.207414	-1.290233	-.4941332	.1333212	-.4235761	-1.593219	.7626835	.837745	-.1092005	-.1642108	.4987188																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CDKN1A_200715_D08	200715	1	NA436	insH2Bfabp	CD15	CDKN1A	1	0	0	2	1	10	0	0	1	12.581745	.85074	.5455912	.340296	.82451283	1	39	137	168126	3910	2975	19972	4959	43	3.277e+09	1	4148747	138978	139	299	203	82									0	4359.721	1157709	1624576	1_CDKN1A	2	4	3	6.866667	4	2	7	2.000424	1.13214	1.77585	.773217	.4099833	1.366204	1.263668	.3619474	-.7091025	.5432517	2.546865	.8537231						.3554904	-.1749599	-1.150349	-1.731664	1.024592	1.297543	1.731664	.6314019	.6314019	.5084881	.6314019	.3186394	-.1749599
