filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	igf2a_dich	igf2b_dich	igf2_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF2_201014_D07	201014	1	ND077	insH2Bfabp	CD15	IGF2	1	0	0	2	1	9	1	1	1	3	8.8059406	.4423848	.42811243	.1361184	.5455912	1	4	4	109729	2676	2926	4821	1019	41	5.246e+08	1	2520577	95237	127	161	148	123	153	588389	11328	16171.786	14980.965	1.83e+08	-818.5806	3.73e+07	14	3739.033	833364.9	1089939	15_IGF2	2	2	2	2.733333	2	2	2	-1.096804	-1.096804	-1.096804	-1.096804	0	1.690622	.2298841	-.5549229	-1.25212	-1.937932	-.1992013	-.8994349	-.7164975	.4067242	.2669941	.2669941	.4067242	-.8694237	-1.19838	-1.768825	-1.768825	-1.19838	-.6151411	-.8694237	-.8694237	-.8694237	-.6151411	-1.19838	-.8694237	.1940281
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF2_201014_E07	201014	1	ND078	insH2Bfabp	CD15	IGF2	1	0	0	2	1	9	1	1	1	3	7.9468831	.3062664	.22198422	.4423848	.5455912	1	5	5	151450	3366	4205	11524	2952	45	1.638e+09	1	4148002	136922	156	363	154	101	6	376909	432	7810.6227	8453.4116	3374189	-1225.969	4.20e+07	24	3682.217	808422.3	1051329	15_IGF2	2	2	2	2.8	2	2	2	-1.690622	-1.690622	-1.690622	-1.690622	-.2298841	-1.096804	-1.690622	-.8045964	-1.25212	-.3360381	-1.118958	-1.412188	-1.412188	-1.25212	-1.412188	-1.412188	.5549229	-.6151411	-.8694237	-1.19838	-.6151411	-.3957253	.3957253	.1940281	0	-.1940281	.0965586	.8694237	-.3957253	-.8694237
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF2_201014_G07	201014	1	ND080	insH2Bfabp	CD15	IGF2	1	0	0	2	1	9	0	0	0	1	19.866305	.85074	.42811243	.5444736	1.6367736	1	7	7	294881	4537	5309	3779	1521	65	1.211e+09	1	5912212	166547	185	265	201	140	172	823626	13858	21470.929	19773.889	2.98e+08	-1359.579	1.62e+07	0	4329.639	1240477	1525971	15_IGF2	2	2	2	2.983333	2	2	2	.7478586	1.096804	.4727891	.2298841	1.690622	.2298841	-1.096804	.0660118	.2669941	.1323128	-.1992013	.5549229	.1323128	.5549229	.7164975	.7164975	-.5549229	.0965586	-.1940281	-.6151411	.1940281	-.6151411	-.8694237	-.6151411	.1940281	.3957253	.6151411	-.3957253	.6151411	1.19838
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF2_201014_A08	201014	1	ND081	insH2Bfabp	CD15	IGF2	1	0	0	2	1	9	0	0	0	1	23.946828	2.1098352	.50739251	.8847696	3.1956056	1	8	8	458248	6110	5983	12828	4159	75	5.804e+09	1	6485860	184559	188	343	178	127	103	842929	8736	15590.008	13557.914	1.36e+08	333.6179	3.05e+07	0				15_IGF2	2	2	2	3.045833	2	2	2								1.937932	1.937932	1.412188	.1323128	1.412188	.4067242	-.3360381	-.2669941	-.5549229	0	.3957253	.6151411	.1940281	.6151411	.8694237	.6151411	.6151411	.8694237	.6151411	.8694237	.3957253	0	.6151411
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF2_201014_B08	201014	1	ND082	insH2Bfabp	CD15	IGF2	1	0	0	2	1	9	0	0	0	1	25.128032	1.4292432	.57081658	.7146216	2.4161896	1	9	9															93	614446	7888	18884.994	16480.805	1.49e+08	67.0827	-3.93e+07	0				15_IGF2	2	2	2	3.108333	2	2	2								1.412188	1.118958	1.118958	.7164975	1.937932	-.5549229	-.5549229	-.5549229	-.4067242	-1.412188													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF2_201014_C08	201014	1	ND083	insH2Bfabp	CD15	IGF2	1	0	0	2	1	9	0	0	0	1	20.188452	.85074	.53910454	.170148	.389708	1	10	10	797524	7669	6506	15062	4692	104	1.218e+10	1	8989874	308164	199	335	271	136	130	1027890	10380	16497.163	15073.488	1.71e+08	-605.9422	2.28e+07	1				15_IGF2	2	2	2	3.170833	2	2	2								.0660118	-1.937932	-1.25212	.4067242	.7164975	1.937932	0	0	-.1323128	-.2669941	1.19838	1.768825	1.768825	1.19838	1.768825	.8694237	1.19838	1.19838	1.768825	1.19838	.1940281	1.768825	.8694237
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF2_201014_E08	201014	1	ND085	insH2Bfabp	CD15	IGF2	1	0	0	2	1	9	0	0	0	1	16.215311	1.3271544	.87208088	.6125328	1.3250072	1	12	12															129	925964	9802	17821.332	15669.405	1.75e+08	-7.893885	9352793	0				15_IGF2	2	2	2	3.3	2	2	2								.8994349	-.2669941	.5549229	1.412188	0	1.118958	-.1323128	-.1323128	0	-.7164975													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF2_201014_F08	201014	1	ND086	insH2Bfabp	CD15	IGF2	1	0	0	2	1	9	0	0	0	1	21.799185	1.0549176	.8879369	.6125328	1.7926568	1	13	13	624283	5035	4414	7860	2430	124	5.058e+09	1	11346094	269630	217	394	266	126	242	843017	18148	25775.961	22776.977	4.68e+08	-713.7887	1.02e+08	15	4291.605	1181096	1584769	15_IGF2	2	2	2	3.366667	2	2	2	.2298841	.7478586	1.096804	1.690622	1.096804	-1.690622	.7478586	.7164975	.4067242	.5549229	1.937932	.8994349	.5549229	1.412188	1.937932	1.412188	1.412188	1.768825	1.19838	0	-.1940281	.6151411	0	0	1.768825	1.19838	1.768825	1.768825	1.19838	.3957253
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF2_201014_A09	201014	1	ND088	insH2Bfabp	CD15	IGF2	1	0	0	2	1	9	0	0	0	1	22.658242	.5785032	.34883235	.4764144	1.4808904	1	15	15	578673	7144	6658	18225	6265	81	1.011e+10	2	10988	2488	26	37	27	19	229	875228	17178	19908.384	17689.068	3.42e+08	-381.7856	1.20e+08	0				15_IGF2	2	2	2	3.491667	2	2	2								-.4067242	.0660118	-.1323128	-.5549229	1.118958	.7164975	1.118958	1.118958	1.118958	1.937932	.6151411	.8694237	1.19838	1.768825	1.19838	1.19838	1.768825	-1.768825	-1.768825	-1.768825	-1.768825	-1.768825	-1.768825
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF2_201014_C09	201014	1	ND090	insH2Bfabp	CD15	IGF2	1	0	0	2	1	9	0	0	0	1	14.497196	1.020888	.60252861	.6125328	2.1044232	1	17	17															138	518160	11183	15917.276	13475.483	1.78e+08	761.3286	7.47e+07	0	4060.379	936036.4	1308950	15_IGF2	2	2	2	3.616667	2	2	2	0	-.2298841	-.2298841	-.2298841	-1.096804	1.096804	0	.5549229	.7164975	.5549229	.8994349	-.4067242	-1.118958	.1323128	.1323128	.1323128	.7164975													
