filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	ildr2a_nwt	ildr2b_nwt	ildr2_nwt	ildr2_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ILDR2_201007_A07	201007	1	NB766	insH2Bfabp	CD15	ILDR2	1	0	0	2	1	9	.9145195	.9808666	.947693	1	3	11.67214	.510444	1.030641	.340296	.7014744	1	47	47	453272	4874	4539	6796	2015	93	3.077e+09	1	5992707	226643	146	240	208	155	74	543858	6073	11073.329	11191.269	6.72e+07	-1056.942	-1.90e+07	0	4013.629	926107.2	1279282	16_ILDR2	1	1	1	6.333333	1	1	4	.1651163	.0822773	.1235907	-.2917317	.2917317	.2318344	-.1651163	.0545189	.0363359	-.018165	.4307273	.3380917	.1159498	-.1940281	-.1940281	-.1829481	-.3080234	1.486092	.8917089	-.6289042	-.403916	.7537816	.2482751	-.0491694	.7537816	1.351702	.3511308	.098458	.8917089	.9674216
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ILDR2_201007_A03	201007	1	NB735	insH2Bfabp	CD15	ILDR2	1	0	0	2	1	9	.0523256	.0440916	.0482086	0	1	10.536233	.1020888	.80865682	.4423848	1.3250072	1	16	16	263727	4795	4834	3560	1068	55	9.523e+08	1	3551310	142775	132	229	164	136	55	445063	4769	11345.289	10961.228	5.41e+07	-519.4382	-2.88e+07	0	3941.426	943303.8	1338812	16_ILDR2	1	1	1	3.4	1	1	4	-.0411038	.1651163	.423225	-.1235907	-.8241822	.0627068	1.448272	-1.711675	.7566237	.6185211	-1.572037	-.0184321	-.6624353	-.3543496	-.3543496	-.4381324	-.529045	-.1728808	-.4578519	-.8207921	-.2482751	-1.049131	-1.351702	-1.486092	-.2993069	-.098458	-.3251097	-.403916	-.4578519	.2482751
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ILDR2_201007_E08	201007	1	NB777	insH2Bfabp	CD15	ILDR2	1	0	0	2	1	9	.9029856	1	.9514928	1	3	13.530896	.5444736	.95136096	.4423848	1.4808904	1	9	58	612705	5891	4848	10063	3165	104	6.113e+09	1	6380771	201106	196	271	193	163	164	687450	13950	19186.937	16545.563	2.68e+08	876.0452	1.04e+08	0				16_ILDR2	1	1	2	7.125	1	1	4								.1642108	.9968433	.6185211	-.201152	.8468857	.9881546	1.608653	1.608653	1.973953	1.746955	2.333769	1.88951	.0491694	-.1479871	1.88951	1.486092	1.486092	.8917089	.8917089	1.88951	.7537816	.4307273	1.486092
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ILDR2_201007_E02	201007	1	NB732	insH2Bfabp	CD15	ILDR2	1	0	0	2	1	9	.9600867	1	.9800434	1	3	14.770068	.4083552	.84036885	.4423848	2.1044232	1	13	13															84	747950	7187	16274.758	14974.304	1.17e+08	-222.3828	-2.38e+07	0	4097.292	1025683	1382447	16_ILDR2	1	1	1	3.1	1	1	4	.6616482	1.012131	.8241822	.3348942	-.1235907	1.731664	-.8241822	-.4709434	1.796193	.6185211	-1.090797	1.224965	1.281552	0	.0772036	.6245627	-.4830894													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ILDR2_201007_A08	201007	1	NB774	insH2Bfabp	CD15	ILDR2	1	0	0	2	1	9	.9889708	.987373	.9881719	1	3	7.9546263	.3743256	1.1099211	.2722368	.389708	1	6	55															79	480936	6416	10720.719	9716.0577	6.88e+07	293.329	3778621	0	3644.492	813925.2	1087008	16_ILDR2	1	1	2	6.9	1	1	4	-1.339746	-1.08327	-1.08327	-.9457771	-1.57718	-.7009514	.5625072	-.6185211	-.6859357	-.5966746	1.090797	-.7456442	-.313572	-.1159498	-.1159498	-.1419788	-.0202161													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ILDR2_201007_A04	201007	1	NB742	insH2Bfabp	CD15	ILDR2	1	0	0	2	1	9	.0328096	.0302238	.0315167	0	1	8.7807404	.5785032	1.1257771	.1020888	.4676496	1	23	23	236189	5493	4092	7504	2637	43	1.772e+09	1	3153724	115830	123	244	184	95	97	416322	8010	9197.7395	8352.4775	7.37e+07	344.3702	2.83e+07	7	4048.09	864169.3	1219333	16_ILDR2	1	1	1	4.583333	1	1	4	.3348942	-.4686158	-.2917317	-1.160362	-.5625072	-.2749777	.3348942	.3138655	-.3716615	-1.273337	1.159195	-.5628612	-1.122762	.2334853	.1940281	-.0606815	.5761465	-1.049131	-.689997	-.2482751	-.8917089	-.4578519	.6289042	.7537816	-.403916	-.5700741	-.8207921	.1479871	.2230078	-1.23808
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ILDR2_201007_E04	201007	1	NB746	insH2Bfabp	CD15	ILDR2	1	0	0	2	1	9	.0624716	.0340044	.048238	0	1	3.9273201	.170148	.82451283	.2382072	.5455912	1	27	27																							0				16_ILDR2	1	1	1	4.85	1	1	4								-1.407024	-.201152	-.7326562	-1.31531	-2.439542																		
InsH2Bfabp_CD15_09dpf_VAST02_plate02_ILDR2_201007_E04	201007	2	NB809	insH2Bfabp	CD15	ILDR2	1	0	0	2	1	9	.9494357	1	.9747179	1	3	12.824226	.9868584	1.1733452	.6125328	1.7926568	1	41	90															23	681782	1520	9812.577	8407.189	1.49e+07	896.0527	-3.12e+07	0	4150.352	998258.4	1379097	16_ILDR2	1	1	2	12.35	1	1	4	1.08327	.7137046	.7677715	-.423225	.6616482	-.3186394	-.8833463	1.159195	1.407024	1.51239	1.31531	.5628612	.8694237	-.9271548	-1.053073	-1.254453	-.6245627													
InsH2Bfabp_CD15_09dpf_VAST02_plate02_ILDR2_201007_B04	201007	2	NB806	insH2Bfabp	CD15	ILDR2	1	0	0	2	1	9	1	1	1	1	3	7.2814013	.7826808	.99892901	.5444736	.389708	1	38	87	156164	4004	4069	6424	2120	39	1.144e+09	2	2954071	93609	108	300	171	80	0	418698	0		6091.4038				0	3665.334	793064.9	1073191	16_ILDR2	1	2	2	12.11667	2	1	4	-1.245046	-1.160362	-1.160362	-.4686158	-1.448272	-.4079188	-1.57718	.6859357	-.6859357	1.159195	.1826502	-.9576579	-.9271548	-1.993984	-1.993984			-1.23808	-1.654435	-1.486092	-1.049131	-.7537816	0	.098458	-.6289042	-1.23808	-1.23808	1.23808	-.1978822	-2.333769
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ILDR2_201007_F03	201007	1	NB739	insH2Bfabp	CD15	ILDR2	1	0	0	2	1	9	.9220375	1	.9610187	1	3	6.0958696	.2722368	.96721698	.3062664	.4676496	1	20	20	110738	4614	4367	5771	2202	24	5.787e+08	1	1379328	61269	89	183	124	91	138	437036	9614	12173.967	11547.809	1.17e+08	-367.8685	2.57e+07	0	3698.264	761841.8	1046125	16_ILDR2	1	2	1	3.766667	2	1	4	-1.08327	-1.739384	-1.57718	-2.400036	-1.967025	.4537622	-1.967025	-1.090797	-.3716615	-.3330051	-.0727199	-1.399161	-.8144545	1.19838	.7112601	.6744897	.4830894	-2.333769	-2.333769	-.8917089	-.5700741	-1.654435	-.2482751	.2993069	-2.333769	-2.333769	-2.333769	-1.486092	-1.88951	-1.564726
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ILDR2_201007_F02	201007	1	NB733	insH2Bfabp	CD15	ILDR2	1	0	0	2	1	9	.6989796	1	.8494898	1	3	12.911311	.6125328	.8879369	.4423848	1.4029488	1	14	14	308238	5604	5329	5446	1780	55	1.607e+09	1	3648753	129635	131	204	165	128	127	475278	9912	15815.981	14077.671	1.57e+08	353.8513	2.89e+07	0	3919.657	899833.7	1237830	16_ILDR2	1	2	1	3.233333	2	1	4	-.1235907	-.1235907	-.1235907	.5625072	.8833463	.9345893	.2069287	.4507442	.8837863	.6185211	-.5966746	.6289042	-.4377901	.7618428	.8694237	1.093456	.6245627	-.1728808	-.3511308	-.098458	.3511308	-.5131547	-.5700741	-.2482751	-.2482751	-.2993069	-.403916	-.7537816	-.3773919	-.0737913
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ILDR2_201007_B09	201007	1	NB782	insH2Bfabp	CD15	ILDR2	1	0	0	2	1	9	.0422832	.0254441	.0338636	0	1	12.291725	.85074	1.2367692	.1020888	.2338248	1	14	63	337548	7501	5061	6160	1695	45	1.967e+09	1	3932912	136686	128	239	174	147	61	684410	4881	10845.772	10070.146	5.29e+07	9.646613	-1.72e+07	20				16_ILDR2	1	2	2	7.516666	2	1	4								.8837863	-1.637868	-1.273337	1.796193	.437478	.9271548	-.2733094	-.2733094	-.4830894	-.2658918	-.7868451	-.1978822	1.351702	.098458	-.1479871	-.0491694	-.5131547	-.0491694	-.1479871	-.4853177	.0491694	-.0737913	.7215223
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ILDR2_201007_F08	201007	1	NB778	insH2Bfabp	CD15	ILDR2	1	0	0	2	1	9	1	.9820218	.9910109	1	3	7.438305	.340296	.85622486	.3062664	.5455912	1	10	59															82	421552	7035	10662.64	9166.7339	7.50e+07	869.3502	1.79e+07	13	3717.114	826217.1	1097476	16_ILDR2	1	2	2	7.216667	2	1	4	-.8833463	-1.012131	-1.012131	-.1651163	-.8833463	-1.072861	-1.339746	-.8313125	-.201152	-.3330051	-.9109555	-.9008895	-.8694237	-.0772036	.0385731	-.0202161	.2658918													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ILDR2_201007_B02	201007	1	NB729	insH2Bfabp	CD15	ILDR2	1	0	0	2	1	9	.959762	.8812596	.9205108	1	3	11.052554	.0340296	.96721698	.1020888	.3117664	1	10	10	171134	3980	3754	2173	705	43	3.667e+08	1	2753070	107317	136	181	157	120	2	392648	236	9629.9703	11293.84	2272673	-2618.701	-8.55e+07	0	3816.61	851997.1	1124901	16_ILDR2	1	2	1	2.6	2	1	4	-.5149938	-.5625072	-.7677715	.0822773	1.012131	-.5485223	-.7137046	-2.444812	-1.124338	-1.273337	-.0727199	.0553215	-1.37468	-1.481544	-1.37468	-1.746955	-1.585278	-1.049131	-1.23808	-1.654435	-1.351702	-2.333769	-1.88951	-1.88951	-.8917089	-.9674216	-.0737913	-1.88951	-.6289042	-.4853177
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ILDR2_201007_F09	201007	1	NB786	insH2Bfabp	CD15	ILDR2	1	0	0	2	1	9	.0467694	.0247196	.0357445	0	1	12.911311	.8167104	.99892901	.4423848	1.558832	1	18	67	523395	8580	7018	5463	1755	61	2.801e+09	1	6003478	208679	161	248	223	147	45	665924	3447	10808.102	9142.1122	3.73e+07	1043.234	-1.95e+07	0	4383.837	1069288	1489515	16_ILDR2	1	2	2	7.816667	2	1	4	1.967025	1.245046	1.245046	.7677715	.9457771	-.5005801	1.57718	.7810338	1.159195	.6185211	.1826502	.6289042	.5691847	-.5691847	-.5691847	-.779842	-.3507093	.1231848	1.351702	1.88951	1.88951	.5131547	-.5131547	-.3511308	.8207921	.9674216	.8207921	.3251097	1.486092	.7215223
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ILDR2_201007_F06	201007	1	NB763	insH2Bfabp	CD15	ILDR2	1	0	0	2	1	9	.966835	1	.9834175	1	3	9.7101187	.340296	.98307299	.1020888	.4676496	1	44	44	305841	5366	4251	7476	2340	57	2.331e+09	1	3124421	125383	143	191	158	129	20	510176	1648	9793.5431	10323.366	1.61e+07	-1334.882	-5.76e+07	0	3994.94	881081.9	1139166	16_ILDR2	1	2	1	6.116667	2	1	4	.1235907	-.2917317	-.7137046	-.6616482	-.4686158	.146745	-1.245046	-.8313125	-.3716615	-1.273337	.0545189	-.2609674	-.0385731	-.9881546	-.9881546	-1.170163	-1.093456	-.0491694	-.403916	-.3511308	-.689997	.1479871	.5131547	.403916	-.5131547	-.403916	.2230078	-.9674216	-.5700741	0
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ILDR2_201007_B03	201007	1	NB736	insH2Bfabp	CD15	ILDR2	1	0	0	2	1	9	.0717435	.0339918	.0528677	0	1	11.465611	.7146216	.95136096	.4764144	1.169124	1	17	17															224	578990	18752	14902.201	13258.648	2.79e+08	385.4931	1.63e+08	4	4119.141	1019089	1404354	16_ILDR2	1	2	1	3.533333	2	1	4	.9457771	.9457771	.9457771	.9457771	0	.5977601	1.339746	.5751093	.5966746	.8572543	-.201152	.2041513	.2334853	2.423196	2.423196	2.405983	2.405983													
InsH2Bfabp_CD15_09dpf_VAST02_plate02_ILDR2_201007_F04	201007	2	NB810	insH2Bfabp	CD15	ILDR2	1	0	0	2	1	9	.9561003	1	.9780502	1	3	8.0275507	.4083552	.82451283	.4423848	.9352992	1	42	91															14	205134	992	13351.223	10585.601	1.32e+07	1920.093	-6.43e+07	0	3400.012	718984.7	937427.1	16_ILDR2	1	2	2	12.41667	2	1	4	-2.400036	-2.400036	-2.400036	-1.245046	-.423225	-2.39398	-1.08327	-.4709434	.2948402	.6185211	-1.31531	-.697813	-2.423196	-1.122762	-1.281552	-1.348744	-1.170163													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ILDR2_201007_B07	201007	1	NB767	insH2Bfabp	CD15	ILDR2	1	0	0	2	1	9	.0412219	.0346055	.0379137	0	1	19.003902	.4423848	1.2209132	.340296	.7014744	1	48	48	376788	6177	6284	10691	3747	61	3.749e+09	2	4055712	152214	126	315	160	125	85	486268	6570	12781.753	12511.423	8.40e+07	-872.4105	-2.13e+07	20	3716.905	888872.7	1238623	16_ILDR2	1	2	1	6.383333	2	1	4	-.9457771	-.2491061	-.0411038	-.7137046	-.7677715	-1.001331	-.423225	-.2571002	.0363359	-.018165	1.572037	2.012971	-.2733094	.0385731	-.0385731	.0606815	-.4381324	.1231848	.1479871	.403916	1.138523	1.049131	1.654435	1.654435	0	.1479871	-.659143	1.351702	-.5131547	-.1978822
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ILDR2_201007_B05	201007	1	NB751	insH2Bfabp	CD15	ILDR2	1	0	0	2	1	9	1	1	1	1	3		.0680592	.77694478	.1020888	.1558832	1	32	32	451159	6734	5541	3419	1105	67	1.507e+09	1	4937710	192272	132	319	198	135	13	505286	1072	8674.6707	8916.0179	9299247	-829.21	-4.42e+07	7	4076.273	980523.4	1340292	16_ILDR2	1	2	1	5.266667	2	1	4	.4686158	.5149938	.4686158	.2917317	.3786901	.3186394	.0822773	-2.019086	-2.444812	-1.273337	-2.019086		-.1159498	-1.19838	-1.19838	-1.585278	-.8946621	.4578519	.8207921	.9674216	.5700741	-.6289042	-1.486092	-1.351702	.5131547	.7537816	-.3251097	1.654435	.659143	.098458
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ILDR2_201007_B04	201007	1	NB743	insH2Bfabp	CD15	ILDR2	1	0	0	2	1	9	.0548339	.0335298	.0441819	0	1	13.014575	.8167104	1.3160493	.510444	1.3250072	1	24	24															46	661738	3743	12714.593	11568.622	4.76e+07	148.732	-4.41e+07	0	4117.777	1041415	1491264	16_ILDR2	1	2	1	4.65	2	1	4	.8833463	1.160362	1.339746	.2069287	1.160362	-.2318344	1.012131	.7810338	.7566237	.9968433	2.444812	.697813	.5244005	-.5244005	-.5244005	-.5761465	-.835874													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ILDR2_201007_B01	201007	1	NB721	insH2Bfabp	CD15	ILDR2	1	0	0	2	1	9	.0497836	.0308287	.0403061	0	1	10.94929	.3743256	.93550494	.3743256	1.3250072	1	2	2	241014	5021	4145	6926	2428	48	1.595e+09	1	1624818	68074	102	182	104	100	59	452440	4576	11254.432	11101.695	5.15e+07	-772.4402	-3.35e+07	0	3835.274	880214.6	1238055	16_ILDR2	1	2	1	1.933333	2	1	4	-.423225	-.3348942	-.0822773	-.7677715	-.5149938	-1.731664	-.4686158	-.6185211	.7566237	.201152	-.3522675	.0184321	-.5244005	-.313572	-.3957253	-.529045	-.6744897	-.4853177	-.6289042	-.5131547	-.8207921	-.5700741	.2993069	.4578519	-1.88951	-1.654435	-1.415702	-1.654435	-2.333769	-1.138523
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ILDR2_201007_F05	201007	1	NB755	insH2Bfabp	CD15	ILDR2	1	0	0	2	1	9	.0624443	.0346651	.0485547	0	1	5.5795483	.2722368	.82451283	.2382072	.4676496	1	36	36															134	371282	9562	8472.8551	8047.3719	8.10e+07	-28.32179	4.00e+07	0	3579.175	779053.4	1046873	16_ILDR2	1	2	1	5.55	2	1	4	-1.739384	-1.339746	-1.448272	-1.967025	-1.739384	1.56892	1.08327	-1.090797	-.3716615	-.7326562	-1.31531	-1.630759	-1.608653	1.053073	.6624353	.0202161	1.022696													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ILDR2_201007_F01	201007	1	NB725	insH2Bfabp	CD15	ILDR2	1	0	0	2	1	9	.9404762	1	.9702381	1	3	9.6068545	.2382072	.87208088	.340296	1.0132408	1	6	6																								3596.245	757535.1	1024113	16_ILDR2	1	2	1	2.283333	2	1	4	-1.448272	-1.967025	-1.739384	-1.339746	-1.160362	-1.330562	-.9457771	-1.233495	.4307273	-.018165	-.7566237	-.3576728																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ILDR2_201007_F07	201007	1	NB771	insH2Bfabp	CD15	ILDR2	1	0	0	2	1	9	.9045271	.9431151	.9238211	1	3	13.634161	1.2931248	.8879369	.6465624	1.558832	1	3	52	419035	6547	5520	5142	1588	64	2.214e+09	1	8570614	190176	189	249	220	158	172	749162	14329	12325.883	10694.018	1.77e+08	769.6041	9.75e+07	0	4258.378	1136131	1546697	16_ILDR2	1	2	2	6.666667	2	1	4	1.339746	1.739384	1.967025	1.739384	1.245046	1.150349	.1651163	1.796193	1.159195	1.711675	-.5966746	.9576579	1.37468	1.869607	1.768825	1.254453	1.585278	.2482751	.4578519	.8207921	.5131547	.0491694	-.6289042	-.689997	2.333769	.6289042	1.654435	.403916	1.351702	1.092736
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ILDR2_201007_B06	201007	1	NB759	insH2Bfabp	CD15	ILDR2	1	0	0	2	1	9	1	1	1	1	3	7.851362	.3743256	.95136096	.3743256	.389708	1	40	40	248185	5395	3920	7648	2675	46	1.798e+09	3	2390840	98552	126	196	168	84	144	451234	11830	8775.3218	7637.0503	1.04e+08	747.7914	6.87e+07	0	4077.632	877552.8	1180603	16_ILDR2	1	2	1	5.866667	2	1	4	.5149938	-.3786901	-.423225	2.400036	.7137046	1.439531	-.2491061	-.6185211	-.6859357	.201152	-.201152	-.8207921	-.5691847	1.281552	1.281552	.4381324	1.456837	-.689997	-.5131547	-.2993069	-1.138523	-.403916	.689997	.8207921	-1.049131	-1.138523	-.659143	-.8207921	-.2993069	-1.88951
