filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	gnas_nwt	gnas_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GNAS_201120_D07	201120	1	NC656	insH2Bfabp	CD15	GNAS	1	0	0	2	1	10	0	0	1	12.609582	.4764144	.4915365	.4083552	1.4808904	1	48	48	234621	7332	4945	9665	2746	32	2.160e+09	1	2330201	102497	99	216	171	106	145	547288	10319	21047.965	16054.926	2.17e+08	489.7341	-1.11e+08	153	3481.01	964089.4	1130583	31_GNAS	1	1	1	6.583333	1	1	3	-.4207837	.2477242	-.2477242	.9674216	-1.431895	-.4411686	-1.593219	-.5398714	.6193067	.2028072	.4144133	.2298841	-.3246387	-1.017131	-1.392945	-.7478586	-1.392945	-.9674216	-.3406948	.8819982	-.3406948	-.8819982	-.4614937	-.7279133	-.2822162	-.4003634	-.7647097	-.1962117	.0557317	-.5244005
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GNAS_201120_D04	201120	1	NC635	insH2Bfabp	CD15	GNAS	1	0	0	2	1	10	1	1	2	10.22548	.5444736	.34883235	.510444	1.2470656	1	27	27	231665	4455	4207	21423	6870	52	4.837e+09	1	2423230	111561	101	222	179	128	259	551290	19667	27671.575	22748.567	5.44e+08	-733.1412	9.68e+07	130	3492.332	782283.3	1116661	31_GNAS	1	1	1	4.883333	1	1	3	-.3619474	-.8185495	-.4207837	-.8819982	.1918929	-.2592342	-.6571085	-.0896424	.3422765	.8871465	-.5398714	-.2769504	-.1833219	.9434426	.7478586	.7478586	.7478586	.3406948	-.4003634	-1.060562	-.8025719	.8025719	1.833915	1.833915	-.1116372	0	-.5894558	.1116372	.167894	.6229257
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GNAS_201120_A04	201120	1	NC632	insH2Bfabp	CD15	GNAS	1	0	0	2	1	10	1	1	2	7.2453533	.340296	.34883235	.3743256	1.0911824	1	24	24	254403	7269	5335	12608	4495	35	3.012e+09	1	3040933	104416	127	308	120	78	174	421058	12686	16356.271	12797.602	2.07e+08	-383.6273	-6.31e+07	352	3350.998	763905.3	1044106	31_GNAS	1	1	1	4.633333	1	1	3	-1.177163	-1.177163	-.6744897	-1.420179	-.6744897	-1.823803	-.5894558	-1.241867	-.0223825	-.0896424	-.5398714	-.8745511	-1.281552	-.5244005	-.8095796	-1.017131	-.5774487	-.6920772	-.167894	.7279133	-.167894	-.2822162	.2246877	.4003634	.167894	-.2246877	.4003634	1.420179	-1.281552	-1.833915
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GNAS_201120_D09	201120	1	NC670	insH2Bfabp	CD15	GNAS	1	0	0	2	1	10	1	1	2	17.616195	.510444	.65009666	.2722368	.8573576	1	13	62	321072	6980	6635	9360	2686	46	3.240e+09	1	3085518	135706	112	219	189	129	342	915465	29545	31774.64	24696.564	9.39e+08	1086.422	4.57e+08	34	4055.916	993966.7	1424451	31_GNAS	1	1	2	7.933333	1	1	3	.6744897	.3619474	.7445865	.2246877	.3619474	.8662307	0	-.3186394	-.6466521	-1.345167	1.150349	1.017131	1.524945	1.92248	2.361894	1.690622	2.361894	.167894	.4003634	.4614937	1.281552	0	-.6571085	-.8025719	.2246877	.4003634	.027855	0	.5244005	.7647097
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GNAS_201120_G07	201120	1	NC658	insH2Bfabp	CD15	GNAS	1	0	0	2	1	10	1	1	2	5.9340975	.510444	.58667259	.4083552	.9352992	1	1	50	277619	7712	7313	4290	1213	36	1.089e+09	1	2178508	103872	101	221	156	100	163	397836	15697	13644.128	9832.1103	2.14e+08	380.4686	-3657978		3392.801	740876.8	1022932	31_GNAS	1	1	2	6.816667	1	1	3	-.8972881	-1.294038	-1.177163	-.0557317	-.5432517	-1.268707	-.4003634	-.3186394	-.4389272	.2028072	.7318081	-1.455776	-1.524945	-.7783484	.137154	-.8745511	.137154	-.5244005	.1116372	1.16395	1.833915	-1.593219	-1.833915	-1.833915	-.4003634	-.3406948	-.5894558	.0557317	-.3406948	-.7279133
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GNAS_201120_G08	201120	1	NC665	insH2Bfabp	CD15	GNAS	1	0	0	2	1	10	0	0	1	7.1261482	.510444	.42811243	.3743256	1.0911824	1	8	57	180978	4414	4189	13922	4848	41	2.221e+09	1	1925271	83462	92	213	170	95	202	516533	13856	30121.316	24879.05	4.17e+08	-780.8165	-6.80e+07		3384.695	931311.1	1121028	31_GNAS	1	1	2	7.516667	1	1	3	-.9820262	.1366539	-.3619474		.8972881	.3791918	-.8025719	-.3186394	-.0223825	-.0896424	0	-.9434426	-.4727891	-.137154	-.3730773	.2298841	-.6888636	-.3113224	-1.060562	-1.281552	-.8819982	-.8025719	.5244005	.6571085	-.6571085	-1.060562	-1.501086	-.2822162	0	-.8819982
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GNAS_201120_A02	201120	1	NC616	insH2Bfabp	CD15	GNAS	1	0	0	2	1	10	.8048636	1	2	13.801632	.680592	.6976647	.4083552	1.0911824	1	8	8	214995	6719	5572	12715	4441	32	2.576e+09	1	2405137	96945	101	264	164	85	247	600193	20716	49750.25	40555.054	1.03e+09	472.2369	2.67e+08	115	3655.329	870554.5	1204768	31_GNAS	1	1	1	3.066667	1	1	3	.0272493	-.1918929	-.0272493	-.7279133	-.1918929		2.286548	.2257079	-.0223825	.2028072	1.345167	.4984288	.1833219	.6888636	.9434426	2.361894	1.524945	-.9674216	-.5894558	.2822162	.2822162	-.6571085	.2822162	.3406948	-.167894	-.4614937	-.5894558	.6571085	-.1116372	-1.593219
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GNAS_201120_A07	201120	1	NC653	insH2Bfabp	CD15	GNAS	1	0	0	2	1	10	0	0	1	14.993683	.85074	.36468837	.510444	2.338248	1	45	45															210	803464	16578	12934.175	10558.1	2.14e+08	-1180.512	-1.63e+07	74	4499.85	1243946	1642834	31_GNAS	1	1	1	6.333333	1	1	3	1.604084	1.294038	1.177163	1.281552	2.294895	-.0855575	-.167894	.7613826	1.402673	.8871465	-.3661064	.7478586	.8745511	.0912767	.2769504	-.8095796	0													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GNAS_201120_A01	201120	1	NC609	insH2Bfabp	CD15	GNAS	1	0	0	2	1	10	0	0	1	7.9605837	.5444736	.4915365	.3062664	.4676496	1	1	1	681495	8018	7664	6880	2185	85	4.872e+09	1	8537911	278108	171	324	246	146	198	717354	17529	34277.167	28573.803	6.01e+08	-956.0654	4.98e+07	23	4338.125	1198338	1620119	31_GNAS	1	1	1	2.266667	1	1	3	1.074478	.9820262	.9820262	.8819982	1.843765	-1.150349	-.2246877	-.0896424	-1.345167	-.8871465	.4144133	-.6888636	.5244005	-.1833219	.4727891	.8745511	.5244005	1.501086	2.286548	1.833915	2.286548	.8819982	-1.281552	-1.281552	1.833915	2.286548	1.281552	1.833915	2.286548	1.012893
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GNAS_201120_G04	201120	1	NC637	insH2Bfabp	CD15	GNAS	1	0	0	2	1	10	0	0	1	13.920837	.4083552	.53910454	.4423848	1.7147152	1	29	29	252427	5371	3724	11779	4789	47	2.897e+09	3	3736933	130322	135	237	162	124	227	572705	16667	30191.672	23652.712	5.03e+08	727.0898	3.97e+07	31	3622.423	866277.8	1211183	31_GNAS	1	1	1	5.05	1	1	3	-.0818291	-.2477242	.0272493	-.2246877	.3043391	1.823803	.8819982	-.8871465	.8544474	.4637077	.6193067	.6045853	-.0455908	.3246387	.3246387	.6321747	.4727891	.2246877	-.2822162	-.7279133	-1.833915	-.4614937	0	.5894558	.5244005	.167894	.5244005	.2822162	-.1962117	.4003634
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GNAS_201120_G05	201120	1	NC644	insH2Bfabp	CD15	GNAS	1	0	0	2	1	10	1	1	2	5.9340975	.2041776	.34883235	.340296	.7014744	1	36	36	176443	5041	4136	24870	7903	35	4.467e+09	1	1515121	80485	94	172	136	104	228	437962	17295	22791.368	18286.274	3.94e+08	-382.5153	2.61e+07		3367.515	710057.4	905486.1	31_GNAS	1	1	1	5.55	1	1	3	-1.074478	-1.843765	-2.294895	-2.286548	-.9820262	-.9523705	-1.281552	-1.930286	-.920823	-.4389272	-.5398714	-1.455776	-1.184125	.3730773	.422408	.1833219	.2769504	-.6920772	-1.16395	-.8025719	-1.060562	.5244005	2.286548	2.286548	-1.593219	-1.281552	-1.22064	-1.593219	-.8025719	-.5894558
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GNAS_201120_D05	201120	1	NC641	insH2Bfabp	CD15	GNAS	1	0	0	2	1	10	.9705655	1	2	7.6029685	.5444736	.47568048	.340296	.5455912	1	33	33	266950	5932	6031	17324	5091	45	4.663e+09	1	2050061	107449	112	184	143	107	153	536544	12456	33636.018	25247.161	4.19e+08	2302.375	-7.29e+07	23	3447.971	772159.8	1035613	31_GNAS	1	1	1	5.35	1	1	3	-.6075616	-1.074478	-1.074478	-.5894558	-.6075616	-.3791918	-.8819982	-.0896424	-1.150349	-.4389272	.3186394	-.7478586	-.3730773	-.9434426	-.8745511	.2769504	-.7478586	.0836517	.0557317	-.2246877	.8025719	.5894558	1.060562	1.060562	-.5244005	-.1116372	.027855	-1.060562	-.6229257	-.4003634
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GNAS_201120_A05	201120	1	NC638	insH2Bfabp	CD15	GNAS	1	0	0	2	1	10	.9865141	1	2	13.920837	.4423848	.44396845	.3743256	1.0911824	1	30	30	421003	7017	5764	11001	3537	60	4.947e+09	1	5463704	159153	170	310	181	108	203	547919	15548	21376.738	17370.427	3.32e+08	-723.5624	-1.95e+07		3859.014	934914.9	1273106	31_GNAS	1	1	1	5.15	1	1	3	.4207837	.1918929	.3043391	-.5244005	-.0272493	-.142907	.2822162	-.7028602	-.0223825	-.0896424	.0896424	.6045853	-.2769504	-.0684159	.0912767	-.1833219	-.0455908	.5566336	.6571085	.5894558	.6571085	.9674216	-.2822162	-.2246877	.9674216	.7279133	1.16395	1.593219	.3406948	-.2822162
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GNAS_201120_A08	201120	1	NC659	insH2Bfabp	CD15	GNAS	1	0	0	2	1	10	1	1	2	14.040042	.7146216	.6976647	.4083552	1.7926568	1	2	51	277848	4962	4641	8846	4082	56	2.328e+09	1	3296029	131743	137	216	194	97	209	574635	14400	33636.145	26293.069	4.84e+08	1076.457	-2.61e+07	16	3748.127	889695.1	1227019	31_GNAS	1	1	2	6.95	1	1	3	.1918929	-.1366539	.0818291	-.8025719	-.3043391	-.639147	1.593219	.3422765	1.028805	.2028072	1.345167	.6888636	.0455908	.0455908	-.2769504	.5774487	-.0912767	.4003634	.167894	-.8819982	-.5244005	-.7279133	-.8025719	.1116372	.3406948	.2822162	.5894558	-.1962117	.5894558	-.8025719
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GNAS_201120_G02	201120	1	NC622	insH2Bfabp	CD15	GNAS	1	0	0	2	1	10	1	1	2	12.967197	.7826808	.38054438	.4423848	1.0911824	1	14	14															232	700252	17951	21131.86	16698.346	3.79e+08	-180.6066	3.94e+07	23	4213.028	1045721	1370678	31_GNAS	1	1	1	3.7	1	1	3	.8972881	.6075616	.481115	.1116372	.0818291	.9523705	.5244005	.6466521	-.0223825	.4637077	-.2487277	.3246387	.422408	.4727891	.5244005	.0912767	.422408													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GNAS_201120_A09	201120	1	NC667	insH2Bfabp	CD15	GNAS	1	0	0	2	1	10	1	1	2		.4083552	.3012643	.3062664	.389708	1	10	59	84572	4027	3888	5577	1801	21	4.918e+08	1	761840	42552	72	186	95	76	168	377924	12235	21816.188	17638.359	2.67e+08	-598.1901	-8.97e+07					31_GNAS	1	1	2	7.672222	1	1	3								-.8871465	-1.611169	-.8871465	-1.108011		-1.690622	-.6321747	-.9434426	-.3730773	-.9434426	-2.286548	-2.286548	-1.833915	-1.420179	-2.286548	-1.593219	-1.593219	-2.286548	-2.286548	-2.286548	-.9674216	-2.286548	-2.286548
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GNAS_201120_B03	201120	1	NC625	insH2Bfabp	CD15	GNAS	1	0	0	2	1	10	1	1	2	6.0533026	.1361184	.41225642	.0680592	.5455912	1	17	17	160940	5748	4422	9658	3703	28	1.527e+09	1	1419466	67316	106	170	115	90	217	369091	15532	19835.116	16872.497	3.08e+08	-1681.496	-3.49e+07	190				31_GNAS	1	2	1	4.033333	2	1	3								-2.368567	-1.150349	-2.368567	-.1121376	-1.231377	-2.361894	.2298841	.0455908	-.2769504	-.2298841	-1.593219	-1.281552	-.4614937	-.7279133	-1.281552	-.5244005	-.1116372	-1.833915	-1.833915	-.2246877	-1.833915	-1.420179	-1.060562
InsH2Bfabp_CD15_10dpf_VAST02_plate02_GNAS_201120_B02	201120	2	NC679	insH2Bfabp	CD15	GNAS	1	0	0	2	1	10	1	1	2	6.7720447	.2382072	.28540829	.2722368	1.0132408	1	22	71	226913	5534	4616	14613	4515	41	3.396e+09	1	1749638	92467	96	201	139	112	212	471976	15071	14748.494	12853.885	2.22e+08	-2057.381	-4.93e+07	80	3258.819	688015.8	941898.2	31_GNAS	1	2	2	9.183333	2	1	3	-2.294895	-2.294895	-1.843765	-.6571085	-.8972881	-.5048896	-.2822162	-1.611169	-.27188	-1.345167	-1.345167	-1.096804	-.8745511	.137154	-.0912767	-.6321747	-.3730773	-.3113224	-.4614937	-.6571085	-.6571085	.0557317	.5894558	.4614937	-.9674216	-.5244005	-1.012893	-.7279133	-.7279133	-.167894
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GNAS_201120_E06	201120	1	NC649	insH2Bfabp	CD15	GNAS	1	0	0	2	1	10	.026719	0	1	11.417531	.510444	.36468837	.4764144	1.4029488	1	41	41	278417	4564	4082	14835	4398	61	4.029e+09	1	3570861	137388	113	252	199	121	242	692345	19200	22893.971	18090.307	4.40e+08	-50.19378	7.49e+07	149	3797.702	1031351	1338124	31_GNAS	1	2	1	5.866667	2	1	3	.3043391	.5119362	.3619474	2.286548	-.8185495	.7106959	.0557317	-.3186394	.5141561	.6466521	-.3661064	-.0227895	.3730773	.5774487	.6888636	.3246387	.6888636	.6571085	.2246877	-.9674216	-1.16395	.4003634	.7279133	.2822162	.4614937	.4614937	.167894	.5244005	.6571085	.2822162
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GNAS_201120_E08	201120	1	NC663	insH2Bfabp	CD15	GNAS	1	0	0	2	1	10	0	0	1	6.0533026	.2722368	.25369626	.340296	.779416	1	6	55	198202	5663	5435	15105	5741	35	3.186e+09	1	2253617	91492	120	191	130	107									48	3318.82	828908.7	962594	31_GNAS	1	2	2	7.316667	2	1	3	-1.431895	-.4207837	-1.604084	-.4003634	.6744897	2.277988	-2.286548	-1.402673	-.7916386	-.4389272	-1.611169	-1.231377						-.6920772	-.8819982	-.5894558	.1116372	-.1116372	.8025719	1.16395	-.3406948	-.6571085	.2822162	-.8025719	-1.060562	-.4003634
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GNAS_201120_G03	201120	1	NC630	insH2Bfabp	CD15	GNAS	1	0	0	2	1	10	1	1	2	9.0334294	.510444	.33297634	.340296	.9352992	1	22	22	202759	6992	5503	15633	5042	29	3.232e+09	1	1555823	83204	92	183	133	120	235	477204	16415	26804.149	22230.628	4.40e+08	-993.4248	1745273	199				31_GNAS	1	2	1	4.458333	2	1	3								-.3186394	-.4389272	-.4389272	-.7028602	-.4984288	-.6321747	.5244005	.2298841	.3730773	.1833219	-1.420179	-.6571085	.5244005	.167894	-.0557317	.8819982	.8819982	-1.281552	-1.16395	-1.501086	-1.16395	-.923867	.2246877
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GNAS_201120_E05	201120	1	NC642	insH2Bfabp	CD15	GNAS	1	0	0	2	1	10	.0355798	0	1	20.119501	.9868584	.93550494	.5785032	1.7926568	1	34	34															298	870624	23263	19190.476	16369.814	4.46e+08	-1736.876	1.12e+08	26	4444.012	1202151	1645720	31_GNAS	1	2	1	5.4	2	1	3	1.294038	1.074478	1.294038	.6571085	1.074478	1.150349	-.3406948	1.150349	1.028805	1.345167	1.699178	1.281552	1.184125	1.524945	1.524945	.422408	.8095796													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GNAS_201120_B09	201120	1	NC668	insH2Bfabp	CD15	GNAS	1	0	0	2	1	10	0	0	1	10.7023	1.0889472	.3012643	.510444	1.169124	1	11	60															128	710474	11239	18295.195	13592.661	2.06e+08	623.3046	-7.91e+07					31_GNAS	1	2	2	7.761111	2	1	3								1.291794	.2257079	.8871465	-1.108011	-.2298841	.4727891	-1.392945	-1.184125	-1.096804	-.8745511													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GNAS_201120_E03	201120	1	NC628	insH2Bfabp	CD15	GNAS	1	0	0	2	1	10	.0210533	0	1	9.0334294	.6125328	.07928008	.3743256	1.169124	1	20	20	144663	3014	3327	6541	1885	48	1.007e+09	1	1885500	88163	96	212	151	113	161	476727	12856	19406.649	15227.928	2.49e+08	-182.1494	-6.43e+07	308	3460.638	970743.7	1099031	31_GNAS	1	2	1	4.316667	2	1	3	-.5432517	.3043391	-.5432517	-.3406948	.5432517	1.268707	-1.420179	.0671924	.2257079	-.0896424	-2.368567	-.4984288	-.6888636	-.8745511	-.6888636	-.5244005	-.6321747	.2822162	-1.593219	-2.286548	-2.286548	-1.833915	-1.420179	-1.420179	-.7279133	-.8025719	-1.012893	-.4003634	-.4614937	-.1116372
