filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	hmox1_nwt	hmox1_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_D07	200910	1	XX015	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	1	1	2	13.252692						21	119															20	444704	1008	2828.7302	2673.4421	2851360	-189.6335	-2.54e+07	4	4095.024	1007903	1313406	8_HMOX1	1	1	3	8.016666	1	1	5	.1182339	-.2104284	-.2381501	-.1479871	-1.101709	.8103805	-.4822482					-.1624294	-1.130117	-.9162218	-1.130117	-1.26794	-1.726056													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_E03	200910	1	NC852	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	1	1	2							21	21															5	274834	352	2439.642	2453.6377	858754	-316.9161	-2.23e+07	0	3734.202	948178.7	1163541	8_HMOX1	1	1	1	5.016667	1	1	5	-1.217197	-.8462095	-.9993048	-.029494	-.5585475	.0317348	-.5173122						-1.909639	-1.453563	-1.414199	-2.095297	-1.504199													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_G07	200910	1	XX018	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	0	0	1	14.214271						24	122	470291	7710	6771	15561	3993	61	7.219e+09	1	4802023	184746	152	234	211	146	177	871236	13576	2261.8799	1981.9501	3.07e+07	67.14107	1.86e+07	0				8_HMOX1	1	1	3	8.216667	1	1	5												.0539321	1.539856	.8138509	.7752326	.3067468	.8899477	-.0473125	.3878687	.5462332	.7824294	.3878687	.2876889	-.3373553	.0947312	.3878687	.6020065	-.6445316	.5738966	.9929082
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_B05	200910	1	NC865	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	0	0	1	12.675744	.340296	.53910454	.2041776	2.1044232	1	34	34															98	811028	8240	3394.117	3033.1365	2.80e+07	-52.67284	-8730516	15	4319.661	1182876	1488557	8_HMOX1	1	1	1	6.35	1	1	5	1.157523	.8931164	.9518433	1.737194	.5585475	1.857141	2.085356	.313572	.5375191	.1141853	-.2104284	-.272879	1.130117	.1841031	.227256	.1515802	-.4362566													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_C08	200910	1	XX022	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	1	1	2	8.8294265						28	126	213305	3878	3805	948	287	55	2.024e+08	3	1741256	80891	111	311	100	73									0	3379.521		873350.8	8_HMOX1	1	1	3	8.483334	1	1	5	-2.519125		-2.519125	-2.519125	-2.104968	-.0635016						-1.365669						-.5189816	-1.37281	-1.37281	-1.260339	-1.505968	-1.672937	-1.906358	-1.505968	-1.505968	-1.37281	1.249346	-1.906358	-1.260339
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_E08	200910	1	XX024	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	1	1	2	20.945327						30	128															116	575818	8718	3022.8486	2607.6576	2.64e+07	82.83979	-381359.9	0	4179.006	1111218	1462224	8_HMOX1	1	1	3	8.583333	1	1	5	.5244005	.3441025	.6652629	-.088585	-.0737913	.4954916	.3145723					2.141198	-.8537231	.3446772	.2854742	.1210967	-.0907253													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_F05	200910	1	XX001	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	0	0	1	12.675744						7	105	580937	8419	7232	14668	6366	69	7.911e+09	2	7203179	208674	137	419	226	110	23	773522	1776	2508.741	2218.8201	4455524	31.87016	-1.32e+07	0	4135.545	1203841	1500296	8_HMOX1	1	1	3	6.716667	1	1	5	.2993069	1.232001	.9993048	.7407855	-.7801644	.4249322	.5530241					-.272879	.5969185	-.7943937	-.7012515	-.8034983	-.7226751	.6306003	1.37281	1.260339	1.260339	.7197189	.2387225	.8483799	1.37281	1.073562	-.0710019	1.898029	1.073562	-.9182451
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_E07	200910	1	XX016	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	1	1	2	14.310429						22	120	620636	8166	8763	13279	5064	76	7.914e+09	2	972	453	11	12	12	11	18	651508	1456	1937.8235	1908.3543	2821471	-169.2565	-7537422	0				8_HMOX1	1	1	3	8.083333	1	1	5												.0944758	-.4051146	-1.005603	-.9378634	-1.338533	-.3707237	1.260339	1.505968	.9182451	2.34813	.7824294	-.0947312	.2387225	-2.34813	-2.34813	-2.34813	-2.341027	-2.34813	-2.34813
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_B08	200910	1	XX021	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	1	1	2	21.329958						27	125															39	701826	3664	1880.3021	1632.2272	6889427	102.1126	2996631	49	4365.886	1158965	1518569	8_HMOX1	1	1	3	8.416667	1	1	5	1.737194	.7575541	1.217197	.029494	-.2686029	-.8103805	.7441428					2.550635	-.0281681	-.5308747	-.4051146	-.6095368	.1822052													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_F07	200910	1	XX017	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	0	0	1	13.34885						23	121	536558	7891	6798	18906	6153	68	1.012e+10	1	7483005	235028	155	277	256	127	58	753804	3888	2651.6726	2434.188	1.03e+07	-81.71945	-1.24e+07	0	4250.249	1155122	1503765	8_HMOX1	1	1	3	8.15	1	1	5	.7801644	.7154047	1.049131	.9518433	.3616052	-1.173722	.2501529					-.1215874	.4358834	-.1841031	-.2854742	-.4032736	-.6463197	.5189816	.9929082	.7197189	.9182451	1.260339	.9929082	.7824294	1.505968	1.505968	.6894088	.3186394	1.672937	.0473125
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_F06	200910	1	XX009	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	1	1	2	9.502532						15	113															48	376176	3928	2069.9715	1625.6781	8130848	299.5825	4391414	0	3523.456	792077.9	1035568	8_HMOX1	1	1	3	7.233333	1	1	5	-2.104968	-2.488717	-1.737194	-2.104968	-1.88951	-1.478625	.5173122					-1.211232	-1.307593	-.3446772	-.2562565	-.5383123	.3067468													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_H06	200910	1	XX011	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	.7503616	1	2	14.310429						17	115															294	742221	23214	3163.4542	2766.5517	7.34e+07	34.18918	4.30e+07	0	4284.44	1182278	1469073	8_HMOX1	1	1	3	7.366667	1	1	5	.9064346	.8462095	.7801644	1.616981	1.516426	1.001768	-.1867561					.0944758	.2854742	2.535274	2.535274	1.726056	2.095297													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_D08	200910	1	XX023	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	1	1	2	10.848743						29	127																											8_HMOX1	1	1	3	8.533333	1	1	5												-.7890077																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_H08	200910	1	XX027	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	1	1	2	14.502745						33	131	43182	1489	863	471	59	29	20479074	3	7018323	220450	122		256	41	18	348573	1488	1392.4603	1363.0373	2071981	-65.10141	4482835	0	3856.243	876864.9	1136071	8_HMOX1	1	1	3	8.766666	1	1	5	-.7407855	-1.574445	-1.157523	-1.737194	-1.737194	-1.23942	-.7441428					.2173225	-1.453563	-1.005603	-.8950011	-1.605273	.338562	-1.672937	-1.906358	-2.34813	-2.34813	-2.34813	-2.34813	-2.34813	1.260339	1.161883	-.8483799		1.672937	-1.672937
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_A01	200910	1	NC832	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	0	0	1	18.44522	.3743256	.52324853	.170148	.4676496	1	1	1	519848	7534	5971	6343	1620	69	3.347e+09	1	5342895	190656	136	330	249	84	153	670920	12932	3687.3381	3188.5053	4.77e+07	55.49099	7348328	0	4238.278	1149200	1438433	8_HMOX1	1	1	1	3.583333	1	1	5	.7407855	.5578848	.4908544	1.429219	1.217197	1.580799	-.6648088	.9271548	-1.029957	-.5595922	-.3894143	1.562036	-.2562565	.5308747	.6656764	.9357584	.5037205	.6306003	.7824294	.3878687	.3373553	-.8483799	-1.260339	-1.260339	.2876889	.4921101	-.1662953	1.362383	1.314496	-1.161883
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_H05	200910	1	XX003	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	1	1	2	10.464111						9	107																							2	3734.06	1009922	1152924	8_HMOX1	1	1	3	6.85	1	1	5	-1.281552	-.1776799	-1.049131	1.157523	.6652629	1.173722	-1.403413					-.8846525																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_H07	200910	1	XX019	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	1	1	2	14.406587						25	123	768727	8178	6651	9336	2929	94	7.189e+09	2	7535447	265647	170	280	262	121	145	779294	11281	3231.8294	3009.7291	3.65e+07	-187.0803	308362	0	4372.791	1216805	1531504	8_HMOX1	1	1	3	8.283334	1	1	5	1.88951	1.574445	1.351702	1.88951	2.264727	.9019402	-.3145723					.1624294	.7377372	.4670705	.4670705	.5735608	0	1.672937	2.34813	.9929082	.7197189	.3373553	-1.073562	-1.073562	1.672937	2.34813	1.161883	.4484255	2.34813	-.3624964
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_G02	200910	1	NC846	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	.8103803	1	2	15.368166	.3062664	.61838462	.2041776	2.0264816	1	15	15	349311	6128	4760	10153	3310	57	3.326e+09	1	3298353	136219	130	237	168	123	65	713386	4791	4457.3949	3993.9848	2.14e+07	-133.8457	-3.78e+07	0	4238.267		1466740	8_HMOX1	1	1	1	4.633333	1	1	5	.7025232		.7407855	.2381501	1.737194	.2566249	-2.085356	-.4377901	.4307273	.1141853	.0760316	.5368115	.0845939	-.0140826	-.1128968	.0302049	-2.51073	-.3624964	-.3878687	-.3124258	-.2876889	-.9182451	-.9182451	-.7824294	-.9929082	-.9929082	-.3373553	-.5299395	-.7197189	-.1662953
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_E02	200910	1	NC844	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	1	1	2	13.156534	.3062664	.61838462	.2041776	1.6367736	1	13	13															40	726184	3072	3567.557	3065.7529	1.10e+07	81.9183	-2.65e+07	0	4263.484	1096952	1486928	8_HMOX1	1	1	1	4.5	1	1	5	.8628221	.2434042	.9064346	-.2381501	-.6469766	-.3904518	0	-.4377901	.0379883	.1141853	.0760316	-.1898044	.1128968	-.4828342	-.4670705	-.338562	-1.879026													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_D05	200910	1	NC867	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	1	1	2	10.848743	.3062664	.65009666	.170148	2.1823648	1	36	36	312487	6250	6095	17578	5861	50	5.456e+09	1	3199045	144347	121	215	177	134	223	823949	16583	3048.6582	2537.9059	5.06e+07	191.7295	2.55e+07	0	3994.222	988045.1	1334356	8_HMOX1	1	1	1	6.483333	1	1	5	-.2079166	-.4842547	-.1479871	-.7801644	-1.157523	.2895613	1.253905	-.4377901	.6275435	-.5595922	.2494273	-.7890077	1.244045	1.376912	1.130117	.9836224	1.416509	-.7507051	-.7824294	-.1903223	.4921101	0	.7197189	.7197189	-1.073562	-.7824294	-.9182451	-1.362383	-.4393922	.3878687
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_H01	200910	1	NC839	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	1	1	2	14.021955	.2722368	.50739251	.1361184	.2338248	1	8	8	250292	7585	6082	24450	8165	33	6.309e+09	1	2520476	105725	115	194	176	116	184	550358	14398	4054.4551	3622.9906	5.84e+07	-94.9004	7865326	0	3924.173	995372.3	1305361	8_HMOX1	1	2	1	4.116667	2	1	5	-.4578519	-.3441025	-.2993069	.2079166	.1479871	-1.389907	-1.071487	-1.238894	-1.549706	-1.4342	-.6508373	.0269563	-.9825221	.8950011	.8950011	1.086838	.5383123	-1.505968	-1.260339	.4393922	.4393922	.0473125	1.672937	1.672937	-1.37281	-1.37281	-1.161883	-1.663793	-.5189816	-.6020065
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_F03	200910	1	NC853	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	1	1	2	9.2140582						22	22	406988	6564	6230	10804	3074	62	4.642e+09	2	5622457	175392	155	304	199	122	44	653004	3648	2831.2911	2688.6425	1.03e+07	-205.1775	-1.83e+07	0	3817.424	969278.3	1296733	8_HMOX1	1	2	1	5.083333	2	1	5	-.9993048	-.5578848	-.3616052	-.8207921	-1.351702	-1.112734	-1.128144					-1.269393	-.3747248	-.3747248	-.4358834	-.3707237	-1.086838	.0236496	.1423641	-.0947312	.6020065	-.2876889	-.6020065	-.9182451	.5462332	.0947312	.6894088	.9803303	.2876889	-.2631268
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_A05	200910	1	NC864	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	1	1	2	6.4254781						33	33															131	732180	10208	3871.7783	3577.4402	3.95e+07	-223.3228	-9920946	0				8_HMOX1	1	2	1	6.283333	2	1	5												-2.141198	.1412905	.4051146	.4051146	.6463197	-.5383123													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_H02	200910	1	NC847	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	1	1	2	12.86806						16	16															100	696840	8168	2916.6192	2356.2312	2.38e+07	276.0803	2976070	13				8_HMOX1	1	2	1	4.7	2	1	5												-.2173225	-.1128968	.227256	.1984454	.0604375	.1515802													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_C05	200910	1	NC866	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	0	0	1	12.194954	.4083552	.76108877	.2041776	2.4161896	1	35	35	572724	5844	4546	25928	8432	98	1.493e+10	1	5888501	243097	149	257	204	163	129	532368	9336	3189.3944	2842.7333	2.98e+07	-30.60934	-2463163	0	3807.043	954175.1	1212469	8_HMOX1	1	2	1	6.4	2	1	5	-1.049131	-.8010945	-.8628221	-1.157523	.7025232	.1915416	1.868242	1.608653	.7990828	.1141853	.6275435	-.3867724	-1.078302	.3747248	.3149377	.2130021	-.1515802	1.906358	1.260339	-.4393922	-.6020065	2.34813	1.906358	2.34813	.6597193	1.672937	.5189816	-.0723697	.3878687	2.077713
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_B07	200910	1	XX013	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	0	0	1	14.406587						19	117	537769	9272	7636	16207	4604	58	8.969e+09	2	5125309	195471	149	238	178	154	158	738093	10803	2803.7413	2657.439	3.03e+07	-195.5614	2388525	35	3880.932	964612.8	1341952	8_HMOX1	1	2	3	7.5	2	1	5	-.5933586	-.5958401	-.029494	-.5585475	-.9518433	-.3228149	-.3472613					.1624294	.1984454	.6138328	.4358834	.2752391	.1210967	-.2631268	1.073562	1.672937	1.906358	.9929082	.4393922	0	.2387225	.8483799	.5189816	-.4752407	-.3624964	1.672937
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_E06	200910	1	XX008	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	1	1	2	11.137217						14	112	324791	6128	5368	22703	7701	53	7.239e+09	1	3431993	138308	143	229	167	113	199	610933	15829	2592.9876	2258.3041	4.10e+07	69.08803	2.25e+07	0	3885.68	1001429	1289988	8_HMOX1	1	2	3	7.166667	2	1	5	-.5585475	-.2766469	-.4253408	-1.101709	.5933586	.4599256	1.071487					-.6327733	-.7377372	1.029232	1.029232	.7226751	1.033853	-.6306003	-.6020065	-.3124258	-.0473125	.4393922	1.260339	1.260339	-.8483799	-.9182451	.1903223	-.8347719	-.7824294	-.7507051
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_G06	200910	1	XX010	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	.6531544	1	2	15.272008						16	114															56	635414	5847	1565.3285	1387.308	9152476	78.85834	1.10e+07	0	4067.866	1295955	1437596	8_HMOX1	1	2	3	7.3	2	1	5	-.0590137	2.488717	.4578519	-.2993069	-2.519125	0	-1.868242					.5059336	-.5635893	-.227256	.0281681	-.5037205	.6095368													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_H03	200910	1	NC855	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	1	1	2		.3062664	.65009666	.170148	1.7147152	1	24	24															0	1041063	0		2495.5751				0	4236.207	1212484	1564387	8_HMOX1	1	2	1	5.216667	2	1	5	.6289042	1.471982	1.88951	2.519125	.8207921	.0635016	.0619316	-.4377901	.1717471	-.5595922	.2494273		1.909639	-1.828892	-1.828892															
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_F02	200910	1	NC845	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	0	0	1	12.675744	.340296	.44396845	.170148	.0779416	1	14	14	390342	8674	5527	24115	6527	45	9.191e+09	1	3306405	150462	124	247	188	114	207	693886	16229	4339.0401	3664.6067	7.04e+07	140.1164	1.89e+07	0	4084.276	1226480	1334490	8_HMOX1	1	2	1	4.566667	2	1	5	.0590137	1.696752	-.1182339	-.8628221	1.049131	-1.702789	-2.502106	.313572	-2.428737	-.5595922	-1.549706	-.272879	-.1412905	1.130117	1.078302	1.416509	.9357584	-1.161883	.0947312	1.505968	.0947312	1.073562	1.505968	.9929082	-.9182451	-.6597193	-.6894088	-.2683089	-.0947312	-.6597193
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_A07	200910	1	XX012	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	1	1	2	16.522061						18	116	527388	7325	5841	22690	7870	72	1.223e+10	1	5514788	195073	162	231	223	140	247	800162	20288	3870.4495	3253.6072	7.85e+07	161.0605	3.67e+07	0	4073.106		1382940	8_HMOX1	1	2	3	7.433333	2	1	5	0		.1479871	.2686029	2.264727	.3228149	-.5894558					.7707414	.9825221	1.539856	1.758563	1.879026	1.879026	.9929082	.8483799	.3373553	.2387225	1.906358	1.161883	1.37281	.4393922	.7507051	.8483799	-.7683021	.9182451	.7197189
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_B01	200910	1	NC833	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	.0274265	0	1	10.944901	.340296	.4915365	.170148	1.2470656	1	2	2	374824	5512	4652	18025	6392	68	6.751e+09	2	4316999	156718	156	240	195	105	98	556407	7991	3087.9509	2761.2979	2.47e+07	-35.05641	-5656551	14	3890.375	958107.9	1250601	8_HMOX1	1	2	1	3.65	2	1	5	-.4908544	-.7154047	-.7801644	-.3616052	0	-.9019402	-.8729028	.313572	-.2494273	-.5595922	-.9982012	-.7349572	-.8950011	.1841031	.1697986	.0907253	-.2440025	.5189816	-.2876889	-.7197189	-.4393922	.0947312	.9182451	.9182451	-.2387225	-.6020065	.7824294	-.3957253	.1903223	-1.032396
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_D03	200910	1	NC851	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	1	1	2		.2722368	.52324853	.1361184	1.0911824	1	20	20															55	844862	5440	3109.3943	2624.9214	1.69e+07	148.8228	-1.02e+07	0	4300.123	1132048	1527437	8_HMOX1	1	2	1	4.95	2	1	5	1.049131	.4484255	1.281552	.1479871	-.1182339	1.389907	1.714594	-1.238894	-.3894143	-1.4342	-.3894143		1.376912	-.2562565	0	0	-.6095368													
