filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	pdia3_nwt	pdia3_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PDIA3_201202_E03	201202	1	NI811	insH2Bfabp	CD15	PDIA3	1	0	0	2	1	9	1	1	2	9.2492558	2.041776	1.2526253	.510444	5.455912	1	16	16	206681	4921	4488	17697	5842	42	3.258e+09	1	2024115	88108	116	236	114	87	101	383972	7388	24378.852	18847.938	1.80e+08	1179.276	-2.26e+08	1	3747.692	845701.6	1116676	36_PDIA3	1	1	1	2.633333	1	1	4	-.6095368	-.6095368	-.5735608	.2440025	-.5735608	.5851579	-1.079224	-1.605273	.6463197	.1822052	.9594156	-.5530241	-1.094332	-1.150349	-1.150349	-.0604375	-2.51073	-.4563363	-.8616341	-.7339767	-.3554904	.1631881	1.382994	1.085325	-1.00517	-.9310033	-.3554904	-.1631881	-1.382994	-1.085325
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PDIA3_201202_C02	201202	1	NI815	insH2Bfabp	CD15	PDIA3	1	0	0	2	1	9	.0373588	0	1							20	20	373536	4105	3546	9738	2879	91	3.539e+09	1	5170663	183722	169	320	180	112	158	517484	13220	8236.1809	7007.3058	1.09e+08	-340.8451	2.43e+07	0	4019.326	980912.2	1374850	36_PDIA3	1	1	1	2.883333	1	1	4	.0604375	.1822052	.338562	-.4697212	.2595891	.8369914	1.331797						-.2564297	-.3501975	-.0746714	-.762464	.338562	1.914506	.5620615	-1.515564	-1.173137	.3554904	-.2104284	-.5620615	.8616341	.9310033	1.515564	1.27107	.2581433	-.1397103
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PDIA3_201202_C03	201202	1	NI809	insH2Bfabp	CD15	PDIA3	1	0	0	2	1	9	1	1	2	13.023205	2.1778944	.44396845	.510444	6.0794448	1	14	14	340016	7392	5570	16483	4270	46	5.569e+09	2	4041752	128374	123	235	224	115	220	547676	15989	17878.953	14870.41	2.86e+08	-408.5885	-1.21e+07	49	4048.824	945726.3	1322318	36_PDIA3	1	1	1	2.533333	1	1	4	.2130021	-.0302049	.0302049	.1210967	-.2752391	2.064598	-.2628283	-1.086838	1.26794	.1822052	-1.726056	.2822162	-.1346898	.6193067	.3501975	.5383123	-.338562	-.3064536	.3064536	.8616341	.5084881	1.00517	1.00517	.4053977	.3554904	-.2104284	-.2104284	-.2581433	1.27107	.1163093
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PDIA3_201202_E02	201202	1	NI804	insH2Bfabp	CD15	PDIA3	1	0	0	2	1	9	.0658183	0	1	13.125203	2.2459536	.77694478	.6125328	4.8323792	1	9	9	300425	6009	4662	12906	5610	50	3.601e+09	1	4174500	140966	141	279	176	90	202	548382	17392	15904.087	12512.438	2.77e+08	528.5152	4.26e+07	79	4138.337	1017728	1367119	36_PDIA3	1	1	1	2.25	1	1	4	.3707237	.4032736	.2440025	.9836224	.2595891	.4011473	-.3591108	-.8459325	-.1210967	.9836224	-.9836224	.3145723	-.1046335	.3661064	.583549	.5037205	.5037205	-.1397103	-.2581433	-.0696849	-.2104284	.4053977	.4563363	1.00517	.4563363	.0696849	.5350828	.7339767	-.0232116	-1.00517
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PDIA3_201202_G01	201202	1	NI799	insH2Bfabp	CD15	PDIA3	1	0	0	2	1	9	0	0	1		2.2459536	.96721698	.510444	4.5206128	1	4	4	334269	5666	4341	14513	4271	59	4.789e+09	1	3843844	174038	151	312	150	128	147	403736	11120	9440.3985	7892.7814	1.05e+08	-230.1426	-3629414	56	3654.353	755097.6	1061871	36_PDIA3	1	1	1	1.95	1	1	4	-.8459325	-2.095297	-1.143064	-1.726056	-1.26794	-.9333305	-1.331797	-.8459325	-.6463197	.1822052	-.0907253		-.8122178	-.6744897	-.5485223	-.8034983	-.1210967	.3064536	.1163093	-.2581433	-.6744897	.7961826	.7339767	.4563363	.1163093	.7339767	1.128144	1.173137	-.6744897	.8616341
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PDIA3_201202_G02	201202	1	NI806	insH2Bfabp	CD15	PDIA3	1	0	0	2	1	9	0	0	1	7.8212751	2.2459536	1.014785	.7146216	4.2088464	1	11	11															161	309814	11902	8724.283	7872.9566	1.04e+08	-921.7756	-4232215	66	3786.583	822972.1	1201463	36_PDIA3	1	1	1	2.35	1	1	4	-.4697212	-.8459325	-.338562	-1.086838	-1.338533	-2.064598	-.1071952	-.8459325	-1.172581	1.975665	.045316	-1.099374	-2.514955	-.2564297	-.3501975	-.8899477	-.1822052													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PDIA3_201202_G06	201202	1	NI836	insH2Bfabp	CD15	PDIA3	1	0	0	2	1	9	.0802568	0	1	9.0452586	2.041776	.8879369	.6125328	5.7676784	1	41	41															211	446870	16372	9589.0845	8468.62	1.57e+08	-792.5867	3.28e+07	21	3733.954	923849.2	1121745	36_PDIA3	1	1	1	4.266667	1	1	4	-.6463197	-.1210967	-.5383123	.7226751	1.143064	-.2973049	-1.41001	-1.605273	1.033853	.9836224	-.4866505	-.6266873	-.4803868	.4471567	.4144133	-.2752391	.4032736													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PDIA3_201202_G03	201202	1	NI813	insH2Bfabp	CD15	PDIA3	1	0	0	2	1	9	1	1	2	8.4332669	2.0077464	.4915365	.4423848	4.8323792	1	18	18	248852	6549	6594	14438	4197	38	3.521e+09	1	2180285	90900	108	227	135	104	144	367825	11664	5746.5358	4750.4717	6.70e+07	-43.42002	4.37e+07	49	3785.66	776286.9	1073221	36_PDIA3	1	1	1	2.733333	1	1	4	-.5037205	-1.504199	-.8459325	1.338533	-.4032736	-.1305846	1.195972	-1.879026	-.1210967	-.1822052	-1.552754	-.7647097	-1.345167	-.7713894	-.4471567	-1.605273	.5383123	-.8957798	-.5084881	.4053977	1.382994	.3064536	.6744897	.3064536	-.8616341	-.7339767	-.6744897	-.4822482	-1.044409	-.5620615
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PDIA3_201202_C06	201202	1	NI833	insH2Bfabp	CD15	PDIA3	1	0	0	2	1	9	.0242283	0	1	13.533198	2.5181904	.80865682	.680592	5.1441456	1	38	38	403534	7912	6198	12488	3822	51	4.975e+09	1	4000125	125177	105	261	247	124	223	600376	18679	12937.684	10416.145	2.42e+08	150.9227	6.46e+07	33	4251.525	972717.6	1378633	36_PDIA3	1	1	1	4.066667	1	1	4	.9357584	.1515802	.4032736	-.4032736	.1822052	.3315094	-.6365926	-.1822052	.2752391	1.504199	-.7424226	.3970128	.1648683	.6933416	.8122178	.3067468	.8459325	-.0464357	.8616341	1.085325	1.00517	.8616341	.4053977	.1163093	.2104284	-.2581433	-.8616341	.4563363	1.681877	.7339767
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PDIA3_201202_G05	201202	1	NI829	insH2Bfabp	CD15	PDIA3	1	0	0	2	1	9	.0225854	0	1	9.5552517	2.4161016	.77694478	.680592	7.7162184	1	34	34	349885	5736	4620	14579	4249	61	5.497e+09	1	3789218	151754	127	256	185	120	184	465666	14117	11832.601	10447.347	1.67e+08	-992.6918	-1.09e+07	15	3964.238	913396.6	1246174	36_PDIA3	1	1	1	3.866667	1	1	4	-.0604375	-.2130021	-.1515802	-.762464	.338562	.2973049	.0152849	-.419708	2.095297	1.504199	-.9836224	-.4138112	-.4144133	.1046335	.0746714	-.1515802	-.2440025	.5620615	.4053977	-.1631881	-.3064536	.9310033	.7961826	.3554904	.0696849	.4053977	-.1163093	.3308726	.4563363	.4053977
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PDIA3_201202_D06	201202	1	NI838	insH2Bfabp	CD15	PDIA3	1	0	0	2	1	9	0	0	1	12.819208	2.3140128	1.3794734	.5444736	4.9882624	1	43	43	532465	8320	9527	20139	6544	64	1.064e+10	1	6002273	212717	151	283	214	146	259	654070	20560	11891.009	10035.026	2.44e+08	-425.0894	7.77e+07	16	4222.725	1115973	1323305	36_PDIA3	1	2	1	4.366667	2	1	4	.762464	1.033853	.0604375	.4032736	1.416509	-.3315094	-1.720366	-.7226751	.1058988	.419708	1.376475	.1710334	.4803868	1.094332	1.094332	.3707237	1.086838	.7647097	1.382994	1.515564	2.355084	2.355084	1.681877	1.914506	1.27107	1.515564	1.128144	.7961826	1.085325	1.681877
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PDIA3_201202_B06	201202	1	NI832	insH2Bfabp	CD15	PDIA3	1	0	0	2	1	9	0	0	1	15.675169	2.722368	.99892901	.7146216	5.84562	1	37	37															213	607566	16405	11882.373	10016.641	1.95e+08	-411.021	2.87e+07	12	4183.192	1136295	1467024	36_PDIA3	1	2	1	4.016667	2	1	4	.5735608	1.203157	.6095368	.9357584	1.504199		.4588506	.2130021	1.086838	1.975665	-.0302049	.9191355	.2564297	.4803868	.4471567	.0302049	.3707237													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PDIA3_201202_F01	201202	1	NI798	insH2Bfabp	CD15	PDIA3	1	0	0	2	1	9	1	1	2	7.7192765	2.7904272	.99892901	.4423848	4.5206128	1	3	3	61077	4363	3241	12454	4321	14	6.407e+08	2	1257301	50353	78	299	100	50	143	409576	11116	8731.5251	6768.6107	9.71e+07	449.275	1.90e+07	70	3331.738	717190.3	953472.3	36_PDIA3	1	2	1	1.883333	2	1	4	-2.51073	-2.51073	-1.879026	-2.095297	-1.143064	-.8369914	-1.59929	.3707237	-.6463197	-.1822052	-.0302049	-1.253905	-.7318081	-.8122178	-.583549	-.9836224	.1822052	-2.355084	-2.355084	-1.382994	-1.681877	-2.355084	.3554904	.5084881	-1.382994	-1.382994	-1.515564	.9310033	-1.515564	-1.914506
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PDIA3_201202_H05	201202	1	NI830	insH2Bfabp	CD15	PDIA3	1	0	0	2	1	9	.0103327	0	1	12.207216	2.5181904	1.1416332	.6125328	5.5338536	1	35	35															150	488562	10740	10414.296	9345.6214	1.12e+08	-1050.425	-3.62e+07	59	3873.877	908521.8	1283334	36_PDIA3	1	2	1	3.916667	2	1	4	-.338562	-.2440025	-.0604375	-.5037205	-.1822052	.6242437	-.231311	-.1822052	.7226751	.9836224	.5735608	-.0154736	-.3186394	-.5485223	-.7713894	-.6839988	-.6095368													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PDIA3_201202_B07	201202	1	NI840	insH2Bfabp	CD15	PDIA3	1	0	0	2	1	9	.0667544	0	1	16.185162	2.1098352	1.2209132	.5444736	5.6117952	1	45	45															251	670458	19751	15045.468	11713.629	2.97e+08	656.3828	8.49e+07	0	4250.847	1040712	1487391	36_PDIA3	1	2	1	4.866667	2	1	4	.8899477	.4697212	.6839988	-.1515802	.8034983	-1.296494	1.720366	-1.234901	.7828164	.419708	.86773	1.071487	.7318081	1.016222	.9438661	.6095368	1.143064													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PDIA3_201202_D05	201202	1	NI826	insH2Bfabp	CD15	PDIA3	1	0	0	2	1	9	1	1	2	17.715141	2.6202792	.72937674	.4764144	6.4691528	1	31	31	375911	6595	5138	22030	7407	57	7.984e+09	1	4177581	152310	141	260	177	124	221	555508	17536	8197.243	6737.1887	1.44e+08	-46.20271	6.65e+07	0	4185.706	966467	1355306	36_PDIA3	1	2	1	3.7	2	1	4	.6095368	.0907253	.1515802	-.3067468	.7226751		-.3266899	.0302049	1.605273	-.045316	-1.203157	1.253905	-.0447762	.6558747	.6193067	-.4032736	.8899477	.1867561	.6172997	.5084881	.3064536	1.914506	2.355084	2.355084	.5620615	.4563363	.5350828	.4053977	.0464357	.7339767
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PDIA3_201202_B02	201202	1	NI802	insH2Bfabp	CD15	PDIA3	1	0	0	2	1	9	0	0	1	13.533198	2.382072	.80865682	.5785032	4.4426712	1	7	7															155	536174	12209	16844.463	13843.01	2.06e+08	-174.2944	-6.44e+07	64	3880.664	896005.6	1249240	36_PDIA3	1	2	1	2.116667	2	1	4	-.2752391	-.2752391	-.1210967	1.416509	-.762464		-.1689275	-.5558502	-.8245299	.6463197	-.7424226	.3970128	-.2257079	-.4144133	-.3186394	.0907253	-.8899477													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PDIA3_201202_B08	201202	1	NI844	insH2Bfabp	CD15	PDIA3	1	0	0	2	1	9	1	1	2	6.8012889	.9868584	2.8065148	.2382072	4.7544376	1	49	49															160	360684	12760	9798.6711	8168.7573	1.25e+08	-212.6856	8934824	101	4034.77	797386.5	1052480	36_PDIA3	1	2	1	5.116667	2	1	4	.1210967	-1.143064	-1.203157	-1.879026	-1.504199	-1.465234	-.5995885	-2.51073	-.2440025	-1.086838	2.51073	-1.593219	-1.510357	-.3029805	-.1951978	-.5383123	.1515802													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PDIA3_201202_F05	201202	1	NI828	insH2Bfabp	CD15	PDIA3	1	0	0	2	1	9	.929571	1	2	7.5152793	2.55222	1.014785	.6125328	4.676496	1	33	33															184	447498	14953	6673.9329	5728.9633	9.98e+07	-324.408	4.99e+07	69	4539.826	1097849	1201837	36_PDIA3	1	2	1	3.8	2	1	4	2.095297	.9357584	-.3067468	1.605273	-.4697212	-.2634448	1.079224	-.1058988	-.3545969	.9836224	.045316	-1.324958	-.4471567	.1046335	.1951978	-.9357584	.5735608													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PDIA3_201202_H04	201202	1	NI822	insH2Bfabp	CD15	PDIA3	1	0	0	2	1	9	1	1	2	7.8212751	2.382072	1.1416332	.4083552	5.6897368	1	27	27	199386	6042	4436	12118	4182	33	2.408e+09	1	1900539	90169	106	163	149	105	109	325382	7312	10052.426	7951.762	7.35e+07	309.0472	-3.67e+07	21	3756.44	827832	1070514	36_PDIA3	1	2	1	3.5	2	1	4	-.5383123	-.6839988	-.8899477	-1.504199	.2130021	.9333305	-.9755887	-.5558502	.9126136	-.3869474	.5735608	-1.099374	-2.100166	-1.041553	-1.21023	-1.416509	-.6463197	-1.128144	-1.085325	-.0232116	-.5620615	-.5620615	.1631881	.2581433	-1.085325	-.7961826	-.7647097	-1.681877	-.7339767	-.5084881
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PDIA3_201202_H06	201202	1	NI837	insH2Bfabp	CD15	PDIA3	1	0	0	2	1	9	.0149877	0	1	12.819208	2.1778944	.93550494	.340296	5.6117952	1	42	42	386628	8226	5973	17418	4887	47	7.062e+09	1	3084062	137945	117	247	173	120	126	413548	9868	8556.0261	7029.7186	8.44e+07	-48.6784	-753560.6	6	3918.054	827413.3	1203228	36_PDIA3	1	2	1	4.316667	2	1	4	-.1515802	-.7226751	-.2752391	.6839988	-2.095297	1.039222	-1.260977	-1.086838	.7828164	-.7828164	-.2284748	.1710334	-.6558747	-.8982587	-.9915265	-1.203157	0	-.2581433	.7339767	1.382994	.7339767	1.382994	1.085325	.8616341	-.2581433	-.0696849	-.3064536	.1867561	-.1163093	.4053977
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PDIA3_201202_F06	201202	1	NI835	insH2Bfabp	CD15	PDIA3	1	0	0	2	1	9	.0403263	0	1	10.167243	1.7695392	1.0464971	.510444	7.014744	1	40	40	252089	6464	5297	12992	4353	39	3.388e+09	2	10796	2449	25	38	27	19	152	491356	11895	12372.44	10386.519	1.47e+08	-377.7348	-2.91e+07	51	3608.708	846389.4	1067718	36_PDIA3	1	2	1	4.2	2	1	4	-.9836224	-.5735608	-.9357584	.5735608	.3067468	.2634448	-.8814972	-2.095297	1.879026	.1822052	.1210967	-.3145723	-.2873955	-.4972006	-.3821084	-.3707237	-.5037205	-.7647097	-.4563363	.2581433	.4563363	.2104284	.5084881	.5620615	-2.355084	-2.355084	-2.355084	-2.355084	-2.355084	-2.355084
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PDIA3_201202_B05	201202	1	NI824	insH2Bfabp	CD15	PDIA3	1	0	0	2	1	9	0	0	1	7.9232738	2.6202792	.77694478	.5785032	5.6897368	1	29	29	329618	5494	4033	19595	6195	60	6.395e+09	1	2996106	120319	144	229	141	120	146	348546	11657	11291.991	8825.6166	1.32e+08	469.448	-2291650	0	3868.179	825633.9	1091479	36_PDIA3	1	2	1	3.6	2	1	4	-.4032736	-.8034983	-.6839988	-.8899477	-1.086838	.7054673	-1.49795	.0302049	.9126136	.6463197	-.9836224	-.9191355	-1.731664	-.7318081	-.4803868	-.5037205	-.0907253	.4307273	.0696849	-.4053977	-.9310033	1.27107	1.515564	1.173137	-.3554904	-.4053977	.7339767	-.3554904	-.8616341	.4053977
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PDIA3_201202_D08	201202	1	NI846	insH2Bfabp	CD15	PDIA3	1	0	0	2	1	9	.0087326	0	1	15.777168	2.382072	2.4893945	.2041776	4.676496	1	2	51															198	707448	17631	13379.742	10483.878	2.36e+08	509.334	5.70e+07	22	4379.779	1075718	1504558	36_PDIA3	1	2	2	5.216667	2	1	4	1.504199	.8899477	.8034983	-.2440025	1.203157	-.0325594	-1.135663	-.5558502	-.3545969	-1.26794	2.095297	.9674216	.9438661	.3186394	.6558747	.2752391	.6839988													
