filename	date	plate	index	gck_dich	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	qRNA	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCK_220608_E02	220608	1	MC612	1	insH2Bfabp	CD15	GCK	1	0	0	2	1	9	9.1227572	7.7927784	10.274698	2.382072	13.016247	1	13	13	97891	3916	3735	7801	2326	25	7.835e+08	1	784027	44731	70	170	108	80	68	299070	5888	3388.9241	3319.459	2.00e+07	-225.0008	1598083	8	3825.675	932372.8	1127517	150_GCK	1	1	1	2.85	4	1	1	5	-.697813	-.4806444	-1.017694	-.2263933	-1.504888	.2733094	-.7456442	-.6433454	.167894	-.9944579	-.0668933	-1.678071	-1.833915	-.0836517	.0167116	-.2219866	.1873945	-1.429788	-.9956002	-.3003779	-.2282596	-.2282596	.8366706	.4887764	-1.429788	-1.258162	-1.658472	-1.117247	-1.258162	-.9956002
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCK_220608_A01	220608	1	MC600	1	insH2Bfabp	CD15	GCK	1	0	0	2	1	9	10.195693	10.038732	9.1964893	2.2459536	12.236831	1	1	1															68	488046	5317	3663.685	3573.4905	1.95e+07	-243.4749	-3846510	0	3886.496	886121.2	1209553	150_GCK	1	1	1	1.65	4	1	1	5	-.5201756	-.7618428	-.6515277	-.1881663	.8468857	.8144545	-1.081642	-.2018935	-.4491363	-1.174987	-.7063026	-1.405072	.1340876	-.0836517	-.0668933	-.2568465	-.1873945													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCK_220608_C06	220608	1	MC632	1	insH2Bfabp	CD15	GCK	1	0	0	2	1	9	16.577346	12.454834	7.975576	4.934292	16.601561	1	31	31	220592	5380	5602	6698	2927	41	1.552e+09	1	3425233	112410	139	229	138	125	42	410880	2768	4265.8074	3791.9736	1.18e+07	106.4469	-1.58e+07	20				150_GCK	1	1	1	5.583333	4	1	1	5								.3406948	1.678071	2.053749	-1.361571	-.1004337	-.5244005	-.7063026	-.8180418	-.7621911	-.6325508	-.1749599	.1926639	.6965074	1.117247	.4117051	.3370077	1.054472	.264147	-.0522452	.4887764	-.017408	-.7188681	.3003779
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCK_220608_E05	220608	1	MC627	1	insH2Bfabp	CD15	GCK	1	0	0	2	1	9	13.855155	3.5390784	10.401546	2.4501312	14.10743	1	27	27															42	384126	3303	2963.8462	2996.6296	9789584	-277.4286	-2249784		3829.007	935856.9	1105237	150_GCK	1	1	1	5.116667	4	1	1	5	-.6515277	-.4377901	-1.081642	1.29875	-2.012971	-1.053073	-1.789531	-1.554774	.6027625	-.7949086	.1340876	-.6850168	-.6027625	-.7063026	-.6433454	-1.013522	-.0847849													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCK_220608_B02	220608	1	MC609	1	insH2Bfabp	CD15	GCK	1	0	0	2	1	9	11.161335	8.6094888	8.9903611	4.0154928	14.497138	1	10	10	242385	5509	4692	3396	1252	44	8.286e+08	1	3173599	112251	134	184	146	137	113	365450	9072	4567.374	3669.2381	4.14e+07	549.6902	1.62e+07	2				150_GCK	1	1	1	2.566667	4	1	1	5								-.4864239	.7949086	1.244452	-.8180418	-1.174987	-.7721932	.4491363	.5631492	.4745116	.7621911	-.0522452	.3003779	.8366706	.5688699	-.0522452	-.5688699	-.4499066	-.0522452	-.0871459	.3370077	-.9399909	-.4307273	1.150349
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCK_220608_C03	220608	1	MC618	1	insH2Bfabp	CD15	GCK	1	0	0	2	1	9	15.530349	7.7247192	10.052714	2.8244568	13.717722	1	18	18	94047	1881	1825	1522	480	50	1.496e+08	1	4164422	142187	164	288	168	116	91	462528	7328	4771.0933	4227.0892	3.50e+07	109.4679	-1152170	24	4104.134	977487.8	1288957	150_GCK	1	1	1	3.583333	4	1	1	5	.0922863	-.0385731	-.241944	.7344303	.7952457	-.0772036	.1293777	-.7063026	.4864239	-.4491363	-.2018935	-.2880175	0	.2706416	.2706416	.2219866	.0169375	.2104284	-1.117247	-1.429788	-1.258162	-1.258162	-1.429788	-1.534121	.6102946	.6965074	1.382994	1.339046	.4499066	.017408
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCK_220608_F08	220608	1	MC646	0	insH2Bfabp	CD15	GCK	1	0	0	2	1	9									347114	4084	3929	3660	1032	85	1.305e+09	1	5068199	163977	166	231	167	157	166	574712	13811	5109.7874	4710.4228	7.06e+07	-109.7622	2.50e+07	0	4217.341	1124841	1528738	150_GCK	1	2		7.183333	1	2	1	5	.7456442	.9881546	1.150349	.1124738	1.224965	.6624353	1.017694						.5244005	1.080319	1.281552	1.071858	1.13409	1.658472	1.184763	-.1573107	-.1573107	.1926639	-.4499066	-.6102946	1.258162	1.117247	1.534121	.0871459	.4117051	2.036834
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCK_220608_H01	220608	1	MC607	0	insH2Bfabp	CD15	GCK	1	0	0	2	1	9	14.702022	9.4261992	9.6246017	2.8244568	12.548598	1	8	8	242555	9329	6457	7789	3434	26	1.687e+09	1	2405250	101571	101	215	174	108	67	481912	4861	5477.6202	5638.816	2.66e+07	-813.5972	-3.71e+07	6	3821.515	896693.4	1249913	150_GCK	1	2	1	2.35	1	2	1	5	-.7456442	-.6151411	-.4784177	-.8906177	.241944	-.1940281	1.081642	-.3406948	-.167894	-.4491363	-.4864239	-.4864239	.0668933	-.167894	-.2018935	-.0169375	-1.671644	-1.297543	.3370077	2.460124	1.815517	.4887764	.7882413	1.429788	-.4499066	-.264147	-.5894558	-.2461637	.6314019	-.264147
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCK_220608_E01	220608	1	MC604	0	insH2Bfabp	CD15	GCK	1	0	0	2	1	9	17.06248	13.543781	6.976647	3.3008712	11.535357	1	5	5	33452	1454	1640	1374	611	23	47924524	1	3259680	80855	123	222	152	87										3856.166		1255206	150_GCK	1	2	1	2.133333	1	2	1	5	-.5628612		-.397259	-2.006752	.2041513	-.4377901	.4784177	.6027625	-.7721932	.2706416	-1.678071	-.0668933						-1.593219	-1.815517	-2.036834	-1.534121	-1.815517	-1.658472	-1.339046	.017408	-.6965074	-.1397103	-.1221531	-.1926639	-.8616341
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCK_220608_F05	220608	1	MC628	0	insH2Bfabp	CD15	GCK	1	0	0	2	1	9									283676	7274	5736	8011	2581	39	2.208e+09	1	2328658	106677	91	235	165	138	55	428666	3850	3232.6465	3084.72	1.24e+07	-110.3132	-1317270		4136.233	959229.4	1331470	150_GCK	1	2		5.183333	1	2	1	5	.397259	-.2733094	-.0184321	-.3433392	.5628612	1.053073	.7456442						-.3406948	-.4676988	-.4864239	-.6325508	-.0508319	-.3370077	.8871465	2.036834	1.339046	.741594	1.054472	.6527943	-.4887764	-.2282596	-.9399909	.2282596	.3740954	1.258162
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCK_220608_D06	220608	1	MC633	0	insH2Bfabp	CD15	GCK	1	0	0	2	1	9	15.425649	10.991561	9.4501855	3.7092264	11.613298	1	32	32	112023	3112	3422	5222	1935	36	5.509e+08	1	2184438	85836	130	197	148	97	64	346234	4379	3497.6501	3371.1893	1.53e+07	-175.9884	-4051855	2	4035.648		1264134	150_GCK	1	2	1	5.716667	1	2	1	5	-.1293777		-.3186394	-.6862788	-.3576728	-.313572	.166648	.0668933	-.6850168	1.022241	-.6027625	-.3406948	-.8656782	-.2533471	-.3054808	-.4745116	-.2219866	-.5894558	-.7882413	-.6527943	-.5283993	-.5688699	.1573107	.1573107	-.6527943	-.5688699	.1397103	-.7647097	-.3370077	-.4887764
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCK_220608_C02	220608	1	MC610	0	insH2Bfabp	CD15	GCK	1	0	0	2	1	9	11.268628	8.4733704	9.5770337	2.5181904	13.717722	1	11	11	97824	2275	1600	1367	393	43	1.358e+08	2	3672062	121468	149	281	191	81	57	294836	3712	3832.5738	3783.465	1.42e+07	-316.965	-1.32e+07	0	3639.474	811816.7	1090836	150_GCK	1	2	1	2.683333	1	2	1	5	-1.504888	-1.481544	-1.150349	.6396686	-2.439542	.0385731	-.3186394	-.5631492	.4864239	-.6850168	-.5244005	-1.022241	-2.053749	-.4124631	-.6027625	-.5916962	-.4745116	-.1221531	-1.054472	-1.184763	-1.658472	-1.339046	-1.815517	-1.815517	.3740954	.0871459	.741594	1.117247	.9399909	-.9399909
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCK_220608_F02	220608	1	MC613	0	insH2Bfabp	CD15	GCK	1	0	0	2	1	9	11.91239	15.075113	10.021002	3.232812	12.938306	1	14	14	190897	3602	2959	4327	1434	53	8.265e+08	1	2997697	121471	127	202	160	112	149	435918	10519	4445.1338	3653.9752	4.68e+07	445.0684	2.19e+07					150_GCK	1	2	1	2.972222	1	2	1	5								.7721932	.0836517	.0167116	-.236128	-.9153651	-.2018935	.9674216	.7721932	.6325508	1.013522	.4887764	-.1221531	-.4887764	-.741594	-.0871459	-.264147	-.264147	-.1221531	.1221531	-.017408	-.5688699	.1926639	-.1926639
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCK_220608_B01	220608	1	MC601	0	insH2Bfabp	CD15	GCK	1	0	0	2	1	9	15.774958	12.863189	9.8148739	3.0286344	12.548598	1	2	2															66	529498	5343	4160.3713	4080.5412	2.22e+07	-332.09	-1.10e+07	12	4115.253	998602.3	1431898	150_GCK	1	2	1	1.75	1	2	1	5	.2041513	.0772036	.397259	-.0374211	-.697813	-1.481544	-.6515277	.4124631	-.167894	-.2880175	-.3406948	-.236128	.3054808	-.2018935	-.0334279	-.1530252	-.3999556													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCK_220608_E04	220608	1	MC621	0	insH2Bfabp	CD15	GCK	1	0	0	2	1	9	7.1543778	7.7247192	10.908939	3.3008712	12.782422	1	21	21	169604	5140	5723	7538	2595	33	1.333e+09	1	2724490	97056	130	308	114	87	34	411125	2434	3459.3459	3309.8667	8420048	-143.5063	-9748169	0	3759.048	884655.8	1240148	150_GCK	1	2	1	4.55	1	2	1	5	-.9576579	-.8694237	-.5201756	-1.782751	-.6065981	-1.768825	-.7952457	-.7063026	-.0167116	.2706416	.4491363	-2.47474	-.4864239	-.8180418	-.9674216	-1.13409	-.3635204	-.9132499	-.3740954	.5283993	1.258162	.264147	.6527943	.6965074	-.3003779	-.3740954	.1397103	1.815517	-1.184763	-.8616341
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCK_220608_A03	220608	1	MC616	0	insH2Bfabp	CD15	GCK	1	0	0	2	1	9	13.855155	16.027942	7.5633196	2.211924	10.833882	1	16	16	211625	3848	4108	3432	1003	55	6.782e+08	1	3272739	123965	133	204	159	130	109	433506	8442	4353.3028	3775.1819	3.68e+07	213.3253	9477934	0	4011.248	1013526	1314826	150_GCK	1	2	1	3.3	1	2	1	5	-.166648	.1940281	-.0922863	-.7843482	.3186394	.0772036	1.504888	1.080319	-1.14229	-1.281552	-1.451407	-.6850168	-.236128	.4124631	.4491363	.2568465	.5127759	.5283993	.0522452	-.3740954	.0871459	-.4499066	-.5283993	-.6965074	.0871459	.1573107	.3003779	-.4692529	.0871459	.5688699
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCK_220608_G03	220608	1	MCX02	0	insH2Bfabp	CD15	GCK	1	0	0	2	1	9	8.0425763	12.012449	11.749308	4.2537	11.22359	1	11	60	299087	4903	4100	7470	2422	61	2.138e+09	1	4638357	139250	115	276	199	151	233	621642	17742	8482.5041	7443.9815	1.50e+08	107.5383	5.14e+07	0	3949.48	987970.3	1406417	150_GCK	1	2	2	3.983333	1	2	1	5	-.2800857	.0385731	.2800857	-.2649541	.0922863	-.5244005	.2041513	.3054808	-.9674216	1.451407	.9153651	-1.833915	.9674216	2.053749	1.833915	2.469942	2.048199	.9399909	.9399909	.4117051	.0522452	.6965074	.6102946	.5283993	1.117247	.6102946	-.3370077	1.054472	1.297543	1.815517
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCK_220608_B07	220608	1	MC635	0	insH2Bfabp	CD15	GCK	1	0	0	2	1	9	17.519642	20.689997	10.544251	3.1647528	15.58832	1	33	33	275099	4510	3346	10095	3131	61	2.675e+09	1	3724455	157869	123	256	177	135	19	437820	1744	4926.6823	4133.3043	8592134	373.3152	-2.57e+07	0	4090.513		1345870	150_GCK	1	2	1	6.216667	1	2	1	5	.0553215		.0184321	-1.008045	-.5201756	-.8694237	-.1293777	1.833915	1.451407	-.0836517	.2018935	0	-.167894	-1.361571	-1.320504	-1.071858	-1.13409	.9399909	.7882413	.0871459	-.5688699	1.184763	1.658472	1.258162	.4499066	1.054472	-.1397103	.5894558	.6965074	.9399909
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCK_220608_H04	220608	1	MC624	0	insH2Bfabp	CD15	GCK	1	0	0	2	1	9	11.237664	11.365886	10.369834	3.40296	13.483897	1	24	24	377759	4342	3504	4575	1282	87	1.709e+09	1	6085185	179974	178	250	199	147	206	823004	16825	6345.241	5557.2096	1.07e+08	148.2238	4.46e+07	0	4483.754	1205486	1610265	150_GCK	1	2	1	4.833333	1	2	1	5	1.504888	1.281552	1.504888	1.623523	1.789531	.5691847	.697813	.184867	.2706416	.4124631	.0334279	-1.080319	1.554774	1.451407	1.451407	1.671644	1.444321	1.914506	1.429788	-.017408	-.3740954	.5283993	-.1221531	-.3740954	1.534121	1.339046	2.036834	.3928308	1.297543	1.658472
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCK_220608_E07	220608	1	MC638	0	insH2Bfabp	CD15	GCK	1	0	0	2	1	9	13.017558	18.886428	11.004075	1.9737168	11.457415	1	36	36	261216	5442	4068	9455	3081	48	2.427e+09	1	2902135	128629	113	256	156	102	107	535634	7416	5377.0881	5097.1206	3.99e+07	-288.8366	-1.33e+07	11	4150.05	1160759	1449723	150_GCK	1	2	1	6.466667	1	2	1	5	.4784177	1.19838	.4784177	-.9476973	.397259	.1940281	1.224965	1.361571	-.8656782	-1.750686	.5244005	-.8656782	.3763366	.3763366	.3054808	.3635204	-.5127759	.0871459	.5283993	.7882413	.017408	.9956002	1.258162	1.184763	-.1926639	.3003779	-.4117051	.5894558	0	-.4117051
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCK_220608_D03	220608	1	MC619	0	insH2Bfabp	CD15	GCK	1	0	0	2	1	9	17.624342	5.7169728	8.3085524	2.6883384	12.392714	1	19	19	213937	5943	5688	2316	867	36	4.634e+08	1	2522336	98294	131	199	163	96	114	328100	9413	4360.5729	4160.2397	4.10e+07	-223.8864	6239320	0				150_GCK	1	2	1	3.741667	1	2	1	5								-1.14229	-.3406948	-.5436728	-1.281552	.0334279	-1.080319	.4864239	.6027625	.3999556	.3635204	-.5894558	.0871459	1.117247	1.184763	-.6527943	-1.117247	-1.054472	-.3740954	-.3003779	.2461637	-.6527943	.3186394	-.5688699
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCK_220608_B04	220608	1	MCX04	0	insH2Bfabp	CD15	GCK	1	0	0	2	1	9	16.564475	10.106791	11.241915	3.7092264	11.067707	1	13	62	216595	4165	3645	3547	1152	52	7.978e+08	1	3702059	120616	155	263	146	116	55	272102	3791	2963.7106	2833.665	1.12e+07	-89.44997	2384650	0				150_GCK	1	2	2	4.258333	1	2	1	5								-.1509692	-1.080319	1.022241	.6027625	-.1340876	-2.47474	-.4676988	-.5244005	-.8561915	.2219866	.4499066	.1221531	-.1221531	-.264147	-.1926639	-.4887764	-.5283993	.4117051	.0522452	.8871465	.8616341	-.4307273	.017408
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCK_220608_D08	220608	1	MC644	0	insH2Bfabp	CD15	GCK	1	0	0	2	1	9									194829	5412	5362	13841	5847	36	2.687e+09	1	2557489	92149	103	248	179	89	68	486838	5271	5082.7921	4573.1071	2.68e+07	21.74936	-1.61e+07	2	3922.937	926211.9	1349713	150_GCK	1	2		7.033333	1	2	1	5	-.437478	-.5244005	.0553215	-.4651961	-.4784177	-.7618428	-.3576728						.1004337	-.0836517	-.1004337	.0169375	-.6744897	-.5894558	-.0522452	.741594	.9956002	1.258162	2.460124	2.460124	-.3370077	-.4117051	-.5283993	.3370077	.7647097	-.7882413
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCK_220608_H06	220608	1	MC634	0	insH2Bfabp	CD15	GCK	1	0	0	2	1	9									322209	6576	7432	8010	2565	49	2.513e+09	1	4368690	140869	156	284	152	112									16	4169.833	1081505	1524955	150_GCK	1	2		6	1	2	1	5	.6065981	.6624353	1.081642	-.3039132	.2800857	-.8144545	.3576728											.1221531	1.054472	1.339046	2.460124	1.117247	.9956002	.6102946	.8366706	.6527943	.9674216	1.22064	-.1926639	-.1926639
InsH2Bfabp_CD15_09dpf_VAST02_plate01_GCK_220608_C05	220608	1	MC626	0	insH2Bfabp	CD15	GCK	1	0	0	2	1	9	19.299536	2.5862496	12.383548	3.5390784	10.522116	1	26	26	164669	4705	5025	5211	2109	35	8.165e+08	1	508	291	9	10	9	9	268	826954	19231	5546.8183	5404.9266	1.07e+08	-474.4148	4.75e+07	0	4365.233	1239954	1632680	150_GCK	1	2	1	5.016667	1	2	1	5	1.399161	1.481544	1.630759	.8906177	1.630759	.313572	1.789531	-1.678071	-1.451407	.6640369	1.451407	.3406948	1.678071	2.47474	2.053749	1.548003	1.671644	-.741594	-.4117051	.1573107	.6965074	-.1573107	.1221531	.2282596	-2.460124	-2.460124	-2.460124	-2.200411	-2.460124	-2.200411
