filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	ssr1_nwt	ssr1_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SSR1_201209_A03	201209	2	NJ506	insH2Bfabp	CD15	SSR1	1	0	0	2	1	9	1	1	2	7.9044073	3.5050488	1.1099211	.8847696	3.89708	1	28	77															110	761746	8256	5721.0654	4723.3981	4.72e+07	298.1963	1097389	47	4034.458	1058507	1489066	39_SSR1	1	1	2	5.583333	1	1	5	.3420896	1.090278	1.204629	.9262218	.5380375	.1311557	.7839476	.3365792	0	-.5741128	-1.421957	-.8727259	1.299424	-.3884616	-.4846749	-.5907506	-.0685944													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SSR1_201209_A06	201209	1	NJ464	insH2Bfabp	CD15	SSR1	1	0	0	2	1	9	1	1	2	12.405347	3.232812	1.5380336	1.4632728	3.8191384	1	35	35	530449	7168	5789	10109	3474	74	5.764e+09	1	5776348	213733	163	270	216	131	149	663868	11603	5088.3933	4800.9178	5.90e+07	-424.8819	1.12e+07	22	4117.725	1002012	1384047	39_SSR1	1	1	1	2.683333	1	1	5	.7057961	.5842456	.5153632	.7313475	1.126763	.4995509	.838812	.0097158	-.0388722	.5513477	-.3365792	.3289579	.5513477	.3780057	.3989603	-.0293788	.3497018	1.144237	1.955661	.9878373	.7817808	1.194396	-.1269375	.0760316	1.304923	1.508944	1.470545	.5448472	1.247754	.8708457
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SSR1_201209_A09	201209	1	NJ485	insH2Bfabp	CD15	SSR1	1	0	0	2	1	9	1	1	2	16.062696	4.8662328	2.949219	1.9737168	8.8074008	1	7	56	453514	5273	4976	12099	3670	86	5.421e+09	1	6080444	211977	142	270	245	148	326	822738	26366	7892.4759	6627.0011	2.08e+08	249.5619	1.19e+08	0	4439.751	1144086	1598407	39_SSR1	1	1	2	4.2	1	1	5	2.657425	1.917944	2.263221	2.060298	.7057961	.4267448	-.1585597	1.641107	1.299424	1.570585	1.866185	1.250992	1.641107	2.662688	2.662688	1.921351	2.660068	1.593219	1.096804	-.4727891	-.1014517	1.096804	.3894143	.2822162	1.4342	1.366707	.4586791	.5448472	2.572352	1.807354
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SSR1_201209_A08	201209	1	NJ477	insH2Bfabp	CD15	SSR1	1	0	0	2	1	9	.7789414	1	2	7.4571692	2.2459536	1.997858	1.2931248	2.9617808	1	48	48	175613	5322	3983	12490	5067	33	2.146e+09	1	2344796	96488	104	222	174	87	121	383232	9285	5637.9374	4544.6452	5.23e+07	423.5359	1.02e+07	7	3728.458	831615.3	1058103	39_SSR1	1	1	1	3.733333	1	1	5	-.8963259	-1.090278	-1.562755	1.021354	.7839476	1.281552	-1.126763	-.9368471	-.7431938	.0583267	.5741128	-1.06018	-1.924727	-.2153976	-.2353289	-.3289579	.3289579	-1.876359	-1.4342	-.4446598	-1.096804	-.7817808	.5302197	1.304923	-1.247754	-1.247754	-1.593219	-.4869939	-.0506606	-1.470545
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SSR1_201209_G07	201209	1	NJ475	insH2Bfabp	CD15	SSR1	1	0	0	2	1	9	.9696274	1	2	6.9193238	2.55222	1.9027219	1.2931248	2.4161896	1	46	46	165041	3751	2888	7614	2630	44	1.232e+09	1	3297947	109804	110	323	150	95	124	428508	8835	5127.4187	4451.9971	4.53e+07	21.06635	5256464	32	3874.301	912813.4	1147869	39_SSR1	1	1	1	3.633333	1	1	5	-.2391057	-.3212361	-.838812	1.440923	-.5380375	-.0217985	-2.060298	-.6088322	-1.507108	.0583267	.4956306	-1.295022	-1.06512	-.1364407	-.2957227	-.6868337	.0685944	-.8166274	-1.508944	-1.807354	-1.807354	-1.247754	-.7478586	-.6198546	-.4446598	-.714776	-1.275817	1.4342	-.8166274	-1.194396
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SSR1_201209_D05	201209	1	NJ459	insH2Bfabp	CD15	SSR1	1	0	0	2	1	9	.0205149	0	1	7.3496001	1.5653616	1.4746095	.0680592	2.6500144	1	30	30	232624	4154	4226	2203	551	56	5.342e+08	1	3826220	138033	134	235	168	120	90	450830	8285	5114.0554	4053.0189	4.24e+07	473.0048	1.13e+07	63	3827.698	884595.9	1194644	39_SSR1	1	1	1	2.383333	1	1	5	-.5153632	-.5153632	-.6078197	-.6078197	.0988469	2.623793	-.1187015	-1.866185	-1.136341	-2.42039	-.4521474	-1.150349	-.9071243	-.6806009	-.4629351	-.8727259	.3705973	.0887345	-.7817808	-1.593219	-.8894945	-2.166107	-2.166107	-2.166107	-.0253222	-.1014517	.0506606	-.1781746	-.2298841	.152506
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SSR1_201209_A03	201209	1	NJ443	insH2Bfabp	CD15	SSR1	1	0	0	2	1	9	1	1	2	16.170265	4.4919072	1.5063215	2.041776	7.2485688	1	14	14	249335	5667	4559	9814	3921	44	2.297e+09	1	3319791	116699	135	203	190	97	174	740566	14504	6689.1099	5800.7299	9.70e+07	9.820752	2.67e+07	9	4021.369	995192.9	1420070	39_SSR1	1	1	1	1.233333	1	1	5	.3212361	.5380375	.7573856	.838812	.3005213	.7959055	.4488452	1.346025	.8360962	1.720887	-.4200915	1.295022	1.06512	.6684036	.822394	.8167654	.8444151	-.8166274	-.6198546	-.1014517	-.5302197	-.6508373	-.2039612	.4727891	-.416878	-.5302197	.1269375	-1.144237	.5448472	-.9878373
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SSR1_201209_D03	201209	2	NJ509	insH2Bfabp	CD15	SSR1	1	0	0	2	1	9	0	0	1	17.689076	3.3349008	2.2039862	1.0889472	3.117664	1	31	80	268221	5364	4984	9365	2937	50	2.745e+09	1	3150878	127259	127	219	186	96	103	538720	7783	6679.7949	6261.973	5.20e+07	-537.4112	-2.87e+07	10	3800.69	930279.3	1194465	39_SSR1	1	1	2	5.8	1	1	5	-.6078197	-.1585597	-.6317365	.0592463	.9886495	.1531742	-1.05519	.0973095	-.5177236	-.2855879	.9218839	1.717228	-.3572158	-.441412	-.5288648	-.3705973	-.9017541	-.3353332	-.4727891	-.3353332	-.0506606	-.3086658	-.3353332	-.3622413	-.5302197	-.2822162	-.4586791	-.6508373	.3353332	-1.096804
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SSR1_201209_A04	201209	1	NJ450	insH2Bfabp	CD15	SSR1	1	0	0	2	1	9	0	0	1	5.951202	2.2459536	1.6173136	.7146216	4.5206128	1	21	21	359893	5713	5203	12213	3117	63	4.345e+09	2	4141488	178882	142	241	161	144	164	398404	13654	5791.9887	5230.8311	7.91e+07	-222.6656	2.16e+07	27	3694.879	766611.9	1070006	39_SSR1	1	1	1	1.833333	1	1	5	-1.05519	-1.713535	-1.337369	-2.060298	-1.499059	-2.623793	-.4707836	-.9368471	.1955515	-.8499573	-.1168527	-1.809892	-1.449182	.5741128	.7178201	.4559339	.763253	.5894558	.2039612	-.0253222	.2039612	.5302197	.416878	-.1653267	.2039612	.852495	.4586791	.0126601	-.3622413	1.508944
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SSR1_201209_D02	201209	1	NJ438	insH2Bfabp	CD15	SSR1	1	0	0	2	1	9	1	1	2	19.074631	3.232812	2.965075	1.6674504	9.352992	1	9	9	529256	5753	5836	12356	3784	92	6.415e+09	1	7252704	234262	158	487	184	111	208	769340	15774	8091.6932	6937.3113	1.28e+08	86.88512	3.18e+07	40	4232.401	1047246	1441005	39_SSR1	1	1	1	.9166667	1	1	5	1.387287	.9262218	.9262218	.9886495	1.021354	1.760867	.1986715	.0097158	1.449182	.9989282	2.066729	2.063528	1.449182	1.100033	1.136341	1.250992	1.026433	1.955661	1.807354	.0506606	.8166274	1.366707	.4446598	.3353332	1.807354	1.955661	1.144237	2.572352	.3086658	-.2690661
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SSR1_201209_G08	201209	1	NJ483	insH2Bfabp	CD15	SSR1	1	0	0	2	1	9	.9867458	1	2	11.222087	3.4369896	1.2050572	.7486512	2.8838392	1	5	54															17	603086	992	4630.6573	5217.3458	4593612	-1368.27	-5.26e+07	300				39_SSR1	1	1	2	4.075	1	1	5								.2353289	-.8360962	-.7690553	-1.118003	-.0293788	.1560812	-2.066729	-2.269206	-2.660068	-1.566689													
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SSR1_201209_G01	201209	2	NJ499	insH2Bfabp	CD15	SSR1	1	0	0	2	1	9	1	1	2	10.538741	3.6071376	1.014785	1.6674504	2.5720728	1	21	70															126	451744	10283	5082.035	4737.9303	5.23e+07	-357.7821	5796673	1	3684.2	825484.3	1217882	39_SSR1	1	1	2	5.216667	1	1	5	-1.090278	-1.204629	-.4488452	.6560203	-1.290577		-.7573856	.4521474	-1.277147	.9989282	-1.679661	-.2573935	-.8499573	-.0875522	.0388722	-.3497018	.088238													
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SSR1_201209_A01	201209	2	NJ493	insH2Bfabp	CD15	SSR1	1	0	0	2	1	9	1	1	2	14.552964	3.40296	1.7441618	1.7355096	3.9750216	1	15	64															114	459077	9332	5211.1406	4675.929	4.86e+07	-156.3685	3560056	112	3828.188	838568.8	1183220	39_SSR1	1	1	2	4.85	1	1	5	-.4929509	-1.021354	-.7573856	-.1386031	-.3212361	-.4267448	.7057961	.1757821	.0194324	1.118003	.2353289	.9938159	-.7178201	-.3468791	-.2153976	-.5221549	-.0097917													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SSR1_201209_A05	201209	1	NJ456	insH2Bfabp	CD15	SSR1	1	0	0	2	1	9	1	1	2	10.684242	2.6543088	2.0612821	.2382072	2.727956	1	27	27															200	570140	16132	6462.7776	5947.2706	1.04e+08	-387.4122	3.07e+07	58	3955.484	937008.4	1307694	39_SSR1	1	1	1	2.216667	1	1	5	.0988469	-.0394847	.0988469	-.6560203	-.2391057		.1785797	-.4846749	-.9989282	-1.570585	.656305	-.167232	-.0973095	.9989282	1.193795	.9622232	.9938159													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SSR1_201209_A01	201209	1	NJ430	insH2Bfabp	CD15	SSR1	1	0	0	2	1	9	1	1	2	17.676232	5.3086176	2.3466904	1.9396872	9.1191672	1	1	1	226232	4713	5239	4772	1457	48	1.002e+09	1	3363954	115794	141	241	161	97	130	751472	9742	6888.3148	6429.547	6.71e+07	-524.3217	-1.73e+07	98	4062.199	966795.9	1320718	39_SSR1	1	1	1	.4166667	1	1	5	.5153632	.2391057	.1986715	.4929509	.0296102	.065437	-.7057961	2.066729	1.370462	1.507108	1.136341	1.637325	1.136341	-.029151	-.0583267	.2070927	-.5447325	-.4446598	-.8894945	-.8166274	.2559625	-1.4342	-1.508944	-1.508944	-.3353332	-.6198546	.3487557	.0126601	-.3622413	-.9878373
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SSR1_201209_A04	201209	2	NJ513	insH2Bfabp	CD15	SSR1	1	0	0	2	1	9	1	1	2	11.667741	3.0286344	1.9027219	.8167104	3.0397224	1	35	84	305686	7278	6404	17541	4779	42	4.801e+09	1	3572782	121618	131	252	161	101	278	643350	19796	7439.815	6518.851	1.47e+08	-76.97083	6.08e+07	50	4067.277	938070.1	1350790	39_SSR1	1	2	2	6.166667	2	1	5	.5380375	0	.3420896	-.2391057	-.3005213	-.1531742	-.9262218	-.2353289	-.6443017	-.7053055	.4956306	.1177699	.4629351	1.720887	1.570585	1.445073	1.566689	-1.029957	-.2039612	1.096804	1.194396	.7817808	1.955661	.9674216	-.1781746	-.3894143	-.152506	.1653267	-.3622413	-.7478586
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SSR1_201209_B08	201209	1	NJ478	insH2Bfabp	CD15	SSR1	1	0	0	2	1	9	.027027	0	1	12.943193	2.6883384	1.9185779	1.3952136	3.7411968	1	49	49	447399	7989	5382	14436	5223	56	6.203e+09	1	4390785	173640	130	264	215	114	165	604811	11406	5370.132	5017.8145	6.13e+07	-396.0952	8507986	27	4125.492	1013257	1378409	39_SSR1	1	2	1	3.783333	2	1	5	.8110746	.6806974	.4929509	-.0197385	1.246452	.3100516	1.713535	-.441412	-.0875522	.3780057	.5288648	.4998403	.1757821	.5971794	.3365792	.0097917	.167232	.0887345	.9674216	1.508944	.3353332	1.247754	1.051717	1.593219	.4727891	.6824579	-.2298841	.416878	1.194396	-.1269375
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SSR1_201209_B02	201209	1	NJ437	insH2Bfabp	CD15	SSR1	1	0	0	2	1	9	1	1	2	20.042752	2.6883384	2.1881302	.7146216	3.0397224	1	8	8	236318	6752	5555	10989	3578	35	2.363e+09	1	2423453	92292	123	217	118	107	142	612782	10391	7501.8985	6135.6691	7.80e+07	431.9921	118845.9	79	3744.96	867922.7	1217822	39_SSR1	1	2	1	.8333333	2	1	5	-.8110746	-.6317365	-.4707836	-.9886495	-1.126763	-.3100516	.4929509	-.441412	-.6443017	-.8499573	.822394	2.660068	.2553541	.2353289	.0778033	.3916559	-.1079158	-1.508944	-.714776	.6508373	.5894558	-.5894558	.2298841	.152506	-1.096804	-1.304923	-.6824579	-.7312173	-1.955661	-.4869939
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SSR1_201209_G03	201209	1	NJ448	insH2Bfabp	CD15	SSR1	1	0	0	2	1	9	.0286559	0	1	10.361535	3.1647528	1.1416332	1.5653616	3.3514888	1	19	19	428684	9121	7920	16107	4971	47	6.864e+09	1	3985337	158793	136	237	179	125	122	587038	8622	5947.5563	5123.2225	5.13e+07	58.39868	-3829734	25	3816.376	930847.5	1292486	39_SSR1	1	2	1	1.55	2	1	5	-.5380375	-.1386031	-.0197385	-.8110746	1.090278	.6541061	1.633508	-.107076	-.3365792	.8088444	-1.255486	-.2981024	.0778033	-.1856577	-.3780057	-.4128896	-.2271431	-.5157048	.852495	2.166107	2.166107	1.593219	1.366707	1.051717	.0760316	.3353332	.191052	-.152506	.1397103	.5302197
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SSR1_201209_H07	201209	1	NJ476	insH2Bfabp	CD15	SSR1	1	0	0	2	1	9	1	1	2	14.44916	2.9265456	1.6965937	1.1570064	3.0397224	1	47	47	268842	4407	3969	15127	4202	61	3.989e+09	1	2706749	108850	120	213	140	113	189	554660	14767	5537.1218	4955.0995	8.18e+07	-155.9651	3.04e+07	132	3870.283	869388.1	1255461	39_SSR1	1	2	1	3.683333	2	1	5	-.2799348	-.6078197	-.2594662	-.8963259	-.2799348	.4507442	-1.246452	-.326315	-.6443017	-.1955515	.0973095	.9315628	-.2153976	.9218839	.9368471	.4998403	.9622232	.4031081	-.416878	-1.096804	-1.144237	.3622413	1.194396	.5894558	-.9277537	-.8166274	-.8166274	-.8166274	-1.144237	-.2039612
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SSR1_201209_E03	201209	2	NJ510	insH2Bfabp	CD15	SSR1	1	0	0	2	1	9	.9853011	1	2	13.047631	2.5862496	1.6331696	.6465624	2.8838392	1	32	81															211	531616	16564	7009.1282	6160.472	1.16e+08	-89.70419	3.77e+07	22	3953.239	974796.1	1256926	39_SSR1	1	2	2	5.85	2	1	5	.0790311	.3420896	-.2188439	.1986715	.6806974	1.666308	-.4929509	-.5513477	-.8360962	-.9520231	-.0680618	.6142313	-.3989603	1.234399	1.255486	1.169537	1.250992													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SSR1_201209_B07	201209	1	NJ470	insH2Bfabp	CD15	SSR1	1	0	0	2	1	9	.0233896	0	1	12.512916	3.7772856	1.8551539	1.3952136	3.507372	1	41	41	394869	7450	5503	10745	3618	53	4.308e+09	1	4627726	190678	126	262	244	129	124	756749	8918	5693.7054	5298.8773	5.08e+07	-400.3066	-8275579	30	4223.433	1055082	1489814	39_SSR1	1	2	1	3.383333	2	1	5	1.246452	1.021354	1.246452	.3005213	1.290577	1.332766	.6078197	.656305	-.2553541	.3780057	.4200915	.3916559	1.255486	-.1364407	-.2754823	-.477772	-.3083546	-.1014517	.5012977	1.194396	.4727891	.4727891	.1781746	.1781746	.6198546	1.096804	-.5595922	.3622413	2.166107	.7647097
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SSR1_201209_E07	201209	1	NJ473	insH2Bfabp	CD15	SSR1	1	0	0	2	1	9	.9287505	1	2	8.3177219	2.3140128	1.5538896	.5785032	2.6500144	1	44	44															73	450948	5262	4475.3559	4434.89	2.35e+07	-611.0455	-1.61e+07	58	3937.701	863346.9	1234555	39_SSR1	1	2	1	3.533333	2	1	5	-.0394847	-.6560203	-.3420896	-.4707836	-.8672103	-.6541061	-.7313475	-.7954417	-1.136341	-1.015059	-.2855879	-.7118422	-.878182	-.8499573	-1.100033	-1.341718	-.477772													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SSR1_201209_E02	201209	1	NJ439	insH2Bfabp	CD15	SSR1	1	0	0	2	1	9	1	1	2	18.321647	4.5259368	3.2504833	1.9056576	6.9368024	1	10	10	227156	4454	3678	7604	2461	51	1.597e+09	1	3096240	122010	126	197	176	117	269	680606	20788	8792.966	7437.049	1.83e+08	205.3472	7.57e+07	30	4089.81	1077468	1486913	39_SSR1	1	2	1	.9833333	2	1	5	.5842456	1.126763	1.164814	-.6317365	.4929509	-1.447253	0	1.395747	.7178201	1.449182	2.662688	1.921351	.5971794	1.641107	1.720887	1.717228	1.921351	-.2559625	-.852495	-.9674216	-1.304923	-1.008673	-.7817808	-.8166274	-.5894558	-.3622413	-.5595922	-1.194396	.0379883	0
