filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	glo1_nwt	glo1_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLO1_200914_G06	200914	1	NC493	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	1	1	2	13.46881	.3743256	.4915365	.3062664	2.5720728	1	37	37															0	1117459	0		3341.5313				36	4383.359	1229067	1503541	9_GLO1	1	1	1	6.6	1	1	4	.72234	.6084982	.1722413	.4267448	-2.02629	-.6256698	1.271531	.1276354	-.2675282	-.3186394	.167232	-.8499573	1.722905	-1.436207	-1.436207															
InsH2Bfabp_CD15_10dpf_VAST02_plate02_GLO1_200914_C01	200914	2	NC518	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	.9677655	1	2	16.743389	.4083552	.53910454	.4423848	2.4941312	1	13	62	616611	6045	5346	7868	2780	102	4.706e+09	1	8313053	270367	188	323	228	136	83	712146	6425	3500.1921	2878.6793	2.25e+07	174.3876	-5835081	0	4360.298	1165769	1583737	9_GLO1	1	1	2	8.983334	1	1	4	.5641537	.2905068	.5392076	.0436074	-.1073266	-.0225842	.200988	.2675282	-.3393116	.5561256	.3497018	-.0973095	-.7044829	.2631268	.2023762	.1256613	-.2389929	1.742647	1.358142	-.2503385	-.0437342	.9144792	-.1610005	.0437342	1.288206	1.622711	1.522408	.7887937	.8499573	.1757821
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLO1_200914_A04	200914	1	NC477	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	1	1	2	20.28477	.4083552	.20612821	.340296	.2338248	1	21	21															142	824594	11366	2130.5221	1981.4191	2.42e+07	-58.87819	1.52e+07	0	4643.804	1382492	1721699	9_GLO1	1	1	1	4.95	1	1	4	2.02629	1.622194	1.674578	.2872603	.9173212	.7697614	.7532038	.2675282	-2.417559	-.1276354	-1.566689	.4956306	.2265744	.7664708	.7664708	.2104284	.9454201													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLO1_200914_G08	200914	1	NC507	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	.888023	1	2	9.808387	.2041776	.19027219	.170148	1.3250072	1	2	51															0	624480	0		3010.1744				16	3976.785	979745.8	1323694	9_GLO1	1	1	2	8.15	1	1	4	-.2599896	-.667016	-.3726597	-1.188129	-1.243523	.2277767	0	-.8727259	-.9315628	-1.06018	-1.921351	-1.813418	-1.403804	-1.436207	-1.436207															
InsH2Bfabp_CD15_10dpf_VAST02_plate02_GLO1_200914_A01	200914	2	NC516	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	1	1	2	18.385008	.3743256	.61838462	.3743256	2.4941312	1	11	60	186318	4140	3418	8383	2656	45	1.597e+09	1	3331893	112488	148	207	160	120	29	658044	4032	2625.1297	2496.2615	1.06e+07	-216.3324	-9497199	7	4377.619	1244036	1611581	9_GLO1	1	1	2	8.833333	1	1	4	.6948019	.8247319	.7504371	1.332766	1.114751	-.2510159	.4105317	.1276354	-.3393116	.1079158	.7118422	.2353289	-1.185426	-.3373553	-.250906	-.5084881	-.5404469	-1.322365	-1.522408	-1.435436	-1.894644	-1.224058	.0437342	-.1610005	-1.164587	-1.288206	.1757821	-1.435436	-1.006961	-.7496121
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLO1_200914_A07	200914	1	NC495	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	1	1	2	15.867018	.2382072	.65009666	.2722368	3.5853136	1	39	39	552545	6657	5609	10859	3206	83	5.958e+09	1	6828890	231434	180	260	218	143	0	1249192	0		3064.2341				16	4012.898	1020853	1372069	9_GLO1	1	1	1	7	1	1	4	-.1940281	-.2905068	-.2378908	-.2646172	-.7504371	1.212751	-.5346088	-.5221549	.0784124	-.4998403	.8305109	-.316085	1.838167	-1.436207	-1.436207			.9144792	.6383348	.2805315	.1906023	1.435436	.8292257	.568394	.6744897	.6744897	1.056592	-.3417246	.6029956	.6383348
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLO1_200914_C07	200914	1	NC497	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	.8854752	1	2	14.099917	.170148	.60252861	.2382072	1.94854	1	41	41																							9	3810.188	985293.6	1339934	9_GLO1	1	1	1	7.266667	1	1	4	-.6151411	-.5800146	-.3497908	.4029887	-.9337607		-1.093131	-1.250992	-.5907506	-.6622477	.6380556	-.7178201																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLO1_200914_G09	200914	1	NC514	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	1	1	2	10.06083	.1020888	.28540829	.1361184	.8573576	1	9	58																							0				9_GLO1	1	1	2	8.641666	1	1	4								-1.809892	-1.131577	-1.417797	-.9315628	-1.477525																		
InsH2Bfabp_CD15_10dpf_VAST02_plate02_GLO1_200914_C03	200914	2	NC529	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	0	0	1	16.157096	.4423848	.34883235	.3743256	2.727956	1	24	73	580713	6599	5074	6983	2192	88	4.122e+09	1	7194071	238018	169	270	181	167									0				9_GLO1	1	1	2	9.808333	1	1	4								.4022501	-.167232	.1079158	-.6024495	-.2054644						1.136341	.9596939	.2503385	-.2203721	.4360634	-.3727933	-.6383348	.8710608	.8292257	.9144792	-.1168527	-.4200915	2.109706
InsH2Bfabp_CD15_10dpf_VAST02_plate02_GLO1_200914_A02	200914	2	NC522	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	1	1	2	14.867252	.2722368	.55496056	.340296	3.0397224	1	17	66	461892	7698	5538	13102	4227	60	6.414e+09	1	4443430	167001	138	300	172	136	65	604720	4768	4519.8029	3750.9223	2.16e+07	89.27909	-2.56e+07	0	3868.678	1005002	1313585	9_GLO1	1	1	2	9.266666	1	1	4	-.4662653	-.4176672	-.4190034	.3330051	-.0858019	-.2046599	-.1784023	-.2675282	-.0587829	-.1276354	.4128896	-.5971794	-1.543781	.0354786	-.0828608	.0139262	-1.382994	-.3109825	.3109825	1.006961	.1021915	1.622711	1.435436	1.435436	-.5344601	-.3727933	-.4360634	.404226	-.656305	.1757821
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLO1_200914_E07	200914	1	NC499	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	1	1	2	16.87679	.4764144	.3012643	.1020888	.389708	1	43	43	74802	4987	3823	10072	1827	15	6.856e+08	1	1551271	66567	95	238	137	65	45	1004712	4512	2625.26	2268.69	1.18e+07	72.02334	-3331793	0	4460.18	1312030	1651372	9_GLO1	1	1	1	7.516667	1	1	4	1.038268	1.229064	1.19838	-.3561355	.8385722	-.5452442	1.866676	.5791321	-1.534121	-1.862732	-.8031726	-.0778033	1.470193	-.1782959	-.1304298	-.4154975	.0139262	-2.52324	-1.894644	-1.006961	-1.622711	-1.894644	.568394	-1.006961	-1.894644	-1.894644	-1.622711	-1.006961	-1.622711	-1.894644
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLO1_200914_E05	200914	1	NC486	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	1	1	2	15.993239	.3743256	.42811243	.2722368	.6235328	1	30	30															178	834227	16592	2938.1853	2615.6684	4.88e+07	-54.50889	2.61e+07	10	4468.649	1314453	1647544	9_GLO1	1	1	1	6.033333	1	1	4	1.075723	1.281552	1.114751	1.027154	.5392076	.0904521	-.0665969	.1276354	-1.169537	-.4998403	-.0784124	-.2957227	.3248653	1.234595	1.838167	1.136959	1.545513													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLO1_200914_H04	200914	1	NC482	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	1	1	2	5.3906353						26	26	582984	7571	6577	2016	577	77	1.250e+09	1	8469805	242977	181	347	207	128									133	4508.409	1285816	1650640	9_GLO1	1	1	1	5.333333	1	1	4	1.19838	1.0467	1.155555	.2646172	.3271033	-1.042247	-.200988					-2.662688						.4360634	1.108973	.9144792	1.056592	-1.522408	-2.52324	-2.52324	1.358142	.9596939	1.164587	1.224058	.2054644	-.326315
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLO1_200914_C05	200914	1	NC484	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	1	1	2	20.410991	.4423848	.20612821	.170148	2.1823648	1	28	28	563280	6787	6087	5322	1762	83	2.840e+09	1	8201254	272125	155	408	223	138	218	873176	18529	3049.0801	2682.4794	5.65e+07	-28.23192	3.24e+07	13	4515.375	1384017	1698925	9_GLO1	1	1	1	5.9	1	1	4	1.243523	1.718451	1.456338	2.224915	1.075723	.4935534	1.093131	.4022501	-.4235761	-1.06018	-1.566689	.5513477	.6744897	2.193076	2.595914	1.644854	2.539185	.9144792	.7496121	.3417246	.7887937	-.5011308	-1.358142	-1.358142	1.224058	1.742647	.4846749	2.52324	.7496121	.3572158
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLO1_200914_C09	200914	1	NC510	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	1	1	2	12.459038	.2041776	.38054438	.3062664	2.6500144	1	5	54	324005	6480	5580	11018	4309	50	3.363e+09	1	4065774	147423	116	254	210	131	0	769580	0		2462.7983				0	3899.049	980314	1291663	9_GLO1	1	1	2	8.366667	1	1	4	-.3957253	-.6084982	-.5894558	-1.145085	-1.038268	-1.261282	.5346088	-.8727259	-.2070927	-.3186394	-.4128896	-.9674216	-.2023762	-1.436207	-1.436207			-.7115489	-.7115489	.1610005	.1315391	-.1021915	1.056592	1.522408	-.7115489	-.6744897	-1.224058	-.5011308	.3109825	-.0875522
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLO1_200914_G03	200914	1	NC475	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	1	1	2	7.6626219	.2382072	.19027219	.2041776	1.2470656	1	19	19															0	242182	0		1400.3841				0	3343.475	735897.2	910316.2	9_GLO1	1	1	1	4.783333	1	1	4	-2.629661	-2.592656	-2.629661		-2.629661	-.5984352	-2.21809	-.5221549	-.9778975	-.8444151	-1.921351	-2.066729	-2.595914	-1.436207	-1.436207															
InsH2Bfabp_CD15_10dpf_VAST02_plate02_GLO1_200914_E02	200914	2	NC525	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	0	0	1	17.095164	.2722368	.26955227	.3743256	4.7544376	1	20	69	269398	3499	3879	6850	2299	77	1.834e+09	3	6431573	177347	192	275	194	174	145	641758	13263	3608.3759	2956.7563	4.79e+07	183.6848	1.79e+07	0	4533.621	1305974	1677601	9_GLO1	1	1	2	9.533334	1	1	4	1.291353	1.179761	1.397068	.9558848	1.038268	.9674216	1.177645	-.2675282	.2675282	.1079158	-1.06018	-.0194324	-1.234595	.7985898	1.094844	1.036433	.9899016	.4360634	-.9596939	-2.109706	-1.358142	-1.056592	-.4683492	-.4360634	.4683492	-.1906023	1.622711	.0583267	-.1021915	2.52324
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLO1_200914_E02	200914	1	NC466	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	1	1	2							10	10															55	267652	4135	2374.3666	2219.5231	9818006	-116.5988	-4299286	16	3408.696	794605.1	974362.5	9_GLO1	1	1	1	4.116667	1	1	4	-1.882051	-1.833915	-2.231606	-2.019086	-.5894558	-.5716375	-2.011736						-1.984772	-.1066151	-.2265744	-.6399237	-.0976349													
InsH2Bfabp_CD15_10dpf_VAST02_plate02_GLO1_200914_E03	200914	2	NC531	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	0	0	1	9.3561021	.2382072	.42811243	.2382072	2.8058976	1	26	75	160598	4118	4208	6981	2457	39	9.445e+08	2	1955920	82708	115	164	151	91									0	3629.087	914682.6	1174098	9_GLO1	1	1	2	9.95	1	1	4	-1.155555	-1.088917	-1.19838	-.6273425	-.4902859	.5452442	-.6675439	-.5221549	-.1474048	-.6622477	-.0784124	-1.924727						-1.522408	-1.742647	-1.522408	-1.056592	-1.622711	-.404226	-.2805315	-1.622711	-1.622711	-1.288206	-1.894644	-1.224058	-1.522408
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLO1_200914_C01	200914	1	NC458	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	1	1	2	10.313273	.2382072	.47568048	.170148	1.4808904	1	2	2	235317	4802	4432	15847	5920	49	3.788e+09	1	2975893	117733	137	182	149	128									3	3776.946	929337.2	1264567	9_GLO1	1	1	1	3.416667	1	1	4	-.7504371	-.8938006	-.6948019	-1.51239	-1.155555	0	-1.752744	-.5221549	-.8305109	-1.06018	.1177699	-1.346025						-.8499573	-1.224058	-1.108973	-.9144792	.1906023	2.52324	2.52324	-1.288206	-1.164587	-.5344601	-1.742647	-1.288206	-.326315
InsH2Bfabp_CD15_10dpf_VAST02_plate02_GLO1_200914_A03	200914	2	NC527	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	0	0	1	18.971301	.4423848	.28540829	.4083552	2.4941312	1	22	71															22	872552	4000	2483.39	2256.7541	9933560	-54.72946	-4986156	0	4482.508	1380248	1719097	9_GLO1	1	1	2	9.666667	1	1	4	1.114751	1.538979	1.593219	1.666308	2.629661	1.494155	1.503371	.4022501	-.3393116	.3601299	-.9315628	.3365792	.6450915	-.4393922	-.2753871	-.6061059	-.1537869													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLO1_200914_A03	200914	1	NC469	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	1	1	2	12.080374	.2382072	.4915365	.3062664	2.1823648	1	13	13															167	724888	11835	3707.9131	3155.1807	4.39e+07	31.91212	9600016	0	3794.063	926585.7	1194031	9_GLO1	1	1	1	4.383333	1	1	4	-.6948019	-.9674216	-1.038268	-.7663329	-.2378908	-1.004131	-.6955261	-.5221549	-.4235761	-.3186394	.167232	-1.100033	-.5600113	1.073562	.8654489	.8616341	.6061059													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLO1_200914_C08	200914	1	NC504	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	1	1	2	9.9346085	.2722368	.3012643	.2041776	1.4808904	1	48	48	289866	8282	6603	10043	3077	35	3.139e+09	1	2791000	128222	118	187	172	125	179	791985	16031	2233.6685	1998.0609	3.58e+07	23.19094	2.65e+07	4	4153.128	1106792	1454523	9_GLO1	1	1	1	7.916667	1	1	4	0	.0477635	-.0858019	.7374157	.1505358	-.7103655	-.3627199	-.2675282	-.8305109	-.8444151	-.8031726	-1.604849	-.0354786	1.37281	1.543781	.6061059	1.763728	-1.742647	-.8292257	1.435436	1.108973	-.2203721	.5344601	.3417246	-1.358142	-1.006961	-1.164587	-1.622711	-.656305	-.5344601
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLO1_200914_E01	200914	1	NC460	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	1	1	2	12.332817	.0680592	.25369626	.170148	.3117664	1	4	4	276140	5523	4953	10553	3719	50	2.914e+09	1	3983453	135523	124	283	152	94									0	3472.816	845297.9	1090163	9_GLO1	1	1	1	3.55	1	1	4	-1.593219	-1.538979	-1.521218	-.9908903	-1.114751	-.7397372	-1.657863	-2.266227	-1.921351	-1.06018	-1.229859	-.9989282						-.7115489	-.9144792	-.6383348	-.326315	-.4683492	.7887937	1.006961	-.8710608	-.9144792	-.9830529	.2054644	-1.164587	-1.435436
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLO1_200914_A08	200914	1	NC502	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	1	1	2	11.196823	.0680592	.42811243	.2722368	1.94854	1	46	46															178	871334	15219	3140.1929	2661.3975	4.78e+07	89.58162	2.41e+07	18	4329.17	1137940	1490801	9_GLO1	1	1	1	7.783333	1	1	4	.3726597	.1921572	.0858019	.8891675	.1289011	.7397372	-.0221844	-2.266227	-.5907506	-.4998403	-.0784124	-1.213847	.6162404	1.234595	1.286946	.9899016	1.313873													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLO1_200914_E09	200914	1	NC512	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	1	1	2	15.614575	.340296	.41225642	.2382072	2.6500144	1	7	56															167	798518	15907	3066.9906	2664.3218	4.88e+07	12.6757	2.51e+07	0	4348.271		1552365	9_GLO1	1	1	2	8.5	1	1	4	.4425108		.3957253	.4750061	1.19838	-1.649237	.1559072	-.0293788	-.2070927	-.6622477	-.167232	-.4200915	.011824	1.073562	1.470193	1.191816	1.459439													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLO1_200914_D05	200914	1	NC485	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	1	1	2	14.226139	.4423848	.20612821	.1361184	2.1044232	1	29	29	688134	7168	5841	10145	3009	96	6.984e+09	1	7510226	256522	173	280	220	147	204	815218	17488	3103.9502	2728.8572	5.43e+07	-32.10062	2.92e+07	86	4569.04	1249748	1645316	9_GLO1	1	2	1	5.966667	2	1	4	1.521218	.8587541	1.075723	1.51239	.2378908	-.4935534	.3865153	.4022501	-.4559339	-1.417797	-1.566689	-.6929004	.1543186	1.984772	1.984772	1.545513	2.128045	1.477525	1.742647	.6029956	.4683492	2.52324	.6029956	.3109825	1.006961	1.288206	1.006961	.1610005	.6744897	.8710608
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLO1_200914_H07	200914	1	NC501	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	1	1	2	17.886562	.2382072	.57081658	.170148	.5455912	1	45	45	299172	6233	7042	6469	2278	48	2.024e+09	1	4578823	153444	132	252	207	113	0	930943	0		2880.8034				17	4173.46	1106253	1484939	9_GLO1	1	2	1	7.716667	2	1	4	.0214258	.0238749	.0643168	-.1092005	-.5145928	-1.123415	.1334907	-.5221549	-1.229859	-1.06018	.477772	.0583267	1.185426	-1.436207	-1.436207			-.9830529	-.7887937	-.1315391	1.622711	-1.006961	-.6029956	-.4683492	-.4360634	-.4683492	-.6929004	-.5344601	.2054644	-1.006961
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLO1_200914_H09	200914	1	NC515	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	1	1	2	13.595031	.170148	.25369626	.1361184	.9352992	1	10	59															33	754040	2624	4105.1014	2978.9363	1.08e+07	652.3187	-1.97e+07	0	3828.415	906338.5	1264403	9_GLO1	1	2	2	8.716666	2	1	4	-.5641537	-1.229064	-.72234	.5751093	-1.521218	.1587398	-.8447865	-1.250992	-1.095181	-1.417797	-1.229859	-.822394	-.3248653	-.3000344	-.3751523	-.4770404	-1.191816													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLO1_200914_H06	200914	1	NC494	insH2Bfabp	CD15	GLO1	1	0	0	2	1	10	1	1	2	18.012783	.4423848	.44396845	.7146216	2.9617808	1	38	38	224430	4775	4152	7318	2273	47	1.643e+09	2	2256958	114754	112	201	133	125									15	3837.483	1008397	1302864	9_GLO1	1	2	1	6.666667	2	1	4	-.5145928	-.3406948	-.5145928	-.0217985	-.2599896	.4682027	1.053667	.4022501	-.1079158	1.862732	.0195843	.1462539						-1.108973	-1.358142	-1.164587	-1.164587	-1.108973	-.3417246	-.5011308	-1.522408	-1.224058	-1.358142	-1.522408	-1.742647	-.5344601
