filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	N05_nwt	N07_nwt	N08_nwt	tbc1d4_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TBC1D4_200724_C06	200724	1	NB040	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	9	0	.0165084	.0482266	0	1	10.138788	.2382072	.31712032	.2722368	2.9617808	1	40	40															250	946554	19792	39853.012	31337.229	7.89e+08	2187.11	2.90e+08		3957.735	1016502	1336704	2_TBC1D4	1	1	1	5.8	1	1	4	-.1346898	-.0447762	-.1346898	.045869	-.0447762	-.1648683	.5037205	-.8530763	.5771623	1.288206	-.0533578	0	.8254945	1.062786	1.062786	.8801318	.9982012													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TBC1D4_200724_A02	200724	1	NB008	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	9	1	1	1	1	4	13.772393						8	8															190	670204	13878	28153.606	25187.146	3.91e+08	-4153.934	-4.80e+07		3616.106	901508.5	1240985	2_TBC1D4	1	1	1	3.866667	1	1	4	-.8544474	-.6558747	-.583549	-1.41001	-.4471567	-.8982587	.762464					1.136959	-.4099833	.4099833	.2888094	-.3690087	.1333212													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TBC1D4_200724_A04	200724	1	NB022	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	9	0	.0390459	.0908682	0	1	10.359007	.5785032	.31712032	.170148	.6235328	1	22	22															9	1135192	1152	20171.474	16412.466	2.32e+07	-4490.978	-3.30e+08		4224.032	1063277	1432093	2_TBC1D4	1	1	1	4.75	1	1	4	.583549	.1346898	.2257079	.5995885	.8982587	-.9438661	-.8459325	1.443299	-1.217526	.6029956	-.0533578	.0417893	1.77585	-1.77585	-1.77585	-1.77585	-.9375322													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TBC1D4_200724_E04	200724	1	NB026	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	9	0	.0231225	.0497184	0	1	8.5972592	.170148	.34883235	.1020888	1.7147152	1	26	26															157	692212	13745	29063.324	25782.128	3.99e+08	-3762.604	-4.50e+07		4156.98	1070380	1433767	2_TBC1D4	1	1	1	4.983333	1	1	4	.4471567	.2257079	.2564297	.425144	.3186394	-.1346898	.0907253	-1.5674	-.1202876	-.0875522	.2976668	-.5404469	-.3286447	.2494273	.2494273	-.3286447	.1717471													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TBC1D4_200724_C05	200724	1	NB032	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	9	.8309748	1	1	1	4	7.8264945	.2722368	.28540829	0	1.4029488	1	32	32															75	481961	6432	34335.972	30882.774	2.21e+08	-2933.98	-2.73e+08		3411.79	883025.8	1139540	2_TBC1D4	1	1	1	5.333333	1	1	4	-1.731664	-.7318081	-.8982587	.1379956	.2257079	-1.731664	.1515802	-.4113021	-.3824499	-1.679661	-.47008	-.6399237	-1.062786	-.8254945	-.7229722	-.9375322	-.6275435													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TBC1D4_200724_C04	200724	1	NB024	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	9	0	.0270601	0	0	1	6.3950745	.2382072	.25369626	.1020888	1.7147152	1	24	24															73	795972	7577	31220.162	27157.58	2.37e+08	-2804.151	-2.21e+08		4479	1157350	1610938	2_TBC1D4	1	1	1	4.866667	1	1	4	1.21023	.6558747	1.150349	1.135663	.7713894	.5141561	-.338562	-.8530763	-.1202876	-.0875522	-.9121265	-.9899016	.0569997	-.8801318	-.4941332	-.8801318	-.4516583													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TBC1D4_200724_H04	200724	1	NB029	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	9	.8169231	1	1	1	4	13.331956	.4423848	.3964004	.4764144	2.727956	1	29	29															270	906826	21105	40711.302	31536.526	8.59e+08	2871.758	3.59e+08		4246.968	1148288	1509478	2_TBC1D4	1	2	1	5.15	2	1	4	.6933416	.5485223	.583549	.6365926	1.041553	.1951978	-.4362566	.7083573	.4552406	1.894644	.8340455	.9027348	.5375191	1.382994	1.207414	1.062786	1.13214													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TBC1D4_200803_F09	200803	1	NB110	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	10	.9417201	1	.9670487	1	4	7.2652732	.2382072	.3012643	0	1.3250072	1	12	110	196659	7024	5807	9699	1821	28	1.838e+09	1	2959084	111383	115	266	168	88	197	1008318	19549	29066.443	25151.795	5.68e+08	-3210.297	1.30e+08		4597.266	1410440	1686738	2_TBC1D4	1	2	3	9.483334	2	1	4	1.731664	1.884304	1.422911	2.090361	1.345167	.9438661	1.879026	-.8530763	-.4552406	-1.679661	-.2286397	-.7098812	1.062786	.5819415	.9375322	.2494273	.4516583	.6229257	1.281552	1.833915	1.833915	.7279133	-.167894	0	.7279133	.9674216	.9674216	.6229257	.3406948	.7279133
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TBC1D4_200724_B02	200724	1	NB009	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	9	.9663707	1	1	1	4	12.010645	.2722368	.34883235	.1361184	3.0397224	1	9	9															114	1169284	9178	54912.387	55256.586	5.04e+08	-3593.658	-2.26e+08					2_TBC1D4	1	2	1	3.925	2	1	4								-.4113021	.6744897	.2503385	.2976668	.4154975	2.000424	-.2104284	-.2888094	.1717471	-.4941332													
InsH2Bfabp_CD15_10dpf_VAST02_plate02_TBC1D4_200803_B01	200803	2	NB114	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	10	.8608772	1	1	1	4	13.68858	.2382072	.22198422	.0340296	.8573576	1	16	114															28	610606	1865	26724.52	19680.034	4.98e+07	-784.8553	-3.35e+08		3972.084	980628.1	1332531	2_TBC1D4	1	2	3	9.8	2	1	4	-.1046335	-.3501975	-.1648683	-.6365926	-.9915265	-1.041553	1.00842	-.8530763	-.9121265	-.7304482	-1.523396	1.085325	-.6744897	-1.382994	-1.48947	-1.616156	-.9982012													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TBC1D4_200724_D07	200724	1	NB048	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	9	.9003283	.9684485	.9640781	1	4	7.1658391	.2722368	.36468837	.1361184	1.3250072	1	48	48															113	432873	7120	43280.164	35622.166	3.08e+08	1880.937	-2.32e+08		3570.775	778784.2	1083883	2_TBC1D4	1	2	1	6.333333	2	1	4	-1.094332	-1.510357	-1.21023	-.7133814	-.2564297	-.2564297	-2.095297	-.4113021	-.4552406	.2503385	.4113021	-.7461852	-1.290233	-.2494273	-.5819415	-.6275435	-.5375191													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TBC1D4_200724_B07	200724	1	NB046	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	9	.9248948	.9763774	.963029	1	4	10.138788	.4764144	.28540829	.0680592	1.4808904	1	46	46																											2_TBC1D4	1	2	1	6.188889	2	1	4								.9533248	-.325661	-.2654048	-.47008	0																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TBC1D4_200803_B01	200803	1	NB052	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	10	1	1	1	1	4	12.496006	.2722368	.26955227	.0340296	.5455912	1	3	52																								3524.375	807106.3	1105132	2_TBC1D4	1	2	2	4.45	2	1	4	-1.21023	-1.274797	-1.041553	-.7946292	-1.21023	-2.514955	.1210967	-.4113021	-1.406504	-.7304482	-.6913244	.5404469																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TBC1D4_200724_D03	200724	1	NB018	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	9	.9689845	1	1	1	4	6.0647468	.170148	.23784024	.0340296	.9352992	1	18	18																								3694.333	825319.8	1121925	2_TBC1D4	1	2	1	4.45	2	1	4	-.7318081	-.9915265	-.9438661	-.5995885	-.8122178	-.6193067	-.5735608	-1.5674	-.8340455	-.7304482	-1.217526	-1.250516																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TBC1D4_200724_F02	200724	1	NB013	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	9	1	1	1	1	4	13.111738	.4083552	.28540829	.2041776	3.0397224	1	13	13															152	453730	11888	54390.356	43229.883	6.47e+08	6362.778	3.31e+07		4092.94	1137073	1422448	2_TBC1D4	1	2	1	4.15	2	1	4	.2873955	.5141561	.1951978	.7946292	1.611169	-.9915265	-.4032736	.5305297	.6744897	.8499573	-.47008	.7461852	-1.13214	.1717471	.0950912	.4516583	.3286447													
InsH2Bfabp_CD15_10dpf_VAST02_plate02_TBC1D4_200803_D04	200803	2	NB134	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	10	.9539731	.9763229	.9693515	1	4	6.3328857	.3062664	.31712032		1.4029488	1	36	134																								3291.093	772428.9	987013.3	2_TBC1D4	1	2	3	11.58333	2	1	4	-2.514955	-1.884304	-2.100166	-1.720366	-2.514955	-1.094332	-.9357584	-.0667151	-.3824499		-.0533578	-1.136959																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TBC1D4_200724_B01	200724	1	NB002	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	9	.5938476	.9932879	.9628124	1	4	13.442066	.4423848	.47568048	.340296	2.8838392	1	2	2																								4233.773	1068451	1503272	2_TBC1D4	1	2	1	3.516667	2	1	4	.6193067	.1951978	.5485223	.0152849	-.014921	-.3186394	-.5037205	.7083573	.5000764	1.435436	1.275513	.9899016																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TBC1D4_200724_B03	200724	1	NB017	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	9	.0384775	.0093211	.0478283	0	1	11.460099	.510444	.28540829	.0340296	.389708	1	17	17															175	920082	13440	49504.725	41041.284	6.65e+08	3384.001	7.30e+07		4011.253	1050895	1436025	2_TBC1D4	1	2	1	4.366667	2	1	4	-.014921	.0746714	.2873955	.7133814	.1951978	-.0746714	-.0907253	1.245996	-1.721797	-.7304482	-.47008	.3259735	.6275435	.3286447	.1717471	.5375191	.4099833													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TBC1D4_200724_H03	200724	1	NB021	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	9	.7671028	1	.987281	1	4	14.543158	.1361184	.33297634	.0340296	.389708	1	21	21															44	795274	3216	57224.837	59329.766	1.84e+08	-4830.034	-5.86e+08					2_TBC1D4	1	2	1	4.658333	2	1	4								-2.028069	-1.721797	-.7304482	.1337288	1.191816	.0189907	-1.13214	-1.13214	-.9982012	-2.428737													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TBC1D4_200724_B06	200724	1	NB039	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	9	0	0	0	0	1	6.9456207	.4083552	.23784024	.2382072	1.7147152	1	39	39																								4000.125	1170853	1478942	2_TBC1D4	1	2	1	5.733333	2	1	4	-.0746714	.7713894	.3821084	1.49795	.1346898	-.014921	1.143064	.5305297	-.1202876	1.082411	-1.217526	-.8025719																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_TBC1D4_200803_B08	200803	1	NB098	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	10	0	0	.070929	0	1	11.711396	.1361184	.20612821	.1361184	.779416	1	49	98															88	544758	6400	51360.096	47320.107	3.29e+08	-231.1585	-3.24e+08		3808.348	999424.8	1317294	2_TBC1D4	1	2	2	8.7	2	1	4	-.5485223	-.2257079	-.2257079	-.1071952	-.1648683	.8982587	.0302049	-2.028069	-1.041007	.2503385	-1.853367	.3554904	-.8254945	-.6275435	-.8254945	-.5819415	-.8801318													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TBC1D4_200724_F04	200724	1	NB027	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	9	.565388	.6557421	1	1	4	12.561192	.9528288	.3012643	.5444736	1.7926568	1	27	27															193	867582	16016	50816.69	48532.993	8.14e+08	-1831.312	1.49e+08		4081.847	1112863	1491773	2_TBC1D4	1	2	1	5.033333	2	1	4	.2257079	.3821084	.4471567	.200022	.8122178	-.583549	1.726056	2.554361	.0266694	2.109706	-.2286397	.5729675	.3286447	.4941332	.4516583	.9982012	.4941332													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TBC1D4_200724_D04	200724	1	NB025	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	9	.9080649	.8048819	1	1	4	13.221847	.3743256	.28540829	.1361184	2.2603064	1	25	25															362	847258	27758	47945.464	41299.597	1.33e+09	1599.68	7.36e+08		4348.271	1155017	1584784	2_TBC1D4	1	2	1	4.916667	2	1	4	.7713894	.6193067	.8982587	.3266899	.4803868	-.7318081	.1822052	.2976668	.3539128	.2503385	-.47008	.8219399	.2494273	2.000424	2.000424	2.000424	2.000424													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_TBC1D4_200724_D06	200724	1	NB041	insH2Bfabp	CD15	TBC1D4	1	0	0	2	1	9	0	.0539005	.0243332	0	1		.170148	.26955227		.0779416	1	41	41															264	800412	20081	43600.322	35220.869	8.76e+08	2550.732	3.40e+08		4358.014	1071172	1455719	2_TBC1D4	1	2	1	5.85	2	1	4	.8122178	.2564297	.3186394	-.2628283	.6193067	.3821084	.4362566	-1.5674	-2.554361		-.6913244		.0950912	1.247754	1.13214	1.13214	1.062786													
