filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	N200_nwt	N201_nwt	igf1_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF1_210224_A03	210224	1	NU316	insH2Bfabp	CD15	IGF1	1	0	0	2	1	9	1		1	3							36	85	263202	4785	4982	9847	3429	55	2.464e+09	1	3584893	131357	142	282	152	99	65	450136	4951	7110.6362	5719.4868	3.52e+07	880.6639	-1.47e+07	129	3698.343	804145.5	1110126	54_IGF1	1	1	2	4.666667	1	1	4	-1.063244	-1.346684	-.8465244	-1.054472	-.9766002	-.6631314	-.798367						-.8749908	-.8749908	-.9762363	-.8276041	-.2841234	.3624964	.0473125	-.5462332	.2387225	.5462332	1.260339	1.37281	.2876889	.2876889	.7197189	1.073562	-.4921101	-.8827738
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF1_210224_D03	210224	1	NU319	insH2Bfabp	CD15	IGF1	1	0	0	2	1	9	0		1	3	3.367425						39	88	355093	5548	5606	10040	3015	64	3.514e+09	1	4378181	172047	126	234	197	139	113	785180	9634	8371.8287	7249.0551	8.07e+07	-129.1304	-6233086	65	4209.75	1122463	1538592	54_IGF1	1	1	2	4.9	1	1	4	1.004644	1.063244	1.346684	.7882413	1.437116	.1092005	.8465244					-1.738108	1.150349	-.0329879	.2160518	.0164917	.0164917	.7197189	.7197189	.2387225	.9182451	1.672937	1.505968	1.073562	.6020065	.8483799	.2144596	.2876889	.7824294	1.906358
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF1_210224_A06	210224	1	NK153	insH2Bfabp	CD15	IGF1	1	0	0	2	1	9	1	1	1	3	10.078276	.0680592	.06342406	.0680592	1.558832	1	16	16	350683	7306	6480	9108	2592	48	3.042e+09	1	3512799	128538	139	233	169	107	136	372109	10623	9817.179	8125.9021	1.04e+08	14.34415	-3792974	213	3746.666	848273.6	1188678	54_IGF1	1	1	1	6.783333	1	1	4	-.7071841	-.798367	-.5009044	.0871459	-.5009044	-.9109555	-.7071841	-.6744897	.8669582	-.7745655	-1.707553	.0171695	-1.368829	.3186394	.2841234	.3888753	.0494931	.0236496	.6020065	1.906358	1.906358	1.073562	1.161883	.3878687	.1903223	.2387225	.6020065	.2387225	-.0947312	-.2631268
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF1_210224_A01	210224	1	NU300	insH2Bfabp	CD15	IGF1	1	0	0	2	1	9	0		1	3							20	69	284501	5471	4919	6348	2088	52	1.752e+09	1	3198205	120514	142	210	171	108	75	653060	8136	9436.6582	9224.3382	7.68e+07	-1997.051	-5.79e+07	119	4056.834	1000172	1396234	54_IGF1	1	1	2	3.15	1	1	4	.2075038	.5009044	.5804016	.8366706	.103195	-1.233495	0						.2499428	-.6953402	-.1824072	-.0164917	-1.458376	.2144596	.1903223	.1423641	.1423641	-.0473125	0	-.0947312	-.0473125	.0473125	.7197189	-.4393922	-.0473125	-.1423641
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF1_210224_C07	210224	1	NK166	insH2Bfabp	CD15	IGF1	1	0	0	2	1	9	.9895208	1	1	3	5.7768966	.1020888	.22198422	.1361184	.779416	1	29	29	211650	3848	3837	6971	2595	55	1.524e+09	1	3573273	123893	115	256	166	118	113	455092	7495	4452.2531	3777.6079	3.34e+07	1105.435	3.04e+07	54				54_IGF1	1	1	1	7.883333	1	1	4								-.0896424	-.1101623	-.1323128	.3360381	-1.125744	-.8276041	-.0329879	-.2499428	-.9244287	.7379805	.3624964	-.3373553	-1.260339	-1.161883	-.2387225	.3373553	.4393922	.2387225	.1903223	-.1423641	.5462332	-.1903223	.5462332
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF1_210224_F08	210224	1	NK175	insH2Bfabp	CD15	IGF1	1	0	0	2	1	9	.0148418	0	0	1	8.7639655	.0680592	.11099211	.0340296	.5455912	1	38	38	302966	5410	5584	8910	3261	56	2.618e+09	2	4485372	149689	142	229	203	108	230	628322	18327	8948.0962	7751.4375	1.64e+08	-298.7621	6.50e+07	40	3878.645	939400.9	1268291	54_IGF1	1	1	1	8.933333	1	1	4	-.2782481	-.1725391	-.2782481	.741594	-.2075038		-.6215367	-.6744897	-.63364	-1.354934	-.7745655	-.5009044	.1824072	1.684395	1.458376	1.150349	1.458376	.4921101	.3373553	.0947312	.8483799	.7197189	.8483799	1.260339	.7824294	.5462332	.7197189	.0236496	.9182451	-.1423641
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF1_210224_D02	210224	1	NU311	insH2Bfabp	CD15	IGF1	1	0	0	2	1	9	0		1	3							31	80	149019	3821	3915	4506	1506	39	6.484e+08	2	3170222	110351	130	247	155	110	120	488328	8706	7669.6056	7017.9424	6.68e+07	-488.215	-1.45e+07	73	3574.853	784646	1083868	54_IGF1	1	1	2	4.216667	1	1	4	-1.665112	-2.042561	-1.266094	.0522452	-1.665112	1.31531	.3871703						-.5742636	.0825485	.0494931	-.1156944	-.2499428	-.4393922	-1.161883	-1.37281	-1.073562	-1.073562	-.7824294	-.7824294	-.0947312	-.1423641	.3878687	.4655894	-.3373553	0
InsH2Bfabp_CD15_09dpf_VAST02_plate02_IGF1_210224_A01	210224	2	NK184	insH2Bfabp	CD15	IGF1	1	0	0	2	1	9	.9283006	.9764386	1	3	17.29446	.1020888	.15856016	.2041776	.5455912	1	47	47															77	646432	6744	8457.6981	7039.8799	5.70e+07	267.3064	-2.48e+07	0	4064.542	984052.4	1358461	54_IGF1	1	1	1	9.583333	1	1	4	.2782481	.2075038	.3871703	.2282596	.0687288	1.51239	-.1725391	-.0896424	-.63364	.2216821	-.1992013	1.665112	.2160518	-.6539285	-.4610861	-.3186394	-.4980894													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF1_210224_A08	210224	1	NK162	insH2Bfabp	CD15	IGF1	1	0	0	2	1	9	0	0	0	1	16.410862	.1361184	.23784024	.0340296	.6235328	1	25	25	272499	6193	5331	4233	850	44	1.162e+09	1	1837833	84273	101	177	127	103	96	840738	8191	11026.761	9121.0692	9.03e+07	-253.6222	-4.18e+07	13	4314.968	1181021	1584859	54_IGF1	1	1	1	7.533333	1	1	4	1.266094	1.54112	1.54112	1.184763	1.346684	.3330051	.5402261	.4144133	-.3829533	-1.354934	.5549229	1.437116	1.368829	-.2160518	-.1156944	.0825485	-.8749908	-.2387225	.1423641	.8483799	.6020065	-.4393922	-.8483799	-1.672937	-.9929082	-.9182451	-.8149615	-1.073562	-.9929082	-.5462332
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF1_210224_F09	210224	1	NK181	insH2Bfabp	CD15	IGF1	1	0	0	2	1	9	1	1	1	3	6.4937931	.0680592	.07928008	.0340296	.389708	1	44	44	157793	5260	4245	9966	2668	30	1.616e+09	2	1343007	60910	77	209	180	73	174	404292	12957	8347.0293	7427.4951	1.08e+08	-418.864	1.70e+07	14	3633.697	849843.8	1052615	54_IGF1	1	1	1	9.333333	1	1	4	-1.266094	-.7519938	-1.665112	-.1221531	-1.125744	-.145827	1.821748	-.6744897	-1.810777	-1.354934	-1.354934	-1.063244	-1.088633	.8276041	.7820069	.4610861	.5357877	-1.116634	-1.073562	0	-.5462332	-.1423641	1.37281	.7197189	-1.260339	-1.37281	-1.37281	-.5189816	.1903223	-1.37281
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF1_210224_C08	210224	1	NK172	insH2Bfabp	CD15	IGF1	1	0	0	2	1	9	.9310779	1	1	3	9.3613793	.0340296	.14270414	.1020888	1.0132408	1	35	35	32147	2473	1911	2594	818	13	90803128	3	398713	26217	68	137	65	52	30	519020	2272	6479.6805	6422.3962	1.47e+07	-793.9183	-5.22e+07	59	3873.252	915505.1	1218226	54_IGF1	1	1	1	8.7	1	1	4	-.3504148	-.4244566	-.4244566	-.4499066	-.6637516	.2197229	-1.192981	-1.402673	.2442754	-.3593968	-.4307273	-.260445	-.3888753	-1.289085	-1.458376	-1.368829	-1.289085	-1.672937	-1.906358	-1.906358	-2.34813	-1.672937	-1.672937	-1.906358	-1.505968	-1.505968	-1.505968	-1.672937	-2.34813	-1.777587
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF1_210224_D01	210224	1	NU303	insH2Bfabp	CD15	IGF1	1	0	0	2	1	9	0		1	3							23	72	169360	5645	4932	5540	1434	30	9.791e+08	1	1314938	72357	89	201	120	101	37	354920	3328	5898.5814	5471.9501	1.96e+07	36.13271	-2.43e+07	75	3453.28	749011.6	1006483	54_IGF1	1	1	2	3.483333	1	1	4	-2.46507	-2.46507	-1.821748	.6527943	-1.346684	-1.51239	-1.821748						-1.561435	-1.21679	-1.21679	-1.21679	-.4610861	-1.116634	-.7197189	.2876889	.1903223	-.7824294	-.4921101	-.8483799	-1.37281	-1.073562	-1.260339	-.6894088	-1.260339	-.6306003
InsH2Bfabp_CD15_09dpf_VAST02_plate02_IGF1_210224_A03	210224	2	NK189	insH2Bfabp	CD15	IGF1	1	0	0	2	1	9	1	1	1	3	13.57895	.0340296	.19027219	.2382072	1.169124	1	3	52	233894	6879	5978	5797	1822	34	1.295e+09	1	2331545	97656	104	201	152	117	217	472552	15929	9600.7759	8068.694	1.53e+08	-117.1206	4.62e+07	21	3918.292	807450.3	1129596	54_IGF1	1	1	2	9.916667	1	1	4	-.1725391	-1.192981	-.7071841	1.429788	-1.266094	-.7091025	-2.042561	-1.402673	.4549811	.5549229	.0439901	.8222073	-.7820069	1.289085	1.21679	1.030806	1.150349	-.8149615	-.1423641	1.260339	1.161883	-.3373553	-.2387225	-.4393922	-.6020065	-.4921101	-.6597193	-.6894088	-.4921101	.4655894
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF1_210224_A09	210224	1	NK164	insH2Bfabp	CD15	IGF1	1	0	0	2	1	9	.9712346	1	1	3	9.1224138	.1361184	.23784024	.2382072	1.0911824	1	27	27	181707	4226	3461	6469	2292	43	1.140e+09	1	2438329	86442	101	209	133	127	80	348720	7376	9726.1162	8196.5599	7.17e+07	-181.626	-3.80e+07	45	3722.552	831465.8	1098388	54_IGF1	1	1	1	7.75	1	1	4	-.8465244	-.89673	-1.004644	.6965074	-1.063244	-1.027154	-.6637516	.4144133	.3829533	.5549229	.5549229	-.3504148	-1.839855	-.6136091	-.2841234	-.0494931	-.6953402	-.2876889	-.6597193	-1.073562	-1.37281	-.4921101	.0473125	.1423641	-.4921101	-.7824294	-.8149615	-.5189816	-.7197189	.8483799
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF1_210224_G01	210224	1	NU306	insH2Bfabp	CD15	IGF1	1	0	0	2	1	9	1		1	3	3.608084						26	75	185321	5009	5528	4226	1271	37	7.970e+08	1	2384479	102414	110	221	145	112	3	722758	80	4200.125	5210.6457	336010	-1274.359	-3.73e+07	106	4073.317	966287.6	1274796	54_IGF1	1	1	2	3.783333	1	1	4	.3141269	0	-.1725391	1.054472	.5402261	.145827	.5804016					-1.437116	.7379805	-2.479467	-2.479467	-2.479467	-.6539285	-.6020065	-.4921101	-.3373553	.7824294	-.9929082	-.9929082	-.9929082	-.5462332	-.2876889	-.4134932	-.1662953	-.6020065	.118514
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF1_210224_D04	210224	1	NK141	insH2Bfabp	CD15	IGF1	1	0	0	2	1	9	1		1	3	8.060272						4	4															199	676903	16760	11985.187	10326.687	2.01e+08	-1085.206	3.96e+07	21	3952.619	986714.2	1347784	54_IGF1	1	1	1	5.8	1	1	4	-.103195	.2782481	.242724	.1926639	.7071841	1.090797	-.4623426					-.6637516	.3535393	1.088633	1.368829	1.561435	.9762363													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF1_210224_B06	210224	1	NK154	insH2Bfabp	CD15	IGF1	1	0	0	2	1	9	1	1	1	3	9.1224138	.1020888	.15856016	.0680592	.6235328	1	17	17	338703	6641	4899	5697	2136	51	1.932e+09	1	3605307	140560	137	229	181	106	150	548482	11338	8099.9024	7785.0989	9.18e+07	-1196.934	-8006886	80	3705.888	894001.8	1224312	54_IGF1	1	2	1	6.85	2	1	4	-.9493045	-.5804016	-.3871703	.264147	-.8465244	-.1092005	.0687288	-.0896424	-.3829533	-.7745655	-.1992013	-.3504148	-.2160518	.4980894	.3888753	.1489679	-.0494931	.1423641	.5462332	1.161883	.0947312	.1423641	-.4393922	-.0473125	.3373553	.3373553	.5189816	.0236496	.2387225	-.3624964
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF1_210224_G07	210224	1	NK170	insH2Bfabp	CD15	IGF1	1	0	0	2	1	9	1	1	1	3	11.99	.0340296	.0951361	.0340296	.4676496	1	33	33															129	741230	11244	9208.1176	7732.8409	1.04e+08	-11.12984	4955578	29	4152.626	1065011	1436758	54_IGF1	1	2	1	8.516666	2	1	4	.798367	.89673	1.004644	.4887764	.4623426	.9109555	.5009044	-1.402673	-1.118958	-1.354934	-1.003148	.6008421	.8749908	.1489679	.3535393	.3535393	.2841234													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF1_210224_D07	210224	1	NK167	insH2Bfabp	CD15	IGF1	1	0	0	2	1	9	1	1	1	3	9.8393103	.0680592	.31712032	.0680592	1.4029488	1	30	30	366545	6009	5433	6658	2321	61	2.464e+09	1	4649584	169904	151	276	187	107	82	619269	7104	9130.5731	7540.8226	6.49e+07	196.4197	-2.91e+07	4	4026.629	934929.8	1341324	54_IGF1	1	2	1	8.316667	2	1	4	.1377842	-.2782481	.1725391	-.7882413	.2961398	-.4507442	.89673	-.6744897	.6883569	-.7745655	.8994349	-.103195	.1489679	-.5357877	-.3888753	-.1489679	-.5357877	.6020065	.7824294	.6597193	.7197189	.6020065	.1903223	.2387225	.9929082	.7824294	1.161883	.8483799	.4921101	-.2631268
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF1_210224_H03	210224	1	NU322	insH2Bfabp	CD15	IGF1	1	0	0	2	1	9	0		1	3							42	91															202	478414	15238	9233.8712	7054.0684	1.41e+08	1022.414	5.85e+07		3701.153	818740.3	1114044	54_IGF1	1	2	2	5.166667	2	1	4	-1.004644	-1.063244	-.7519938	-.0871459	-.9766002	-.4913366	.103195						-.6953402	1.150349	1.088633	.8749908	1.368829													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF1_210224_G09	210224	1	NK182	insH2Bfabp	CD15	IGF1	1	0	0	2	1	9	0	.0063395	0	1	7.9275862	.1020888	.01585602	.1020888	.7014744	1	45	45	164832	4455	4404	7398	2633	37	1.198e+09	1	2117666	82857	111	221	130	85	99	519986	8234	6282.2584	5677.1069	5.17e+07	115.2085	2835161	594	3866.547	912648.9	1097730	54_IGF1	1	2	1	9.4	2	1	4	-.3871703	-.5009044	-1.063244	1.658472	.3687303	-1.31531	-.5804016	-.0896424	-.2669941	-.3593968	-2.107345	-.7519938	-.3535393	-.1323128	-.0494931	-.4247038	.1824072	-.6020065	-.9182451	-.7824294	-.2144596	-.3878687	.4393922	.5462332	-.7824294	-.9929082	-.2876889	-.1662953	-.8149615	-1.260339
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF1_210224_D08	210224	1	NK173	insH2Bfabp	CD15	IGF1	1	0	0	2	1	9	0	.089398	0	1	9.3613793	.1020888	.15856016	.1020888	.779416	1	36	36															162	604768	12248	7639.6823	6672.1966	9.36e+07	-4.801197	2.06e+07	65	3959.546	916252.8	1249659	54_IGF1	1	2	1	8.783334	2	1	4	-.0687288	-.3871703	-.3504148	-.2282596	-.242724		-.3504148	-.0896424	-.1101623	-.3593968	-.1992013	-.260445	.0164917	.7379805	.5357877	.1824072	.6136091													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF1_210224_G03	210224	1	NU321	insH2Bfabp	CD15	IGF1	1	0	0	2	1	9	1		1	3	8.661919						41	90	403113	6299	6401	7876	2829	64	2.981e+09	1	4525864	155083	154	247	191	111	42	700218	3504	8131.9209	6618.0135	2.85e+07	567.8845	-4.31e+07	47	4190.813	1005496	1416541	54_IGF1	1	2	2	5.1	2	1	4	.89673	.6215367	.7519938	-.3740954	.1377842	-.2571002	2.042561					-.5602008	.6136091	-1.088633	-1.088633	-1.030806	-.9244287	.7197189	1.073562	.9929082	1.672937	.9182451	.6597193	.8483799	.8483799	.6020065	1.260339	.4655894	.6020065	.0473125
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF1_210224_H02	210224	1	NU315	insH2Bfabp	CD15	IGF1	1	0	0	2	1	9	1		1	3							35	84	37291	2486	2160	2126	855	15	64261132	2	377410	22421	57	125	74	57										3605.791	786485.3	966616.5	54_IGF1	1	2	2	4.533333	2	1	4	-1.437116	-1.821748	-2.042561	1.339046	-.0343441		-1.346684											-1.505968	-1.672937	-1.672937	-1.672937	-1.906358	-2.34813	-1.505968	-1.672937	-1.906358	-1.906358	-1.906358	-1.906358	-1.505968
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF1_210224_E06	210224	1	NK157	insH2Bfabp	CD15	IGF1	1	0	0	2	1	9	.0198473	.0045899	0	1	12.109483	.1361184	.0951361	.3062664	1.2470656	1	20	20	458162	7049	7308	6899	2225	65	3.126e+09	1	4565639	186023	157	217	201	135	24	753720	2816	9204.6829	8651.3804	2.59e+07	-1378.342	-9.49e+07	23	4405.696	1094560	1495003	54_IGF1	1	2	1	7.083333	2	1	4	1.54112	1.004644	1.125744	.9399909	.9766002	.5327554	.1377842	.4144133	.5043221	1.161069	-1.003148	.6637516	.9762363	-1.458376	-1.289085	-1.150349	-2.059215	.8827738	1.37281	1.505968	2.34813	1.260339	.2387225	.0473125	.9182451	1.073562	1.37281	-.3373553	.8483799	1.505968
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF1_210224_G06	210224	1	NK159	insH2Bfabp	CD15	IGF1	1	0	0	2	1	9	.9795502	1	1	3	7.2106897	.0340296	.12684813	.170148	.779416	1	22	22															16	387490	1088	8896.2702	6478.5611	9679142	1539.282	-5.86e+07		3587.521	984471.1	906383.4	54_IGF1	1	2	1	7.216667	2	1	4	-1.54112	.242724	-2.46507	-1.339046	-2.46507	.4507442	-.8465244	-1.402673	-.1101623	.0219897	-.6069868	-.89673	-1.21679	-1.561435	-1.839855	-1.839855	-1.561435													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF1_210224_E01	210224	1	NU304	insH2Bfabp	CD15	IGF1	1	0	0	2	1	9	1		1	3	3.367425						24	73															157	542710	13149	8407.2751	6743.9322	1.11e+08	656.2841	3.59e+07	54	3828.233	986998.3	1291589	54_IGF1	1	2	2	3.583333	2	1	4	-.5804016	.3141269	-.103195	.3370077	-.3504148	2.019086	1.266094					-1.738108	-.2499428	.6539285	.8276041	.5357877	.9244287													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IGF1_210224_G08	210224	1	NK176	insH2Bfabp	CD15	IGF1	1	0	0	2	1	9	1	.9328613	1	3	7.0912069	.1020888	.15856016	0	.4676496	1	39	39															81	347502	6006	8009.7627	7263.0125	4.81e+07	-511.9193	-3.91e+07	5	3641.661	822194.5	1112444	54_IGF1	1	2	1	9	2	1	4	-1.192981	-1.004644	-.798367	-.3003779	-1.54112	.7566237	-1.266094	-.0896424	-1.118958	-2.107345	-.1992013	-.9766002	-2.059215	-.5742636	-.7820069	-.4610861	-.7379805													
