filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	iapp_nwt	iapp_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IAPP_201105_F02	201105	1	NK012	insH2Bfabp	CD15	IAPP	1	0	0	2	1	9	.958086	1	2	7.1757211	.4083552	.14270414	.3743256	.8573576	1	12	12	223624	6776	5521	15630	4170	33	3.412e+09	2	7459	1947	23	41	19	16	110	352242	8236	21648.365	18668.087	1.78e+08	1783.502	-1.93e+07	31	3643.308	841843.6	1123659	27_IAPP	1	1	1	6.8	1	1	1	-1.396713	-1.587056	-1.587056	-.2895613	-.9591166	1.684395		-1.406504	-.6250856	-.8920979	-1.163366	-1.263188	-1.909639	-.4987188	-.5635893	-.4987188	-.1697986	-1.254453	-1.170163	.0202161	-.1829481	-.3940442	.6245627	.224227	-1.746955	-1.746955	-1.746955	-1.746955	-1.973953	-2.141198
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IAPP_201105_G02	201105	1	NK013	insH2Bfabp	CD15	IAPP	1	0	0	2	1	9	.7338426	1	2	18.771174	1.1570064	.20612821	.510444	2.4161896	1	13	13															310	918594	22227	21630.592	20668.227	4.81e+08	-693.2232	2.14e+08	48	4100.662	1360824	1520229	27_IAPP	1	1	1	6.9	1	1	1	-.2050923	1.862732	.4364642	-1.478625	.7764218	-1.21679	-.7916386	.1606864	.6089566	-.0533578	-.6089566	1.004335	1.758563	1.909639	1.758563	1.078302	2.123549													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IAPP_201105_H02	201105	1	NK014	insH2Bfabp	CD15	IAPP	1	0	0	2	1	9	.9463437	1	2	10.695769	.8847696	.15856016	.5444736	1.4808904	1	14	14	432961	7098	5333	12286	3625	61	5.336e+09	1	3675077	162625	132	220	206	127	215	539160	16328	22968.878	20734.06	3.75e+08	564.1274	1.06e+08		4024.823	967259.5	1317727	27_IAPP	1	1	1	6.966667	1	1	1	-.3351658	-.5065081	-.3351658	-.9019402	-.6942906	-.9244287	.1305846	-.3539128	-.2286397	.2423479	-1.018352	-.481115	-.7752326	.7012515	.7012515	.6309245	.8950011	.3507093	.5761465	.224227	-.3507093	.4830894	.1012464	-.0606815	-.1829481	.2658918	.1215874	-.4830894	.6245627	.6001788
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IAPP_201105_A03	201105	1	NK015	insH2Bfabp	CD15	IAPP	1	0	0	2	1	9	.8860147	1	2	16.389965	.9528288	.3012643	.6125328	.6235328	1	15	15	411812	5084	3754	8462	2735	81	3.488e+09	2	3364302	134747	124	209	163	129	254	658048	19090	25912.486	23378.969	4.95e+08	256.1102	1.35e+08	12	3995.617	1025429	1414178	27_IAPP	1	1	1	7.066667	1	1	1	-.3685006	-.3351658	-.1573107	-.2566249	-.86416	-.4247038	.4727891	-.1471942	-1.087999	.9121265	.2561017	.6744897	-.1697986	1.130117	1.029232	1.130117	.9378634	1.456837	.3940442	-1.254453	-1.585278	-.3080234	-.835874	-.726158	-.224227	-.1829481	-.2035442	-.6744897	-.3722894	.7527288
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IAPP_201105_B03	201105	1	NK016	insH2Bfabp	CD15	IAPP	1	0	0	2	1	9	.8060762	1	2	9.7639919	.7826808	.19027219	.510444	1.558832	1	16	16	256957	7138	6109	10550	2948	36	2.713e+09	1	2702078	101123	102	240	148	121	116	717250	9643	22426.589	21585.51	2.16e+08	-1024.926	-8.19e+07	12	4156.718	1119831	1518390	27_IAPP	1	1	1	7.133333	1	1	1	-.0156671	.4022501	.4022501	.5316958	.3351658	.0825485	.2298841	-.6250856	-.1471942	-.0533578	-.8340455	-.7810338	.2854742	-.4358834	-.3446772	-.2854742	-.7752326	-1.057414	-.779842	.4830894	.3940442	-.726158	-.2658918	-.529045	-.6744897	-.779842	-1.022696	-.2658918	-.779842	.2035442
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IAPP_201105_C03	201105	1	NK017	insH2Bfabp	CD15	IAPP	1	0	0	2	1	9	1	1	2	8.7286836	.7146216	.19027219	.4764144	2.4941312	1	17	17															184	702411	14408	23706.168	22376.452	3.42e+08	-717.7225	1.61e+07	0	4173.904	1119323	1420833	27_IAPP	1	1	1	7.2	1	1	1	.1414683	.3685006	-.1098857	2.075128	.8195021	.8749908	.3661064	-.7786766	.7968608	-.325661	-.8340455	-.9601961	.1984454	.3149377	.4051146	.4051146	.1128968													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IAPP_201105_D03	201105	1	NK018	insH2Bfabp	CD15	IAPP	1	0	0	2	1	9	1	1	2	13.698164	.9868584	.28540829	.4764144	2.4161896	1	18	18															206	634588	16038	23299.082	21702.801	3.74e+08	-296.6293	7.14e+07	0	4102.062	1057609	1443413	27_IAPP	1	1	1	7.266667	1	1	1	-.1731927	-.0470166	-.0470166	-.1593188	-.1731927	-.2160518	-.0978166	-.0800843	.6089566	-.325661	.0934678	-.0955058	-.3747248	.6138328	.6309245	.5969185	.5969185													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IAPP_201105_E03	201105	1	NK019	insH2Bfabp	CD15	IAPP	1	0	0	2	1	9	.9443666	1	2	15.458188	1.2590952	.34883235	.5785032	2.8838392	1	19	19															126	648796	10849	15634.978	15413.491	1.70e+08	-228.7179	8.43e+07	29	4241.998	1187736	1494793	27_IAPP	1	1	1	7.333333	1	1	1	.3021995	.8195021	.2695584	1.857141	1.587056	-.5742636	-1.039222	.339753	1.163366	.6413788	.6744897	.2617966	-.2562565	-.3446772	-.1697986	-.5635893	.7012515													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IAPP_201105_F03	201105	1	NK020	insH2Bfabp	CD15	IAPP	1	0	0	2	1	9	1	1	2	8.8322144	1.3271544	.28540829	.5444736	1.6367736	1	20	20															166	750708	12124	16134.707	16867.846	1.96e+08	-1516.959	6.01e+07	20	4417.004	1157380	1592889	27_IAPP	1	1	1	7.4	1	1	1	1.181259	.6942906	1.246721	1.055626	.5065081	.3186394	.1634935	.5459412	-.0133335	.2423479	.0934678	-.9178534	.5635893	.1412905	0	-.4358834	.4051146													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IAPP_201105_G03	201105	1	NK021	insH2Bfabp	CD15	IAPP	1	0	0	2	1	9	.8556901	1	2	14.112287	1.1570064	.22198422	.4764144	2.4161896	1	21	21	335214	5986	5495	8819	3567	56	3.003e+09	1	3879302	132870	113	242	167	117	267	688588	19843	29398.561	25779.812	5.83e+08	790.612	1.41e+08	0				27_IAPP	1	1	1	7.466667	1	1	1								.1606864	.6089566	-.325661	-.4405008	.0136234	.1128968	1.244045	1.130117	1.539856	1.029232	.1012464	-.1829481	-.4830894	-.224227	-.529045	-.6245627	-.1419788	.0202161	-.2658918	-.6245627	-.224227	-.0606815	-.0809473
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IAPP_201105_C04	201105	1	NK024	insH2Bfabp	CD15	IAPP	1	0	0	2	1	9	1	1	2	17.839397	1.191036	.33297634	.5785032	2.4941312	1	24	24	350930	5086	4375	10834	3608	69	3.625e+09	1	5054950	181601	125	269	212	130	50	538925	3936	21267.732	22750.337	8.37e+07	-3615.81	-2.55e+08	0	4288.226	1103562	1537665	27_IAPP	1	1	1	7.75	1	1	1	.4364642	.2372021	.6165979	-.2239646	.2050923	-2.059215	1.096804	.2286397	.7968608	.6413788	.5771623	.8770955	-.8138509	-1.078302	-1.029232	-.9378634	-1.758563	.779842	-.0202161	-1.170163	-1.211232	-.224227	-.1829481	-.1012464	.5761465	.6245627	-.1419788	.3940442	.779842	.835874
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IAPP_201105_D04	201105	1	NK025	insH2Bfabp	CD15	IAPP	1	0	0	2	1	9	.9789428	1	2	15.76878	.9187992	.3012643	.5785032	2.338248	1	25	25	484183	6633	5551	8539	2787	73	4.045e+09	1	7025983	259302	143	387	203	117	162	813352	10950	26276.965	22946.491	2.88e+08	1152.273	-5.74e+07	5				27_IAPP	1	1	1	7.827778	1	1	1								-.2423479	.4405008	.6413788	.2561017	.3765316	.9378634	.1128968	-.1128968	-.0563585	-.4358834	1.170163	1.022696	-.0606815	-.1012464	-.1419788	-.779842	-.6744897	1.456837	1.973953	.529045	1.973953	.5524426	-.0809473
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IAPP_201105_E04	201105	1	NK026	insH2Bfabp	CD15	IAPP	1	0	0	2	1	9	1	1	2	17.321743	1.2931248	.66595267	.680592	3.5853136	1	26	26															50	907354	4073	18283.152	18027.732	7.45e+07	-794.4657	-1.01e+08	39				27_IAPP	1	1	1	7.905556	1	1	1								.4405008	2.145475	1.306186	2.145475	.837745	1.453563	-1.078302	-.9825221	-1.078302	-.9378634													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IAPP_201105_F04	201105	1	NK027	insH2Bfabp	CD15	IAPP	1	0	0	2	1	9	.5839249	1	2	12.04167	.0680592	.25369626	.5785032	.4676496	1	27	27	454637	6495	5329	10723	3057	70	4.807e+09	1	5391982	224173	144	257	216	157	44	685900	2691	19057.771	19043.381	5.13e+07	-1268.475	-1.59e+08	7	4372.471	1033250	1478868	27_IAPP	1	1	1	7.983333	1	1	1	.9591166	-.2050923	.2372021	0	.3021995	.1824072	2.484125	-1.721797	-1.523396	.6413788	-.1742078	-.3186394	.0563585	-1.214075	-1.453563	-1.539856	-1.185158	.8648943	.6744897	-.3080234	-.3940442	.1829481	-.224227	-.3940442	.835874	1.093456	.6001788	.1829481	.8648943	1.973953
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IAPP_201105_A05	201105	1	NK030	insH2Bfabp	CD15	IAPP	1	0	0	2	1	9	.7152594	1	2	22.498284	1.3271544	.25369626	.170148	.7014744	1	30	30	499571	5947	5175	8731	2544	84	4.402e+09	1	6301251	231766	161	247	217	143	185	840544	13153	25915.592	23376.011	3.41e+08	262.853	-1.91e+07		4495.54	1281166	1635462	27_IAPP	1	1	1	8.2	1	1	1	1.587056	1.181259	1.396713	.2239646	-.1414683	.6953402	.3315094	.5459412	-.9533248	-1.371521	-.1742078	2.546865	1.130117	.3747248	.1697986	.3747248	-.1412905	1.746955	1.093456	-.6245627	-.529045	-.0202161	-.6744897	-.807541	.9567178	1.254453	1.348744	-.0606815	.9567178	1.456837
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IAPP_201105_B05	201105	1	NK031	insH2Bfabp	CD15	IAPP	1	0	0	2	1	9	.716885	1	2	15.561719	1.361184	.25369626	.6125328	2.8058976	1	31	31	283977	5680	4501	9526	3365	50	2.729e+09	1	2878453	110473	107	263	172	114	175	594211	13459	21601.724	19495.355	2.91e+08	719.826	6.46e+07	16	4289.228	1042237	1444699	27_IAPP	1	1	1	8.25	1	1	1	.4711971	-.1731927	-.0156671	.3228149	.1731927	-.2841234	2.064598	.6250856	1.041007	.9121265	-.1742078	.3474399	-.4987188	.227256	.227256	-.0281681	.4670705	-.224227	-.4381324	-.726158	-.9567178	-.6744897	-.3940442	-.3080234	-.4381324	-.5761465	-.8946621	.3292913	.0202161	-.2658918
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IAPP_201105_C05	201105	1	NK032	insH2Bfabp	CD15	IAPP	1	0	0	2	1	9	.800561	1	2	16.804089	1.4292432	.25369626	.680592	2.9617808	1	32	32																											27_IAPP	1	1	1	8.308333	1	1	1								.7607465	1.245996	1.306186	-.1742078	.7267301																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IAPP_201105_D05	201105	1	NK033	insH2Bfabp	CD15	IAPP	1	0	0	2	1	9	.9356222	1	2	15.354657	1.9396872	.44396845	.8167104	2.2603064	1	33	33															217	918376	16095	21758.146	21139.501	3.50e+08	-1145.05	6.74e+07	3	4567.814	1301652	1719710	27_IAPP	1	1	1	8.366667	1	1	1	2.497705	1.485165	2.497705	.7670732	.9591166	.9762363	.7054673	1.721797	.3681439	2.028069	1.306186	.205788	1.639431	.7377372	.6656764	.4670705	.5635893													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IAPP_201105_E05	201105	1	NK034	insH2Bfabp	CD15	IAPP	1	0	0	2	1	9	.588692	1	2	15.458188	1.3271544	.31712032	.5785032	1.558832	1	34	34															300	919096	21373	23764.06	22541.206	5.08e+08	-862.3782	1.77e+08	26	4305.553	1311940	1640038	27_IAPP	1	1	1	8.433333	1	1	1	.5424624	1.587056	1.485165	1.478625	1.396713	.4980894	.9848956	.5459412	-.1471942	.6413788	.4552406	.2617966	1.909639	1.639431	1.453563	1.244045	1.185158													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IAPP_201105_F05	201105	1	NK035	insH2Bfabp	CD15	IAPP	1	0	0	2	1	9	.9534978	1	2	13.076979	1.0889472	.3012643	.2041776	.779416	1	35	35															241	687262	20146	22498.024	20473.498	4.53e+08	413.6058	1.93e+08	11				27_IAPP	1	1	1	8.5	1	1	1								.0133335	-.7786766	-1.137524	.2561017	-.1504181	.0845939	.9599534	1.244045	.9825221	1.453563													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IAPP_201105_G05	201105	1	NK036	insH2Bfabp	CD15	IAPP	1	0	0	2	1	9	.0494253	0	1	18.046459	1.3952136	.12684813	.5444736	3.117664	1	36	36	221335	5675	5240	8607	3745	39	1.887e+09	1	3278677	111256	140	236	157	97	54	633064	4791	24984.52	23912.204	1.20e+08	-1327.411	-2.59e+08	9	4207.15	1089281	1452265	27_IAPP	1	1	1	8.566667	1	1	1	.2695584	.1098857	.1098857	.9506695	-.0627068		.2973049	.6744897	1.338139	.2423479	-1.371521	.9178534	-.4051146	-.9825221	-.9378634	-.8138509	-1.909639	-.8946621	-1.254453	-.779842	-.4830894	-1.254453	-.726158	-.0202161	-.2658918	-.529045	.4830894	-.3080234	-.5059336	-1.057414
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IAPP_201105_B07	201105	1	NK039	insH2Bfabp	CD15	IAPP	1	0	0	2	1	9	.0367405	0	1	15.458188	.7826808	.3964004	.4083552	1.7926568	1	39	39	303170	5614	4753	11377	4128	54	3.425e+09	1	4352974	155667	115	326	223	106	200	645670	14823	27745.886	25538.402	4.11e+08	-565.2751	-2.32e+07	89	3795.996	890218.5	1221292	27_IAPP	1	1	1	9.5	1	1	1	-.7764218	-.9591166	-.6549499	-1.001768	.1414683	-1.150349	-.7478586	-.6250856	.1606864	-.7968608	.9533248	.2617966	-.2854742	.4987188	.4987188	.7752326	-.2562565	-.0404405	-.3080234	-.835874	-.8946621	-.3507093	-.0606815	.1829481	.3080234	.1829481	-.5524426	1.254453	1.211232	-.5761465
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IAPP_201105_C07	201105	1	NK040	insH2Bfabp	CD15	IAPP	1	0	0	2	1	9	.9788554	1	2	5.8298203	1.2931248	.07928008	.4423848	1.3250072	1	40	40	262204	6395	5540	19111	5006	41	4.838e+09	1	1724352	80164	89	183	151	118	224	778020	17304	21184.647	20837.546	3.67e+08	-1347.329	9.42e+07	15				27_IAPP	1	1	1	9.55	1	1	1								.4405008	-.339753	-.6413788	-1.933363	-1.556601	.7377372	.7752326	.8138509	.5635893	.7752326	-.779842	-.726158	-.3940442	-.1419788	.224227	1.585278	.6245627	-1.254453	-1.170163	-1.254453	-1.170163	-.726158	.0202161
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IAPP_201105_D07	201105	1	NK041	insH2Bfabp	CD15	IAPP	1	0	0	2	1	9	0	0	1	6.8651286	1.4973024	.0951361	.4764144	1.3250072	1	41	41															135	872426	9482	19995.348	19321.943	1.90e+08	-673.3605	-3.05e+07	89	4524.674	1253247	1688951	27_IAPP	1	1	1	9.6	1	1	1	1.862732	1.063622	1.708735	.7251591	1.485165	-1.458376		.9962083	-.339753	-.325661	-1.783727	-1.326172	1.244045	-.2854742	-.3747248	-.4670705	-.3446772													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IAPP_201105_E07	201105	1	NK042	insH2Bfabp	CD15	IAPP	1	0	0	2	1	9	0	0	1	16.389965	1.1229768	.53910454	.4764144	2.1823648	1	42	42															231	635849	17965	28224.037	25831.278	5.07e+08	-447.1833	6.25e+07	90	3825.196	1025564	1317189	27_IAPP	1	1	1	9.7	1	1	1	-.6165979	-.3021995	-.3685006	-.0635016	.2372021	.0164917	-1.465234	.0667151	.339753	-.325661	1.853367	.6744897	-.3446772	.8138509	.8950011	1.185158	.4358834													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IAPP_201105_F07	201105	1	NK043	insH2Bfabp	CD15	IAPP	1	0	0	2	1	9	.8661238	1	2	15.872311	.9187992	.42811243	.4764144	2.338248	1	43	43	376263	5972	4404	11608	4193	63	4.340e+09	3	3840575	143576	134	225	165	132	180	665280	14382	20308.474	19687.646	2.92e+08	-809.8258	5.93e+07	16	4191.846	1017100	1427681	27_IAPP	1	1	1	9.766666	1	1	1	.2050923	-.4022501	-.0784124	.0317348	-.2050923	-.6136091	-.4366879	-.2423479	.4405008	-.325661	1.19001	.435715	-.0281681	.2708364	.3747248	0	.3747248	.4830894	.1419788	-.529045	-1.093456	-.0606815	-.0202161	.2658918	-.0606815	.1012464	.2658918	-.3940442	-.2035442	.8946621
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IAPP_201105_G07	201105	1	NK044	insH2Bfabp	CD15	IAPP	1	0	0	2	1	9	.0488348	0	1		.0680592	.26955227	.1020888	.1558832	1	44	44	281152	5305	5341	12771	3901	53	3.547e+09	1	3141048	139510	112	244	178	125									72	3813.561	1414522	1149739	27_IAPP	1	1	1	9.833333	1	1	1	-.6549499	2.080278	-1.120502	1.23942	-2.497705	.4610861	-2.484125	-1.721797	-2.554361	-2.554361	-.0133335							-.1012464	-.529045	-1.093456	-.3080234	-.2658918	.1419788	.0606815	-.3080234	-.0606815	-.6744897	-.1624294	.1829481	.4604945
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IAPP_201105_A08	201105	1	NK046	insH2Bfabp	CD15	IAPP	1	0	0	2	1	9	.9636137	1	2	16.286434	.8847696	.3964004	.5444736	2.4161896	1	46	46															301	690642	22289	26168.408	24059.045	5.83e+08	-324.0459	2.00e+08	9	4159.891	1024891	1409647	27_IAPP	1	1	1	9.95	1	1	1	.0156671	-.3685006	-.2050923	-.1272606	-.4022501	1.368829	.9333305	-.3539128	.6089566	.2423479	.9533248	.5751093	.1412905	1.758563	1.909639	1.453563	1.639431													
