filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	ncam1a_nwt	ncam1a_dich	ncam1b_1_nwt	ncam1b_1_dich	ncam1b_2_nwt	ncam1b_2_dich	ncam1_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_10dpf_VAST02_plate01_NCAM1_201123_G07	201123	1	ND305	insH2Bfabp	CD15	NCAM1	1	0	0	2	1	10	.8645161	1	.4325926	1	1	1	1	4	14.790415	.7486512	.65009666	.6125328	5.6897368	1	47	47	184980	4302	4213	9810	3555	43	1.642e+09	1	2247058	87659	110	215	126	105	149	511936	11076	12242.924	10732.042	1.36e+08	-832.3062	-1.45e+07	38	3417.56	1030229	1071382	32_NCAM1	1	2	1	7.4	2	1	4	-.9420758	.2434042	-.6744897	-1.303783	-.5578848	2.069902	-2.053749	-.9674216	1.324958	.4307273	-1.128144	.5375191	-.2434042	-.1451209	-.2434042	-.1451209	-.2434042	-.3740954	-.6102946	-2.036834	-2.036834	-.741594	.3740954	.4887764	-.4887764	-.4887764	-.6102946	-.264147	-.741594	-.1046335
InsH2Bfabp_CD15_10dpf_VAST02_plate01_NCAM1_201123_F06	201123	1	ND296	insH2Bfabp	CD15	NCAM1	1	0	0	2	1	10	.5770925	1	.5142119	1	1	1	1	4	13.47703	.8847696	1.1574892	.340296	4.2088464	1	38	38	132354	4564	5276	14979	4390	29	1.819e+09	1	1339565	64392	91	151	120	97	88	392252	6181	20369.442	14835.073	1.26e+08	2229.117	-1.50e+08		3406.135	766626.9	1033190	32_NCAM1	1	2	1	6.6	2	1	4	-1.104836	-1.303783	-.8010945	-2.069902	-2.069902	-.9420758	.9153651	-.5894558	.1867561	-.7647097	.5894558	.2888094	-1.574445	-1.104836	-1.303783	-.3441025	-2.069902	-1.150349	-2.036834	-1.534121	-.1573107	-.4887764	2.036834	1.534121	-1.054472	-1.054472	-1.258162	-1.054472	-.8871465	-.8871465
InsH2Bfabp_CD15_10dpf_VAST02_plate01_NCAM1_201123_G06	201123	1	ND297	insH2Bfabp	CD15	NCAM1	1	0	0	2	1	10	1	1	1	1	1	1	1	4	14.386296	.8847696	.85622486	.3743256	4.5206128	1	39	39	173758	4573	4762	1907	641	38	3.568e+08	1	1599950	90175	99	171	147	93	246	545036	18726	25871.738	21197.118	4.84e+08	-122.3786	1.32e+07	53	3368.382	851847.6	1141350	32_NCAM1	1	3	1	6.716667	3	1	4	-2.069902	-.5578848	-.4484255	1.303783	-1.303783	-.8010945	.3054808	-.5894558	.3803256	-.4307273	-.2822162	.4099833	-.0482231	1.303783	1.104836	2.069902	.4484255	-.4887764	-1.054472	-1.258162	-.8871465	-2.036834	-2.036834	-2.036834	-.8871465	-.264147	-1.054472	-.741594	-.3740954	-1.054472
InsH2Bfabp_CD15_10dpf_VAST02_plate01_NCAM1_201123_C03	201123	1	ND274	insH2Bfabp	CD15	NCAM1	1	0	0	2	1	10	.9764314	1	.5849374	1	.9814472	1	1	4		1.2250656	.53910454	.510444	2.9617808	1	16	16	269810	7709	5353	5759	1631	35	1.578e+09	2	7600	1916	23	28	24	21	212	678520	17891	16960.583	14483.219	3.03e+08	-745.3865	3.82e+07	62	3646.492	1083120	1352375	32_NCAM1	1	3	1	4.066667	3	1	4	-.0482231	.6744897	.2434042	.0482231	1.104836	-.1451209	1.080319	.4822482	-1.593219	-.0929718	-1.324958		.8010945	.5578848	.6744897	1.303783	.6744897	-.8122178	-.264147	.741594	-.0522452	-.8871465	-1.054472	-1.258162	-2.036834	-2.036834	-2.036834	-2.036834	-1.534121	-1.534121
InsH2Bfabp_CD15_10dpf_VAST02_plate01_NCAM1_201123_C06	201123	1	ND293	insH2Bfabp	CD15	NCAM1	1	0	0	2	1	10	1	1	.5565852	1	1	1	1	4	13.27497	.85074	1.3001933	.510444	3.9750216	1	35	35	184378	8381	6510	9279	2512	22	1.737e+09	1	1249905	63965	101	146	109	101	89	441125	7092	17466.929	11986.397	1.24e+08	2843.228	-6.47e+07	195	3536.306	850127.9	1118201	32_NCAM1	1	3	1	6.316667	3	1	4	-.4484255	-.6744897	-.5578848	.3441025	-.9420758	-.2434042	.4124631	-.8284646	.0464357	-.0929718	.9674216	.1717471	-.9420758	-.8694237	-.6744897	-.4484255	-1.303783	-2.036834	-.741594	1.534121	1.054472	-.6102946	.1573107	-.3740954	-1.258162	-1.258162	-.8871465	-1.258162	-1.258162	-.5485223
InsH2Bfabp_CD15_10dpf_VAST02_plate01_NCAM1_201123_G03	201123	1	ND277	insH2Bfabp	CD15	NCAM1	1	0	0	2	1	10	.9958532	1	.9575346	1	1	1	1	4	3.4750979	1.1229768	1.2526253	.340296	3.3514888	1	19	19	482241	6989	5522	6401	1721	69	3.029e+09	2	7764047	210377	190	334	188	148	245	961016	18859	14842.773	13526.104	2.80e+08	-1681.66	4.41e+07	35	4296.236	1175205	1595745	32_NCAM1	1	3	1	4.383333	3	1	4	1.574445	1.574445	1.574445	.5578848	.6744897	.3441025	0	0	-.7647097	-.7647097	.8284646	-2.000424	2.069902	1.104836	1.303783	.9420758	.8010945	1.534121	1.258162	.4887764	.1573107	.3740954	-.8871465	-.8871465	2.036834	2.036834	2.036834	2.036834	1.054472	1.258162
InsH2Bfabp_CD15_10dpf_VAST02_plate01_NCAM1_201123_C01	201123	1	ND260	insH2Bfabp	CD15	NCAM1	1	0	0	2	1	10	1	1	.4453672	1	.9595588	1	1	4		1.191036	.8879369	.3062664	3.117664	1	2	2	579913	9205	6824	8666	2605	63	5.131e+09	1	7180574	201003	170	231	228	146	297	916634	21990	9876.9886	8008.6827	2.17e+08	163.6808	1.51e+08		3876.518	1016771	1338453	32_NCAM1	1	3	1	2.366667	3	1	4	.5578848	.1451209	.0482231	-.5578848	.9420758	1.303783	-1.554774	.1397103	-1.128144	-1.22064	-.0929718		1.574445	2.069902	2.069902	.2434042	2.069902	1.258162	2.036834	2.036834	2.036834	2.036834	-.1573107	-.0522452	1.534121	1.534121	1.534121	.4887764	2.036834	1.054472
InsH2Bfabp_CD15_10dpf_VAST02_plate01_NCAM1_201123_H07	201123	1	ND306	insH2Bfabp	CD15	NCAM1	1	0	0	2	1	10	0	0	0	0	0	0	0	1	11.456437	.510444	.6976647	.6465624	4.7544376	1	48	48															97	431930	6945	13241.937	10839.83	9.20e+07	33.64505	-6.15e+07	47				32_NCAM1	1	3	1	7.466667	3	1	4								-1.324958	.5894558	.7039218	-.7647097	-.0569997	-1.104836	-.6744897	-.8010945	-.9420758	-1.104836													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_NCAM1_201123_C08	201123	1	ND309	insH2Bfabp	CD15	NCAM1	1	0	0	2	1	10	1	1	.4298801	1	1	1	1	4	4.5864237	1.5993912	.6976647	.5785032	4.3647296	1	2	51	318298	5305	4733	7594	2459	60	2.586e+09	1	3153235	139034	120	228	178	103	98	487776	6405	14891.389	12071.858	9.54e+07	162.1878	-9.59e+07		3562.379	901837.4	1219617	32_NCAM1	1	3	2	7.65	3	1	4	-.3441025	-.4484255	-.2434042	-.6744897	-1.574445	1.104836	-.7721932	1.128144	.2822162	.2342192	-.7647097	-1.207414	-.3441025	-.5578848	-1.104836	-.8010945	-1.574445	.8871465	.1573107	-.6102946	-1.054472	-.1573107	-.3740954	-.6102946	.0522452	.1573107	-.1573107	.3740954	.4887764	-.3186394
InsH2Bfabp_CD15_10dpf_VAST02_plate02_NCAM1_201123_F01	201123	2	ND325	insH2Bfabp	CD15	NCAM1	1	0	0	2	1	10	1	1	.5517641	1	1	1	1	4	16.630905	2.1438648	1.3953294	.6465624	6.4691528	1	18	67	382248	7212	6384	11254	3487	53	4.264e+09	1	3624339	156496	124	239	182	132	136	581064	11345	18246.12	12541.556	2.07e+08	2937.088	1348141	8	3812.925	970564.3	1356831	32_NCAM1	1	4	2	9.35	4	1	4	.3441025	-.1451209	.4484255	-.1451209	.2434042	-.5578848	.2018935	1.593219	2.085356	.7039218	1.128144	.6744897	.0482231	-.2434042	-.1451209	.1451209	.3441025	.264147	.4887764	.6102946	.8871465	1.258162	.741594	.3740954	.1573107	.3740954	.0522452	.741594	.741594	.6102946
InsH2Bfabp_CD15_10dpf_VAST02_plate01_NCAM1_201123_D08	201123	1	ND310	insH2Bfabp	CD15	NCAM1	1	0	0	2	1	10	0	0	.0222044	0	0	0	0	1	19.740866	.9528288	1.7283057	.8847696	6.1573864	1	3	52	303029	5827	5357	3908	1329	52	1.184e+09	1	3835355	152333	128	329	159	123	89	657574	7240	10568.499	9540.8759	7.65e+07	-1036.265	-3.71e+07	13	3982.133	1077273	1491010	32_NCAM1	1	4	2	7.716667	4	1	4	.9420758	.5578848	1.303783	1.104836	.4484255	.2434042	2.053749	-.2822162	1.593219	1.786156	1.593219	1.48947	.5578848	-.8694237	-.5578848	-1.104836	-.4484255	.1046335	-.0522452	-.264147	.0522452	-1.258162	-1.534121	-1.534121	.3740954	.264147	.264147	1.534121	-.264147	.3740954
InsH2Bfabp_CD15_10dpf_VAST02_plate01_NCAM1_201123_D01	201123	1	ND261	insH2Bfabp	CD15	NCAM1	1	0	0	2	1	10	1	1	.3408442	1	1	1	1	4	4.2833349	.2722368	.7928008	.1361184	2.8838392	1	3	3	181942	4917	4256	13035	4448	37	2.283e+09	1	1955442	80333	113	216	134	78	189	451292	13667	16096.871	13078.896	2.20e+08	124.5055	-2146391	0	3381.46	797057.5	1031366	32_NCAM1	1	4	1	2.466667	4	1	4	-1.574445	-.9420758	-.9420758	-.9420758	-.0482231	-.4484255	-.4124631	-2.085356	-2.085356	-2.085356	-.4822482	-1.48947	-.8010945	.4484255	.2434042	.3441025	.2434042	-.6102946	-.8871465	-.8871465	-1.534121	-.264147	1.534121	2.036834	-.741594	-.8871465	-.4887764	-.1573107	-.4887764	-1.258162
InsH2Bfabp_CD15_10dpf_VAST02_plate01_NCAM1_201123_D03	201123	1	ND275	insH2Bfabp	CD15	NCAM1	1	0	0	2	1	10	.0257459	0	.0416078	0	.0136996	0	0	1		.4764144	.95136096	.2722368	3.1956056	1	17	17	293867	5997	5153	10890	2867	49	3.114e+09	1	2839359	105632	127	187	168	101	167	463672	11931	10836.074	8467.5961	1.29e+08	556.2484	4.86e+07		3449.689	825738.5	982631.8	32_NCAM1	1	4	1	4.15	4	1	4	-.6744897	-.8010945	-2.069902	.8010945	.0482231	-1.303783	-.9153651	-1.593219	-.9674216	-1.593219	.1397103		-.5578848	.0482231	-.0482231	-.2434042	.9420758	-.1046335	-.1573107	-.0522452	-.4887764	.4887764	.6102946	.1573107	-.1573107	-.1573107	.1573107	-.6102946	0	-.5485223
InsH2Bfabp_CD15_10dpf_VAST02_plate01_NCAM1_201123_D04	201123	1	ND280	insH2Bfabp	CD15	NCAM1	1	0	0	2	1	10	.7403685	1	.7287554	1	.9715433	1	1	4	9.0317267	1.2250656	.95136096	.3062664	3.5853136	1	22	22															170	452524	13127	17757.206	14669.021	2.33e+08	-178.1311	-3.78e+07	9	3402.78	739231.9	1019493	32_NCAM1	1	4	1	4.95	4	1	4	-1.303783	-2.069902	-1.303783	.4484255	-1.104836	.8010945	-1.080319	.4822482	-.4307273	-1.22064	.1397103	-.1717471	-.6744897	.1451209	.1451209	.5578848	-.5578848													
InsH2Bfabp_CD15_10dpf_VAST02_plate02_NCAM1_201123_C01	201123	2	ND322	insH2Bfabp	CD15	NCAM1	1	0	0	2	1	10	.9635978	1	1	1	1	1	1	4	8.4088473	1.3271544	1.6490257	.5785032	3.9750216	1	15	64	307110	5584	5208	12027	4272	55	3.585e+09	3	8475	2018	24	33	22	20									9	3726.415	1152101	1409169	32_NCAM1	1	4	2	9.1	4	1	4	.2434042	1.303783	.9420758	2.069902	1.303783	-.3441025		.9674216	.0464357	.2342192	1.324958	-.2888094						.4307273	.0522452	-.4887764	-.264147	.741594	1.054472	1.054472	-1.534121	-1.534121	-1.534121	-1.534121	-2.036834	-2.036834
