filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	hmg20a_nwt	hmg20a_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate02_HMG20A_200930_C01	200930	2	NC751	insH2Bfabp	CD15	HMG20A	1	0	0	2	1	9	0	0	1	14.785858	.510444	.3964004	.1361184	1.4029488	1	20	69	345101	5657	4907	9854	3105	61	3.252e+09	1	3176258	139481	133	202	169	119									0	3967.967	940642.1	1285188	13_HMG20A	1	1	2	9.166667	1	1	4	.2649541	.1124738	.4238958	.0374211	1.062786	-1.987428	-1.391153	-.6618544	.3507093	-.8946621	.6428442	1.024106						.4521474	.4200915	-.1757821	-.1757821	-.1757821	-.2957227	-.4200915	-.149762	.1168527	.0875522	-.9830529	-.1168527	-.029151
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMG20A_200930_G01	200930	1	NC689	insH2Bfabp	CD15	HMG20A	1	0	0	2	1	9	.9546133	1	2	10.68315	.7146216	.28540829	.3062664	.7014744	1	7	7															77	275331	6736	21002.62	17308.662	1.41e+08	1410.707	-4.21e+07	0	3618.78	850770.9	1154030	13_HMG20A	1	1	1	2.5	1	1	4	-1.29875	-1.072307	-.7344303	-.3039132	-.3894143	.9165567	1.782751	.1317762	-.835874	.224227	-.2156401	-.3050467	-1.699178	-.1346898	-.0223825	.7824294	-.7197189													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMG20A_200930_A05	200930	1	NC714	insH2Bfabp	CD15	HMG20A	1	0	0	2	1	9	.9475426	1	2	9.1253531	.85074	.38054438	.1361184	1.4808904	1	32	32																							0	3737.108	859309.4	1159279	13_HMG20A	1	1	1	4.483333	1	1	4	-1.008045	-.8906177	-.6396686	-.4238958	-1.77585	-1.473468	-.8906177	.5407068	.6001788	-.8946621	.4531975	-.84754																		
InsH2Bfabp_CD15_09dpf_VAST02_plate02_HMG20A_200930_A04	200930	2	NC771	insH2Bfabp	CD15	HMG20A	1	0	0	2	1	9	0	0	1		.0340296	.42811243	.1020888	.0779416	1	40	89																								3840.567	855630.8	1074746	13_HMG20A	1	1	2	10.6	1	1	4	-.5073057	-.9476973	-1.497249	.1881663	-.4941332	2.417559	-1.29875	-2.050429	-2.649357	-1.300153	.9512777																			
InsH2Bfabp_CD15_09dpf_VAST02_plate02_HMG20A_200930_A01	200930	2	NC749	insH2Bfabp	CD15	HMG20A	1	0	0	2	1	9	.9764836	1	2	10.376107	.0340296	.41225642	.170148	.6235328	1	18	67	349020	6712	5430	11549	4034	52	3.851e+09	1	3488739	137049	142	203	173	122	59	396522	3592	6669.201	6840.8997	2.40e+07	-748.5845	-1.44e+07	0	3859.462	864049.7	1135877	13_HMG20A	1	1	2	9.033334	1	1	4	-.4238958	-.8363019	-.9476973	-1.782751	-.3894143	-1.601009	.1502124	-2.050429	-1.093456	-.6368945	.7876622	-.4269421	-1.194857	-.7028602	-.7028602	-1.260339	-.2876889	.0583267	.4846749	.9368471	.3572158	.2957227	.2353289	.6929004	.0298452	0	.4200915	-.8499573	.0875522	.2654048
InsH2Bfabp_CD15_09dpf_VAST02_plate02_HMG20A_200930_G03	200930	2	NC769	insH2Bfabp	CD15	HMG20A	1	0	0	2	1	9	1	1	2	9.7801951	.680592	.3964004	.1361184	2.0264816	1	38	87	305466	7104	6697	16261	5770	43	5.136e+09	1	3162643	129948	130	234	174	102	39	513579	3174	6476.144	6319.0888	2.06e+07	-334.7695	-1.05e+07	0	3899.042	958122.9	1275768	13_HMG20A	1	1	2	10.51667	1	1	4	-.2649541	.3039132	.3833065	.6396686	-1.207414	1.601009	.0748947	0	1.400745	-.8946621	.6428442	-.6941258	-.295179	-1.028805	-.8871465	-1.672937	-.2387225	-.656305	-.1168527	1.255486	1.255486	1.031459	1.570585	1.570585	-.2104284	-.0583267	-.0875522	-.1757821	.2054644	-.8925596
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMG20A_200930_C08	200930	1	NC735	insH2Bfabp	CD15	HMG20A	1	0	0	2	1	9	.1812132	0	1	11.929387	1.191036	.66595267	.4423848	1.169124	1	4	53	14664	1466	862	3720	1230	10	55936624	1	1284	545	13	14	13	12	196	683268	15751	10088.465	8797.9649	1.59e+08	394.5896	9.34e+07	0	4227.873	1058477	1433483	13_HMG20A	1	1	2	7.883333	1	1	4	1.29875	1.29875	1.216274	.8906177	.1717471	-.0980721	.0374211	1.48669	.0202161	1.400745	2.250926	.1350631	.9555776	1.291794	1.402673	.9182451	1.260339	-2.269206	-2.269206	-1.813418	-2.269206	-1.395747	-1.395747	-1.255486	-2.260189	-2.269206	-2.269206	-2.269206	-2.269206	-2.269206
InsH2Bfabp_CD15_09dpf_VAST02_plate02_HMG20A_200930_A02	200930	2	NC757	insH2Bfabp	CD15	HMG20A	1	0	0	2	1	9	.0243834	0	1	15.500953	.4423848	.57081658	.2722368	2.0264816	1	26	75															192	746173	14335	12338.047	10902.972	1.77e+08	196.0237	8.22e+07	0				13_HMG20A	1	1	2	9.6	1	1	4								-.8648943	1.400745	-.1726797	1.844979	1.473947	1.534121	1.194857	1.194857	1.161883	1.161883													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMG20A_200930_A02	200930	1	NC691	insH2Bfabp	CD15	HMG20A	1	0	0	2	1	9	.16178	0	1	13.798743	.9868584	.31712032	.1361184	.7014744	1	9	9	328484	6570	6622	12370	3691	50	3.844e+09	1	3982843	167731	133	254	185	131	93	629492	7595	22101.28	19719.579	1.68e+08	-294.5581	-4.91e+07	15	3957.406	1014423	1374147	13_HMG20A	1	1	1	2.7	1	1	4	.1881663	.7344303	.7344303	.4651961	.9982012	-.217107	-1.141333	.9252446	-.835874	-.8946621	.0611754	.6941258	.7028602	.0671924	.295179	1.073562	-.7824294	-.1168527	.2957227	.7690553	1.031459	.2353289	.4846749	.3572158	.27188	.7690553	.0875522	.2054644	.6205683	.8088444
InsH2Bfabp_CD15_09dpf_VAST02_plate02_HMG20A_200930_E02	200930	2	NC761	insH2Bfabp	CD15	HMG20A	1	0	0	2	1	9	1	1	2	12.998121	.4423848	.33297634	.1361184	1.4029488	1	30	79	340205	6943	5539	14682	4401	49	4.972e+09	1	2711336	113668	105	244	135	117	147	575558	10306	10336.445	9835.0107	1.07e+08	-563.5259	2.67e+07	0	4094.036	940402.8	1262653	13_HMG20A	1	1	2	9.883333	1	1	4	.8363019	.0748947	.1502124	.8363019	-.8254945	.650104	1.008045	-.8648943	.3507093	-.8946621	.1948269	.4612377	.2028072	.8871465	.7028602	.4921101	.5462332	-.2654048	.3572158	1.136341	.4200915	.9368471	1.031459	.8499573	-.8331469	-.6929004	-1.031459	.1168527	-1.255486	-.2054644
InsH2Bfabp_CD15_09dpf_VAST02_plate02_HMG20A_200930_G02	200930	2	NC763	insH2Bfabp	CD15	HMG20A	1	0	0	2	1	9	1	1	2	12.640574	.3743256	.28540829	.1361184	.5455912	1	32	81	317141	5199	5166	10979	3158	61	3.339e+09	1	2748613	111808	137	190	149	121									0	3991.914	961801.4	1235258	13_HMG20A	1	1	2	10.06667	1	1	4	.3833065	.3433392	-.0374211	-.2649541	-.3286447	-.3393116	-.3433392	-1.170163	-1.348744	-.8946621	-.2156401	.3377691						.4521474	0	-.6929004	.0583267	-.1168527	-.0583267	-.2957227	-.7514516	-.7690553	.3572158	-1.193795	-.6205683	.1462539
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMG20A_200930_E02	200930	1	NC695	insH2Bfabp	CD15	HMG20A	1	0	0	2	1	9	.0980356	0	1	9.0215	.680592	.31712032	.340296	.7014744	1	13	13																							0	3748.457	839122	1152326	13_HMG20A	1	1	1	3	1	1	4	-.8906177	-1.29875	-.7843482	-1.623523	-2.000424	.1771698	-.5944087	0	-.835874	.5881202	.0611754	-.9084579																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMG20A_200930_G05	200930	1	NC720	insH2Bfabp	CD15	HMG20A	1	0	0	2	1	9	.0226767	0	1	14.733421	1.020888	.31712032	.4423848	1.94854	1	38	38															40	522052	2841	14943.721	13593.039	4.25e+07	-326.8796	-8.96e+07	8	4374.601	1115046	1523235	13_HMG20A	1	1	1	5.1	1	1	4	2.434185	1.623523	2.434185	1.008045	1.48947	-.4235761	.3833065	1.022696	1.211232	1.400745	.0611754	.9897137	-.0671924	-.9555776	-1.028805	-.9182451	-1.505968													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMG20A_200930_A06	200930	1	NC722	insH2Bfabp	CD15	HMG20A	1	0	0	2	1	9	.9084739	1	2	16.083512	1.0889472	.3012643	.4764144	1.7926568	1	40	40															161	732200	12458	16547.106	14619.424	2.06e+08	82.80721	5.99e+07	0	4014.026	1027238	1404025	13_HMG20A	1	1	1	5.7	1	1	4	.4238958	.8363019	1.008045	0	-.0950912		.7344303	1.232555	1.022696	1.746955	-.0918348	1.690622	1.402673	1.108011	1.108011	1.260339	.9929082													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMG20A_200930_C03	200930	1	NC701	insH2Bfabp	CD15	HMG20A	1	0	0	2	1	9	.9400741	1	2	13.902596	.6125328	.25369626	.3062664	1.2470656	1	19	19	300839	6267	5621	14634	4629	48	4.615e+09	1	3457846	121353	130	217	158	117									1	3983.069	923520.2	1271461	13_HMG20A	1	1	1	3.5	1	1	4	.3433392	-.0748947	.3039132	-.5944087	-.9375322		.1124738	-.2868939	.1114111	.224227	-.3864182	.7342278						-.3884616	-.1757821	.4846749	.4846749	.7690553	.9368471	.9368471	-.0298452	-.4200915	-.0875522	-.5856072	-.3884616	-.2054644
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMG20A_200930_C07	200930	1	NC728	insH2Bfabp	CD15	HMG20A	1	0	0	2	1	9	.8921604	1	2	9.956178	.6465624	.44396845	.3062664	1.4029488	1	46	46	381355	4953	4309	9242	3405	77	3.516e+09	1	4726835	175632	155	243	195	123	89	435072	7216	12940.25	12003.788	9.34e+07	-482.0337	-1.66e+07	0	3870.748	888274.6	1193089	13_HMG20A	1	1	1	7.066667	1	1	4	-.3039132	-.4238958	-.3433392	-1.29875	-.6744897	-1.043158	-.7843482	-.1624294	.3507093	.224227	1.107003	-.6170677	-.7028602	-.0223825	.2028072	.1903223	-.3878687	1.570585	.6929004	-.8499573	-.6929004	0	-.4846749	0	.8331469	.9368471	.8925596	.0583267	.9368471	.3884616
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMG20A_200930_E08	200930	1	NC737	insH2Bfabp	CD15	HMG20A	1	0	0	2	1	9	.9518472	1	2	10.994709	.9528288	.36468837	.1361184	.779416	1	6	55	319625	6393	4246	4534	1604	50	1.479e+09	1	3817414	137300	136	230	164	118	69	561030	5424	13637.071	11141.299	7.40e+07	1217.872	-2.40e+07	0	3909.814	971551.2	1301712	13_HMG20A	1	1	2	8.05	1	1	4	-.1502124	.4238958	.4651961	.7843482	.5375191	1.113194	-.0748947	.835874	-.5881202	-.8946621	.3106094	-.1350631	.1121376	-.4887764	-.4389272	-.0947312	-.4921101	-.1168527	.1757821	.5513477	-.7690553	-1.031459	-1.136341	-1.031459	.149762	.0583267	.2654048	-.2353289	-.2957227	-.1168527
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMG20A_200930_E06	200930	1	NC832	insH2Bfabp	CD15	HMG20A	1	0	0	2	1	9	.981218	1	2	8.9176469	1.0889472	.57081658	.0340296	1.0911824	1	3	150																								3393.578	700816.1	770335.4	13_HMG20A	1	1	4	6.233333	1	1	4	-2.434185	-2.434185	-2.434185	-2.006752	-2.428737	-2.417559	-1.497249	1.232555	-.1215874	-2.649357	1.844979	-.9897137																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMG20A_200930_E01	200930	1	NC687	insH2Bfabp	CD15	HMG20A	1	0	0	2	1	9	.9952773	1	2	13.902596	1.0549176	.38054438	.340296	.6235328	1	5	5															91	624676	7051	17648.875	16016.261	1.24e+08	-439.9611	-4.12e+07	0	3949.165	1003118	1309877	13_HMG20A	1	1	1	2.216667	1	1	4	.1124738	.6862788	.5073057	.3039132	-.2104284	-.9778975	-.3833065	1.130978	-1.093456	.5881202	.4531975	.7342278	.6466521	.0223825	.0671924	.5462332	-.6597193													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMG20A_200930_C01	200930	1	NC685	insH2Bfabp	CD15	HMG20A	1	0	0	2	1	9	.0800168	0	1	11.306269	.4764144	.25369626	.3062664	1.7926568	1	3	3	35133	1301	972	495	86	27	17266590	3		340769	218	367	342	159									0	3574.257	748817.1	991693.8	13_HMG20A	1	1	1	2.083333	1	1	4	-1.497249	-2.006752	-2.006752	.3833065	1.382994	.2573935	-1.782751	-.766215	1.022696	.224227	-.3864182	-.1037656						-1.255486	-1.813418	-2.269206	-1.813418	-2.269206	-2.269206	-2.269206		2.269206	2.269206	1.813418	2.269206	2.269206
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMG20A_200930_A01	200930	1	NC683	insH2Bfabp	CD15	HMG20A	1	0	0	2	1	9	.9124573	1	2	10.68315	1.2590952	.38054438	.5444736	1.8705984	1	1	1	633354	8334	7195	5184	1566	76	3.400e+09	1	6494005	269100	155	278	228	152	234	771520	20664	19368.74	16802.659	4.00e+08	365.3129	2.24e+08	0				13_HMG20A	1	1	1	1.95	1	1	4								1.702244	1.130978	2.141198	.4531975	-.3050467	1.699178	1.930286	1.930286	1.906358	1.906358	1.395747	1.813418	1.570585	1.570585	-.0583267	-1.031459	-1.136341	1.802743	1.813418	.8925596	.9368471	1.570585	1.679661
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMG20A_200930_G04	200930	1	NC712	insH2Bfabp	CD15	HMG20A	1	0	0	2	1	9	.1492742	0	1	15.252687	1.1570064	.3012643	.4764144	1.6367736	1	30	30	231278	4535	4007	12072	3153	51	2.872e+09	1	2895430	124397	115	202	170	116	24	259198	1552	13637.437	13261.938	2.12e+07	-1248.09	-1.06e+08	0	3921.385	903631.9	1195930	13_HMG20A	1	1	1	4.35	1	1	4	-.0374211	-.2649541	-.2649541	.2649541	-1.290233	.8031726	-1.008045	1.37428	.7936154	1.746955	-.0918348	1.21822	-1.930286	-1.194857	-1.291794	-1.505968	-1.672937	0	-.8499573	-.9368471	-.9368471	-.4846749	.4200915	-.3572158	-.6013318	-.2957227	-.6929004	-.9830529	-.029151	-.326315
