filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	chd9_nwt	chd9_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CHD9_201026_B04	201026	1	NC018	insH2Bfabp	CD15	CHD9	1	0	0	2	1	10	0	0	1	19.114315	1.0549176	.45982446	.510444	3.2735472	1	18	18	364815	5138	4254	7598	2683	71	2.914e+09	3	5254868	183913	159	337	172	105	71	688168	5631	25101.032	22733.009	1.41e+08	823.494	-4.65e+07	4	4208.615	1074492	1482277	21_CHD9	1	2	1	5.416667	2	1	4	1.21334	.8871465	1.21334	1.534121	.984235	-.3957253	-.3957253	1.09162	1.09162	.5977601	.5977601	1.000491	.6554235	-.247039	-.3106094	.3106094	-.581393	1.731664	.9132499	-.4692529	-.5485223	-.0348213	-.3928308	-.2461637	1.731664	1.731664	1.718451	1.731664	-.0348213	-.5659488
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CHD9_201026_E06	201026	1	NC036	insH2Bfabp	CD15	CHD9	1	0	0	2	1	10	0	0	1	13.414406	.85074	.3964004	.5785032	2.4941312	1	36	36	121654	2588	3082	2822	895	47	3.405e+08	1	4193144	127049	162	265	177	114	92	376716	8043	20472.158	17412.495	1.65e+08	1862.861	2.76e+07	319	4070.128	945068.4	1283200	21_CHD9	1	2	1	7.116667	2	1	4	.635657	.031338	.031338	-.0941374	-.7977768	1.768825	.7791397	.560703	.5244005	1.281552	.0941374	0	-2.250926	.1225808	.247039	.6554235	.4419345	-.1046335	-1.297543	-1.479941	-1.297543	-1.024592	-1.150349	-1.024592	.8122178	.0348213	2.18935	.4692529	.2461637	.2533471
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CHD9_201026_E04	201026	1	NC021	insH2Bfabp	CD15	CHD9	1	0	0	2	1	10	0	0	1	14.761657	.8167104	.42811243	.510444	2.338248	1	21	21	285939	5395	4591	13255	4547	53	3.745e+09	1	4088265	126525	124	232	145	120	123	598780	9105	22880.526	21277.684	2.08e+08	153.427	3.44e+07	47	3880.341	981151.4	1350446	21_CHD9	1	2	1	5.633333	2	1	4	-.031338	.4192958	.7143674	.031338	.7143674	-.4662653	.6948019	.3517843	.2533471	.5977601	.3853205	.1844524	-.0611754	.4419345	.5104216	1.227826	.581393	.2104284	-.0348213	-.3186394	-.3928308	.4692529	.9132499	.6314019	.7188681	-.0348213	0	-.2461637	-1.024592	.7435598
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CHD9_201026_H04	201026	1	NC024	insH2Bfabp	CD15	CHD9	1	0	0	2	1	10	.8136585	1	2	17.352525	.9528288	.38054438	.5444736	2.338248	1	24	24	166787	4508	4142	11243	4071	37	1.855e+09	1	3600825	103540	131	240	166	113	33	559828	2224	11538.479	12256.912	2.57e+07	-1578.288	-6.22e+07	73	4023.411	946698.3	1290273	21_CHD9	1	2	1	5.866667	2	1	4	.2858409	.0941374	.0941374	-.3517843	.8871465	-.6948019	.2599896	.755415	.2533471	.9345893	-.1573107	.7332358	-.1844524	-1.165288	-1.227826	-1.546635	-.8157657	-.9132499	-1.024592	-1.024592	-.7188681	-.6314019	.3186394	.4692529	.3186394	-.7188681	.3280721	-.0348213	-.3186394	.1076344
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CHD9_201026_B05	201026	1	NC026	insH2Bfabp	CD15	CHD9	1	0	0	2	1	10	.597832	1	2	16.627082	.7146216	.45982446	.1361184	1.4029488	1	26	26	315520	5843	4250	9164	2866	54	2.782e+09	1	3538975	125968	132	239	155	118	285	677186	20495	24345.633	21418.637	4.99e+08	1468.37	3.24e+08	41	4062.478	999350	1391030	21_CHD9	1	2	1	6.083333	2	1	4	.560703	.7143674	.7977768	-.1573107	.2211187	-.5392076	.1289011	.0941374	-1.281552	-2.241403	.5977601	.5104216	.581393	2.250926	2.250926	2.250926	2.250926	.3554904	.1749599	-.1046335	-.6314019	-.1046335	-.1749599	-.1749599	.1749599	-.1749599	.5244005	-.1046335	-.5894558	.5659488
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CHD9_201026_E01	201026	1	NC005	insH2Bfabp	CD15	CHD9	1	0	0	2	1	10	.0449438	0	1	8.647209	.85074	.33297634	.4764144	1.7926568	1	5	5	501860	8962	7283	10846	3748	56	5.441e+09	1	5030497	178000	152	277	207	98	70	640978	5663	18556.413	15917.952	1.05e+08	1539.336	-1.77e+07	47	4058.335	955446.2	1316157	21_CHD9	1	2	1	2.816667	2	1	4	.4887764	.2211187	.3517843	.984235	.560703	.5392076	0	.560703	-.5244005	.3853205	-.6744897	-1.369856	.3754618	-.3428553	-.247039	0	-.1844524	.6314019	2.200411	2.200411	1.731664	1.297543	.2461637	.2461637	1.479941	1.479941	1.465234	.8122178	1.479941	-1.00627
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CHD9_201026_B01	201026	1	NC002	insH2Bfabp	CD15	CHD9	1	0	0	2	1	10	0	0	1	19.839758	.7146216	.41225642	.6465624	3.89708	1	2	2	303373	6595	5643	8987	3676	46	2.502e+09	1	3181473	131286	132	263	154	97	20	657543	1983	16809.225	17120.955	3.33e+07	-1489.479	-1.01e+08	41	4071.913	998198.6	1339141	21_CHD9	1	2	1	2.583333	2	1	4	.7143674	.635657	.635657	.4887764	1.09162	-.2599896	-.2599896	.0941374	1.780464	1.644854	.2533471	1.369856	.5104216	-1.791764	-1.369856	-1.369856	-1.369856	-.1749599	.1046335	.6314019	.5485223	-.1749599	-.2461637	.1749599	-.1046335	.2461637	.5244005	.3186394	-.7647097	-1.13317
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CHD9_201026_C06	201026	1	NC035	insH2Bfabp	CD15	CHD9	1	0	0	2	1	10	.0238006	0	1	13.207136	.680592	.34883235	.5444736	2.4161896	1	35	35	63465	2539	1807	813	178	25	51138320	1	2494379	95920	128	242	154	75	103	650420	7935	16920.178	14916.778	1.34e+08	969.7061	2.10e+07	277	3660.396	895272.8	1201478	21_CHD9	1	3	1	6.966667	3	1	4	-.560703	-.2858409	-.1573107	-.2858409	-.2858409	-.0643168	1.521218	-.031338	.3517843	.9345893	-.4887764	-.0611754	.4419345	.247039	.1844524	.247039	.247039	-1.731664	-1.731664	-1.731664	-1.731664	-2.200411	-2.200411	-2.200411	-1.297543	-1.150349	.1437292	.0348213	-.7647097	-1.718451
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CHD9_201026_F05	201026	1	NC030	insH2Bfabp	CD15	CHD9	1	0	0	2	1	10	0	0	1	16.730717	.9528288	.3012643	.5444736	3.8191384	1	30	30	279031	4651	5334	6987	2439	60	1.906e+09	1	3549309	145694	116	336	143	130	139	799294	11396	23904.464	21173.824	2.72e+08	1288.013	9.95e+07	22	3977.801	1278743	1437954	21_CHD9	1	3	1	6.366667	3	1	4	.2211187	1.780464	1.09162	1.21334	2.241403	-1.342336	-1.521218	.755415	1.534121	.9345893	-.9345893	.581393	1.546635	.9042674	1.107003	1.546635	1.546635	.9132499	-.2461637	-.8122178	.3928308	-.5485223	-.5485223	-.5485223	.2461637	.7188681	-.4438613	1.479941	-1.150349	1.281552
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CHD9_201026_C05	201026	1	NC027	insH2Bfabp	CD15	CHD9	1	0	0	2	1	10	.0336666	0	1	12.896232	.5785032	.3964004	.4423848	2.727956	1	27	27	351977	6285	4618	13149	4683	56	4.625e+09	1	4452002	171958	141	266	189	113	202	786158	14872	19793.016	18199.152	2.94e+08	345.6498	1.50e+08	96	4105.128	962967.8	1325264	21_CHD9	1	3	1	6.15	3	1	4	.7977768	.2858409	.4887764	.8871465	.2858409	.1940281	-.3271033	-.3186394	.7143674	.1573107	.0941374	-.1225808	1.369856	1.791764	1.791764	1.791764	1.791764	.6314019	.6314019	.4692529	-.3186394	.9132499	.7188681	.8122178	1.024592	1.024592	1.00627	.5485223	.7188681	.1076344
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CHD9_201026_C03	201026	1	NC013	insH2Bfabp	CD15	CHD9	1	0	0	2	1	10	.0169264	0	1	8.7508437	.8167104	.71352072	.4423848	1.8705984	1	13	13	361649	5023	5065	9902	3763	72	3.609e+09	1	4656360	146999	139	238	204	108	160	617142	11613	18836.514	17127.127	2.19e+08	531.2346	8.44e+07	8	4038.517	973749.4	1310086	21_CHD9	1	3	1	4.883333	3	1	4	.4192958	.3517843	.2211187	.1573107	.031338	.7791397	.6151411	.3517843	-.3186394	.1573107	1.356312	-1.107003	.1844524	1.227826	1.227826	1.369856	1.227826	2.200411	.7188681	-.5485223	.1046335	.3186394	.1046335	.3186394	1.297543	.8122178	.7916386	-.1749599	1.22064	-.2905068
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CHD9_201026_C04	201026	1	NC019	insH2Bfabp	CD15	CHD9	1	0	0	2	1	10	0	0	1	6.2636105	.6125328	.3964004	.3743256	1.94854	1	19	19	328596	7642	7002	11504	3433	43	3.734e+09	1	1518809	67828	98	167	130	93	49	505456	3576	19746.497	18356.345	7.06e+07	131.6636	-7.55e+07	9	3528.874	876177.1	1185223	21_CHD9	1	3	1	5.483333	3	1	4	-1.356312	-.3517843	-.2858409	-.031338	-.0941374	-.7791397	.1940281	-.1891184	-.1891184	-.7143674	.0941374	-1.791764	-.6554235	-.8157657	-.7332358	-.4419345	-.9042674	-.6314019	.3186394	1.150349	1.479941	.3928308	.4692529	.1046335	-1.731664	-1.731664	-1.718451	-1.731664	-1.297543	-1.281552
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CHD9_201026_F04	201026	1	NC022	insH2Bfabp	CD15	CHD9	1	0	0	2	1	10	0	0	1	13.932579	.5785032	.38054438	.2382072	1.169124	1	22	22	336516	6118	4776	11824	4656	55	3.783e+09	1	3505670	141496	141	193	185	120	129	515994	9308	17197.964	14596.804	1.60e+08	1588.379	4.99e+07	17	3720.439	908461.9	1233030	21_CHD9	1	3	1	5.7	3	1	4	-.3517843	-.2211187	-.0941374	-.4192958	.3517843	-1.19838	-.1289011	-.3186394	-1.780464	-1.534121	-.1573107	.1225808	-.5104216	.581393	.581393	.581393	.8157657	.4692529	.5485223	.1046335	-.0348213	.6314019	.5485223	.7188681	.1046335	.4692529	1.00627	-1.382994	.6314019	.7435598
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CHD9_201026_F03	201026	1	NC015	insH2Bfabp	CD15	CHD9	1	0	0	2	1	10	.0748704	0	1	19.425219	.9868584	.42811243	.2041776	1.2470656	1	15	15	214297	4762	4123	5750	2128	45	1.263e+09	1	2685404	105289	110	199	167	116	85	785266	6855	15758.638	16021.221	1.08e+08	-1368.457	-1.57e+07	14	4164.771	1237546	1539729	21_CHD9	1	3	1	5.05	3	1	4	1.09162	1.534121	1.356312	1.356312	1.534121	-.1940281	2.231606	.8871465	-1.534121	-1.780464	.3853205	1.107003	1.227826	-.0305734	.0611754	.0611754	-.1225808	-.2822162	-.8122178	-.7188681	-.9132499	-.8122178	-.8122178	-.7188681	-.6314019	-.6314019	-.8416212	-.9132499	-.1749599	.4438613
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CHD9_201026_H03	201026	1	NC017	insH2Bfabp	CD15	CHD9	1	0	0	2	1	10	.8996243	1	2	19.632489	1.3952136	.38054438	.6465624	4.1309048	1	17	17															189	1242255	13380	13464.045	12685.183	1.80e+08	-108.9836	8.82e+07	28	4237.273	1075075	1541284	21_CHD9	1	3	1	5.216667	3	1	4	1.534121	1.09162	1.780464	1.09162	1.21334	-1.075723	1.768825	1.780464	2.241403	1.644854	-.1573107	1.227826	2.250926	1.546635	1.546635	1.000491	1.369856													
InsH2Bfabp_CD15_11dpf_VAST02_plate01_CHD9_201027_A03	201027	1	NC055	insH2Bfabp	CD15	CHD9	1	0	0	2	1	11	0	0	1	8.9956757	.2722368	.3012643	.4083552	1.558832	1	6	55	166194	3392	3255	892	262	49	1.566e+08	1	2683523	125990	132	194	155	142	137	485064	8422	19607.377	18398.728	1.65e+08	-52.60972	1.87e+07	67	3479.31	787681.6	1030139	21_CHD9	1	4	2	3.4	4	1	4	-1.534121	-2.241403	-1.780464	-.7977768	-.1573107	1.521218	-.8694237	-1.439531	-.984235	-.1891184	-.9345893	-1.000491	-.7332358	.8157657	.4419345	.8157657	.1844524	-.0348213	-1.150349	-1.150349	-1.150349	-1.297543	-1.731664	-1.479941	-.7188681	-.1046335	.5244005	-1.150349	-.5894558	2.18935
InsH2Bfabp_CD15_11dpf_VAST02_plate01_CHD9_201027_A02	201027	1	NC047	insH2Bfabp	CD15	CHD9	1	0	0	2	1	11	.0264451	0	1	23.992432	1.2931248	.6976647	.510444	3.6632552	1	47	47	264341	6008	5663	11378	3154	44	3.049e+09	1	2863957	112599	118	206	157	140	70	998305	5794	18075.378	16563.142	1.05e+08	370.9435	-2.42e+07	42	3952.721	1442141	1129222	21_CHD9	1	4	1	2.733333	4	1	4	.0941374	2.241403	-.4887764	-2.241403	-2.241403	-1.521218	-2.231606	1.534121	1.281552	.5977601	1.21334	2.250926	1.791764	-.3428553	-.1225808	-.0611754	-.247039	-.4307273	-.5485223	.0348213	.6314019	.1046335	.3928308	-.0348213	-.4692529	-.3186394	-.3661064	-.7188681	-.4692529	1.718451
InsH2Bfabp_CD15_11dpf_VAST02_plate01_CHD9_201027_G03	201027	1	NC060	insH2Bfabp	CD15	CHD9	1	0	0	2	1	11	.6840307	1	2	8.6648649	.4083552	.66595267	.3743256	1.8705984	1	11	60	329797	5889	5231	17868	5569	56	6.202e+09	1	552	306		10	10		78	537415	6050	11743.779	11026.157	7.10e+07	-61.79659	-5041664	64	3536.781	873156.4	1132482	21_CHD9	1	4	2	4.083333	4	1	4	-1.21334	-.4192958	-.3517843	-.984235	-1.09162	-2.231606	-.7791397	-.7977768	-.3186394	-.7143674	.984235	-1.227826	-.3106094	-.1534432	-.0611754	-.3754618	.0611754	.6314019	.3928308	-.0348213	.2461637	1.731664	1.731664	1.731664	-2.200411	-2.200411		-2.200411	-2.200411	
InsH2Bfabp_CD15_11dpf_VAST02_plate01_CHD9_201027_A04	201027	1	NC061	insH2Bfabp	CD15	CHD9	1	0	0	2	1	11	.6216739	1	2	18.037838	1.0549176	1.1257771	.4764144	3.117664	1	12	61	402579	6194	4648	9330	2968	65	3.766e+09	1	4626748	195728	144	293	165	136	38	726413	2976	21752.163	20472.689	6.47e+07	-117.3295	-1.02e+08	91	4108.994	1027463	1398268	21_CHD9	1	4	2	4.283333	4	1	4	.8871465	.7977768	.8871465	.7977768	.4887764	-.1289011	-.1940281	1.09162	.984235	.3853205	2.241403	.9042674	.9042674	-1.000491	-.9042674	-.581393	-1.546635	1.150349	1.297543	.3186394	-.2461637	.5485223	-.1046335	-.1046335	1.150349	2.200411	1.281552	1.150349	-.3928308	1.465234
InsH2Bfabp_CD15_11dpf_VAST02_plate01_CHD9_201027_B03	201027	1	NC056	insH2Bfabp	CD15	CHD9	1	0	0	2	1	11	.0178147	0	1	10.64973	.340296	.41225642	.4423848	1.7147152	1	7	56	287957	4644	3962	3600	1200	62	9.650e+08	1	3116686	129372	136	201	173	105	148	449524	11013	14260.422	13268.575	1.57e+08	65.87366	5.96e+07	143	3627.763	857410.3	1115779	21_CHD9	1	4	2	3.733333	4	1	4	-.7977768	-.635657	-.7143674	-.2211187	-.4192958	.0643168		-.8871465	-.7977768	.1573107	.2533471	-.581393	-1.107003	1.107003	1.000491	.5104216	.9042674	1.024592	.0348213	-.9132499	-1.024592	-.9132499	-.9132499	-.9132499	-.2461637	.1749599	.6971414	-.8122178	.0696849	-.5659488
InsH2Bfabp_CD15_11dpf_VAST02_plate01_CHD9_201027_F03	201027	1	NC059	insH2Bfabp	CD15	CHD9	1	0	0	2	1	11	.8226653	1	2	9.9881081	.2722368	.36468837	.3743256	2.1044232	1	10	59	96051	3098	2459	1025	261	31	1.002e+08	3	2621630	91716	129	210	129	118	108	472544	8415	12237.777	11449.342	1.03e+08	-18.64097	2.28e+07	81	3429.726	845477.3	1095068	21_CHD9	1	4	2	3.983333	4	1	4	-1.780464	-.7143674	-1.09162	.3517843	-1.356312	2.231606	1.075723	-1.439531	-.031338	-.7143674	-.3517843	-.6554235	-.8157657	.3106094	.3754618	-.1225808	.3106094	-1.297543	-1.479941	-1.297543	-1.479941	-1.479941	-1.479941	-1.731664	-.8122178	-1.479941	.2165341	-.6314019	-1.479941	.5659488
InsH2Bfabp_CD15_11dpf_VAST02_plate01_CHD9_201027_F02	201027	1	NC052	insH2Bfabp	CD15	CHD9	1	0	0	2	1	11	0	0	1	16.163243	.7146216	.25369626	.3743256	2.4941312	1	3	52	418294	6151	4667	7104	1878	68	2.958e+09	1	4038436	172649	131	264	203	111	22	604748	1624	13105.413	15806.753	2.13e+07	-3793.198	-1.00e+08	47	3650.987	922548.2	1239864	21_CHD9	1	4	2	3.15	4	1	4	-.7143674	-.1573107	-.031338	-.4887764	-.635657	-.6151411	.9674216	.0941374	.5244005	-.7143674	-1.534121	.4419345	0	-1.546635	-1.791764	-1.791764	-1.227826	1.382994	1.479941	.2461637	-.1749599	.0348213	-.4692529	-.8122178	.5485223	1.150349	.3280721	.3928308	1.024592	-.0716793
InsH2Bfabp_CD15_11dpf_VAST02_plate01_CHD9_201027_H01	201027	1	NC046	insH2Bfabp	CD15	CHD9	1	0	0	2	1	11	0	0	1	16.824865	.6465624	.44396845	.4423848	2.1823648	1	46	46	391970	8908	6696	15456	5657	44	6.025e+09	1	4049653	141210	119	269	197	110	58	529034	4295	14106.32	14863.67	6.06e+07	-1787.572	-5.21e+07	299	3758.962	937322.4	1196050	21_CHD9	1	4	1	2.65	4	1	4	-.1573107	-.0941374	-.2211187	.560703	-.031338	.1289011	-1.768825	-.0941374	.031338	.1573107	.4887764	.6554235	-.3754618	-.6554235	-.581393	-.6554235	-.7332358	-.4307273	1.024592	1.479941	1.297543	1.479941	1.150349	2.200411	.6314019	.3928308	-.2533471	.6314019	.9132499	-.1437292
