filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	irx3a_nwt	irx3a_dich	irx3b_nwt	irx3b_dich	irx3_nwt	irx3_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate02_IRX3_210107_G02	210107	2	NI079	insH2Bfabp	CD15	IRX3	1	0	0	2	1	9	.8053747	1	.9216669	1	.8635209	1	3	6.576457	2.5862496	1.3477614	.510444	3.117664	1	24	73															115	427974	8547	5097.9066	4286.3845	4.36e+07	233.7991	1.89e+07		3824.612	867145.1	1157619	46_IRX3	1	1	2	8.983334	1	1	3	-.8729028	-.9674216	-1.071487	1.868242	-.7441428	-.2973049	-.5316958	-1.88951	-.8628221	-1.616981	.3147636	-1.88951	-.8982587	.4803868	.4471567	.2257079	.6193067													
InsH2Bfabp_CD15_09dpf_VAST02_plate02_IRX3_210107_A01	210107	2	NI067	insH2Bfabp	CD15	IRX3	1	0	0	2	1	9	1	1	1	1	1	1	3	10.193612	2.9605752	.41225642	.8847696	1.7926568	1	12	61	134341	4478	3558	12706	4268	30	1.771e+09	1	1670222	83610	98	180	137	102	79	341396	6416	4191.9383	3742.5043	2.69e+07	-74.47024	1.85e+07	59	4068.599	815196.3	1047725	46_IRX3	1	1	2	8.016666	1	1	3	-.0619316	-1.593219	-1.593219	-2.085356	-.9674216	.0325594		-1.101709	-1.564726	-.7215223	-1.88951	-.8207921	-1.731664	-.1046335	-.1046335	-.1648683	.583549	-.9674216	-1.23544	-1.001331	-1.330562	-.6484922	1.150349	1.23544	-1.001331	-.871771	-.8416212	-1.072861	-.9027348	-.6484922
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IRX3_210107_A08	210107	1	NI053	insH2Bfabp	CD15	IRX3	1	0	0	2	1	9	.253817	0	0	0	.1269085	0	1	15.969997	4.2196704	1.0464971	1.5993912	6.4691528	1	47	47	312869	5394	4395	10455	2950	58	3.285e+09	1	3878740	155502	137	249	207	117	42	537908	3631	4573.3052	4434.4374	1.66e+07	-453.5058	-1.26e+07	66	4277.368	990751.6	1424242	46_IRX3	1	1	1	6.316667	1	1	3	.5894558	.030951	.3803256	-.9191355	.0619316	-.8841349	1.702789	.6289042	.177872	.884418	-.6289042	.9288995	-.3186394	-.6744897	-.6193067	-.6558747	-.2257079	.7279133	.2749777	-.6484922	-.6484922	.5977601	.5977601	.2318344	.5485223	.5485223	.7009514	.5005801	1.150349	.0208901
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IRX3_210107_G07	210107	1	NI051	insH2Bfabp	CD15	IRX3	1	0	0	2	1	9	.1173459	0	0	0	.0586729	0	1	14.365463	5.4107064	1.2050572	2.4841608	8.1059264	1	45	45	367093	6674	5866	7656	2505	55	2.947e+09	1	4380422	161373	143	247	173	131	21	631766	1552	4727.9929	4573.735	7337845	-451.8996	-2.60e+07	132	4313.708	1058970	1439794	46_IRX3	1	1	1	6.016667	1	1	3	.7441428	.6648088	.5173122	-.2822162	.6266873	1.465234	-.2239646	1.737194	.884418	2.104968	-.177872	.2230078	.1346898	-1.094332	-1.150349	-1.274797	-.7318081	.5977601	.7009514	.4537622	.5977601	.3629173	-.4079188	-.3629173	.871771	.7009514	1.001331	.3853205	.2104284	.9027348
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IRX3_210107_A09	210107	1	NI060	insH2Bfabp	CD15	IRX3	1	0	0	2	1	9	1	1	1	1	1	1	3	16.504842	3.7092264	1.2684813	.85074	7.2485688	1	5	54															152	658762	13327	4418.8896	4237.7552	5.89e+07	-391.7766	3.56e+07	84	4154.768	1019178	1405640	46_IRX3	1	1	2	6.85	1	1	3	.2501529	.3145723	.2822162	-.0929718	1.099374	-.3315094	-.9019402	.0590137	.5244005	-.8416212	.0590137	1.101709	.2257079	.6933416	.8982587	.5141561	1.041553													
InsH2Bfabp_CD15_09dpf_VAST02_plate02_IRX3_210107_A04	210107	2	NI089	insH2Bfabp	CD15	IRX3	1	0	0	2	1	9	1	1	.9506539	1	.975327	1	3	14.654771	3.8453448	1.2684813	1.2250656	7.7162184	1	34	83	323054	4895	4924	8630	2530	66	2.641e+09	1	4115232	177896	124	266	199	131	26	588590	1871	5128.6403	4908.7007	9595686	-419.3639	-3.38e+07	1	3990.403	966422.1	1338244	46_IRX3	1	1	2	9.633333	1	1	3	-.2822162	-.2822162	-.1553528	-.5530241	-.3803256	-.1965805	-.6844819	.2533471	.7407855	.1629114	.0590137	.3616052	-.0746714	-.9438661	-1.041553	-1.094332	-.9915265	.871771	.4537622	-.9345893	-.1891184	.0627068	-.1891184	-.2318344	.6484922	1.001331	.1256613	.871771	.7835004	.9027348
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IRX3_210107_D07	210107	1	NI048	insH2Bfabp	CD15	IRX3	1	0	0	2	1	9	.9204338	1	.9229062	1	.92167	1	3	8.8833042	2.9946048	.93550494	.9528288	2.8838392	1	42	42															11	399263	1055	4631.0588	3395.5263	4885767	745.9629	6980123	30	3886.668	887571.7	1200611	46_IRX3	1	1	1	5.816667	1	1	3	-.7039218	-.8284646	-.8284646	-1.188674	-.6266873	-1.845705	-.7251591	-.9752994	-.9518433	-.4742886	-.9064346	-1.471424	-1.150349	-1.668391	-1.731664	-1.731664	.2257079													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IRX3_210107_A04	210107	1	NI030	insH2Bfabp	CD15	IRX3	1	0	0	2	1	9	1	1	1	1	1	1	3	15.702575	3.3689304	1.7917298	.85074	4.9103208	1	24	24	54990	4230	2277	4261	959	13	2.274e+08	1	755338	33442	68	172	106	75	12	492738	1056	4355.4631	4342.5147	4599369	-570.329	-2.18e+07		3859.452	1056338	1327911	46_IRX3	1	1	1	3.85	1	1	3	-.7441428	.5894558	-.1867561	-.0619316	-.1241019	1.224459	1.173722	-.441538	-.3302958	-.8416212	1.0239	.7215223	-.6558747	-1.510357	-1.611169	-2.100166	-.4803868	-1.959964	-2.39398	-1.330562	-2.39398	-2.39398	-1.439531	-1.959964	-1.731664	-1.959964	-1.731664	-1.439531	-1.959964	-1.439531
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IRX3_210107_G02	210107	1	NI020	insH2Bfabp	CD15	IRX3	1	0	0	2	1	9	.1686532	0	0	0	.0843266	0	1	10.354127	2.9946048	1.7917298	1.191036	3.89708	1	14	14	197120	4107	3640	5602	2129	48	1.106e+09	1	2247620	98441	98	213	151	128										3772.885	838179.9	1121222	46_IRX3	1	1	1	3.1	1	1	3	-1.071487	-1.188674	-1.324958	.1241019	-.2822162	.1305846	-1.580799	-.9752994	-.6289042	.029494	1.0239	-.6837744						.2318344	-.6484922	-1.56892	-1.23544	-1.001331	-1.072861	-.755415	-.5977601	-.5485223	-.8416212	-.2533471	-.3186394	.6229257
InsH2Bfabp_CD15_09dpf_VAST02_plate02_IRX3_210107_G01	210107	2	NI073	insH2Bfabp	CD15	IRX3	1	0	0	2	1	9	.0536442	0	0	0	.0268221	0	1	14.293055	3.913404	1.7283057	1.1570064	6.5470944	1	18	67	170170	2836	2459	2621	854	60	4.583e+08	1	4076393	150694	129	286	192	119	102	517932	8405	6783.2628	6140.7839	5.70e+07	-118.7436	-2.35e+07	122	4271.537	1207310	1504079	46_IRX3	1	1	2	8.45	1	1	3	.4822482	2.502106	.9191355	1.018076	1.018076	-.4727891	1.389907	.3147636	.2533471	-.0737913	.9288995	.177872	-.4803868	.2257079	.4144133	.4471567	-.583549	.8122178	-1.001331	-2.39398	-1.959964	-1.731664	-2.39398	-2.39398	.5977601	.5005801	.3853205	1.150349	.5977601	.1256613
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IRX3_210107_D08	210107	1	NI056	insH2Bfabp	CD15	IRX3	1	0	0	2	1	9	.1132428	0	0	0	.0566214	0	1	11.691239	3.4710192	1.1574892	1.191036	2.8058976	1	1	50	313336	5912	4188	7081	2416	53	2.229e+09	1	3661182	164674	131	250	172	128	25	580988	2146	4701.431	4158.3861	1.01e+07	-22.01223	-1.08e+07	16	4225.976	994953.6	1439240	46_IRX3	1	1	2	6.516667	1	1	3	.3803256	.1241019	.4822482	.030951	0	.4366879	.2895613	-.2686029	-.9993048	.029494	-.2686029	-.2686029	-.1346898	-1.016222	-.9438661	-1.041553	-.1346898	.4307273	.3186394	-.1046335	-.8122178	-.146745	-.6484922	-.5485223	.4079188	.755415	.4537622	.5729675	.146745	.6229257
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IRX3_210107_D04	210107	1	NI032	insH2Bfabp	CD15	IRX3	1	0	0	2	1	9	.1411451	0	0	0	.0705726	0	1	10.220416	3.5390784	1.7283057	.9528288	4.9103208	1	26	26															20	569056	1136	4765.3917	4143.107	5413485	58.7394	-1.50e+07	29	3898.928	871900.3	1235767	46_IRX3	1	1	1	4.016667	1	1	3	-.5894558	-.8729028	-.6266873	-1.403413	-1.403413	.9333305	-1.112734	-.1330958	-.3302958	-.4742886	.9288995	-.7603275	-.2257079	-1.150349	-1.422911	-1.611169	-.3501975													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IRX3_210107_A02	210107	1	NI015	insH2Bfabp	CD15	IRX3	1	0	0	2	1	9	1	1	1	1	1	1	3	12.627217	3.4710192	1.0623531	.9868584	1.6367736	1	9	9	273965	5169	3881	10713	2875	53	2.926e+09	1	2818023	135356	111	190	180	135	59	366344	4795	4948.4782	4168.8792	2.37e+07	213.5034	2549646	4	3688.925	863541.3	1107046	46_IRX3	1	1	1	2.566667	1	1	3	-1.491606	-1.018076	-1.403413	-1.324958	-1.128144	.3661064	-2.493243	-.2686029	-1.737194	-.3147636	-.5413951	-.0590137	-1.345167	-.3661064	-.3821084	-.4144133	.1046335	.4307273	-.0208901	-.755415	-1.072861	.3186394	.6484922	.1891184	-.0627068	.3186394	-.3186394	-.9027348	.4537622	1.150349
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IRX3_210107_A03	210107	1	NI022	insH2Bfabp	CD15	IRX3	1	0	0	2	1	9	.1006401	0	0	0	.05032	0	1	17.44082	4.2196704	1.2843373	1.6334208	6.9368024	1	16	16															35	687656	2835	5133.0384	4956.0437	1.46e+07	-466.9935	-3.03e+07	34	4343.497	1016307	1459757	46_IRX3	1	1	1	3.216667	1	1	3	.9674216	.2822162	.6648088	.2183448	.7238859	1.845705	-.0635016	.6289042	.3302958	.9993048	.1330958	1.516426	.5141561	-.8544474	-.8122178	-.7713894	-.8122178													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IRX3_210107_D01	210107	1	NI010	insH2Bfabp	CD15	IRX3	1	0	0	2	1	9	1	1	1	1	1	1	3	11.557528	3.2668416	2.0454261	.6465624	5.066204	1	4	4	193271	6665	6245	4871	1677	29	9.457e+08	1	1974419	85418	100	192	145	116	111	424810	7968	6340.2612	5630.9021	5.05e+07	-1.408825	-1.47e+07	16	3908.778	935871.9	1281285	46_IRX3	1	1	1	2.183333	1	1	3	-.5173122	-.4822482	-.4138112	-1.253905	.2822162	-2.064598	-.3564294	-.5933586	-.2686029	-1.281552	1.217197	-.2993069	-.9438661	.4144133	.2104284	.3186394	-.3186394	-1.110772	-.7009514	.4079188	.9345893	-1.072861	-1.23544	-1.150349	-.871771	-.755415	-.7009514	-.7279133	-.5485223	-.0417893
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IRX3_210107_A07	210107	1	NI047	insH2Bfabp	CD15	IRX3	1	0	0	2	1	9	0	0	0	0	0	0	1	19.045354	4.764144	1.030641	2.0758056	10.989766	1	41	41	520776	5851	5234	7693	2102	89	3.822e+09	1	9626272	209040	205	333	212	142	116	749136	9741	4624.8276	4737.8521	4.51e+07	-735.4219	6749929	235	4446.135	1127458	1574900	46_IRX3	1	1	1	5.666667	1	1	3	1.491606	1.253905	1.868242	.1867561	1.253905	-.7916386	1.478625	1.157523	2.104968	1.88951	-.7215223	1.88951	1.041553	.5141561	.5141561	.2564297	.1951978	1.959964	1.439531	-.2318344	.0627068	.871771	-.3629173	-.8122178	2.39398	1.330562	2.39398	1.56892	1.23544	1.439531
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IRX3_210107_E07	210107	1	NI049	insH2Bfabp	CD15	IRX3	1	0	0	2	1	9	1	1	1	1	1	1	3	16.504842	2.9605752	1.4111854	1.871628	10.444174	1	43	43	312607	8684	6942	12257	4770	36	3.753e+09	1	3411927	144100	117	240	157	140	17	798376	1424	6709.9972	6073.3689	9555036	-117.9233	-6.89e+07	0	4366.351	1124198	1518240	46_IRX3	1	2	1	5.866667	2	1	3	1.018076	1.188674	1.018076	-.3145723	2.502106	.6242437	.0953326	-1.101709	1.88951	1.616981	.4578519	1.101709	1.345167	-1.309172	-1.274797	-1.150349	-2.100166	-.7009514	.2318344	1.959964	1.439531	.8122178	1.001331	1.56892	.2318344	.4079188	-.0208901	.3186394	-.1891184	1.281552
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IRX3_210107_H07	210107	1	NI052	insH2Bfabp	CD15	IRX3	1	0	0	2	1	9	.1012339	0	.0876041	0	.094419	0	1	20.248755	6.2274168	3.0919231	1.5993912	9.0412256	1	46	46	439084	9342	6829	12282	3903	47	5.480e+09	2	4883254	166596	139	268	202	106	62	850712	4920	5378.4803	5208.0903	2.65e+07	-498.5392	-2.60e+07	29	4333.681	1085917	1514936	46_IRX3	1	2	1	6.083333	2	1	3	.9191355	.8729028	.9674216	-.1241019	.8729028	.0651533	.0317348	2.519125	1.281552	.884418	1.88951	2.519125	1.884304	-.3186394	-.3186394	-.2257079	-.6933416	.146745	1.001331	2.39398	1.150349	1.56892	1.072861	.9345893	1.001331	.8122178	.755415	1.001331	.9345893	-.5244005
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IRX3_210107_H04	210107	1	NI035	insH2Bfabp	CD15	IRX3	1	0	0	2	1	9	1	1	.6555856	1	.8277928	1	3	9.1507266	3.3689304	.96721698	1.3952136	2.6500144	1	29	29															67	400362	4544	5519.8499	4668.598	2.51e+07	235.7074	-1.11e+07	68	3734.159	834217.3	1125603	46_IRX3	1	2	1	4.3	2	1	3	-1.188674	-1.324958	-1.253905	-.3803256	-1.491606	2.484125	-1.478625	-.441538	-1.049131	.5585475	-.8628221	-1.186831	-1.094332	-.2564297	-.4803868	-.3186394	-.1648683													
InsH2Bfabp_CD15_09dpf_VAST02_plate02_IRX3_210107_E02	210107	2	NI077	insH2Bfabp	CD15	IRX3	1	0	0	2	1	9	1	1	.9452695	1	.9726348	1	3	10.555328	3.0286344	1.2367692	.8167104	4.4426712	1	22	71															109	590092	8086	5115.8353	4807.9698	4.14e+07	-321.4703	956058	16	4043.817	1002341	1382566	46_IRX3	1	2	2	8.816667	2	1	3	-.0929718	.2183448	.1553528	.2822162	.3803256	-.1305846	.7251591	-.9064346	-.4908544	-.9518433	-.0147454	-.5933586	-.0447762	.3821084	.2873955	.0746714	.0746714													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IRX3_210107_B06	210107	1	NI043	insH2Bfabp	CD15	IRX3	1	0	0	2	1	9	0	0	0	0	0	0	1	14.766596	3.913404	3.7420198	1.4973024	8.4956344	1	37	37	465321	5890	5829	10151	2780	79	4.801e+09	1	6323303	218972	136	315	204	122	289	833081	22782	7565.2336	6457.3678	1.72e+08	315.3163	8.23e+07	12	4274.626	1062723	1463989	46_IRX3	1	2	1	5	2	1	3	.5530241	.7039218	.7039218	.3472613	.5173122	2.064598	.2239646	.3147636	1.049131	.6469766	2.519125	.3932733	1.731664	2.100166	2.100166	1.731664	2.100166	1.439531	1.150349	-.146745	.5005801	1.150349	.4537622	-.0208901	1.439531	1.56892	.6229257	1.23544	1.036433	.2967378
InsH2Bfabp_CD15_09dpf_VAST02_plate02_IRX3_210107_E01	210107	2	NI071	insH2Bfabp	CD15	IRX3	1	0	0	2	1	9	1	1	1	1	1	1	3	13.690196	3.7092264	1.3001933	1.1229768	5.1441456	1	16	65	80460	8046	8173	9645	2959	10	7.218e+08	2	859623	39358	68	180	114	77	207	684778	16817	7624.6997	6637.4609	1.28e+08	176.8684	3.28e+07	20	3775.066	924402.4	1249898	46_IRX3	1	2	2	8.283334	2	1	3	-1.018076	-.5894558	-.4822482	.0929718	-.4138112	.7478586	-.8552639	.0590137	-.2079166	-.1182339	.2079166	.029494	.4803868	1.016222	1.041553	1.274797	.9438661	-2.39398	-1.959964	1.330562	2.39398	-1.23544	.2318344	.2749777	-1.56892	-1.731664	-1.731664	-1.072861	-1.644854	-1.281552
InsH2Bfabp_CD15_09dpf_VAST02_plate02_IRX3_210107_G03	210107	2	NI087	insH2Bfabp	CD15	IRX3	1	0	0	2	1	9	.05539	0	.0436044	0	.0494972	0	1	11.519903	3.8453448	.90379291	1.361184	9.4309336	1	32	81	290703	6320	5889	8946	3034	46	2.587e+09	1	3723544	139362	132	224	152	126	128	601720	10417	5155.4835	4686.4482	5.37e+07	-148.2755	1.70e+07		4288.135	998766.8	1395142	46_IRX3	1	2	2	9.5	2	1	3	.6648088	.1867561	.2183448	1.403413	.3472613	-.5095174	-1.173722	.2533471	1.351702	.4908544	-.9993048	-.3302958	-.014921	.5485223	.583549	.3501975	.5485223	.0627068	.0627068	.3186394	.7009514	-.0208901	-.0627068	.3186394	.4537622	.3629173	.5005801	-.0627068	-.2533471	.4770404
InsH2Bfabp_CD15_09dpf_VAST02_plate01_IRX3_210107_G03	210107	1	NI028	insH2Bfabp	CD15	IRX3	1	0	0	2	1	9	1	1	.9156172	1	.9578086	1	3	13.964329	3.5050488	2.5211065	1.1570064	7.1706272	1	22	22															274	748028	21062	6663.0423	5923.2629	1.40e+08	.0813588	6.64e+07	39	4273.515	1036330	1477537	46_IRX3	1	2	1	3.7	2	1	3	.5173122	.4822482	.7441428	-.3472613	1.188674	.2973049	.6449072	-.1928725	.4578519	-.0737913	1.351702	.0737913	.9915265	1.731664	1.731664	1.422911	1.731664													
