filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	cnga1a_nwt	cnga1b_nwt	cnga1_nwt	cnga1_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CNGA1_201116_B05	201116	1	NC090	insH2Bfabp	CD15	CNGA1	1	0	0	2	1	10	1	1	1	1	3	8.452738	2.1778944	.31712032	.5444736	1.4029488	1	26	26	370992	6183	5177	8047	2597	60	3.059e+09	1	4598456	160483	148	274	181	124	171	763592	12226	21747.783	20824.216	2.66e+08	-1596.905	2.43e+07	71	4274.785	1455241	1636942	29_CNGA1	1	2	1	5.15	2	1	4	1.19001	1.853367	1.853367	1.604084	2.30304	-.9962083	-1.614666	1.475791	0	.8064212	-.5244005	-1.23808	.7388468	.4399132	.3318534	.1256613	.0752699	.6948019	.4662653	.0643168	-.0643168	.3957253	-.1289011	-.1289011	.3271033	.5392076	.6151411	.5024022	.5392076	.3957253
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CNGA1_201116_E05	201116	1	NC093	insH2Bfabp	CD15	CNGA1	1	0	0	2	1	10	1	1	1	1	3	21.245318	1.8375984	.65009666	.6125328	2.8838392	1	29	29	298934	6643	5551	2731	1022	45	8.000e+08	1	6064298	159043	169	297	197	122	158	936159	11564	17140.86	17904.998	1.98e+08	-2819.339	3216148					29_CNGA1	1	2	1	5.366667	2	1	4								.7721932	1.750686	1.340755	1.554774	1.654435	1.644854	.1763742	.1763742	-.1256613	-.0250689	-.161379	-.0643168	.3271033	.3957253	-.9674216	-1.342336	-1.19838	1.19838	.3957253	1.521218	.8694237	.9674216	.2933812
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CNGA1_201116_F09	201116	1	NC121	insH2Bfabp	CD15	CNGA1	1	0	0	2	1	10	1	1	1	1	3	13.463165	.9868584	.26955227	.340296	.9352992	1	8	57	212001	5171	5018	5137	1361	41	1.185e+09	1	2753118	107949	138	250	127	100	147	492090	10656	17295.712	15242.089	1.84e+08	422.8419	3.18e+07		3826.699	845701.6	1124377	29_CNGA1	1	2	2	8.316667	2	1	4	-.3824499	-1.306186	-1.19001	.7445865	-.7607465	1.087999	-.0533578	-2.326348	-.4958504	-.7721932	-1.036433	-.1978822	-.7388468	.1256613	.0752699	-.227545	.1763742	-.3271033	-.6151411	-.6948019	-.1940281	-.6948019	-.6151411	-.7791397	-.3271033	-.3271033	.3271033	-.0643168	-.6948019	-.4662653
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CNGA1_201116_D07	201116	1	NC108	insH2Bfabp	CD15	CNGA1	1	0	0	2	1	10	.9892844	.9431692	.9662268	1	3	7.7065042	1.191036	.34883235	.3743256	.3117664	1	44	44	259753	5093	3101	2025	574	51	5.120e+08	1	2947085	124277	100	234	174	138	26	419205	1817	21121.956	17728.935	3.84e+07	1365.882	-1.54e+08	316	3683.944	847226.9	1154628	29_CNGA1	1	2	1	6.866667	2	1	4	-.6913244	-1.087999	-.7607465	-1.843765	-.6250856	-.6250856	-.8340455	-1.036433	-1.554774	-.4676988	-.3054808	-1.486092	-1.226528	-1.644854	-1.644854	-1.475791	-1.475791	.0643168	-.3271033	-.8694237	-1.768825	-1.521218	-1.768825	-1.768825	-.1940281	-.1289011	-.5024022	-.3957253	.161379	1.075723
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CNGA1_201116_D08	201116	1	NC114	insH2Bfabp	CD15	CNGA1	1	0	0	2	1	10	1	1	1	1	3	10.05181	1.871628	.36468837	.5785032	1.6367736	1	1	50	490213	5767	5201	8540	2703	85	4.318e+09	2	6181819	188745	162	243	193	150	58	824002	3949	18673.055	17709.253	7.37e+07	-1060.2	-1.18e+08	123	4184.631	1153417	1529725	29_CNGA1	1	2	2	7.466667	2	1	4	.5614833	.9962083	.9121265	.3619474	.9121265	.0533578	.1606864	.8778963	.3584588	1.080319	-.0752699	-.6289042	1.126391	-1.036433	-1.126391	-1.126391	-.9541653	1.768825	1.768825	-.1940281	0	.9674216	.0643168	-.0643168	1.342336	1.342336	1.19838	-.1940281	.8694237	1.521218
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CNGA1_201116_E06	201116	1	NC101	insH2Bfabp	CD15	CNGA1	1	0	0	2	1	10	1	1	1	1	3	10.26502	1.361184	.45982446	.3743256	1.3250072	1	37	37	341293	10038	9889	14253	3946	34	4.880e+09	1	2637696	101289	124	212	157	97	91	447466	6814	20858.745	19150.767	1.42e+08	-545.7761	-7.28e+07	84	3822.439	887646.5	1218480	29_CNGA1	1	2	1	5.9	2	1	4	-.4405008	-.6913244	-.5000764	-.8185495	-1.19001	.8340455	.325661	-.3853205	-.1509692	-.4676988	.3853205	-.5700741	-.9541653	-.4958504	-.4958504	-.4958504	-.4958504	-.6948019	.1289011	2.231606	2.231606	1.521218	1.768825	1.19838	-.3957253	-.3957253	-.0643168	-.7791397	-.1940281	-.6948019
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CNGA1_201116_G03	201116	1	NC080	insH2Bfabp	CD15	CNGA1	1	0	0	2	1	10	1	1	1	1	3	20.712294	1.9737168	.4915365	.5785032	2.4941312	1	16	16	374446	7201	5654	4754	1410	52	1.863e+09	1	4187197	144499	130	258	183	103	168	703484	11762	17531.218	16912.382	2.06e+08	-1278.159	2.71e+07	117	4194.321	1093319	1473095	29_CNGA1	1	2	1	4.333333	2	1	4	.7607465	.7607465	.7607465	.5432517	.6913244	1.853367	1.087999	1.080319	1.174987	1.080319	.5533847	1.486092	.4958504	.3318534	.227545	-.0752699	.1256613	.161379	.5392076	.8694237	.5392076	0	-.8694237	-.6948019	.1289011	.0643168	0	.1940281	.6948019	-.3271033
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CNGA1_201116_H07	201116	1	NC111	insH2Bfabp	CD15	CNGA1	1	0	0	2	1	10	1	1	1	1	3	18.473592	2.041776	.80865682	.5444736	1.94854	1	47	47	213756	6107	5512	7071	2147	35	1.474e+09	1	1585529	78225	99	181	125	109	232	879066	17431	20540.167	19403.649	3.58e+08	-1157.541	1.39e+08	80	4292.524	1172797	1567333	29_CNGA1	1	2	1	7.166667	2	1	4	1.306186	1.19001	1.19001	2.294895	-1.443299	.6913244	-.6250856	1.340755	.5244005	.8064212	2.326348	.9674216	1.475791	1.281552	1.340755	.3318534	1.036433	-.6151411	-.5392076	0	.3271033	-.4662653	-.2599896	-.3271033	-.7791397	-.7791397	-.6948019	-1.19838	-.7791397	-.1289011
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CNGA1_201116_B03	201116	1	NC075	insH2Bfabp	CD15	CNGA1	1	0	0	2	1	10	0	0	0	0	1	9.9452056	1.1229768	.34883235	.340296	1.169124	1	11	11	184068	4720	4090	3228	794	39	5.862e+08	1	2020134	88368	86	275	142	99	2	409088	288	1593.6285	458.4602	458965	1860.63	8.42e+07	143	3641.96	877836.9	1086380	29_CNGA1	1	2	1	3.9	2	1	4	-.9121265	-.9121265	-1.614666	.0818291	-.6913244	.9121265	-.9962083	-1.554774	-.279319	-.7721932	-.3054808	-.689997	-1.644854	-2.326348	-2.326348	-2.326348	.5533847	-.4662653	-.8694237	-1.521218	-1.19838	-1.19838	-1.19838	-1.521218	-.6948019	-.5392076	-.8694237	.6151411	-.3271033	-.5392076
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CNGA1_201116_B06	201116	1	NC098	insH2Bfabp	CD15	CNGA1	1	0	0	2	1	10	1	1	1	1	3	13.996189	1.6674504	.4915365	.4764144	1.4808904	1	34	34	427910	7641	6267	9970	3370	56	4.394e+09	1	4254325	156717	137	238	181	122	204	641138	13427	27139.912	24247.422	3.64e+08	-173.5782	6.81e+07	72	3988.555	982078.6	1384391	29_CNGA1	1	2	1	5.716667	2	1	4	.0533578	-.325661	.2699041	-.481115	-.2149745	-.2149745	0	.4676988	.2018935	.279319	.5533847	-.0491694	.0752699	.7388468	.612813	.3853205	.4958504	.3612016	.9674216	1.342336	.9674216	1.19838	.5392076	.4662653	.1940281	.3271033	.2599896	-.2599896	.5392076	.2933812
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CNGA1_201116_E04	201116	1	NC085	insH2Bfabp	CD15	CNGA1	1	0	0	2	1	10	1	1	1	1	3	20.392479	1.7695392	.55496056	.4764144	2.4941312	1	21	21															258	757808	18148	24603.605	22911.143	4.47e+08	-1160.627	1.72e+08	38	4244.438	1072548	1479122	29_CNGA1	1	2	1	4.85	2	1	4	.9962083	.6250856	.8340455	.3043391	.9962083	.9962083	.6913244	.612813	1.174987	.279319	.9944579	1.23808	.6744897	1.475791	1.475791	.6744897	1.126391													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CNGA1_201116_G06	201116	1	NC103	insH2Bfabp	CD15	CNGA1	1	0	0	2	1	10	.0163116	0	.0081558	0	1	13.78298	1.8375984	.53910454	.1020888	.9352992	1	39	39	415671	6204	4954	9827	3199	67	3.948e+09	1	5039734	178151	131	291	202	110	112	631658	8879	21754.077	18909.855	1.93e+08	628.8649	-1.79e+07	248	3879.296	1048383	1342431	29_CNGA1	1	2	1	6.083333	2	1	4	-.2699041	.5000764	-.2149745	.0272493	.7607465	.7607465	.7607465	.7721932	-.4958504	-1.554774	.8064212	-.098458	-.0752699	-.279319	-.1256613	-.1763742	-.1256613	1.075723	.6948019	.1289011	-.3271033	.7791397	.2599896	.1940281	.5392076	.8694237	.0965586	.7791397	1.342336	0
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CNGA1_201116_B08	201116	1	NC112	insH2Bfabp	CD15	CNGA1	1	0	0	2	1	10	.8111988	1	.9055994	1	3	17.940568	1.531332	.38054438	.6125328	.389708	1	48	48	349231	5136	4235	6090	2117	68	2.045e+09	1	5646848	204745	158	314	177	134	31	653944	1904	16106.552	15532.887	3.07e+07	-1103.464	-1.26e+08	29	4196.554	1129282	1558735	29_CNGA1	1	2	1	7.316667	2	1	4	.8340455	.8340455	1.087999	-.1366539	.5000764	-1.19001	1.19001	.0752699	-1.126391	1.340755	.1256613	.8917089	.1256613	-1.475791	-1.475791	-1.644854	-1.126391	1.19838	.2599896	-.7791397	-1.075723	.1289011	-.5392076	-.4662653	.8694237	1.768825	.8694237	1.19838	.3957253	.9674216
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CNGA1_201116_F07	201116	1	NC110	insH2Bfabp	CD15	CNGA1	1	0	0	2	1	10	1	.9385803	.9692901	1	3	9.4121815	1.3952136	.36468837	.3743256	.1558832	1	46	46															40	393801	3008	15580.764	13886.913	4.69e+07	279.0607	-8.39e+07	313	3675.557	846284.8	1134172	29_CNGA1	1	2	1	7.05	2	1	4	-.7607465	-1.19001	-.8340455	-1.294038	-1.306186	-.6913244	.9121265	-.279319	-2.326348	-.4676988	-.0752699	-.8207921	-1.880794	-1.340755	-1.340755	-1.226528	-.7388468													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CNGA1_201116_D09	201116	1	NC119	insH2Bfabp	CD15	CNGA1	1	0	0	2	1	10	.9720112	1	.9860056	1	3	16.66131	1.5993912	.38054438	.5444736	2.1823648	1	6	55	184556	7098	4918	9394	3987	26	1.568e+09	3	887747	41773	69	205	101	85	312	679593	24402	25810.256	23304.914	6.30e+08	-410.5083	3.49e+08	394	4024.519	1009803	1393408	29_CNGA1	1	2	2	8.116667	2	1	4	.1606864	.1068681	.325661	-.6744897	-.1337288	.1606864	.5614833	.2533471	.6744897	.8064212	.1256613	.6289042	.3318534	1.880794	1.644854	.9541653	1.644854	-1.342336	-.7791397	.5392076	-.4662653	-.3271033	.1940281	1.342336	-1.521218	-1.768825	-1.768825	-.8694237	-1.949112	-1.19838
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CNGA1_201116_E03	201116	1	NC078	insH2Bfabp	CD15	CNGA1	1	0	0	2	1	10	1	1	1	1	3	15.915076	1.1570064	.44396845	.340296	2.2603064	1	14	14	214306	6913	6317	8806	3216	31	1.688e+09	2	2240709	88022	120	278	101	87	220	634618	15533	22578.278	21165.457	3.51e+08	-1162.037	1.04e+08	12	4197.18	1038125	1439285	29_CNGA1	1	2	1	4.133333	2	1	4	.9121265	.2699041	.6913244	.1918929	1.443299	.1068681	.1068681	-1.340755	.7721932	-.7721932	.3054808	.4578519	.0250689	1.080319	.8064212	.279319	.7388468	-.9674216	-.4662653	.3957253	1.075723	-.1940281	.1289011	.2599896	-.5392076	-.6151411	-.1289011	.6948019	-1.949112	-.9674216
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CNGA1_201116_C09	201116	1	NC118	insH2Bfabp	CD15	CNGA1	1	0	0	2	1	10	1	1	1	1	3	15.062238	1.4292432	.31712032	.510444	2.0264816	1	5	54	172316	7180	5601	10768	3041	24	1.774e+09	1	1435207	65908	99	158	113	98	145	606724	9734	24378.778	20434.037	2.37e+08	1486.457	1902212	8	3990.36	983648.7	1317997	29_CNGA1	1	3	2	8.016666	3	1	4	.1068681	-.2699041	-.325661	-.5432517	.0533578	2.30304	-.1606864	-.1763742	.612813	.5533847	-.5244005	.1479871	-.227545	.0752699	-.0250689	.0250689	-.0752699	-1.521218	-.9674216	.6948019	.4662653	-.1289011	.9674216	0	-.9674216	-.8694237	-.6948019	-1.521218	-1.075723	-.6151411
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CNGA1_201116_F06	201116	1	NC102	insH2Bfabp	CD15	CNGA1	1	0	0	2	1	10	1	.8054552	.9027276	1	3	9.731996	1.1229768	.44396845	.0680592	1.0132408	1	38	38	215260	5665	4892	6350	1935	38	1.358e+09	1	2290966	92622	115	220	139	109	86	486506	6192	23429.714	19388.162	1.45e+08	1749.962	-7.36e+07	154	3570.448	879601.4	1105715	29_CNGA1	1	3	1	5.983333	3	1	4	-1.443299	-.8340455	-1.443299	-.3619474	-.9121265	1.306186	-.325661	-1.554774	-.3853205	-2.053749	.3054808	-.7537816	-.8778963	-.7388468	-.8064212	-.4399132	-.5533847	-.5392076	-.3957253	-.2599896	-.5392076	-.6151411	-.3957253	-.5392076	-.4662653	-.4662653	-.3271033	-.6151411	-.5392076	-.1289011
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CNGA1_201116_H06	201116	1	NC104	insH2Bfabp	CD15	CNGA1	1	0	0	2	1	10	1	1	1	1	3	11.011254	1.6334208	.57081658	.4423848	.3117664	1	40	40	159606	4837	4975	4822	1312	33	7.793e+08	2	2119905	84840	99	253	118	109	140	443249	11328	22578.249	18975.23	2.56e+08	1377.243	4.37e+07	480	3651.525	872827.4	1118620	29_CNGA1	1	3	1	6.15	3	1	4	-.8340455	-.9962083	-1.306186	-2.294895	.1068681	.2699041	-.6913244	.3584588	-1.554774	.0250689	1.126391	-.403916	-1.036433	.0250689	.1256613	.0752699	.279319	-.7791397	-1.19838	-1.19838	-.2599896	-1.075723	-.7791397	-.9674216	-.6151411	-.6948019	-.6948019	.0321418	-.9674216	-.1289011
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CNGA1_201116_H05	201116	1	NC096	insH2Bfabp	CD15	CNGA1	1	0	0	2	1	10	1	1	1	1	3	7.0668752	1.191036	.22198422	.3062664	.5455912	1	32	32																								3622.868	751852.8	996419.1	29_CNGA1	1	3	1	5.566667	3	1	4	-.9962083	-1.853367	-1.853367	-.7445865	-1.853367	-.8340455	-.9121265	-1.036433	-.9541653	-1.036433	-1.340755	-1.654435																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CNGA1_201116_C08	201116	1	NC113	insH2Bfabp	CD15	CNGA1	1	0	0	2	1	10	.7829596	1	.8914798	1	3	8.3461332	1.7695392	.42811243	.6465624	2.4161896	1	49	49															108	743908	7326	18077.268	17693.505	1.32e+08	-1637.729	-5.92e+07	0	4186.076	1146030	1541912	29_CNGA1	1	3	1	7.4	3	1	4	.6250856	.9121265	.9962083	.6744897	1.614666	.325661	-.2699041	.612813	1.036433	1.750686	.227545	-1.351702	.5533847	-.3318534	-.4399132	-.5533847	-.3853205													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CNGA1_201116_E07	201116	1	NC109	insH2Bfabp	CD15	CNGA1	1	0	0	2	1	10	.0055613			0	1	8.8791573	1.2590952	.34883235	.3743256	.389708	1	45	45	282693	6015	6480	9873	3243	47	2.782e+09	1	1061644	50989	82	185	134	64	74	416686	6219	20844.533	18979.046	1.30e+08	-360.8978	-8.25e+07	329	3590.173	830075.1	1127293	29_CNGA1	1	3	1	6.966667	3	1	4	-1.306186	-1.614666	-1.087999	-1.431895	-.9962083	-1.087999	-.3824499	-.7388468	-1.126391	-.4676988	-.3054808	-.8917089	-1.475791	-.8064212	-.7388468	-.6744897	-.6744897	-.0643168	-.1940281	-.0643168	1.19838	.2599896	.4662653	.3271033	-1.19838	-1.19838	-1.19838	-1.075723	-.6151411	-2.231606
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CNGA1_201116_E08	201116	1	NC115	insH2Bfabp	CD15	CNGA1	1	0	0	2	1	10	1	1	1	1	3	14.849028	1.6334208	.38054438	.4764144	2.727956	1	2	51															88	782412	6463	17746.397	17323.39	1.15e+08	-1539.495	-7.10e+07	0				29_CNGA1	1	3	2	7.566667	3	1	4								.3584588	1.475791	.279319	.1256613	.0737913	.8778963	-.6744897	-.5533847	-.8064212	-.4399132													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CNGA1_201116_C05	201116	1	NC091	insH2Bfabp	CD15	CNGA1	1	0	0	2	1	10	1	1	1	1	3	15.808471	1.531332	.28540829	.4083552	2.5720728	1	27	27	356006	6246	5463	11898	3649	57	4.221e+09	1	3623842	152349	131	229	173	130	220	600684	15578	25932.449	23528.525	4.04e+08	-547.5654	1.19e+08		4139.553	1078245	1433453	29_CNGA1	1	3	1	5.233333	3	1	4	.5000764	.6913244	.5000764	1.294038	.2149745	-.3824499	-.5614833	.0752699	1.340755	-.1763742	-.8778963	.3511308	-.3318534	1.080319	.8778963	.612813	.8064212	.4662653	.3271033	.1940281	.2599896	.8694237	1.521218	.9674216	0	.1940281	.0965586	-.5024022	.0643168	.6948019
