filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	fgf19_nwt	fgf19_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate02_FGF19_201221_D01	201221	2	NH683	insH2Bfabp	CD15	FGF19	1	0	0	2	1	9	.1237966	0	1	13.712276	1.7695392	.01585602	1.8375984	6.7029776	1	12	61	274748	5495	5426	5504	2024	50	1.325e+09	1	4216220	148742	113	304	196	123	68	531948	5376	6594.7299	5710.1701	3.55e+07	116.2826	-3142576	0	4059.801	995940.6	1368076	41_FGF19	1	1	2	8.233334	1	1	5	.3315094	.3186394	.3315094	.0164917	.0651533	2.0251	.5742636	.8025719	2.128045	.5244005	-2.282295	.3149377	-.1610005	-.0437342	-.1021915	-.2079166	-.1906023	.3186394	.3740954	.0522452	.4499066	-.3003779	-.4887764	-.2282596	.9399909	.741594	-.264147	1.339046	.741594	.9956002
InsH2Bfabp_CD15_09dpf_VAST02_plate02_FGF19_201221_B02	201221	2	NH689	insH2Bfabp	CD15	FGF19	1	0	0	2	1	9	1	1	2	8.1843368	1.0889472	1.0464971	1.191036	2.5720728	1	18	67	236914	6403	4342	7534	2295	37	1.699e+09	1	2111874	97975	110	213	141	101	59	447341	4832	6729.1649	5440.3621	3.25e+07	580.5338	299563.4	2				41_FGF19	1	1	2	8.7	1	1	5								-.5244005	-.0139262	-.4614937	1.05345	-.9825221	-.7496121	-.2805315	-.2805315	-.2686029	-.0437342	-.7647097	-.1221531	.9956002	-.3370077	-.0522452	.4117051	.2282596	-.5688699	-.3370077	-.4499066	-.3554904	-.3554904	-.3740954
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FGF19_201221_D08	201221	1	NH669	insH2Bfabp	CD15	FGF19	1	0	0	2	1	9	.0223694	0	1	15.979994	2.4841608	.6976647	2.3480424	3.3514888	1	47	47	348694	4777	4056	4663	1803	73	1.593e+09	1	5284568	186849	137	269	239	115	41	731144	3376	6795.5622	5919.5182	2.29e+07	61.20549	-2.06e+07		4458.394	1100840	1540596	41_FGF19	1	1	1	6.85	1	1	5	1.375969	.9762363	1.224459	.4247038	.3315094	-1.167875	.7820069	1.833915	.3853205	1.313873	-.2854742	.8537231	.7115489	-.6205683	-.6383348	-.7025232	-.7115489	1.658472	.9399909	-.5688699	-.741594	-.1221531	-1.184763	-.6102946	1.534121	1.658472	.7882413	.6527943	2.036834	.5485223
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FGF19_201221_A06	201221	1	NH654	insH2Bfabp	CD15	FGF19	1	0	0	2	1	9	1	1	2	19.799955	1.5993912	1.014785	1.9737168	5.5338536	1	32	32	470821	7134	6351	5401	1830	66	2.449e+09	1	6433101	189992	142	317	213	129	20	741042	1614	5902.3798	6229.4743	9526441	-1210.871	-4.13e+07	19	4419.445	1120953	1559886	41_FGF19	1	1	1	5.316667	1	1	5	1.224459	1.21679	1.567991	1.458376	.7054673		.7379805	.3853205	1.501086	.8416212	.9378634	1.758563	.8710608	-1.395747	-1.522408	-1.351702	-1.056592	1.339046	1.815517	1.258162	1.658472	.8871465	-.6527943	-.5283993	2.036834	2.036834	1.117247	1.534121	1.339046	1.22064
InsH2Bfabp_CD15_09dpf_VAST02_plate02_FGF19_201221_G01	201221	2	NH686	insH2Bfabp	CD15	FGF19	1	0	0	2	1	9	1	1	2	9.5326147	.9187992	.85622486	.9528288	1.6367736	1	15	64	268508	4629	3082	7707	2230	58	2.128e+09	1	2910317	137951	113	212	175	129	65	414128	4989	5455.5803	5028.9886	2.72e+07	-190.1835	4729779	173	3294.514	812220.4	1014782	41_FGF19	1	1	2	8.483334	1	1	5	-2.064598	-.8276041	-1.224459	.4610861	-.1965805	-.9769954	-1.458376	-.923867	-.5729675	-1.250516	.329771	-.5635893	-1.056592	-.1021915	-.1610005	-.4908544	.0729317	.9132499	.3370077	-.741594	-1.339046	.3370077	.5283993	-.017408	-.0522452	.4887764	-.264147	-.4307273	.3928308	1.22064
InsH2Bfabp_CD15_09dpf_VAST02_plate02_FGF19_201221_B01	201221	2	NH681	insH2Bfabp	CD15	FGF19	1	0	0	2	1	9	1	1	2	11.555032	1.1229768	.77694478	1.191036	2.9617808	1	10	59															178	471662	14304	10021.47	8222.2313	1.43e+08	472.2524	4.53e+07	53	3402.664	803128.7	1130045	41_FGF19	1	1	2	8.083333	1	1	5	-1.296494	-1.030806	-.6643075	-1.21679	-.9084579	-2.0251	.0494931	-.4154975	.1820346	-.4614937	.0140826	-.0563585	-.6383348	1.193795	1.164587	1.049131	1.108973													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FGF19_201221_D04	201221	1	NH645	insH2Bfabp	CD15	FGF19	1	0	0	2	1	9	0	0	1	5.9389523	1.191036	.25369626	1.7355096	2.1044232	1	23	23	19574	1631	1470	10050	3036	12	1.957e+08	1	748	379	11	12	12	9										3375.454	697421.6	942451.5	41_FGF19	1	1	1	4.5	1	1	5	-1.567991	-2.479467	-1.845705	-2.059215	-1.845705	-1.51976	-.3535393	-.1820346	-.2967378	.1962117	-1.909639	-1.495318						-2.460124	-2.460124	-2.460124	-2.460124	-2.036834	1.339046	.9956002	-2.460124	-2.460124	-2.460124	-2.460124	-2.460124	-2.460124
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FGF19_201221_A05	201221	1	NH650	insH2Bfabp	CD15	FGF19	1	0	0	2	1	9	.0169716	0	1	16.525703	2.1778944	.65009666	2.722368	4.676496	1	28	28															29	645728	2815	6718.3961	5436.146	1.89e+07	574.9187	-1.32e+07	12	4331.084	1047366	1477567	41_FGF19	1	1	1	4.866667	1	1	5	1.039222	.6136091	.6643075	1.561435	.5095174	.0896424	-.2499428	1.347629	.9674216	2.128045	-.5801733	1.005603	.3109825	-.9144792	-.7496121	-.8207921	-.3727933													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FGF19_201221_D05	201221	1	NH652	insH2Bfabp	CD15	FGF19	1	0	0	2	1	9	1	1	2	12.050891	1.020888	1.2050572	1.9396872	1.4808904	1	30	30	313820	5062	4461	6351	1891	62	2.138e+09	1	3589725	148031	127	218	161	133	27	592930	2151	5862.7861	5289.0491	1.26e+07	-100.8783	-1.60e+07	208	3952.939	935243.8	1240462	41_FGF19	1	1	1	5.1	1	1	5	-.0651533	-.1156944	-.2634448	-.6539285	.0978166	2.449998	.3186394	-.7098812	-.7835004	.6920772	1.539856	-.0281681	.0145739	-.9830529	-1.006961	-.9993048	-.4360634	1.150349	.6102946	-.4117051	-.1926639	.3740954	-.1221531	-.4499066	.4117051	.6965074	.4692529	-.264147	.1926639	1.593219
InsH2Bfabp_CD15_09dpf_VAST02_plate02_FGF19_201221_H01	201221	2	NH687	insH2Bfabp	CD15	FGF19	1	0	0	2	1	9	1	1	2	15.060554	1.361184	.77694478	1.7695392	1.3250072	1	16	65															20	583130	1434	3876.6925	4465.629	5559177	-1080.415	-3607307	27	3848.729	936455.1	1314871	41_FGF19	1	1	2	8.55	1	1	5	-.4011473	-.0494931	-.0325594	.1156944	-.1634935	-.5870906	.8749908	.0976349	-.9454201	.2822162	.0140826	.6482026	-.0145739	-1.395747	-1.622711	-1.737194	-.2203721													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FGF19_201221_A04	201221	1	NH643	insH2Bfabp	CD15	FGF19	1	0	0	2	1	9	1	1	2	13.688017	1.8375984	1.1574892	2.0077464	3.1956056	1	21	21	345937	5580	4869	8503	2895	62	2.832e+09	1	3744515	149423	131	218	202	121	35	602612	2784	4694.2906	4656.7229	1.31e+07	-496.4116	-616329.6	32	4002.476	929187.6	1319447	41_FGF19	1	1	1	4.35	1	1	5	.1965805	-.1824072	.0651533	-.4980894	.7478586	-1.323364	.2160518	.9027348	.2822162	.9454201	1.244045	.2854742	.1610005	-.7887937	-.7887937	-.9518433	-.0729317	1.150349	.8871465	.1221531	.0871459	1.054472	.9399909	.7882413	.5688699	.7882413	.6102946	-.264147	1.024592	.8871465
InsH2Bfabp_CD15_09dpf_VAST02_plate02_FGF19_201221_E01	201221	2	NH684	insH2Bfabp	CD15	FGF19	1	0	0	2	1	9	.1459651	0	1	14.790899	2.1098352	1.3953294	1.8375984	6.3912112	1	13	62															121	802067	9451	7057.7012	6242.0659	6.67e+07	-70.94135	1.55e+07	16	4265.394	1077124	1494778	41_FGF19	1	1	2	8.316667	1	1	5	.7916386	.7820069	.7478586	.6136091	.4366879	.0179054	.4247038	1.16395	1.914506	.5244005	1.909639	.5635893	1.435436	.5344601	.4360634	.4578519	.4360634													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FGF19_201221_A08	201221	1	NH667	insH2Bfabp	CD15	FGF19	1	0	0	2	1	9	1	1	2	14.452009	2.1778944	1.1892012	1.8035688	5.1441456	1	45	45	318026	5579	5385	7374	2617	57	2.343e+09	3	3916257	143833	153	250	184	108	59	737450	4512	6628.5454	6047.4709	2.99e+07	-262.2221	-1.67e+07	60	4073.553	1065490	1318400	41_FGF19	1	1	1	6.683333	1	1	5	.4366879	.6953402	.0325594	-1.458376	2.064598	-.6301882	-.4610861	1.347629	1.22064	.3853205	1.453563	.4670705	.8292257	-.2805315	-.3417246	-.3302958	-.5011308	.8122178	.6527943	.0871459	.3370077	.741594	.264147	.5283993	.741594	.6102946	1.731664	.4499066	.6102946	.1397103
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FGF19_201221_A02	201221	1	NH630	insH2Bfabp	CD15	FGF19	1	0	0	2	1	9	.9790677	1	2	8.6674962	1.1570064	.77694478	1.8035688	1.8705984	1	8	8	176447	4643	4686	7429	2496	38	1.290e+09	1	2201900	93416	105	295	114	88	108	357952	7668	6601.9392	5624.5382	5.06e+07	228.1693	1.41e+07	18	3369.779	759494	986609.5	41_FGF19	1	1	1	3.033333	1	1	5	-1.690622	-1.368829	-1.567991	-1.561435	-.9848956	1.414746	-2.059215	-.2967378	-.4003634	.3853205	.0140826	-.8537231	-1.435436	.404226	.2805315	.2686029	.3417246	-.6527943	-.7882413	-.6965074	-.0522452	-.3740954	.3370077	.4117051	-.4887764	-.4887764	-.5688699	1.184763	-1.534121	-.9399909
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FGF19_201221_G02	201221	1	NH634	insH2Bfabp	CD15	FGF19	1	0	0	2	1	9	1	1	2	7.9035039	.4764144	.68180869	1.2931248	1.6367736	1	12	12	189830	5131	4570	5085	1600	37	8.705e+08	1	1625281	81421	103	210	144	63	25	322251	1664	6450.6857	5474.8732	1.07e+07	259.8677	-2.23e+07	12				41_FGF19	1	1	1	3.425	1	1	5								-1.763728	-.5729675	-.2822162	-.4204492	-1.078302	-1.894644	-1.136341	-1.358142	-1.101709	-.8292257	-.7647097	-.741594	-.3370077	-.1221531	-.9399909	-.9399909	-.9956002	-1.184763	-.741594	-.7647097	-.4887764	-.3003779	-1.815517
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FGF19_201221_D02	201221	1	NH632	insH2Bfabp	CD15	FGF19	1	0	0	2	1	9	0	0	1	14.561151	.9868584	.65009666	1.9737168	4.4426712	1	10	10	373702	6556	5357	6738	2276	57	2.434e+09	1	4967567	155570	124	357	198	117	52	844927	4796	6965.6877	6665.7156	3.34e+07	-680.8289	-2.78e+07	29	4387.607	1159159	1538757	41_FGF19	1	1	1	3.216667	1	1	5	1.158272	1.458376	1.158272	1.088633	1.375969	1.323364	.0825485	-.8416212	.7098812	.8416212	-.5801733	.5147302	1.622711	-.3884616	-.3109825	-.2381501	-.8710608	.8122178	1.117247	1.117247	.3003779	.8366706	.0871459	.1573107	1.429788	1.054472	.2104284	2.460124	.8871465	.6527943
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FGF19_201221_A03	201221	1	NH636	insH2Bfabp	CD15	FGF19	1	0	0	2	1	9	1	1	2	10.850331	.2382072	.68180869	1.7355096	3.0397224	1	14	14	137950	5306	3972	4819	1511	26	6.762e+08	1	1822766	70379	101	166	145	84	165	616784	12320	7863.4459	6089.3278	9.69e+07	921.5121	4.93e+07	0	3660.821	817828.1	1199938	41_FGF19	1	1	1	3.6	1	1	5	-.7478586	-.7379805	-.4727891	-.7379805	-.8369914	1.241867	1.684395	-2.286548	.2389929	.1962117	-.4204492	-.2417308	.2203721	.9596939	.7887937	.7025232	1.164587	-1.593219	-1.184763	-.0522452	-.8366706	-1.339046	-1.117247	-1.184763	-.9399909	-1.117247	-.8871465	-1.429788	-.2461637	-1.117247
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FGF19_201221_D01	201221	1	NH625	insH2Bfabp	CD15	FGF19	1	0	0	2	1	9	1	1	2	8.9949215	1.7355096	1.0464971	1.8375984	3.6632552	1	3	3	401326	7297	7283	11504	3807	55	4.461e+09	1	3345576	144952	124	218	175	133	101	553783	7930	6370.7608	6144.4421	5.05e+07	-638.5454	1655162	15	3928.204	882592.2	1270414	41_FGF19	1	1	1	2.65	1	1	5	-.1634935	-.4610861	-.2298841	-.7820069	.6242437	.1618442	-1.684395	.7279133	.4614937	.5244005	1.05345	-.7377372	-.1021915	.3109825	.3417246	.2381501	-.0145739	.6965074	1.258162	1.339046	2.460124	2.460124	1.534121	1.339046	.264147	.6527943	.2104284	-.264147	.3928308	1.593219
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FGF19_201221_G04	201221	1	NH648	insH2Bfabp	CD15	FGF19	1	0	0	2	1	9	0	0	1	8.8857797	1.70148	.80865682	1.9396872	5.1441456	1	26	26	160153	3268	2629	7403	2473	49	1.143e+09	1	1840064	79684	93	184	130	110	143	330518	9916	5056.3209	4438.1761	5.01e+07	132.7727	4.16e+07	53	3712.195	791853.6	1084750	41_FGF19	1	1	1	4.716667	1	1	5	-.6242437	-1.088633	-.8369914	-.3186394	-.5851579	-.27188	.2499428	.6399237	1.22064	.6920772	.2128286	-.7943937	-1.622711	.7496121	.5344601	.177872	.9596939	.2104284	-.9399909	-1.534121	-1.658472	-.741594	.3003779	.3740954	-.8871465	-.7882413	-1.184763	-.9674216	-.8366706	.3003779
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FGF19_201221_A01	201221	1	NH623	insH2Bfabp	CD15	FGF19	1	0	0	2	1	9	1	1	2	9.5406303	1.020888	.90379291	1.9056576	2.4941312	1	1	1	210967	5409	4867	5475	1732	39	1.253e+09	1	2259805	96962	114	212	128	105	77	438954	6761	5663.7654	5392.5707	3.83e+07	-426.445	7207072	27	3760.491	867234.8	1168610	41_FGF19	1	1	1	2.4	1	1	5	-.4727891	-.5357877	-.5469463	-.9762363	-.6643075	-.816375	.1824072	-.7098812	-.0836517	.6061059	.4358834	-.5308747	-.8292257	.0145739	.1315391	-.1479871	.1021915	-.5283993	-.4117051	.017408	.0522452	-.4499066	-.5283993	-.6965074	-.4499066	-.4117051	-.1749599	-.4307273	-.9956002	-.1221531
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FGF19_201221_B08	201221	1	NH668	insH2Bfabp	CD15	FGF19	1	0	0	2	1	9	1	1	2	9.3223467	1.6674504	.7928008	1.6334208	1.8705984	1	46	46															117	480784	7857	5745.2113	5111.8046	4.51e+07	-1.78771	2.07e+07		3392.383	751598.5	1077827	41_FGF19	1	2	1	6.75	2	1	5	-1.375969	-1.561435	-.8841349	-1.839855	-1.375969	-.6744897	-1.839855	.5404469	-.4003634	.0417893	.1270809	-.6656764	-.568394	.4683492	.3109825	.029494	.568394													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FGF19_201221_E08	201221	1	NH670	insH2Bfabp	CD15	FGF19	1	0	0	2	1	9	.8220259	1	2	16.307419	2.4841608	1.5856016	2.6883384	3.7411968	1	48	48															47	871698	3768	6700.883	5492.4101	2.52e+07	488.6278	-8197598	0				41_FGF19	1	2	1	6.922222	2	1	5								1.833915	.5084881	1.914506	2.123549	.9162218	1.742647	-.5513477	-.5344601	-.5585475	-.2503385													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FGF19_201221_H08	201221	1	NH673	insH2Bfabp	CD15	FGF19	1	0	0	2	1	9	1	1	2	17.835404	2.0758056	.91964893	2.1438648	4.5985544	1	2	51	364861	4738	5649	7550	2726	77	2.667e+09	1	4431821	167101	127	266	204	104	26	715908	1631	6419.775	5980.7816	1.05e+07	-389.4708	-3.45e+07	0	4254.8	1044136	1430493	41_FGF19	1	2	2	7.133333	2	1	5	.7054673	.5742636	.5469463	.2160518	.5851579	-.3092349	-.5742636	1.085325	.8616341	1.085325	.4828342	1.376912	.6744897	-1.056592	-1.435436	-1.157523	-1.006961	2.036834	1.054472	-.6527943	.8366706	.9956002	.4499066	.6965074	1.054472	1.258162	.4692529	.5894558	1.117247	-.2282596
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FGF19_201221_E04	201221	1	NH646	insH2Bfabp	CD15	FGF19	1	0	0	2	1	9	1	1	2	9.4314885	2.1098352	.72937674	2.4161016	1.7147152	1	24	24	238833	5971	5474	7136	2030	40	1.950e+09	1	2085238	91631	128	196	133	99	25	524564	1703	5267.3059	5179.9301	8970222	-562.9703	-1.71e+07	17	3725.687	880274.4	1233658	41_FGF19	1	2	1	4.566667	2	1	5	-.5469463	-.4980894	-.3315094	-1.368829	-.2298841	1.644854	-.3888753	1.16395	-.4770404	1.382994	-.1270809	-.6309245	-.1906023	-1.136341	-1.288206	-1.429219	-.5344601	-.4117051	-.0871459	.4887764	.5283993	.1926639	.1926639	-.1926639	-.6102946	-.5688699	.5283993	-.7882413	-.7188681	-.5283993
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FGF19_201221_B09	201221	1	NH675	insH2Bfabp	CD15	FGF19	1	0	0	2	1	9	1	1	2	13.25145	.510444	.53910454	.9868584	.779416	1	4	53															110	594234	8479	5779.9249	5161.833	4.90e+07	-28.22927	2.34e+07	171	4248.554	1009862	1386664	41_FGF19	1	2	2	7.3	2	1	5	.6242437	.4610861	.4366879	-.2499428	-.2634448	-.920823	-.4980894	-1.593219	-1.459439	-1.136959	-.9378634	.227256	.0437342	.4360634	.404226	.088585	.6744897													
