filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	N78_nwt	N79_nwt	N80_nwt	lpl_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_10dpf_VAST02_plate02_LPL_210125_B06	210125	2	NI545	insH2Bfabp	CD15	LPL	1	0	0	2	1	10	1	1	1	1	5	12.077593	1.2590952	6.897367	15.007054	26.344261	1	28	77	139596	4106	3379	9140	3362	34	1.354e+09	1	2191617	71942	90	210	133	106	1	496424	32	3662.2188	2775.5064	117191	1436.287	-1.14e+07	0				49_LPL	1	9	2	4.291667	2	1	4								-1.166919	-.4935534	-.0348213	-.3454851	.2743915	-.0348213	-1.085325	-1.085325	-1.4342	-.5595922	-.7318081	-.7318081	-.8544474	-.9915265	-.5141561	.8544474	1.150349	-.5141561	-.5141561	-.8544474	-.3186394	-.7916386	-.0447762
InsH2Bfabp_CD15_10dpf_VAST02_plate02_LPL_210125_B05	210125	2	NI538	insH2Bfabp	CD15	LPL	1	0	0	2	1	10	.0522744	.03453	0	0	1	11.683786	2.6202792	5.8033019	15.31332	27.825151	1	21	70	423113	5224	4986	8111	2186	81	3.302e+09	1	5459967	199525	147	343	200	119	140	1134362	11184	4155.6738	3684.4517	4.65e+07	-192.1559	3.22e+07	0	4719.654	1283573	1702364	49_LPL	1	9	2	3.85	2	1	4	2.141198	2.128045	2.141198	1.382994	1.400745	.3853205	1.014499	1.166919	-.2743915	.1749599	-1.042247	.1359107	2.200411	1.731664	1.731664	1.690622	1.690622	1.345167	.9915265	-.3186394	-.0447762	1.345167	.5141561	-.1346898	1.150349	1.150349	.6744897	1.611169	.7318081	.4144133
InsH2Bfabp_CD15_10dpf_VAST02_plate02_LPL_210125_B01	210125	2	NI515	insH2Bfabp	CD15	LPL	1	0	0	2	1	10	0	.026222	0	0	1	18.67387	1.871628	8.4829686	13.747958	66.640068	1	47	47	382121	6065	5657	4723	1246	63	1.919e+09	1	4046992	159908	132	241	193	109	13	648040	1184	3100.8733	3318.3072	3671434	-392.2061	-9493193	47	4119.702	1028001	1419816	49_LPL	1	9	1	2.033333	2	1	4	.6001788	.6744897	.9252446	.7835004	.2035442	-.5729675	.2622828	-.2743915	2.211127	-.8122178	.0677986	2.211127	.7188681	.1749599	.1749599	.0760316	-.152506	.7318081	.7318081	.2257079	.9915265	.1346898	-.6193067	-.7318081	.7318081	.7318081	.3186394	.1800124	.5141561	.0896424
InsH2Bfabp_CD15_10dpf_VAST02_plate02_LPL_210125_B02	210125	2	NI523	insH2Bfabp	CD15	LPL	1	0	0	2	1	10	1	.7725664	.9264624	1	5	5.0875086	1.9737168	10.06857	16.061971	36.710494	1	6	55	131124	3451	2814	2048	565	38	2.788e+08	2	1143336	56706	100	163	107	76	7	211850	384	3542.4219	3381.988	1360290	-99.31777	-1.20e+07	0	4607.084	927946.5	1143563	49_LPL	1	9	2	2.5	2	1	4	1.660698	.1256613	-.3292913	-1.382994	-2.141198	.0417893		-.1017956	.9319713	.6314019	.8320063	-2.211127	-1.731664	-.3928308	-.5485223	-.6508373	-.852495	-.5141561	-.9915265	-1.150349	-1.345167	-.9915265	-.9915265	-.9915265	-1.150349	-1.150349	-.6193067	-1.345167	-1.345167	-1.241867
InsH2Bfabp_CD15_10dpf_VAST02_plate02_LPL_210125_F09	210125	2	NI565	insH2Bfabp	CD15	LPL	1	0	0	2	1	10	0	0	0	0	1	6.7611908	1.4973024	8.5305366	13.373633	25.175137	1	48	97															50	403444	4206	1200.9686	1172.1603	5051274	2717.988	-1515200	0	3613.94	725893.3	1035418	49_LPL	1	9	2	6.816667	2	1	4	-1.057414	-1.644854	-1.660698	-.7835004	-1.400745	-1.191816	-.5443409	-.8320063	-.7397372	-1.024592	.1359107	-1.312981	-.6314019	.7188681	.6314019	.2298841	.4727891													
InsH2Bfabp_CD15_10dpf_VAST02_plate02_LPL_210125_G01	210125	2	NI520	insH2Bfabp	CD15	LPL	1	0	0	2	1	10	.0321375	.0416793	.0255574	0	1	5.4813162	1.8035688	6.8497989	4.2877296	41.542873	1	3	52	254659	5536	4274	5635	1872	46	1.373e+09	2	1781	685	14	17	14	13	32	447810	2481	3633.5401	4068.4254	9014813	-1610.662	-6455991	18				49_LPL	1	9	2	2.311111	2	1	4								-.3454851	1.744448	-2.200411	-.4183713	-1.744448	-.2461637	.3928308	.3186394	.3894143	.152506	.4637077	.0447762	-.0447762	-.5141561	-.3186394	-.4144133	-.4144133	-2.100166	-2.100166	-2.100166	-2.100166	-2.100166	-2.100166
InsH2Bfabp_CD15_10dpf_VAST02_plate02_LPL_210125_F08	210125	2	NI559	insH2Bfabp	CD15	LPL	1	0	0	2	1	10	.0464374	.0101413	0	0	1	10.699267	2.211924	5.6923097	12.488863	31.800173	1	42	91	303191	6891	5836	7787	2647	44	2.408e+09	1	3813585	120517	147	200	172	116	8	522424	864	945.74884	903.80099	817127	3089.242	-4924298	115	3850.205	858606.6	1217822	49_LPL	1	9	2	6.216667	2	1	4	-.0809473	-.5729675	0	-.4770404	-.7000902	-.3853205	-.2622828	.3097425	.4183713	-1.479941	-1.166919	-.2743915	.0348213	-.2461637	.1046335	-.9674216	.2298841	-.0896424	.5141561	.9915265	1.150349	.4144133	.4144133	.3186394	.5141561	.2257079	.6744897	-.5141561	.2257079	.3186394
InsH2Bfabp_CD15_10dpf_VAST02_plate02_LPL_210125_E09	210125	2	NI564	insH2Bfabp	CD15	LPL	1	0	0	2	1	10	.8892344	1	1	1	5	9.2224882	2.2459536	13.73131	17.83151	37.334026	1	47	96	140217	6677	3595	486	136	21	69828560	1	1328684	56013	73	271	133	76	11	417452	528	3183.8883	3428.2717	1681093	-565.8989	-1.18e+07	0	3499.638	755396.8	1056787	49_LPL	1	11	2	6.65	3	1	4	-1.660698	-1.191816	-1.211232	-.2104284	-.6001788	-1.036433	-1.628361	.4183713	1.166919	2.200411	2.211127	-.6533766	-.4692529	0	-.3186394	-.3894143	-.6508373	-1.067571	-.6193067	.6193067	-.7318081	-1.611169	-2.100166	-2.100166	-.9915265	-1.345167	-1.345167	.8544474	-.7916386	-1.241867
InsH2Bfabp_CD15_10dpf_VAST02_plate02_LPL_210125_D07	210125	2	NI553	insH2Bfabp	CD15	LPL	1	0	0	2	1	10	1	.7058185	1	1	5	7.7457098	2.5862496	6.5643906	16.13003	28.76045	1	36	85	153907	3420	3158	1670	436	45	2.686e+08	1	3909372	126190	167	265	159	127	6	463762	832	3679.3606	3500.5635	3061228	-239.1893	-1.07e+07	0				49_LPL	1	11	2	4.795833	3	1	4								.9319713	-.1359107	.7647097	-.7397372	-1.10244	-.1046335	-.5084881	.0348213	0	-.4727891	.1800124	-.4144133	-1.345167	-1.150349	-1.150349	-1.150349	-1.150349	.6193067	.5141561	1.611169	.6193067	.0447762	.8544474
InsH2Bfabp_CD15_10dpf_VAST02_plate02_LPL_210125_D06	210125	2	NI547	insH2Bfabp	CD15	LPL	1	0	0	2	1	10	.0415595	.0211855	0	0	1	15.52341	2.5862496	9.6880258	14.870935	29.150158	1	30	79	637443	9374	7665	8999	2718	68	5.922e+09	1	6273663	215689	164	249	224	130	97	957256	8209	3792.8427	3369.9871	3.11e+07	179.1186	1.78e+07	0	4396.948	1179287	1581404	49_LPL	1	11	2	4.416667	3	1	4	1.211232	1.382994	1.400745	1.036433	.9252446	.2104284	.1737411	.9319713	0	-.3186394	.6533766	1.312981	1.479941	1.479941	1.479941	1.4342	1.4342	.9915265	2.100166	2.100166	2.100166	2.100166	.7318081	.5141561	1.611169	1.345167	1.345167	.3186394	2.100166	1.150349
InsH2Bfabp_CD15_10dpf_VAST02_plate02_LPL_210125_A09	210125	2	NI562	insH2Bfabp	CD15	LPL	1	0	0	2	1	10	1	.8358639	1	1	5	11.585334	2.1438648	9.8465859	17.082859	28.916334	1	45	94															1	368820	64	3656.2188	3383.6741	233998	10.54286	-1.31e+07	0	3786.841	895915.8	1101289	49_LPL	1	11	2	6.433333	3	1	4	-.3292913	-.2104284	-.807541	2.128045	.4159872	1.191816		.1701847	-.0677986	1.297543	.7397372	.0338798	-1.150349	-1.085325	-.9132499	-1.247754	-.9674216													
InsH2Bfabp_CD15_10dpf_VAST02_plate02_LPL_210125_H02	210125	2	NI528	insH2Bfabp	CD15	LPL	1	0	0	2	1	10	.0348353	.0462933	.0292294	0	1	15.818765	1.5653616	7.5474636	12.965278	21.90159	1	11	60	268228	6706	5347	10010	3020	40	2.643e+09	1	2899306	114085	106	235	171	128	92	548036	7503	3488.2763	3168.3161	2.62e+07	345.3456	1.35e+07	10	3835.349	894495.3	1213979	49_LPL	1	11	2	2.8	3	1	4	-.1624294	-.2967378	-.0809473	-.6744897	-.0809473	-.2967378	.0865434	-.5321897	-1.166919	-1.297543	-.2046599	1.494155	.2461637	1.297543	1.150349	1.247754	1.247754	-.3186394	.1346898	.8544474	.5141561	.7318081	.9915265	.8544474	-.0447762	-.0447762	-.3186394	.0447762	.1346898	.9915265
InsH2Bfabp_CD15_10dpf_VAST02_plate02_LPL_210125_D05	210125	2	NI540	insH2Bfabp	CD15	LPL	1	0	0	2	1	10	.0426308	0	0	0	1	11.289978	2.1098352	5.2007732	13.509751	29.69575	1	23	72	241364	5364	5429	8786	2710	45	2.092e+09	1	2851079	112386	125	206	143	109	68	530851	6016	1850.4591	1635.0543	1.11e+07	2286.869	3142759	0	3870.483	906742.3	1189052	49_LPL	1	11	2	3.966667	3	1	4	0	-.1256613	-.1624294	.0417893	0	.6744897	0	.0677986	.1017956	-.9132499	-1.312981	-.1017956	.1046335	.9132499	1.024592	.5595922	.6508373	.1800124	-.0447762	-.1346898	.6193067	.2257079	.6193067	.4144133	-.1346898	-.2257079	.2257079	-.4144133	-.5141561	.0896424
InsH2Bfabp_CD15_10dpf_VAST02_plate02_LPL_210125_H05	210125	2	NI543	insH2Bfabp	CD15	LPL	1	0	0	2	1	10	.0416873	0	0	0	1	17.886255	1.361184	10.655243	14.973024	25.097195	1	26	75	500110	6099	5011	10202	2740	82	4.887e+09	1	5545305	223583	155	256	210	138	9	613760	684	3176.9839	2920.5076	2173057	612.5525	-9768568	1	4121.21	971835.3	1370573	49_LPL	1	11	2	4.183333	3	1	4	.7000902	.2967378	.4159872	.6744897	.2035442	.9027348	-.4465882	-1.042247	-.8808881	-.1046335	1.166919	1.744448	.5485223	-.1046335	-.1046335	-.0760316	-.3086658	1.611169	1.345167	.3186394	.0447762	1.611169	1.345167	.6193067	1.345167	1.611169	1.150349	.5141561	1.345167	1.345167
InsH2Bfabp_CD15_10dpf_VAST02_plate02_LPL_210125_D01	210125	2	NI517	insH2Bfabp	CD15	LPL	1	0	0	2	1	10	1	.3524282	.9031976	1	5	11.880689	.9187992	.52324853	15.687646	41.075223	1	49	49															0	390618	0		2755.199				0	3576.278	727029.8	1043762	49_LPL	1	11	1	2.133333	3	1	4	-1.211232	-1.382994	-1.400745	-1.644854	-1.211232	-.9027348	1.171546	-2.211127	1.494155	.3928308	-2.211127	.2046599	-.8122178	-1.731664	-1.731664															
InsH2Bfabp_CD15_10dpf_VAST02_plate02_LPL_210125_H01	210125	2	NI521	insH2Bfabp	CD15	LPL	1	0	0	2	1	10	1	.5473989	1	1	5	10.600815	2.211924	5.961862	14.768846	.2338248	1	4	53	105734	2403	2433	1051	265	44	1.147e+08	1	3420812	115521	145	228	158	122	1	338376	19	3062.5263	2399.9519	58188	1713.312	-1.03e+07	22				49_LPL	1	11	2	2.388889	3	1	4								.3097425	-2.211127	-.3928308	-.9319713	-.3454851	-1.479941	-1.085325	-1.297543	-2.166107	-.3894143	-.0896424	-1.345167	-2.100166	-2.100166	-1.345167	-1.611169	-1.345167	.2257079	.0447762	.5141561	-.0447762	-.0447762	.6193067
InsH2Bfabp_CD15_10dpf_VAST02_plate02_LPL_210125_C08	210125	2	NI557	insH2Bfabp	CD15	LPL	1	0	0	2	1	10	0	.0253243	0	0	1	8.9271326	2.382072	4.4713965	16.13003	32.345764	1	40	89	231436	4629	3691	6548	2252	50	1.437e+09	1	2308946	112426	114	189	173	102	36	379180	2831	1302.1703	1242.4616	3686444	2655.073	-3096166	56	3726.052	909897.4	1069139	49_LPL	1	12	2	5.15	4	1	4	-.6001788	.0417893	-1.057414	-.0417893	-1.057414	1.644854	-1.364489	.5321897	.4935534	.7647097	-1.494155	-.7397372	-.9132499	.4692529	.3928308	.152506	.3086658	.6193067	-.1346898	-.6193067	-.6193067	-.2257079	-.2257079	.0447762	-.4144133	-.1346898	.0447762	-.8544474	.3186394	-.3186394
InsH2Bfabp_CD15_10dpf_VAST02_plate02_LPL_210125_E02	210125	2	NI525	insH2Bfabp	CD15	LPL	1	0	0	2	1	10	.0350248	.0057404	0	0	1	14.145083	1.4973024	7.6743117	17.423155	27.591326	1	8	57	358015	7783	5844	6884	1825	46	2.485e+09	1	3632234	135387	140	283	148	98	37	601000	2847	3395.9259	2945.3094	9668201	773.5956	-2349675	0	3992.947	1160550	1384555	49_LPL	1	12	2	2.633333	4	1	4	.2450062	1.191816	.6001788	.2104284	1.660698	-.7835004	-.0865434	-.8320063	-.3454851	1.731664	-.1359107	.9319713	.4692529	.5485223	.4692529	.4727891	.3894143	.4637077	.6193067	1.611169	1.345167	.6193067	.0447762	-.5141561	.4144133	.6193067	.4144133	1.150349	-.3661064	-.6193067
InsH2Bfabp_CD15_10dpf_VAST02_plate02_LPL_210125_D04	210125	2	NI535	insH2Bfabp	CD15	LPL	1	0	0	2	1	10	.0427646	0	0	0	1	11.191526	1.5653616	6.5802466	14.904965	16.367736	1	18	67	121996	5809	4744	5177	1928	21	6.175e+08	1	1130230	57663	77	180	136	101	12	587103	719	2224.8554	2313.0959	1599671	1078.403	-8474516	2	3911.633	933240.1	1245337	49_LPL	1	12	2	3.366667	4	1	4	.1624294	.2104284	.3292913	-.3853205	-.4604945	1.382994	.352934	-.5321897	-1.494155	-.2461637	-.6119958	-.2046599	.3928308	.1046335	-.0348213	-.4727891	0	-1.067571	-1.150349	.0447762	-.1346898	-.7318081	-.5141561	-.3186394	-1.345167	-.9915265	-1.150349	-.9915265	-.6193067	-.5141561
InsH2Bfabp_CD15_10dpf_VAST02_plate02_LPL_210125_E06	210125	2	NI548	insH2Bfabp	CD15	LPL	1	0	0	2	1	10	1		1	1	5	11.289978	2.5181904	10.14785	15.517498	25.720728	1	31	80															3	433940	486	3138.7901	4035.1411	1525452	-2027.711	-1.38e+07	0	3675.098		1081101	49_LPL	1	12	2	4.466667	4	1	4	-.807541		-.9252446	1.644854	1.211232	-.0417893	-.8791677	.7397372	-.6119958	.3186394	.9319713	-.1017956	-.3186394	-.6314019	-.4692529	-.5595922	-1.096804													
InsH2Bfabp_CD15_10dpf_VAST02_plate02_LPL_210125_B08	210125	2	NI556	insH2Bfabp	CD15	LPL	1	0	0	2	1	10	0	.0298545	0	0	1	7.7457098	1.0549176	8.6890968	14.156314	37.100202	1	39	88	67236	4202	4382	6119	3612	16	4.735e+08	2	582499	30843	61	199	97	59	70	357964	5904	2237.2099	2223.9585	1.32e+07	1298.846	3408346	8	3381.945	710879.8	935423.3	49_LPL	1	12	2	5.083333	4	1	4	-2.141198	-2.128045	-2.141198	-2.128045	-1.660698	-1.382994	-1.171546	-1.494155	1.042247	-.5485223	.2743915	-1.10244	-1.297543	1.024592	.9132499	.7478586	.7478586	-2.100166	-1.611169	-.7318081	-.4144133	-.8544474	-.3186394	1.345167	-1.611169	-1.611169	-1.611169	-.6193067	-1.611169	-1.611169
InsH2Bfabp_CD15_10dpf_VAST02_plate02_LPL_210125_H07	210125	2	NI555	insH2Bfabp	CD15	LPL	1	0	0	2	1	10	1	.8756039	1	1	5	12.372949	1.191036	6.7705188	17.0148	29.69575	1	38	87	59111	2956	2605	1105	255	20	61420456	1	1437046	66771	111	166	110	102	18	179820	2929	4314.3052	2690.5653	1.26e+07	2286.666	1401914	0				49_LPL	1	12	2	4.9875	4	1	4								-1.312981	.1017956	1.150349	-.4935534	.3454851	-2.200411	.2461637	.5485223	.6508373	.5595922	-1.345167	-2.100166	-1.611169	-1.611169	-2.100166	-1.345167	-1.611169	-.8544474	-.7318081	-.1346898	-1.150349	-1.150349	-.3186394
InsH2Bfabp_CD15_10dpf_VAST02_plate02_LPL_210125_E05	210125	2	NI541	insH2Bfabp	CD15	LPL	1	0	0	2	1	10	0	0	0	0	1	15.326506	2.382072	13.287341	14.088254	33.359005	1	24	73	563402	5122	4484	4495	1318	110	2.464e+09	1	7900337	285688	187	398	211	148	22	1055216	1632	4424.7426	3752.265	7221180	-81.39458	-7277615	0	4577.781	1251662	1699284	49_LPL	1	12	2	4.033333	4	1	4	1.400745	1.644854	1.660698	1.191816	2.141198	.1256613	2.114381	.5321897	.5716375	-.6314019	1.744448	1.166919	1.731664	.3186394	.2461637	.3086658	.0760316	2.100166	1.611169	-.4144133	-.3186394	.5141561	-.7318081	-.6193067	2.100166	2.100166	2.100166	2.100166	1.611169	2.100166
InsH2Bfabp_CD15_10dpf_VAST02_plate02_LPL_210125_H06	210125	2	NI551	insH2Bfabp	CD15	LPL	1	0	0	2	1	10	1	.9764284	1	1	5	8.7302288	3.062664	9.1806333	16.402267	24.083954	1	34	83	274548	6696	5560	10198	3748	41	2.777e+09	1	3550445	123358	114	281	205	93	8	561266	489	4099.3436	4449.5166	2004579	-2034.501	-1.46e+07	2	3755.635	1089341	1183130	49_LPL	1	12	2	4.633333	4	1	4	-.4159872	.9027348	-.2450062		.807541	-.2104284	-2.114381	1.744448	-1.042247	.9132499	.4183713	-.8320063	.3186394	-.2461637	-.3928308	-.152506	-1.247754	-.2257079	.2257079	.7318081	.7318081	.9915265	1.150349	1.611169	.3186394	.4144133	.0447762	.9915265	1.067571	-.7318081
InsH2Bfabp_CD15_10dpf_VAST02_plate02_LPL_210125_H03	210125	2	NI531	insH2Bfabp	CD15	LPL	1	0	0	2	1	10	1	0	1	1	5	6.0720276	1.7695392	10.480827	14.938994	34.917837	1	14	63															47	432508	4512	4524.4922	4149.992	2.04e+07	-910.1235	4692935	35	3541.95	791808.8	1132662	49_LPL	1	12	2	3.083333	4	1	4	-1.400745	-.9027348	-.4159872	-.9027348	-.2450062	.4770404	1.364489	-.4183713	.7397372	-.1749599	1.042247	-1.494155	-.3928308	.6314019	.7188681	.9674216	.852495													
