filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	N74_nwt	N75_nwt	notch2_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_NOTCH2_210114_D08	210114	1	NI728	insH2Bfabp	CD15	NOTCH2	1	0	0	2	1	9	.0243801	0	0	1	8.3935132	1.531332	.42811243	.5785032	1.3250072	1	3	52	253912	4232	4097	2820	762	60	7.395e+08	1	4269916	159999	147	228	176	140	22	440720	1568	2711.3227	2732.2526	4251354	-244.1479	-7200670	33	3904.931	1010580	1101693	47_NOTCH2	1	1	2	6.983333	1	1	5	-1.224058	-.1021915	-1.742647	-2.52324	-1.894644	-.4138112	.762464	-1.25212	-.4795057	-.3221112	0	-1.853367	-1.260977	-1.41001	-1.41001	-1.485165	-.5424624	.2622828	-.5112223	-.7972819	-.6835603	-1.171546	-1.628361	-1.748025	.144561	.3224307	.5780677	-.5112223	.0288158	1.262145
InsH2Bfabp_CD15_09dpf_VAST02_plate02_NOTCH2_210114_D01	210114	2	NI742	insH2Bfabp	CD15	NOTCH2	1	0	0	2	1	9	.0424657	.0140943	0	1	11.964656	1.8035688	.34883235	.4083552	1.0911824	1	17	66	250142	6414	5375	11393	4363	39	2.673e+09	1	3787526	121262	152	249	154	118									24	4387.231	1022453	1480677	47_NOTCH2	1	1	2	8.283334	1	1	5	.7887937	-.0145739	.3417246	.404226	.5011308	-.6648088	-1.033853	-.7864926	-.7164975	-1.344003	-.6827943	-.5771623						-1.014499	-.5443409	.8791677	.6124654	.0576556	.9674216	1.294762	-.1737411	-.6124654	.7972819	-.1010129	-.5780677	-.1155036
InsH2Bfabp_CD15_09dpf_VAST02_plate01_NOTCH2_210114_A02	210114	1	NI683	insH2Bfabp	CD15	NOTCH2	1	0	0	2	1	9	.0219298	0	0	1	17.487863	2.6202792	.84036885	.7486512	5.3000288	1	7	7	529821	7569	5869	15845	4372	70	8.827e+09	1	5058949	192015	143	232	225	138	48	722837	4015	3958.0271	3394.7625	1.59e+07	199.9366	-8509049	0	4274.786	1121177	1524940	47_NOTCH2	1	1	1	3.066667	1	1	5	.2805315	.7887937	.6744897	-.1906023	.9596939	-.5530241	1.605273	.4210971	2.1497	.9815618	1.118958	.9325278	.425144	-.4084725	-.3266899	-.0470166	-.7347365	.8375226	1.748025	2.114381	1.230818	2.527302	2.527302	1.364489	.5780677	.8791677	.4625623	-.4625623	1.528305	1.116127
InsH2Bfabp_CD15_09dpf_VAST02_plate01_NOTCH2_210114_G01	210114	1	NI681	insH2Bfabp	CD15	NOTCH2	1	0	0	2	1	9	.6995851	1	1	3	11.959925	2.382072	.7928008	.0680592	2.4161896	1	5	5	487340	6676	5794	15281	4250	73	7.582e+09	2	6087230	177312	167	251	194	136	206	890403	16868	3784.6253	3159.4827	6.38e+07	311.5725	4.40e+07	14	4231.148	1091105	1493522	47_NOTCH2	1	1	1	2.95	1	1	5	.1610005	.7115489	.4360634	-.2203721	.6029956	-.0929718	.6095368	.2126769	.3640918	-2.558043	.9815618	-.6089566	1.331797	1.41001	1.49795	1.120502	1.708735	1.063939	1.230818	1.063939	1.171546	2.114381	2.114381	1.089662	1.230818	.6476036	1.328818	-.0576556	.3683079	.9906857
InsH2Bfabp_CD15_09dpf_VAST02_plate01_NOTCH2_210114_G08	210114	1	NI730	insH2Bfabp	CD15	NOTCH2	1	0	0	2	1	9	1	1	1	3	9.1067955	1.531332	0	.4423848	.8573576	1	5	54	58202	3880	3839	2350	727	15	1.375e+08	1	649850	37006	75	131	120	52	32	413354	2480	2982.8742	2802.5288	7397528	-57.73483	-5428018		3709.204	857275.7	1150800	47_NOTCH2	1	1	2	7.133333	1	1	5	-1.742647	-1.622711	-1.522408	-1.108973	-1.742647	-.9674216	-.3067468	-1.25212	-.9397059	-1.196301	-2.558043	-1.482159	-1.49795	-.9042674	-.8372732	-.9591166	-.4022501	-1.748025	-1.748025	-.9674216	-.8791677	-1.899709	-1.748025	-1.899709	-1.628361	-1.628361	-1.628361	-2.114381	-1.628361	-1.685179
InsH2Bfabp_CD15_09dpf_VAST02_plate01_NOTCH2_210114_D09	210114	1	NI734	insH2Bfabp	CD15	NOTCH2	1	0	0	2	1	9	1	1	1	3	15.882978	2.9946048	.68180869	.6465624	2.4161896	1	9	58	210601	3829	3874	7165	2789	55	1.484e+09	1	3589055	132431	103	296	198	101									185	4375.465	1072294	1531983	47_NOTCH2	1	1	2	7.566667	1	1	5	.7115489	.4683492	.7887937	-.0437342	-.404226		.4032736	.9193841	.3640918	.2261913	.8045964	.5152434						-.2177984	-.6476036	-1.014499	-.8375226	-.7204233	-.2325743	.1155036	-.3837693	-.414974	-1.063939	.7776394	.6124654	-.6654744
InsH2Bfabp_CD15_09dpf_VAST02_plate01_NOTCH2_210114_G02	210114	1	NI688	insH2Bfabp	CD15	NOTCH2	1	0	0	2	1	9	0	0	0	1	10.711681	1.9737168	.61838462	.6465624	4.0529632	1	12	12															29	470808	1964	1724.3753	1569.5149	3386673	177.5424	1.47e+07	64	4042.916	938743	1274990	47_NOTCH2	1	1	1	3.433333	1	1	5	-.4683492	-.8710608	-.8710608	-.3417246	-.9596939	-.1553528	.5037205	-.3500305	1.487654	.2261913	.63364	-.8920979	-.9755887	-1.052254	-1.026029	-2.497705	.9591166													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_NOTCH2_210114_A04	210114	1	NI698	insH2Bfabp	CD15	NOTCH2	1	0	0	2	1	9	.0068132	0	0	1	16.952901	1.5993912	.74523275	.680592	1.2470656	1	22	22	546035	5353	4886	9213	3229	102	5.126e+09	1	8462589	259934	167	341	194	141									31				47_NOTCH2	1	1	1	4.358334	1	1	5								-1.143981	-.5549229	.4795057	.9397059	.8153122						2.527302	1.899709	-.1737411	.0576556	1.528305	.414974	.5780677	2.527302	2.114381	1.328818	1.899709	.3683079	1.441564
InsH2Bfabp_CD15_09dpf_VAST02_plate01_NOTCH2_210114_A05	210114	1	NI705	insH2Bfabp	CD15	NOTCH2	1	0	0	2	1	9	.96157	.8836404	1	3	13.386489	2.1778944	.19027219	.680592	.4676496	1	29	29	287250	5632	5647	10509	3372	51	2.925e+09	1	3407255	141618	115	237	208	111	23	748870	1752	3304.7334	3028.1262	5789893	-9.183138	-1.14e+07	227	4077.469	1041370	1450321	47_NOTCH2	1	1	1	4.966667	1	1	5	-.2805315	.1610005	.1315391	.5344601	.1906023	-.7441428	-.1515802	0	-1.937932	.4795057	-1.528793	-.2286397	.6365926	-1.331797	-1.195972	-1.120502	-.86416	-.5112223	-.2922246	.1155036	.9446696	.2030698	.7204233	.7204233	-.4465882	-.1737411	-.7392254	-.2030698	.9223964	-.3837693
InsH2Bfabp_CD15_09dpf_VAST02_plate01_NOTCH2_210114_D04	210114	1	NI700	insH2Bfabp	CD15	NOTCH2	1	0	0	2	1	9	0	0	0	1	19.271069	2.9605752	.41225642	.9187992	1.3250072	1	24	24	589989	6082	5407	3956	1295	97	2.527e+09	2	7789611	261024	170	340	217	126									15	4522.211	1155017	1651343	47_NOTCH2	1	1	1	4.65	1	1	5	1.522408	1.056592	1.435436	.8292257	1.108973	-.2183448	1.726056	.7864926	-.4795057	1.788569	-.1723557	1.275513						1.899709	2.527302	.414974	.6835603	-.0865434	-1.441564	-1.230818	2.114381	2.527302	1.628361	1.748025	1.230818	.3993231
InsH2Bfabp_CD15_09dpf_VAST02_plate01_NOTCH2_210114_G03	210114	1	NI696	insH2Bfabp	CD15	NOTCH2	1	0	0	2	1	9	.8582278	.5282093	1	3	10.087559	1.0549176	.45982446	.5444736	.779416	1	20	20	58612	2664	2286	7058	3020	22	4.036e+08	1	1489444	53377	87	202	132	72	71	468404	5122	3113.5773	3072.0762	1.59e+07	-253.584	-2146004		3888.968	816990.7	1087771	47_NOTCH2	1	2	1	4.066667	2	1	5	-1.358142	-2.109706	-1.894644	1.164587	-1.522408	-1.868242	-1.338533	-1.937932	-1.118958	-.6995466	.1456337	-1.163366	-1.026029	.2946089	.0764961	-.0156671	-.0470166	-1.628361	-1.628361	-2.114381	-1.899709	-1.441564	-.2922246	.3224307	-1.528305	-1.528305	-1.528305	-1.063939	-1.262145	-1.528305
InsH2Bfabp_CD15_09dpf_VAST02_plate01_NOTCH2_210114_G06	210114	1	NI716	insH2Bfabp	CD15	NOTCH2	1	0	0	2	1	9	0	0	0	1	14.902214	3.6411672	.93550494	.7826808	2.6500144	1	40	40	398128	5607	5016	7267	2238	71	2.998e+09	2	4590615	172482	132	266	194	129	60	883060	4455	3963.3553	3568.8648	1.77e+07	-5.657286	-1.01e+07					47_NOTCH2	1	2	1	6.033333	2	1	5								1.572695	.5244005	1.25212	1.281552	.2561017	1.260977	.0152849	-.200022	.1414683	-.8195021	.9005717	.7204233	.0865434	.2325743	.2622828	-.1737411	-.352934	.2622828	.6124654	.0576556	.2325743	.3683079	.5611246
InsH2Bfabp_CD15_09dpf_VAST02_plate01_NOTCH2_210114_B01	210114	1	NI677	insH2Bfabp	CD15	NOTCH2	1	0	0	2	1	9	0	0	0	1	15.258856	1.8375984	.4915365	.7146216	3.5853136	1	1	1	550719	7442	6423	10698	3612	74	5.726e+09	1	5342844	190004	145	266	229	103	25	807196	1592	2623.6294	3169.1792	4176818	-861.1705	-1.58e+07	224	3930.759	1176999	1484266	47_NOTCH2	1	2	1	2.65	2	1	5	-1.006961	1.288206	.3727933	2.52324	.7496121	-1.491606	1.879026	-.7336569	1.281552	.7336569	.3221112	.3681439	.9755887	-1.260977	-1.331797	-1.587056	-1.00999	1.171546	2.114381	1.899709	1.748025	1.748025	.7972819	.9223964	.8375226	.8375226	.5443409	.2325743	1.628361	-.5277092
InsH2Bfabp_CD15_09dpf_VAST02_plate01_NOTCH2_210114_E09	210114	1	NI735	insH2Bfabp	CD15	NOTCH2	1	0	0	2	1	9	1	.7882602	1	3	17.933664	2.2459536	.3964004	.170148	1.8705984	1	10	59	200075	5002	4903	6721	2206	40	1.320e+09	1	2391809	98205	109	236	137	96	36	480032	2392	2792.7788	2657.8794	6680327	-72.58985	-3318102		3989.869	974033.5	1335657	47_NOTCH2	1	2	2	7.616667	2	1	5	-.7115489	-.5011308	-.4683492	1.435436	-.5344601	.9674216	.2130021	.0924811	.0263886	-2.032478	-.3221112	1.041007	-.8372732	-.7946292	-.8814972	-1.00999	-.2050923	-.9223964	-.7972819	-.3837693	.0865434	-.7972819	-.3837693	-.3837693	-.9223964	-1.014499	-.9674216	-.2622828	-1.038901	-.9223964
InsH2Bfabp_CD15_09dpf_VAST02_plate01_NOTCH2_210114_B03	210114	1	NI691	insH2Bfabp	CD15	NOTCH2	1	0	0	2	1	9	0	0	0	1	17.755344	2.6543088	.96721698	.6465624	5.1441456	1	15	15	330293	6117	5714	5929	2075	54	1.951e+09	1	4246252	150005	138	303	184	102	39	744498	2917	3366.6414	3018.9749	9820493	63.81148	-7235409		4453.124	1061452	1529650	47_NOTCH2	1	2	1	3.666667	2	1	5	.9596939	.2805315	.7115489	.3417246	.7115489	1.491606	-.4362566	.4647573	1.937932	.2261913	1.487654	.9745425	.5995885	-.6744897	-.7133814	-.5424624	-.5791321	-.3376431	.0865434	.5112223	1.014499	-.3837693	-.6476036	-.4786552	.1155036	.0288158	.2474013	1.038901	.1010129	-.5951785
InsH2Bfabp_CD15_09dpf_VAST02_plate01_NOTCH2_210114_E04	210114	1	NI701	insH2Bfabp	CD15	NOTCH2	1	0	0	2	1	9	0	0	0	1	14.010611	2.9605752	.36468837	.6125328	.6235328	1	25	25	330586	6122	4406	12036	3370	54	3.905e+09	1	3210648	132854	127	224	172	115	19	554300	1184	4591.6503	3977.4434	5436514	127.6514	-3.04e+07	43	4228.39	983544	1416302	47_NOTCH2	1	2	1	4.733333	2	1	5	.1315391	-.3727933	-.0437342	.0729317	-.3727933	.5530241	-.5735608	.7864926	-1.44889	-.0131932	-.5859714	.1068681	-.3919137	-1.59929	-1.720366	-1.181259	-1.587056	-.3376431	.1155036	.5780677	-.414974	.9223964	1.116127	.6835603	-.6124654	-.3837693	-.1737411	-.5780677	-.1737411	-.2772226
InsH2Bfabp_CD15_09dpf_VAST02_plate02_NOTCH2_210114_E02	210114	2	NI748	insH2Bfabp	CD15	NOTCH2	1	0	0	2	1	9	1	1	1	3	13.832231	2.2799832	.4915365	.680592	.8573576	1	23	72	379947	6908	5786	12575	3806	55	4.612e+09	1	5526142	141724	164	222	174	140	27	673794	2192	2389.0739	2319.409	5236850	-66.24335	1853698	77	4223.675	1089655	1508326	47_NOTCH2	1	2	2	8.816667	2	1	5	.1021915	.6383348	.568394	.568394	.4683492	.7039218	-.0302049	.1323128	-.9397059	.4795057	.3221112	-.0800843	.1379956	-1.165288	-.9755887	-1.246721	.1731927	-.2177984	.6476036	1.230818	1.116127	1.441564	1.364489	.9674216	.9223964	-.144561	1.089662	-.6124654	-.0865434	1.262145
InsH2Bfabp_CD15_09dpf_VAST02_plate02_NOTCH2_210114_B01	210114	2	NI740	insH2Bfabp	CD15	NOTCH2	1	0	0	2	1	9	.0343284	0	0	1	13.942088	2.0758056	.34883235	.6125328	1.169124	1	15	64	244609	4615	4910	4337	1461	53	9.893e+08	1	4819672	136624	114	273	222	125	16	700418	1176	2891.1437	2997.9544	3399985	-386.2203	-1.32e+07	21	4042.941	1008636	1466740	47_NOTCH2	1	2	2	8.133333	2	1	5	-.4360634	-.1315391	.2203721	-.9144792	-.0437342	-1.403413	1.143064	-.1323128	-.6175954	-.0131932	-.6827943	.0266694	.2946089	-1.873672	-1.873672	-2.080278	-.9106117	-.4307273	-.6124654	-.6124654	.1155036	-1.014499	-1.364489	-1.116127	.352934	-.3224307	-.8172368	.4465882	1.441564	.2922246
InsH2Bfabp_CD15_09dpf_VAST02_plate01_NOTCH2_210114_H07	210114	1	NI724	insH2Bfabp	CD15	NOTCH2	1	0	0	2	1	9	1	1	1	3	10.62252	2.0758056	.41225642	.5785032	2.2603064	1	48	48	307915	5598	5200	8475	2760	55	2.548e+09	1	3780156	144590	119	252	194	119	101	653580	8308	4058.882	3639.8788	3.37e+07	3.837159	4529959	0	4048.951	1018700	1392271	47_NOTCH2	1	2	1	6.716667	2	1	5	-.3727933	-.0437342	-.2203721	-.6744897	-.0729317	1.714594	-.8459325	-.1323128	.2669941	-.3221112	-.1723557	-.9745425	.1071952	.7946292	.7533835	.8195021	.3351658	-.2177984	-.0865434	.0576556	.4786552	-.0288158	.1155036	.0576556	-.2030698	-.0288158	-.5443409	-.0288158	.3683079	-.0576556
InsH2Bfabp_CD15_09dpf_VAST02_plate01_NOTCH2_210114_H04	210114	1	NI704	insH2Bfabp	CD15	NOTCH2	1	0	0	2	1	9	0	0	0	1	12.049085	3.3689304	.26955227	.6125328	1.4808904	1	28	28	247062	4844	4143	12929	5431	51	3.040e+09	1	3359204	141063	117	317	149	117	57	592202	4516	3583.7704	3119.0264	1.62e+07	159.7296	-2827064	61	4428.563	997735	1446328	47_NOTCH2	1	2	1	4.916667	2	1	5	.8292257	-.2805315	.0729317	-1.622711	-.1610005	-1.071487	1.033853	1.281552	-.1857618	-.0131932	-1.281552	-.5459412	-.231311	-.1379956	-.1379956	.0470166	-.1414683	-.5112223	-.5780677	-.5112223	-.6476036	.352934	1.441564	2.114381	-.4786552	-.2325743	-.6654744	1.441564	-.7392254	-.1883852
InsH2Bfabp_CD15_09dpf_VAST02_plate01_NOTCH2_210114_G09	210114	1	NI737	insH2Bfabp	CD15	NOTCH2	1	0	0	2	1	9	1	1	1	3	9.1959558	2.1778944	.38054438	.7146216	1.4029488	1	12	61	95620	3085	2375	5977	1905	31	5.228e+08	1	1652154	74798	96	185	145	79	48	500532	3695	2918.7204	2879.6935	1.08e+07	-215.3724	-3549029		3901.499	926600.6	1202420	47_NOTCH2	1	2	2	7.75	2	1	5	-1.288206	-1.006961	-1.224058	-.7115489	-1.056592	-.6266873	.2440025	0	-.3221112	.7336569	-.4501094	-1.406504	-.7533835	-.4084725	-.3591108	-.4711971	-.2372021	-1.441564	-1.441564	-1.364489	-1.748025	-1.230818	-.5780677	-.5780677	-1.441564	-1.364489	-1.401986	-1.294762	-.8375226	-1.294762
InsH2Bfabp_CD15_09dpf_VAST02_plate01_NOTCH2_210114_B02	210114	1	NI684	insH2Bfabp	CD15	NOTCH2	1	0	0	2	1	9	1	1	1	3		1.9396872	.38054438	.5785032	3.0397224	1	8	8															87	455792	7296	3210.9608	3039.7075	2.34e+07	-116.9863	5966058	103	3696.664	832198.5	1174247	47_NOTCH2	1	2	1	3.133333	2	1	5	-1.894644	-1.742647	-1.288206	-.6383348	-.8710608	.3803256	-.4032736	-.4795057	.8605722	-.3221112	-.4501094		-1.079224	.4930868	.563388	.4022501	.4022501													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_NOTCH2_210114_E01	210114	1	NI680	insH2Bfabp	CD15	NOTCH2	1	0	0	2	1	9	0	0	0	1	16.68542	2.8244568	1.1892012	.8167104	6.0015032	1	4	4															90	917808	7727	3467.6647	2875.8347	2.68e+07	338.2467	1.25e+07	0	4772.622	1475623	1844648	47_NOTCH2	1	2	1	2.866667	2	1	5	2.52324	2.52324	2.52324	2.109706	2.52324	-.8284646	.8034983	.7164975	2.558043	1.44889	1.937932	.7255982	1.41001	.563388	.5995885	.5424624	.86416													
