filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	pdx1_dich	qRNA	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PDX1_220401_D03	220401	1	NW316	insH2Bfabp	CD15	PDX1	1	0	0	2	1	10	7.0289847	.3743256	.45982446	.4423848	.5455912	1	17	17	222720	5180	3392	6473	2031	43	1.526e+09	1	2598570	123192	116	249	135	119	505	707478	44356	20984.417	17266.463	9.31e+08	-1843.555	9.59e+07	94	3399.924	816168.2	1262384	127_PDX1	1	2	1	4.05	1	3	2	1	8	-2.565279	-.8017797	-.8379445	.0517061	-.7494131	1.092245	-1.487654	.4585578	-.0432312	.2511164	.7091025	-.8254945	-.1749599	1.681877	1.635941	1.408853	.9490551	-.329771	-.3446772	-.2562565	-1.376912	-.2562565	-.3747248	-.6309245	-.6309245	-.3149377	-.3149377	0	-.8336214	.0704692
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PDX1_220401_B02	220401	1	NW308	insH2Bfabp	CD15	PDX1	1	0	0	2	1	10	10.212406	.3743256	.4915365	.5444736	.6235328	1	9	9	120890	4650	6172	2897	1014	26	3.762e+08	2	1517338	61983	102	195	117	80	110	801754	7537	8791.2643	7536.1339	6.63e+07	-392.7249	-1.66e+08	58	4215.006	1056592	1631858	127_PDX1	1	2	1	3.116667	1	3	2	1	8	.6344714	.8752401	.9953057	-.5724601	.8017797	-.0827304	-.4355574	.4585578	.1191299	.9616869	.8416212	-.3487557	.2461637	-1.024592	-1.150349	-.5956607	-1.150349	-.8950011	-1.029232	-.7012515	1.414199	-1.453563	-1.758563	-1.639431	-1.130117	-1.307593	-1.078302	-1.029232	-1.307593	-1.029232
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PDX1_220401_F01	220401	1	NW304	insH2Bfabp	CD15	PDX1	1	0	0	2	1	10	6.9353547	.2722368	.34883235	.1020888	.4676496	1	5	5	73018	2704	2130	7479	2439	27	5.550e+08	1	1457627	71787	107	190	137	70										3674.786	717265	1040263	127_PDX1	1	2	1	2.75	1	3	2	1	8	-1.29339	-1.498434	-1.798076	-.1556757	.6344714	-.0275488	-1.788569	-1.551885	-.2511164	-1.551885	.1642108	-.8913764						-.8138509	-1.539856	-2.123549	-2.123549	-1.130117	-.0845939	-.2562565	-1.244045	-.9825221	-.6833558	-1.130117	-.7752326	-1.539856
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PDX1_220401_H02	220401	1	NW313	insH2Bfabp	CD15	PDX1	1	0	0	2	1	10	17.702809	.3743256	.23784024	.4764144	1.0911824	1	14	14	265422	6474	6098	4698	1838	41	1.243e+09	2	4078512	137761	139	263	183	120	361	649886	25684	11597.023	10419.936	2.98e+08	-1630.668	-1.13e+08	86	4175.18	1000696	1506906	127_PDX1	1	2	1	3.7	1	3	2	1	8	.4833236	.6664013	.3700567	-.2082272	-.2881971	.5821887	-.2126769	.4585578	1.171546	.4948732	-1.064822	.6744897	-.4434955	1.106481	.7803495	.7422367	-.9490551	-.3898747	-.0845939	.7752326	1.244045	-.5308747	-.8138509	-.7377372	.2562565	.1128968	.4670705	.2128286	.3446772	.1984454
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PDX1_220401_B03	220401	1	NW314	insH2Bfabp	CD15	PDX1	1	0	0	2	1	10	10.212406	.3743256	.50739251	.4764144	.8573576	1	15	15	472210	5491	5091	3090	852	86	1.456e+09	2	6123322	202229	154	298	177	138	246	663150	18773	9111.1853	8216.099	1.71e+08	-1026.259	-1.03e+08	35	4040.964	816975.7	1434291	127_PDX1	1	2	1	3.833333	1	3	2	1	8	-.0776024	-.7666343	.0517061	-1.131768	-1.131768	-.3661064	1.281552	.4585578	.6081267	.4948732	.9054682	-.3487557	-.3928308	.0813229	.0348213	.4350152	-.8449332	1.376912	1.185158	-.0563585	.1412905	-.3747248	-1.639431	-2.123549	1.130117	.9378634	.8741759	.7752326	.0704692	1.307593
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PDX1_220401_F03	220401	1	NW318	insH2Bfabp	CD15	PDX1	1	0	0	2	1	10	3.7519332	.340296	.34883235	.3062664	.3117664	1	19	19	237923	5062	5155	6709	2484	47	1.424e+09	1	2485691	113818	115	179	169	109	214	484676	18644	8066.4497	5866.0336	1.50e+08	1224.295	2.20e+07		3731.426	776780.4	1187437	127_PDX1	1	2	1	4.266667	1	3	2	1	8	-1.182233	-1.131768	-1.182233	-.4833236	-1.583085	0	-.9815618	-.273482	-.6211776	-.6343352	.1642108	-1.92248	-1.297543	-.1749599	-.011605	.3094104	.011605	-.1128968	-.227256	-.3747248	.2562565	-.4051146	-.2854742	-.227256	-.7012515	-.4670705	-.3747248	-1.307593	-.2708364	-.1555287
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PDX1_220401_D02	220401	1	NW309	insH2Bfabp	CD15	PDX1	1	0	0	2	1	10	20.979861	.3743256	1.5063215	.4423848	.779416	1	10	10	71015	3945	3803	6112	2270	18	5.321e+08	3	2287331	72892	100	297	135	88	274	773778	19650	7651.9807	7097.6096	1.50e+08	-917.1047	-5.43e+07	166	3864.699	964418.3	1514053	127_PDX1	1	2	1	3.283333	1	3	2	1	8	-.6664013	.3978759	.3978759	-.0258444	0	.4868373	-.3782254	.4585578	.4228376	.2511164	2.623793	1.256069	.1046335	.3928308	.128001	.2849259	-.6033193	-1.539856	-1.639431	-1.185158	-1.029232	-1.185158	-.4670705	-.4358834	-.8138509	-.9378634	-1.157199	.7012515	-.8336214	-.7752326
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PDX1_220401_H01	220401	1	NW306	insH2Bfabp	CD15	PDX1	1	0	0	2	1	10	11.335967	.3743256	.45982446	.5444736	1.169124	1	7	7	370458	6499	5039	6251	2163	57	2.364e+09	1	6145119	185981	139	245	215	170	387	900202	30551	11322.39	8767.8236	3.46e+08	411.3108	3.77e+07	65	3826.625	958287.4	1544768	127_PDX1	1	2	1	2.933333	1	3	2	1	8	-.8752401	.2613606	.5422753	.1295693	1.182233	.2790326	1.937932	.4585578	1.364489	.9616869	.7091025	-.1949213	.5485223	1.353406	1.106481	.8382877	.2461637	.2562565	.5308747	.8138509	.1128968	.0845939	-.4358834	-.5635893	1.244045	.8138509	.4670705	-.0704692	1.130117	2.123549
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PDX1_220401_D01	220401	1	NW302	insH2Bfabp	CD15	PDX1	1	0	0	2	1	10	11.242337	.3743256	.47568048	.510444	.7014744	1	3	3	146183	7309	5098	10021	3938	20	1.375e+09	1	1748257	71422	103	244	115	79	280	764710	19410	11451.365	9575.8403	2.22e+08	-592.7242	-1.36e+08	68	4311.913	1026446	1596777	127_PDX1	1	2	1	2.583333	1	3	2	1	8	1.038647	.7666343	.8017797	.6031758	.6990255	.3077905	-.2669941	.4585578	.2399812	.7157626	.7810338	-.2298841	.0580564	.4434955	.0813229	.5679139	-1.106481	-1.275175	-.7752326	1.376912	.1697986	-.4358834	.3747248	.8138509	-1.029232	-1.029232	-.9599534	-.1128968	-1.376912	-1.103839
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PDX1_220401_F02	220401	1	NW311	insH2Bfabp	CD15	PDX1	1	0	0	2	1	10	14.893908	.3743256	.17441618	.1020888	1.0132408	1	12	12	135644	8478	10055	5367	2877	16	8.021e+08	2	2955287	99539	133	224	146	104	139	749098	12290	7295.5387	6814.354	8.97e+07	-876.3624	-9.75e+07	4	3770.661	874158.3	1385662	127_PDX1	1	2	1	3.5	1	3	2	1	8	-1.131768	-.2881971	-.2082272	.1035509	-1.235902	1.768825	-1.412188	.4585578	1.014499	-1.551885	-2.11088	.2888094	-.0813229	-.7188681	-.6314019	-.2124247	-.8122178	-1.758563	-.8537231	2.123549	2.535274	-.8537231	-.7377372	.1984454	-.4358834	-.6656764	.227256	-.3446772	-.7012515	-.4051146
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PDX1_220401_H03	220401	1	NW320	insH2Bfabp	CD15	PDX1	1	0	0	2	1	10	9.5569958	.3743256	.60252861	.5444736	.7014744	1	21	21	375029	6697	6172	5494	1947	56	2.191e+09	1	5651793	189082	146	304	178	126	348	797130	28977	11667.639	8955.4351	3.38e+08	493.4887	1.83e+07	0	4021.968	961367.8	1459682	127_PDX1	1	2	1	4.45	1	3	2	1	8	-.1035509	.3152428	.1818887	.4260065	-.2347111		-.7336569	.4585578	.2399812	.9616869	1.233495	-.4348981	.2223081	1.024592	.9861203	.8054488	-.0348213	.1697986	.5635893	.9825221	1.414199	.0281681	-.5969185	-.6656764	.8950011	.8537231	.7012515	.8537231	.1412905	.5471588
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PDX1_220404_A06	220404	2	NW351	insH2Bfabp	CD15	PDX1	1	0	0	2	1	10	21.325035	.4423848	.52324853	.680592	.2338248	1	3	52	325855	6933	5944	9100	3605	47	2.728e+09	1	4941123	154883	169	263	206	109	231	990054	18013	5894.3769	4733.2743	1.06e+08	640.5903	4.80e+07	48	4469.188	1039456	1659612	127_PDX1	2	3	3	6.416667	0	1	3	2	8	1.29339	.8379445	1.131768	.5724601	.1818887	-.6831604	.6498495	1.628361	-.9279215	1.715755	.9732385	1.335178	1.064644	.0348213	-.0813229	-.0703373	.3678797	-.1128968	.2562565	1.130117	1.078302	.2562565	.2562565	.6309245	.6309245	.3446772	1.639431	.2128286	.7943937	-.1555287
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PDX1_220404_A02	220404	2	NW328	insH2Bfabp	CD15	PDX1	1	0	0	2	1	10	20.060415	.4083552	.36468837	.510444	1.0132408	1	29	29	516321	6074	5514	10533	3384	85	5.461e+09	1	7415904	225305	181	278	211	144	368	663643	37319	30261.654	22217.723	1.13e+09	490.9676	-1.24e+07	16	4147.358	946414.2	1524013	127_PDX1	2	3	2	3.233333	0	1	3	2	8	.3700567	.1818887	.4833236	-.3700567	.3978759	.5498568	.0792395	1.109438	1.014499	.7157626	.3100516	1.036433	-.3678797	1.150349	1.413845	1.63141	-.3678797	1.214075	1.453563	.4358834	.5308747	1.453563	.4670705	.4987188	1.758563	1.453563	1.909639	.5147302	.8950011	1.539856
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PDX1_220404_E07	220404	2	NW362	insH2Bfabp	CD15	PDX1	1	0	0	2	1	10	12.201711	.3062664	.25369626	.510444	.0779416	1	14	63	302025	5299	4409	11521	3733	57	3.801e+09	2	3437205	122247	104	293	176	126	159	472630	11780	3501.5935	3145.5374	4.12e+07	474.1503	8.15e+07	0	3603.991	713496.7	1196768	127_PDX1	2	3	3	7.633333	0	1	3	2	8	-1.583085	-1.583085	-1.038647	-1.680894	.0258444	-.5180898	.4067242	-.9616869	-2.228277	.7157626	-.8416212	-.1256613	-1.413845	-.5217393	-.6891311	-1.018561	.8122178	.2562565	.1412905	-.1984454	-.4670705	.7012515	.8950011	.6656764	-.0845939	-.3446772	-.8138509	.6309245	0	.5471588
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PDX1_220404_E05	220404	2	NW348	insH2Bfabp	CD15	PDX1	1	0	0	2	1	10	4.7946558	.4083552	.31712032	.3743256	.389708	1	49	49	303817	5149	3959	11392	4387	59	3.287e+09	2	4242756	147743	135	231	206	105										3638.054	700307.6	1195362	127_PDX1	2	3	2	6.166667	0	1	3	2	8	-1.423335	-1.946903	-1.084032	-1.946903	-1.423335	.3957253	.1857618	1.109438	-.4346822	-.1737411	-.065437	-1.423658						.3446772	.1697986	-.329771	-.8537231	.4051146	.8138509	1.185158	.4051146	.227256	.3001733	-.227256	.7943937	-.329771
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PDX1_220404_E01	220404	2	NW325	insH2Bfabp	CD15	PDX1	1	0	0	2	1	10	22.499324	.3743256	.50739251	.510444	1.169124	1	26	26	359992	7059	5726	9612	3477	51	3.588e+09	1	4408801	154164	126	264	221	128	285	850880	19986	20953.793	14543.077	4.19e+08	1944.586	-2.47e+08	23	4307.688	1065684	1694155	127_PDX1	2	3	2	2.916667	0	1	3	2	8	.9137947	.9953057	1.29339	.9537579	.3152428	-1.092245	1.670923	.4585578	1.364489	.7157626	.9054682	1.562451	.3678797	.5217393	.1749599	.9799662	-1.413845	-.0140826	.4987188	1.185158	.8950011	.4987188	.3446772	.5635893	.4670705	.3149377	-.0563585	.2708364	1.307593	.7563519
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PDX1_220404_E02	220404	2	NW332	insH2Bfabp	CD15	PDX1	1	0	0	2	1	10	14.279299	.340296	.28540829	.3743256	1.169124	1	33	33															377	806255	35877	24869.658	21467.006	8.92e+08	-3848.365	-2.03e+08	55	4066.44	857619.6	1339096	127_PDX1	2	3	2	3.65	0	1	3	2	8	0	-.3978759	-.4833236	.2881971	.3700567	-.1940281	-.0131932	-.273482	1.364489	-.1737411	-.3911963	.2182007	.2701602	1.297543	1.245459	1.348275	-1.245459													
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PDX1_220404_E03	220404	2	NW339	insH2Bfabp	CD15	PDX1	1	0	0	2	1	10	17.440847	.3743256	.25369626	.5785032	.9352992	1	40	40	234744	4995	4183	11030	2588	47	2.525e+09	1	2500999	120382	129	247	182	75	339	1263750	26929	28176.138	17464.91	7.59e+08	5069.902	-8.84e+07	30	4123.919	977128.9	1489171	127_PDX1	2	3	2	4.45	0	1	3	2	8	.2881971	.4544784	.2347111	.6990255	.1035509	.1104053	.7864926	.4585578	.7874227	1.171546	-.8416212	.6183212	1.992682	.9674216	.8785789	1.191022	-.7803495	-.1128968	-.2854742	-.4987188	-.7377372	.1128968	.6656764	-.0845939	-.6656764	-.4051146	-.0140826	-.0281681	.2854742	-1.341447
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PDX1_220404_E09	220404	2	NW376	insH2Bfabp	CD15	PDX1	1	0	0	2	1	10	10.304782	.4423848	.33297634	.3743256	.3117664	1	28	77	249417	5543	4353	16183	4474	45	4.018e+09	1	2382110	113477	115	199	164	108	187	682204	13330	4012.1704	3720.6002	5.35e+07	178.3674	5.81e+07	276	3988.922	895960.7	1293787	127_PDX1	2	3	3	8.883333	0	1	3	2	8	-.2613606	-.1035509	-.7324114	-.5125768	-.0258444	-.6151411	-.8605722	1.628361	-.6211776	-.1737411	.065437	-.3126515	-.2461637	-.3431555	-.5485223	-.8382877	.4434955	-.2708364	-.1984454	.0563585	-.5635893	.7752326	2.535274	1.453563	-.7377372	-.4987188	-.3747248	-.9378634	-.4051146	-.227256
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PDX1_220404_A07	220404	2	NW359	insH2Bfabp	CD15	PDX1	1	0	0	2	1	10	17.621507	.3743256	.22198422	.6465624	.9352992	1	11	60	392215	6034	4102	11577	3958	65	4.533e+09	1	3968222	149545	157	219	179	127	255	1023732	23716	4929.1755	3781.1244	1.17e+08	1010.505	1.18e+08	212				127_PDX1	2	3	3	7.233333	0	1	3	2	8								.4585578	.7874227	1.421497	-1.281552	.6461506	1.413845	.1631881	.5485223	.0938433	1.353406	.6138328	.6309245	.3446772	-.7752326	.8950011	.9825221	.8537231	.1697986	.2562565	1.130117	-.4670705	.1984454	.6482026
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PDX1_220404_A01	220404	2	NW321	insH2Bfabp	CD15	PDX1	1	0	0	2	1	10	4.7043259	.3743256	.34883235	.340296	.4676496	1	22	22															584	1426356	54133	30025.343	21613.48	1.63e+09	1101.934	5.21e+08	29	4526.246	1028988	1573330	127_PDX1	2	3	2	2.55	0	1	3	2	8	1.423335	.8017797	.7324114	.2347111	1.038647	-.3957253	1.572695	.4585578	-.2511164	-.3644564	.1642108	-1.48947	2.60233	2.60233	1.992682	1.842373	1.992682													
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PDX1_220404_A09	220404	2	NW373	insH2Bfabp	CD15	PDX1	1	0	0	2	1	10	19.608766	.3743256	.28540829	.4764144	.7014744	1	25	74	263599	5730	5763	10730	2525	46	2.936e+09	1	2975226	111182	108	245	154	108	117	453418	10545	7778.9216	6264.7025	8.20e+07	377.7484	-7.10e+07	53	4414.185	985981.4	1417633	127_PDX1	2	3	3	8.616667	0	1	3	2	8	1.235902	.5422753	0	.5422753	.6664013	-.3077905	1.223734	.4585578	.2399812	.4948732	-.3911963	.9258086	-1.635941	-.9490551	-.8122178	-.3340819	-.7188681	-.2128286	-.1128968	.1697986	.9825221	.3149377	.5635893	-.1412905	-.4051146	-.5635893	-.6138328	-.0704692	-.5801733	-.227256
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PDX1_220404_E08	220404	2	NW369	insH2Bfabp	CD15	PDX1	1	0	0	2	1	10	17.260187	.4083552	.26955227	.4764144	.3117664	1	21	70	420950	6283	5948	11056	3144	67	4.639e+09	1	4177264	168198	144	214	194	143	293	857234	21683	5468.0174	5181.9451	1.19e+08	-414.9006	3.26e+07	9	4224.045	980747.7	1521082	127_PDX1	2	3	3	8.183333	0	1	3	2	8	.6664013	.5125768	.4544784	-.0517061	.2082272	-.1104053	.2669941	1.109438	-.6211776	.4948732	-.6141285	.5909626	.418029	.5757047	.3928308	.1174013	.1514387	.7752326	.8138509	.5308747	1.130117	.9825221	.7377372	.3446772	.3446772	.5635893	.6309245	-.5969185	.5308747	1.453563
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PDX1_220404_A08	220404	2	NW366	insH2Bfabp	CD15	PDX1	1	0	0	2	1	10	9.2208228	.340296	.28540829	.3062664	.3117664	1	18	67	257686	3964	4288	3576	1060	65	9.674e+08	1	3982495	135996	155	225	169	127	212	628649	13802	4834.023	4484.7658	6.67e+07	-71.30192	2.40e+07	21	3782.894	804713.8	1282422	127_PDX1	2	3	3	7.933333	0	1	3	2	8	-1.084032	-.9137947	-.8017797	-.1295693	.9137947	.2505037	.2397471	-.273482	-.6211776	-.6343352	-.3911963	-.5375191	-.5217393	-.1985783	-.4953255	-.5679139	.0580564	.6138328	-.1412905	-1.078302	-.6309245	-.7377372	-1.244045	-1.453563	.227256	.0845939	.9825221	-.3149377	-.2708364	.6482026
