filename	date	plate	index	control_1_mutant_0	line	diet	Exp	filename9	overfeeding	cholesterol	glucose	VAST	Imaged	age	poldip2_nwt	poldip2_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate02_POLDIP2_201125_G05	201125	2	ND623		insH2Bfabp	CD15	POLDIP2		1	0	0	2	1	9	1	1	2	7.9726805	.4083552	.38054438	.3062664	.5455912	1	2	100	59917	2140	2303	400	92	28	24513948	3	8206955	157060	143	355	226	121	114	489830	9129	4293.1558	3774.9773	3.92e+07	51.7459	1.85e+07	15	3796.046	857290.6	1205665	33_POLDIP2	1	1	3	7.183333	1	1	6	-.7478586	-1.150349	-.7082534	-1.754947	-.8745511		.1833219	-.6264277	-.7129737	-.1573107	-1.058878	-1.321884	-.8745511	-.1987935	-.1987935	-.5367166	.433524	-1.513781	-2.047078	-2.646619	-2.250926	-2.646619	-2.646619	-2.646619	1.903997	.1637617	.3864182	1.743188	1.546635	.2892923
InsH2Bfabp_CD15_09dpf_VAST02_plate01_POLDIP2_201125_G07	201125	1	ND569		insH2Bfabp	CD15	POLDIP2		1	0	0	2	1	9	1	1	2	10.291233	.2722368	.36468837	.2041776	.4676496	1	46	46	144820	6583	5863	15045	4021	22	2.277e+09	1	1586483	74202	90	219	133	89	42	339583	3416	3858.9236	3532.3693	1.32e+07	-89.4353	-1306379	0	3395.041	785887.1	1055157	33_POLDIP2	1	1	1	3.916667	1	1	6	-2.361894	-1.754947	-1.630337	-1.244231	-1.069491	-.9586237	-.4727891	-1.105448	-.8665166	-1.117247	-1.243203	-.7582926	-2.166107	-1.281552	-1.353934	-1.62737	-.0535207	-1.903997	-1.617868	.2892923	.5337768	-.7876622	.581393	.2260813	-1.423913	-1.423913	-1.546635	-.8300614	-1.295575	-1.423913
InsH2Bfabp_CD15_09dpf_VAST02_plate02_POLDIP2_201125_D04	201125	2	ND613		insH2Bfabp	CD15	POLDIP2		1	0	0	2	1	9	.020996	0	1	9.7691637	.8847696	.63424064	.340296	.6235328	1	41	90	350703	5845	5564	17710	5225	60	6.357e+09	1	3643158	149282	134	231	203	115	197	647648	15070	12063.367	9928.4079	1.82e+08	389.1053	2984315	24	3812.665	1046618	1208805	33_POLDIP2	1	1	2	6.633333	1	1	6	-.6697294	.433524	-.6697294	1.687728	1.12496		-2.166107	.8540028	-.5848915	.264147	.8540028	-.9049021	.2455112	.8095796	.7082534	1.211746	.0382201	.2786834	.0407695	-.143141	.3106094	.9042674	1.18562	.8157657	-.3320687	.0407695	-.0407695	-.4873416	.7876622	-.1844524
InsH2Bfabp_CD15_09dpf_VAST02_plate02_POLDIP2_201125_G04	201125	2	ND616		insH2Bfabp	CD15	POLDIP2		1	0	0	2	1	9	0	0	1	14.934053	.9187992	.68180869	.1361184	.0779416	1	44	93															183	599490	14398	5865.451	4925.9927	8.45e+07	233.7066	3.42e+07	0	4101.244	966467	1379336	33_POLDIP2	1	1	2	6.783333	1	1	6	.4390766	-.0995121	.1833219	.145715	.106543	.5785188	-.2769504	1.043857	-2.701799	-1.562987	1.089662	.7129737	-.0151923	.6508373	.6137297	.2234687	.8702819													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_POLDIP2_201125_G02	201125	1	ND537		insH2Bfabp	CD15	POLDIP2		1	0	0	2	1	9	1	1	2	14.962819	.4083552	.52324853	.2722368	1.558832	1	14	14	488748	8012	6230	12167	3219	61	5.901e+09	1	4433097	177477	149	241	165	139	73	897408	6464	6802.4524	5861.1642	4.40e+07	41.09562	-3.03e+07	19	4168.703	1165425	1497141	33_POLDIP2	1	1	1	1.666667	1	1	6	.5954912	1.244231	.7886732	2.026799	-.7082534	.6384531	.7681059	-.6264277	.7241632	-.5998427	.1300186	.7354442	1.392945	-.6321747	-.5595922	-.4503765	-.8051525	.3645503	.9353781	1.145427	.8157657	.8157657	.1225808	-.3106094	.2892923	.6554235	.6554235	-.1948269	-.3864182	1.08839
InsH2Bfabp_CD15_09dpf_VAST02_plate01_POLDIP2_201125_D09	201125	1	ND581		insH2Bfabp	CD15	POLDIP2		1	0	0	2	1	9	0	0	1	14.465842	.510444	.52324853	.340296	1.0911824	1	9	58	312983	5396	3916	15083	4493	58	4.474e+09	1	3192511	122206	137	212	138	131	219	551632	17975	7232.3395	6257.3788	1.30e+08	-7.612888	4.55e+07	0	3957.332	966272.6	1320913	33_POLDIP2	1	1	2	4.616667	1	1	6	-.0760316	-.1148846	-.0455908	.0382201	-.3894143		-1.042954	-.2533471	.1213065	.264147	.1300186	.5848915	-.422408	.9434426	1.069491	.8264717	1.150349	.0407695	-.3320687	-.3974212	-1.000491	.1225808	.6056978	.4419345	-.5337768	-.581393	.1225808	-1.034691	-1.18562	.6938044
InsH2Bfabp_CD15_09dpf_VAST02_plate01_POLDIP2_201125_D02	201125	1	ND535		insH2Bfabp	CD15	POLDIP2		1	0	0	2	1	9	1	1	2	16.453751	.7146216	.55496056	.340296	1.7926568	1	12	12															93	685818	8336	6310.8702	5233.5795	5.26e+07	307.5855	-5587246	8	4070.801	1197650	1448616	33_POLDIP2	1	1	1	1.516667	1	1	6	.3246387	1.474883	.6137297	-.3836748	1.524945	-2.32884	-1.31688	.3899795	.9720323	.264147	.3899795	1.043857	.422408	-.3487557	-.3086658	-.2549257	-.1148846													
InsH2Bfabp_CD15_09dpf_VAST02_plate02_POLDIP2_201125_D08	201125	2	ND640		insH2Bfabp	CD15	POLDIP2		1	0	0	2	1	9	1	1	2	12.351608	.85074	.3964004	.4083552	1.3250072	1	19	117															62	552034	5328	7270.4212	5970.9804	3.87e+07	376.4152	-3.84e+07	0	3792.472	1181664	1217867	33_POLDIP2	1	1	3	8.283334	1	1	6	-.7886732	1.389653	-.5954912	.8481733	2.744484	-1.195765	-1.833915	.7582926	.4561587	.9674216	-.8791677	.0259335	-.4058559	-.852495	-.7579435	-.5723673	-1.150349													
InsH2Bfabp_CD15_09dpf_VAST02_plate02_POLDIP2_201125_G01	201125	2	ND592		insH2Bfabp	CD15	POLDIP2		1	0	0	2	1	9	1	1	2	8.6463617	.3743256	.55496056	.3062664	.389708	1	20	69	217026	6029	5370	24247	8577	36	5.067e+09	1	2395567	101468	108	203	147	114	52	297354	4672	3715.4358	3299.215	1.74e+07	48.70865	8860078		3468.953	785199.3	1077303	33_POLDIP2	1	1	2	5.366667	1	1	6	-1.92248	-1.831183	-1.4342	-2.026799	-.3568393	-1.793784	-.4898466	-.7698661	-1.074143	-.1573107	.3899795	-1.171546	-2.744484	-.979622	-.8970411	-1.313471	.2391676	-1.396375	-.9042674	-.0203805	.1225808	.3974212	2.646619	2.646619	-1.227826	-1.070148	-1.034691	-1.31953	-.889036	-.2681058
InsH2Bfabp_CD15_09dpf_VAST02_plate02_POLDIP2_201125_B07	201125	2	ND634		insH2Bfabp	CD15	POLDIP2		1	0	0	2	1	9	1	1	2	11.790207	.7146216	.52324853	.3743256	1.2470656	1	13	111															72	628582	5206	10346.43	8515.3287	5.39e+07	379.0548	-8.86e+07	94	3945.247	948462.8	1280284	33_POLDIP2	1	1	3	7.85	1	1	6	-.167894	-.2707473	-.2769504	-.9633621	-.3086658	-.5982564	.152506	.3899795	.3345945	.6314019	.1300186	-.2177984	.152506	-.6697294	-.8095796	-.2078247	-1.91984													
InsH2Bfabp_CD15_09dpf_VAST02_plate02_POLDIP2_201125_B08	201125	2	ND638		insH2Bfabp	CD15	POLDIP2		1	0	0	2	1	9	1	1	2	7.8604003	.5785032	.34883235	.2722368	.779416	1	17	115	272862	4134	3628	17804	6947	66	4.526e+09	1	3755449	136002	149	234	165	118										3775.915	836011.7	1109618	33_POLDIP2	1	1	3	8.183333	1	1	6	-.8745511	-1.313471	-1.31688	-1.065642	-.3406948	.7438725	-.9919701	.0432312	-.2982436	-.5998427	-1.409726	-1.364489						.5574269	-.6056978	-1.272341	-1.227826	.1637617	1.272341	1.698407	-.2052224	-.3106094	.6554235	-.3320687	-.3864182	.0509698
InsH2Bfabp_CD15_09dpf_VAST02_plate01_POLDIP2_201125_D03	201125	1	ND541		insH2Bfabp	CD15	POLDIP2		1	0	0	2	1	9	0	0	1	20.031987	1.4632728	.53910454	.5444736	1.7926568	1	18	18	519221	7988	6530	5998	1952	65	3.129e+09	1	5429875	179573	155	303	167	114	188	927126	15363	6399.6231	5267.1272	9.83e+07	355.8154	3.93e+07	10	4348.875	1122314	1603446	33_POLDIP2	1	1	1	1.933333	1	1	6	1.281552	.8481733	1.31688	1.430969	.5419125	.2688054	.422408	2.701799	.9720323	2.699497	.2802179	2.114381	1.524945	.6888636	.7681059	.433524	.9879631	.4873416	1.145427	1.107003	.9674216	-.4195739	-1.272341	-1.18562	.8445288	.7601675	.9042674	1.107003	-.2681058	-.2681058
InsH2Bfabp_CD15_09dpf_VAST02_plate01_POLDIP2_201125_D01	201125	1	ND527		insH2Bfabp	CD15	POLDIP2		1	0	0	2	1	9	1	1	2	17.646496	.9868584	.57081658	.4423848	2.0264816	1	4	4	405788	6878	4592	10123	3016	59	4.137e+09	1	4468267	174109	138	220	180	139	71	727569	6129	6737.2232	5929.6596	4.13e+07	-106.8705	-3.48e+07	0	4273.396	1031740	1465693	33_POLDIP2	1	1	1	1.083333	1	1	6	.8745511	.3509715	.6888636	1.313471	.137154	.2345352	.0455908	1.321884	1.301453	1.318011	.4754269	1.458047	.6321747	-.7180487	-.6137297	-.484475	-.9633621	.1637617	.3974212	.5104216	-.3754618	-.0203805	-.247039	-.4873416	.3106094	.6303658	.1637617	-.7738417	.143141	1.08839
InsH2Bfabp_CD15_09dpf_VAST02_plate01_POLDIP2_201125_A08	201125	1	ND571		insH2Bfabp	CD15	POLDIP2		1	0	0	2	1	9	.0658165	0	1	12.776119	.7826808	.45982446	.3062664	.4676496	1	48	48	425730	5389	5651	10308	3106	79	4.677e+09	1	4900211	180319	135	250	185	132	83	488882	6124	5036.9665	4705.7165	3.08e+07	-328.7018	-1.38e+07	7	3878.403	1007410	1304703	33_POLDIP2	1	1	1	4.016667	1	1	6	-.422408	.084163	-.106543	-1.180491	-1.757763	-.3559816	-.8308461	.574666	-.8665166	-.1573107	-.3993231	.226658	-.8970411	-.4727891	-.6321747	-.8928244	-.3509715	1.165288	.5337768	-.4195739	.3754618	.2260813	-.2260813	-.4195739	.6303658	.8157657	.0101897	.1328539	.2892923	.7738417
InsH2Bfabp_CD15_09dpf_VAST02_plate02_POLDIP2_201125_A02	201125	2	ND594		insH2Bfabp	CD15	POLDIP2		1	0	0	2	1	9	1	1	2	9.9937241	.6465624	.3964004	.3743256	.7014744	1	22	71	130493	6214	5058	18201	4814	21	2.221e+09	1	1103977	50745	70	198	147	81	67	446290	5302	4724.0819	4375.577	2.50e+07	-242.8044	-1.11e+07	93	3904.849	861029.1	1232372	33_POLDIP2	1	1	2	5.5	1	1	6	-.3406948	-1.039052	-.5070479	-.8928244	-.6321747	2.32884	-.0760316	.2089558	-.4370584	.6314019	-.8791677	-.8665166	-1.281552	-.7681059	-.7886732	-1.065642	-.2707473	-2.047078	-1.698407	.0407695	-.1637617	-.8445288	1.31953	.6056978	-1.698407	-1.698407	-1.698407	-1.423913	-.889036	-1.482485
InsH2Bfabp_CD15_09dpf_VAST02_plate02_POLDIP2_201125_C08	201125	2	ND639		insH2Bfabp	CD15	POLDIP2		1	0	0	2	1	9	0	0	1	8.5340815	.4083552	.34883235	.0680592	.3117664	1	18	116	281507	6703	5595	9336	3328	42	2.512e+09	1	2935773	119340	133	245	133	101	145	369794	10337	10006.753	8110.3373	1.03e+08	528.575	-2.87e+07	20	3669.294	934331.7	1045213	33_POLDIP2	1	1	3	8.216666	1	1	6	-1.281552	-.4001794	-1.690622	2.35964	-2.166107	-.0997664	-1.92248	-.6264277	-1.386752	-2.699497	-1.409726	-1.2066	-1.757763	.2927713	-.0151923	.484475	-.723273	-1.000491	-.5104216	.3754618	.353682	-.7068257	-.4645183	-.2260813	-.7332358	-.7068257	-.1123207	-.0816069	-1.295575	-.9197114
InsH2Bfabp_CD15_09dpf_VAST02_plate01_POLDIP2_201125_A05	201125	1	ND554		insH2Bfabp	CD15	POLDIP2		1	0	0	2	1	9	1	1	2	13.869469	.340296	.61838462	.3062664	.6235328	1	31	31																								3970.957	939969.2	1345182	33_POLDIP2	1	1	1	2.7	1	1	6	-.0455908	-.3347617	.0912767	-.0995121	-.5954912	.858297	-.6137297	-.9049021	-.5848915	-.1573107	.7018726	.4851271																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_POLDIP2_201125_G05	201125	1	ND557		insH2Bfabp	CD15	POLDIP2		1	0	0	2	1	9	1	1	2	7.0111837	.4764144	.31712032	.2722368	.3117664	1	34	34	206573	5164	4426	11491	2996	40	2.491e+09	1	1982989	83178	91	242	154	110	30	408516	2536	2115.2413	1953.5871	5364252	73.92508	3.14e+07	32	3590.41	814897.1	1055561	33_POLDIP2	1	1	1	3	1	1	6	-1.392945	-1.474883	-1.575455	-1.121218	.0151923	-1.58669	-1.12496	-.3806698	-1.386752	-.5998427	-1.661806	-1.697219	-1.392945	-1.757763	-1.757763	-2.026799	.8264717	-1.107003	-1.000491	-.6056978	-.5104216	-.7332358	-.0203805	-.5574269	-1.369856	-1.369856	-1.482485	-.143141	-.7466339	-.5455638
InsH2Bfabp_CD15_09dpf_VAST02_plate01_POLDIP2_201125_A04	201125	1	ND546		insH2Bfabp	CD15	POLDIP2		1	0	0	2	1	9	1	1	2	15.360401	.510444	.68180869	.4083552	1.4029488	1	23	23	335918	5090	4371	12892	3855	66	4.454e+09	1	4248243	137872	142	250	167	103	271	660088	21135	7321.5375	6502.7472	1.55e+08	-214.8002	6.39e+07	0	4032.464	1021975	1284904	33_POLDIP2	1	1	1	2.266667	1	1	6	.1987935	.286637	-.2455112	.2391676	1.353934	.4276937	-1.524945	-.2533471	.5645002	.9674216	1.089662	.8293674	.2927713	1.392945	1.353934	1.065642	1.350582	.5574269	-.0816069	-.6303658	-.581393	.1020724	.2681058	.1020724	.1844524	-.2052224	.3320687	.1328539	-.2681058	-.8445288
InsH2Bfabp_CD15_09dpf_VAST02_plate01_POLDIP2_201125_G04	201125	1	ND552		insH2Bfabp	CD15	POLDIP2		1	0	0	2	1	9	.9798887	1	2	16.453751	.9187992	.68180869	.3743256	1.0132408	1	29	29															133	562872	10517	5145.3328	4503.0768	5.41e+07	24.43692	1.47e+07	49	4019.682	959917.3	1396697	33_POLDIP2	1	1	1	2.6	1	1	6	.167894	-.1922314	.2143129	.3836748	.2927713	-.2516333	.0608042	1.043857	.0086437	.6314019	1.089662	1.043857	-.3246387	.167894	.0760316	-.1766846	.3509715													
InsH2Bfabp_CD15_09dpf_VAST02_plate02_POLDIP2_201125_E08	201125	2	ND641		insH2Bfabp	CD15	POLDIP2		1	0	0	2	1	9	1	1	2	11.341086	.510444	.52324853	.1361184	.4676496	1	20	118	160075	4447	4543	5959	2202	36	8.902e+08	2	2195027	90337	129	206	166	79	91	461249	6862	7645.0567	6322.2035	5.25e+07	326.8014	-3.37e+07	13	3846.621	896753.3	1184222	33_POLDIP2	1	1	3	8.316667	1	1	6	-.5954912	-.6649264	-.8308461	-.8264717	-.5774487	1.793784	-.167894	-.2533471	-.8665166	-1.562987	.1300186	-.4181163	-1.096804	-.3976217	-.4898466	-.286637	-.91583	-1.396375	-1.31953	-.9353781	-.3974212	-1.423913	-1.31953	-1.052254	-1.31953	-1.31953	-.2260813	-1.206455	-.3213206	-1.546635
InsH2Bfabp_CD15_09dpf_VAST02_plate01_POLDIP2_201125_D06	201125	1	ND561		insH2Bfabp	CD15	POLDIP2		1	0	0	2	1	9	.0453944	0	1	17.845287	.9187992	.58667259	.3743256	1.169124	1	38	38	463439	6621	5751	10939	3452	70	4.750e+09	1	4738521	162491	163	267	175	122	52	675402	3686	5420.4992	4691.4868	2.00e+07	72.01908	-2.43e+07	14	4346.777	1143443	1597868	33_POLDIP2	1	1	1	3.25	1	1	6	1.247754	1.013177	1.247754	.723273	.8095796	-.501678	1.12496	1.043857	.226658	.6314019	.5343441	1.510035	.3086658	-.979622	-1.247754	-1.211746	-.6087609	.8157657	.7601675	.3320687	.4873416	.2681058	-.1637617	-.1020724	.5337768	.4195739	1.165288	.5693691	.0509698	.3754618
