filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	syt7a_nwt	syt7b_nwt	syt7_nwt	syt7_dich	qRNA	protein	ldl	tc	gluc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SYT7_201008_H04	201008	2	NE181	insH2Bfabp	CD15	SYT7	1	0	0	2	1	9	.9412729	.7563012	.848787	1	3	11.736273	.5785032	.4083552	.4915365	1.169124	1	48	97															183	671528	13501	18138.029	15824.034	2.45e+08	391.6855	5.61e+07	0	3578.021	868610.6	1185956	17_SYT7	1	1	2	9.4	1	1	6	-1.738689	-.6511877	-.4966967	-.4547992	-.1976952	.3863356	-.142907	.2147888	-.1530252	.5518063	-.2393802	-.161599	.2372021	1.360692	1.318011	2.10592	1.310163													
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SYT7_201008_E05	201008	2	NE186	insH2Bfabp	CD15	SYT7	1	0	0	2	1	9	1	.9361361	.968068	1	3	6.6389501	.7826808	.3062664	.4915365	1.169124	1	4	102															55	321048	4281	14706.962	10664.016	6.30e+07	2820.594	-3.98e+07	0	3768.783	808018.5	1046574	17_SYT7	1	1	3	9.7	1	1	6	-.7222362	-1.416202	-1.469154	-1.659501	-1.659501	-.3062708	-1.187962	.7916386	-.1530252	-.0084684	-.2393802	-1.784612	-2.310991	-.7531015	-.7531015	-.1506121	-.9721299													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SYT7_201008_C03	201008	1	NE103	insH2Bfabp	CD15	SYT7	1	0	0	2	1	9	1	1	1	1	3	10.130225	.4083552	.5444736	1.1416332	.779416	1	19	19	190159	4134	4004	5205	2304	46	8.871e+08	2	3670206	103148	116	244	164	102	33	402842	3088	14974.922	14250.133	4.62e+07	-984.0214	-1.16e+08	0	3629.513	878793.9	1182397	17_SYT7	1	1	1	2.6	1	1	6	-1.366947	-.5179723	-.5612504	-.6056064	-.9926193	-1.154927	-.5048896	-.5361763	-.6325508	1.444321	2.122643	-.5916962	-1.454408	-1.258162	-1.133643	-.6308035	-2.694839	-.5807581	-1.098629	-1.442637	-1.182917	-1.182917	-.1656644	.7894919	.0329879	-.8510585	-.7164975	.1323128	-.1879993	-1.182917
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SYT7_201008_H02	201008	1	NE100	insH2Bfabp	CD15	SYT7	1	0	0	2	1	9	1	.9618155	.9809078	1	3	11.10074	.3062664	.2041776	.53910454	.7014744	1	16	16	211850	5167	7421	2544	895	41	5.352e+08	1	2899646	102369	137	199	143	115	33	675722	2560	8929.2137	9277.1526	2.29e+07	-1382.163	-5.68e+07	0	3669.961	854703.7	1209074	17_SYT7	1	1	1	2.333333	1	1	6	-1.089078	-.7971342	-.333435	-.5612504	-.4444512	.3062708	.0474919	-1.009103	-.7735631	-.6222404	.0677986	-.3544883	.255145	-1.258162	-1.277605	-1.310163	-1.398471	-.8510585	-.8510585	-.542144	2.221519	-1.756827	-2.01543	-2.01543	-.7598096	-.8830801	.2442754	-.9851276	-1.0215	-.4549811
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SYT7_201008_B04	201008	2	NE175	insH2Bfabp	CD15	SYT7	1	0	0	2	1	9	0	.0151269	.0075634	0	1	12.036115	.8167104	.340296	.58667259	1.6367736	1	42	91	247716	3932	4237	4687	1356	63	1.161e+09	1	3802193	149015	118	268	220	112	87	640832	6768	9899.341	8113.8648	6.70e+07	909.0521	6734565	0				17_SYT7	1	1	2	9.008333	1	1	6								.9538965	.4935534	.1444627	.5321897	-.0508319	-.0435316	.095886	.0435316	-.0618224	.3891258	.5677931	-.6202583	-1.580314	-.9500138	-.6202583	-.5168467	-.9851276	.1656644	.1656644	-.6069868	.6202583	1.301807	-.5938214
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SYT7_201008_D02	201008	2	NE161	insH2Bfabp	CD15	SYT7	1	0	0	2	1	9	.8180717	.9354755	.8767736	1	3	11.736273	.5444736	.2382072	.63424064	1.2470656	1	28	77	258572	4879	4866	6085	2317	53	1.402e+09	2	3575845	155158	128	213	170	134	85	704582	7380	7893.122	6905.058	5.83e+07	275.6147	1.81e+07	49	3997.088	1080279	1275633	17_SYT7	1	1	2	7.766667	1	1	6	.0842775	1.023715	-.028063	.539485	.274654	-2.079254	.2789242	.076809	-.0677986	-.4276322	.7735631	-.161599	.3462343	.0261137	.2015382	-.2955083	.6968199	-.0991079	-.491876	-.7894919	-.2104284	-.3476938	.4428217	.8994349	-.1212301	.2784047	-.2329639	-.6744897	-.0109942	.63364
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SYT7_201008_B05	201008	2	NE183	insH2Bfabp	CD15	SYT7	1	0	0	2	1	9	1	.9373602	.9686801	1	3	5.9393176	.4764144	.2041776	.60252861	.7014744	1	1	99															105	430605	8096	10921.085	9982.1533	8.84e+07	-190.9257	-2981236	0	3710.655	833080.8	1110754	17_SYT7	1	1	3	9.516666	1	1	6	-.8231059	-1.055832	-.9926193	-1.196906	-.8631415	-.7164975	-1.518899	-.223522	-.7735631	-.6222404	.6533766	-1.874869	-1.239183	.3554904	.4022501	.3139999	.0264816													
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SYT7_201008_G01	201008	2	NE156	insH2Bfabp	CD15	SYT7	1	0	0	2	1	9	1	1	1	1	3	14.934593	.7826808	.3743256	.3964004	1.4808904	1	23	72	581800	7095	5765	6512	2035	82	3.742e+09	1	6998616	230678	157	263	225	145	82	639898	6471	12585.246	11445.118	8.14e+07	-188.1814	-3.43e+07	0	4076.854	1168191	1421191	17_SYT7	1	1	2	7.416667	1	1	6	.4547992	1.589532	.8767968	.2168077	1.469154	.094374	-1.268707	.7916386	.2920214	.3186394	-.8808881	.6119958	-.0609627	-.0696849	.0261137	.2406077	-.6968199	1.543098	1.756827	.9500138	.5677931	1.870579	.6471361	.3476938	1.580314	1.580314	.8510585	.4795057	1.474486	1.182917
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SYT7_201008_G06	201008	2	NE196	insH2Bfabp	CD15	SYT7	1	0	0	2	1	9	.6186389	.7783011	.69847	1	3	7.7383727	.510444	.1361184	.36468837	2.0264816	1	14	112	266919	5234	4839	9573	3416	51	2.500e+09	1	2914458	108829	131	219	141	109	55	465438	4612	8616.2782	7942.594	3.97e+07	-179.5071	-1.77e+07	15	3840.09	851952.2	1160042	17_SYT7	1	1	3	10.46667	1	1	6	-.4341506	-.8496452	-.7467344	-1.589532	-1.055832	-.3863356	-.8942052	-.085363	1.027779	-1.056937	-1.236652	-1.312981	-.9536166	-.7531015	-.6420614	-.7660241	-.2771172	-.3128614	-.4186956	-.491876	-.2329639	.7598096	2.620817	2.620817	-.7307821	-.7307821	-.0880656	-.491876	-1.139761	-.7164975
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SYT7_201008_F03	201008	1	NE106	insH2Bfabp	CD15	SYT7	1	0	0	2	1	9	1	1	1	1	3	7.7480531	.2722368	.1361184	.38054438	.7014744	1	22	22	359033	5791	4431	8643	2609	62	2.957e+09	1	3376475	139633	136	210	152	135	200	514176	14266	17120.035	15311.817	2.44e+08	-44.61028	6.40e+07	0	3913.122	923280.9	1188184	17_SYT7	1	1	1	2.766667	1	1	6	-.2359998	-.2941324	-.4547992	.7467344	1.659501	.0565706	-.0855575	-1.214676	-.7735631	-1.056937	-1.027779	-1.255053	-.7531015	1.624981	1.454408	1.966025	1.398471	.4795057	.4672083	-.0109942	-.6471361	1.098629	2.01543	1.327902	-.3711493	-.0329879	.2104284	-.7745655	-.6069868	.7023576
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SYT7_201008_E06	201008	2	NE194	insH2Bfabp	CD15	SYT7	1	0	0	2	1	9	0	.0168145	.0084073	0	1	9.2375853	.510444	.1020888	.58667259	.9352992	1	12	110	272678	5681	4799	5361	1820	48	1.456e+09	2	3705288	134576	108	268	191	132	201	528182	15643	14081.773	12066.744	2.20e+08	602.3956	9.41e+07	1	3877.969	894121.4	1185149	17_SYT7	1	1	3	10.35	1	1	6	-.2941324	-.4341506	-.5179723	-1.15946	-.9624554	-.3260839	-.0474919	-.085363	-.4462656	-1.468782	.5321897	-.8440372	-.6420614	1.693934	1.772034	1.687281	1.856514	-.491876	-.324428	-.077034	-.3013365	-.2784047	-.0549976	-.0109942	.0549976	-.1879993	-1.059277	.6202583	.5677931	.5043221
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SYT7_201008_C09	201008	1	NE145	insH2Bfabp	CD15	SYT7	1	0	0	2	1	9	.8816164	.9692222	.9254193	1	3	8.9832535	.5444736	.170148	.68180869	.7014744	1	12	61	180127	5458	4903	5260	1757	33	8.947e+08	1	1923164	79011	107	167	158	88	135	595841	10730	14885.684	13179.857	1.60e+08	142.2001	1.50e+07	24	3938.28	920215.4	1243587	17_SYT7	1	1	2	6.2	1	1	6	-.1596785	-.333435	-.1786546	-.539485	-.8631415	-.6452009	.0094949	.076809	-.7735631	-.8320063	.9451259	-.918976	-.2372021	.7764218	.9001216	1.092422	.6308035	-1.276569	-1.276569	-.2556183	-.1656644	-1.139761	-.0991079	-.2556183	-1.442637	-1.507905	-1.161069	-1.756827	-.3829533	-1.619856
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SYT7_201008_G07	201008	1	NE136	insH2Bfabp	CD15	SYT7	1	0	0	2	1	9	1	1	1	1	3	14.718113	.6465624	.4423848	.44396845	1.8705984	1	3	52	485969	8099	6328	6782	2031	60	3.412e+09	1	5072898	179775	129	258	186	168	118	655190	10288	17166.921	14584.129	1.77e+08	828.6748	8525137	0				17_SYT7	1	1	2	5.455555	1	1	6								.3844023	.9319713	.7621911	-.6119958	.5031414	.095886	.5894558	.8490862	1.310163	.4275015	.2898515	1.059277	1.870579	.9160339	1.662107	.7598096	.3013365	.7598096	.7894919	-.1656644	.3829533	.4067242	2.620817
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SYT7_201008_A04	201008	1	NE109	insH2Bfabp	CD15	SYT7	1	0	0	2	1	9	1	1	1	1	3	10.571368	.3062664	.4764144	.38054438	1.0132408	1	25	25	158642	4407	3590	3563	1391	36	5.138e+08	2	3176926	94564	110	411	134	88	84	437186	6249	12784.231	12599.632	7.99e+07	-1300.32	-5.51e+07	4	3955.359	926421.2	1228066	17_SYT7	1	1	1	3.15	1	1	6	-.0467825	-.2359998	-.2552792	-.3933922	.4756435	-1.051056	.7604767	-1.009103	-.3275615	.999469	-1.027779	-.4745116	-1.202508	-.017408	-.0435316	.2044163	-1.231035	-1.059277	-1.507905	-1.182917	-1.580314	-1.870579	-1.442637	-.9500138	-.5677931	-1.0215	-.9500138	2.620817	-1.474486	-1.619856
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SYT7_201008_D01	201008	2	NE153	insH2Bfabp	CD15	SYT7	1	0	0	2	1	9	0	.0185269	.0092635	0	1	14.534803	.85074	.4423848	.55496056	1.4029488	1	20	69	322317	5284	5070	5238	1777	61	1.662e+09	1	3792414	133503	159	221	162	132	62	705222	5153	12781.044	11472.908	6.59e+07	-23.9433	-5.04e+07	24	4113.455	1010386	1364233	17_SYT7	1	1	2	7.233333	1	1	6	.5612504	.4341506	.539485	.8231059	.1030662	-.0754589	.2007308	1.098219	.1701847	.7621911	.2393802	.4462656	.3647771	-.5485223	-.5384336	-.0972407	-1.158944	.3948109	.077034	-.4672083	-.0329879	-.0109942	-.1212301	-.1434119	.1434119	-.2104284	.9328892	-.4549811	-.2556183	.5043221
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SYT7_201008_B06	201008	2	NE191	insH2Bfabp	CD15	SYT7	1	0	0	2	1	9	.0423159	.0250348	.0336754	0	1	11.736273	.5444736	.2382072	.34883235	.7014744	1	9	107	268056	5703	5197	7414	2968	47	1.827e+09	1	3466086	135957	118	234	195	108	92	532806	7412	11636.609	10117.668	8.63e+07	370.7	-7406089	0	4024.779	919841.6	1209299	17_SYT7	1	1	3	10.13333	1	1	6	.2359998	-.3532773	-.3137231	-.5179723	-.4444512	-1.231743	-1.312374	.076809	-.7735631	-.4276322	-1.420695	-.161599	-.5998427	.1661288	.2372021	.2771172	-.1327815	-.529453	-.3948109	-.0329879	.0329879	.1879993	1.182917	1.870579	-.2556183	-.1212301	-.6069868	-.1101623	.6744897	-.7894919
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SYT7_201008_G02	201008	2	NE164	insH2Bfabp	CD15	SYT7	1	0	0	2	1	9	1	1	1	1	3	10.037165	.510444	.2722368	.3012643	.9352992	1	31	80	67740	3565	3739	4752	1938	19	2.984e+08	1	972151	43319	67	222	113	66	112	462858	10042	9652.9955	8590.6331	9.69e+07	121.2645	2.87e+07	0	4032.578	924522.1	1198951	17_SYT7	1	1	2	7.933333	1	1	6	.274654	-.274654	-.3933922	2.082318	.2359998	-.2865772	-.1813911	-.085363	-.4462656	-.2306747	-1.874869	-.6429288	-1.00999	.4307273	.8001721	.4862914	.9169766	-2.221519	-2.620817	-2.221519	-1.442637	-2.620817	-.491876	.1879993	-2.221519	-2.221519	-2.620817	-.4067242	-2.221519	-2.620817
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SYT7_201008_A06	201008	1	NE124	insH2Bfabp	CD15	SYT7	1	0	0	2	1	9	1	1	1	1	3	14.453427	.510444	.4764144	.50739251	1.4029488	1	40	40	252692	4142	4206	3169	1118	61	8.283e+08	1	4385879	153421	128	235	173	155	74	692592	6111	15477.521	12542.155	9.46e+07	1458.243	-3.95e+07	31	4113.63	1022453	1426784	17_SYT7	1	2	1	4.383333	2	1	6	.583285	.5612504	.9046108	-.1407598	.4341506	.1323128	.8942052	-.085363	.1701847	.999469	-.1273686	.4276322	.3094957	-.3003779	-.1133889	.4665176	-.9441942	.3948109	-.5677931	-1.382994	-.9851276	-1.327902	-1.756827	-1.442637	.4672083	.2556183	-.2329639	-.077034	.0660118	1.756827
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SYT7_201008_C06	201008	2	NE192	insH2Bfabp	CD15	SYT7	1	0	0	2	1	9	.8741454	.9652498	.9196976	1	3	14.334908	.6465624	.1361184	.52324853	.8573576	1	10	108	366977	7808	6380	5161	1761	47	1.898e+09	1	3538959	147093	121	263	157	125	147	650652	9934	13509.667	12416.142	1.34e+08	-366.5039	2245395	29	4028.934	988762.8	1296060	17_SYT7	1	2	3	10.2	2	1	6	.2552792	.1976952	.0467825	.1030662	.2168077	.1704431	1.079639	.3844023	-.5518063	-1.056937	-.0423544	.3907988	.0609627	.9814135	.7531015	.8142654	.2044163	-.529453	.542144	1.442637	.9500138	.2784047	-.1879993	-.2329639	-.1879993	.0991079	-.4672083	.4795057	-.4428217	.0219897
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SYT7_201008_B01	201008	2	NE151	insH2Bfabp	CD15	SYT7	1	0	0	2	1	9	0	0	0	0	1	15.334383	.0340296	.3743256	.58667259	1.4808904	1	18	67	343153	6239	4568	4611	1687	55	1.556e+09	1	4263980	171890	125	253	223	138	256	784624	18850	11827.161	11177.256	2.23e+08	-642.0695	1.12e+08	18	4172.93	1037392	1405206	17_SYT7	1	2	2	7.083333	2	1	6	.8496452	.6744897	.7222362	.6511877	.8231059	1.655889	.2987229	-1.980752	.2920214	.3186394	.5321897	.7176502	.8243825	2.310991	1.971987	1.765589	1.966025	.0329879	.3013365	.3476938	-.542144	-.1656644	-.5938214	-.3476938	.3711493	.7023576	-.3593968	.2556183	1.382994	.8198867
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SYT7_201008_F04	201008	2	NE179	insH2Bfabp	CD15	SYT7	1	0	0	2	1	9	1	.7649707	.8824854	1	3	16.433806	.8167104	.4423848	.85622486	1.558832	1	46	95															82	788778	6240	14212.322	13195.781	8.87e+07	-549.2455	-5.63e+07	0	4230.535	1113431	1477043	17_SYT7	1	2	2	9.266666	2	1	6	1.236109	1.277311	1.15946	1.469154	.9331427	-.2281252	.7106959	.9538965	.3454851	.7621911	1.397837	.9719386	.8490862	-.0696849	-.0609627	.3325995	-1.352998													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SYT7_201008_H01	201008	1	NE092	insH2Bfabp	CD15	SYT7	1	0	0	2	1	9	1	.8832535	.9416267	1	3	17.717885	.4423848	.5785032	.45982446	1.7926568	1	8	8															102	832484	7984	16778.101	14784.28	1.34e+08	212.5527	-3.75e+07	12	4283.232	1079367	1486314	17_SYT7	1	2	1	1.533333	2	1	6	1.366947	.9926193	1.320803	1.320803	.7222362	.7164975	.3588638	-.3570045	.8200946	1.606755	-.4840105	1.255053	.9265376	.3278097	.3462343	.7899149	-.8644806													
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SYT7_201008_F06	201008	2	NE195	insH2Bfabp	CD15	SYT7	1	0	0	2	1	9	0	0	0	0	1	15.334383	.7146216	.4083552	.38054438	1.6367736	1	13	111															81	643884	6153	14043.217	12160.019	8.64e+07	457.9119	-4.13e+07	5	4190.786	1056802	1411083	17_SYT7	1	2	3	10.4	2	1	6	.9926193	.7971342	.7971342	.333435	.0467825	-.9574387	-.6626172	.5860779	.4935534	.5518063	-1.027779	.7176502	-.0087037	-.1221531	-.0784124	.2955083	-1.030411													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SYT7_201008_D06	201008	1	NE127	insH2Bfabp	CD15	SYT7	1	0	0	2	1	9	1	.8808524	.9404262	1	3	13.747598	.6465624	.2041776	.3964004	1.4029488	1	43	43	321503	4946	5050	4060	1351	65	1.294e+09	1	5152514	157415	174	297	157	140	82	647264	7208	15470.344	13138.074	1.12e+08	774.3108	-3.25e+07	0	4228.979	1017474	1406911	17_SYT7	1	2	1	4.616667	2	1	6	1.196906	.539485	.7467344	.1786546	.1407598	-.0565706		.3844023	.1701847	-.6222404	-.8808881	.2743915	.0087037	-.0696849	.1485047	.5882894	-.6744897	.6607511	.0329879	-.6471361	-.1212301	-.4672083	-.9851276	-1.0215	.7894919	.3476938	1.580314	1.276569	-.4428217	.8994349
