filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	adra2a_nwt	adra2a_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ADRA2A_201015_G08	201015	1	NG614	insH2Bfabp	CD15	ADRA2A	1	0	0	2	1	9	0	0	1	18.274687	1.1570064	.96721698	.4423848	2.4941312	1	4	53	601578	6915	5859	15925	4792	87	9.613e+09	1	6872388	264052	150	298	203	152	82	1202086	6864	13050.462	10475	8.96e+07	1175.951	1.90e+07	151	4081.307	1055157	1448123	19_ADRA2A	1	1	2	7.066667	1	1	4	.2039612	.6198546	.6508373	.6744897	.2559625	-.8530763	.8894945	.9921981	1.112193	1.735972	1.178664	1.106481	1.846533	.1046335	.1749599	-.0354786	.260611	1.665843	1.5674	.339753	.3116334	1.783727	.6089566	.3116334	1.5674	1.933363	.8920979	.9325278	.9121265	1.665843
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ADRA2A_201015_A08	201015	1	NG610	insH2Bfabp	CD15	ADRA2A	1	0	0	2	1	9	0	0	1	13.757494	.8167104	.72937674	.3743256	1.6367736	1	49	49	462624	7009	4980	17654	5798	66	7.837e+09	1	5027174	180105	128	276	188	136	122	1339908	8524	6357.124	5952.464	5.42e+07	-911.8736	4.11e+07	0	3872.626	919886.5	1290916	19_ADRA2A	1	1	1	6.766667	1	1	4	-.416878	-.3353332	-.2039612	-.7401917	.5595922	-1.5674	-.3086658	-.0114985	.1500389	1.484733	-.5970729	-.1749599	2.60233	.5620615	.418029	-.5055002	.6238741	.9121265	.8920979	.425856	-.5152434	1.275513	.8153122	.7786766	.8153122	.9745425	.0533578	.5152434	.4552406	.9962083
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ADRA2A_201015_C08	201015	1	NG612	insH2Bfabp	CD15	ADRA2A	1	0	0	2	1	9	1	1	3	15.048121	.7486512	.84036885	.3062664	1.6367736	1	2	51	222127	4829	4386	11792	3871	46	2.737e+09	2	2901242	110474	133	224	133	115	142	1149920	10015	13019.842	9840.1479	1.30e+08	1791.831	6.79e+07	265	4031.596	1026924	1412937	19_ADRA2A	1	1	2	6.883333	1	1	4	.0253222	.3353332	.3086658	.2191533	-.3894143	2.145475	.3487557	-.1733385	.1500389	.652992	.185023	.1749599	1.353406	.7492547	.7188681	.3248653	.8382877	-.5000764	-1.11242	-1.482159	-1.11242	-1.163366	-.5152434	-.5152434	-.7430576	-.8153122	.1742078	-.5614833	-1.245996	-.3539128
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ADRA2A_201015_D04	201015	1	NG586	insH2Bfabp	CD15	ADRA2A	1	0	0	2	1	9	1	1	3	7.1968093	.3062664	.68180869	.3062664	.4676496	1	25	25	252653	6828	5660	14578	4930	37	3.762e+09	1	3142045	117849	113	304	158	99	106	469880	8582	12416.922	10639.902	1.07e+08	374.4841	3.39e+07	0	3464.928	723560.5	1023859	19_ADRA2A	1	1	1	3.916667	1	1	4	-1.593219	-1.955661	-1.593219	-1.503722	-1.807354	-1.406504	-.7817808	-1.640422	-1.070479	.652992	-1.030549	-1.413845	-1.196551	.3186394	.4434955	.1543186	.4609147	-1.018352	-.7430576	.2837581	.0934678	-.3681439	.2286397	.425856	-.4850236	-.7083573	-.6913244	1.064209	-.5929846	-1.087999
InsH2Bfabp_CD15_09dpf_VAST02_plate02_ADRA2A_201015_C03	201015	2	NG630	insH2Bfabp	CD15	ADRA2A	1	0	0	2	1	9	0	0	1	11.727455	.5785032	.65009666	.2382072	.9352992	1	20	69	257177	4946	4594	13576	5183	52	3.561e+09	1	3415925	120074	148	206	179	112	145	402228	11366	27611.374	26419.559	3.14e+08	-500.2391	4.06e+07	8	3625.956	828878.8	1103816	19_ADRA2A	1	1	2	8.416667	1	1	4	-1.144237	-1.008673	-.9674216	.0383762	-1.194396	1.338139	-2.572352	-.5698088	-.4903967	-.0114985	-1.520281	-.4692529	-1.553221	.7803495	.8449332	1.343082	.5679139	-.0533578	-.7083573	-1.338139	-.9325278	-.5459412	-.0133335	.5152434	-.3116334	-.6089566	.7083573	-1.087999	.1742078	-.5771623
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ADRA2A_201015_C07	201015	1	NG604	insH2Bfabp	CD15	ADRA2A	1	0	0	2	1	9	1	1	3	16.01609	.9187992	.96721698	.1020888	.1558832	1	43	43															12	1173154	752	7694.4588	8315.8297	5786233	-1981.266	-3.73e+07	94	4224.075	1024487	1437715	19_ADRA2A	1	1	1	6.183333	1	1	4	.714776	.3086658	.5894558	.2454314	.2822162		.3086658	.3398826	-2.20402	-1.276341	1.178664	.4692529	1.635941	-1.635941	-1.681877	-1.838167	-.4094043													
InsH2Bfabp_CD15_09dpf_VAST02_plate02_ADRA2A_201015_C01	201015	2	NG633	insH2Bfabp	CD15	ADRA2A	1	0	0	2	1	9	0	0	1	19.00065	1.2250656	.6976647	.2722368	1.94854	1	23	72	428011	6203	4326	15625	5161	69	6.582e+09	1	4233777	140862	161	209	161	147	130	673203	10581	26568.491	22486.033	2.81e+08	2462.575	5.79e+07	2	4182.11	1036899	1467099	19_ADRA2A	1	1	2	8.666667	1	1	4	.5894558	.416878	.7478586	.3524647	-.2298841	-.1742078	.2559625	1.178664	.4903967	.2795582	-.8514932	1.297543	-.2461637	.6599916	.7803495	1.185426	.8054488	1.11242	.6744897	-.2013492	-1.275513	.7083573	.5459412	.4850236	.2286397	-.0667151	1.406504	-.8920979	-.47008	1.482159
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ADRA2A_201015_F05	201015	1	NG594	insH2Bfabp	CD15	ADRA2A	1	0	0	2	1	9	0	0	1	18.489791	.2722368	.6976647	.1361184	.4676496	1	33	33	537115	9104	8129	14689	4365	59	7.676e+09	1	4400138	184594	152	251	172	124	4	757657	288	17010.903	14070.174	4899140	1475.256	-1.11e+08	0	4251.59	1047396	1409034	19_ADRA2A	1	1	1	4.433333	1	1	4	.852495	.5302197	.2822162	.4637077	.5012977	.3116334	.3894143	-1.79037	-1.070479	-.9735597	-.8514932	1.196551	.3431555	-1.992682	-1.846533	-1.984772	-1.24006	.339753	1.406504	1.406504	1.665843	1.163366	.3116334	-.0133335	.339753	1.018352	1.041007	.0133335	-.1068681	.1606864
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ADRA2A_201015_E01	201015	1	NG565	insH2Bfabp	CD15	ADRA2A	1	0	0	2	1	9	.0647721	0	1	17.844478	.9868584	1.1733452	.3062664	1.94854	1	4	4	343691	5634	5118	14653	4536	61	4.865e+09	1	4166614	149183	146	279	153	124	58	912188	3938	16410.733	15204.215	6.46e+07	-279.762	-6.60e+07	38	4279.51	1095950	1483832	19_ADRA2A	1	1	1	2.116667	1	1	4	1.051717	1.051717	.8894945	1.045226	1.508944	-1.217526	1.807354	.5034059	.4903967	.652992	2.20402	.8957798	.9490551	-.4434955	-.5485223	-.3498982	-.7117243	.5459412	-.1471942	-.7430576	-.3116334	.2286397	.2699041	.1337288	.2013492	.2013492	.6250856	.5771623	-.7607465	.1606864
InsH2Bfabp_CD15_09dpf_VAST02_plate02_ADRA2A_201015_E01	201015	2	NG623	insH2Bfabp	CD15	ADRA2A	1	0	0	2	1	9	.8225167	1	3	17.710245	.85074	.72937674	.2382072	1.169124	1	13	62	250179	3524	3016	7423	3130	71	1.857e+09	1	6249484	162130	180	271	182	145	196	577166	14783	23160.164	21704.491	3.42e+08	-149.8722	1.29e+08	14	3724.517	872124.6	1227796	19_ADRA2A	1	1	2	7.95	1	1	4	-.7817808	-.6824579	-.5012977	-.2191533	-.7478586	-.3968347	-.152506	.0805752	-.2676213	-.0114985	-.5970729	.8449332	-.5757047	1.245459	1.297543	1.470193	1.292276	1.163366	-.8153122	-1.933363	-2.145475	-1.482159	-1.783727	-1.018352	1.338139	.425856	1.933363	.325661	.325661	1.406504
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ADRA2A_201015_D05	201015	1	NG593	insH2Bfabp	CD15	ADRA2A	1	0	0	2	1	9	0	0	1	14.725464	1.1229768	.72937674	.3062664	1.6367736	1	32	32	365501	5802	5438	12758	4171	63	4.578e+09	1	4512668	165417	128	242	196	128	123	700854	9544	14805.083	12319.71	1.41e+08	1052.016	4.73e+07	15	4129.703	1018491	1438687	19_ADRA2A	1	1	1	4.366667	1	1	4	.3086658	.2559625	.6198546	.1670294	.416878	-.1471942	.0760316	.9372619	.1500389	.652992	-.5970729	.0580564	-.011605	.6033193	.6033193	.452452	.652593	.6744897	.1471942	-.4552406	-.0133335	-.0133335	-.2561017	-.1471942	.5152434	.5459412	.0533578	-.1742078	.7430576	.4113021
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ADRA2A_201015_D06	201015	1	NG599	insH2Bfabp	CD15	ADRA2A	1	0	0	2	1	9	1	1	3	17.414269	1.0549176	.85622486	.1020888	2.1823648	1	38	38	246296	5473	4357	11873	4074	45	2.933e+09	1	3601650	121656	150	307	128	108	80	695048	6296	13262.499	11532.153	8.35e+07	311.4389	-472834	0	4269.846	1151189	1459278	19_ADRA2A	1	1	1	4.75	1	1	4	1.008673	1.4342	.714776	2.568836	1.955661	-1.275513	-.3353332	.7715737	.75618	-1.276341	.3156165	.7188681	-.1046335	.0696849	.0348213	-.1066151	0	-.5771623	-.8530763	-.9745425	-1.217526	-1.064209	-.4552406	-.3116334	-.1742078	-.5152434	.8920979	1.163366	-1.482159	-.6913244
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ADRA2A_201015_H06	201015	1	NG603	insH2Bfabp	CD15	ADRA2A	1	0	0	2	1	9	.0363907	0	1	14.402807	.5785032	.95136096	.1020888	.7014744	1	42	42															90	740164	6816	14039.292	12969.693	9.57e+07	-375.6842	-6557071	14	4204.005	996837.8	1388219	19_ADRA2A	1	1	1	5.05	1	1	4	.6508373	.152506	.1781746	.8452716	.2039612	.0934678	1.366707	-.5698088	-.7409635	-1.276341	1.030549	-.0580564	.2943133	.1985783	.1046335	.0354786	-.1410246													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ADRA2A_201015_E02	201015	1	NG572	insH2Bfabp	CD15	ADRA2A	1	0	0	2	1	9	.9958277	1	3	10.853584	.8847696	.90379291	.2041776	1.0911824	1	11	11	377441	6188	5661	13842	4765	61	5.190e+09	1	4154111	170248	140	221	193	142	213	546348	16359	15270.535	13512.461	2.50e+08	302.8331	1.41e+08	7	3721.272	910435.8	1183414	19_ADRA2A	1	1	1	2.666667	1	1	4	-.8166274	-.3894143	-.6198546	-.6744897	1.096804	-.5152434	-.8166274	.2084695	-.3766657	-.3520902	.652992	-.6891311	-.6599916	1.479941	1.553221	1.012455	1.348275	.5459412	.1742078	-.2286397	.1202876	.2837581	.0667151	.2837581	.1742078	.7083573	.4405008	-.6089566	.5929846	1.275513
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ADRA2A_201015_G09	201015	1	NG620	insH2Bfabp	CD15	ADRA2A	1	0	0	2	1	9	1	1	3	16.231195	.85074	.72937674	.3062664	1.8705984	1	10	59	625433	6515	5745	12893	4092	96	7.718e+09	1	7145815	264578	158	272	219	171	135	1169215	9456	14287.231	11573.763	1.35e+08	1293.797	5.06e+07	277	4009.521	1044196	1434485	19_ADRA2A	1	1	2	7.483333	1	1	4	-.0253222	.5012977	.5302197	.809257	-.0253222	-.8920979	.3487557	.0805752	.3766657	.652992	-.5970729	.5485223	1.553221	.6891311	.5757047	.3751523	.7117243	2.145475	1.783727	.0133335	.2013492	1.217526	-.2286397	-.2837581	1.783727	2.145475	1.306186	.3824499	1.338139	2.554361
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ADRA2A_201015_G02	201015	1	NG574	insH2Bfabp	CD15	ADRA2A	1	0	0	2	1	9	1	1	3	8.8100924	.5785032	.85622486	.2041776	.779416	1	13	13	135057	5402	5380	10233	3959	25	1.377e+09	1	1685258	69359	99	160	142	89	0	430090	0		10741.721				13	3265.676	749848.9	948358.1	19_ADRA2A	1	1	1	2.783333	1	1	4	-2.572352	-1.807354	-2.166107	-.7069592	-2.572352	-.3681439	-1.144237	-.5698088	-.681725	-.3520902	.3156165	-1.024592	-1.353406	-2.60233	-2.60233			-1.665843	-1.665843	-1.064209	-.1202876	-1.933363	-1.064209	-.425856	-1.5674	-1.5674	-1.482159	-1.933363	-1.064209	-1.338139
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ADRA2A_201015_H04	201015	1	NG590	insH2Bfabp	CD15	ADRA2A	1	0	0	2	1	9	1	1	3	12.789524	.5785032	.74523275	.2382072	1.3250072	1	29	29	302402	6434	5825	13980	6147	47	4.319e+09	1	3498462	119373	113	220	194	114	118	583190	9596	13241.583	11856.04	1.27e+08	-39.30634	3.90e+07	0	3840.189	899758.9	1276949	19_ADRA2A	1	1	1	4.183333	1	1	4	-.5302197	-.5302197	-.2822162	-.809257	-.5894558	-.6744897	1.593219	-.5698088	-.1152375	-.0114985	-.4518512	-.3928308	-.5485223	.4692529	.6314019	.2753871	.5405975	-.3824499	-.3681439	-.0400101	.2837581	-.2013492	.0934678	.9325278	-.2837581	-.6744897	-.6913244	-.6413788	.6744897	-.4552406
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ADRA2A_201015_F06	201015	1	NG601	insH2Bfabp	CD15	ADRA2A	1	0	0	2	1	9	.9725041	1	3	8.2723314	.2382072	.80865682	.2041776	1.0911824	1	40	40	346559	5501	4734	9326	3541	63	3.317e+09	1	5707363	168745	123	430	182	112	121	703657	9072	14289.185	12546.833	1.30e+08	304.8282	3.28e+07	0	3922.514	959050	1388024	19_ADRA2A	1	1	1	4.916667	1	1	4	-.3353332	-.1014517	.152506	-.0896424	-.0760316	-.0133335	.7478586	-1.996573	-.3766657	-.3520902	-.0690446	-1.064644	.0348213	.5217393	.5217393	.3000344	.4350152	.6744897	-.0667151	-.9325278	-.7083573	-.6744897	-1.275513	-.7430576	1.163366	.6744897	-.3824499	2.554361	.325661	-.5771623
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ADRA2A_201015_A09	201015	1	NG616	insH2Bfabp	CD15	ADRA2A	1	0	0	2	1	9	1	1	3	15.478329	.6125328	1.0623531	.170148	1.169124	1	6	55	289398	9044	6334	20163	6947	32	5.987e+09	1	2535054	94955	107	212	143	120	67	1048200	4711	8337.9034	6664.7411	3.93e+07	343.5601	1.72e+07	97	4077.153	934047.6	1246937	19_ADRA2A	1	1	2	7.183333	1	1	4	.1781746	-.2298841	-.3086658	-.27188	-.1653267	-.2013492	0	-.47747	-.2676213	-.6963039	1.79037	.2943133	1.106481	-.1397103	-.2943133	-.7351237	.2364492	-1.338139	-.4552406	1.338139	.7430576	.5459412	1.338139	1.406504	-1.018352	-1.217526	-1.087999	-.8340455	-1.018352	-.0400101
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ADRA2A_201015_G01	201015	1	NG567	insH2Bfabp	CD15	ADRA2A	1	0	0	2	1	9	.8973727	1	3	13.112181	.8847696	.57081658	.170148	.3117664	1	6	6	215400	5254	3950	16880	5829	41	3.362e+09	1	2868108	106633	110	216	166	122	16	497781	1904	11083.261	10756.128	2.11e+07	-1077.536	-5.30e+07	1	3979.933	967588.5	1339934	19_ADRA2A	1	1	1	2.283333	1	1	4	-.0760316	-.0253222	-.0760316	1.36114	.852495	.4552406	1.144237	.2084695	-1.358478	-.6963039	-1.850648	-.3186394	-.9861203	-1.479941	-1.150349	-1.286946	-.5405975	-.6913244	-1.217526	-1.11242	-1.5674	-.6089566	.7430576	.8153122	-.8153122	-1.018352	-.9533248	-.7430576	-.325661	.0667151
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ADRA2A_201015_E06	201015	1	NG600	insH2Bfabp	CD15	ADRA2A	1	0	0	2	1	9	.8560711	1	3	11.498898	1.020888	.8879369	.2722368	1.0132408	1	39	39															116	662442	9042	11173.754	10202.287	1.01e+08	-423.0398	3.40e+07	0	4068.551	982108.4	1372054	19_ADRA2A	1	2	1	4.8	2	1	4	.1014517	.0506606	.1269375	-.611579	-.5012977	.5152434	.5595922	.6388265	-.4518512	.2795582	.5698088	-.5485223	-.2943133	.4307273	.4953255	.0828608	.4871272													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ADRA2A_201015_F08	201015	1	NG613	insH2Bfabp	CD15	ADRA2A	1	0	0	2	1	9	1	1	3	15.693434	.7826808	.8879369	.2722368	.2338248	1	3	52	355745	7260	6415	6709	2296	49	2.475e+09	1	4404186	164940	136	219	176	138	149	1314716	10304	8184.5971	7202.5173	8.43e+07	-357.3891	5.54e+07	505	4310.851	1068705	1483099	19_ADRA2A	1	2	2	6.983333	2	1	4	1.144237	.714776	.852495	.4074555	.9878373	-.2561017	.7817808	-.0921165	-1.686274	.2795582	.5698088	.3678797	2.200411	.8785789	.7492547	-.0828608	.7734564	-.2423479	.0400101	.5459412	.7786766	-1.217526	-1.933363	-1.783727	.3681439	.4850236	.325661	-.6744897	.0667151	1.163366
InsH2Bfabp_CD15_09dpf_VAST02_plate01_ADRA2A_201015_D07	201015	1	NG605	insH2Bfabp	CD15	ADRA2A	1	0	0	2	1	9	.7847775	1	3	14.510359	.7826808	.82451283	.1020888	.3117664	1	44	44	406056	6445	5579	10957	3098	63	4.491e+09	1	4604949	167739	150	352	145	116									448	3940.421	974736.3	1392675	19_ADRA2A	1	2	1	6.35	2	1	4	-.2559625	0	.2039612	-.2454314	.6508373	.0667151	-.2298841	-.0921165	-1.358478	-1.276341	.0575232	0						.6744897	.425856	-.0133335	.0400101	-.0667151	-.7430576	-1.11242	.5771623	.6413788	.8920979	1.665843	-.9325278	-.2423479
