filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	N96_nwt	N97_nwt	pnpla3_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PNPLA3_210129_E04	210129	1	NK229	insH2Bfabp	CD15	PNPLA3	1	0	0	2	1	10	0	0	0	1	12.627969	.6125328	.14270414	.2041776	1.94854	1	25	25	432458	8008	5567	12646	5235	54	5.150e+09	1	3747986	168399	130	273	156	121	92	810020	7499	4967.3978	4748.1811	3.73e+07	-397.7098	9375251	5	4178.851	987252.5	1352614	53_PNPLA3	1	1	1	3.583333	1	1	2	-.3054808	-.9153651	-.7721932	-.9153651	-1.080319		.7091025	-.0965586	.0482231	-.1940281	-.9420758	-.5578848	.5578848	1.303783	1.303783	1.554774	.9153651	-.1573107	.3740954	1.534121	.4887764	.8871465	1.534121	2.036834	-.6102946	.264147	-.3740954	-.1046335	-.741594	-.1573107
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PNPLA3_210129_G03	210129	1	NK223	insH2Bfabp	CD15	PNPLA3	1	0	0	2	1	10	0	0	0	1	6.8563317	.4083552	.0951361	.2722368	.6235328	1	19	19	254208	5188	6701	12113	4591	49	2.858e+09	1	4024016	111268	142	290	123	111	9	575298	592	1566.2517	1897.7402	927221	-135.5116	7405641	0	3961.128	905919.8	1198113	53_PNPLA3	1	1	1	3.066667	1	1	2	-1.080319	-1.281552	-1.554774	-2.053749	-1.554774	-.5751093	-1.51239	-1.19838	-.6744897	.3957253	-1.426077	-2.069902	-.9420758	-.3957253	-.4484255	-.6433454	.7721932	-.4887764	-.3740954	-.264147	1.534121	.0522452	1.258162	1.534121	-.1573107	-.741594	.1573107	.4887764	-1.258162	-.4887764
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PNPLA3_210129_C02	210129	1	NK212	insH2Bfabp	CD15	PNPLA3	1	0	0	2	1	10	0	0	0	1	10.924863	.4083552	.20612821	.170148	.9352992	1	8	8	34304	2144	1359	1126	395	16	41423432	1	999770	53361	97	165	135	58	2	800945	160	2665.1062	3280.1243	426417	-813.2766	-9755740	16	4021.973	1023141	1351971	53_PNPLA3	1	1	1	2.366667	1	1	2	-.9153651	-.6433454	-.9153651	-.7721932	-.2018935	.1092005	-.7091025	-1.19838	-.2933812	-.3441025	-.2933812	-.9420758	.2434042	-.8694237	-.8010945	-.9153651	-.6433454	-1.534121	-2.036834	-2.036834	-2.036834	-2.036834	-2.036834	-2.036834	-1.534121	-1.534121	-1.534121	-1.534121	-1.054472	-1.534121
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PNPLA3_210129_C03	210129	1	NK219	insH2Bfabp	CD15	PNPLA3	1	0	0	2	1	10	.0218402	0	0	1	14.898777	.4423848	.60252861	.3062664	3.0397224	1	15	15	547955	8562	7122	10270	2847	64	5.197e+09	1	5844041	202174	141	299	222	132	4	730778	176	4612.7784	3738.9927	811849	544.6648	-1.49e+07	1	4286.015	1144759	1543437	53_PNPLA3	1	1	1	2.816667	1	1	2	0	.5244005	.5244005	.5244005	.6433454	-2.019086	2.019086	-.8694237	1.303783	.8010945	1.426077	.3441025	-.0482231	-.6744897	-.6744897	-.7721932	-1.281552	.264147	1.054472	2.036834	2.036834	1.054472	.6102946	.741594	.6102946	.4887764	.0522452	.741594	.8871465	.3740954
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PNPLA3_210129_F02	210129	1	NK214	insH2Bfabp	CD15	PNPLA3	1	0	0	2	1	10	.9165773	0	1	3	20.19733	.9187992	.6976647	.510444	3.5853136	1	10	10	231060	5023	4409	5865	2226	46	1.433e+09	1	4322203	128507	153	218	167	135	86	1176272	7058	4177.6736	3496.1789	2.95e+07	421.6206	1.67e+07	0	4490.072	1566705	1671814	53_PNPLA3	1	2	1	2.533333	2	1	2	.6433454	2.053749	1.281552	1.080319	2.053749	-1.027154	-2.019086	1.574445	1.574445	2.069902	2.069902	1.574445	1.574445	.9420758	1.104836	1.080319	1.281552	-.741594	-.4887764	-.4887764	-.4887764	-.3740954	-.264147	-.1573107	-.0522452	-.4887764	.6744897	-.8871465	-.5485223	.6102946
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PNPLA3_210129_H02	210129	1	NK216	insH2Bfabp	CD15	PNPLA3	1	0	0	2	1	10	1	.4442237	1	3	14.614926	.5785032	.3964004	.3743256	2.727956	1	12	12	166897	3881	4120	2187	713	43	3.714e+08	2	2471027	109691	109	182	169	129	6	703801	480	4669.5979	4343.8041	2241407	-175.8103	-2.08e+07	11	4177.907	1127353	1492670	53_PNPLA3	1	2	1	2.65	2	1	2	-.4124631	.4124631	.2018935	-.6433454	-.1004337	.8572543	-.1092005	-.2933812	.9420758	1.19838	.8694237	.2434042	-.3441025	-.5578848	-.5578848	-.5244005	-2.053749	-.9674216	-1.054472	-.8871465	-.6102946	-1.258162	-1.534121	-1.534121	-.8871465	-.8871465	-1.054472	-1.258162	-.3186394	.1573107
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PNPLA3_210129_F01	210129	1	NK208	insH2Bfabp	CD15	PNPLA3	1	0	0	2	1	10	1	.4051836	1	3	13.195671	.4423848	.3964004	.2382072	2.338248	1	4	4	169902	3398	2798	3266	923	50	5.528e+08	1	2013313	87709	121	188	121	108	1	649066	28	2719.25	3155.5605	76139	-599.0453	-8604767	19	4325.071	1066163	1463271	53_PNPLA3	1	2	1	2.133333	2	1	2	.2018935	-.2018935	-.1004337	.1004337	.2018935	.5751093	.5751093	-.8694237	.6151411	0	.8694237	-.2434042	-.5578848	-1.303783	-1.574445	-2.053749	-.5244005	-.3740954	-.741594	-1.258162	-1.258162	-1.054472	-1.258162	-1.258162	-1.054472	-1.258162	-.741594	-1.054472	-1.534121	-.8122178
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PNPLA3_210129_H04	210129	1	NK231	insH2Bfabp	CD15	PNPLA3	1	0	0	2	1	10	.954595	0	1	3	13.195671	.85074	.3012643	.2722368	2.2603064	1	27	27	169819	3949	3976	5028	1776	43	8.078e+08	2	3976182	116717	129	237	169	113	19	589437	1249	2802.4892	2886.2317	3500309	-169.6687	-1934631	0	4088.41	1045108	1444758	53_PNPLA3	1	2	1	3.7	2	1	2	-.7721932	-.3054808	-.2018935	.3054808	-.6433454	-.4507442		1.19838	.4484255	.3957253	.5578848	-.2434042	-.8010945	-.0965586	-.1451209	-.2018935	.2018935	-.9674216	-.8871465	-.741594	-.8871465	-.8871465	-.4887764	-.3740954	-.3740954	-.6102946	-.4887764	-.6102946	-.3186394	-.3740954
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PNPLA3_210129_D01	210129	1	NK206	insH2Bfabp	CD15	PNPLA3	1	0	0	2	1	10	0	0	0	1	13.195671	.5444736	.0951361	.2722368	1.7926568	1	2	2	198891	3753	3342	6961	2329	53	1.432e+09	1	3290391	130310	120	290	236	63	2	800958	80	5154.2125	3537.3336	412337	1345.268	-1.29e+07	64	4206.569	1008576	1377033	53_PNPLA3	1	2	1	2.033333	2	1	2	-.2018935	-.7721932	-.4124631	-1.080319	-.9153651	.3330051	.2197229	-.5578848	-.0482231	.3957253	-1.426077	-.2434042	.3441025	-.8694237	-1.020076	-1.080319	-1.080319	-.264147	-.6102946	-1.054472	-1.054472	-.4887764	-.1573107	.1573107	-.741594	-.3740954	-.8871465	.4887764	1.258162	-1.054472
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PNPLA3_210129_B02	210129	1	NK211	insH2Bfabp	CD15	PNPLA3	1	0	0	2	1	10	0	0	0	1	18.115755	.680592	.60252861	.4423848	5.1441456	1	7	7	746822	6609	4930	8066	2670	113	5.845e+09	1	8612592	246223	201	316	237	134	22	1220568	1664	3543.5457	3332.5145	5896460	-2.168289	-4917107	16	4509.596	1268261	1664756	53_PNPLA3	1	2	1	2.316667	2	1	2	1.080319	1.080319	1.080319	.9153651	.7721932	.4507442	1.027154	.1451209	2.069902	1.574445	1.426077	.6744897	2.069902	.0482231	-.0482231	0	-.4124631	2.036834	2.036834	.3740954	-.0522452	1.258162	.264147	.264147	2.036834	2.036834	2.036834	1.054472	1.534121	.4887764
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PNPLA3_210129_D03	210129	1	NK220	insH2Bfabp	CD15	PNPLA3	1	0	0	2	1	10	1	1	1	3	12.249501	.5785032	.07928008	.0680592	.389708	1	16	16	325626	5614	5098	4624	1495	58	1.628e+09	1	4919790	155269	133	275	154	154	47	569242	4032	4139.9759	3845.1495	1.67e+07	-64.56884	-299491.3	125	4167.965	1037661	1357011	53_PNPLA3	1	2	1	2.9	2	1	2	-.5244005	-.4124631	-.6433454	1.281552	-.5244005	-.2197229	-.5751093	-.2933812	-1.303783	-.6744897	-2.069902	-.6744897	-1.104836	.5578848	.5578848	.5244005	.3054808	0	-.264147	.0522452	.0522452	-.264147	-.6102946	-.6102946	.3740954	-.1573107	-.264147	.0522452	-.8871465	1.534121
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PNPLA3_210129_F03	210129	1	NK222	insH2Bfabp	CD15	PNPLA3	1	0	0	2	1	10	.8631647	.5146361	1	3	7.5186507	.3743256	.28540829	.1361184	.9352992	1	18	18	121066	2953	2698	8064	2313	41	9.294e+08	1	1895129	94084	104	257	176	60	19	494939	1857	2888.077	2585.2156	5363159	302.7805	3556084	32	3734.261	858591.6	1161492	53_PNPLA3	1	2	1	3.016667	2	1	2	-2.053749	-2.053749	-2.053749	-1.554774	-2.053749	.2197229	-.4507442	-1.574445	-.2933812	-.4484255	.4484255	-1.574445	-1.574445	-.0965586	.0482231	-.1004337	.6433454	-1.258162	-1.258162	-1.534121	-1.534121	-.741594	.1573107	-.0522452	-1.258162	-1.054472	-1.258162	-.3740954	.0522452	-1.258162
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PNPLA3_210129_D04	210129	1	NK228	insH2Bfabp	CD15	PNPLA3	1	0	0	2	1	10	1	0	1	3	17.169585	.6465624	.11099211	.340296	2.1044232	1	24	24	461647	6789	6588	10596	2823	68	4.792e+09	1	5174147	177988	147	288	173	125	60	983091	4848	5364.0728	4919.3898	2.60e+07	-221.0696	-3933659	16				53_PNPLA3	1	2	1	3.525	2	1	2								.0482231	.2933812	.9420758	-1.104836	.5578848	1.104836	.6744897	.8010945	.9153651	-.3054808	.3740954	.6102946	.4887764	1.054472	.741594	.8871465	.6102946	.4887764	.3740954	.3740954	.264147	-.0522452	.0522452
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PNPLA3_210129_B03	210129	1	NK218	insH2Bfabp	CD15	PNPLA3	1	0	0	2	1	10	0	0	0	1	18.494223	.7486512	.22198422	.0680592	.5455912	1	14	14	557677	7746	6218	7872	2319	72	4.519e+09	1	6421643	222337	151	262	241	152	37	837190	2728	3784.7317	3566.0936	1.03e+07	-61.17461	-3303928	0	4505.511	1240642	1636823	53_PNPLA3	1	2	1	2.766667	2	1	2	.7721932	.9153651	.9153651	-.1004337	.4124631	1.233495	-.3330051	.5024022	-1.020076	-.6744897	-.0965586	.9420758	.6744897	.2434042	.2434042	.3054808	-.2018935	.6102946	1.258162	.8871465	.741594	.6102946	.0522452	.0522452	1.258162	.8871465	.4887764	-.264147	2.036834	1.258162
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PNPLA3_210129_B01	210129	1	NK205	insH2Bfabp	CD15	PNPLA3	1	0	0	2	1	10	.7725126	0	1	3	20.765032	1.020888	.20612821	.3743256	2.8058976	1	1	1	419890	5121	4639	5435	1733	82	2.310e+09	1	6415895	245136	160	305	194	170	96	971884	8171	3134.4926	2835.1906	2.56e+07	227.932	2.08e+07	15	4610.766	1275005	1696054	53_PNPLA3	1	2	1	1.95	2	1	2	1.554774	1.281552	1.554774	-.4124631	1.281552			2.069902	1.104836	1.19838	-.2933812	2.069902	.9420758	1.574445	1.574445	.7721932	1.554774	1.258162	.264147	-.3740954	-.264147	-.0522452	-.3740954	-.4887764	1.054472	1.534121	1.054472	.8871465	.6102946	2.036834
InsH2Bfabp_CD15_10dpf_VAST02_plate01_PNPLA3_210129_B04	210129	1	NK226	insH2Bfabp	CD15	PNPLA3	1	0	0	2	1	10	1	0	1	3	18.210372	.85074	.45982446	.0340296	.6235328	1	22	22	373569	5337	4758	7803	2727	70	2.901e+09	1	4511406	159365	161	230	172	140	1	646829	80	3517.75	3765.9792	281420	-585.0463	-1.58e+07	7	4398.952	1100825	1483937	53_PNPLA3	1	2	1	3.416667	2	1	2	.5244005	.2018935	.1004337	-.2018935	-.7721932	-1.51239	0	1.19838	-.6744897	-1.303783	1.104836	.8010945	-.6744897	-1.303783	-1.020076	-1.281552	-1.554774	.4887764	-.0522452	-.1573107	-.1573107	.1573107	-.0522452	.3740954	.1573107	-.0522452	1.258162	-.741594	-.1573107	1.054472
