filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	scda_nwt	scdb_nwt	scd_nwt	scd_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_A02	201216	1	NJ231	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	1	1	1	1	3	11.358538	5.0704104	17.505042	6.125328	8.4176928	1	7	7	370668	5792	4678	14281	4395	64	4.796e+09	1	4092153	162456	135	244	207	135	205	725684	16144	14294.253	11171.257	2.31e+08	452.9709	2667184	0	4129.396	949494.6	1357175	42_SCD	1	1	1	2.916667	1	1	3	.0611754	-.3754618	-.1225808	.3106094	-.1225808		-1.227826	-1.268707	-.9523705	.4411686	-.2007308	.2298841	.2592342	.7860842	.9523705	.9523705	.3186394	.2654048	.2353289	-.2957227	-.7690553	.6205683	1.031459	.6205683	-.0583267	0	.1462539	.0583267	.8088444	.9368471
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_D02	201216	1	NJ234	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	.036193	0	.0180965	0	1	12.650883	12.931248	18.075858	6.7718904	11.067707	1	10	10	468551	7099	7425	8293	2621	66	3.835e+09	1	6236297	194508	172	316	196	129	226	1169236	20248	17896.483	13503.248	3.62e+08	1105.291	4.45e+07	6				42_SCD	1	1	1	3.079167	1	1	3								1.046231	-.2592342	1.046231	-.0855575	.9084579	2.277988	.9523705	1.046231	1.150349	.7106959	.5177236	.9368471	.6929004	1.255486	-.1757821	-.8499573	-.7690553	1.255486	.7690553	1.570585	1.031459	.5513477	.2353289
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_C07	201216	1	NJ269	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	1	1	1	1	3	10.66266	11.808271	14.857087	4.9683216	11.535357	1	42	42	446084	7561	7204	12740	3735	59	5.224e+09	1	4357502	169786	115	265	233	152	129	776806	11760	13369.662	10654.709	1.57e+08	181.801	-5.10e+07	0	4409.589	1123495	1507982	42_SCD	1	1	1	6.266667	1	1	3	1.791764	1.107003	1.227826	0	.9042674	-.6151411	-.0611754	.7106959	-.142907	-.2298841	-.9523705	-.0284883	.5048896	-.0284883	.2592342	.4411686	-.639147	-.0583267	.7690553	1.136341	1.136341	1.031459	.4200915	.0583267	.1757821	.2353289	-.6929004	.2654048	1.395747	1.570585
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_D01	201216	1	NJ227	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	.7577108	1	.8788554	1	3	12.650883	4.1175816	20.279844	6.5336832	10.444174	1	4	4	485319	5919	4767	7792	2433	82	3.430e+09	1	6043606	202931	142	304	261	133	300	897830	21694	19463.563	15184.415	4.22e+08	545.7363	3.97e+07	32	4304.638	1121147	1495466	42_SCD	1	1	1	2.7	1	1	3	1.000491	1.000491	1.000491	.5104216	1.369856	.2599896	-.3106094	-1.408136	-.5048896	.7860842	1.268707	.9084579	1.150349	1.268707	1.150349	1.582058	.639147	1.570585	1.031459	-.1168527	-.6929004	-.4200915	-1.136341	-1.136341	.9368471	.8499573	.4846749	.7690553	1.813418	.6205683
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_G06	201216	1	NJ265	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	.0253898	0	.0126949	0	1	4.797401	10.20888	16.046288	6.295476	8.8853424	1	39	39	302569	4880	4016	10624	2883	62	3.008e+09	1	2931766	132210	109	243	154	127	109	398914	9442	9552.9564	7955.4333	9.02e+07	-220.3885	-1.41e+07	65	3686.126	814418.6	998333.1	42_SCD	1	2	1	5.9	2	1	3	-1.369856	-1.107003	-1.791764	1.546635	-1.227826	1.342336	-1.791764	.0855575	-.7860842	.639147	-.639147	-2.277988	-1.408136	-.1717471	-.2007308	-.3186394	-.3791918	.1757821	-.4846749	-1.031459	-1.255486	-.6205683	-.2353289	-.4846749	-.6205683	-.4846749	-.9368471	0	-.7690553	.1168527
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_D07	201216	1	NJ270	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	1	1	1	1	3	10.563249	5.2065288	18.424691	3.9474336	16.133911	1	43	43	369752	7250	6482	17128	5156	51	6.151e+09	1	3628037	133022	150	218	177	115	92	595702	7520	8198.9312	7115.8405	6.17e+07	-512.3496	-1.04e+07	25	3885.427	944769.3	1314079	42_SCD	1	2	1	6.316667	2	1	3	-.6554235	-.4419345	-.3754618	.1225808	-.581393	-.1940281	.581393	-1.150349	.7106959	-.9084579	.0855575	-.0855575	-.3186394	-.3791918	-.5048896	-.639147	-.142907	-.3572158	.1168527	.9368471	.8499573	1.395747	2.269206	1.813418	-.3572158	-.4200915	.8499573	-.7690553	-.2353289	-.3572158
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_E04	201216	1	NJ249	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	.8437181	.8882182	.8659681	1	3	11.656772	12.284686	14.270414	6.2614464	17.692743	1	25	25	444735	5630	5050	8468	2530	79	3.839e+09	2	6713468	207765	156	333	189	126	116	812928	11388	11555.578	9150.2576	1.32e+08	270.81	-1.87e+07	37	4296.785	1127203	1556507	42_SCD	1	2	1	5.05	2	1	3	.8157657	1.227826	1.546635	.247039	1.227826	-1.075723	1.546635	.8254945	1.150349	.5707313	-1.046231	.5048896	.7106959	-.0855575	.2007308	.3186394	-.5048896	1.255486	.6929004	-.4200915	-.326315	-.1168527	-.7690553	-1.031459	1.395747	.9368471	1.255486	1.255486	.2957227	.0583267
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_B04	201216	1	NJ246	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	0	.0196725	.0098362	0	1	8.2767919	14.564669	16.141424	5.8871208	11.769182	1	22	22	204014	4341	4286	11633	5155	47	2.348e+09	2	2584793	105277	125	225	159	87	92	485132	6478	6485.3655	5530.4754	4.20e+07	-220.4679	3.10e+07	107	3853.563	885852.1	1261188	42_SCD	1	2	1	4.9	2	1	3	-.7332358	-.6554235	-.581393	-.8157657	-.3106094	-.9674216	1.369856	1.582058	-.0855575	.2007308	-.5707313	-.8662307	-.9523705	-.3791918	-.7860842	-.7106959	.5048896	-.656305	-1.136341	-1.255486	-.8499573	-1.031459	.1168527	1.570585	-.7690553	-.7690553	-.0583267	-.656305	-.6929004	-1.395747
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_B06	201216	1	NJ261	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	1	.7714273	.8857136	1	3	10.463838	8.1330744	16.188992	7.5205416	8.7294592	1	37	37	605213	9311	8718	13634	3980	65	8.021e+09	1	4841206	189382	128	323	181	134	89	797842	7827	10289.466	8716.482	8.05e+07	-446.5861	-5.31e+07	7	4340.942	1072114	1422522	42_SCD	1	2	1	5.683333	2	1	3	1.369856	.6554235	.247039	-.247039	.7332358		.6554235	-.4411686	-.8662307	1.582058	-.5048896	-.1717471	.5707313	-.5048896	-.4411686	-.4411686	-.7860842	.3572158	1.570585	1.570585	1.813418	2.269206	.7690553	.2353289	.6205683	.6929004	0	1.136341	-.1168527	.8088444
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_E05	201216	1	NJ256	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	1	1	1	1	3	4.8968122	8.7796368	19.550468	2.55222	11.301532	1	32	32	106253	6250	6195	3959	1163	17	4.397e+08	1	841101	49462	71	156	109	98	79	282190	7056	4460.2297	3686.4492	3.15e+07	87.04333	9.15e+07	26	3607.543	722872.6	947864.7	42_SCD	1	2	1	5.416667	2	1	3	-1.546635	-2.250926	-2.250926	-1.791764	-2.250926	-.3957253	1.227826	-.3186394	-.2007308	-1.207414	.8662307	-1.823803	-2.277988	-.7106959	-.7106959	-1.046231	1.150349	-1.990721	-1.813418	.1168527	.4846749	-2.269206	-2.269206	-2.269206	-1.570585	-1.570585	-1.570585	-1.570585	-1.570585	-1.031459
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_H07	201216	1	NJ274	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	0	0	0	0	1	10.265015	7.9629264	13.636174	5.95518	2.0264816	1	47	47	353084	5350	5817	10909	3714	66	3.560e+09	1	4343328	164675	145	233	184	120	32	584402	3392	7064.3237	7407.2069	2.40e+07	-2015.528	-5.93e+07	59	4223.932	988837.6	1377751	42_SCD	1	2	1	6.516667	2	1	3	.581393	0	-.0611754	1.000491	-.7332358	.3957253	.4419345	-.5707313	-2.277988	.2592342	-1.268707	-.2888094	-.3791918	-1.150349	-1.150349	-1.150349	-.8662307	.5177236	0	-.6205683	.4200915	-.3572158	0	-.0583267	.1168527	.1168527	.6929004	-.2957227	.0583267	-.1757821
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_B03	201216	1	NJ239	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	0	.0222841	.0111421	0	1	10.861482	13.373633	18.916227	4.3557888	12.704481	1	15	15	249538	6932	6459	15202	4652	36	3.789e+09	1	2565834	101742	112	240	135	121	236	674442	15577	8268.5904	7207.6919	1.29e+08	-558.8802	5.33e+07	26	4109.057	960560.3	1354992	42_SCD	1	2	1	3.366667	2	1	3	-.0611754	-.3106094	-.247039	-.3106094	-1.000491	.1289011	.247039	1.150349	.0284883	-.639147	.5375191	.0284883	.0855575	1.046231	.8662307	.2592342	.8662307	-1.136341	-.8499573	.5513477	.7690553	-.2353289	1.395747	.8499573	-.8499573	-.8499573	-.7690553	-.0875522	-1.082411	-.1168527
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_H04	201216	1	NJ251	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	.0692187	.0263594	.0477891	0	1	12.650883	15.755705	18.868659	6.0572688	15.744203	1	27	27	369921	6490	5584	11800	4217	57	4.532e+09	1	4517913	181001	153	240	207	134	175	846668	13392	14623.652	10427.694	1.96e+08	1722.959	-3639516	0	4171.176	1039814	1451772	42_SCD	1	2	1	5.166667	2	1	3	.3754618	.3754618	.581393	.0611754	.4419345	-.8694237	-.5104216	1.823803	.4727891	.3186394	.4411686	.9084579	.7860842	.5048896	.4099833	.639147	-.0284883	-.2353289	.1757821	.3572158	.2353289	.3572158	.1757821	.4846749	.4200915	.6205683	1.031459	-.0875522	.8088444	.8088444
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_H01	201216	1	NJ230	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	1	1	1	1	3	13.147939	1.7695392	19.518756	5.5808544	10.989766	1	6	6	433573	7226	6291	10849	3187	60	4.893e+09	1	4235272	178146	122	231	211	129	50	809047	4064	9535.1417	8110.5097	3.88e+07	-434.3709	-7.15e+07	0	4286.989	1042446	1443742	42_SCD	1	2	1	2.866667	2	1	3	.7332358	.4419345	.3754618	.7332358	.581393	0	.1225808	-2.277988	-.3186394	-.0855575	.7478586	1.268707	.639147	-.8662307	-.8662307	-.9523705	-.9523705	0	.6205683	.8499573	.6929004	.8499573	-.0583267	-.4200915	0	.4200915	-.326315	-.4521474	.9830529	.2353289
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_B08	201216	1	NJ276	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	.023192	0	.011596	0	1	9.3703147	10.072762	18.710099	2.382072	20.342758	1	49	49	407069	6360	5464	8492	2568	64	3.408e+09	1	4658262	178429	122	251	211	129	199	563258	13985	16054.075	13268.493	2.25e+08	-440.158	-8.43e+07	171	4045.45	978639.3	1349085	42_SCD	1	2	1	6.633333	2	1	3	-.3106094	-.1844524	-.3106094	-.7332358	-.0611754	.4662653	1.107003	-.0284883	1.582058	-1.48947	.3186394	-.639147	-.5707313	.7106959	.5048896	.7860842	-1.150349	.2654048	.4200915	.2353289	0	-.4846749	-.6929004	-.8499573	.4846749	.4846749	-.326315	.1168527	.9830529	.2353289
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_B07	201216	1	NJ268	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	0	.0092943	.0046472	0	1	8.6744365	7.8948672	16.950081	4.8662328	12.938306	1	41	41	345248	7193	6914	13221	3845	48	4.419e+09	1	3074016	120271	124	198	174	106	162	563894	13184	12535.606	9874.1537	1.65e+08	335.128	-1.29e+07	3	3729.086	878719.2	1218615	42_SCD	1	2	1	6.216667	2	1	3	-.9042674	-.7332358	-.7332358	-1.000491	-.8157657	-.6948019	.5104216	-.7106959	.142907	-.3186394	-.3791918	-.7106959	-.5048896	.3186394	.3186394	.5048896	-.3186394	-.4846749	-.1168527	.7690553	1.031459	.2957227	.4846749	.1168527	-.5513477	-.6929004	-.1462539	-1.031459	-.3884616	-.6929004
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_E01	201216	1	NJ228	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	1	1	1	1	3	7.8791472	2.9265456	9.1330652	7.826808	6.3132696	1	5	5	350187	6038	5050	16736	4994	58	5.515e+09	1	1827301	95939	95	193	135	119	164	517504	14432	8051.3735	6263.3601	1.16e+08	418.4592	7.70e+07	44	4021.631	891713.9	1180393	42_SCD	1	2	1	2.733333	2	1	3	-.3754618	-.581393	-.8157657	-1.227826	-.9042674	-.3271033	.3106094	-1.823803	-1.268707	1.823803	-2.277988	-1.150349	-.8662307	.3791918	.639147	.142907	.9523705	-.1462539	-.0583267	-.0583267	-.326315	1.255486	1.813418	1.395747	-1.136341	-1.031459	-1.136341	-1.136341	-1.082411	-.2353289
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_B02	201216	1	NJ232	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	.9880366	1	.9940183	1	3	13.048528	9.0518736	16.268272	5.274588	15.900086	1	8	8	510965	7626	6225	12099	3517	67	6.180e+09	1	5846731	224570	177	263	240	123	27	864616	2031	11312.496	8956.245	2.30e+07	273.1496	-1.20e+08	3				42_SCD	1	2	1	2.970833	2	1	3								-.2592342	.639147	-.142907	-.4411686	1.150349	.8662307	-1.582058	-1.582058	-1.268707	-1.823803	.6929004	1.395747	1.255486	.5513477	1.570585	.2957227	-.1757821	.8499573	1.255486	1.813418	.1757821	1.570585	-.0583267
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_F07	201216	1	NJ272	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	.0230496	.0578735	.0404616	0	1	10.960893	12.693041	18.630819	4.3217592	21.044232	1	45	45	204294	4751	4035	14359	4313	43	3.037e+09	1	1470599	76584	87	207	123	101	132	463430	10742	9635.5906	7550.6229	1.04e+08	374.3208	1.48e+07	28	3564.445	806882	1058776	42_SCD	1	2	1	6.433333	2	1	3	-2.250926	-1.369856	-1.107003	-2.250926	-1.546635	-2.231606	-.7332358	.9523705	1.823803	-.7478586	.2592342	.0855575	-1.150349	.0855575	.0284883	.0284883	.3791918	-1.031459	-1.031459	-1.136341	-1.031459	-.5513477	1.136341	.5513477	-1.255486	-1.136341	-1.395747	-.9368471	-1.255486	-.9368471
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_G03	201216	1	NJ244	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	.9753982	.9889801	.9821892	1	3	6.3879797	8.0990448	23.070503	5.6489136	8.963284	1	20	20	247644	7504	5722	14054	4800	33	3.569e+09	1	2214677	101345	110	186	165	108	209	575450	15168	7269.4697	6052.191	1.10e+08	-96.32108	7.92e+07	28	3710.871	813745.8	1053542	42_SCD	1	2	1	3.633333	2	1	3	-1.107003	-1.227826	-1.227826	.1844524	-.5104216	-.7791397	-2.250926	-.5048896	-.7106959	.0284883	1.823803	-1.408136	-.4411686	.8662307	.7860842	.0855575	1.046231	-1.255486	-.9368471	1.031459	.3572158	-.2957227	.9368471	1.031459	-.9368471	-.9368471	-.8499573	-1.255486	-.5513477	-.5513477
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_E02	201216	1	NJ235	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	1	1	1	1	3	5.1950457	13.986166	13.96915	6.3295056	5.7676784	1	11	11	256318	5696	4874	10779	3613	45	2.802e+09	1	2914479	127923	116	239	182	92	130	404502	9888	8473.1314	6644.6364	8.38e+07	357.912	2.99e+07	72	3604.257	762260.4	1008831	42_SCD	1	2	1	3.133333	2	1	3	-1.791764	-1.791764	-1.546635	-1.369856	-1.791764	-.5392076	-1.000491	1.268707	-1.48947	.7106959	-1.150349	-1.582058	-1.268707	.0284883	-.0855575	-.3791918	.4411686	-.8925596	-.7690553	-.3572158	-.5513477	-.7690553	-.1168527	-.1168527	-.6929004	-.5513477	-.6205683	-.1757821	-.0583267	-1.136341
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_E03	201216	1	NJ242	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	.7135047	.9016848	.8075947	1	3	9.5691371	7.9288968	19.962724	2.382072	5.7676784	1	18	18	353867	6101	5293	10663	3989	58	3.967e+09	1	4377399	156571	143	296	147	117	28	746844	4048	9585.7878	6222.0455	3.88e+07	2005.135	1199298	2	4065.59	975528.9	1381355	42_SCD	1	2	1	3.516667	2	1	3	-.247039	-.247039	0	.8157657	.1225808	.5392076	.9042674	-.639147	-1.48947	-1.48947	.9523705	-.5375191	.4411686	-1.408136	-.9523705	-.8662307	.2592342	-.1462539	.0583267	0	-.1168527	0	-.1757821	.2957227	.2353289	-.1757821	.6205683	.656305	-.9368471	-.2957227
