filename	date	plate	index	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	V	W	X	Y	Z	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	acvr1c_nwt	acvr1c_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ACVR1C_201019_H08	201019	1	NB554																								insH2Bfabp	CD15	ACVR1C	1	0	0	2	1	10	.9917005	1	2	9.8808848	.3743256	.45982446	.4423848	1.2470656	1	5	54															173	528151	12558	24810.939	22409.059	3.12e+08	-84.25191	-1.42e+07	157	3729.584	821491.7	1126276	20_ACVR1C	1	1	2	5.166667	1	1	5	-.8091311	-.8594887	-.7607465	-.6250856	.2332042	1.399916	-.6632931	-.1406355	-.2584591	-.1239993	.0082456	-.4156972	-.4665176	.4275015	.2771172	.4736994	-.1166431													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ACVR1C_201019_H06	201019	1	NB540																								insH2Bfabp	CD15	ACVR1C	1	0	0	2	1	10	.7893621	1	2	13.988488	.680592	.4915365	.6465624	1.7147152	1	40	40	304224	7420	6699	10569	2997	41	3.152e+09	1	3297423	120368	137	256	147	118	228	622742	16801	30734.329	26610.84	5.16e+08	1178.896	7.39e+07	17	4199.412	1044645	1448497	20_ACVR1C	1	1	1	4.016667	1	1	5	.7847092	.7607465	.8594887	-.1068681	.4601758	.2038617	1.759036	1.073839	.3888753	1.327902	.1907976	.6136091	.1327815	1.125061	1.125061	1.345167	.7318081	-.8720565	-.4094043	.4350152	.652593	-.9427782	-.7734564	-1.058737	-.3589585	-.5136787	.105615	.164727	-.8550502	-.1174013
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ACVR1C_201019_A05	201019	1	NB526																								insH2Bfabp	CD15	ACVR1C	1	0	0	2	1	10	.167489	0	1	14.466116	.5785032	.45982446	.680592	1.7147152	1	27	27	364153	5873	5542	10403	3066	62	3.633e+09	1	4837743	150850	157	245	194	119	164	566916	12921	24203.004	21613.418	3.13e+08	190.2679	9002147	21	4111.39	1032771	1433917	20_ACVR1C	1	1	1	3.083333	1	1	5	.5614833	.6689206	.7372129	.6689206	.6468477	.6504763	1.185767	.7058794	.3888753	1.534121	.0082456	.793251	-.2224756	.2771172	.3891258	.4938267	.0089524	.6381677	.0234286	-.5956607	-.3340819	-.7117243	-.8382877	-.9068503	.4871272	.0234286	1.03844	-.1410246	.652593	-.0585996
InsH2Bfabp_CD15_10dpf_VAST02_plate02_ACVR1C_201019_E01	201019	2	NB567																								insH2Bfabp	CD15	ACVR1C	1	0	0	2	1	10	.9764026	1	2	8.1703256	.2382072	.47568048	.510444	1.4029488	1	18	67	225104	5772	4415	14049	4014	39	3.194e+09	1	2326978	97725	126	179	155	112	73	426151	4704	25847.972	24443.277	1.22e+08	-1303.393	-2.61e+08	0	3646.909	798851.9	1075045	20_ACVR1C	1	1	2	6.55	1	1	5	-1.19001	-.9674216	-1.025845	-.8340455	-1.443299	1.644854	-1.548805	-.7708607	-.0329879	.3360381	.0991079	-.8045964	-1.398471	-.8391085	-1.092422	-.8039453	-2.300347	-1.058737	-.9799662	-.6818606	-.9427782	-.9068503	-.1174013	-.3340819	-1.058737	-.9799662	-.3840592	-1.292276	-.5817313	-.4479274
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ACVR1C_201019_G02	201019	1	NB512																								insH2Bfabp	CD15	ACVR1C	1	0	0	2	1	10	.9886409	1	2	5.7732816	.1361184	.50739251	.4423848	.6235328	1	13	13															0	592231	0		7168.4221				0	3721.778	791853.6	1034745	20_ACVR1C	1	1	1	1.866667	1	1	5	-.8855009	-1.154667	-1.265551	-1.552397	-1.245996	-.9124375	-.4144133	-1.150349	-1.994911	-.1239993	.3099763	-1.796793	-.0972407	-2.455101	-2.455101															
InsH2Bfabp_CD15_10dpf_VAST02_plate02_ACVR1C_201019_E02	201019	2	NB573																								insH2Bfabp	CD15	ACVR1C	1	0	0	2	1	10	1	1	2	13.032769	.1020888	.47568048	.170148	.7014744	1	24	73	593259	10055	8683	12348	3825	59	6.703e+09	1	4529015	183832	152	239	188	134	37	704481	2703	19875.107	19846.359	5.37e+07	-2177.765	-2.01e+08	15	4184.385	1107510	1514352	20_ACVR1C	1	1	2	6.616667	1	1	5	.7140806	1.12071	1.056412	.3824499	.8855009	1.104836	.907229	-1.348083	-1.368829	-1.044936	.0991079	.3273264	.5468132	-1.499273	-1.555957	-1.548805	-1.759036	.4350152	1.24006	1.988748	1.988748	.7117243	-.3840592	-.5136787	.260611	.652593	.8720565	-.2244208	.3714796	.7422367
InsH2Bfabp_CD15_10dpf_VAST02_plate02_ACVR1C_201019_C04	201019	2	NB586																								insH2Bfabp	CD15	ACVR1C	1	0	0	2	1	10	.9631552	1	2	6.7002847	.3062664	.28540829	.3743256	1.169124	1	37	86	139474	3487	3616	3312	1168	40	4.606e+08	1	2186300	86805	135	172	144	114	120	452350	8608	13396.692	11433.01	1.15e+08	675.1592	9.42e+07	15	3583.386	743000.2	1056921	20_ACVR1C	1	1	2	7.733333	1	1	5	-1.443299	-1.552397	-1.154667	-1.614666	-1.245996	-.009641	-.6857716	-.4702759	-.3623302	-.4337449	-1.308247	-1.434899	-1.092422	-.3513149	-.4082385	-.907229	.9915265	-.9799662	-1.63141	-1.63141	-1.548528	-1.727309	-1.842373	-1.842373	-1.24006	-1.292276	.0117135	-1.475095	-1.07948	-.3094104
InsH2Bfabp_CD15_10dpf_VAST02_plate02_ACVR1C_201019_G03	201019	2	NB582																								insH2Bfabp	CD15	ACVR1C	1	0	0	2	1	10	.0959051	0	1	9.7534466	.4083552	.23784024	.510444	1.8705984	1	33	82															146	501992	12311	23399.882	19724.602	2.88e+08	1482.052	3.68e+07	20	3976.484	992919.9	1360794	20_ACVR1C	1	1	2	7.016667	1	1	5	.0711701	.4601758	.4405008	.9674216	.0177784	.8279615	-.4736994	-.024739	.6953402	.3360381	-1.589968	-.451935	-.6308035	-.0441451	.1864235	.3186394	.3186394													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ACVR1C_201019_C09	201019	1	NB557																								insH2Bfabp	CD15	ACVR1C	1	0	0	2	1	10	1	1	2	7.3972178	.2382072	.19027219	.2041776	.7014744	1	8	57																								3533.619	706049.8	973121.3	20_ACVR1C	1	1	2	5.383333	1	1	5	-1.683913	-1.963007	-1.853367	-2.30304	-2.103055	-1.399916	-1.491942	-.7708607	-1.368829	-.7271971	-2.133366	-1.134514																		
InsH2Bfabp_CD15_10dpf_VAST02_plate02_ACVR1C_201019_A01	201019	2	NB563																								insH2Bfabp	CD15	ACVR1C	1	0	0	2	1	10	.0687542	0	1	20.835294	.680592	.42811243	.510444	.779416	1	14	63															211	940462	16911	25661.402	24519.201	4.34e+08	-1574.172	4.96e+07	0	4536.741	1218630	1689100	20_ACVR1C	1	1	2	5.833333	1	1	5	1.963007	1.963007	2.30304	2.30304	1.552397	-.8279615	.0986344	1.073839	-.9896026	.3360381	-.1406355	2.059215	1.618134	.9580686	1.158944	1.116319	.5141561													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ACVR1C_201019_D06	201019	1	NB537																								insH2Bfabp	CD15	ACVR1C	1	0	0	2	1	10	.9892731	1	2	12.84218	.6125328	.3012643	.2041776	.6235328	1	38	38	621609	6613	6939	11017	3300	94	6.714e+09	1	6756799	238434	149	313	222	133	154	697255	12706	21504.187	18866.939	2.73e+08	537.6006	4.58e+07	1	4051.766	1023051	1415046	20_ACVR1C	1	1	1	3.833333	1	1	5	.325661	.5824202	.6036155	-.2883881	.5203253	-.3034611	2.100166	.8629628	-1.994911	-.7271971	-1.134514	.2927191	.5062573	.0972407	.3139999	.2073785	.4144133	2.599139	1.408853	-.0938433	.8720565	.7422367	-.7117243	-.7422367	1.727309	1.727309	.6967148	1.191022	1.548528	.6671554
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ACVR1C_201019_B01	201019	1	NB501																								insH2Bfabp	CD15	ACVR1C	1	0	0	2	1	10	.9637707	1	2	13.988488	.170148	.71352072	.5444736	2.1044232	1	2	2	359069	8161	6040	15702	4736	44	5.493e+09	1	3889162	130329	129	294	145	110	197	624182	13942	24079.262	21893.681	3.36e+08	-244.3177	2.42e+07	0	4043.838	888409.1	1245083	20_ACVR1C	1	1	1	1.133333	1	1	5	.2149745	-.3444652	-.1606864	-.6036155	-.1968159	-.4914942	.1527804	-1.044936	1.044936	.6036857	1.308247	.6136091	.1506121	.8266231	.5674293	.6857716	.1527804	-.6818606	-.04687	.8720565	.1885222	.2849259	.2364492	.2124247	-.1174013	-.2849259	-.2364492	.8720565	-.9799662	-.6238741
InsH2Bfabp_CD15_10dpf_VAST02_plate02_ACVR1C_201019_B06	201019	2	NB591																								insH2Bfabp	CD15	ACVR1C	1	0	0	2	1	10	1	1	2	11.449648	.5444736	.57081658	.4764144	1.558832	1	42	91															177	660956	13962	19086.77	16724.875	2.66e+08	495.9706	9.85e+07	47	4054.771	953337.7	1281869	20_ACVR1C	1	1	2	7.6	1	1	5	.3444652	.1068681	-.0177784	1.025845	.9121265	.7490183	.5347003	.5357877	.2076192	.0908251	.7379805	-.0082456	.3325995	.4962496	.5882894	.1709212	1.021236													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ACVR1C_201019_A01	201019	1	NB500																								insH2Bfabp	CD15	ACVR1C	1	0	0	2	1	10	.6051814	1	2	17.90504	.5444736	.72937674	.5444736	3.1956056	1	1	1	411882	6752	5915	10008	3221	61	4.004e+09	1	5250702	174687	126	295	207	125	153	885523	11785	23641.522	23786.302	2.79e+08	-2781.185	-8.54e+07	0	4305.186	1169208	1588104	20_ACVR1C	1	1	1	1.066667	1	1	5	1.154667	1.762326	1.552397	1.495624	.7140806	-.364634	-.0986344	.5357877	2.133366	.6036857	1.412188	1.368829	1.447034	.0795191	.0264816	.2441136	-.8805315	.5956607	.3094104	.04687	.0703373	-.5136787	-.9068503	-.8054488	.8382877	.4350152	-.3840592	.9068503	.9799662	.129204
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ACVR1C_201019_A03	201019	1	NB514																								insH2Bfabp	CD15	ACVR1C	1	0	0	2	1	10	1	1	2	17.90504	.340296	.52324853	.5785032	.9352992	1	15	15	704252	11359	8818	9579	2639	62	6.997e+09	1	5769634	224261	142	323	193	167	44	746702	4039	18850.119	18064.135	7.61e+07	-1226.069	-1.29e+08	10				20_ACVR1C	1	1	1	2.075	1	1	5								-.2927191	-.7164975	.8276041	.4337449	1.368829	.9721299	-1.269605	-1.269605	-1.302173	-1.345167	.6381677	2.196763	2.196763	2.196763	.8382877	-.9799662	-1.100698	1.018561	1.63141	.3714796	1.348275	.5956607	1.988748
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ACVR1C_201019_B06	201019	1	NB535																								insH2Bfabp	CD15	ACVR1C	1	0	0	2	1	10	.9785322	1	2	18.191617	.4423848	.33297634	.7486512	2.5720728	1	36	36															7	601856	640	19059.217	17750.584	1.22e+07	-669.2079	-1.84e+08	0	4460.562	1148527	1609757	20_ACVR1C	1	1	1	3.65	1	1	5	1.683913	1.495624	1.762326	1.265551	1.154667	1.259936	2.690109	.1239993	1.482686	1.886627	-.8160462	1.534121	-.0264816	-1.856514	-1.856514	-1.959964	-1.680515													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ACVR1C_201019_H02	201019	1	NB513																								insH2Bfabp	CD15	ACVR1C	1	0	0	2	1	10	.1304653	0	1	5.391179	.170148	.26955227	.4764144	.779416	1	14	14	189475	3715	3842	4447	1318	51	8.229e+08	1	2778711	104670	135	211	166	91	110	301050	7266	19253.66	15457.469	1.40e+08	2068.554	7074222	116	3765.478	793049.9	994415.3	20_ACVR1C	1	1	1	1.983333	1	1	5	-.7140806	-1.12071	-1.552397	-.7372129	-1.19001	-1.218387	-1.959964	-1.044936	-.9896026	.0908251	-1.412188	-2.221519	-1.966025	-.4371924	-.5674293	-.6857716	-.0089524	-.164727	-1.24006	-1.475095	-1.408853	-1.548528	-1.63141	-1.63141	-.7117243	-.7734564	.0117135	-.6238741	-.2849259	-1.319758
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ACVR1C_201019_C03	201019	1	NB516																								insH2Bfabp	CD15	ACVR1C	1	0	0	2	1	10	.9798325	1	2	8.3524743	.0340296	.23784024	.510444	1.3250072	1	17	17	204947	6028	5866	13984	4151	34	2.929e+09	1	1535990	76430	106	190	123	85	80	259100	5592	27298.438	24043.047	1.53e+08	590.9736	-2.19e+08	0	3775.073	826127.3	1119996	20_ACVR1C	1	1	1	2.216667	1	1	5	-.6689206	-.8091311	-.8091311	-.8594887	-1.552397	.1646356	-.9626678	-1.937932	-.1323128	.3360381	-1.589968	-.7271971	-2.305712	-.6744897	-.8904218	-.5977601	-1.959964	-1.348275	-1.100698	-.5136787	-.0234286	-1.018561	-.1885222	-.2364492	-1.475095	-1.408853	-1.292276	-1.058737	-1.475095	-1.475095
InsH2Bfabp_CD15_10dpf_VAST02_plate02_ACVR1C_201019_A03	201019	2	NB577																								insH2Bfabp	CD15	ACVR1C	1	0	0	2	1	10	1	1	2	11.336568	.3062664	.41225642	.3743256	1.3250072	1	28	77	305444	8485	6169	10467	3003	36	2.969e+09	1	3489543	129888	117	262	192	99	125	508643	10100	18468.731	15923.653	1.87e+08	766.575	4.08e+07	7	3701.265	855959.8	1149021	20_ACVR1C	1	2	2	5.95	2	1	5	-.9674216	-.6036155	-.6250856	.0533578	-.5000764	-1.928072	.1891184	-.4702759	-.1323128	-.4337449	-.2499428	-.0412391	-.5882894	-.267957	-.2406077	-.3186394	.3756961	-1.215176	-.3589585	1.058737	.2849259	-.9799662	-.8054488	-1.018561	-.2849259	-.3094104	-.8550502	.260611	.5679139	-.9990778
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ACVR1C_201019_E07	201019	1	NB544																								insH2Bfabp	CD15	ACVR1C	1	0	0	2	1	10	.9741194	1	2	14.657168	.6125328	.4915365	.6125328	1.6367736	1	44	44															130	722646	9708	21069.262	19376.233	2.05e+08	-462.188	-3.71e+07	13	4176.751	1096429	1515399	20_ACVR1C	1	2	1	4.466667	2	1	5	.6468477	.939415	1.087999	.6468477	1.041007	.1842133	.0627068	.8629628	.2841234	1.073839	.1907976	.8510585	.6968199	-.195412	-.2771172	-.2811812	-.3565502													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ACVR1C_201019_H07	201019	1	NB547																								insH2Bfabp	CD15	ACVR1C	1	0	0	2	1	10	.5956233	1	2	14.657168	.510444	.60252861	.4423848	1.4029488	1	47	47	514532	6597	5751	15830	5348	78	8.187e+09	1	5080778	188959	140	341	164	106	246	610851	18757	25332.898	23213.584	4.75e+08	-454.6004	1.27e+08	0	4212.733	1037930	1441454	20_ACVR1C	1	2	1	4.683333	2	1	5	.8340455	.7140806	.8091311	1.226905	.9962083		.4736994	.3535393	-.0329879	-.1239993	.7820069	.8510585	.0795191	1.447034	1.398471	1.185767	1.302173	1.441184	1.018561	-.1410246	-.1174013	1.348275	.3094104	.6818606	.7117243	.8054488	.2244208	1.548528	-.3340819	-.9068503
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ACVR1C_201019_B04	201019	1	NB520																								insH2Bfabp	CD15	ACVR1C	1	0	0	2	1	10	.5928681	1	2	13.892962	.510444	.6976647	.7486512	2.4941312	1	21	21	297059	7073	5160	22651	7949	42	6.558e+09	2	2467374	120749	107	215	149	141	218	672192	16800	24309.5	23332.909	4.08e+08	-1610.344	5.69e+07	20	4104.408	981091.6	1392899	20_ACVR1C	1	2	1	2.666667	2	1	5	.5407898	.3824499	.5203253	.8340455	-.0533578	.0482231	.02686	.3535393	1.434899	1.886627	1.150349	.5357877	.3891258	1.060907	1.092422	.9626678	.5977601	-.7893516	-.4350152	.164727	-.5405975	.6238741	1.988748	1.63141	-.8382877	-.4350152	-1.167544	-.554204	-.7734564	1.018561
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ACVR1C_201019_H09	201019	1	NB562																								insH2Bfabp	CD15	ACVR1C	1	0	0	2	1	10	.9515259	1	2	10.262987	.4423848	.41225642	.510444	1.7926568	1	13	62	198533	4412	4011	24553	10359	45	4.575e+09	1	2379515	107450	111	174	165	129	97	456561	6661	32960.865	27364.059	2.20e+08	2570.029	-2.44e+08	0	3551.124	785229.2	1055755	20_ACVR1C	1	2	2	5.666667	2	1	5	-1.495624	-1.226905	-1.19001	-.939415	-.7372129	2.272159	.4537622	.1239993	.5262936	.3360381	-.2499428	-.2927191	-.9721299	-.4862914	-.6308035	-.2073785	-2.100166	-.6097068	-1.191022	-1.24006	-1.24006	-.1410246	2.196763	2.599139	-.9427782	-.6818606	-1.018561	-1.348275	-.3094104	.3464934
InsH2Bfabp_CD15_10dpf_VAST02_plate02_ACVR1C_201019_C05	201019	2	NB589																								insH2Bfabp	CD15	ACVR1C	1	0	0	2	1	10	.9870982	1	2	13.598169	.6465624	.50739251	.5444736	.779416	1	40	89	705256	7583	6631	16166	4510	93	1.170e+10	1	7965492	273099	173	363	259	116	189	666598	14257	22746.306	20681.637	3.24e+08	-232.9823	4.64e+07	12	4076.999	1098821	1428638	20_ACVR1C	1	2	2	7.8	2	1	5	.3824499	.9962083	.7140806	.7140806	2.103055	-.427204	-.7318081	.9762363	-.9896026	.6036857	.3099763	.4337449	.3513149	.6856121	.652491	.5977601	.4340037	2.196763	2.599139	.4871272	.5679139	2.196763	.4609147	-.0234286	2.196763	2.599139	1.377932	2.196763	2.599139	-.2244208
