filename	date	plate	index	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	V	W	X	Y	Z	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	mmp28_nwt	mmp28_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_MMP28_210120_A08	210120	1	NI610																								insH2Bfabp	CD15	MMP28	1	0	0	2	1	9	.0463115	0	1	13.031542	12.046478	25.575754	6.6017424	4.7544376	1	44	44	260839	5550	4923	9925	3155	47	2.690e+09	1	2761711	121251	111	207	169	129	29	612360	2304	8246.474	6870.1504	1.90e+07	367.0266	-4.64e+07	28	3663.942	915280.8	1266212	56_MMP28	1	1	1	5.633333	1	1	5	-.8452716	-.1153556	-.0383762	1.002035	-.3253741	-.3661064	.920823	.6198546	-.3086658	.1256613	1.695398	.6571085	.1210967	-1.26794	-1.203157	-1.086838	-1.033853	-.0611754	-.2946089	-.231311	-.1689275	.045869	.2946089	.200022	-.4930868	-.1689275	-.7533835	-.6554235	.1379956	1.052254
InsH2Bfabp_CD15_09dpf_VAST02_plate02_MMP28_210120_A02	210120	2	NI632																								insH2Bfabp	CD15	MMP28	1	0	0	2	1	9	.4041483	1	2	12.253545	6.7378608	18.440547	5.614884	5.6897368	1	17	66	353725	6206	5731	9838	3412	57	3.319e+09	1	4700221	147844	158	255	182	120	126	749644	10462	5984.3114	5859.6521	6.26e+07	-627.1508	2.72e+07	17	4173.158	998303.3	1355530	56_MMP28	1	1	2	7.25	1	1	5	1.36114	.6744897	.5810237	-.5510015	-.0896424	-.6151411	-1.090461	-.7312173	.0506606	-.4676988	.1636585	.2389929	1.203157	.1515802	.1515802	-.1210967	.6095368	.7738417	.6365926	.2628283	.231311	.5279112	.200022	.4588506	1.135663	.5995885	1.791764	.4084725	.475899	.475899
InsH2Bfabp_CD15_09dpf_VAST02_plate01_MMP28_210120_D04	210120	1	NI587																								insH2Bfabp	CD15	MMP28	1	0	0	2	1	9	.4445217	1	2	9.0579771	8.3712816	21.738598	3.3689304	3.5853136	1	21	21	163848	4965	4282	5456	1861	33	8.766e+08	1	2926026	98307	128	241	158	83	156	473430	10446	10154.159	8607.9964	1.06e+08	94.04227	-1.10e+07	0	3821.416	940432.8	1290736	56_MMP28	1	1	1	3.916667	1	1	5	-.1411454	.1411454	.1411454	-.8824176	-.521468	-1.320065	2.568836	-.4586791	-.7647097	-1.959964	1.150349	-1.16395	-.8459325	.4697212	.1210967	.4032736	-.2440025	-1.295575	-1.331797	-.7946292	-.8814972	-1.59929	-1.260977	-1.195972	-.3919137	-.8372732	.2786834	-.0152849	-.475899	-1.49795
InsH2Bfabp_CD15_09dpf_VAST02_plate01_MMP28_210120_D03	210120	1	NI581																								insH2Bfabp	CD15	MMP28	1	0	0	2	1	9	.0092756	0	1	13.031542	15.381379	18.662531	2.2459536	1.8705984	1	15	15																								3616.75	935662.6	1263745	56_MMP28	1	1	1	2.933333	1	1	5	-.920823	.0896424	-.0896424	-1.002035	.809257	-.5180898	.5810237	1.508944	-1.508944	-2.17009	.2147016	.6571085																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_MMP28_210120_A06	210120	1	NI597																								insH2Bfabp	CD15	MMP28	1	0	0	2	1	9	.0320502	0	1	12.508705	14.46258	12.986077	6.0232392	5.455912	1	31	31	361268	7225	6396	8690	3206	50	3.095e+09	1	3592686	139902	132	244	163	110	215	547972	16060	10228.272	8431.2954	1.64e+08	389.8812	5.24e+07	6	4078.257	961592.1	1310370	56_MMP28	1	1	1	4.6	1	1	5	1.002035	.3798165	.3524647	.6427163	.2454314	.8694237	1.045226	1.247754	-.0506606	-.240426	-1.514102	.3853205	-.2752391	1.086838	1.033853	.8034983	1.26794	.1689275	.7533835	.8814972	.7133814	.2946089	.0152849	.2628283	.2946089	.425144	.4419345	.0611754	-.1844524	-.0918348
InsH2Bfabp_CD15_09dpf_VAST02_plate01_MMP28_210120_B10	210120	1	NI625																								insH2Bfabp	CD15	MMP28	1	0	0	2	1	9	.0098981	0	1	10.312787	10.957531	15.063215	7.4184528	6.625036	1	10	59	281705	5634	5780	12707	4173	50	3.843e+09	1	2941488	119023	104	209	185	132	192	492390	15911	15099.472	11887.447	2.40e+08	924.2629	2.57e+07	0	3500.146	754888.3	1030842	56_MMP28	1	1	2	6.533333	1	1	5	-1.299194	-1.951308	-1.36114	-.3798165	-1.090461	-.4256956	.4074555	.3086658	.416878	.6433454	-.9345893	-.4770404	-.8034983	.9357584	.9836224	.9836224	.5037205	.1689275	.1071952	-.1689275	.2946089	.8372732	.9755887	1.026029	-.3266899	-.200022	-.8814972	-.5279112	.581393	1.135663
InsH2Bfabp_CD15_09dpf_VAST02_plate01_MMP28_210120_G07	210120	1	NIX02																								insH2Bfabp	CD15	MMP28	1	0	0	2	1	9	.0120923	0	1		11.604094	26.495403	7.9629264	8.0279848	1	14	112																								3485.695	767434.4	1004240	56_MMP28	1	1	3	5.533333	1	1	5	-1.428802	-1.428802	-1.685788	-.5810237	-.8824176	-.3077905	-1.138044	.5012977	.7817808	.8964733	1.959964																			
InsH2Bfabp_CD15_09dpf_VAST02_plate01_MMP28_210120_G09	210120	1	NI622																								insH2Bfabp	CD15	MMP28	1	0	0	2	1	9	.4778303	1	2	7.803167	10.719324	16.109712	6.7378608	4.9103208	1	7	56	218976	4380	3922	12188	3875	50	2.519e+09	1	2269218	104741	118	180	129	118	90	385714	7406	6705.7267	6414.7094	4.97e+07	-602.2279	-2249256	70	3580.461	780593.6	1074881	56_MMP28	1	1	2	6.383333	1	1	5	-1.138044	-1.299194	-1.090461	-1.299194	-2.162077	-.5821887	-1.503722	.2039612	-.2559625	.240426	-.6588377	-1.545513	-1.504199	-.2440025	-.2130021	-.3067468	-.1210967	.1689275	-.8814972	-1.260977	-1.260977	-.0152849	.9275163	.7946292	-1.026029	-.5995885	-.4084725	-1.195972	-1.079224	.3266899
InsH2Bfabp_CD15_09dpf_VAST02_plate02_MMP28_210120_D01	210120	2	NI627																								insH2Bfabp	CD15	MMP28	1	0	0	2	1	9	.0721436	0	1	10.335141	2.3480424	21.897158	4.3217592	4.0529632	1	12	61	129231	5874	4903	8891	3157	22	1.102e+09	1	1205832	57715	81	153	125	110	84	541761	6564	7614.8723	6263.4735	5.00e+07	496.6903	2566800	26	3821.98	920036	1325832	56_MMP28	1	1	2	7	1	1	5	-.1153556	-.0127893	.4354094	-.27188	.1153556	-.3957253	1.138044	-1.876359	-.5302197	-1.103063	1.200359	-.4460577	-.3067468	-.3067468	-.338562	-.2752391	-.0302049	-2.090361	-1.720366	.1071952	-.231311	-1.260977	.0764961	.231311	-1.41001	-1.49795	-1.59929	-1.49795	-1.260977	-.0918348
InsH2Bfabp_CD15_09dpf_VAST02_plate01_MMP28_210120_A02	210120	1	NI571																								insH2Bfabp	CD15	MMP28	1	0	0	2	1	9	0	0	1	15.541162	10.821413	18.26613	7.7247192	.779416	1	5	5	344042	5059	4191	6050	2186	68	2.096e+09	2	5033056	152219	130	331	184	109	130	770078	11616	6961.0466	6511.4641	8.09e+07	-468.317	2.61e+07	22	4310.513	1088055	1479466	56_MMP28	1	1	1	2.4	1	1	5	1.588183	1.503722	1.685788	1.951308	1.951308	1.91931	2.162077	.2822162	-2.572352	.8416212	.1130385	1.763728	1.338533	.2130021	.3707237	.1515802	.5383123	1.41001	.5995885	-.6365926	-.9755887	-.200022	-.7946292	-.5279112	1.331797	.6365926	.3919137	1.873672	.5279112	-.1844524
InsH2Bfabp_CD15_09dpf_VAST02_plate01_MMP28_210120_A09	210120	1	NI617																								insH2Bfabp	CD15	MMP28	1	0	0	2	1	9	.0259111	0	1	13.031542	7.2823344	18.947939	7.7247192	7.3265104	1	2	51	243172	7599	5799	6930	2152	32	1.809e+09	1	3779317	113557	136	275	155	105	44	576588	3776	6947.6348	6600.7198	2.62e+07	-593.7278	-3.12e+07	19	3704.211	915056.4	1208955	56_MMP28	1	1	2	6.066667	1	1	5	-.7069592	-.1411454	-.3798165	.920823	-.5510015	-1.19838	-1.045226	-.5894558	.5894558	.8416212	.3988551	.6571085	-.2130021	-.8245299	-.7226751	-.6839988	-.6463197	-1.452576	-.4588506	1.195972	.3266899	-.3919137	-.4930868	-.6365926	.425144	-.3591108	.6938044	1.000491	-.563388	-.4419345
InsH2Bfabp_CD15_09dpf_VAST02_plate02_MMP28_210120_G01	210120	2	NI630																								insH2Bfabp	CD15	MMP28	1	0	0	2	1	9	0	0	1	12.381439	7.5545712	22.436263	5.274588	5.2220872	1	15	64	401222	6471	4944	10640	3145	62	4.332e+09	1	4341865	172648	146	252	160	150	46	822264	3248	8263.3639	7457.9645	2.68e+07	-353.6794	-5.61e+07	0	4130.958	1046379	1475697	56_MMP28	1	1	2	7.15	1	1	5	1.241867	1.090461	1.588183	1.503722	.6427163		.4637077	-.5595922	-.1781746	-.5977601	1.372204	.2967378	1.726056	-.7424226	-.8899477	-.6463197	-1.26794	1.026029	1.135663	.4930868	-.1379956	1.135663	.4930868	.1689275	.9275163	1.260977	1.260977	.2628283	-.3106094	2.090361
InsH2Bfabp_CD15_09dpf_VAST02_plate01_MMP28_210120_G04	210120	1	NI590																								insH2Bfabp	CD15	MMP28	1	0	0	2	1	9	0	0	1	12.090435		16.299984	4.2196704	2.1044232	1	24	24	337590	5115	4638	6013	2047	66	2.067e+09	2	4152476	155367	125	258	176	121	137	518554	12112	9272.0591	7344.3746	1.12e+08	797.5497	3.28e+07	63	3982.293	918077.1	1248388	56_MMP28	1	1	1	4.1	1	1	5	.5510015	-.0639882	-.2191533	1.241867	-.27188	.6831604	1.002035		-1.22064	-1.200359	-.538836	.0417893	-.4032736	.3707237	.4362566	.4697212	.762464	1.331797	.563388	-.563388	-.6365926	-.231311	-.8372732	-.8372732	.7133814	.7133814	.0918348	.581393	.3266899	.5279112
InsH2Bfabp_CD15_09dpf_VAST02_plate01_MMP28_210120_B02	210120	1	NI572																								insH2Bfabp	CD15	MMP28	1	0	0	2	1	9	0	0	1	14.077217	6.0232392	19.756596	8.0650152	6.1573864	1	6	6	255252	6545	6761	3433	1273	39	8.883e+08	3	3068745	108570	123	247	168	86	65	604770	5579	9974.4255	8772.7065	5.56e+07	-292.3715	-6.63e+07	0	3847.16	929157.7	1272687	56_MMP28	1	2	1	2.45	2	1	5	-.0127893	.0639882	.0383762	.8452716	.27188		-.8636957	-.9674216	.2169044	1.015222	.6588377	1.085325	.0604375	-.4362566	-.4032736	-.2440025	-1.605273	-.8157657	-.3266899	.5995885	1.135663	-1.49795	-2.090361	-2.090361	-.2628283	-.4930868	-.1071952	.1534432	.0611754	-1.331797
InsH2Bfabp_CD15_09dpf_VAST02_plate01_MMP28_210120_H05	210120	1	NI596																								insH2Bfabp	CD15	MMP28	1	0	0	2	1	9	.3736918	1	2	10.835625	6.976068	18.488115	7.5886008	3.5853136	1	30	30	237027	5153	4731	13491	4324	46	3.026e+09	1	2739615	117718	113	218	179	94	56	404764	4336	5402.1206	5302.7574	2.34e+07	-510.5435	4558303	81	3672.143	828714.3	1110306	56_MMP28	1	2	1	4.55	2	1	5	-.809257	-.920823	-.8452716	-.7742626	-.7571173	.7183728	.27188	-.6508373	-.7647097	.755415	.1891184	-.3554904	-1.338533	-.5735608	-.6463197	-.9357584	.0302049	-.1844524	-.5279112	-.5279112	-.475899	.2628283	1.195972	1.195972	-.5279112	-.2946089	-.6365926	-.3919137	.3919137	-1.000491
InsH2Bfabp_CD15_09dpf_VAST02_plate01_MMP28_210120_E04	210120	1	NI588																								insH2Bfabp	CD15	MMP28	1	0	0	2	1	9	.4905426	1	2	9.0579771	8.677548	22.24599	6.8399496	4.4426712	1	22	22	286511	5027	4487	5048	2033	57	1.378e+09	1	4409851	158477	136	292	182	96	62	384164	5751	6323.6731	5636.9479	3.64e+07	-8.337262	7570201	26	3490.958	793199.4	1039964	56_MMP28	1	2	1	3.983333	2	1	5	-1.36114	-1.188354	-1.241867	-1.138044	-.7571173	.6151411	-1.36114	-.3219709	-.3487557	.3186394	1.310579	-1.16395	-1.605273	-.4697212	-.3707237	-.5037205	.0907253	.7738417	.200022	-.7133814	-.7533835	-.8814972	-1.41001	-.9275163	.9755887	.9755887	.6938044	1.260977	.475899	-.8591751
InsH2Bfabp_CD15_09dpf_VAST02_plate01_MMP28_210120_H07	210120	1	NI609																								insH2Bfabp	CD15	MMP28	1	0	0	2	1	9	.4059127	1	2	7.4894645	9.5963472	25.813594	7.316364	4.2088464	1	43	43	97002	4042	4704	9209	3398	24	8.527e+08	1	1064668	57855	85	138	127	85	92	328774	7000	6345.4341	4837.1718	4.44e+07	1016.992	3.94e+07		3472.511	658706.7	880513.6	56_MMP28	1	2	1	5.583333	2	1	5	-1.588183	-2.568836	-2.568836	-2.568836	-1.299194	-.9971714	-1.588183	.0126601	-.4727891	.5680515	1.811911	-1.644854	-2.51073	-.2130021	-.2752391	-.4032736	.9357584	-1.720366	-2.506447	-1.41001	-.563388	-1.720366	.1379956	.425144	-1.49795	-1.41001	-1.49795	-1.59929	-1.135663	-1.41001
InsH2Bfabp_CD15_09dpf_VAST02_plate01_MMP28_210120_E06	210120	1	NI600																								insH2Bfabp	CD15	MMP28	1	0	0	2	1	9	0	0	1	12.926975	6.125328	17.536754	5.2405584	7.8721016	1	34	34	634566	8938	7137	11321	3644	71	7.163e+09	1	6291602	246682	146	299	238	144	314	858454	24058	20540.665	16323.894	4.94e+08	798.5488	1.48e+08	9	3895.855	967812.8	1342326	56_MMP28	1	2	1	4.783333	2	1	5	.1930258	.4074555	.521468	-.0383762	.3253741	.9971714	.8452716	-.8894945	.7312173	-.628006	-.0376083	.5729675	2.51073	2.095297	2.095297	2.095297	2.095297	1.720366	2.506447	1.873672	1.41001	2.090361	.6744897	.563388	2.090361	2.506447	1.260977	1.41001	2.090361	1.49795
InsH2Bfabp_CD15_09dpf_VAST02_plate01_MMP28_210120_G03	210120	1	NI583																								insH2Bfabp	CD15	MMP28	1	0	0	2	1	9	.0102378	0	1	11.985867	16.708534	18.963795	5.0704104	3.89708	1	17	17	128885	5858	5144	6413	1636	22	8.054e+08	1	964600	52978	88	154	109	67	36	540952	3294	7690.6724	7476.4289	2.53e+07	-949.5403	-5.81e+07	98	3793.447	954788.2	1299245	56_MMP28	1	2	1	3.033333	2	1	5	-.2454314	.3253741	.1930258	1.588183	.0383762	.7916386	.521468	1.955661	-.5894558	-.7721932	.426148	-.0139262	-.338562	-1.00842	-.8034983	-.8034983	-1.416509	-2.090361	-1.873672	.0764961	.0152849	-1.873672	-.5995885	-1.59929	-1.59929	-1.59929	-1.331797	-1.41001	-1.49795	-1.59929
InsH2Bfabp_CD15_09dpf_VAST02_plate01_MMP28_210120_H09	210120	1	NI623																								insH2Bfabp	CD15	MMP28	1	0	0	2	1	9	.0314212	0	1	11.672165	13.57781	20.628677	8.7115776	3.8191384	1	8	57	180951	3934	4873	8884	3321	46	1.606e+09	1	1150	504	12	14	12	12	134	416868	11181	7520.5414	5538.9603	8.41e+07	1311.487	5.82e+07	36	3607.941	808108.2	1051164	56_MMP28	1	2	2	6.433333	2	1	5	-1.002035	-1.045226	-1.188354	-.4074555	-.4354094	-.9528633	-.5810237	1.051717	-.6665643	1.439531	1.036433	-.1116372	-1.203157	.3067468	.2440025	.2440025	1.416509	-.1844524	-1.135663	-1.720366	-.2628283	-.6744897	.045869	.3919137	-2.090361	-2.090361	-2.250926	-2.090361	-2.250926	-2.090361
InsH2Bfabp_CD15_09dpf_VAST02_plate01_MMP28_210120_E07	210120	1	NI607																								insH2Bfabp	CD15	MMP28	1	0	0	2	1	9	.5202373	1	2	13.345245	14.088254	20.406693	6.295476	5.455912	1	41	41	364766	4997	5042	11626	3896	73	4.318e+09	1	5298188	188946	147	275	240	120	177	732146	15488	9105.4808	7674.1026	1.41e+08	217.2249	5.17e+07	76	4317.923	1048712	1449439	56_MMP28	1	2	1	5.433333	2	1	5	1.802743	1.138044	1.36114	.7742626	1.503722	-.1940281	-.0639882	1.120205	-.0506606	-.0501536	.9741139	.9027348	.9836224	.762464	.9357584	.6839988	1.203157	1.970505	.8372732	-.7533835	-.1071952	1.079224	.7133814	.8372732	1.49795	1.720366	1.41001	1.000491	2.506447	.475899
InsH2Bfabp_CD15_09dpf_VAST02_plate01_MMP28_210120_B08	210120	1	NI611																								insH2Bfabp	CD15	MMP28	1	0	0	2	1	9	.0115062	0	1	12.508705	14.088254	27.240635	6.8739792	5.455912	1	45	45	226565	7080	5123	14555	4952	32	3.104e+09	1	1982592	88189	101	234	134	92	204	577068	16464	15065.675	12851.228	2.48e+08	-318.8984	4839786	3	3797.294	896259.8	1272373	56_MMP28	1	2	1	5.733333	2	1	5	-.2191533	-.2985202	.0127893	-.1411454	-.1670294	1.043529	-.6427163	1.120205	-.0506606	.3584588	2.575829	.3853205	-.1822052	.9836224	1.143064	1.033853	.0604375	-1.452576	-.6365926	.7946292	-.045869	.3266899	1.331797	1.41001	-1.195972	-1.079224	-.9275163	-.1071952	-.9512777	-1.079224
