filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	wtN214	inframeN214	frameshiftN214	wtN217	inframeN217	frameshiftN217	wtN220	inframeN220	frameshiftN220	glp1r_dich	qRNA	WT_KITA	mutant_KITA	KITA_confirmed	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLP1R_210927_F02	210927	1	NR713	insH2Bfabp	CD15	GLP1R	1	0	0	2	1	10	0	0	1	.0348556	.60534927	.35979513	0	.23024558	.53011633	1	4		5	0	15.387605	.3743256	.33297634	.5785032	1.169124	1	14	14	334849	6566	5058	14307	5392	51	4.494e+09	1	2844907	126168	122	236	135	120	123	619691	10944	14644.416	10619.664	1.60e+08	2004.128	-3.54e+07	39	4481.036	1088713	1494120	96_GLP1R	1	1	1	3.166667	1	1	4	1.543098	1.040203	.8353711	.8353711	1.118958	2.34813	.3593968	.2334853	1.326678	1.608653	.8979152	1.043158	.2658918	-.7000902	-.529045	-.3507093	-.3080234	-.2149745	.1068681	.5000764	-.0533578	.9962083	1.443299	1.614666	-.7607465	-.5614833	-.5614833	-.1337288	-1.19001	.3824499
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLP1R_210927_A04	210927	1	NR723	insH2Bfabp	CD15	GLP1R	1	0	0	2	1	10				.0036069	.3562429	.6401502	0	.23215058	.74151626	1	4		5	0	8.4951281	.3062664	.47568048	.4083552	1.2470656	1	24	24																											96_GLP1R	1	1	1	3.966667	1	1	4								-.2334853	1.683348	.5024022	1.608653	-.4668251																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLP1R_210927_G02	210927	1	NR714	insH2Bfabp	CD15	GLP1R	1	0	0	2	1	10	.07245344	.53168167	.3958649	.04797668	.43554523	.51647809	0	.18700275	.64013857	1	4		5	0	11.358157	.2382072	.11099211	.3743256	.7014744	1	15	15	318996	5500	5064	10117	3363	58	3.260e+09	1	3337716	134308	137	207	175	108	169	509690	13232	15272.248	13140.549	2.02e+08	-372.312	-5.33e+07	79	4027.193	921187.4	1286669	96_GLP1R	1	1	1	3.233333	1	1	4	.0439901	-.2216821	-.2216821	-.8353711	-.6607511	.0473125	.3128614	-.787876	.019283	.1744161	-1.683348	.2573935	-.529045	-.224227	-.3080234	-.1419788	-.4830894	.2149745	0	-.5614833	0	.0533578	.3824499	.325661	-.3824499	-.2149745	.2149745	-.7968608	.0266694	-.5614833
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLP1R_210927_A02	210927	1	NR708	insH2Bfabp	CD15	GLP1R	1	0	0	2	1	10	.90655716	.0501324	.04331044	1	0	0	.982964	0	.017036	0	1	1		0	11.252119	.2382072	.36468837	.5444736	1.169124	1	9	9	486953	6956	6483	9834	2540	70	4.995e+09	1	5528422	207454	151	281	193	143	115	678686	9872	13748.831	11508.024	1.36e+08	49.83657	-8.10e+07	59				96_GLP1R	1	1	1	2.775	1	1	4								-.787876	1.326678	1.326678	1.281552	.217107	.6744897	-.835874	-.6245627	-.529045	-.9567178	.9121265	1.087999	.9121265	.9121265	1.443299	.2149745	-.5000764	.9962083	.9962083	.9121265	.6578441	.5000764	.7968608
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLP1R_210927_A01	210927	1	NR700	insH2Bfabp	CD15	GLP1R	1	0	0	2	1	10	0	0	1	0	1	0	0	0	1	1	4		5	0		.3743256	.3012643	.170148	.7014744	1	1	1															86	550051	6242	10593.586	9483.534	6.61e+07	-692.7175	-1.03e+08	58	3872.064	928081.1	1296792	96_GLP1R	1	1	1	2.033333	1	1	4	-.5549229	-.0880656	-.1768208	.3128614	.4067242	1.906358	.8353711	.2334853	.019283	-1.37468	.7363159		-.3080234	-1.170163	-1.254453	-1.170163	-1.170163													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLP1R_210927_B02	210927	1	NR709	insH2Bfabp	CD15	GLP1R	1	0	0	2	1	10	.00890605	.29572327	.69537068	.05039189	.51335075	.43625736	0	.05533078	.94466922	1	4		5	0	9.6615473	.3743256	.23784024	.4083552	.5455912	1	10	10	238060	4668	3564	14892	5491	51	3.552e+09	2	3646883	129314	148	214	179	114	123	447314	8791	28693.957	22771.351	2.52e+08	1571.862	-2.31e+08	3	3991.058	868939.5	1243273	96_GLP1R	1	1	1	2.85	1	1	4	-.2216821	-.7164975	-.5043221	-.5043221	-.2216821	-.2876889	-.8994349	.2334853	-.5244005	.5024022	.313572	-.217107	-1.022696	-.7000902	-.9567178	.4381324	-2.405983	-.2149745	-.8340455	-1.19001	-1.443299	.325661	2.30304	1.853367	-.1606864	-.3824499	.7607465	-.5614833	.2149745	-.0266694
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLP1R_210927_C01	210927	1	NR702	insH2Bfabp	CD15	GLP1R	1	0	0	2	1	10	.01234475	.42875423	.55890102	.01470821	.58005166	.40524013	0	.41578483	.54009196	1	4		5	0	6.9045564	.170148	.22198422	.3062664	.7014744	1	3	3	333920	5386	5921	4229	1463	62	1.540e+09	1	4284324	164016	121	212	173	155	212	404336	16100	18960.927	16331.001	3.05e+08	-485.8629	-2.56e+07	77	3802.799	874920.9	1111816	96_GLP1R	1	1	1	2.3	1	1	4	-1.040203	-.5549229	-1.040203	.5549229	-.1768208	-1.073562	.8994349	-1.19838	.019283	-.313572	.1548709	-.8584844	-1.348744	.2658918	.2658918	.9567178	-.1419788	.5000764	.0533578	-.6913244	.6250856	-.9962083	-1.614666	-1.614666	.2699041	.325661	-.6250856	-.6913244	-.1606864	1.614666
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLP1R_211008_H01	211008	1	NR729	insH2Bfabp	CD15	GLP1R	1	0	0	2	1	10	0	.60032651	.39967349	.00599831	.29219918	.70180251	0	.21608651	.77817265	1	4		5	0	3.4972241	.170148	.20612821	.2382072	.389708	1	30	30	301540	5584	5015	8725	2554	54	2.658e+09	1	2480494	109033	124	192	142	113	102	340030	8056	14001.858	11568.015	1.13e+08	231.3689	-1.05e+08	0	4022.574	842636.1	1125902	96_GLP1R	2	2	2	3.516667	2	2	4	-.0439901	-.7745655	-.8353711	.0439901	-.4067242	-.6597193	-.1768208	-1.19838	-1.19838	-.7363159	-.0578776	-2.153875	-1.746955	-1.022696	-1.022696	-.6744897	-1.254453	.0266694	-.2699041	-.4405008	-.1606864	-.5000764	-.4405008	-.4405008	-1.087999	-.9962083	-.4405008	-1.087999	-.8340455	-.1337288
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLP1R_211008_B03	211008	1	NR737	insH2Bfabp	CD15	GLP1R	1	0	0	2	1	10	.07950607	.57222704	.3482669	0	.42893982	.57106018	.2649419	.17839027	.55666783	1	4		5	0	10.466636	.2722368	.57081658	.340296	.5455912	1	38	38															186	586671	15231	17577.095	14128.636	2.68e+08	754.9795	-1.10e+07	0				96_GLP1R	2	2	2	4.291667	2	2	4								-.4806444	-.5244005	-.1159498	1.768825	-.0980721	-.1419788	.0202161	.1012464	.6245627	-.1012464													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLP1R_211008_D03	211008	1	NR739	insH2Bfabp	CD15	GLP1R	1	0	0	2	1	10	.06081658	.53479586	.40438757	0	.31802568	.68197432	.06546388	.3108227	.62371342	1	4		5	0	10.939138	.2722368	.28540829	.4764144	.8573576	1	40	40															196	602464	15985	21224.251	16945.786	3.39e+08	1044.789	-6107231	15	3940.742	979342.1	1360988	96_GLP1R	2	2	2	4.483333	2	2	4	-.4067242	.2669941	.1768208	-.1768208	.6607511	1.505968	.1323128	-.4806444	.6151411	.8979152	.5691847	.0587829	.1012464	.1419788	.224227	1.254453	-.0202161													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLP1R_211008_A01	211008	1	NR724	insH2Bfabp	CD15	GLP1R	1	0	0	2	1	10	.03475229	.23422353	.73102418	0	.22381842	.77618157	.27592856	.17122488	.55284656	1	4		5	0	3.4972241	.1361184	.20612821	.170148	.4676496	1	25	25															120	457232	9044	7109.4247	6227.3298	6.43e+07	-296.2882	-2.74e+07	6	3975.426	814717.7	1085483	96_GLP1R	2	2	2	2.9	2	2	4	-.3128614	-1.205345	-1.205345	-1.412188	-.9674216	-.7824294	-1.040203	-1.608653	-.8979152	-1.37468	-.0578776	-2.153875	-.8946621	-.779842	-.779842	-1.254453	-.224227													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLP1R_211008_E03	211008	1	NR740	insH2Bfabp	CD15	GLP1R	1	0	0	2	1	10	1	0	0	1	0	0	1	0	0	0	1	1		0	6.0959877	.2382072	.19027219	.170148	.3117664	1	41	41															210	590114	16711	16889.523	14266.297	2.82e+08	-96.65067	269378.9	0	4073.217	970504.4	1341563	96_GLP1R	2	2	2	4.566667	2	2	4	.2669941	.0880656	.0439901	1.543098	.2669941	.6597193	.4067242	-.787876	-1.541986	-1.37468	-.313572	-1.229859	-.0606815	.224227	.4381324	.779842	.0606815													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLP1R_211008_A02	211008	1	NR730	insH2Bfabp	CD15	GLP1R	1	0	0	2	1	10	.96386123	0	.03613877	1	0	0	1	0	0	0	1	1		0	6.332239	.2722368	.36468837	.2722368	.6235328	1	31	31															129	586776	10438	16113.896	12824.336	1.68e+08	846.1825	-7.97e+07	24	4473.285	1082044	1483040	96_GLP1R	2	2	2	3.583333	2	2	4	1.412188	.9674216	.7745655	.5043221	1.543098	1.37281	.5549229	-.4806444	-.2334853	-.5244005	1.281552	-1.113194	-.1012464	-.5761465	-.5761465	-.2658918	-.8946621													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLP1R_211008_C02	211008	1	NR731	insH2Bfabp	CD15	GLP1R	1	0	0	2	1	10	.95427982	.01502726	.03069292	1	0	0	.98630305	0	.01369695	0	1	1		0	10.821012	.2382072	.34883235	.3743256	.8573576	1	32	32	360651	5912	4889	7873	2152	61	2.815e+09	1	4088367	164098	135	225	195	153	295	788240	24052	20823.073	17010.647	5.01e+08	566.3132	1.54e+08	1	3994.41	973704.5	1382492	96_GLP1R	2	2	2	3.7	2	2	4	-.1768208	.1323128	.3593968	-.1323128	.2216821	.4921101	1.118958	-.787876	.6151411	.1744161	1.053073	.0195843	1.093456	1.254453	1.585278	1.746955	1.585278	.3539128	.4405008	-.1068681	-.3824499	-.2699041	-.6913244	-.9121265	.1068681	.3824499	.1606864	-.4405008	.6913244	1.443299
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLP1R_211008_D02	211008	1	NR732	insH2Bfabp	CD15	GLP1R	1	0	0	2	1	10	0	.50063532	.49936468	0	.14676018	.85323982	0	.15044696	.84955304	1	4		5	0	6.4503646	.2722368	.19027219	.3062664	.389708	1	33	33															52	259735	4849	5900.8888	5175.3311	2.86e+07	-251.1019	-3.82e+07	0				96_GLP1R	2	2	2	3.783333	2	2	4								-.4806444	-1.19838	-.313572	-.313572	-1.043158	-2.405983	-1.456837	-1.456837	-2.405983	-.3507093													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLP1R_211008_H02	211008	1	NR735	insH2Bfabp	CD15	GLP1R	1	0	0	2	1	10	0	.40976486	.59023514	0	.3883647	.6116353	0	.39955594	.60044406	1	4		5	0	13.774153	.340296	.19027219	.1020888	.7014744	1	36	36															163	529290	14022	18603.44	15520.537	2.61e+08	122.5216	-5.08e+07	21	3890.531	917583.6	1246279	96_GLP1R	2	2	2	4.1	2	2	4	-.4549811	-.2669941	-.4549811	-.3128614	-.0880656	-.7197189	0	0	.019283	-2.423196	-.313572	.8584844	-.3940442	-.3507093	-.1012464	.529045	-.4381324													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLP1R_211008_F02	211008	1	NR734	insH2Bfabp	CD15	GLP1R	1	0	0	2	1	10	.01438058	.63336678	.35225264	0	.21606464	.78393537	.32692633	.15882021	.51425346	1	4		5	0	6.0959877	.1020888	.11099211	.340296	.1558832	1	35	35															103	352838	8944	7854.8721	6405.8719	7.03e+07	236.3811	-2.57e+07	0				96_GLP1R	2	2	2	3.983333	2	2	4								-1.993984	-2.423196	-.1159498	-1.683348	-1.229859	-1.585278	-.9567178	-.835874	-1.093456	-.1829481													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLP1R_211008_C03	211008	1	NR738	insH2Bfabp	CD15	GLP1R	1	0	0	2	1	10	.0162503	.59374242	.39000728	0	.30293189	.69706811	.24513283	.11838573	.63648144	1	4		5	0	7.9859976	.2382072	.23784024	.3743256	.7014744	1	39	39															154	481270	12623	22045.376	18422.696	2.78e+08	105.8022	-1.02e+08	22	4024.542	968037.1	1318026	96_GLP1R	2	2	2	4.4	2	2	4	0	.0439901	-.0439901	1.118958	-.6069868	-1.161883	-.0439901	-.787876	.019283	.1744161	.313572	-.5561256	-.6744897	-.3940442	-.3940442	.726158	-1.093456													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLP1R_211008_E02	211008	1	NR733	insH2Bfabp	CD15	GLP1R	1	0	0	2	1	10	0	.56150529	.43849471	0	.19126305	.80873695	0	.26450932	.73549068	1	4		5	0	3.6153498	.2722368	.15856016	.2722368	.3117664	1	34	34	267453	6523	4909	6676	2072	41	1.839e+09	1	2828385	109185	130	202	140	117	186	562240	13613	21655.416	17790.65	2.95e+08	469.0853	-7.06e+07	0	4082.385	987327.3	1344300	96_GLP1R	2	2	2	3.866667	2	2	4	.3128614	.3593968	.0880656	1.412188	-.5043221	.1423641	-.0880656	-.4806444	-1.541986	-.5244005	-.9271548	-1.76167	-.2658918	.0202161	-.1419788	.8946621	-.6744897	-.9533248	-.6913244	.4405008	-.325661	-.8340455	-.9121265	-1.19001	-.8340455	-.9121265	-.2149745	-.9121265	-.9121265	.1337288
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLP1R_211008_C01	211008	1	NR725	insH2Bfabp	CD15	GLP1R	1	0	0	2	1	10	.04693087	.55487684	.39819229	0	.36047503	.63952497	0	.26514326	.73485674	1	4		5	0	5.1509828	.340296	.17441618	.3062664	.4676496	1	26	26																								3863.36	839122	1059972	96_GLP1R	2	2	2	3.05	2	2	4	-.6607511	-.8994349	-1.543098	1.040203	-1.040203	.2876889	-.6069868	0	-.8979152	-.313572	-.5920066	-1.473468																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLP1R_211008_G01	211008	1	NR728	insH2Bfabp	CD15	GLP1R	1	0	0	2	1	10	.91642476	.01863004	.06494519	1	0	0	.98767317	0	.01232683	0	1	1		0	10.584761	.170148	.20612821	.3743256	.9352992	1	29	29	222968	4129	3883	4959	1955	54	1.076e+09	1	3502344	129003	110	244	214	115	180	688591	15295	13295.552	11202.909	2.03e+08	-39.82085	-6126241	12				96_GLP1R	2	2	2	3.408333	2	2	4								-1.19838	.7618428	.1744161	-.0578776	-.0587829	.779842	-.1012464	.1419788	-.1012464	-.0606815	.0266694	-.9121265	-1.614666	-1.306186	-1.306186	-1.443299	-1.306186	-.2149745	-.4405008	-1.041007	-.0266694	1.19001	.0533578
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLP1R_211008_H03	211008	1	NR743	insH2Bfabp	CD15	GLP1R	1	0	0	2	1	10	.03798472	.44680698	.5152083	0	.33750132	.66249868	.10038482	.13685287	.71784619	1	4		5	0	6.922867	.0680592	.17441618	.340296	.5455912	1	44	44	94839	2563	2299	14321	5520	37	1.279e+09	1	1559566	75493	109	184	120	96										3720.766	715709.8	960904.3	96_GLP1R	2	2	2	4.9	2	2	4	-1.543098	-2.375107	-2.375107	-1.040203	-2.375107	-.1903223	-1.205345	-2.423196	-.5244005	-.1159498	-.5920066	-.8031726						-1.19001	-1.614666	-2.30304	-2.30304	-1.087999	1.614666	2.30304	-1.443299	-1.306186	-1.19001	-1.19001	-1.443299	-1.19001
InsH2Bfabp_CD15_10dpf_VAST02_plate01_GLP1R_211018_G05	211018	1	NR750	insH2Bfabp	CD15	GLP1R	1	0	0	2	1	10	.9167755	.018059	.0651655	.93659754	0	.06340246	.95665809	.02016416	.02317775	0	1	1		0	9.0300772	.5785032	.03171203	.4083552	.779416	1	2	51	303060	7392	7413	9102	2939	41	2.663e+09	1	3738793	122542	154	244	148	118	287	665393	20193	19201.148	16886.319	3.88e+08	-907.4439	4.38e+07	6	4267.069	1012345	1430493	96_GLP1R	3	3	4	2.966667	3	3	4	.6607511	.5549229	.6607511	.8994349	.3593968	.8483799	-.3593968	1.281552	.3543496	.5024022	-1.993984	-.3601299	.6245627	1.022696	.8946621	1.456837	.835874	-.9533248	-.1068681	1.306186	1.443299	-.4405008	-.1606864	0	-.0533578	-.6913244	1.19001	-.0266694	-.6913244	.2423479
