filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	fto_nwt	fto_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate02_FTO_201118_B01	201118	2	NC353	insH2Bfabp	CD15	FTO	1	0	0	2	1	9	.1242533	0	1	4.0708865	.510444	.45982446	.4083552	.3117664	1	20	69	267489	4534	4202	7117	2416	59	1.853e+09	1	4668880	166258	132	289	202	116									117	4043.672	1012524	1418425	30_FTO	1	1	2	7.4	1	1	5	.477996	.1638325	.477996	-.3231583	-.1540745		.9096375	.4669679	-1.593219	-.5413951	.8439581	-1.293598						.4941332	-.8608639	-1.731664	-1.652244	-1.461277	-1.518899	-1.461277	.5048896	.5932254	-.0665126	.9523705	.7604767	-.2592342
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FTO_201118_B04	201118	1	NC307	insH2Bfabp	CD15	FTO	1	0	0	2	1	9	0	0	1	15.191562	.4083552	.38054438	.680592	2.0264816	1	23	23	288888	6280	5062	17486	6521	46	4.829e+09	1	3827982	123683	139	221	157	133	258	610570	21299	22170.699	17890.114	4.72e+08	-652.6315	1.23e+08	49	3971.063	1012704	1347022	30_FTO	1	1	1	4.05	1	1	5	.223522	.1812589	.1540745	.0773361	.1886844	-.2664988	-.4911962	.0737913	1.007436	1.438378	.3337581	1.11294	-.1468991	.788068	1.069884	.4340756	.7152533	-.3386831	-.6098145	-.5048896	-.8942052	-.1237476	.8662307	1.187962	-.0094949	-.5048896	.191052	-.5157048	-.6275435	.6744897
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FTO_201118_F01	201118	1	NC296	insH2Bfabp	CD15	FTO	1	0	0	2	1	9	0	0	1	16.376761	.2722368	.41225642	.6125328	1.7926568	1	12	12	360161	7062	6983	17772	5545	51	6.305e+09	1	3227652	118252	142	248	128	118	285	701524	21805	44899.687	33362.822	9.79e+08	6038.393	3.82e+08	9	3912.871	982183.3	1315948	30_FTO	1	1	1	3.116667	1	1	5	.0341104	-.0773361	.0170527	-.1812589	-.1196481	1.484482	.2515746	-.4128199	.659143	.8795835	.5700741	1.65511	.2970565	1.102894	1.137153	1.748994	1.84051	.0284883	.0766132	-.0094949	.7106959	.5048896	.9228975	.7604767	-.4203327	-.5932254	.3186394	.2494273	-1.77585	-.1237476
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FTO_201118_D07	201118	1	NC336	insH2Bfabp	CD15	FTO	1	0	0	2	1	9	.7694334	1	2	13.117464	.680592	.41225642	.680592	1.94854	1	3	52	724491	6192	5463	8408	2450	117	5.867e+09	1	8962360	273449	192	340	190	173	67	413618	4848	17556.301	11877.963	8.51e+07	964.759	-1.68e+08					30_FTO	1	1	2	6.116667	1	1	5								1.049131	.9039667	1.438378	.5700741	.5630122	-1.379037	-1.600494	-1.670146	-1.670146	-1.038	2.670415	1.931388	-.5932254	-.5932254	.3386831	-1.187962	-1.358698	2.076164	1.934674	2.277988	1.582058	.4099833	2.670415
InsH2Bfabp_CD15_09dpf_VAST02_plate02_FTO_201118_F01	201118	2	NC365	insH2Bfabp	CD15	FTO	1	0	0	2	1	9	.9625585	1	2	8.7861666	0	.23784024	.4083552	.7014744	1	32	81	209745	7491	6106	8439	2201	28	1.846e+09	1	2014825	84348	93	243	132	103	160	436046	10675	22187.321	19557.167	2.37e+08	-2363.964	-1.39e+08	61	3664.521	873081.7	1102620	30_FTO	1	1	2	8.116667	1	1	5	-.7458098	-.8102296	-1.052616	-.4528109	-.8391938	-.1918929	-1.142071	-2.061917	-.7321905	-.5413951	-.6796407	-.1230116	-1.1728	-.3066312	-.6460481	-.5798085	-.8653234	-2.076164	-1.578269	.2690661	-.0855575	-1.518899	-1.150349	-1.518899	-1.731664	-1.823803	-1.934674	.0665126	-1.408136	-.9228975
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FTO_201118_G04	201118	1	NC321	insH2Bfabp	CD15	FTO	1	0	0	2	1	9	1	1	2	9.660634	.340296	.34883235	.8847696	1.6367736	1	37	37	237243	7908	7414	9908	3717	30	2.438e+09	2	2766084	94635	112	168	153	112										3822.818	934421.4	1278968	30_FTO	1	1	1	5.033333	1	1	5	-.2763062	-.3595575	-.1540745	-.0257559	.085363	-.2104284	-.5303195	-.1397103	.4578519	2.333769	.1645718	.0438362						-1.731664	-1.264343	.5485223	1.013951	-1.227334	-.8942052	-.3996777	-.7860842	-1.312374	-1.029957	-2.076164	-.7990828	-.4411686
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FTO_201118_D01	201118	1	NC290	insH2Bfabp	CD15	FTO	1	0	0	2	1	9	1	1	2	16.277994	.4764144	.31712032	.2382072	1.7926568	1	6	6	261868	7935	6480	11602	3701	33	2.917e+09	1	2448464	103743	119	200	152	96	218	648826	18379	41138.332	28979.94	7.56e+08	6820.037	2.30e+08	22	4007.838	1049774	1468594	30_FTO	1	1	1	2.683333	1	1	5	.3661064	.4911962	.7458098	-.305121	.294066	-.1734231	.4911962	.3251097	.659143	-1.331555	.0081917	1.530576	-.0182976	.2590192	.5160215	1.069884	1.038	-1.4342	-.9472499	.5707313	.2987229	-1.013951	-.4621979	-.4411686	-1.227334	-.982695	-.6626172	-1.062786	-.8801318	-1.382994
InsH2Bfabp_CD15_09dpf_VAST02_plate02_FTO_201118_C04	201118	2	NC380	insH2Bfabp	CD15	FTO	1	0	0	2	1	9	.8967202	1	2	7.0715193	.4083552	.3012643	.4423848	.779416	1	47	96	294621	7366	7742	16847	6575	40	5.001e+09	1	3220469	121417	125	242	153	117	177	665787	14735	19008.724	14108.502	2.80e+08	105.1568	-8798420	15	4002.915	971252.1	1383060	30_FTO	1	1	2	9	1	1	5	.3298721	-.1291231	.3119191	-.2693359	-.3479321	.1734231	.2693359	.0737913	-.5797377	-.2737019	-.0820078	-.5940965	.0549173	-.2307381	-.0732517	-.3355287	.0732517	-.7860842	-.4982319	.162119	1.187962	.0094949	.639147	1.227334	-.4411686	-.5707313	-.3487557	-.0189907	-.7990828	-.1813911
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FTO_201118_F04	201118	1	NC318	insH2Bfabp	CD15	FTO	1	0	0	2	1	9	.1467412	0	1	10.944599	.2382072	.38054438	.6125328	1.0132408	1	34	34	354918	6227	6193	12748	3768	57	4.831e+09	1	3444496	144328	133	215	174	112										3299.035		1041803	30_FTO	1	1	1	4.766667	1	1	5	-2.706351		-1.465234	-.7634326	.5559701	.2664988	-1.175672	-.5700741	-.2907509	.8795835	.3337581	.2208942						.3996777	0	-.5485223	-.0094949	-.1046335	-.3186394	-.3588638	-.2987229	.0665126	-.0379883	-.6275435	.0379883	-.4411686
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FTO_201118_E07	201118	1	NC339	insH2Bfabp	CD15	FTO	1	0	0	2	1	9	0	0	1	12.327331	.2041776	.26955227	.6465624	1.169124	1	6	55															141	408290	9848	21790.756	17688.17	2.15e+08	-823.2536	-1.32e+08	206	3500.654	819906.6	1101588	30_FTO	1	1	2	6.333333	1	1	5	-1.573313	-1.368253	-1.082768	-1.977854	-1.371985	-2.685304	1.631714	-.8439581	-.0820078	1.138523	-.3511308	.3768384	-1.428025	-.4849142	-.8132785	-.7390873	-.8390169													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FTO_201118_C04	201118	1	NC310	insH2Bfabp	CD15	FTO	1	0	0	2	1	9	.062388	0	1	8.7717349	.340296	.26955227	.6465624	1.0911824	1	26	26															113	508179	8203	17663.032	12932.728	1.45e+08	-21.80768	-1.25e+08	53	3482.618	858516.9	1089012	30_FTO	1	1	1	4.216667	1	1	5	-1.781505	-.9096375	-1.146228	.1987405	-.0426427	.1183415	-.3413014	-.1397103	-.1895354	1.138523	-.3511308	-.1406937	-.6918188	-.8520964	-1.007138	-1.1728	-.788068													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FTO_201118_A07	201118	1	NC327	insH2Bfabp	CD15	FTO	1	0	0	2	1	9	0	0	1	15.981695	.2041776	.61838462	.6125328	1.169124	1	43	43	288326	7793	6422	7026	1886	37	2.107e+09	1	2721724	108861	125	221	157	90	226	525834	17898	25846.559	20904.901	4.63e+08	-101.6966	6.51e+07	0	3754.321	936769.1	1221396	30_FTO	1	1	1	5.5	1	1	5	-.4213913	-.2871825	-.440101	-.4911962	-.4028279	-.0818291	.0601266	-.8439581	-.0820078	.8795835	1.593219	1.356862	-.5798085	.4140573	.3942037	.3942037	.4952298	-1.079639	-.6330246	.4411686	.2396442	-1.312374	-1.652244	-1.582058	-.8662307	-.8942052	-.3487557	-.5157048	-.6275435	-1.876359
InsH2Bfabp_CD15_09dpf_VAST02_plate02_FTO_201118_D04	201118	2	NC382	insH2Bfabp	CD15	FTO	1	0	0	2	1	9	1	1	2	3.4278937	.2382072	.20612821	.3062664	.4676496	1	49	98	376463	7843	6736	11423	3506	48	4.386e+09	1	3471060	135914	129	261	161	100	191	668890	14555	29530.027	21173.031	4.30e+08	3303.847	2.80e+07	24	3740.663	943199.2	1277816	30_FTO	1	1	2	9.133333	1	1	5	-.4589661	-.2515746	-.1713538	-.7866157	-.3661064	-.3043391	-.0085844	-.5700741	-1.107741	-1.170425	-.9288995	-1.690622	.0916108	-.0916108	-.1284281	.2213531	.2213531	-.2396442	.2120589	.4621979	.4411686	-.3386831	-.5048896	-.6160238	-.2592342	-.1237476	-.1333212	.5375191	-.5157048	-1.114298
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FTO_201118_A04	201118	1	NC304	insH2Bfabp	CD15	FTO	1	0	0	2	1	9	.893474	1	2	14.697729	.0340296	.15856016	.680592	1.94854	1	20	20	356121	9625	6133	7084	1800	37	2.382e+09	1	4426258	139654	120	292	187	105	235	682218	16450	13376.082	11825.715	2.20e+08	-3161.302	-3.24e+07	11	3971.745	1190248	1426829	30_FTO	1	1	1	3.866667	1	1	5	.2410404	1.175672	.5361763	.5702721	.9950172	-.0454255	-1.048256	-1.654435	.9039667	1.438378	-1.623067	.9489278	.1839985	.4644355	.1839985	-.6918188	-.1284281	-1.079639	.0191357	1.461277	-.0284883	-1.268707	-1.582058	-1.652244	.3186394	-.0284883	-.5707313	1.013951	.2987229	-.8122178
InsH2Bfabp_CD15_09dpf_VAST02_plate02_FTO_201118_A04	201118	2	NC374	insH2Bfabp	CD15	FTO	1	0	0	2	1	9	.7965204	1	2	3.8565556	.2722368	.33297634	.3743256	.6235328	1	41	90	329196	7482	6378	13644	4164	44	4.956e+09	1	3600485	136127	134	256	131	126	115	705203	9888	16341.133	11201.594	1.62e+08	450.6707	-8.09e+07	32	4016.2	1014393	1399464	30_FTO	1	1	2	8.683333	1	1	5	.440101	.1987405	.4028279	-.3779342	.440101	-.7934147	-.6319841	-.4128199	-.9415848	-.8207921	.0902298	-1.450737	.3355287	-.788068	-.788068	-1.102894	-.3355287	-.4411686	-.1536793	.2396442	.2007308	-.0284883	-.1046335	-.0855575	-.1237476	-.1046335	.0189907	.4516583	-1.518899	.3690087
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FTO_201118_E08	201118	1	NC340	insH2Bfabp	CD15	FTO	1	0	0	2	1	9	.0801982	0	1	13.117464	.2382072	.41225642	.5444736	.3117664	1	7	56															240	560192	18812	22348.682	18521.977	4.20e+08	-1129.596	6.10e+07	171	3614.332	850935.4	1126052	30_FTO	1	2	2	6.416667	2	1	5	-1.023392	-.9628627	-.8887273	-.8343042	-.6270717	-1.214288	-.4433201	-.5700741	-1.593219	.4578519	.5700741	.5630122	-.5160215	.5582959	.6687583	.1468991	.47465													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FTO_201118_H08	201118	1	NC348	insH2Bfabp	CD15	FTO	1	0	0	2	1	9	.9760326	1	2		0	.17441618	.170148	.1558832	1	15	64															131	383884	8889	14938.409	11931.323	1.33e+08	-1708.442	-1.21e+08	209	3625.095	757011.8	1036585	30_FTO	1	2	2	6.966667	2	1	5	-.9405437	-2.704083	-1.635039	-1.631714	-1.871871	.3234205	-.9905245	-2.061917	-2.481805	-2.061917	-1.311934		-1.600494	-.6687583	-.919825	-1.289915	-.7152533													
InsH2Bfabp_CD15_09dpf_VAST02_plate02_FTO_201118_C02	201118	2	NC357	insH2Bfabp	CD15	FTO	1	0	0	2	1	9	.7576076	1	2	4.0708865	.680592	.42811243	.4764144	.389708	1	24	73	807245	7762	6479	15460	4754	104	1.151e+10	2	10039139	267982	190	328	267	144	101	973826	6689	14933.721	11234.844	9.99e+07	-991.206	-1.43e+08	1	4350.053	1135518	1545217	30_FTO	1	2	2	7.65	2	1	5	1.371985	.9359187	1.214676	1.5699	1.067571	.6295554	.8839701	1.049131	-1.274138	-.0163839	.6796407	-1.293598	1.428025	-1.038	-1.289915	-1.480702	-.8922428	2.166107	2.275086	.4203327	.2789242	1.731664	.3791918	.2396442	2.277988	1.731664	2.076164	1.461277	2.670415	1.168949
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FTO_201118_F08	201118	1	NC342	insH2Bfabp	CD15	FTO	1	0	0	2	1	9	.9188322	1	2	7.6853026	.2722368	.28540829	.2382072	.3117664	1	9	58	230665	4806	3551	2686	697	48	6.206e+08	1	2929281	116352	140	211	141	120	196	399514	14769	11750.07	9441.3621	1.74e+08	-2315.855	-4.08e+07		3606.963	807211	995820.9	30_FTO	1	2	2	6.55	2	1	5	-1.113937	-1.513562	-2.11991	-.9628627	-.9674216	.5223175	-1.700478	-.4128199	-1.593219	-1.331555	-.1978822	-.4532765	-1.480702	-.0182976	-.0549173	-1.038	-.2026405	-.2396442	-1.354514	-1.518899	-2.277988	-1.934674	-2.076164	-2.076164	-.639147	-.6626172	.2494273	-.7106959	-1.13214	.0094949
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FTO_201118_G08	201118	1	NC345	insH2Bfabp	CD15	FTO	1	0	0	2	1	9	1	1	2	16.179228	.6125328	.4915365	.6125328	1.7147152	1	12	61	243505	4969	5051	8286	3098	49	1.918e+09	1	2663258	102366	95	243	154	126	216	573857	18079	26545.205	19857.5	4.80e+08	1682.615	9.91e+07	22	3948.203	981914.1	1329496	30_FTO	1	2	2	6.816667	2	1	5	.1713538	-.0945685	.0682605	.5303195	.2322723	.5432517	1.977854	.809373	.5604634	.8795835	1.063442	1.402255	-.4542693	.1839985	.47465	.47465	.6460481	-.142907	-1.222883	-1.408136	-.9228975	-1.408136	-1.227334	-.8942052	-.9523705	-1.013951	-1.652244	.0665126	-.7229722	.3690087
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FTO_201118_C05	201118	1	NC311	insH2Bfabp	CD15	FTO	1	0	0	2	1	9	.0643432	0	1	11.635965	.2041776	.3012643	.6125328	1.3250072	1	27	27	293386	5536	5047	18649	5870	53	5.096e+09	1	3341984	129378	120	205	194	98	160	462688	12816	31032.125	21845.482	3.98e+08	4108.926	-1.48e+07	17	3504.357	825170.3	1115300	30_FTO	1	2	1	4.283333	2	1	5	-1.517059	-1.285464	-.9405437	-1.210656	-.3119191	-.6075616	.0429349	-.8439581	.098458	.8795835	-.0820078	.3301869	-.9481252	-.3066312	-.2970565	.0916108	.0549173	.2104284	-.5420468	-1.150349	-.9523705	.0284883	1.187962	.8662307	-.3588638	-.2592342	-.5707313	-.852495	.6045853	-1.207414
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FTO_201118_A05	201118	1	NC305	insH2Bfabp	CD15	FTO	1	0	0	2	1	9	1	1	2	16.277994	.340296	.19027219	.8167104	1.4808904	1	21	21	443328	6617	5510	15609	5236	67	6.435e+09	1	4954919	174897	147	306	165	122	202	574066	15711	21782.33	18781.855	3.42e+08	-1965.319	-2.14e+07	19	3663.558	903975.8	1219721	30_FTO	1	2	1	3.933333	2	1	5	-.7685224	-.550186	-.4589661	-1.461656	-.9405437	-.6295554	-.305121	-.1397103	.2822162	2.061917	-1.092736	1.530576	-.4340756	.0366013	.0549173	-.0916108	-.0366013	.773217	.656581	-.3186394	-.5707313	.5707313	.4203327	.4834336	.6864582	.7353585	.6045853	1.187962	-.3791918	.152506
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FTO_201118_B08	201118	1	NC331	insH2Bfabp	CD15	FTO	1	0	0	2	1	9	1	1	2	12.919931	.170148	.34883235	.5444736	1.8705984	1	47	47	273118	6661	5539	12647	4289	41	3.537e+09	1	3082718	116066	118	240	148	114									95	3730.846	1069348	1269248	30_FTO	1	2	1	5.766667	2	1	5	-.477996	.590591	-.2410404	.8343042	1.635039	-.2853679	-1.368253	-1.154327	.7868451	.4578519	.1645718	.4924834						-.7106959	-.7547789	-.2592342	-.5265806	-.5707313	-.3386831	-.0284883	-.5048896	-.6864582	-.7353585	-.0855575	-.982695	-.3086658
InsH2Bfabp_CD15_09dpf_VAST02_plate01_FTO_201118_E02	201118	1	NC294	insH2Bfabp	CD15	FTO	1	0	0	2	1	9	.9551807	1	2	8.6729683	.1361184	.28540829	.5444736	1.2470656	1	10	10	268907	6559	5606	23042	7671	41	6.087e+09	1	2521641	110102	115	242	153	94	152	362696	11439	35133.924	27203.945	4.02e+08	2656.505	-9.63e+07	48	3594.915	836789.3	1142860	30_FTO	1	2	1	2.966667	2	1	5	-1.146228	-1.109712	-.8391938	-1.368253	-.7916386	.481115	-.7634326	-1.311934	.0245773	.4578519	-.1978822	-.1761961	-1.950682	-.3745042	-.4542693	.1100008	-.47465	-.7106959	-.8066862	-.3386831	-.4834336	.4411686	1.731664	1.518899	-1.114298	-.8389183	-.8942052	-.0189907	-.7990828	-1.582058
