filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	anapc5_nwt	anapc5_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_10dpf_VAST02_plate02_ANAPC5_201207_E03	201207	2	NH133	insH2Bfabp	CD15	ANAPC5	1	0	0	2	1	10	.8433527	1	2	8.0049954	2.9946048	1.2209132	.8847696	.0779416	1	29	78	185575	5623	5814	9502	3837	33	1.767e+09	1	2069913	98356	116	188	130	102	166	384906	13120	11556.673	9770.7314	1.52e+08	-426.4648	1.77e+07	137	3445.898	723680.1	982572	38_ANAPC5	1	1	2	9.083333	1	1	3	-.9375322	-1.48947	-1.616156	-.2104284	-1.382994	-1.033036	-.8801318	-.4864239	-2.216363	-.7498695	.2533471	-1.35419	-1.201055	.4745116	.3635204	.1873945	.2219866	-1.436207	-1.073562	-.3373553	.3878687	-1.073562	.2387225	.7197189	-1.161883	-.9929082	-.6020065	-1.505968	-1.505968	-.8483799
InsH2Bfabp_CD15_10dpf_VAST02_plate02_ANAPC5_201207_D01	201207	2	NH120	insH2Bfabp	CD15	ANAPC5	1	0	0	2	1	10	1	1	2	11.444297	2.55222	.90379291	.0340296	.2338248	1	16	65															79	497696	6304	10300.756	8184.7593	6.49e+07	320.2965	-3.55e+07	24	3497.618	781924.4	1127443	38_ANAPC5	1	1	2	8.1	1	1	3	-.7229722	-.773217	-.4516583	-1.290233	-.6275435	-.6870306	-.0189907	-1.281552	-1.678071	-2.47474	-.7949086	-.0847849	-.1873945	-.6119958	-.8082982	-.7621911	-.6325508													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ANAPC5_201207_A08	201207	1	NH105	insH2Bfabp	CD15	ANAPC5	1	0	0	2	1	10	.0351575	0	1	13.104167	4.1856408	1.3319053	2.0758056	2.4941312	1	1	50															153	606858	11609	16301.28	12965.42	1.89e+08	284.0655	-1.20e+07	0	3639.925	912678.8	1263670	38_ANAPC5	1	1	2	6.483333	1	1	3	-.2494273	.1717471	.2494273	-.0950912	.1717471	1.263668	-.0950912	1.554774	.1004337	2.47474	.3406948	.3275615	.5127759	.2743915	.1530252	.3635204	-.2920214													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ANAPC5_201207_A04	201207	1	NH075	insH2Bfabp	CD15	ANAPC5	1	0	0	2	1	10	1	1	2	11.423746	3.6411672	1.1574892	.9528288	2.1044232	1	20	20	276507	5027	4110	11944	4101	55	3.318e+09	1	3708709	123138	154	212	157	134	164	476350	13643	19896.912	15439.961	2.71e+08	754.9842	1.80e+07	13	3674.444	848288.6	1201747	38_ANAPC5	1	1	1	4.2	1	1	3	-.0569997	-.3690087	-.0950912	-.6744897	-.4516583	.6870306	.5595922	.7063026	-.1509692	-.5631492	.0668933	-.1701847	-.3635204	.3999556	.5127759	.9061341	.2920214	.3878687	-.3373553	-1.073562	-1.073562	.3373553	.8483799	.9182451	.2387225	-.3373553	1.505968	-.6597193	-.6020065	1.505968
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ANAPC5_201207_A06	201207	1	NH090	insH2Bfabp	CD15	ANAPC5	1	0	0	2	1	10	.9671802	1	2	11.003641	2.4841608	1.5538896	1.2250656	1.0911824	1	35	35	213924	5093	3689	14463	5008	42	3.031e+09	1	2134143	101881	98	200	158	124	153	389996	12371	15334.396	12635.851	1.90e+08	-266.657	-4609604	58	3391.283	727971.8	975349.4	38_ANAPC5	1	1	1	5.166667	1	1	3	-1.207414	-1.382994	-1.77585	.5819415	-.0569997	-1.465234	-.4516583	-1.833915	-.8180418	-.0501536	.7279133	-.2743915	-1.071858	.2743915	.2920214	.3999556	-.1873945	-.7197189	-.9182451	-.8483799	-1.37281	.0947312	1.672937	1.505968	-1.073562	-.8483799	-1.073562	-1.161883	-.5189816	.7507051
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ANAPC5_201207_G08	201207	1	NH111	insH2Bfabp	CD15	ANAPC5	1	0	0	2	1	10	0	0	1	16.990141	5.95518	1.5697456	2.0077464	8.573576	1	7	56	516460	7708	6586	6745	1849	67	3.665e+09	1	6760348	211451	136	369	272	132	144	920530	14000	13849.289	10526.832	1.94e+08	911.3895	4.41e+07	0	4381.153	1217149	1655903	38_ANAPC5	1	1	2	7	1	1	3	2.428737	2.000424	2.428737	1.207414	1.290233	.7383242	.6275435	2.47474	2.47474	2.053749	.8180418	1.606755	2.048199	.0847849	.5916962	.4745116	.7621911	1.161883	1.672937	1.260339	1.161883	.8483799	-.9929082	-1.672937	2.34813	1.906358	.3624964	1.906358	1.906358	1.260339
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ANAPC5_201207_G04	201207	1	NH081	insH2Bfabp	CD15	ANAPC5	1	0	0	2	1	10	.8213779	1	2	4.386982	2.7904272	.85622486	.9528288	.8573576	1	26	26															79	317280	5791	4284.1197	3577.4045	2.48e+07	121.5735	2.15e+07	15				38_ANAPC5	1	1	1	4.55	1	1	3								-.7721932	-.9674216	-.5631492	-.9674216	-2.469942	-2.469942	-.6119958	-.9584461	-1.548003	.3999556													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ANAPC5_201207_D07	201207	1	NH101	insH2Bfabp	CD15	ANAPC5	1	0	0	2	1	10	.0174794	0	1	12.15893	4.0495224	1.8075858	1.4973024	7.4823936	1	46	46	351629	7326	5873	12558	4549	48	4.329e+09	1	4481633	182980	143	274	195	125	104	563288	8069	12406.119	10038.465	1.00e+08	84.90183	-3.94e+07	12	4045.384	994146.1	1337003	38_ANAPC5	1	1	1	6.2	1	1	3	.9375322	.6275435	.6275435	-.0189907	.6275435	-.1196481	.2888094	1.451407	2.053749	.6640369	1.20899	.0508319	.1873945	-.2920214	-.4745116	-.2219866	-.6744897	-.118514	.5462332	1.073562	.4921101	1.260339	.9929082	1.260339	.7824294	1.37281	.8149615	.6597193	.9929082	.8827738
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ANAPC5_201207_A05	201207	1	NH083	insH2Bfabp	CD15	ANAPC5	1	0	0	2	1	10	1	1	2	11.528772	2.7563976	.6976647	1.2590952	1.2470656	1	28	28	340690	6084	4703	10891	3411	56	3.717e+09	1	4651515	146908	139	316	172	107	29	494155	3040	10643.721	9669.8344	3.24e+07	-1212.01	-9.94e+07	68	3660.749	951633	1202615	38_ANAPC5	1	1	1	4.716667	1	1	3	-.2104284	.3286447	-.0189907	.0950912	.6744897		-2.428737	-.9410746	-.6850168	.0334279	-1.613358	-.0508319	-.2568465	-1.548003	-1.548003	-1.273889	-1.82788	.5462332	.4393922	.0947312	-.4393922	.9182451	.6597193	.2876889	.9182451	.5462332	.4921101	1.505968	.0473125	-.2144596
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ANAPC5_201207_D09	201207	1	NH116	insH2Bfabp	CD15	ANAPC5	1	0	0	2	1	10	.0230757	0	1	11.423746	3.1647528	1.0940651	.8167104	1.94854	1	12	61	255661	5810	4439	7463	2549	44	1.995e+09	1	2680588	116036	106	243	160	134	152	477245	12040	13944.233	11530.787	1.68e+08	-261.406	-3116755	5				38_ANAPC5	1	1	2	7.55	1	1	3								-.2189787	-.3230377	-.9944579	-.0501536	-.1701847	-.3275615	.2046599	.2219866	.2920214	-.1188359	-.6306003	-.4921101	-.0947312	-.6597193	-.6020065	-.6597193	-.3373553	-.7197189	-.4921101	-.9182451	.1423641	-.2387225	1.505968
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ANAPC5_201207_A02	201207	1	NH062	insH2Bfabp	CD15	ANAPC5	1	0	0	2	1	10	1	1	2	9.848351	3.5390784	1.1892012	1.531332	1.0911824	1	7	7	234510	7106	5223	11357	3672	33	2.695e+09	1	2446184	89422	94	238	190	92	86	412482	7312	7413.4294	6558.5045	5.42e+07	-513.4855	-1.19e+07	20	3507.087	780144.9	1090418	38_ANAPC5	1	1	1	2.933333	1	1	3	-.5819415	-.8254945	-.6275435	-1.616156	-.8254945	-.5427505	.9982012	.5244005	-.8180418	.8416212	.1509692	-.6533766	-.9061341	-.5518063	-.5518063	-.8561915	-.2568465	-1.436207	-.7824294	.8483799	0	-.0473125	.7824294	.6020065	-.8483799	-1.073562	-1.260339	-.118514	.6597193	-1.032396
InsH2Bfabp_CD15_10dpf_VAST02_plate02_ANAPC5_201207_A03	201207	2	NH129	insH2Bfabp	CD15	ANAPC5	1	0	0	2	1	10	0	0	1	12.59073	3.4369896	1.7441618	1.0889472	1.558832	1	25	74	330309	5795	6667	10832	4151	57	3.340e+09	1	3554976	141611	140	210	176	121	182	449094	13503	24843.511	20522.313	3.35e+08	-716.1302	-2.52e+07	30	3377.245	839585.6	1127338	38_ANAPC5	1	1	2	8.816667	1	1	3	-1.290233	-.4941332	-.4941332	-.7229722	-.2494273	-1.263668	.1333212	.3584588	-.4124631	-.2533471	1.14229	.2568465	-.7176502	.6744897	.4745116	1.35419	-.4369299	.7824294	.3373553	-.1903223	1.260339	.3878687	.5462332	.9929082	.0473125	.3373553	.6020065	-.7197189	.2144596	.6020065
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ANAPC5_201207_D01	201207	1	NH059	insH2Bfabp	CD15	ANAPC5	1	0	0	2	1	10	1	1	2	15.834852	3.1987824	1.9185779	1.4292432	2.6500144	1	4	4															206	798523	16342	6658.5859	5862.7099	1.09e+08	-389.718	5.74e+07	70	3877.969	896828	1288822	38_ANAPC5	1	1	1	2.683333	1	1	3	.5819415	-.0189907	.4099833	-.2888094	-1.029957	1.754382	-1.616156	-.0836517	.167894	.4864239	1.501086	.9584461	1.548003	1.071858	1.013522	-.1530252	.9061341													
InsH2Bfabp_CD15_10dpf_VAST02_plate02_ANAPC5_201207_D03	201207	2	NH132	insH2Bfabp	CD15	ANAPC5	1	0	0	2	1	10	1	1	2	6.6037986	2.7904272	1.0940651	.8847696	.8573576	1	28	77	328319	7137	4933	9434	2886	46	2.972e+09	1	3242347	135272	123	237	186	105	139	322536	10723	6884.9862	5715.2708	7.38e+07	22.86036	2.55e+07	68				38_ANAPC5	1	1	2	9.016666	1	1	3								-.7721932	-.9674216	-.7498695	-.0501536	-1.82788	-2.048199	.0508319	.0169375	-.5518063	.5127759	-.3124258	.2876889	.9182451	-.2387225	.0473125	.1903223	-.0473125	-.2876889	.0473125	-.0947312	-.1903223	.5189816	-.4393922
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ANAPC5_201207_D03	201207	1	NH070	insH2Bfabp	CD15	ANAPC5	1	0	0	2	1	10	.9506284	1	2	8.6930614	3.1987824	1.2367692	.85074	1.4029488	1	15	15															193	453086	14238	16933.862	13743.458	2.41e+08	-65.81598	2.34e+07	77	3493.29	773400.9	1081146	38_ANAPC5	1	1	1	3.75	1	1	3	-.773217	-.9375322	-.6744897	-1.13214	-.7229722	-.0796597	-.2494273	-.0836517	-.6027625	-.8656782	.3054808	-1.042247	-.5916962	.8561915	.6325508	.7621911	.4369299													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ANAPC5_201207_A01	201207	1	NH056	insH2Bfabp	CD15	ANAPC5	1	0	0	2	1	10	0	0	1	16.885115	3.5390784	1.6490257	1.2250656	2.9617808	1	1	1															100	573200	7040	5308.0622	4201.112	3.74e+07	357.9326	2.09e+07	0	3909.455	938757.9	1378125	38_ANAPC5	1	1	1	2.4	1	1	3	.6744897	.2104284	.8254945	-.0569997	1.616156	.2002695	2.428737	.5244005	.236128	-.0501536	.9674216	1.35419	.2920214	-.4369299	-.5916962	-1.201055	.3635204													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ANAPC5_201207_D04	201207	1	NH078	insH2Bfabp	CD15	ANAPC5	1	0	0	2	1	10	.0384136	0	1	13.734325	3.913404	1.4270414	1.531332	5.1441456	1	23	23	319201	6138	5364	12541	4040	52	4.033e+09	3	3813453	136177	125	239	217	111	100	828196	8752	14700.704	12402.182	1.29e+08	-605.2842	-6.07e+07	1	3720.906	901613.2	1287641	38_ANAPC5	1	1	1	4.366667	1	1	3	.0950912	.0189907	.3690087	-.1333212	.0950912	.3238762	-.2104284	1.080319	1.050837	.8416212	.4864239	.4935534	1.671644	-.4369299	-.3275615	-.0169375	-1.013522	.1423641	.1903223	.1423641	.1903223	1.073562	.9182451	.8483799	.3878687	.1423641	-.0473125	-.0236496	1.37281	-.0473125
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ANAPC5_201207_D05	201207	1	NH086	insH2Bfabp	CD15	ANAPC5	1	0	0	2	1	10	0	0	1	12.368983	2.9605752	1.9027219	.680592	1.94854	1	31	31	131289	5050	4210	5211	1952	26	6.695e+08	1	1486330	66794	93	193	128	79	222	519384	18000	18966.761	16264.738	3.41e+08	-1216.651	7.06e+07	16	3752.384	878883.7	1231639	38_ANAPC5	1	1	1	4.916667	1	1	3	.2494273	-.1717471	.0950912	-.4099833	-.8801318	1.980752	.0189907	-.6027625	-.3230377	-1.244452	1.361571	.1701847	-.0508319	1.201055	1.35419	1.444321	1.13409	-1.906358	-2.34813	-.9929082	-.9929082	-2.34813	-1.906358	-1.505968	-1.505968	-1.505968	-1.37281	-1.314496	-1.672937	-1.505968
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ANAPC5_201207_H01	201207	1	NH061	insH2Bfabp	CD15	ANAPC5	1	0	0	2	1	10	1	1	2	9.3232194	3.6071376	.66595267	1.2590952	.6235328	1	6	6															70	365246	4976	5128.212	4243.51	2.55e+07	124.5445	8203223	345	3376.8	705900.3	986430.1	38_ANAPC5	1	2	1	2.866667	2	1	3	-1.382994	-1.77585	-1.48947	-1.77585	-1.48947	-1.980752	-.1333212	.6229257	-1.174987	.0334279	-2.053749	-.8320063	-1.671644	-1.042247	-1.201055	-1.444321	.0847849													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ANAPC5_201207_G03	201207	1	NH073	insH2Bfabp	CD15	ANAPC5	1	0	0	2	1	10	.9745709	1	2	6.6975612	3.062664	1.0940651	.6465624	.0779416	1	18	18	171912	5928	6201	11208	3374	29	1.980e+09	1	1574147	80342	97	161	139	105	150	452108	12213	16237.069	12254.365	1.98e+08	1117.735	1.20e+07	54	3396.556	711792	962788.4	38_ANAPC5	1	2	1	4	2	1	3	-1.062786	-1.616156	-2.428737	-.5375191	-2.428737	-.9674216	-.3286447	-.3406948	-2.216363	-1.361571	-.0501536	-1.671644	-.6744897	.1188359	.2568465	.5518063	.1530252	-1.672937	-1.260339	.0473125	.9929082	-.8483799	.7197189	.2387225	-1.260339	-1.260339	-1.161883	-1.906358	-.9929082	-.4393922
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ANAPC5_201207_B05	201207	1	NH084	insH2Bfabp	CD15	ANAPC5	1	0	0	2	1	10	.020095	0	1	10.478509	2.9946048	1.6807377	.7486512	2.4161896	1	29	29	310285	6895	7159	8625	2814	45	2.611e+09	3	1154	525	12	15	14	10	223	500438	16655	17958.972	15615.793	2.99e+08	-1404.987	4.19e+07	113	3263.686	775075.7	1091330	38_ANAPC5	1	2	1	4.766667	2	1	3	-2.428737	-.8801318	-.5819415	-1.48947	-.6744897	-.8473045	.0950912	-.4864239	.0334279	-1.14229	1.080319	-.4935534	-.1530252	1.273889	1.071858	1.201055	.6744897	-.4921101	-.0473125	.7197189	1.672937	-.1423641	-.1423641	-.1903223	-2.34813	-2.34813	-2.34813	-2.34813	-2.34813	-2.34813
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ANAPC5_201207_B06	201207	1	NH091	insH2Bfabp	CD15	ANAPC5	1	0	0	2	1	10	.0140479	0	1	14.574536	3.6751968	1.0782091	1.3952136	2.1044232	1	36	36	303930	7413	5154	9141	2291	41	2.883e+09	1	2395466	107501	117	225	134	107	75	484803	6608	14804.401	11981.242	9.78e+07	29.95185	-8.27e+07	86	3674.653	973510.1	1271850	38_ANAPC5	1	2	1	5.216667	2	1	3	-.0189907	.4941332	.2888094	.6275435	0	-.7916386	.773217	.7721932	-.1509692	.3584588	-.1509692	.7176502	-.2920214	-.7621911	-.7176502	-.2568465	-1.548003	-.8149615	-.1423641	1.161883	-.0947312	0	.0473125	-.7197189	-.9182451	-.7197189	-.4655894	-.4655894	-1.37281	-.2144596
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ANAPC5_201207_E08	201207	1	NH109	insH2Bfabp	CD15	ANAPC5	1	0	0	2	1	10	.9061826	1	2	11.003641	3.0286344	1.0782091	1.4292432	5.9235616	1	5	54	318559	5056	3840	7780	2472	63	2.435e+09	1	3979777	144972	120	276	183	119	118	643742	9488	13892.882	9844.4699	1.32e+08	1816.631	-3624791	15	3606.458	905172.1	1262220	38_ANAPC5	1	2	2	6.85	2	1	3	-.3690087	.1333212	.2104284	-.3690087	.4941332	-.7383242	1.13214	-.4124631	1.554774	.4864239	-.1509692	-.2743915	.6744897	-.1873945	-.2219866	.0169375	-.1530252	1.073562	.1423641	-.9182451	-1.260339	-.2876889	-.4393922	-.4393922	.4921101	.4393922	-.2144596	.7824294	.3878687	.4921101
InsH2Bfabp_CD15_10dpf_VAST02_plate02_ANAPC5_201207_E02	201207	2	NH127	insH2Bfabp	CD15	ANAPC5	1	0	0	2	1	10	.9808232	1	2	8.7692845	2.5181904	1.030641	.680592	2.0264816	1	23	72															74	384466	5848	15396.958	11072.478	9.00e+07	1770.046	-7.13e+07	23	3491.496	888738.1	1139645	38_ANAPC5	1	2	2	8.633333	2	1	3	-.8254945	-.0569997	-.4099833	.3286447	.7990828	.9674216	.0569997	-1.451407	-.2533471	-1.244452	-.3584588	-.9584461	-1.35419	-.8320063	-.9061341	-.2920214	-1.201055													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_ANAPC5_201207_B08	201207	1	NH106	insH2Bfabp	CD15	ANAPC5	1	0	0	2	1	10	.8172811	1	2	8.5880351	2.6543088	1.3636174	.85074	1.4808904	1	2	51	341693	6447	6064	8859	2748	53	3.110e+09	1	4732950	143528	155	233	192	117	123	429150	9596	9352.6925	7516.8874	8.97e+07	215.5845	3397302	2	3300.34	692800.9	1002879	38_ANAPC5	1	2	2	6.566667	2	1	3	-1.616156	-2.000424	-1.290233	-2.428737	-1.616156	-.0397983	-.4941332	-1.174987	-.5053211	-.8656782	.4124631	-1.13409	-.8561915	-.1188359	-.1530252	-.3275615	-.0169375	.2876889	.4921101	.4393922	.7197189	.2387225	-.0473125	-.2387225	1.073562	.3878687	1.672937	-.3373553	.7507051	.4134932
