filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	sod3a_nwt	sod3b_nwt	sod3_nwt	sod3_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SOD3_200924_G04	200924	1	NE060	insH2Bfabp	CD15	SOD3	1	0	0	2	1	10	.9526138	.5557699	.7541918	1	3	10.588914	10.413058	13.081213	3.1987824	13.717722	1	2	51																								3769.074	885478.2	1221292	10_SOD3	1	1	2	6.683333	1	1	4	-1.202508	-1.862732	-1.202508	.9265376	-1.318011	1.862732	-.4405008	-.5149938	-.8833463	-1.245046	1.245046	-.755415																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SOD3_200924_G05	200924	1	NE068	insH2Bfabp	CD15	SOD3	1	0	0	2	1	10	0	0	0	0	1	19.127082	12.352745	5.5496056	3.1647528	15.822145	1	10	59	494612	6261	5308	5960	1983	79	3.082e+09	1	6111301	195465	174	269	184	142	20	836758	1456	9267.9368	8228.2936	1.35e+07	-548.1962	-2.76e+07	80	4361.315	1137372	1558869	10_SOD3	1	1	2	7.25	1	1	4	1.202508	.7764218	1.00999	.291285	.1838047	-.6420614	.9962083	.0411038	0	-1.339746	-1.160362	1.382994	1.016222	-.6744897	-.7514516	-.7514516	-.8331469	.8808881	.4935534	-.2743915	-.2046599	-.6533766	-1.312981	-1.312981	.4183713	.2046599	.9319713	-.2743915	-.7397372	.7397372
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SOD3_200924_E06	200924	1	NE073	insH2Bfabp	CD15	SOD3	1	0	0	2	1	10	1	1	1	1	3	6.5109827	13.169455	8.942793	3.9814632	15.276554	1	15	64																											10_SOD3	1	1	2	7.625	1	1	4								.2279667	-.2703575	-.8241822	.2279667	-1.001331																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SOD3_200924_A07	200924	1	NE076	insH2Bfabp	CD15	SOD3	1	0	0	2	1	10	1	1	1	1	3	15.176587	7.2142752	5.898438	5.9211504	16.835386	1	18	67	477588	6633	4911	11064	4071	72	5.267e+09	1	6496795	192659	178	284	202	130									43	4269.739	1053856	1456811	10_SOD3	1	1	2	7.916667	1	1	4	.6420614	-.0261137	.0784124	1.454408	-.0261137	-.4022501	.1606864	-1.160362	.4916726	.1651163	-1.012131	.4537622						.5716375	.4183713	-.0677986	-.6533766	.2046599	-.2046599	.1359107	.5716375	.0677986	1.166919	.1359107	.1701847	.1359107
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SOD3_200924_G03	200924	1	NE053	insH2Bfabp	CD15	SOD3	1	0	0	2	1	10	.8855856	1	.9427928	1	3	4.7268877	13.64587	5.7240218	6.3635352	10.755941	1	44	44																								4289.319	1054992	1467144	10_SOD3	1	1	1	5.583333	1	1	4	.8490862	.0261137	.1838047	-.0784124	.4022501	-.3462343	.6913244	.3348942	-2.400036	.3567066	-1.08327	-1.56892																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SOD3_200924_C05	200924	1	NE064	insH2Bfabp	CD15	SOD3	1	0	0	2	1	10	0	0	0	0	1	6.8932887	17.253007	5.2641973	7.1802456	16.601561	1	6	55	910876	7591	6370	5771	1751	120	5.319e+09	2	12412306	312429	236	295	271	194	18	828004	1472	9883.0625	8280.6349	1.45e+07	2.636654	-2.67e+07	18	4294.7	1176446	1650191	10_SOD3	1	1	2	6.966667	1	1	4	.9265376	1.101146	1.624981	.3462343	.518418	1.202508	1.853367	1.339746	.3786901	.7956603	-1.339746	-.9345893	.920823	-.7514516	-.6744897	-.5312607	-.7514516	2.211127	2.211127	.5716375	.7397372	.2743915	-1.494155	-1.744448	2.211127	1.744448	2.211127	.5716375	2.211127	2.211127
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SOD3_200924_A04	200924	1	NE055	insH2Bfabp	CD15	SOD3	1	0	0	2	1	10	.8903618	1	.9451809	1	3	14.029668	10.923502	4.4555405	7.4184528	16.601561	1	46	46	356489	6990	6027	13102	4248	51	4.592e+09	1	5559765	194752	147	275	213	145	15	593094	944	8834.7956	8838.9263	8340047	-1731.401	-3.47e+07	65	3982.756	1013990	1408017	10_SOD3	1	1	1	6.316667	1	1	4	-.3462343	-.4022501	-.291285	-1.00999	-.1838047	-1.318011	-.1068681	-.3348942	.3786901	1.012131	-2.400036	.1891184	-1.241867	-.9674216	-1.016222	-1.1219	-.920823	-.1701847	-.1359107	.2046599	.2743915	0	.0677986	.2743915	.1359107	.1359107	0	-.1017956	.5716375	.8320063
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SOD3_200924_E01	200924	1	NE042	insH2Bfabp	CD15	SOD3	1	0	0	2	1	10	1	1	1	1	3	17.342988	20.792086	6.2631263	7.1121864	14.653021	1	33	33															164	796560	13536	3586.3247	2961.317	4.85e+07	239.8223	2.35e+07					10_SOD3	1	1	1	4.594444	1	1	4								2.400036	-.5149938	.7137046	-.8833463	1.072861	.6013318	1.241867	1.241867	.7514516	1.016222													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SOD3_200924_C08	200924	1	NE080	insH2Bfabp	CD15	SOD3	1	0	0	2	1	10	1	1	1	1	3	15.813763	14.156314	15.713312	7.826808	14.341254	1	22	71	677703	9036	5742	14415	4795	75	9.310e+09	1	7841434	247368	156	279	236	151	3	749638	352	14649.477	11724.934	5156616	538.2857	-4.67e+07	0	4287.434	1164812	1553366	10_SOD3	1	1	2	8.25	1	1	4	.7076435	.9265376	.9265376	.7764218	1.00999	.1309267	.2699041	.5867419	-.6362858	1.339746	1.339746	.6744897	.27188	-1.558784	-1.241867	-1.241867	-2.260189	.6533766	1.166919	1.312981	.0677986	1.494155	.4183713	.4935534	1.312981	1.166919	.2046599	0	1.494155	1.042247
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SOD3_200924_C07	200924	1	NE078	insH2Bfabp	CD15	SOD3	1	0	0	2	1	10	1	1	1	1	3	14.284539	10.957531	7.7694478	7.6226304	17.53686	1	20	69	617818	6865	5218	15593	5314	90	9.347e+09	2	7539848	270239	164	303	230	147	4	696970	288	16291.188	11078.903	4691862	2973.54	-4.52e+07	18	4288.179	1091973	1472378	10_SOD3	1	1	2	8.066667	1	1	4	.7764218	.291285	.4022501	.8490862	-.4595582	-.291285	.5000764	-.2917317	.6616482	1.08327	-.2491061	.3629173	-.3343768	-1.241867	-1.558784	-1.558784	-1.558784	1.312981	.8320063	.0338798	-.2743915	1.744448	.5716375	.7397372	1.042247	1.312981	.7397372	.8320063	1.166919	.9319713
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SOD3_200924_B03	200924	1	NE050	insH2Bfabp	CD15	SOD3	1	0	0	2	1	10	1	1	1	1	3	11.990703	16.674504	7.1193512	5.2405584	12.860364	1	41	41	566725	8096	6885	10021	3704	70	5.709e+09	2	6635660	221192	161	253	210	152	123	732312	9649	18754.52	17275.85	1.81e+08	-2175.075	1.12e+08	38	4401.403	1106881	1469925	10_SOD3	1	2	1	5.35	2	1	4	1.454408	.4022501	.291285	1.624981	.0784124	.7764218	.7607465	1.245046	-1.160362	-.0411038	-.6113263	-.2318344	.0896424	1.016222	1.016222	2.260189	2.260189	.4935534	.6533766	.9319713	1.042247	.4935534	-.3454851	-.1017956	.6533766	.7397372	.5321897	-1.042247	.3816746	1.166919
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SOD3_200924_D02	200924	1	NE046	insH2Bfabp	CD15	SOD3	1	0	0	2	1	10	.9120029	1	.9560015	1	3	19.127082	15.789734	9.2440573	7.7927784	15.276554	1	37	37																											10_SOD3	1	2	1	5	2	1	4								1.012131	-.2703575	1.245046	.2917317	1.382994																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SOD3_200924_D05	200924	1	NE065	insH2Bfabp	CD15	SOD3	1	0	0	2	1	10	1	1	1	1	3	15.304022	16.572415	7.4523275	7.6906896	19.4854	1	7	56	679744	9996	9358	8957	3335	68	5.991e+09	2	8489047	243855	192	290	200	178													10_SOD3	1	2	2	7.033333	2	1	4								1.160362	1.160362	1.160362	-.423225	.5977601						.4183713	1.312981	1.744448	2.211127	.5716375	-.7397372	-.3454851	1.494155	1.042247	1.494155	.4935534	0	1.494155
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SOD3_200924_H03	200924	1	NE054	insH2Bfabp	CD15	SOD3	1	0	0	2	1	10	1	1	1	1	3	11.098655	12.148567	9.7831619	4.3217592	11.69124	1	45	45																							11	3731.562	870195.6	1206637	10_SOD3	1	2	1	5.666667	2	1	4	-1.318011	-2.310991	-1.318011	-.9265376	-1.624981	-.0784124	1.443299	-.0411038	-1.448272	-.6616482	.5625072	-.6744897																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SOD3_200924_B09	200924	1	NE083	insH2Bfabp	CD15	SOD3	1	0	0	2	1	10	.8836648	1	.9418324	1	3	6.3835473	14.224373	18.012434	4.9002624	17.06921	1	25	74															15	524166	1023	8566.2326	9141.2544	8763256	-2371.325	-3.52e+07	21	4094.698	1038887	1406866	10_SOD3	1	2	2	8.466666	2	1	4	-.1309267	-.1838047	-.3462343	.518418	1.101146	.4022501	-.2149745	.6616482	.5625072	-.1651163	1.967025	-1.072861	-1.382994	-.9674216	-.920823	-1.016222	-1.016222													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SOD3_200924_B05	200924	1	NE063	insH2Bfabp	CD15	SOD3	1	0	0	2	1	10	1	.794476	.897238	1	3	7.4030301	19.396872	6.6119587	5.3426472	15.432437	1	5	54																							5	4445.567	1288463	1759068	10_SOD3	1	2	2	6.9	2	1	4	1.624981	2.310991	2.310991	1.862732	1.624981	-.0261137	1.306186	1.967025	-.2069287	.0205476	-.8241822	-.871771																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SOD3_200924_D01	200924	1	NE041	insH2Bfabp	CD15	SOD3	1	0	0	2	1	10	1	1	1	1	3	6.256112	11.05962	7.1352072	6.125328	16.289794	1	32	32															3	451541	128	4540.2109	3533.9165	581147	490.3624	-2.62e+07	0	4247.278	1176476	1513530	10_SOD3	1	2	1	4.483333	2	1	4	.518418	1.202508	.6420614	1.00999	.0261137	-.2372021	.9121265	-.2491061	.2491061	.2491061	-.5385985	-1.150349	-2.260189	-1.558784	-1.802743	-1.802743	-.6744897													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SOD3_200924_F04	200924	1	NE059	insH2Bfabp	CD15	SOD3	1	0	0	2	1	10	.9031058	1	.9515529	1	3	16.45094	12.488863	9.7038818	4.5599664	11.535357	1	1	50															119	906738	9127	12036.487	10720.179	1.10e+08	-840.525	6.11e+07	17	4371.733	1164513	1533164	10_SOD3	1	2	2	6.6	2	1	4	1.318011	.8490862	.7764218	2.310991	.9265376	.5791321	0	.1235907	-1.652854	-.4008581	.4686158	.8122178	1.558784	.8331469	.7514516	1.558784	1.558784													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SOD3_200924_D06	200924	1	NE072	insH2Bfabp	CD15	SOD3	1	0	0	2	1	10	0	0	0	0	1	11.098655	14.054225	11.210203	2.4161016	19.173634	1	14	63	318822	6251	4929	10056	4514	51	3.290e+09	1	4180646	167644	136	289	169	126									9	3847.274	891549.4	1193014	10_SOD3	1	2	2	7.55	2	1	4	-.8490862	-1.624981	-1.624981	-1.624981	-.741594	1.624981	-.1606864	.5149938	1.08327	-1.739384	.6616482	-.6744897						-.1701847	-.4935534	-.3454851	-.4935534	-.4183713	-.2743915	.3454851	-.5716375	-.1359107	-.4183713	.4183713	-.9856104	-.0338798
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SOD3_200924_B06	200924	1	NE070	insH2Bfabp	CD15	SOD3	1	0	0	2	1	10	.9569193	1	.9784596	1	3	11.863267	8.337252	5.0897811	4.4919072	15.900086	1	12	61															16	665142	1296	20272.729	15685.216	2.63e+07	1296.971	-3.77e+07	34	3889.424	938144.8	1262863	10_SOD3	1	2	2	7.4	2	1	4	-.7764218	-.9265376	-.9265376	-.4022501	.4595582	.0784124	1.087999	-.9457771	.0822773	-.4916726	-1.448272	-.3186394	-.5312607	-.8331469	-.8331469	.27188	-1.241867													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SOD3_200924_B07	200924	1	NE077	insH2Bfabp	CD15	SOD3	1	0	0	2	1	10	0	0	0	0	1	13.392492	15.109142	7.4840396	6.0912984	15.978028	1	19	68	467881	9748	7475	14793	5695	48	6.860e+09	1	5851122	205031	144	301	224	119									0				10_SOD3	1	2	2	7.991667	2	1	4								.8241822	.1651163	.2069287	-.3786901	-.0627068						-.4183713	.3454851	1.494155	1.744448	1.166919	.4935534	.9319713	.3454851	.4183713	-.1701847	.7397372	.9319713	-.4183713
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SOD3_200924_B08	200924	1	NE079	insH2Bfabp	CD15	SOD3	1	0	0	2	1	10	1	1	1	1	3	16.068634	13.169455	8.942793	7.9629264	22.291298	1	21	70	295523	6031	4026	1506	546	49	4.182e+08	1	5393199	162488	163	312	213	91									19				10_SOD3	1	2	2	8.158333	2	1	4								.2279667	1.739384	1.448272	.2279667	.755415						-.2743915	-.5716375	-.7397372	-1.166919	-2.211127	-2.211127	-2.211127	-.0677986	-.2743915	.6533766	1.042247	.5716375	-.9319713
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SOD3_200924_H04	200924	1	NE061	insH2Bfabp	CD15	SOD3	1	0	0	2	1	10	.0528864	0	.0264432	0	1	20.911177	7.4184528	12.446973	4.7301144	18.082451	1	3	52	664754	10227	7195	8743	3303	65	5.593e+09	1	5489931	210887	156	287	188	126									1	4551.354	1237980	1665773	10_SOD3	1	2	2	6.75	2	1	4	2.310991	1.862732	1.862732	-.0261137	1.318011	1.101146	1.19001	-1.08327	.8833463	-.2491061	1.012131	1.731664						.2743915	1.042247	2.211127	1.312981	.4183713	-.9319713	-.4183713	.0677986	.4935534	.2046599	.3097425	-.6533766	-.0338798
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SOD3_200924_F05	200924	1	NE067	insH2Bfabp	CD15	SOD3	1	0	0	2	1	10	.0518816	0	.0259408	0	1	16.833246	17.86554	7.1827752	6.3975648	19.95305	1	9	58	806536	7332	4926	9445	3169	110	7.403e+09	1	9513522	337585	156	356	232	189	3	807366	336	14452.074	11254.131	4855897	919.1886	-4.55e+07	0				10_SOD3	1	2	2	7.175	2	1	4								1.57718	1.339746	.423225	-.4686158	.9027348	.7514516	-1.558784	-1.382994	-1.382994	-1.802743	1.744448	1.744448	.4183713	-.5716375	1.312981	-.4183713	-.5716375	1.744448	2.211127	.2046599	2.211127	1.312981	1.744448
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SOD3_200924_F02	200924	1	NE048	insH2Bfabp	CD15	SOD3	1	0	0	2	1	10	1	1	1	1	3	5.6189352	15.34735	7.6108877	5.10444	15.510378	1	39	39	397228	8276	6196	8649	2854	48	3.445e+09	3	5005317	155948	123	324	189	122	11	708602	775	18708.378	11617.341	1.45e+07	4729.347	-3.70e+07		4129.565	1048906	1460624	10_SOD3	1	2	1	5.166667	2	1	4	-.0261137	-.1309267	.1309267	.6420614	-.3186394	2.310991	.8340455	.8833463	-.1443224	-.0822773	-.3348942	-1.330562	-.149762	-1.1219	-1.1219	-.6013318	-1.1219	-.4183713	.0677986	1.166919	.4935534	-.2046599	-1.042247	-.9319713	-.2046599	-.4183713	-.8320063	1.744448	-.5716375	-.2743915
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SOD3_200924_D04	200924	1	NE058	insH2Bfabp	CD15	SOD3	1	0	0	2	1	10	0	0	0	0	1	20.274001	13.952136	12.01886	4.7981736	15.12067	1	49	49															1	740220	48	10041.917	8767.0373	482012	-435.9761	-4.23e+07					10_SOD3	1	2	1	6.527778	2	1	4								.423225	-.3786901	-.2069287	.8833463	1.56892	.149762	-2.260189	-2.260189	-2.260189	-1.382994													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SOD3_200924_D08	200924	1	NE081	insH2Bfabp	CD15	SOD3	1	0	0	2	1	10	.9828561	1	.991428	1	3	13.137621	19.362842	11.892012	9.9706728	18.939809	1	23	72															24	700312	2565	8612.0144	7766.7942	2.21e+07	-637.2411	-1.76e+07	0	4130.933	1120699	1467368	10_SOD3	1	2	2	8.316667	2	1	4	.0261137	.7076435	.2372021	-.7076435	.291285	-.7764218		1.739384	1.012131	1.967025	.8241822	-.1046335	-.27188	-.6013318	-.6013318	.0298452	-.6013318													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_SOD3_200924_F01	200924	1	NE043	insH2Bfabp	CD15	SOD3	1	0	0	2	1	10	.984941	1	.9924705	1	3	16.833246	17.763451	7.9914321	4.5599664	14.886846	1	34	34	589956	7763	5709	11120	3704	76	6.845e+09	1	6452860	227270	160	284	229	122	81	790951	6480	8778.5679	7420.4667	5.69e+07	-45.28017	1.82e+07	0				10_SOD3	1	2	1	4.705555	2	1	4								1.448272	-.4458055	-.4008581	-.1235907	.9027348	.5312607	.3982089	.3343768	.920823	.8331469	.7397372	.7397372	.7397372	-.0677986	1.042247	-.1359107	-.1017956	.4935534	.8320063	.4183713	.1359107	1.042247	-.2743915
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SOD3_200923_C02	200923	1	NE017	insH2Bfabp	CD15	SOD3	1	0	0	2	1	9	1	1	1	1	3	3.4514747	8.4053112	7.928008	2.7563976	17.614802	1	8	8	335482	6100	4730	16704	6132	55	5.546e+09	1	3826364	134041	119	220	199	130	50	488606	3808	3853.0074	3261.327	1.47e+07	137.9911	-1.13e+07	0	3975.2	984396.4	1323096	10_SOD3	1	3	1	3.45	3	1	4	-.4022501	-.7764218	-.7764218	.0784124	1.202508	-.518418	-.6913244	-.8833463	.7137046	-1.57718	-.1651163	-2.39398	-1.558784	-.27188	-.27188	-.4637077	-.27188	.0677986	-.2743915	-.6533766	-.8320063	.3454851	.8320063	1.494155	-.9319713	-.6533766	-1.042247	-1.494155	-.1017956	.1359107
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SOD3_200923_G06	200923	1	NE036	insH2Bfabp	CD15	SOD3	1	0	0	2	1	9	.0658533	0	.0329266	0	1	13.881525	4.1516112	7.1352072	3.7772856	12.860364	1	27	27															74	637214	6076	2298.0143	2179.3655	1.40e+07	-87.98686	-8646591		3638.114	990886.3	1335283	10_SOD3	1	3	1	6.016667	3	1	4	-1.454408	-.5791321	-.6420614	-.2372021	-.6420614	-1.454408	.0533578	-1.967025	-1.160362	-.8833463	-.5385985	.1256613	-.7514516	.2104284	.27188	-.6744897	-.149762													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SOD3_200923_C03	200923	1	NE025	insH2Bfabp	CD15	SOD3	1	0	0	2	1	9	.0511489	0	.0255744	0	1	11.491305	14.973024	9.7514498	7.1802456	19.641283	1	16	16	324055	7045	5518	15885	6298	46	4.919e+09	1	4304006	147652	146	263	161	118	43	624682	3168	4907.6531	4074.6538	1.55e+07	193.5962	-1.29e+07	0	3837.986	988104.9	1374790	10_SOD3	1	3	1	3.983333	3	1	4	-.9265376	-.7076435	-.4595582	-1.202508	-.518418	-.1309267	-.5000764	.7677715	1.245046	.7956603	.5149938	-.5485223	-.920823	-.4637077	-.4637077	-.3982089	-.3982089	-.695908	-.4183713	.2743915	-.1359107	.1359107	.6533766	2.211127	-.4935534	-.4935534	-.0677986	-.4183713	-1.312981	-.4935534
