filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	cbsa_nwt	cbsa_dich	cbsb_nwt	cbsb_dich	cbs_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CBS_200903_E01	200903	1	NA503	insH2Bfabp	CD15	CBS	1	0	0	2	1	9	.4402766	1	1	1	1	4	16.688079	1.020888	.34883235	.6125328	1.0132408	1	4	4	341694	7270	5446	20905	8539	47	6.976e+09	2	3976611	136365	160	221	168	137	84	785000	7094	2566.4856	2251.3375	1.82e+07	-252.7958	8500683	0	4005.118	1020689	1369975	5_CBS	2	4	3	1.7	4	2	7	-.4393922	-.2683089	-.3373553	-.7824294	.6597193	-1.635039	-.4399132	-.2948402	-.2197229	1.31531	-.3330051	-.224227	.9153651	.4124631	.4124631	-.1004337	.9153651	-.8010945	-.6744897	-.1451209	-.9420758	.5578848	1.303783	2.069902	-.8010945	-.6744897	.6744897	-1.574445	-.9420758	.3441025
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CBS_200903_A08	200903	1	NA549	insH2Bfabp	CD15	CBS	1	0	0	2	1	9	0	0	0	0	0	1	11.381666	.5444736	.38054438	.3743256	.779416	1	1	50																							10	3818.99	1023949	1362872	5_CBS	2	4	4	6.6	4	2	7	-.8483799	-.2186495	-.3878687	-.8483799	-.0947312	-.477996	-.7388468	-1.027154	-.4709434	-.1274924	-.145827	-.9567178																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CBS_200903_E08	200903	1	NA552	insH2Bfabp	CD15	CBS	1	0	0	2	1	9	0	0	0	0	0	1	19.269578	.0340296	.34883235	.1361184	.2338248	1	4	53																							0	4453.079	1259438	1645256	5_CBS	2	4	4	6.816667	4	2	7	.9182451	.7050659	.7824294	.3373553	.2876889		.8064212	-2.444812	-1.090797	-1.457685	-.3330051	.1419788																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CBS_200903_C08	200903	1	NA550	insH2Bfabp	CD15	CBS	1	0	0	2	1	9	.4474368	1	1	1	1	4	16.544663	1.0889472	.28540829	.4423848	.8573576	1	2	51																							0	3828.36	910854.5	1237187	5_CBS	2	4	4	6.683333	4	2	7	-.7824294	-.9803303	-.9182451	-1.906358	-1.505968	-1.214676	-.1256613	-.0545189	-.3911963	.2197229	-.8059185	-.2658918																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CBS_200903_B01	200903	1	NA500	insH2Bfabp	CD15	CBS	1	0	0	2	1	9	0	0	0	0	0	1	14.680247	1.4973024	.31712032	.680592	1.2470656	1	1	1	350621	5394	5599	10223	2745	65	3.873e+09	1	4871714	169195	137	327	158	134	191	754668	13844	3799.8895	3634.3903	5.26e+07	-635.8223	1.39e+07	0	4029.247	1017055	1429491	5_CBS	2	5	3	1.483333	5	2	7	-.3878687	-.3186394	-.0947312	-.3373553	.0473125	-.6585199	-.3853205	1.05844	.0909451	1.637868	-.6631314	-.4381324	.7721932	1.554774	1.554774	.5244005	1.554774	.3441025	-.4484255	-1.104836	-.5578848	-.8010945	-.9420758	-.9420758	-.0482231	-.1451209	-.2933812	1.104836	-1.104836	.1940281
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CBS_200903_D08	200903	1	NA551	insH2Bfabp	CD15	CBS	1	0	0	2	1	9	0	0	0	0	0	1	14.106581	.1361184	.33297634	.1361184	.1558832	1	3	52	631070	10518	8671	21539	7942	60	1.375e+10	1	6077427	225460	139	315	223	121										4299.497	1189545	1594070	5_CBS	2	5	4	6.75	5	2	7	.2387225	.2683089	.3878687	1.37281	-.8483799		.5533847	-1.711675	-1.572037	-1.457685	-.5119362	-.529045						-.0482231	1.104836	2.069902	2.069902	2.069902	1.574445	1.303783	.5578848	1.104836	-.0482231	.9420758	1.303783	-.4484255
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CBS_200903_D06	200903	1	NA538	insH2Bfabp	CD15	CBS	1	0	0	2	1	9	0	0	0	0	0	1	12.385582	.7826808	.45982446	.340296	.9352992	1	39	39	567174	8862	8006	10903	2964	64	6.232e+09	2	8710765	213372	180	287	208	155	125	543296	9984	2848.0897	2496.5753	2.84e+07	-257.811	1.36e+07	0	3856.731	934810.2	1261592	5_CBS	2	5	3	4.566667	5	2	7	-.6597193	-.7683021	-.7824294	-1.161883	-.4921101	-.8636957	-.5533847	-.8572543	-.2948402	-.3138655	.1274924	-.726158	-.3054808	.7721932	.9153651	.3054808	1.281552	.2434042	.9420758	.9420758	1.574445	.1451209	-.6744897	-.6744897	2.069902	.8010945	1.574445	.2434042	.6744897	1.574445
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CBS_200903_H03	200903	1	NA521	insH2Bfabp	CD15	CBS	1	0	0	2	1	9	0	0	0	0	0	1	17.405162	1.2250656	.34883235	.5444736	.3117664	1	22	22	280252	7006	5835	15796	4812	40	4.573e+09	1	2945055	109402	136	210	169	95	97	738240	7913	3440.7821	3558.3623	2.72e+07	-906.0726	-9902182	1	4138.523	1004045	1405385	5_CBS	2	5	3	2.883333	5	2	7	-.0473125	-.3697907	-.1423641	-.6597193	.0947312	-.1540745	-1.036433	.3138655	-.9109555	.8837863	-.3330051	-.1829481	.6433454	.6433454	.6433454	.2018935	.3054808	-2.069902	-1.303783	-.2434042	-.4484255	-.5578848	.5578848	.1451209	-1.303783	-1.574445	-.4484255	-2.069902	-.8010945	-2.069902
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CBS_200903_F05	200903	1	NA533	insH2Bfabp	CD15	CBS	1	0	0	2	1	9	.3816785	1	1	1	1	4	20.273494	1.0549176	1.1574892	.510444	1.3250072	1	34	34	197532	4390	4307	13857	3647	45	2.835e+09	1	4137320	119436	123	243	189	116									31	4282.921	1167249	1578847	5_CBS	2	5	3	4.25	5	2	7	.1903223	.1695239	.3373553	-.0947312	-.3878687	-.7916386	-.3318534	-.1826502	.1826502	.6406669	2.444812	.2658918						-.9420758	-2.069902	-2.069902	-2.069902	-1.303783	-.1451209	-.3441025	-.6744897	-1.104836	-.9420758	-.5578848	-.2434042	-.9420758
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CBS_200903_B07	200903	1	NA543	insH2Bfabp	CD15	CBS	1	0	0	2	1	9	0	0	0	0	0	1	19.986661	.85074	.7928008	.2041776	1.8705984	1	44	44																							0	4578.6	1220021	1672412	5_CBS	2	5	3	6.183333	5	2	7	1.161883	.4752407	1.161883	.9929082	1.073562	.4213913	-.8064212	-.7326562	.9968433	-.8572543	.9968433	.1829481																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CBS_200903_B02	200903	1	NA508	insH2Bfabp	CD15	CBS	1	0	0	2	1	9	.3525824	1	1	1	1	4	11.955332	.9868584	.20612821	.510444	.9352992	1	9	9	339185	6057	6773	16505	6536	56	5.453e+09	1	3879109	133461	129	222	196	113	135	609668	9753	3115.7195	2893.8352	3.04e+07	-454.4753	7201188	0	3766.964	887736.2	1270130	5_CBS	2	5	3	2	5	2	7	-.9929082	-1.249346	-.6597193	-.7197189	-1.906358	-.1024905	-.279319	-.4507442	-.2948402	.6406669	-1.090797	-.835874	.1004337	.9153651	.7721932	.4124631	.6433454	-.2434042	-.8010945	-.6744897	.4484255	-.2434042	.6744897	1.104836	-.9420758	-.8010945	-.5578848	-1.303783	.1451209	-1.104836
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CBS_200903_F08	200903	1	NA553	insH2Bfabp	CD15	CBS	1	0	0	2	1	9	0	0	0	0	0	1	21.994493	1.8375984	.41225642	.170148	1.7147152	1	5	54																							0	4637.165	1299320	1657728	5_CBS	2	5	4	6.883333	5	2	7	1.260339	1.061503	.9182451	0	.8483799	.3661064		2.019086	.6859357	-1.027154	0	.5761465																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CBS_200903_H02	200903	1	NA514	insH2Bfabp	CD15	CBS	1	0	0	2	1	9	0	0	0	0	0	1	22.568159	1.5993912	.71352072	.85074	1.7147152	1	15	15																							0	4258.029	1172782	1565030	5_CBS	2	5	3	2.4	5	2	7	.0947312	.2186495	.1903223	-.0473125	.3373553	.051178	.227545	1.457685	.6859357	2.444812	.6859357	.726158																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_CBS_200903_D02	200903	1	NA510	insH2Bfabp	CD15	CBS	1	0	0	2	1	9	.0479538	0	.0388508	0	0	1	15.540747	.1361184	.34883235	.4423848	.6235328	1	11	11	367623	7503	6681	18376	6049	49	6.545e+09	1	4527563	168708	128	280	180	130	79	641558	6730	2582.2432	2229.2777	1.74e+07	-211.2559	8135375	0	4114.779	1042102	1433289	5_CBS	2	5	3	2.133333	5	2	7	-.1423641	-.1208042	-.0473125	.6597193	.3878687	-1.329529	-.0752699	-1.711675	-.6631314	.2197229	-.3330051	-.3940442	.3054808	.2533471	.2018935	-.2018935	.7721932	-.6744897	-.3441025	.0482231	.3441025	.4484255	1.104836	.8010945	-.3441025	-.2434042	-.7363159	.1451209	-.5578848	-.0482231
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CBS_200904_E07	200904	1	NA618	insH2Bfabp	CD15	CBS	1	0	0	2	1	10	.0372897	0	.0283749	0	0	1	19.246311	1.4292432	.25369626	.4764144	2.5720728	1	21	119																							0	4757.542	1346722	1762463	5_CBS	2	6	5	6.683333	6	2	7	1.672937	1.496147	1.906358	.4921101	1.37281	1.329529	1.226528	.8313125	2.019086	.3911963	-.9109555	.1012464																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CBS_200904_G09	200904	1	NA633	insH2Bfabp	CD15	CBS	1	0	0	2	1	10	.0591207	0	.0350126	0	0	1	20.73802	1.531332	.87208088	.4423848	1.7926568	1	36	134																							0	4300.411	1201643	1555385	5_CBS	2	6	5	7.733333	6	2	7	.2876889	.3697907	.1423641	.8483799	.1423641			1.233495	.8572543	.2197229	1.159195	.4381324																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CBS_200904_C09	200904	1	NA629	insH2Bfabp	CD15	CBS	1	0	0	2	1	10	1	1	1	1	1	4	10.743573	1.1570064	.0951361	.4764144	1.0911824	1	32	130															35	457202	2432	3215.6308	3183.4888	7820414	-693.094	-2.14e+07	0	3513.707	992830.2	1055426	5_CBS	2	6	5	7.483333	6	2	7	-1.906358	-.5299395	-1.906358	-.4921101	-.0473125	.5962318	-2.326348	.1642108	-.1092005	.3911963	-2.183684	-1.093456	-.7721932	-.7721932	-.7721932	-.7721932	-.6433454													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CBS_200904_E01	200904	1	NA573	insH2Bfabp	CD15	CBS	1	0	0	2	1	10	.0451347	0	.078974	0	0	1	25.660657	1.2250656	.50739251	.2382072	.2338248	1	25	74	439861	7584	6960	21992	8258	58	1.054e+10	2	5680980	178467	122	369	233	128									0				5_CBS	2	6	4	2.841667	6	2	7								.3138655	-1.090797	-.6859357	.2383699	1.093456						-.1451209	.1451209	.1451209	.6744897	1.303783	2.069902	1.574445	.2434042	.0482231	-1.104836	1.574445	2.069902	-.1451209
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CBS_200904_A01	200904	1	NA569	insH2Bfabp	CD15	CBS	1	0	0	2	1	10	0	0	.0251371	0	0	1	26.555682	1.1229768	.45982446	.170148	.0779416	1	21	70																							0	4558.757	1335163	1697011	5_CBS	2	6	4	2.566667	6	2	7	1.073562	1.362383	1.37281	.5462332	1.672937	2.318758	1.644854	.0727199	-2.444812	-1.027154	.1274924	1.348744																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CBS_200904_C01	200904	1	NA571	insH2Bfabp	CD15	CBS	1	0	0	2	1	10	.0392601	0	.0271926	0	0	1	24.765632	1.2250656	.93550494	.510444	1.6367736	1	23	72																							0	4425.905	1246144	1635566	5_CBS	2	6	4	2.7	6	2	7	.7824294	.5862727	.6597193	.1423641	.6020065		.4399132	.3138655	.5327554	.6406669	1.51239	.9567178																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CBS_200904_A02	200904	1	NA577	insH2Bfabp	CD15	CBS	1	0	0	2	1	10	0	0	.0353528	0	0	1	25.511486	1.361184	.74523275	.4423848	1.94854	1	29	78															4	875813	338	3182.1479	2649.3427	1075566	-102.2984	-1.70e+07	0				5_CBS	2	6	4	3.15	6	2	7								.6406669	1.159195	.2197229	.8059185	1.022696	1.554774	-1.554774	-1.554774	-1.554774	-.3054808													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CBS_200904_E09	200904	1	NA631	insH2Bfabp	CD15	CBS	1	0	0	2	1	10	.3867391	1	1	1	1	4	6.7159608	.9868584	.31712032	.3062664	.6235328	1	34	132															14	372380	1248	2530.3237	2430.4888	3157844	-498.3391	-1.03e+07					5_CBS	2	6	5	7.6	6	2	7								-.4507442	-.6631314	-.4507442	-.6631314	-1.585278	-1.281552	-1.080319	-.9153651	-1.080319	.2018935													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CBS_200904_A05	200904	1	NA600	insH2Bfabp	CD15	CBS	1	0	0	2	1	10	.4648015	1	1	1	1	4	26.406511	1.4632728	.77694478	.5785032	2.2603064	1	3	101	463152	6913	5146	12378	4230	67	5.781e+09	1	6248769	194756	170	277	200	134	45	804062	3401	2993.2764	2853.9351	1.02e+07	-530.2854	-1.22e+07	0	4266.932	1070798	1470120	5_CBS	2	6	5	5	6	2	7	.1423641	-.0723697	.0473125	-.4393922	-.7197189	-.3661064	-.0250689	.9388143	1.457685	1.05844	.9109555	1.254453	1.080319	-.6433454	-.5244005	-.5244005	-.1004337	.5578848	.2434042	-.3441025	-1.104836	-.1451209	-.3441025	-.1451209	.9420758	.3441025	.8694237	.0482231	.4484255	.1940281
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CBS_200904_E02	200904	1	NA581	insH2Bfabp	CD15	CBS	1	0	0	2	1	10	.0374345	0	.0456944	0	0	1	26.10817	1.2931248	.84036885	.4764144	1.7926568	1	33	82																							0	4762.098	1445087	1859721	5_CBS	2	6	4	3.433333	6	2	7	1.906358	1.898029	2.34813	.0473125	2.34813	0	2.326348	.4709434	.8572543	.3911963	1.090797	1.170163																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CBS_200904_A07	200904	1	NA614	insH2Bfabp	CD15	CBS	1	0	0	2	1	10	.7777443	1	1	1	1	4	18.052945	1.1229768	.66595267	.5444736	1.2470656	1	17	115	395063	5268	4715	17197	6226	75	6.490e+09	1	5719751	189424	172	294	197	117	242	885498	18008	3340.7642	2938.7192	6.02e+07	-281.8882	3.60e+07	0	3642.157	906757.2	1255401	5_CBS	2	6	5	6.433333	6	2	7	-1.37281	-1.061503	-.8483799	-1.37281	-.9182451	-.3119191	-1.880794	.0727199	.0909451	.8837863	.5327554	-.0606815	2.053749	2.053749	2.053749	.6433454	2.053749	1.303783	-.1451209	-1.574445	-1.574445	.3441025	.9420758	.9420758	.3441025	.2434042	1.303783	.3441025	.2933812	-.7363159
InsH2Bfabp_CD15_10dpf_VAST02_plate01_CBS_200904_A06	200904	1	NA606	insH2Bfabp	CD15	CBS	1	0	0	2	1	10	.3848736	1	1	1	1	4	31.179978	1.4973024	.90379291	.510444	2.2603064	1	9	107																							28				5_CBS	2	6	5	5.427778	6	2	7								1.05844	1.457685	.6406669	1.359737	1.973953																		
