filename	time	control_1_mutant_2_uninjected_0	plate	treatment	column	row	well	luminescenceplatea	luminescenceplateb	rlu_mean	rlu_percstdev	conc	rlublanksub	rsquared_gluglo	stdcurvefunction_gluglo	intercept_gluglo	slope_gluglo	blank_gluglo	maxstd_gluglo	glucconc_well_um	gluc	row384	column384	gluglo_assayfilename	assay_plate	date	experiment	gene	diet	fasted	age	luminiscence_d	delta_lum_d	luminiscence_dd	random_nr	time_jitter	slc2a2_dich	position	znf598_dich	tp53inp1_dich	poldip2_dich	assay_jitter	sirt1_dich	atp2a3_dich	batch	injset	gluc_Res	intgluc	intgluc_Res
20240430_GGTassay_7dpf_TP53INP1_fasted_plate01_D08	0	1	plate01	fasted	8	D	G08	627900	595000	611450	3.804696	NA	605307	.9936811	y = 40334.2103062966 * x + ( 28320.1787998781 )	28320.18	40334.21	6143	2007000	14.30515	40.63962	G	8	20240920_gluGLO_TP53INP1-01	1	20240430	GGTassay	TP53INP1	fasted	1	7	611450	32900	.9476031	91	3.59		60		0					2	4	15.12032	1.104836	.9420758
20240430_GGTassay_7dpf_TP53INP1_fasted_plate02_D09	0	2	plate02	fasted	9	D	G22	128600	115900	122250	7.345813	NA	116107	.9936811	y = 40334.2103062966 * x + ( 28320.1787998781 )	28320.18	40334.21	6143	2007000	2.176486	6.183197	G	22	20240920_gluGLO_TP53INP1-01	1	20240430	GGTassay	TP53INP1	fasted	1	7	122250	12700	.9012442	49	1.91		68		1					2	4	-18.47906	-2.069902	-2.069902
20240430_GGTassay_7dpf_TP53INP1_fasted_plate02_D10	0	1	plate02	fasted	10	D	G23	454600	389300	421950	10.94302	NA	415807	.9936811	y = 40334.2103062966 * x + ( 28320.1787998781 )	28320.18	40334.21	6143	2007000	9.606902	27.29234	G	23	20240920_gluGLO_TP53INP1-01	1	20240430	GGTassay	TP53INP1	fasted	1	7	421950	65300	.8563572	39	1.51		69		0					2	4	2.73721	.1451209	.1451209
20240430_GGTassay_7dpf_TP53INP1_fasted_plate01_E07	0	2	plate01	fasted	7	E	I07	129300	119700	124500	5.45239	NA	118357	.9936811	y = 40334.2103062966 * x + ( 28320.1787998781 )	28320.18	40334.21	6143	2007000	2.232269	6.341674	I	7	20240920_gluGLO_TP53INP1-01	1	20240430	GGTassay	TP53INP1	fasted	1	7	124500	9600	.9257541	76	2.99		76		1					2	4	-17.46353	-1.574445	-1.574445
20240430_GGTassay_7dpf_TP53INP1_fasted_plate01_F07	0	2	plate01	fasted	7	F	K07	237300	223300	230300	4.298522	NA	224157	.9936811	y = 40334.2103062966 * x + ( 28320.1787998781 )	28320.18	40334.21	6143	2007000	4.855353	13.79362	K	7	20240920_gluGLO_TP53INP1-01	1	20240430	GGTassay	TP53INP1	fasted	1	7	230300	14000	.941003	31	1.19		89		1					2	4	-8.618889	-.6744897	-.6744897
20240430_GGTassay_7dpf_TP53INP1_fasted_plate01_F08	0	1	plate01	fasted	8	F	K08	328300	306500	317400	4.856625	NA	311257	.9936811	y = 40334.2103062966 * x + ( 28320.1787998781 )	28320.18	40334.21	6143	2007000	7.01481	19.92844	K	8	20240920_gluGLO_TP53INP1-01	1	20240430	GGTassay	TP53INP1	fasted	1	7	317400	21800	.9335973	88	3.47		90		0					2	4	-2.376936	-.2434042	-.0482231
20240430_GGTassay_7dpf_TP53INP1_fasted_plate02_F09	0	2	plate02	fasted	9	F	K22	609100	654600	631850	5.09193	NA	625707	.9936811	y = 40334.2103062966 * x + ( 28320.1787998781 )	28320.18	40334.21	6143	2007000	14.81092	42.07648	K	22	20240920_gluGLO_TP53INP1-01	1	20240430	GGTassay	TP53INP1	fasted	1	7	631850	45500	1.0747	14	.51		97		1					2	4	20.52102	1.303783	1.574445
20240430_GGTassay_7dpf_TP53INP1_fasted_plate01_G07	0	2	plate01	fasted	7	G	M07	139900	134400	137150	2.835645	NA	131007	.9936811	y = 40334.2103062966 * x + ( 28320.1787998781 )	28320.18	40334.21	6143	2007000	2.545899	7.232667	M	7	20240920_gluGLO_TP53INP1-01	1	20240430	GGTassay	TP53INP1	fasted	1	7	137150	5500	.9606862	88	3.47		103		1					2	4	-13.68	-1.303783	-1.104836
20240430_GGTassay_7dpf_TP53INP1_fasted_plate01_G08	0	1	plate01	fasted	8	G	M08	252100	240400	246250	3.359655	NA	240107	.9936811	y = 40334.2103062966 * x + ( 28320.1787998781 )	28320.18	40334.21	6143	2007000	5.250799	14.91704	M	8	20240920_gluGLO_TP53INP1-01	1	20240430	GGTassay	TP53INP1	fasted	1	7	246250	11700	.9535899	5	.15		104		0					2	4	-5.888499	-.4484255	-.2434042
20240430_GGTassay_7dpf_TP53INP1_fasted_plate02_G09	0	2	plate02	fasted	9	G	M22	231400	196500	213950	11.53448	NA	207807	.9936811	y = 40334.2103062966 * x + ( 28320.1787998781 )	28320.18	40334.21	6143	2007000	4.44999	12.64202	M	22	20240920_gluGLO_TP53INP1-01	1	20240430	GGTassay	TP53INP1	fasted	1	7	213950	34900	.8491789	79	3.11		111		1					2	4	-7.413608	-.9420758	-.5578848
20240430_GGTassay_7dpf_TP53INP1_fasted_plate01_H07	0	2	plate01	fasted	7	H	O07	436900	425000	430950	1.952563	NA	424807	.9936811	y = 40334.2103062966 * x + ( 28320.1787998781 )	28320.18	40334.21	6143	2007000	9.830038	27.92624	O	7	20240920_gluGLO_TP53INP1-01	1	20240430	GGTassay	TP53INP1	fasted	1	7	430950	11900	.9727626	94	3.71		117		1					2	4	8.513407	.2434042	.8010945
20240430_GGTassay_7dpf_TP53INP1_fasted_plate01_H08	0	1	plate01	fasted	8	H	O08	550200	549900	550050	.038566	NA	543907	.9936811	y = 40334.2103062966 * x + ( 28320.1787998781 )	28320.18	40334.21	6143	2007000	12.78287	36.31496	O	8	20240920_gluGLO_TP53INP1-01	1	20240430	GGTassay	TP53INP1	fasted	1	7	550050	300	.9994547	15	.55		118		0					2	4	17.00925	.8010945	1.104836
20240430_GGTassay_7dpf_TP53INP1_fasted_plate02_H09	0	2	plate02	fasted	9	H	O22	367700	362900	365300	.9291302	NA	359157	.9936811	y = 40334.2103062966 * x + ( 28320.1787998781 )	28320.18	40334.21	6143	2007000	8.202388	23.30224	O	22	20240920_gluGLO_TP53INP1-01	1	20240430	GGTassay	TP53INP1	fasted	1	7	365300	4800	.9869459	60	2.35		121		1					2	4	4.317923	-.0482231	.3441025
20240430_GGTassay_7dpf_TP53INP1_fasted_plate02_H10	0	2	plate02	fasted	10	H	O23	219400	207700	213550	3.874104	NA	207407	.9936811	y = 40334.2103062966 * x + ( 28320.1787998781 )	28320.18	40334.21	6143	2007000	4.440073	12.61384	O	23	20240920_gluGLO_TP53INP1-01	1	20240430	GGTassay	TP53INP1	fasted	1	7	213550	11700	.9466727	47	1.83		122		1					2	4	-6.26334	-1.104836	-.3441025
20230830_GGTassay_7dpf_TP53INP1_fasted_plate01_A01		2	plate01	fasted	1	A	A01	351600	288200	319900	14.01393	NA	305195	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	7.201317	20.45829	A	1	GTT_DAY3_GLUGLO_plate-01		20230830	GGTassay	TP53INP1	fasted	1	7	319900	63400	.8196815				1		1					1	3	6.93423	1.013284	1.013284
20230830_GGTassay_7dpf_TP53INP1_fasted_plate02_A01		1	plate02	fasted	1	A	A02	176900	157000	166950	8.428527	NA	152245	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.490284	9.915579	A	2	GTT_DAY3_GLUGLO_plate-01		20230830	GGTassay	TP53INP1	fasted	1	7	166950	19900	.8875071				2		0					1	3	-3.612092	-.6547868	-.5783539
20230830_GGTassay_7dpf_TP53INP1_fasted_plate01_A02		2	plate01	fasted	2	A	A03	184100	181500	182800	1.005732	NA	168095	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.874853	11.00811	A	3	GTT_DAY3_GLUGLO_plate-01		20230830	GGTassay	TP53INP1	fasted	1	7	182800	2600	.9858772				3		1					1	3	-2.523178	-.3887258	-.2555228
20230830_GGTassay_7dpf_TP53INP1_fasted_plate02_A02		1	plate02	fasted	2	A	A04			70055		NA	55350	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	1.139315		A	4	GTT_DAY3_GLUGLO_plate-01		20230830	GGTassay	TP53INP1	fasted	1	7	70055	53950	.4439864				4		0					1	3			
20230830_GGTassay_7dpf_TP53INP1_fasted_plate01_A03		2	plate01	fasted	3	A	A05	229600	210100	219850	6.271813	NA	205145	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	4.773799	13.56193	A	5	GTT_DAY3_GLUGLO_plate-01		20230830	GGTassay	TP53INP1	fasted	1	7	219850	19500	.9150697				5		1					1	3	.0234218	.126723	.190727
20230830_GGTassay_7dpf_TP53INP1_fasted_plate02_A03		1	plate02	fasted	3	A	A06	142100	130600	136350	5.963863	NA	121645	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	2.747834	7.806347	A	6	GTT_DAY3_GLUGLO_plate-01		20230830	GGTassay	TP53INP1	fasted	1	7	136350	11500	.9190711				6		0					1	3	-5.735773	-1.253334	-.9786942
20230830_GGTassay_7dpf_TP53INP1_fasted_plate01_A04		2	plate01	fasted	4	A	A07	326700	285000	305850	9.640789	NA	291145	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	6.860422	19.48983	A	7	GTT_DAY3_GLUGLO_plate-01		20230830	GGTassay	TP53INP1	fasted	1	7	305850	41700	.87236				7		1					1	3	5.944101	.8506605	.9128061
20230830_GGTassay_7dpf_TP53INP1_fasted_plate02_A04		1	plate02	fasted	4	A	A08	349600	325800	337700	4.983459	NA	322995	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	7.6332	21.68523	A	8	GTT_DAY3_GLUGLO_plate-01		20230830	GGTassay	TP53INP1	fasted	1	7	337700	23800	.9319222				8		0					1	3	8.135881	1.165795	1.253334
20230830_GGTassay_7dpf_TP53INP1_fasted_plate01_A05		2	plate01	fasted	5	A	A09	307700	355900	331800	10.27202	NA	317095	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	7.490047	21.27854	A	9	GTT_DAY3_GLUGLO_plate-01		20230830	GGTassay	TP53INP1	fasted	1	7	331800	48200	1.156646				9		1					1	3	7.725586	1.049131	1.165795
20230830_GGTassay_7dpf_TP53INP1_fasted_plate02_A05		1	plate02	fasted	5	A	A10	215900	198200	207050	6.044815	NA	192345	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	4.463232	12.67964	A	10	GTT_DAY3_GLUGLO_plate-01		20230830	GGTassay	TP53INP1	fasted	1	7	207050	17700	.9180176				10		0					1	3	-.876933	-.0632344	.0421407
20230830_GGTassay_7dpf_TP53INP1_fasted_plate01_A06		2	plate01	fasted	6	A	A11	170300	153500	161900	7.337489	NA	147195	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.367755	9.567487	A	11	GTT_DAY3_GLUGLO_plate-01		20230830	GGTassay	TP53INP1	fasted	1	7	161900	16800	.9013506				11		1					1	3	-3.992696	-.7631429	-.6547868
20230830_GGTassay_7dpf_TP53INP1_fasted_plate02_A06		1	plate02	fasted	6	A	A13	192500	187900	190200	1.710143	NA	175495	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	4.054399	11.51818	A	13	GTT_DAY3_GLUGLO_plate-01		20230830	GGTassay	TP53INP1	fasted	1	7	190200	4600	.9761039				12		0					1	3	-2.045614	-.2555228	-.126723
20230830_GGTassay_7dpf_TP53INP1_fasted_plate01_A07		2	plate01	fasted	7	A	A14	248500	219300	233900	8.827498	NA	219195	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	5.114695	14.53038	A	14	GTT_DAY3_GLUGLO_plate-01		20230830	GGTassay	TP53INP1	fasted	1	7	233900	29200	.882495				13		1					1	3	.9629759	.2555228	.3214107
20230830_GGTassay_7dpf_TP53INP1_fasted_plate02_A07		1	plate02	fasted	7	A	A15	228800	210300	219550	5.958313	NA	204845	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	4.76652	13.54125	A	15	GTT_DAY3_GLUGLO_plate-01		20230830	GGTassay	TP53INP1	fasted	1	7	219550	18500	.9191434				14		0					1	3	-.0297694	.105516	.1693184
20230830_GGTassay_7dpf_TP53INP1_fasted_plate01_A08		2	plate01	fasted	8	A	A16	132800	114900	123850	10.21979	NA	109145	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	2.444546	6.944734	A	16	GTT_DAY3_GLUGLO_plate-01		20230830	GGTassay	TP53INP1	fasted	1	7	123850	17900	.8652108				15		1					1	3	-6.629899	-1.465234	-1.300945
20230830_GGTassay_7dpf_TP53INP1_fasted_plate02_A08		1	plate02	fasted	8	A	A17	259000	233100	246050	7.443229	NA	231345	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	5.409491	15.36787	A	17	GTT_DAY3_GLUGLO_plate-01		20230830	GGTassay	TP53INP1	fasted	1	7	246050	25900	.9				16		0					1	3	1.789628	.3436727	.4345824
20230830_GGTassay_7dpf_TP53INP1_fasted_plate01_A09		2	plate01	fasted	9	A	A18	184200	158100	171150	10.78322	NA	156445	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.592189	10.20508	A	18	GTT_DAY3_GLUGLO_plate-01		20230830	GGTassay	TP53INP1	fasted	1	7	171150	26100	.8583062				17		1					1	3	-3.376776	-.6034363	-.4578519
20230830_GGTassay_7dpf_TP53INP1_fasted_plate01_B01		2	plate01	fasted	1	B	C01	114300	129000	121650	8.54457	NA	106945	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	2.391167	6.793089	C	1	GTT_DAY3_GLUGLO_plate-01		20230830	GGTassay	TP53INP1	fasted	1	7	121650	14700	1.128609				47		1					1	3	-6.89714	-1.529864	-1.406203
20230830_GGTassay_7dpf_TP53INP1_fasted_plate02_B01		1	plate02	fasted	1	B	C02	164700	153600	159150	4.931753	NA	144445	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.301032	9.377932	C	2	GTT_DAY3_GLUGLO_plate-01		20230830	GGTassay	TP53INP1	fasted	1	7	159150	11100	.9326047				48		0					1	3	-4.31591	-.8207921	-.7079254
20230830_GGTassay_7dpf_TP53INP1_fasted_plate01_B02		2	plate01	fasted	2	B	C03	185300	177500	181400	3.040481	NA	166695	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.840885	10.9116	C	3	GTT_DAY3_GLUGLO_plate-01		20230830	GGTassay	TP53INP1	fasted	1	7	181400	7800	.9579061				49		1					1	3	-2.785849	-.4345824	-.3214107
20230830_GGTassay_7dpf_TP53INP1_fasted_plate02_B02		1	plate02	fasted	2	B	C04	134700	116200	125450	10.42764	NA	110745	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	2.483367	7.05502	C	4	GTT_DAY3_GLUGLO_plate-01		20230830	GGTassay	TP53INP1	fasted	1	7	125450	18500	.8626578				50		0					1	3	-6.646046	-1.406203	-1.351702
20230830_GGTassay_7dpf_TP53INP1_fasted_plate01_B03		2	plate01	fasted	3	B	C05	325100	296100	310600	6.602092	NA	295895	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	6.975671	19.81725	C	5	GTT_DAY3_GLUGLO_plate-01		20230830	GGTassay	TP53INP1	fasted	1	7	310600	29000	.9107967				51		1					1	3	6.112568	.9128061	.9452372
20230830_GGTassay_7dpf_TP53INP1_fasted_plate02_B03		1	plate02	fasted	3	B	C06	193900	185400	189650	3.16921	NA	174945	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	4.041055	11.48027	C	6	GTT_DAY3_GLUGLO_plate-01		20230830	GGTassay	TP53INP1	fasted	1	7	189650	8500	.956163				52		0					1	3	-2.228022	-.2993069	-.1479871
20230830_GGTassay_7dpf_TP53INP1_fasted_plate01_B04		2	plate01	fasted	4	B	C07	413400	389400	401400	4.227843	NA	386695	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	9.178756	26.07601	C	7	GTT_DAY3_GLUGLO_plate-01		20230830	GGTassay	TP53INP1	fasted	1	7	401400	24000	.9419448				53		1					1	3	12.36411	1.88951	1.88951
20230830_GGTassay_7dpf_TP53INP1_fasted_plate02_B04		1	plate02	fasted	4	B	C08	305700	284200	294950	5.154364	NA	280245	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	6.595954	18.73851	C	8	GTT_DAY3_GLUGLO_plate-01		20230830	GGTassay	TP53INP1	fasted	1	7	294950	21500	.9296696				54		0					1	3	5.02299	.7352539	.7916386
20230830_GGTassay_7dpf_TP53INP1_fasted_plate01_B05		2	plate01	fasted	5	B	C09	358500	350700	354600	1.555396	NA	339895	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	8.043245	22.85013	C	9	GTT_DAY3_GLUGLO_plate-01		20230830	GGTassay	TP53INP1	fasted	1	7	354600	7800	.9782427				55		1					1	3	9.131	1.351702	1.529864
20230830_GGTassay_7dpf_TP53INP1_fasted_plate02_B05		1	plate02	fasted	5	B	C10	308200	289700	298950	4.375807	NA	284245	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	6.693007	19.01422	C	10	GTT_DAY3_GLUGLO_plate-01		20230830	GGTassay	TP53INP1	fasted	1	7	298950	18500	.9399741				56		0					1	3	5.291482	.7631429	.8207921
20230830_GGTassay_7dpf_TP53INP1_fasted_plate01_B06		2	plate01	fasted	6	B	C11	215500	198400	206950	5.842728	NA	192245	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	4.460806	12.67274	C	11	GTT_DAY3_GLUGLO_plate-01		20230830	GGTassay	TP53INP1	fasted	1	7	206950	17100	.9206496				57		1					1	3	-1.05361	-.0843564	.0210657
20230830_GGTassay_7dpf_TP53INP1_fasted_plate02_B06		1	plate02	fasted	6	B	C13	214900	196900	205900	6.181604	NA	191195	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	4.435329	12.60037	C	13	GTT_DAY3_GLUGLO_plate-01		20230830	GGTassay	TP53INP1	fasted	1	7	205900	18000	.9162401				58		0					1	3	-1.129598	-.105516	0
20230830_GGTassay_7dpf_TP53INP1_fasted_plate01_B07		2	plate01	fasted	7	B	C14	188400	157200	172800	12.76721	NA	158095	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.632223	10.31881	C	14	GTT_DAY3_GLUGLO_plate-01		20230830	GGTassay	TP53INP1	fasted	1	7	172800	31200	.8343949				59		1					1	3	-3.414764	-.5536302	-.5051615
20230830_GGTassay_7dpf_TP53INP1_fasted_plate02_B07		1	plate02	fasted	7	B	C15	186700	169300	178000	6.912168	NA	163295	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.75839	10.67725	C	15	GTT_DAY3_GLUGLO_plate-01		20230830	GGTassay	TP53INP1	fasted	1	7	178000	17400	.9068024				60		0					1	3	-3.059946	-.4813721	-.4115459
20230830_GGTassay_7dpf_TP53INP1_fasted_plate01_B08		2	plate01	fasted	8	B	C16	351700	319600	335650	6.762439	NA	320945	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	7.58346	21.54392	C	16	GTT_DAY3_GLUGLO_plate-01		20230830	GGTassay	TP53INP1	fasted	1	7	335650	32100	.908729				61		1					1	3	7.803119	1.1252	1.208407
20230830_GGTassay_7dpf_TP53INP1_fasted_plate02_B08		1	plate02	fasted	8	B	C17	186100	173200	179650	5.077471	NA	164945	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.798424	10.79098	C	17	GTT_DAY3_GLUGLO_plate-01		20230830	GGTassay	TP53INP1	fasted	1	7	179650	12900	.9306824				62		0					1	3	-2.953437	-.4578519	-.3887258
20230830_GGTassay_7dpf_TP53INP1_fasted_plate01_B09		2	plate01	fasted	9	B	C18	177200	160200	168700	7.125557	NA	153995	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.532744	10.0362	C	18	GTT_DAY3_GLUGLO_plate-01		20230830	GGTassay	TP53INP1	fasted	1	7	168700	17000	.9040632				63		1					1	3	-3.711824	-.6289042	-.6289042
20230830_GGTassay_7dpf_TP53INP1_fasted_plate01_C01		2	plate01	fasted	1	C	E01	258900	239300	249100	5.563746	NA	234395	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	5.483493	15.57811	E	1	GTT_DAY3_GLUGLO_plate-01		20230830	GGTassay	TP53INP1	fasted	1	7	249100	19600	.9242951				93		1					1	3	1.721705	.3887258	.4115459
