index	filename	injset	control_1_mutant_2_uninjected_0	plate	treatment	column	row	well	luminescenceplatea	luminescenceplateb	rlu_mean	rlu_percstdev	conc	rlublanksub	rsquared_gluglo	stdcurvefunction_gluglo	intercept_gluglo	slope_gluglo	blank_gluglo	maxstd_gluglo	glucconc_well_um	gluc	row384	column384	gluglo_assayfilename	assayplategluc	date	experiment	gene	diet	fasted	age	luminiscence_d	delta_lum_d	luminiscence_dd	position	sirt1_dich	batch	gluc_Res	intgluc	intgluc_Res
SIRT1_081	20230810_GGTassay_7dpf_SIRT1_fasted_plate04_A11	2	2	plate04	fasted	11	A	A22	197400	187700	192550	3.562158	NA	175400	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	3.967088	11.27014	A	22	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	SIRT1	fasted	1	7	192550	9700	.9508612	21	1	1	-5.866748	-.9674216	-.9216232
SIRT1_089	20230810_GGTassay_7dpf_SIRT1_fasted_plate04_A12	2	2	plate04	fasted	12	A	A23	366500	358800	362650	1.501371	NA	345500	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	7.88732	22.40716	A	23	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	SIRT1	fasted	1	7	362650	7700	.9789904	22	1	1	5.266905	.7745655	.8147688
KITA1_073	20230810_GGTassay_7dpf_KITA1_fasted_plate02_A10	2	1	plate02	fasted	10	A	B20	376400	321300	348850	11.16858	NA	331700	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	7.569276	21.50363	B	20	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	348850	55100	.8536132	26	0	1	4.349902	.7164975	.7355767
KITA1_065	20230810_GGTassay_7dpf_KITA1_fasted_plate02_A09	2	1	plate02	fasted	9	A	B18	259800	247900	253850	3.314781	NA	236700	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	5.379847	15.28366	B	18	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	253850	11900	.9541956	28	0	1	-1.876805	-.3282931	-.2975039
KITA1_057	20230810_GGTassay_7dpf_KITA1_fasted_plate02_A08	2	1	plate02	fasted	8	A	B16	223500	219300	221400	1.341395	NA	204250	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	4.631983	13.15904	B	16	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	221400	4200	.981208	30	0	1	-4.008152	-.5894558	-.5379041
KITA1_049	20230810_GGTassay_7dpf_KITA1_fasted_plate02_A07	2	1	plate02	fasted	7	A	B14	224800	285700	255250	16.87083	NA	238100	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	5.412112	15.37532	B	14	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	255250	60900	1.270908	32	0	1	-1.798614	-.3128614	-.2822162
KITA1_041	20230810_GGTassay_7dpf_KITA1_fasted_plate02_A06	2	1	plate02	fasted	6	A	B11	226200	215000	220600	3.590025	NA	203450	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	4.613546	13.10667	B	11	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	220600	11200	.9504863	34	0	1	-4.074002	-.6247064	-.5549229
KITA1_033	20230810_GGTassay_7dpf_KITA1_fasted_plate02_A05	2	1	plate02	fasted	5	A	B09	159500	155800	157650	1.659559	NA	140500	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	3.162761	8.985116	B	9	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	157650	3700	.9768025	36	0	1	-8.202287	-1.543098	-1.45309
KITA1_025	20230810_GGTassay_7dpf_KITA1_fasted_plate02_A04	2	1	plate02	fasted	4	A	B07	351100	321000	336050	6.333556	NA	318900	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	7.27428	20.66557	B	7	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	336050	30100	.9142694	38	0	1	3.471429	.6426244	.6790976
KITA1_017	20230810_GGTassay_7dpf_KITA1_fasted_plate02_A03	2	1	plate02	fasted	3	A	B05	372200	361600	366900	2.042881	NA	349750	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	7.985268	22.68542	B	5	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	366900	10600	.9715207	40	0	1	5.484547	.8353711	.9216232
KITA1_009	20230810_GGTassay_7dpf_KITA1_fasted_plate02_A02	2	1	plate02	fasted	2	A	B03	196500	186600	191550	3.654585	NA	174400	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	3.944042	11.20466	B	3	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	191550	9900	.9496183	42	0	1	-6.002946	-1.040203	-.9442748
KITA1_001	20230810_GGTassay_7dpf_KITA1_fasted_plate02_A01	2	1	plate02	fasted	1	A	B01	87800	87820	87810	.0161054	NA	70660	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	1.553185	4.412456	B	1	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	87810	20	1.000228	44	0	1	-12.80189	-2.375107	-2.375107
SIRT1_002	20230810_GGTassay_7dpf_SIRT1_fasted_plate04_B01	2	2	plate04	fasted	1	B	C02	249400	275100	262250	6.929512	NA	245100	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	5.573438	15.83363	C	2	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	SIRT1	fasted	1	7	262250	25700	1.103047	46	1	1	-1.38745	-.2216821	-.1619502
SIRT1_010	20230810_GGTassay_7dpf_SIRT1_fasted_plate04_B02	2	2	plate04	fasted	2	B	C04	360000	391600	375800	5.945868	NA	358650	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	8.190383	23.26813	C	4	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	SIRT1	fasted	1	7	375800	31600	1.087778	48	1	1	6.040316	.8994349	1.040203
SIRT1_018	20230810_GGTassay_7dpf_SIRT1_fasted_plate04_B03	2	2	plate04	fasted	3	B	C06	169800	209800	189800	14.90215	NA	172650	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	3.90371	11.09009	C	6	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	SIRT1	fasted	1	7	189800	40000	1.235571	50	1	1	-6.144468	-1.065721	-1.015345
SIRT1_026	20230810_GGTassay_7dpf_SIRT1_fasted_plate04_B04	2	2	plate04	fasted	4	B	C08	290100	300700	295400	2.53735	NA	278250	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	6.337434	18.00407	C	8	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	SIRT1	fasted	1	7	295400	10600	1.036539	52	1	1	.7627853	.2669941	.3282931
SIRT1_034	20230810_GGTassay_7dpf_SIRT1_fasted_plate04_B05	2	2	plate04	fasted	5	B	C10	240700	273700	257200	9.072521	NA	240050	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	5.457053	15.50299	C	10	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	SIRT1	fasted	1	7	257200	33000	1.1371	54	1	1	-1.745034	-.2669941	-.2518337
SIRT1_042	20230810_GGTassay_7dpf_SIRT1_fasted_plate04_B06	2	2	plate04	fasted	6	B	C13	293400	295300	294350	.4564304	NA	277200	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	6.313235	17.93533	C	13	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	SIRT1	fasted	1	7	294350	1900	1.006476	56	1	1	.6805672	.2518337	.2975039
SIRT1_050	20230810_GGTassay_7dpf_SIRT1_fasted_plate04_B07	2	2	plate04	fasted	7	B	C15	281500	312300	296900	7.335429	NA	279750	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	6.372004	18.10228	C	15	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	SIRT1	fasted	1	7	296900	30800	1.109414	58	1	1	.8407874	.2822162	.3438034
SIRT1_058	20230810_GGTassay_7dpf_SIRT1_fasted_plate04_B08	2	2	plate04	fasted	8	B	C17	171200	213400	192300	15.51737	NA	175150	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	3.961327	11.25377	C	17	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	SIRT1	fasted	1	7	192300	42200	1.246495	60	1	1	-6.014463	-1.015345	-.9674216
SIRT1_066	20230810_GGTassay_7dpf_SIRT1_fasted_plate04_B09	2	2	plate04	fasted	9	B	C19	348300	339800	344050	1.746958	NA	326900	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	7.458652	21.18935	C	19	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	SIRT1	fasted	1	7	344050	8500	.9755958	62	1	1	3.914387	.6790976	.6976756
SIRT1_074	20230810_GGTassay_7dpf_SIRT1_fasted_plate04_B10	2	2	plate04	fasted	10	B	C21	284700	320600	302650	8.387621	NA	285500	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	6.504522	18.47876	C	21	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	SIRT1	fasted	1	7	302650	35900	1.126098	64	1	1	1.197053	.3750782	.4549811
SIRT1_082	20230810_GGTassay_7dpf_SIRT1_fasted_plate04_B11	2	2	plate04	fasted	11	B	C22	230600	218100	224350	3.939753	NA	207200	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	4.699971	13.35219	C	22	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	SIRT1	fasted	1	7	224350	12500	.9457936	65	1	1	-3.93288	-.5721041	-.5210396
SIRT1_090	20230810_GGTassay_7dpf_SIRT1_fasted_plate04_B12	2	2	plate04	fasted	12	B	C23	353300	369300	361300	3.131389	NA	344150	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	7.856207	22.31877	C	23	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	SIRT1	fasted	1	7	361300	16000	1.045287	66	1	1	5.030331	.7549276	.7745655
KITA1_074	20230810_GGTassay_7dpf_KITA1_fasted_plate02_B10	2	1	plate02	fasted	10	B	D20	314200	263700	288950	12.35816	NA	271800	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	6.188783	17.58177	D	20	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	288950	50500	.8392743	70	0	1	.2798595	.0880656	.2216821
KITA1_066	20230810_GGTassay_7dpf_KITA1_fasted_plate02_B09	2	1	plate02	fasted	9	B	D18	358700	372400	365550	2.650079	NA	348400	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	7.954155	22.59703	D	18	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	365550	13700	1.038193	72	0	1	5.288384	.8147688	.8353711
KITA1_058	20230810_GGTassay_7dpf_KITA1_fasted_plate02_B08	2	1	plate02	fasted	8	B	D16	208700	205800	207250	.9894377	NA	190100	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	4.305874	12.2326	D	16	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	207250	2900	.9861044	74	0	1	-5.082787	-.7945065	-.7164975
KITA1_050	20230810_GGTassay_7dpf_KITA1_fasted_plate02_B07	2	1	plate02	fasted	7	B	D14	152300	175300	163800	9.92885	NA	146650	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	3.304498	9.387777	D	14	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	163800	23000	1.151018	76	0	1	-7.93434	-1.45309	-1.412188
KITA1_042	20230810_GGTassay_7dpf_KITA1_fasted_plate02_B06	2	1	plate02	fasted	6	B	D11	161600	171800	166700	4.326628	NA	149550	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	3.371333	9.57765	D	11	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	166700	10200	1.063119	78	0	1	-7.751204	-1.336804	-1.336804
KITA1_034	20230810_GGTassay_7dpf_KITA1_fasted_plate02_B05	2	1	plate02	fasted	5	B	D09	357000	345000	351000	2.417459	NA	333850	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	7.618826	21.64439	D	9	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	351000	12000	.9663866	80	0	1	4.308805	.7355767	.7164975
KITA1_026	20230810_GGTassay_7dpf_KITA1_fasted_plate02_B04	2	1	plate02	fasted	4	B	D07	185100	181900	183500	1.233102	NA	166350	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	3.758516	10.6776	D	7	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	183500	3200	.982712	82	0	1	-6.664722	-1.175572	-1.118958
KITA1_018	20230810_GGTassay_7dpf_KITA1_fasted_plate02_B03	2	1	plate02	fasted	3	B	D05	344600	304900	324750	8.644231	NA	307600	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	7.013853	19.92572	D	5	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	324750	39700	.8847939	84	0	1	2.576656	.5043221	.5721041
KITA1_010	20230810_GGTassay_7dpf_KITA1_fasted_plate02_B02	2	1	plate02	fasted	2	B	D03	191700	176900	184300	5.67834	NA	167150	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	3.776954	10.72998	D	3	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	184300	14800	.922796	86	0	1	-6.625815	-1.146806	-1.065721
KITA1_002	20230810_GGTassay_7dpf_KITA1_fasted_plate02_B01	2	1	plate02	fasted	1	B	D01	295500	285800	290650	2.359861	NA	273500	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	6.227962	17.69308	D	1	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	290650	9700	.9671743	88	0	1	.3305431	.1175392	.236731
SIRT1_003	20230810_GGTassay_7dpf_SIRT1_fasted_plate04_C01	2	2	plate04	fasted	1	C	E02	289200	310900	300050	5.113887	NA	282900	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	6.444601	18.30853	E	2	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	SIRT1	fasted	1	7	300050	21700	1.075035	90	1	1	.9392573	.3438034	.3750782
SIRT1_011	20230810_GGTassay_7dpf_SIRT1_fasted_plate04_C02	2	2	plate04	fasted	2	C	E04	618800	694500	656650	8.151676	NA	639500	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	14.66303	41.65633	E	4	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	SIRT1	fasted	1	7	656650	75700	1.122334	92	1	1	24.28033	2.375107	2.375107
SIRT1_019	20230810_GGTassay_7dpf_SIRT1_fasted_plate04_C03	2	2	plate04	fasted	3	C	E06	240000	342800	291400	24.94529	NA	274250	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	6.245247	17.74218	E	6	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	SIRT1	fasted	1	7	291400	102800	1.428333	94	1	1	.3594405	.1471154	.2518337
SIRT1_027	20230810_GGTassay_7dpf_SIRT1_fasted_plate04_C04	2	2	plate04	fasted	4	C	E08	180400	170000	175200	4.197437	NA	158050	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	3.567229	10.13417	E	8	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	SIRT1	fasted	1	7	175200	10400	.9423503	96	1	1	-7.255301	-1.268335	-1.236227
SIRT1_035	20230810_GGTassay_7dpf_SIRT1_fasted_plate04_C05	2	2	plate04	fasted	5	C	E10	218000	250800	234400	9.894669	NA	217250	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	4.93159	14.0102	E	10	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	SIRT1	fasted	1	7	234400	32800	1.150459	98	1	1	-3.386013	-.4877443	-.4067242
SIRT1_043	20230810_GGTassay_7dpf_SIRT1_fasted_plate04_C06	2	2	plate04	fasted	6	C	E13	479200	492100	485650	1.878241	NA	468500	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	10.72205	30.46038	E	13	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	SIRT1	fasted	1	7	485650	12900	1.02692	100	1	1	13.05744	1.707553	1.77424
SIRT1_051	20230810_GGTassay_7dpf_SIRT1_fasted_plate04_C07	2	2	plate04	fasted	7	C	E15	363700	374800	369250	2.125629	NA	352100	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	8.039428	22.83928	E	15	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	SIRT1	fasted	1	7	369250	11100	1.03052	102	1	1	5.429601	.8563343	.8776808
SIRT1_059	20230810_GGTassay_7dpf_SIRT1_fasted_plate04_C08	2	2	plate04	fasted	8	C	E17	255100	302100	278600	11.92894	NA	261450	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	5.950251	16.90412	E	17	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	SIRT1	fasted	1	7	278600	47000	1.184242	104	1	1	-.5122966	.0146592	.0439901
SIRT1_067	20230810_GGTassay_7dpf_SIRT1_fasted_plate04_C09	2	2	plate04	fasted	9	C	E19	383600	393300	388450	1.765719	NA	371300	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	8.481923	24.09637	E	19	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	SIRT1	fasted	1	7	388450	9700	1.025287	105	1	1	6.676585	1.065721	1.118958
SIRT1_075	20230810_GGTassay_7dpf_SIRT1_fasted_plate04_C10	2	2	plate04	fasted	10	C	E21	294800	301500	298150	1.589004	NA	281000	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	6.400812	18.18413	E	21	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	SIRT1	fasted	1	7	298150	6700	1.022727	107	1	1	.7576043	.3282931	.3128614
SIRT1_083	20230810_GGTassay_7dpf_SIRT1_fasted_plate04_C11	2	2	plate04	fasted	11	C	E22	323900	328400	326150	.9756187	NA	309000	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	7.046118	20.01738	E	22	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	SIRT1	fasted	1	7	326150	4500	1.013893	108	1	1	2.58749	.5549229	.5894558
SIRT1_091	20230810_GGTassay_7dpf_SIRT1_fasted_plate04_C12	2	2	plate04	fasted	12	C	E23	384100	409500	396800	4.526339	NA	379650	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	8.674362	24.64307	E	23	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	SIRT1	fasted	1	7	396800	25400	1.066129	109	1	1	7.209816	1.175572	1.175572
KITA1_075	20230810_GGTassay_7dpf_KITA1_fasted_plate02_C10	2	1	plate02	fasted	10	C	F20	278600	252000	265300	7.089725	NA	248150	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	5.643731	16.03333	F	20	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	265300	26600	.9045226	112	0	1	-1.410036	-.1768208	-.1768208
KITA1_067	20230810_GGTassay_7dpf_KITA1_fasted_plate02_C09	2	1	plate02	fasted	9	C	F18	239400	225400	232400	4.259679	NA	215250	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	4.885497	13.87925	F	18	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	232400	14000	.9415205	114	0	1	-3.570845	-.5210396	-.5043221
KITA1_059	20230810_GGTassay_7dpf_KITA1_fasted_plate02_C08	2	1	plate02	fasted	8	C	F16	211000	188600	199800	7.927524	NA	182650	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	4.134176	11.74482	F	16	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	199800	22400	.8938389	116	0	1	-5.712013	-.8994349	-.8563343
KITA1_051	20230810_GGTassay_7dpf_KITA1_fasted_plate02_C07	2	1	plate02	fasted	7	C	F14	134000	154900	144450	10.2309	NA	127300	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	2.858546	8.120868	F	14	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	144450	20900	1.15597	118	0	1	-9.3427	-1.77424	-1.707553
