index	filename	injset	control_1_mutant_2_uninjected_0	plate	treatment	column	row	well	luminescenceplatea	luminescenceplateb	rlu_mean	rlu_percstdev	conc	rlublanksub	rsquared_gluglo	stdcurvefunction_gluglo	intercept_gluglo	slope_gluglo	blank_gluglo	maxstd_gluglo	glucconc_well_um	gluc	row384	column384	gluglo_assayfilename	assayplategluc	date	experiment	gene	diet	fasted	age	luminiscence_d	delta_lum_d	luminiscence_dd	position	dusp26_dich	batch	gluc_Res	intgluc	intgluc_Res
DUSP26_121	20230830_GGTassay_7dpf_DUSP26_fasted_plate04_A04	5	1	plate04	fasted	4	A	B08	125000	116800	120900	4.795927	NA	106195	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	2.37297	6.741393	B	8	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	120900	8200	.9344	39	0	1	-4.255919	-1.183424	-.6805074
DUSP26_025	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_A04	5	2	plate03	fasted	4	A	B07	163900	154800	159350	4.038074	NA	144645	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.305885	9.391717	B	7	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	159350	9100	.9444783	40	1	1	-1.606925	-.5420468	-.1150608
DUSP26_113	20230830_GGTassay_7dpf_DUSP26_fasted_plate04_A03	4	1	plate04	fasted	3	A	B06	341800	346200	344000	.9044389	NA	329295	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	7.786057	22.11948	B	6	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	344000	4400	1.012873	41	0	1	8.410238	1.404045	1.308099
DUSP26_017	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_A03	4	2	plate03	fasted	3	A	B05	171600	165500	168550	2.559093	NA	153845	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.529104	10.02587	B	5	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	168550	6100	.9644522	42	1	1	-3.684706	-.3719586	-.5200145
DUSP26_105	20230830_GGTassay_7dpf_DUSP26_fasted_plate04_A02	5	1	plate04	fasted	2	A	B04	189600	176300	182950	5.140487	NA	168245	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.878493	11.01845	B	4	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	182950	13300	.9298523	43	0	1	.0158152	-.1730713	.3312469
DUSP26_009	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_A02	5	2	plate03	fasted	2	A	B03	213300	194100	203700	6.664924	NA	188995	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	4.381951	12.44872	B	3	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	203700	19200	.909986	44	1	1	1.444764	.134345	.5643454
DUSP26_097	20230830_GGTassay_7dpf_DUSP26_fasted_plate04_A01	4	1	plate04	fasted	1	A	B02	139200	124700	131950	7.770404	NA	117245	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	2.641077	7.503059	B	2	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	131950	14500	.8958333	45	0	1	-6.211501	-1.008995	-1.10959
DUSP26_001	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_A01	4	2	plate03	fasted	1	A	B01	178400	188000	183200	3.705363	NA	168495	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.884558	11.03568	B	1	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	183200	9600	1.053812	46	1	1	-2.680212	-.1536793	-.3515299
DUSP26_090	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_B12	4	2	plate03	fasted	12	B	D24	210100	192000	201050	6.365895	NA	186345	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	4.317654	12.26606	D	24	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	201050	18100	.9138505	70	1	1	-1.481734	.0574353	-.0382785
DUSP26_082	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_B11	4	2	plate03	fasted	11	B	D22	264000	241300	252650	6.353186	NA	237945	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	5.569627	15.8228	D	22	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	252650	22700	.9140152	72	1	1	2.072349	.656581	.6098145
DUSP26_074	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_B10	4	2	plate03	fasted	10	B	D20	201400	190600	196000	3.896303	NA	181295	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	4.195125	11.91797	D	20	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	196000	10800	.9463754	74	1	1	-1.835144	.0191357	-.1925285
DUSP26_066	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_B09	4	2	plate03	fasted	9	B	D18	151700	136400	144050	7.510402	NA	129345	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	2.93466	8.337102	D	18	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	144050	15300	.899143	76	1	1	-5.418671	-.8334692	-.9472499
DUSP26_058	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_B08	5	2	plate03	fasted	8	B	D16	28130	25920	27025	5.782446	NA	12320	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	.0952763	.2706713	D	16	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	27025	2210	.9214362	78	1	1	-10.77849	-2.667861	-2.667861
DUSP26_050	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_B07	4	2	plate03	fasted	7	B	D14	194200	174900	184550	7.394831	NA	169845	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.917313	11.12873	D	14	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	184550	19300	.9006179	80	1	1	-2.63236	-.1150608	-.3110992
DUSP26_138	20230830_GGTassay_7dpf_DUSP26_fasted_plate04_B06	4	1	plate04	fasted	6	B	D13	195600	171000	183300	9.489813	NA	168595	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.886985	11.04257	D	13	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	183300	24600	.8742331	81	0	1	-2.71985	-.134345	-.3719586
DUSP26_042	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_B06	5	2	plate03	fasted	6	B	D11	193000	177200	185100	6.035811	NA	170395	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.930658	11.16664	D	11	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	185100	15800	.9181347	82	1	1	.1121638	-.0766132	.3515299
DUSP26_130	20230830_GGTassay_7dpf_DUSP26_fasted_plate04_B05	4	1	plate04	fasted	5	B	D10	271300	263400	267350	2.08945	NA	252645	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	5.926294	16.83606	D	10	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	267350	7900	.9708809	83	0	1	3.070984	.7804696	.7547789
DUSP26_034	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_B05	4	2	plate03	fasted	5	B	D09	160500	153200	156850	3.290966	NA	142145	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.245227	9.219395	D	9	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	156850	7300	.9545171	84	1	1	-4.547014	-.6330246	-.70483
DUSP26_122	20230830_GGTassay_7dpf_DUSP26_fasted_plate04_B04	5	1	plate04	fasted	4	B	D08	71270	65160	68215	6.333537	NA	53510	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	1.094671	3.109862	D	8	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	68215	6110	.9142697	85	0	1	-7.948605	-2.275086	-1.820373
DUSP26_026	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_B04	5	2	plate03	fasted	4	B	D07	237500	217100	227300	6.346229	NA	212595	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	4.954559	14.07545	D	7	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	227300	20400	.9141052	86	1	1	3.015655	.4132966	.7295769
DUSP26_114	20230830_GGTassay_7dpf_DUSP26_fasted_plate04_B03	4	1	plate04	fasted	3	B	D06	200900	201800	201350	.3160646	NA	186645	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	4.324933	12.28674	D	6	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	201350	900	1.00448	87	0	1	-1.483657	.0766132	-.0574353
DUSP26_018	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_B03	4	2	plate03	fasted	3	B	D05	211300	199900	205600	3.920728	NA	190895	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	4.428051	12.57969	D	5	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	205600	11400	.9460483	88	1	1	-1.192037	.1730713	.0574353
DUSP26_106	20230830_GGTassay_7dpf_DUSP26_fasted_plate04_B02	5	1	plate04	fasted	2	B	D04	288500	275400	281950	3.285369	NA	267245	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	6.280535	17.84243	D	4	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	281950	13100	.9545927	89	0	1	6.778644	.8608639	1.008995
DUSP26_010	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_B02	5	2	plate03	fasted	2	B	D03	138700	129400	134050	4.905702	NA	119345	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	2.692029	7.64781	D	3	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	134050	9300	.9329488	90	1	1	-3.417304	-.9176949	-.4553535
DUSP26_098	20230830_GGTassay_7dpf_DUSP26_fasted_plate04_B01	4	1	plate04	fasted	1	B	D02	183900	168800	176350	6.054615	NA	161645	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.718356	10.56351	D	2	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	176350	15100	.9178901	91	0	1	-3.212202	-.2513717	-.434229
DUSP26_002	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_B01	4	2	plate03	fasted	1	B	D01	429500	441500	435500	1.9484	NA	420795	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	10.00613	28.42649	D	1	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	435500	12000	1.027939	92	1	1	14.64945	1.820373	1.728105
DUSP26_091	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_C12	4	2	plate03	fasted	12	C	F24	344200	336100	340150	1.683835	NA	325445	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	7.692644	21.8541	F	24	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	340150	8100	.9764672	116	1	1	8.045152	1.183424	1.183424
DUSP26_083	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_C11	4	2	plate03	fasted	11	C	F22	257200	231600	244400	7.406683	NA	229695	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	5.369457	15.25414	F	22	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	244400	25600	.9004666	118	1	1	1.442529	.5643454	.5420468
DUSP26_075	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_C10	4	2	plate03	fasted	10	C	F20	220300	272100	246200	14.87739	NA	231495	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	5.41313	15.37821	F	20	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	246200	51800	1.235134	120	1	1	1.563943	.6098145	.5869282
DUSP26_067	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_C09	4	2	plate03	fasted	9	C	F18	243500	228300	235900	4.556178	NA	221195	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	5.163221	14.66824	F	18	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	235900	15200	.937577	122	1	1	.8513139	.5200145	.4982319
DUSP26_059	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_C08	4	2	plate03	fasted	8	C	F16	469300	436500	452900	5.121021	NA	438195	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	10.4283	29.62586	F	16	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	452900	32800	.9301087	124	1	1	15.80627	1.931388	1.931388
DUSP26_051	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_C07	4	2	plate03	fasted	7	C	F14	286700	253700	270200	8.636019	NA	255495	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	5.995444	17.03251	F	14	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	270200	33000	.8848971	126	1	1	3.210265	.8066862	.7804696
DUSP26_139	20230830_GGTassay_7dpf_DUSP26_fasted_plate04_C06	4	1	plate04	fasted	6	C	F13	227900	197800	212850	9.99949	NA	198145	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	4.603958	13.07943	F	13	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	212850	30100	.8679245	127	0	1	-.7441491	.271171	.1536793
DUSP26_043	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_C06	5	2	plate03	fasted	6	C	F11	335800	293100	314450	9.601991	NA	299745	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	7.069084	20.08262	F	11	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	314450	42700	.872841	128	1	1	8.966991	1.041357	1.404045
DUSP26_131	20230830_GGTassay_7dpf_DUSP26_fasted_plate04_C05	4	1	plate04	fasted	5	C	F10	124300	123100	123700	.6859565	NA	108995	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	2.440907	6.934394	F	10	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	123700	1200	.990346	129	0	1	-6.89184	-1.145726	-1.264343
DUSP26_035	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_C05	4	2	plate03	fasted	5	C	F09	552900	475300	514100	10.67331	NA	499395	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	11.9132	33.84432	F	9	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	514100	77600	.8596491	130	1	1	20.01676	2.275086	2.275086
DUSP26_123	20230830_GGTassay_7dpf_DUSP26_fasted_plate04_C04	5	1	plate04	fasted	4	C	F08	419900	385900	402900	5.967146	NA	388195	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	9.215151	26.17941	F	8	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	402900	34000	.9190283	131	0	1	15.05978	1.728105	1.820373
DUSP26_027	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_C04	5	2	plate03	fasted	4	C	F07	162100	147100	154600	6.860674	NA	139895	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.190635	9.064304	F	7	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	154600	15000	.9074645	132	1	1	-2.056647	-.656581	-.2513717
DUSP26_115	20230830_GGTassay_7dpf_DUSP26_fasted_plate04_C03	4	1	plate04	fasted	3	C	F06	168900	162400	165650	2.774642	NA	150945	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.458742	9.825971	F	6	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	165650	6500	.9615157	133	0	1	-4.005581	-.434229	-.5869282
DUSP26_019	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_C03	4	2	plate03	fasted	3	C	F05	382800	363900	373350	3.579568	NA	358645	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	8.498178	24.14255	F	5	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	373350	18900	.950627	134	1	1	10.30967	1.578269	1.515006
DUSP26_107	20230830_GGTassay_7dpf_DUSP26_fasted_plate04_C02	5	1	plate04	fasted	2	C	F04	93800	91450	92625	1.794009	NA	77920	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	1.686932	4.792422	F	4	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	92625	2350	.9749467	135	0	1	-6.332518	-1.931388	-1.145726
DUSP26_011	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_C02	5	2	plate03	fasted	2	C	F03	198100	171100	184600	10.3423	NA	169895	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.918527	11.13218	F	3	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	184600	27000	.8637052	136	1	1	.0059086	-.0958193	.3110992
DUSP26_099	20230830_GGTassay_7dpf_DUSP26_fasted_plate04_C01	4	1	plate04	fasted	1	C	F02	121400	111600	116500	5.948195	NA	101795	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	2.266213	6.438105	F	2	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	116500	9800	.9192751	137	0	1	-7.398765	-1.354514	-1.457283
DUSP26_003	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_C01	4	2	plate03	fasted	1	C	F01	279200	287100	283150	1.972857	NA	268445	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	6.30965	17.92514	F	1	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	283150	7900	1.028295	138	1	1	4.086944	.8889205	.8608639
DUSP26_092	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_D12	4	2	plate03	fasted	12	D	H24	113700	107900	110800	3.701462	NA	96095	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	2.127913	6.045208	H	24	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	110800	5800	.9489886	162	1	1	-7.824897	-1.457283	-1.648566
DUSP26_084	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_D11	4	2	plate03	fasted	11	D	H22	354600	350800	352700	.7618389	NA	337995	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	7.997145	22.71916	H	22	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	352700	3800	.9892837	164	1	1	8.846399	1.457283	1.354514
DUSP26_076	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_D10	4	2	plate03	fasted	10	D	H20	189800	251100	220450	19.66235	NA	205745	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	4.788357	13.60329	H	20	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	220450	61300	1.322972	166	1	1	-.2721367	.3312469	.2316706
DUSP26_068	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_D09	4	2	plate03	fasted	9	D	H18	153600	144800	149200	4.170603	NA	134495	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.059615	8.692087	H	18	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	149200	8800	.9427083	168	1	1	-5.185995	-.70483	-.8066862
DUSP26_060	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_D08	4	2	plate03	fasted	8	D	H16	202800	205100	203950	.7974237	NA	189245	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	4.388017	12.46596	H	16	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	203950	2300	1.011341	170	1	1	-1.414786	.1536793	-.0191357
DUSP26_052	20230830_GGTassay_7dpf_DUSP26_fasted_plate03_D07	4	2	plate03	fasted	7	D	H14	214200	190700	202450	8.207957	NA	187745	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	4.351622	12.36256	H	14	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	DUSP26	fasted	1	7	202450	23500	.8902894	172	1	1	-1.520838	.1054351	-.0766132
