index	filename	injset	control_1_mutant_2_uninjected_0	plate	treatment	column	row	well	luminescenceplatea	luminescenceplateb	rlu_mean	rlu_percstdev	conc	rlublanksub	rsquared_gluglo	stdcurvefunction_gluglo	intercept_gluglo	slope_gluglo	blank_gluglo	maxstd_gluglo	glucconc_well_um	gluc	row384	column384	gluglo_assayfilename	assayplategluc	date	experiment	gene	diet	fasted	age	luminiscence_d	delta_lum_d	luminiscence_dd	position	tbc1d4_dich	batch	gluc_Res	intgluc	intgluc_Res
TBC1D4_049	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_A07	2	2	plate05	fasted	7	A	B15	199100	178900	189000	7.557437	NA	174295	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	4.025284	11.43547	B	15	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	189000	20200	.8985434	33	1	1	-1.177276	-.0470166	.0156671
TBC1D4_002	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_B01	1	2	plate05	fasted	1	B	C19	306300	281900	294100	5.86651	NA	279395	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	6.575331	18.67992	C	19	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	294100	24400	.9203395	64	1	1	6.397307	1.120502	1.181259
TBC1D4_010	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_B02	1	1	plate05	fasted	2	B	C20	263200	249200	256200	3.863971	NA	241495	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	5.655761	16.0675	C	20	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	256200	14000	.9468085	65	0	1	3.783088	.7347365	.8195021
TBC1D4_018	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_B03	2	2	plate05	fasted	3	B	C21	195800	151500	173650	18.03906	NA	158945	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.652846	10.3774	C	21	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	173650	44300	.7737487	66	1	1	-2.294932	-.3685006	-.3351658
TBC1D4_026	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_B04	2	1	plate05	fasted	4	B	C22	182400	174400	178400	3.170882	NA	163695	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.768096	10.70482	C	22	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	178400	8000	.9561403	67	0	1	-1.969325	-.2372021	-.1731927
TBC1D4_034	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_B05	1	2	plate05	fasted	5	B	C23	496500	451200	473850	6.759932	NA	459145	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	10.93661	31.06993	C	23	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	473850	45300	.9087613	68	1	1	18.78009	2.497705	2.497705
TBC1D4_042	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_B06	1	1	plate05	fasted	6	B	C24	123200	108500	115850	8.972352	NA	101145	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	2.250442	6.393301	C	24	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	115850	14700	.8806818	69	0	1	-5.898338	-1.396713	-1.396713
TBC1D4_082	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_B11	2	1	plate05	fasted	11	B	D23			79400		NA	64695	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	1.366054		D	23	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7		145200		71	0	1			
TBC1D4_074	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_B10	2	1	plate05	fasted	10	B	D21	167500	156100	161800	4.982087	NA	147095	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.365329	9.560594	D	21	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	161800	11400	.9319403	73	0	1	-3.124384	-.6549499	-.6165979
TBC1D4_066	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_B09	2	2	plate05	fasted	9	B	D19	353800	289500	321650	14.13554	NA	306945	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	7.243778	20.57891	D	19	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	321650	64300	.8182589	75	1	1	7.890326	1.587056	1.587056
TBC1D4_058	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_B08	2	1	plate05	fasted	8	B	D17	180300	167700	174000	5.120429	NA	159295	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.661338	10.40153	D	17	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	174000	12600	.9301165	77	0	1	-2.290672	-.3351658	-.3021995
TBC1D4_050	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_B07	2	2	plate05	fasted	7	B	D15	144300	128900	136600	7.971775	NA	121895	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	2.7539	7.82358	D	15	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	136600	15400	.8932779	79	1	1	-4.872233	-1.120502	-1.00999
TBC1D4_003	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_C01	1	2	plate05	fasted	1	C	E19	248100	232500	240300	4.590456	NA	225595	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	5.269979	14.97153	E	19	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	240300	15600	.9371221	110	1	1	2.60585	.5424624	.6165979
TBC1D4_011	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_C02	1	1	plate05	fasted	2	C	E20	183400	174500	178950	3.516765	NA	164245	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.78144	10.74273	E	20	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	178950	8900	.9514722	111	0	1	-1.624758	-.2050923	-.1414683
TBC1D4_019	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_C03	2	2	plate05	fasted	3	C	E21	217600	188700	203150	10.05926	NA	188445	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	4.368606	12.41081	E	21	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	203150	28900	.8671875	112	1	1	-.344594	.1098857	.1098857
TBC1D4_027	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_C04	2	1	plate05	fasted	4	C	E22	225500	219500	222500	1.906805	NA	207795	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	4.838096	13.74459	E	22	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	222500	6000	.9733925	113	0	1	.9873784	.3685006	.3351658
TBC1D4_035	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_C05	1	2	plate05	fasted	5	C	E23	225600	189500	207550	12.29899	NA	192845	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	4.475364	12.7141	E	23	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	207550	36100	.8399823	114	1	1	.3411967	.1731927	.2372021
TBC1D4_043	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_C06	1	1	plate05	fasted	6	C	E24	125100	101100	113100	15.00492	NA	98395	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	2.183718	6.203745	E	24	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	113100	24000	.8081535	115	0	1	-6.170965	-1.485165	-1.485165
TBC1D4_083	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_C11	2	1	plate05	fasted	11	C	F23			96842		NA	82137	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	1.78925		F	23	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7		183516		117	0	1			
TBC1D4_075	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_C10	2	1	plate05	fasted	10	C	F21	141200	130100	135650	5.78613	NA	120945	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	2.73085	7.758097	F	21	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	135650	11100	.9213881	119	0	1	-5.009952	-1.181259	-1.120502
TBC1D4_067	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_C09	2	2	plate05	fasted	9	C	F19			130650		NA	115945	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	2.609535		F	19	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	130650	55100	1.534433	121	1	1			
TBC1D4_059	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_C08	2	1	plate05	fasted	8	C	F17	263600	294700	279150	7.877851	NA	264445	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	6.212598	17.64943	F	17	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	279150	31100	1.117982	123	0	1	4.874153	1.00999	.9591166
TBC1D4_051	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_C07	2	2	plate05	fasted	7	C	F15	116600	100600	108600	10.41778	NA	93895	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	2.074535	5.893564	F	15	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	108600	16000	.8627787	125	1	1	-6.88532	-1.587056	-1.587056
TBC1D4_092	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_D12	2	1	plate05	fasted	12	D	G17	326900	312600	319750	3.162354	NA	305045	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	7.197678	20.44795	G	17	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	319750	14300	.9562557	154	0	1	7.616693	1.396713	1.485165
TBC1D4_004	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_D01	1	2	plate05	fasted	1	D	G19	318700	291200	304950	6.376598	NA	290245	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	6.838585	19.4278	G	19	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	304950	27500	.913712	156	1	1	6.979045	1.246721	1.318011
TBC1D4_012	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_D02	1	1	plate05	fasted	2	D	G20	299500	281400	290450	4.406484	NA	275745	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	6.486771	18.42833	G	20	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	290450	18100	.939566	157	0	1	5.977768	1.063622	1.063622
TBC1D4_020	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_D03	2	2	plate05	fasted	3	D	G21	217700	195700	206700	7.526052	NA	191995	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	4.45474	12.65551	G	21	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	206700	22000	.8989435	158	1	1	-.1829678	.1414683	.1414683
TBC1D4_028	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_D04	2	1	plate05	fasted	4	D	G22	163900	160800	162350	1.350188	NA	147645	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.378674	9.598505	G	22	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	162350	3100	.981086	159	0	1	-3.24178	-.6165979	-.7347365
TBC1D4_036	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_D05	1	2	plate05	fasted	5	D	G23	219700	206300	213000	4.448465	NA	198295	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	4.607597	13.08976	G	23	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	213000	13400	.9390078	160	1	1	.6337891	.2695584	.2695584
TBC1D4_044	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_D06	1	1	plate05	fasted	6	D	G24	128500	111900	120200	9.765368	NA	105495	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	2.355986	6.693142	G	24	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	120200	16600	.8708171	161	0	1	-5.764639	-1.318011	-1.318011
TBC1D4_084	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_D11	2	1	plate05	fasted	11	D	H23			48495.5		NA	33790.5	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	.6162161		H	23	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	48495.5	88669	.0448239	163	0	1			
TBC1D4_076	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_D10	2	1	plate05	fasted	10	D	H21	150800	145400	148100	2.578242	NA	133395	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.032925	8.616264	H	21	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	148100	5400	.964191	165	0	1	-4.234856	-.9106117	-.9591166
TBC1D4_068	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_D09	2	2	plate05	fasted	9	D	H19	284600	310400	297500	6.13222	NA	282795	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	6.657825	18.91428	H	19	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	297500	25800	1.090654	167	1	1	6.059544	1.181259	1.120502
TBC1D4_060	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_D08	2	1	plate05	fasted	8	D	H17			143000		NA	128295	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	2.909184		H	17	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	143000	64600	1.583559	169	0	1			
TBC1D4_052	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_D07	2	2	plate05	fasted	7	D	H15	97570	84250	90910	10.36042	NA	76205	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	1.645321	4.674208	H	15	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	90910	13320	.8634827	171	1	1	-8.187747	-2.080278	-2.080278
TBC1D4_093	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_E12	2	1	plate05	fasted	12	E	I17	176600	159500	168050	7.195196	NA	153345	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.516973	9.991401	I	17	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	168050	17100	.903171	199	0	1	-2.92112	-.4364642	-.5065081
TBC1D4_005	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_E01	1	2	plate05	fasted	1	E	I19	166500	156800	161650	4.243078	NA	146945	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.36169	9.550255	I	19	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	161650	9700	.9417418	201	1	1	-2.979763	-.6942906	-.5424624
TBC1D4_013	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_E02	1	1	plate05	fasted	2	E	I20	164600	162500	163550	.9079329	NA	148845	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.407789	9.68122	I	20	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	163550	2100	.9872418	202	0	1	-2.850603	-.5791321	-.4711971
TBC1D4_021	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_E03	2	2	plate05	fasted	3	E	I21	211000	182800	196900	10.12718	NA	182195	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	4.216962	11.98001	I	21	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	196900	28200	.8663507	203	1	1	-.939738	.0784124	.0470166
TBC1D4_029	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_E04	2	1	plate05	fasted	4	E	I22	194600	184100	189350	3.92111	NA	174645	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	4.033776	11.45959	I	22	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	189350	10500	.9460432	204	0	1	-1.461959	-.0156671	-.1098857
TBC1D4_037	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_E05	1	2	plate05	fasted	5	E	I23	163100	137400	150250	12.09494	NA	135545	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.085091	8.764462	I	23	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	150250	25700	.842428	205	1	1	-3.772779	-.86416	-.8195021
TBC1D4_045	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_E06	1	1	plate05	fasted	6	E	I24	181400	158800	170100	9.394835	NA	155395	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.566712	10.13271	I	24	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	170100	22600	.8754135	206	0	1	-2.406341	-.4022501	-.3685006
TBC1D4_085	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_E11	2	1	plate05	fasted	11	E	J23			58678.5		NA	43973.5	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	.8632868		J	23	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7		111243		208	0	1			
TBC1D4_077	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_E10	2	1	plate05	fasted	10	E	J21	212400	204500	208450	2.679848	NA	193745	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	4.4972	12.77614	J	21	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	208450	7900	.962806	210	0	1	-.1562482	.2050923	.1731927
TBC1D4_069	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_E09	2	2	plate05	fasted	9	E	J19	174500	176700	175600	.8858969	NA	160895	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.700159	10.51182	J	19	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	175600	2200	1.012607	212	1	1	-2.424181	-.2695584	-.4022501
TBC1D4_061	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_E08	2	1	plate05	fasted	8	E	J17	84500	117000	100750	22.8099	NA	86045	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	1.88407	5.352471	J	17	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	100750	32500	1.384615	214	0	1	-7.587138	-1.708735	-1.862732
TBC1D4_053	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_E07	2	2	plate05	fasted	7	E	J15	226100	215900	221000	3.26357	NA	206295	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	4.801702	13.6412	J	15	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	221000	10200	.9548872	216	1	1	.6979772	.3351658	.3021995
TBC1D4_094	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_F12	2	1	plate05	fasted	12	F	K17	130800	134900	132850	2.182264	NA	118145	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	2.662914	7.565095	K	17	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	132850	4100	1.031346	245	0	1	-5.430497	-1.246721	-1.246721
TBC1D4_006	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_F01	1	2	plate05	fasted	1	F	K19	193800	265000	229400	21.94682	NA	214695	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	5.005511	14.2202	K	19	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	229400	71200	1.367389	247	1	1	1.607114	.4022501	.4364642
TBC1D4_014	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_F02	1	1	plate05	fasted	2	F	K20			100760		NA	86055	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	1.884312		K	20	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	100760	46680	1.602945	248	0	1			
TBC1D4_022	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_F03	2	2	plate05	fasted	3	F	K21	282800	269400	276100	3.431811	NA	261395	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	6.138596	17.43919	K	21	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	276100	13400	.9526167	249	1	1	4.436376	.9106117	.86416
