index	filename	injset	control_1_mutant_2_uninjected_0	plate	treatment	column	row	well	luminescenceplatea	luminescenceplateb	rlu_mean	rlu_percstdev	conc	rlublanksub	rsquared_gluglo	stdcurvefunction_gluglo	intercept_gluglo	slope_gluglo	blank_gluglo	maxstd_gluglo	glucconc_well_um	gluc	row384	column384	gluglo_assayfilename	assayplategluc	date	experiment	gene	diet	fasted	age	luminiscence_d	delta_lum_d	luminiscence_dd	position	lpl_dich	batch	gluc_Res	intgluc	intgluc_Res
LPL_018	20231122_GGTassay_7dpf_LPL_fasted_plate01_B03	2	2	plate01	fasted	3	B	C03	107100	111300	109200	2.719641	NA	96473.25	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	2.441386	6.935754	C	3	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	109200	4200	1.039216	42	1	1	-1.390511	-.871771	-.0208901
LPL_026	20231122_GGTassay_7dpf_LPL_fasted_plate01_B04	2	1	plate01	fasted	4	B	C04	99580	100800	100190	.8610343	NA	87463.25	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	2.187732	6.215146	C	4	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	100190	1220	1.012251	43	0	1	-2.12149	-1.23544	-.2749777
LPL_034	20231122_GGTassay_7dpf_LPL_fasted_plate01_B05	3	2	plate01	fasted	5	B	C05	96790	94070	95430	2.015436	NA	82703.25	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	2.053725	5.834447	C	5	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	95430	2720	.9718979	44	1	1	-4.426973	-1.439531	-.755415
LPL_042	20231122_GGTassay_7dpf_LPL_fasted_plate01_B06	3	1	plate01	fasted	6	B	C06	112000	108300	110150	2.375211	NA	97423.25	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	2.46813	7.011734	C	6	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	110150	3700	.9669643	45	0	1	-3.260057	-.8122178	-.5977601
LPL_050	20231122_GGTassay_7dpf_LPL_fasted_plate01_B07	4	2	plate01	fasted	7	B	C07	135200	133900	134550	.6831949	NA	121823.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	3.155052	8.963215	C	7	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	134550	1300	.9903846	46	1	1	-.6325318	-.146745	.0627068
LPL_058	20231122_GGTassay_7dpf_LPL_fasted_plate01_B08	4	1	plate01	fasted	8	B	C08	178000	167400	172700	4.340088	NA	159973.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.22907	12.0144	C	8	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	172700	10600	.9404494	47	0	1	2.408285	.5005801	.755415
LPL_066	20231122_GGTassay_7dpf_LPL_fasted_plate01_B09	1	2	plate01	fasted	9	B	C09	110600	107300	108950	2.141764	NA	96223.25	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	2.434347	6.91576	C	9	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	108950	3300	.9701627	48	1	1	-5.196621	-.9345893	-1.072861
LPL_003	20231122_GGTassay_7dpf_LPL_fasted_plate01_C01	1	2	plate01	fasted	1	C	E01	179600	203200	191400	8.718767	NA	178673.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.755522	13.51	E	1	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	191400	23600	1.131403	82	1	1	1.045006	.871771	.5485223
LPL_011	20231122_GGTassay_7dpf_LPL_fasted_plate01_C02	1	1	plate01	fasted	2	C	E02	556300	510300	533300	6.099177	NA	520573.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	14.38086	40.85472	E	2	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	533300	46000	.9173108	83	0	1	28.37935	2.39398	2.39398
LPL_019	20231122_GGTassay_7dpf_LPL_fasted_plate01_C03	2	2	plate01	fasted	3	C	E03	110000	117200	113600	4.481663	NA	100873.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	2.565257	7.287661	E	3	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	113600	7200	1.065455	84	1	1	-1.474193	-.6484922	-.0627068
LPL_027	20231122_GGTassay_7dpf_LPL_fasted_plate01_C04	2	1	plate01	fasted	4	C	E04	200000	194200	197100	2.080781	NA	184373.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.915991	13.96588	E	4	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	197100	5800	.971	85	0	1	5.193659	.9345893	1.23544
LPL_035	20231122_GGTassay_7dpf_LPL_fasted_plate01_C05	3	2	plate01	fasted	5	C	E05	155200	153100	154150	.9632983	NA	141423.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	3.706841	10.5308	E	5	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	154150	2100	.9864691	86	1	1	-.1662101	.2318344	.2749777
LPL_043	20231122_GGTassay_7dpf_LPL_fasted_plate01_C06	3	1	plate01	fasted	6	C	E06	94920	89840	92380	3.888398	NA	79653.25	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	1.96786	5.590512	E	6	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	92380	5080	.9464812	87	0	1	-5.116867	-1.56892	-1.001331
LPL_051	20231122_GGTassay_7dpf_LPL_fasted_plate01_C07	4	2	plate01	fasted	7	C	E07	181100	171700	176400	3.768029	NA	163673.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.333234	12.31032	E	7	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	176400	9400	.948095	88	1	1	2.278989	.5977601	.7009514
LPL_059	20231122_GGTassay_7dpf_LPL_fasted_plate01_C08	4	1	plate01	fasted	8	C	E08	126300	116900	121600	5.466122	NA	108873.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	2.790477	7.92749	E	8	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	121600	9400	.925574	89	0	1	-2.114216	-.3629173	-.2318344
LPL_067	20231122_GGTassay_7dpf_LPL_fasted_plate01_C09	2	2	plate01	fasted	9	C	E09	166600	152900	159750	6.064077	NA	147023.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	3.864495	10.97868	E	9	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	159750	13700	.9177671	90	1	1	2.154598	.2749777	.6484922
LPL_004	20231122_GGTassay_7dpf_LPL_fasted_plate01_D01	1	2	plate01	fasted	1	D	G01	204300	239300	221800	11.15813	NA	209073.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	5.611358	15.94136	G	1	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	221800	35000	1.171317	124	1	1	3.04077	1.23544	1.001331
LPL_012	20231122_GGTassay_7dpf_LPL_fasted_plate01_D02	1	1	plate01	fasted	2	D	G02	121800	125200	123500	1.946691	NA	110773.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	2.843966	8.07945	G	2	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	123500	3400	1.027915	125	0	1	-4.831509	-.3186394	-.9345893
LPL_020	20231122_GGTassay_7dpf_LPL_fasted_plate01_D03	2	2	plate01	fasted	3	D	G03			86860		NA	74133.25	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	1.812459		G	3	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	86860	55880	1.948405	126	1	1			
LPL_028	20231122_GGTassay_7dpf_LPL_fasted_plate01_D04	2	1	plate01	fasted	4	D	G04	121700	101400	111550	12.86801	NA	98823.25	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	2.507544	7.123704	G	4	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	111550	20300	.8331964	127	0	1	-2.084108	-.755415	-.1891184
LPL_036	20231122_GGTassay_7dpf_LPL_fasted_plate01_D05	3	2	plate01	fasted	5	D	G05	120300	117100	118700	1.906269	NA	105973.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	2.708834	7.695552	G	5	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	118700	3200	.9733998	128	1	1	-3.437044	-.4537622	-.6484922
LPL_044	20231122_GGTassay_7dpf_LPL_fasted_plate01_D06	3	1	plate01	fasted	6	D	G06	294300	290700	292500	.8702853	NA	279773.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	7.60174	21.59585	G	6	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	292500	3600	.9877676	129	0	1	10.45288	1.56892	1.56892
LPL_052	20231122_GGTassay_7dpf_LPL_fasted_plate01_D07	4	2	plate01	fasted	7	D	G07	196500	176600	186550	7.542978	NA	173823.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.618982	13.12211	G	7	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	186550	19900	.8987277	130	1	1	2.655185	.755415	.871771
LPL_060	20231122_GGTassay_7dpf_LPL_fasted_plate01_D08	4	1	plate01	fasted	8	D	G08	124100	109300	116700	8.967592	NA	103973.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	2.652529	7.535595	G	8	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	116700	14800	.8807414	131	0	1	-2.941699	-.5005801	-.5005801
LPL_068	20231122_GGTassay_7dpf_LPL_fasted_plate01_D09	1	1	plate01	fasted	9	D	G09	114500	103300	108900	7.272356	NA	96173.25	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	2.43294	6.911761	G	9	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	108900	11200	.9021834	132	0	1	-6.071795	-1.001331	-1.731664
LPL_005	20231122_GGTassay_7dpf_LPL_fasted_plate01_E01	1	2	plate01	fasted	1	E	I01	131400	129800	130600	.866287	NA	117873.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	3.043849	8.647299	I	1	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	130600	1600	.9878234	166	1	1	-4.688877	-.1891184	-.871771
LPL_013	20231122_GGTassay_7dpf_LPL_fasted_plate01_E02	1	1	plate01	fasted	2	E	I02	184200	184000	184100	.0768177	NA	171373.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.550008	12.92616	I	2	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	184100	200	.9989142	167	0	1	-.4203865	.7009514	.1891184
LPL_021	20231122_GGTassay_7dpf_LPL_fasted_plate01_E03	2	2	plate01	fasted	3	E	I03			128278.5		NA	115551.8	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	2.978493		I	3	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7		250443		168	1	1			
LPL_029	20231122_GGTassay_7dpf_LPL_fasted_plate01_E04	2	1	plate01	fasted	4	E	I04	199800	178000	188900	8.160364	NA	176173.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.68514	13.31006	I	4	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	188900	21800	.8908909	169	0	1	3.666657	.8122178	1.072861
LPL_037	20231122_GGTassay_7dpf_LPL_fasted_plate01_E05	3	2	plate01	fasted	5	E	I05	145000	139100	142050	2.936945	NA	129323.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	3.366195	9.563055	I	5	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	142050	5900	.9593104	170	1	1	-2.005129	.0627068	-.146745
LPL_045	20231122_GGTassay_7dpf_LPL_fasted_plate01_E06	3	1	plate01	fasted	6	E	I06			73519.5		NA	60792.75	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	1.43689		I	6	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	73519.5	141161	.0203956	171	0	1			
LPL_053	20231122_GGTassay_7dpf_LPL_fasted_plate01_E07	4	2	plate01	fasted	7	E	I07	254900	237500	246200	4.997424	NA	233473.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	6.298279	17.89284	I	7	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	246200	17400	.931738	172	1	1	6.990327	1.330562	1.439531
LPL_061	20231122_GGTassay_7dpf_LPL_fasted_plate01_E08	4	1	plate01	fasted	8	E	I08	135500	122900	129200	6.895933	NA	116473.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	3.004436	8.535329	I	8	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	129200	12600	.9070111	173	0	1	-2.377553	-.2749777	-.3186394
LPL_069	20231122_GGTassay_7dpf_LPL_fasted_plate01_E09	2	1	plate01	fasted	9	E	I09	81230	72350	76790	8.176987	NA	64063.25	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	1.528963	4.343645	I	9	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	76790	8880	.8906808	174	0	1	-5.351612	-1.959964	-1.23544
LPL_006	20231122_GGTassay_7dpf_LPL_fasted_plate01_F01	1	2	plate01	fasted	1	F	K01	187400	218200	202800	10.7391	NA	190073.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	5.07646	14.42176	K	1	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	202800	30800	1.164354	208	1	1	.6499983	1.001331	.5005801
LPL_014	20231122_GGTassay_7dpf_LPL_fasted_plate01_F02	1	1	plate01	fasted	2	F	K02	121600	121000	121300	.3497643	NA	108573.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	2.782031	7.903497	K	2	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	121300	600	.9950658	209	0	1	-5.878638	-.4079188	-1.56892
LPL_022	20231122_GGTassay_7dpf_LPL_fasted_plate01_F03	2	2	plate01	fasted	3	F	K03			52171.5		NA	39444.75	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	.8358904		K	3	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	52171.5	101457	71.30977	210	1	1			
LPL_030	20231122_GGTassay_7dpf_LPL_fasted_plate01_F04	2	1	plate01	fasted	4	F	K04	155000	129800	142400	12.51341	NA	129673.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	3.376049	9.591047	K	4	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	142400	25200	.8374193	211	0	1	-.4879411	.1046335	.146745
LPL_038	20231122_GGTassay_7dpf_LPL_fasted_plate01_F05	3	2	plate01	fasted	5	F	K05	177700	171700	174700	2.428529	NA	161973.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.285375	12.17436	K	5	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	174700	6000	.9662352	212	1	1	.1705883	.5485223	.4079188
LPL_046	20231122_GGTassay_7dpf_LPL_fasted_plate01_F06	3	1	plate01	fasted	6	F	K06			59610.5		NA	46883.75	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	1.045317		K	6	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	59610.5	114979	.0181127	213	0	1			
LPL_054	20231122_GGTassay_7dpf_LPL_fasted_plate01_F07	4	2	plate01	fasted	7	F	K07	99900	91680	95790	6.067875	NA	83063.25	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	2.06386	5.86324	K	7	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	95790	8220	.9177177	214	1	1	-5.474859	-1.330562	-1.439531
LPL_062	20231122_GGTassay_7dpf_LPL_fasted_plate01_F08	4	1	plate01	fasted	8	F	K08	174700	163600	169150	4.640193	NA	156423.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.129128	11.73048	K	8	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	169150	11100	.9364625	215	0	1	.3820086	.4079188	.4537622
LPL_070	20231122_GGTassay_7dpf_LPL_fasted_plate01_F09	3	1	plate01	fasted	9	F	K09	106300	103000	104650	2.229768	NA	91923.25	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	2.313292	6.571851	K	9	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	104650	3300	.9689558	216	0	1	-5.473405	-1.072861	-1.330562
LPL_007	20231122_GGTassay_7dpf_LPL_fasted_plate01_G01	1	2	plate01	fasted	1	G	M01	375000	404400	389700	5.334601	NA	376973.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	10.33816	29.36978	M	1	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	389700	29400	1.0784	249	1	1	15.1728	1.959964	1.731664
LPL_015	20231122_GGTassay_7dpf_LPL_fasted_plate01_G02	1	1	plate01	fasted	2	G	M02			79782		NA	67055.25	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	1.613195		M	2	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	79782	155836	84.603	250	0	1			
LPL_023	20231122_GGTassay_7dpf_LPL_fasted_plate01_G03	2	2	plate01	fasted	3	G	M03			75775		NA	63048.25	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	1.500388		M	3	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	75775	76250	3.025232	251	1	1			
LPL_031	20231122_GGTassay_7dpf_LPL_fasted_plate01_G04	2	1	plate01	fasted	4	G	M04	242100	171700	206900	24.06009	NA	194173.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	5.191885	14.74967	M	4	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	206900	70400	.7092111	252	0	1	4.24547	1.150349	1.150349
LPL_039	20231122_GGTassay_7dpf_LPL_fasted_plate01_G05	3	2	plate01	fasted	5	G	M05	145700	128600	137150	8.816278	NA	124423.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	3.228248	9.17116	M	5	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	137150	17100	.8826355	253	1	1	-3.257829	-.0208901	-.5485223
LPL_047	20231122_GGTassay_7dpf_LPL_fasted_plate01_G06	3	1	plate01	fasted	6	G	M06			125900.5		NA	113173.8	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	2.911546		M	6	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7		246199		254	0	1			
LPL_055	20231122_GGTassay_7dpf_LPL_fasted_plate01_G07	4	2	plate01	fasted	7	G	M07	111000	160400	135700	25.7414	NA	122973.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	3.187427	9.05519	M	7	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	135700	49400	1.445045	255	1	1	-2.708125	-.1046335	-.4537622
LPL_063	20231122_GGTassay_7dpf_LPL_fasted_plate01_G08	4	1	plate01	fasted	8	G	M08	213300	196100	204700	5.941493	NA	191973.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	5.12995	14.57372	M	8	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	204700	17200	.9193624	256	0	1	2.800034	1.072861	.9345893
LPL_071	20231122_GGTassay_7dpf_LPL_fasted_plate01_G09	4	1	plate01	fasted	9	G	M09	178000	157500	167750	8.641245	NA	155023.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.089715	11.61851	M	9	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	LPL	fasted	1	7	167750	20500	.8848315	257	0	1	-.1655494	.3186394	.3186394
