index	filename	injset	control_1_mutant_2_uninjected_0	plate	treatment	column	row	well	luminescenceplatea	luminescenceplateb	rlu_mean	rlu_percstdev	conc	rlublanksub	rsquared_gluglo	stdcurvefunction_gluglo	intercept_gluglo	slope_gluglo	blank_gluglo	maxstd_gluglo	glucconc_well_um	gluc	row384	column384	gluglo_assayfilename	assayplategluc	date	experiment	gene	diet	fasted	age	luminiscence_d	delta_lum_d	luminiscence_dd	position	adra2a_dich	batch	gluc_Res	intgluc	intgluc_Res
ADRA2A_034	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_B05	1	1	plate03	fasted	5	B	C09	546700	452700	499700	13.30159	NA	482550	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	11.04586	31.38028	C	9	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	499700	94000	.8280593	53	0	1	4.960391	1.061503	.7050659
ADRA2A_050	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_B07	1	2	plate03	fasted	7	B	C14	141800	131000	136400	5.598793	NA	119250	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	2.67302	7.593807	C	14	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	136400	10800	.9238364	57	1	1	-18.76624	-2.341027	-2.341027
ADRA2A_058	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_B08	1	1	plate03	fasted	8	B	C16	399300	442800	421050	7.305343	NA	403900	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	9.233243	26.2308	C	16	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	421050	43500	1.108941	59	0	1	-.0993295	.1695239	-.0723697
ADRA2A_066	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_B09	1	2	plate03	fasted	9	B	C18	518800	485700	502250	4.660077	NA	485100	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	11.10463	31.54724	C	18	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	502250	33100	.9361989	61	1	1	5.247029	1.150349	.7683021
ADRA2A_003	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_C01	1	2	plate03	fasted	1	C	E01	450700	495300	473000	6.667434	NA	455850	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	10.43052	29.63214	E	1	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	473000	44600	1.098957	89	1	1	3.750816	.7683021	.6445316
ADRA2A_011	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_C02	1	1	plate03	fasted	2	C	E03	367400	346200	356800	4.201419	NA	339650	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	7.752497	22.02414	E	3	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	356800	21200	.9422972	91	0	1	-3.82727	-.3697907	-.5862727
ADRA2A_027	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_C04	1	2	plate03	fasted	4	C	E07	466200	438100	452150	4.394493	NA	435000	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	9.949993	28.26702	E	7	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	452150	28100	.9397255	95	1	1	2.475456	.4752407	.4752407
ADRA2A_035	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_C05	1	1	plate03	fasted	5	C	E09	451100	383400	417250	11.47301	NA	400100	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	9.145665	25.982	E	9	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	417250	67700	.8499224	97	0	1	.2203556	.0723697	.0241045
ADRA2A_051	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_C07	1	2	plate03	fasted	7	C	E14	455900	478100	467000	3.361407	NA	449850	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	10.29224	29.23931	E	14	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	467000	22200	1.048695	101	1	1	3.537497	.7050659	.5862727
ADRA2A_059	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_C08	1	1	plate03	fasted	8	C	E16	288200	299700	293950	2.766364	NA	276800	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	6.304017	17.90914	E	16	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	293950	11500	1.039903	103	0	1	-7.76275	-1.150349	-1.061503
ADRA2A_004	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_D01	1	2	plate03	fasted	1	D	G01	375200	381400	378300	1.158885	NA	361150	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	8.247999	23.43182	G	1	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	378300	6200	1.016525	131	1	1	-1.821189	-.2186495	-.4219289
ADRA2A_012	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_D02	1	1	plate03	fasted	2	D	G03	232800	209300	221050	7.517308	NA	203900	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	4.623917	13.13613	G	3	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	221050	23500	.899055	133	0	1	-12.08696	-1.496147	-1.898029
ADRA2A_028	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_D04	1	2	plate03	fasted	4	D	G07	318100	313700	315900	.9848908	NA	298750	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	6.80989	19.34628	G	7	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	315900	4400	.9861678	137	1	1	-5.816967	-.9051525	-.9803303
ADRA2A_036	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_D05	1	1	plate03	fasted	5	D	G09	491500	411600	451550	12.51198	NA	434400	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	9.936165	28.22774	G	9	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	451550	79900	.8374364	139	0	1	3.094416	.4219289	.5299395
ADRA2A_052	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_D07	1	2	plate03	fasted	7	D	G14	400800	438800	419800	6.400681	NA	402650	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	9.204434	26.14896	G	14	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	419800	38000	1.09481	143	1	1	1.075478	.1208042	.2186495
ADRA2A_060	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_D08	1	1	plate03	fasted	8	D	G16	400400	408800	404600	1.468042	NA	387450	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	8.854126	25.15377	G	16	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	404600	8400	1.020979	145	0	1	.1102024	-.0241045	-.0241045
ADRA2A_005	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_E01	1	2	plate03	fasted	1	E	I01	355300	303300	329300	11.16597	NA	312150	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	7.118715	20.22362	I	1	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	329300	52000	.8536448	173	1	1	-4.40106	-.6445316	-.7050659
ADRA2A_013	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_E02	1	1	plate03	fasted	2	E	I03	335000	327200	331100	1.665791	NA	313950	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	7.160199	20.34147	I	3	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	331100	7800	.9767164	175	0	1	-4.253289	-.5862727	-.6445316
ADRA2A_029	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_E04	1	2	plate03	fasted	4	E	I07	365700	383700	374700	3.39683	NA	357550	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	8.165031	23.19611	I	7	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	374700	18000	1.049221	179	1	1	-1.338809	-.2683089	-.3186394
ADRA2A_037	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_E05	1	1	plate03	fasted	5	E	I09	436600	362100	399350	13.1913	NA	382200	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	8.733131	24.81003	I	9	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	399350	74500	.8293633	181	0	1	.305031	-.0723697	.0723697
ADRA2A_053	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_E07	1	2	plate03	fasted	7	E	I14	399900	448500	424200	8.101223	NA	407050	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	9.30584	26.43704	I	14	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	424200	48600	1.12153	185	1	1	1.991884	.2683089	.4219289
ADRA2A_061	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_E08	1	1	plate03	fasted	8	E	I16	215900	221100	218500	1.682817	NA	201350	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	4.565148	12.96917	I	16	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	218500	5200	1.024085	187	0	1	-11.44607	-1.663793	-1.663793
ADRA2A_006	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_F01	1	2	plate03	fasted	1	F	K01	491100	476500	483800	2.13389	NA	466650	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	10.67942	30.33926	K	1	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	483800	14600	.9702708	215	1	1	6.3429	.8347719	.9051525
ADRA2A_014	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_F02	1	1	plate03	fasted	2	F	K03	501300	472300	486800	4.212428	NA	469650	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	10.74856	30.53568	K	3	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	486800	29000	.9421504	217	0	1	6.569239	.9051525	1.061503
ADRA2A_030	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_F04	1	2	plate03	fasted	4	F	K07	392900	402100	397500	1.636574	NA	380350	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	8.690495	24.68891	K	7	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	397500	9200	1.023416	221	1	1	.7823085	-.1208042	.1695239
ADRA2A_038	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_F05	1	1	plate03	fasted	5	F	K09	318900	276300	297600	10.12189	NA	280450	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	6.388136	18.14812	K	9	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	297600	42600	.8664158	223	0	1	-5.728562	-.9803303	-.8347719
ADRA2A_054	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_F07	1	2	plate03	fasted	7	F	K14	533200	571500	552350	4.903085	NA	535200	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	12.25926	34.82746	K	14	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	552350	38300	1.071831	227	1	1	11.01062	1.496147	1.898029
ADRA2A_062	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_F08	1	1	plate03	fasted	8	F	K16	308700	324200	316450	3.463471	NA	299300	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	6.822566	19.38229	K	16	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	316450	15500	1.050211	229	0	1	-4.404629	-.8347719	-.7683021
ADRA2A_070	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_F09	1	1	plate03	fasted	9	F	K18	427600	399600	413600	4.78699	NA	396450	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	9.061545	25.74303	K	18	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	413600	28000	.9345182	231	0	1	1.98603	.0241045	.3697907
ADRA2A_007	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_G01	1	2	plate03	fasted	1	G	M01	262700	224700	243700	11.02588	NA	226550	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	5.145923	14.6191	M	1	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	243700	38000	.8553483	258	1	1	-8.733974	-1.249346	-1.249346
ADRA2A_015	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_G02	1	1	plate03	fasted	2	G	M03	375500	282500	329000	19.98812	NA	311850	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	7.111801	20.20398	M	3	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	329000	93000	.7523302	260	0	1	-3.119174	-.7050659	-.4752407
ADRA2A_031	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_G04	1	2	plate03	fasted	4	G	M07	741100	766800	753950	2.410325	NA	736800	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	16.90547	48.02689	M	7	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	753950	25700	1.034678	264	1	1	24.76358	2.341027	2.341027
ADRA2A_039	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_G05	1	1	plate03	fasted	5	G	M09	418400	326100	372250	17.53283	NA	355100	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	8.108567	23.0357	M	9	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	372250	92300	.7793977	266	0	1	-.1976914	-.3186394	-.1208042
ADRA2A_055	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_G07	1	2	plate03	fasted	7	G	M14	333800	371700	352750	7.597263	NA	335600	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	7.659158	21.75897	M	14	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	352750	37900	1.113541	270	1	1	-1.414581	-.4752407	-.3697907
ADRA2A_063	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_G08	1	1	plate03	fasted	8	G	M16	361900	401800	381850	7.38865	NA	364700	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	8.329815	23.66425	M	16	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	381850	39900	1.110251	272	0	1	.5206149	-.1695239	.1208042
ADRA2A_071	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_G09	1	1	plate03	fasted	9	G	M18	356800	350600	353700	1.239486	NA	336550	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	7.681052	21.82117	M	18	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	353700	6200	.9826233	274	0	1	-1.292542	-.4219289	-.2683089
ADRA2A_008	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_H01	1	2	plate03	fasted	1	H	O01	267600	194200	230900	22.47797	NA	213750	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	4.850926	13.78104	O	1	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	230900	73400	.72571	301	1	1	-8.928749	-1.362383	-1.362383
ADRA2A_016	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_H02	1	1	plate03	fasted	2	H	O03	257700	136300	197000	43.57501	NA	179850	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	4.069646	11.56149	O	3	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	197000	121400	.5289096	303	0	1	-11.11838	-1.898029	-1.496147
ADRA2A_032	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_H04	1	2	plate03	fasted	4	H	O07	440800	486200	463500	6.926137	NA	446350	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	10.21157	29.01015	O	7	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	463500	45400	1.102995	307	1	1	6.39012	.5862727	.9803303
ADRA2A_040	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_H05	1	1	plate03	fasted	5	H	O09	354700	278600	316650	16.99379	NA	299500	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	6.827175	19.39538	O	9	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	316650	76100	.7854525	309	0	1	-3.194725	-.7683021	-.5299395
ADRA2A_056	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_H07	1	2	plate03	fasted	7	H	O14			568050		NA	550900	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	12.6211		O	14	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7		161900		312	1	1			
ADRA2A_064	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_H08	1	1	plate03	fasted	8	H	O16	428500	501400	464950	11.0868	NA	447800	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	10.24499	29.10509	O	16	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	464950	72900	1.170128	314	0	1	6.589777	.6445316	1.150349
ADRA2A_072	20230810_GGTassay_7dpf_ADRA2A_fasted_plate03_H09	1	1	plate03	fasted	9	H	O18	500300	493700	497000	.939015	NA	479850	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	10.98363	31.20351	O	18	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	ADRA2A	fasted	1	7	497000	6600	.9868079	316	0	1	8.718118	.9803303	1.496147
