index	filename	injset	control_1_mutant_2_uninjected_0	plate	treatment	column	row	well	luminescenceplatea	luminescenceplateb	rlu_mean	rlu_percstdev	conc	rlublanksub	rsquared_gluglo	stdcurvefunction_gluglo	intercept_gluglo	slope_gluglo	blank_gluglo	maxstd_gluglo	glucconc_well_um	gluc	row384	column384	gluglo_assayfilename	assayplategluc	date	experiment	gene	diet	fasted	age	luminiscence_d	delta_lum_d	luminiscence_dd	position	igf1_dich	batch	gluc_Res	intgluc	intgluc_Res
IGF1_089	20230831_GGTassay_7dpf_IGF1_fasted_plate01_A12	1	2	plate01	fasted	12	A	A21	667600	551900	609750	13.41734	NA	596983.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	11.54922	32.81027	A	21	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	IGF1	fasted	1	7	609750	115700	.8266926	18	1	1	5.342566	.2487277	.5572144
IGF1_073	20230831_GGTassay_7dpf_IGF1_fasted_plate01_A10	2	2	plate01	fasted	10	A	A22	1527000	1279000	1403000	12.49911	NA	1390234	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	26.85989	76.3065	A	22	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	IGF1	fasted	1	7	1403000	248000	.83759	19	1	1	41.17136	1.930286	2.036834
KITA1_089	20230831_GGTassay_7dpf_KITA1_fasted_plate03_A12	1	1	plate03	fasted	12	A	B23	431100	365100	398100	11.72295	NA	385333.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	7.464118	21.20488	B	23	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	KITA1	fasted	1	7	398100	66000	.8469033	20	0	1	-6.294546	-.6838853	-.3108004
KITA1_073	20230831_GGTassay_7dpf_KITA1_fasted_plate03_A10	2	1	plate03	fasted	10	A	B22	517500	397800	457650	18.49463	NA	444883.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	8.613504	24.47018	B	22	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	KITA1	fasted	1	7	457650	119700	.7686957	21	0	1	-10.69667	-.326498	-.7220917
KITA1_081	20230831_GGTassay_7dpf_KITA1_fasted_plate03_A11	1	1	plate03	fasted	11	A	B21	230200	189400	209800	13.75117	NA	197033.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	3.829704	10.87984	B	21	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	KITA1	fasted	1	7	209800	40800	.8227628	22	0	1	-16.65131	-1.699178	-1.258162
KITA1_065	20230831_GGTassay_7dpf_KITA1_fasted_plate03_A09	1	1	plate03	fasted	9	A	B20	337100	229600	283350	26.82689	NA	270583.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	5.249307	14.9128	B	20	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	KITA1	fasted	1	7	283350	107500	.6811035	23	0	1	-12.63421	-1.326954	-.8226373
KITA1_057	20230831_GGTassay_7dpf_KITA1_fasted_plate03_A08	2	1	plate03	fasted	8	A	B18	510300	422100	466200	13.3777	NA	453433.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	8.778529	24.939	B	18	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	KITA1	fasted	1	7	466200	88200	.8271605	25	0	1	-10.29129	-.295179	-.6466521
KITA1_049	20230831_GGTassay_7dpf_KITA1_fasted_plate03_A07	1	1	plate03	fasted	7	A	B16	397800	365000	381400	6.081044	NA	368633.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	7.141788	20.28917	B	16	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	KITA1	fasted	1	7	381400	32800	.9175465	27	0	1	-7.321281	-.741594	-.390146
KITA1_041	20230831_GGTassay_7dpf_KITA1_fasted_plate03_A06	2	1	plate03	fasted	6	A	B14	250300	233900	242100	4.789984	NA	229333.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	4.453133	12.65094	B	14	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	KITA1	fasted	1	7	242100	16400	.9344786	29	0	1	-22.6428	-1.584433	-1.766089
KITA1_033	20230831_GGTassay_7dpf_KITA1_fasted_plate03_A05	1	1	plate03	fasted	5	A	B09	363400	293600	328500	15.02467	NA	315733.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	6.120756	17.38851	B	9	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	KITA1	fasted	1	7	328500	69800	.8079252	31	0	1	-10.28539	-1.003798	-.6283695
KITA1_025	20230831_GGTassay_7dpf_KITA1_fasted_plate03_A04	2	1	plate03	fasted	4	A	B07	767700	519200	643450	27.30842	NA	630683.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	12.19967	34.65814	B	7	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	KITA1	fasted	1	7	643450	248500	.6763058	33	0	1	-.6990406	.3581406	.1875997
KITA1_017	20230831_GGTassay_7dpf_KITA1_fasted_plate03_A03	1	1	plate03	fasted	3	A	B05	552800	473600	513200	10.91248	NA	500433.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	9.685685	27.51615	B	5	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	KITA1	fasted	1	7	513200	79200	.8567294	35	0	1	-.2211863	-.0671924	.2028072
KITA1_009	20230831_GGTassay_7dpf_KITA1_fasted_plate03_A02	2	1	plate03	fasted	2	A	B03	491300	440500	465900	7.710029	NA	453133.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	8.772739	24.92255	B	3	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	KITA1	fasted	1	7	465900	50800	.8966008	37	0	1	-10.49807	-.3108004	-.6838853
KITA1_001	20230831_GGTassay_7dpf_KITA1_fasted_plate03_A01	1	1	plate03	fasted	1	A	B01	378600	321100	349850	11.62173	NA	337083.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	6.532836	18.55919	B	1	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	KITA1	fasted	1	7	349850	57500	.8481247	39	0	1	-9.241588	-.909483	-.5226893
IGF1_002	20230831_GGTassay_7dpf_IGF1_fasted_plate01_B01	1	2	plate01	fasted	1	B	C01	391400	316500	353950	14.96321	NA	341183.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	6.611971	18.78401	C	1	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	IGF1	fasted	1	7	353950	74900	.8086357	40	1	1	-9.032633	-.8652442	-.4887764
IGF1_010	20230831_GGTassay_7dpf_IGF1_fasted_plate01_B02	2	2	plate01	fasted	2	B	C03	585400	576500	580950	1.083269	NA	568183.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	10.99334	31.23108	C	3	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	IGF1	fasted	1	7	580950	8900	.9847967	42	1	1	-4.268846	.1271654	-.1724354
IGF1_018	20230831_GGTassay_7dpf_IGF1_fasted_plate01_B03	1	2	plate01	fasted	3	B	C05	24980	24760	24870	.6255066	NA	12103.83	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	.2603347	.7395872	C	5	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	IGF1	fasted	1	7	24870	220	.9911929	44	1	1	-27.1405	-2.368567	-2.036834
IGF1_026	20230831_GGTassay_7dpf_IGF1_fasted_plate01_B04	2	2	plate01	fasted	4	B	C07	1023000	869600	946300	11.46256	NA	933533.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	18.04503	51.26429	C	7	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	IGF1	fasted	1	7	946300	153400	.8500489	46	1	1	15.70092	1.164929	1.108011
IGF1_034	20230831_GGTassay_7dpf_IGF1_fasted_plate01_B05	1	2	plate01	fasted	5	B	C09	1698000	1551000	1624500	6.398565	NA	1611734	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	31.1351	88.45199	C	9	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	IGF1	fasted	1	7	1624500	147000	.9134276	48	1	1	60.50846	2.368567	2.750393
IGF1_042	20230831_GGTassay_7dpf_IGF1_fasted_plate01_B06	2	2	plate01	fasted	6	B	C14	735100	605700	670400	13.64851	NA	657633.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	12.71983	36.13589	C	14	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	IGF1	fasted	1	7	670400	129400	.8239695	50	1	1	.5090729	.3982089	.2796293
IGF1_050	20230831_GGTassay_7dpf_IGF1_fasted_plate01_B07	1	2	plate01	fasted	7	B	C16	596000	505500	550750	11.61928	NA	537983.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	10.41045	29.57513	C	16	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	IGF1	fasted	1	7	550750	90500	.8481544	52	1	1	1.568159	.0821546	.326498
IGF1_058	20230831_GGTassay_7dpf_IGF1_fasted_plate01_B08	2	2	plate01	fasted	8	B	C18	803900	667800	735850	13.07838	NA	723083.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	13.9831	39.7247	C	18	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	IGF1	fasted	1	7	735850	136100	.8307003	54	1	1	4.034448	.6838853	.4554166
IGF1_082	20230831_GGTassay_7dpf_IGF1_fasted_plate01_B11	1	2	plate01	fasted	11	B	C19	538700	448900	493800	12.85909	NA	481033.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	9.311242	26.45239	C	19	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	IGF1	fasted	1	7	493800	89800	.8333024	55	1	1	-1.602159	-.2028072	.1724354
IGF1_066	20230831_GGTassay_7dpf_IGF1_fasted_plate01_B09	1	2	plate01	fasted	9	B	C20	192600	160200	176400	12.98768	NA	163633.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	3.185044	9.048421	C	20	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	IGF1	fasted	1	7	176400	32400	.8317757	56	1	1	-19.02199	-1.930286	-1.326954
IGF1_090	20230831_GGTassay_7dpf_IGF1_fasted_plate01_B12	1	2	plate01	fasted	12	B	C21	384600	326800	355700	11.49024	NA	342933.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	6.645748	18.87996	C	21	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	IGF1	fasted	1	7	355700	57800	.849714	57	1	1	-9.206308	-.8437493	-.5056602
IGF1_074	20230831_GGTassay_7dpf_IGF1_fasted_plate01_B10	2	2	plate01	fasted	10	B	C22	672400	533600	603000	16.27636	NA	590233.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	11.41893	32.44015	C	22	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	IGF1	fasted	1	7	603000	138800	.7935752	58	1	1	-3.313552	.2028072	-.0074603
KITA1_090	20230831_GGTassay_7dpf_KITA1_fasted_plate03_B12	1	1	plate03	fasted	12	B	D23	489100	449000	469050	6.045194	NA	456283.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	8.833538	25.09528	D	23	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	KITA1	fasted	1	7	469050	40100	.9180127	59	0	1	-3.022716	-.2796293	.0223825
KITA1_074	20230831_GGTassay_7dpf_KITA1_fasted_plate03_B10	2	1	plate03	fasted	10	B	D22	328600	274600	301600	12.6604	NA	288833.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	5.601553	15.9135	D	22	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	KITA1	fasted	1	7	301600	54000	.8356665	60	0	1	-19.87192	-1.225895	-1.534121
KITA1_082	20230831_GGTassay_7dpf_KITA1_fasted_plate03_B11	1	1	plate03	fasted	11	B	D21	442700	384000	413350	10.04165	NA	400583.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	7.758461	22.04108	D	21	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	KITA1	fasted	1	7	413350	58700	.8674046	61	0	1	-6.108631	-.6283695	-.2796293
KITA1_066	20230831_GGTassay_7dpf_KITA1_fasted_plate03_B09	1	1	plate03	fasted	9	B	D20	268500	225000	246750	12.46571	NA	233983.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	4.542883	12.90592	D	20	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	KITA1	fasted	1	7	246750	43500	.8379889	62	0	1	-15.25966	-1.487417	-1.13601
KITA1_058	20230831_GGTassay_7dpf_KITA1_fasted_plate03_B08	2	1	plate03	fasted	8	B	D18	337900	285600	311750	11.86261	NA	298983.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	5.797461	16.47006	D	18	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	KITA1	fasted	1	7	311750	52300	.8452205	64	0	1	-19.37881	-1.108011	-1.402673
KITA1_050	20230831_GGTassay_7dpf_KITA1_fasted_plate03_B07	1	1	plate03	fasted	7	B	D16	326700	298100	312400	6.473513	NA	299633.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	5.810006	16.5057	D	16	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	KITA1	fasted	1	7	312400	28600	.9124579	66	0	1	-11.72332	-1.080854	-.7613826
KITA1_042	20230831_GGTassay_7dpf_KITA1_fasted_plate03_B06	2	1	plate03	fasted	6	B	D14	449800	377900	413850	12.28488	NA	401083.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	7.768112	22.0685	D	14	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	KITA1	fasted	1	7	413850	71900	.8401512	68	0	1	-13.84381	-.6102946	-.9794029
KITA1_034	20230831_GGTassay_7dpf_KITA1_fasted_plate03_B05	1	1	plate03	fasted	5	B	D09	560600	496800	528700	8.532894	NA	515933.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	9.984854	28.36606	D	9	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	KITA1	fasted	1	7	528700	63800	.8861933	70	0	1	.0736005	-.0074603	.2333673
KITA1_026	20230831_GGTassay_7dpf_KITA1_fasted_plate03_B04	2	1	plate03	fasted	4	B	D07	387400	235900	311650	34.37403	NA	298883.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	5.79553	16.46457	D	7	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	KITA1	fasted	1	7	311650	151500	.6089314	72	0	1	-19.51118	-1.13601	-1.487417
KITA1_018	20230831_GGTassay_7dpf_KITA1_fasted_plate03_B03	1	1	plate03	fasted	3	B	D05	630000	602900	616450	3.10854	NA	603683.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	11.67853	33.17765	D	5	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	KITA1	fasted	1	7	616450	27100	.9569841	74	0	1	4.821746	.2796293	.5226893
KITA1_010	20230831_GGTassay_7dpf_KITA1_fasted_plate03_B02	2	1	plate03	fasted	2	B	D03	304900	261000	282950	10.97084	NA	270183.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	5.241586	14.89087	D	3	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	KITA1	fasted	1	7	282950	43900	.8560184	76	0	1	-21.14832	-1.363836	-1.699178
KITA1_002	20230831_GGTassay_7dpf_KITA1_fasted_plate03_B01	1	1	plate03	fasted	1	B	D01	868100	740900	804500	11.18011	NA	791733.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	15.30812	43.48898	D	1	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	KITA1	fasted	1	7	804500	127200	.8534731	78	0	1	15.06964	.9555776	1.054472
IGF1_003	20230831_GGTassay_7dpf_IGF1_fasted_plate01_C01	1	2	plate01	fasted	1	C	E01	408300	313400	360850	18.59621	NA	348083.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	6.745149	19.16236	E	1	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	IGF1	fasted	1	7	360850	94900	.7675729	79	1	1	-9.272852	-.8226373	-.5398714
IGF1_011	20230831_GGTassay_7dpf_IGF1_fasted_plate01_C02	2	2	plate01	fasted	2	C	E03	642800	565400	604100	9.059769	NA	591333.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	11.44016	32.50047	E	3	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	IGF1	fasted	1	7	604100	77400	.8795893	81	1	1	-3.61803	.2180618	-.0821546
IGF1_019	20230831_GGTassay_7dpf_IGF1_fasted_plate01_C03	1	2	plate01	fasted	3	C	E05	209800	181800	195800	10.11184	NA	183033.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	3.559487	10.11218	E	5	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	IGF1	fasted	1	7	195800	28000	.8665395	83	1	1	-18.38647	-1.766089	-1.291794
IGF1_027	20230831_GGTassay_7dpf_IGF1_fasted_plate01_C04	2	2	plate01	fasted	4	C	E07	1309000	1097000	1203000	12.46107	NA	1190234	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	22.99965	65.3399	E	7	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	IGF1	fasted	1	7	1203000	212000	.8380443	85	1	1	29.15797	1.487417	1.443749
IGF1_035	20230831_GGTassay_7dpf_IGF1_fasted_plate01_C05	1	2	plate01	fasted	5	C	E09	753800	704600	729200	4.770935	NA	716433.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	13.85474	39.36007	E	9	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	IGF1	fasted	1	7	729200	49200	.9347307	87	1	1	10.79797	.6283695	.8018857
IGF1_043	20230831_GGTassay_7dpf_IGF1_fasted_plate01_C06	2	2	plate01	fasted	6	C	E14	635100	542600	588850	11.10765	NA	576083.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	11.14582	31.66426	E	14	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	IGF1	fasted	1	7	588850	92500	.8543537	89	1	1	-4.581118	.1875997	-.1875997
IGF1_051	20230831_GGTassay_7dpf_IGF1_fasted_plate01_C07	1	2	plate01	fasted	7	C	E16	911200	783000	847100	10.70134	NA	834333.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	16.13035	45.82487	E	16	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	IGF1	fasted	1	7	847100	128200	.8593064	91	1	1	17.19933	1.028805	1.164929
IGF1_059	20230831_GGTassay_7dpf_IGF1_fasted_plate01_C08	2	2	plate01	fasted	8	C	E18	842000	700100	771050	13.01322	NA	758283.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	14.6625	41.65482	E	18	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	IGF1	fasted	1	7	771050	141900	.8314727	93	1	1	5.346	.741594	.5747266
IGF1_083	20230831_GGTassay_7dpf_IGF1_fasted_plate01_C11	1	2	plate01	fasted	11	C	E19	717900	628000	672950	9.446303	NA	660183.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	12.76905	36.27571	E	19	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	IGF1	fasted	1	7	672950	89900	.8747736	94	1	1	7.602593	.4389272	.6651534
IGF1_067	20230831_GGTassay_7dpf_IGF1_fasted_plate01_C09	1	2	plate01	fasted	9	C	E20	771700	682600	727150	8.664404	NA	714383.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	13.81518	39.24766	E	20	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	IGF1	fasted	1	7	727150	89100	.8845406	95	1	1	10.55868	.5747266	.7814739
IGF1_091	20230831_GGTassay_7dpf_IGF1_fasted_plate01_C12	1	2	plate01	fasted	12	C	E21	782300	620700	701500	16.28916	NA	688733.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	13.3201	37.84119	E	21	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	IGF1	fasted	1	7	701500	161600	.7934296	96	1	1	9.136354	.5056602	.7220917
IGF1_075	20230831_GGTassay_7dpf_IGF1_fasted_plate01_C10	2	2	plate01	fasted	10	C	E22	535400	443800	489600	13.22937	NA	476833.8	.9761651	y = 51810.2732131223 * x + ( -1384.17853831807 )	-1384.179	51810.27	12766.17	2601167	9.230177	26.2221	E	22	GTT_DAY4_GLUGLO_plate-01	1	20230831	GGTassay	IGF1	fasted	1	7	489600	91600	.828913	97	1	1	-10.15017	-.2333673	-.6102946
