index	filename	injset	control_1_mutant_2_uninjected_0	plate	treatment	column	row	well	luminescenceplatea	luminescenceplateb	rlu_mean	rlu_percstdev	conc	rlublanksub	rsquared_gluglo	stdcurvefunction_gluglo	intercept_gluglo	slope_gluglo	blank_gluglo	maxstd_gluglo	glucconc_well_um	gluc	row384	column384	gluglo_assayfilename	assayplategluc	date	experiment	gene	diet	fasted	age	luminiscence_d	delta_lum_d	luminiscence_dd	position	acrv1c_dich	batch	gluc_Res	intgluc	intgluc_Res
ACRV1C_081	20230811_GGTassay_7dpf_ACRV1C_fasted_plate01_A11	1	2	plate01	fasted	11	A	A11	882400	635000	758700	23.05763	NA	747685.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	11.71033	33.26798	A	11	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	ACRV1C	fasted	1	7	758700	247400	.7196283	11	1	1	12.73078	1.218774	1.452017
KITA1_001	20230811_GGTassay_7dpf_KITA1_fasted_plate02_A01	2	1	plate02	fasted	1	A	A13	261300	186800	224050	23.51237	NA	213035.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	3.036471	8.626338	A	13	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	KITA1	fasted	1	7	224050	74500	.7148871	12	0	1	-11.92381	-1.452017	-1.365887
KITA1_009	20230811_GGTassay_7dpf_KITA1_fasted_plate02_A02	3	1	plate02	fasted	2	A	A14			583450		NA	572435.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	8.867173		A	14	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	KITA1	fasted	1	7	583450	334100	.5548301	13	0	1			
KITA1_017	20230811_GGTassay_7dpf_KITA1_fasted_plate02_A03	2	1	plate02	fasted	3	A	A15	427300	399200	413250	4.808155	NA	402235.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	6.105945	17.34643	A	15	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	KITA1	fasted	1	7	413250	28100	.9342383	14	0	1	-3.229625	-.553943	-.3249447
KITA1_025	20230811_GGTassay_7dpf_KITA1_fasted_plate02_A04	3	1	plate02	fasted	4	A	A16	719800	695400	707600	2.438299	NA	696585.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	10.88131	30.91282	A	16	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	KITA1	fasted	1	7	707600	24400	.9661017	15	0	1	10.32381	.8622772	1.123685
KITA1_033	20230811_GGTassay_7dpf_KITA1_fasted_plate02_A05	2	1	plate02	fasted	5	A	A17	180700	160100	170400	8.548357	NA	159385.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	2.166084	6.153647	A	17	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	KITA1	fasted	1	7	170400	20600	.8859989	16	0	1	-14.44832	-1.811499	-1.605971
KITA1_041	20230811_GGTassay_7dpf_KITA1_fasted_plate02_A06	3	1	plate02	fasted	6	A	A18	697500	626700	662100	7.561269	NA	651085.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	10.14315	28.81576	A	18	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	KITA1	fasted	1	7	662100	70800	.8984946	17	0	1	8.200839	.7099954	.8622772
KITA1_049	20230811_GGTassay_7dpf_KITA1_fasted_plate02_A07	2	1	plate02	fasted	7	A	A19	334300	297200	315750	8.308365	NA	304735.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	4.52416	12.85273	A	19	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	KITA1	fasted	1	7	315750	37100	.8890218	18	0	1	-7.775146	-1.010821	-.8393483
KITA1_057	20230811_GGTassay_7dpf_KITA1_fasted_plate02_A08	3	1	plate02	fasted	8	A	A20	883200	594400	738800	27.6411	NA	727785.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	11.38748	32.35081	A	20	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	KITA1	fasted	1	7	738800	288800	.6730072	19	0	1	11.70998	1.123685	1.288844
KITA1_065	20230811_GGTassay_7dpf_KITA1_fasted_plate02_A09	2	1	plate02	fasted	9	A	A21	412300	392600	402450	3.4613	NA	391435.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	5.930732	16.84867	A	21	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	KITA1	fasted	1	7	402450	19700	.9522192	20	0	1	-3.805111	-.5915677	-.445372
KITA1_073	20230811_GGTassay_7dpf_KITA1_fasted_plate02_A10	3	1	plate02	fasted	10	A	A22	620200	517900	569050	12.71189	NA	558035.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	8.633556	24.52715	A	22	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	KITA1	fasted	1	7	569050	102300	.8350532	21	0	1	3.860414	.2748396	.4278095
KITA1_081	20230811_GGTassay_7dpf_KITA1_fasted_plate02_A11	2	1	plate02	fasted	11	A	A23	269400	242300	255850	7.489777	NA	244835.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	3.552376	10.09198	A	23	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	KITA1	fasted	1	7	255850	27100	.8994061	22	0	1	-10.58771	-1.365887	-1.123685
KITA1_089	20230811_GGTassay_7dpf_KITA1_fasted_plate02_A12	3	1	plate02	fasted	12	A	A24	563500	446300	504900	16.41373	NA	493885.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	7.592823	21.57052	A	24	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	KITA1	fasted	1	7	504900	117200	.7920142	23	0	1	.8778779	-.031937	.2254155
ACRV1C_002	20230811_GGTassay_7dpf_ACRV1C_fasted_plate01_B01	2	2	plate01	fasted	1	B	C01	483400	426300	454850	8.876728	NA	443835.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	6.78084	19.26375	C	1	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	ACRV1C	fasted	1	7	454850	57100	.8818784	47	1	1	-1.739776	-.3081584	-.1441901
ACRV1C_010	20230811_GGTassay_7dpf_ACRV1C_fasted_plate01_B02	3	2	plate01	fasted	2	B	C02	644000	565400	604700	9.191102	NA	593685.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	9.211922	26.17023	C	2	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	ACRV1C	fasted	1	7	604700	78600	.8779503	48	1	1	5.153751	.4989219	.553943
ACRV1C_018	20230811_GGTassay_7dpf_ACRV1C_fasted_plate01_B03	2	2	plate01	fasted	3	B	C03	497300	392600	444950	16.63874	NA	433935.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	6.620228	18.80746	C	3	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	ACRV1C	fasted	1	7	444950	104700	.7894631	49	1	1	-2.221969	-.3758796	-.1765363
ACRV1C_026	20230811_GGTassay_7dpf_ACRV1C_fasted_plate01_B04	3	2	plate01	fasted	4	B	C04	715000	485200	600100	27.07768	NA	589085.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	9.137294	25.95822	C	4	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	ACRV1C	fasted	1	7	600100	229800	.6786014	50	1	1	4.915834	.445372	.4989219
ACRV1C_034	20230811_GGTassay_7dpf_ACRV1C_fasted_plate01_B05	2	2	plate01	fasted	5	B	C05	531500	362800	447150	26.67761	NA	436135.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	6.655919	18.90886	C	5	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	ACRV1C	fasted	1	7	447150	168700	.6825964	51	1	1	-2.146479	-.3587993	-.1603423
ACRV1C_042	20230811_GGTassay_7dpf_ACRV1C_fasted_plate01_B06	3	2	plate01	fasted	6	B	C06	519300	428700	474000	13.51558	NA	462985.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	7.091518	20.14636	C	6	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	ACRV1C	fasted	1	7	474000	90600	.8255343	52	1	1	-.9219357	-.2090683	.0159665
ACRV1C_050	20230811_GGTassay_7dpf_ACRV1C_fasted_plate01_B07	3	2	plate01	fasted	7	B	C07	750700	649800	700250	10.1888	NA	689235.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	10.76207	30.57406	C	7	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	ACRV1C	fasted	1	7	700250	100900	.8655921	53	1	1	9.492817	.8168525	.9845589
ACRV1C_058	20230811_GGTassay_7dpf_ACRV1C_fasted_plate01_B08	3	2	plate01	fasted	8	B	C08	831700	637200	734450	18.72589	NA	723435.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	11.31691	32.15032	C	8	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	ACRV1C	fasted	1	7	734450	194500	.7661417	54	1	1	11.05612	1.094159	1.218774
ACRV1C_066	20230811_GGTassay_7dpf_ACRV1C_fasted_plate01_B09	3	2	plate01	fasted	9	B	C09	571600	471800	521700	13.52679	NA	510685.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	7.865376	22.34482	C	9	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	ACRV1C	fasted	1	7	521700	99800	.8254024	55	1	1	1.237665	.0959417	.3081584
ACRV1C_082	20230811_GGTassay_7dpf_ACRV1C_fasted_plate01_B11	1	2	plate01	fasted	11	B	C11	421100	313000	367050	20.82502	NA	356035.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	5.356422	15.21711	C	11	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	ACRV1C	fasted	1	7	367050	108100	.7432914	56	1	1	-5.903	-.7730539	-.6106954
KITA1_002	20230811_GGTassay_7dpf_KITA1_fasted_plate02_B01	2	1	plate02	fasted	1	B	C13	523600	407500	465550	17.634	NA	454535.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	6.954431	19.7569	C	13	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	KITA1	fasted	1	7	465550	116100	.7782658	57	0	1	-1.376157	-.2582962	-.0479157
KITA1_010	20230811_GGTassay_7dpf_KITA1_fasted_plate02_B02	3	1	plate02	fasted	2	B	C14	467300	536600	501950	9.762426	NA	490935.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	7.544963	21.43456	C	14	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	KITA1	fasted	1	7	501950	69300	1.148299	58	0	1	.2885394	-.0479157	.0959417
KITA1_018	20230811_GGTassay_7dpf_KITA1_fasted_plate02_B03	2	1	plate02	fasted	3	B	C15	389700	382200	385950	1.37409	NA	374935.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	5.663045	16.0882	C	15	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	KITA1	fasted	1	7	385950	7500	.9807544	59	0	1	-5.070774	-.6300492	-.5170869
KITA1_026	20230811_GGTassay_7dpf_KITA1_fasted_plate02_B04	3	1	plate02	fasted	4	B	C16	759500	684600	722050	7.334991	NA	711035.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	11.11574	31.57881	C	16	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	KITA1	fasted	1	7	722050	74900	.9013825	60	0	1	10.40689	.9589586	1.154226
KITA1_034	20230811_GGTassay_7dpf_KITA1_fasted_plate02_B05	2	1	plate02	fasted	5	B	C17	484300	444600	464450	6.044168	NA	453435.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	6.936584	19.70621	C	17	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	KITA1	fasted	1	7	464450	39700	.918026	61	0	1	-1.478669	-.2914585	-.0799139
KITA1_042	20230811_GGTassay_7dpf_KITA1_fasted_plate02_B06	3	1	plate02	fasted	6	B	C18	530600	479400	505000	7.169083	NA	493985.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	7.594445	21.57513	C	18	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	KITA1	fasted	1	7	505000	51200	.9035054	62	0	1	.3772987	-.0159665	.1119942
KITA1_050	20230811_GGTassay_7dpf_KITA1_fasted_plate02_B07	2	1	plate02	fasted	7	B	C19	364600	372300	368450	1.477737	NA	357435.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	5.379135	15.28163	C	19	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	KITA1	fasted	1	7	368450	7700	1.021119	63	0	1	-5.92915	-.7517036	-.6300492
KITA1_058	20230811_GGTassay_7dpf_KITA1_fasted_plate02_B08	3	1	plate02	fasted	8	B	C20	1004000	776800	890400	18.04298	NA	879385.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	13.84696	39.33794	C	20	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	KITA1	fasted	1	7	890400	227200	.7737052	64	0	1	18.11421	1.605971	1.605971
KITA1_066	20230811_GGTassay_7dpf_KITA1_fasted_plate02_B09	2	1	plate02	fasted	9	B	C21	513400	501100	507250	1.714621	NA	496235.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	7.630948	21.67883	C	21	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	KITA1	fasted	1	7	507250	12300	.9760421	65	0	1	.4421386	0	.1280756
KITA1_074	20230811_GGTassay_7dpf_KITA1_fasted_plate02_B10	3	1	plate02	fasted	10	B	C22	392400	371700	382050	3.831203	NA	371035.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	5.599774	15.90845	C	22	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	KITA1	fasted	1	7	382050	20700	.9472477	66	0	1	-5.341196	-.6694872	-.553943
KITA1_082	20230811_GGTassay_7dpf_KITA1_fasted_plate02_B11	2	1	plate02	fasted	11	B	C23	717900	638900	678400	8.234292	NA	667385.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	10.40759	29.56701	C	23	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	KITA1	fasted	1	7	678400	79000	.8899568	67	0	1	8.304415	.7947626	.8856685
KITA1_090	20230811_GGTassay_7dpf_KITA1_fasted_plate02_B12	3	1	plate02	fasted	12	B	C24	657900	553400	605650	12.20055	NA	594635.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	9.227334	26.21402	C	24	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	KITA1	fasted	1	7	605650	104500	.8411613	68	0	1	4.938465	.535424	.5170869
ACRV1C_003	20230811_GGTassay_7dpf_ACRV1C_fasted_plate01_C01	2	2	plate01	fasted	1	C	E01	320300	269300	294800	12.23285	NA	283785.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	4.184279	11.88716	E	1	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	ACRV1C	fasted	1	7	294800	51000	.8407743	92	1	1	-9.699281	-1.154226	-1.0378
ACRV1C_011	20230811_GGTassay_7dpf_ACRV1C_fasted_plate01_C02	3	2	plate01	fasted	2	C	E02	468700	412100	440400	9.087703	NA	429385.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	6.546411	18.59776	E	2	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	ACRV1C	fasted	1	7	440400	56600	.8792405	93	1	1	-3.001631	-.4278095	-.3081584
ACRV1C_019	20230811_GGTassay_7dpf_ACRV1C_fasted_plate01_C03	2	2	plate01	fasted	3	C	E03	483500	398000	440750	13.71699	NA	429735.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	6.552089	18.61389	E	3	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	ACRV1C	fasted	1	7	440750	85500	.8231644	94	1	1	-2.998455	-.410378	-.2914585
ACRV1C_027	20230811_GGTassay_7dpf_ACRV1C_fasted_plate01_C04	3	2	plate01	fasted	4	C	E04	1020000	888900	954450	9.712578	NA	943435.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	14.88607	42.28997	E	4	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	ACRV1C	fasted	1	7	954450	131100	.8714706	95	1	1	20.66467	1.734652	2.146324
ACRV1C_035	20230811_GGTassay_7dpf_ACRV1C_fasted_plate01_C05	2	2	plate01	fasted	5	C	E05	514700	343600	429150	28.192	NA	418135.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	6.363897	18.07925	E	5	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	ACRV1C	fasted	1	7	429150	171100	.6675733	96	1	1	-3.558997	-.4630729	-.410378
ACRV1C_043	20230811_GGTassay_7dpf_ACRV1C_fasted_plate01_C06	3	2	plate01	fasted	6	C	E06	885600	720500	803050	14.53749	NA	792035.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	12.42984	35.31205	E	6	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	ACRV1C	fasted	1	7	803050	165100	.8135727	97	1	1	13.66084	1.407647	1.499446
ACRV1C_051	20230811_GGTassay_7dpf_ACRV1C_fasted_plate01_C07	3	2	plate01	fasted	7	C	E07	684100	591500	637800	10.26624	NA	626785.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	9.748918	27.69579	E	7	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	ACRV1C	fasted	1	7	637800	92600	.8646397	98	1	1	6.031629	.6300492	.7099954
ACRV1C_059	20230811_GGTassay_7dpf_ACRV1C_fasted_plate01_C08	3	2	plate01	fasted	8	C	E08	547700	489900	518800	7.877944	NA	507785.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	7.818328	22.21116	E	8	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	ACRV1C	fasted	1	7	518800	57800	.8944678	99	1	1	.5340486	.0639066	.1441901
ACRV1C_067	20230811_GGTassay_7dpf_ACRV1C_fasted_plate01_C09	1	2	plate01	fasted	9	C	E09	503400	396500	449950	16.79958	NA	438935.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	6.701345	19.03791	E	9	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	ACRV1C	fasted	1	7	449950	106900	.787644	100	1	1	-2.652153	-.3249447	-.2090683
ACRV1C_075	20230811_GGTassay_7dpf_ACRV1C_fasted_plate01_C10	1	1	plate01	fasted	10	C	E10	363400	316300	339850	9.799832	NA	328835.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	4.915145	13.96348	E	10	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	ACRV1C	fasted	1	7	339850	47100	.8703908	101	0	1	-7.73954	-.9589586	-.8168525
ACRV1C_083	20230811_GGTassay_7dpf_ACRV1C_fasted_plate01_C11	1	2	plate01	fasted	11	C	E11	605100	460300	532700	19.22077	NA	521685.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	8.043834	22.8518	E	11	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	ACRV1C	fasted	1	7	532700	144800	.7607007	102	1	1	1.135828	.1441901	.2582962
KITA1_003	20230811_GGTassay_7dpf_KITA1_fasted_plate02_C01	2	1	plate02	fasted	1	C	E13	314100	247600	280850	16.74296	NA	269835.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	3.957962	11.24421	E	13	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	KITA1	fasted	1	7	280850	66500	.788284	103	0	1	-10.48472	-1.25304	-1.065556
KITA1_011	20230811_GGTassay_7dpf_KITA1_fasted_plate02_C02	3	1	plate02	fasted	2	C	E14	605600	412000	508800	26.90564	NA	497785.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	7.656094	21.75027	E	14	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	KITA1	fasted	1	7	508800	193600	.680317	104	0	1	.0083871	.031937	.0639066
KITA1_019	20230811_GGTassay_7dpf_KITA1_fasted_plate02_C03	2	1	plate02	fasted	3	C	E15	484200	467200	475700	2.526974	NA	464685.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	7.119098	20.22471	E	15	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	KITA1	fasted	1	7	475700	17000	.9648905	105	0	1	-1.530123	-.1927768	-.0959417
KITA1_027	20230811_GGTassay_7dpf_KITA1_fasted_plate02_C04	3	1	plate02	fasted	4	C	E16	624200	581100	602650	5.057048	NA	591635.8	.979658	y = 61639.2283833154 * x + ( 25870.0210551674 )	25870.02	61639.23	11014.25	3095500	9.178663	26.07575	E	16	GTT_DAY2_GLUGLO_plate-01	1	20230811	GGTassay	KITA1	fasted	1	7	602650	43100	.9309516	106	0	1	4.307961	.4630729	.4630729
