filename	time	pdx1_dich	protein	Pstd_gluc	gluc	assay	random_nr	assay_jitter	time_jitter	batch	gluc_Res	intgluc	intgluc_Res	injset	position
20220201_GGTassay_7dpf_PDX1_5glucose_plate5_B04	0	1	12.659194	11.29353	14.005145	13	63	5.076	2.47	3	-5.905623	-.1196481	-.3917566	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate1_B08	0	0	11.943951	10.75167	11.937698	9	46	1.042	1.79	3	3.465022	-.3155015	.4972006	1	1
20220201_GGTassay_7dpf_PDX1_5glucose_plate2_B01	0	1	11.46035	11.09786		10	83	2.116	3.27	3				1	1
20220324_GGTassay_7dpf_PDX1_5glucose_plate7_A08	0	0	14.938608	8.464887	7.0495835	20	21	6.992	.79	4	-.4432941	-.8247319	.1921572	1	1
20220324_GGTassay_7dpf_PDX1_5glucose_plate7_A05	0	0	11.924562	5.8698824	12.746981	20	15	6.98	.55	4	5.254103	-.2656923	.6374841	1	1
20220324_GGTassay_7dpf_PDX1_5glucose_plate7_A02	0	0	12.90209	11.20748	4.8762907	20	43	7.036	1.67	4	-2.616587	-1.465234	-.0956362	1	1
20220324_GGTassay_7dpf_PDX1_5glucose_plate4_A01	0	1	13.058844	2.3633579	11.722328	17	72	4.094	2.83	4	-7.208641	-.3661064	-.6084982	1	1
20220324_GGTassay_7dpf_PDX1_5glucose_plate2_A01	0	1	13.264957	1.7962069	12.818769	15	89	2.128	3.51	4	-6.112199	-.2410404	-.4438613	1	1
20220324_GGTassay_7dpf_PDX1_5glucose_plate5_A08	0	0	16.542087	9.2806364	5.6311193	18	55	5.06	2.15	4	-1.861758	-1.13317	.0956362	1	1
20220324_GGTassay_7dpf_PDX1_5glucose_plate4_A02	0	0	8.456219	1.9460917	5.461928	17	64	4.078	2.51	4	-2.03095	-1.179761	.0716793	1	1
20220324_GGTassay_7dpf_PDX1_5glucose_plate1_A05	0	0	10.145209	6.9459842	5.1754071	14	49	1.048	1.91	4	-2.317471	-1.229064	.0238749	1	1
20220324_GGTassay_7dpf_PDX1_5glucose_plate7_A04	0	1	13.879619	3.5343558	20.257121	20	22	6.994	.83	4	1.326152	.2165341	.3155015	1	1
20220324_GGTassay_7dpf_PDX1_5glucose_plate5_A02	0	0	14.996176	5.6999514	4.6905869	18	74	5.098	2.91	4	-2.802291	-1.538979	-.1196481	1	1
20220324_GGTassay_7dpf_PDX1_5glucose_plate6_A01	0	1	8.212028	4.9394885	40.874951	19	79	6.108	3.11	4	21.94398	.8247319	1.281552	1	1
20220324_GGTassay_7dpf_PDX1_5glucose_plate2_A05	0	0	10.475214	9.9927607	16.456608	15	37	2.024	1.43	4	8.963731	.0477635	.7916386	1	1
20220324_GGTassay_7dpf_PDX1_5glucose_plate1_A08	0	0	11.363024	5.7461418	8.9806814	14	48	1.046	1.87	4	1.487804	-.5800146	.3661064	1	1
20220324_GGTassay_7dpf_PDX1_5glucose_plate2_A08	0	0	13.078974	11.314243	5.0463181	15	89	2.128	3.51	4	-2.44656	-1.337828	-.0477635	1	1
20220324_GGTassay_7dpf_PDX1_5glucose_plate7_A01	0	1	11.843101	7.7880006	26.575663	20	15	6.98	.55	4	7.644694	.4703636	.7279133	1	1
20220324_GGTassay_7dpf_PDX1_5glucose_plate5_A05	0	0	9.8431375	3.5886601	6.047083	18	49	5.048	1.91	4	-1.445795	-1.088917	.1196481	1	1
20220324_GGTassay_7dpf_PDX1_5glucose_plate4_A04	0	1	12.565706	2.2551543	8.9431046	17	50	4.05	1.95	4	-9.987864	-.6084982	-.6971414	1	1
20220324_GGTassay_7dpf_PDX1_5glucose_plate4_A08	0	0	13.880742	.3702806	11.202446	17	53	4.056	2.07	4	3.709569	-.4438613	.5244005	1	1
20220324_GGTassay_7dpf_PDX1_5glucose_plate2_A04	0	1	9.6382906	7.7152297	7.9041089	15	38	2.026	1.47	4	-11.02686	-.6971414	-.7593904	1	1
20220324_GGTassay_7dpf_PDX1_5glucose_plate6_A08	0	0	10.353622	9.3216335	4.1769693	19	46	6.042	1.79	4	-3.315908	-1.833915	-.1437292	1	1
20220324_GGTassay_7dpf_PDX1_5glucose_plate1_A07	0	1	12.406865	8.0677446	34.401786	14	3	.956	.07	4	15.47082	.6084982	1.088917	1	1
20220324_GGTassay_7dpf_PDX1_5glucose_plate4_A07	0	1	13.058844	1.8459145	12.853127	17	63	4.076	2.47	4	-6.077842	-.1921572	-.4176672	1	1
20220324_GGTassay_7dpf_PDX1_5glucose_plate6_A05	0	0	15.17221	6.531004	15.797307	19	29	6.008	1.11	4	8.304429	0	.7593904	1	1
20220324_GGTassay_7dpf_PDX1_5glucose_plate6_A07	0	1	10.889021	9.960914		19	62	6.074	2.43	4				1	1
20220324_GGTassay_7dpf_PDX1_5glucose_plate1_A04	0	1	11.45001	7.9846094	29.910314	14	77	1.104	3.03	4	10.97935	.4972006	.8938006	1	1
20220324_GGTassay_7dpf_PDX1_5glucose_plate6_A04	0	1	8.3012611	5.8888388	22.708528	19	85	6.12	3.35	4	3.777559	.3155015	.5519941	1	1
20220324_GGTassay_7dpf_PDX1_5glucose_plate5_A01	0	1	11.303165	4.5944633	14.863953	18	54	5.058	2.11	4	-4.067016	-.0716793	-.2905068	1	1
20220324_GGTassay_7dpf_PDX1_5glucose_plate2_A02	0	0	18.193504	1.9946736	7.1467227	15	17	1.984	.63	4	-.3461549	-.7916386	.2165341	1	1
20220324_GGTassay_7dpf_PDX1_5glucose_plate2_A07	0	1	10.847179	7.2170618	14.041322	15	8	1.966	.27	4	-4.889647	-.0956362	-.3406948	1	1
20220324_GGTassay_7dpf_PDX1_5glucose_plate1_A02	0	0	16.843191	2.0368198	.46560027	14	58	1.066	2.27	4	-7.027277	-2.592656	-.5519941	1	1
20220324_GGTassay_7dpf_PDX1_5glucose_plate5_A04	0	1	12.247889	8.4167675	12.188582	18	25	5	.95	4	-6.742387	-.2905068	-.4972006	1	1
20220324_GGTassay_7dpf_PDX1_5glucose_plate7_A07	0	1	13.96108	3.0517873		20	47	7.044	1.83	4				1	1
20220324_GGTassay_7dpf_PDX1_5glucose_plate6_A02	0	0	18.384601	7.6842464	4.9810199	19	20	5.99	.75	4	-2.511858	-1.398694	-.0716793	1	1
20220324_GGTassay_7dpf_PDX1_5glucose_plate4_A05	0	0	12.812275	5.0229907	3.9090539	17	26	4.002	.99	4	-3.583824	-1.980752	-.2165341	1	1
