index	filename	injset	control_1_mutant_2_uninjected_0	plate	treatment	column	row	well	luminescenceplatea	luminescenceplateb	rlu_mean	rlu_percstdev	conc	rlublanksub	rsquared_gluglo	stdcurvefunction_gluglo	intercept_gluglo	slope_gluglo	blank_gluglo	maxstd_gluglo	glucconc_well_um	gluc	row384	column384	gluglo_assayfilename	assayplategluc	date	experiment	gene	diet	fasted	age	luminiscence_d	delta_lum_d	luminiscence_dd	position	notch2_dich	batch	gluc_Res	intgluc	intgluc_Res
NOTCH2_033	20230810_GGTassay_7dpf_NOTCH2_fasted_plate01_A05	2	2	plate01	fasted	5	A	B10	375800	394400	385100	3.415265	NA	367950	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	8.404716	23.87704	B	10	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	NOTCH2	fasted	1	7	385100	18600	1.049494	35	1	1	9.878692	1.434899	1.434899
KITA1_033	20230810_GGTassay_7dpf_KITA1_fasted_plate02_A05	2	1	plate02	fasted	5	A	B09	159500	155800	157650	1.659559	NA	140500	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	3.162761	8.985116	B	9	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	157650	3700	.9768025	36	0	1	-5.021132	-1.103669	-.8392736
NOTCH2_025	20230810_GGTassay_7dpf_NOTCH2_fasted_plate01_A04	2	2	plate01	fasted	4	A	B08	181700	192200	186950	3.971447	NA	169800	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	3.838027	10.90349	B	8	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	NOTCH2	fasted	1	7	186950	10500	1.057788	37	1	1	-3.110665	-.6235933	-.4702759
KITA1_025	20230810_GGTassay_7dpf_KITA1_fasted_plate02_A04	2	1	plate02	fasted	4	A	B07	351100	321000	336050	6.333556	NA	318900	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	7.27428	20.66557	B	7	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	336050	30100	.9142694	38	0	1	6.643513	.9630423	1.073839
NOTCH2_017	20230810_GGTassay_7dpf_NOTCH2_fasted_plate01_A03	2	2	plate01	fasted	3	A	B06	208700	200100	204400	2.975107	NA	187250	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	4.240191	12.046	B	6	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	NOTCH2	fasted	1	7	204400	8600	.9587925	39	1	1	-1.983961	-.4156972	-.1406355
KITA1_017	20230810_GGTassay_7dpf_KITA1_fasted_plate02_A03	2	1	plate02	fasted	3	A	B05	372200	361600	366900	2.042881	NA	349750	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	7.985268	22.68542	B	5	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	366900	10600	.9715207	40	0	1	8.64756	1.199681	1.390182
NOTCH2_009	20230810_GGTassay_7dpf_NOTCH2_fasted_plate01_A02	2	2	plate01	fasted	2	A	B04	266100	253600	259850	3.401514	NA	242700	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	5.518126	15.6765	B	4	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	NOTCH2	fasted	1	7	259850	12500	.9530252	41	1	1	1.630731	.1907976	.3799974
KITA1_009	20230810_GGTassay_7dpf_KITA1_fasted_plate02_A02	2	1	plate02	fasted	2	A	B03	196500	186600	191550	3.654585	NA	174400	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	3.944042	11.20466	B	3	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	191550	9900	.9496183	42	0	1	-2.849004	-.5840145	-.4156972
NOTCH2_001	20230810_GGTassay_7dpf_NOTCH2_fasted_plate01_A01	2	2	plate01	fasted	1	A	B02	164200	165700	164950	.6430192	NA	147800	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	3.331001	9.463072	B	2	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	NOTCH2	fasted	1	7	164950	1500	1.009135	43	1	1	-4.5985	-.9630423	-.7488504
KITA1_001	20230810_GGTassay_7dpf_KITA1_fasted_plate02_A01	2	1	plate02	fasted	1	A	B01	87800	87820	87810	.0161054	NA	70660	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	1.553185	4.412456	B	1	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	87810	20	1.000228	44	0	1	-9.657019	-1.886627	-1.719484
NOTCH2_074	20230810_GGTassay_7dpf_NOTCH2_fasted_plate01_B10	2	2	plate01	fasted	10	B	D21	314900	270400	292650	10.75218	NA	275500	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	6.274056	17.82402	D	21	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	NOTCH2	fasted	1	7	292650	44500	.8586853	69	1	1	3.55696	.5453304	.7708607
KITA1_074	20230810_GGTassay_7dpf_KITA1_fasted_plate02_B10	2	1	plate02	fasted	10	B	D20	314200	263700	288950	12.35816	NA	271800	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	6.188783	17.58177	D	20	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	288950	50500	.8392743	70	0	1	3.306804	.451935	.7488504
NOTCH2_066	20230810_GGTassay_7dpf_NOTCH2_fasted_plate01_B09	2	2	plate01	fasted	9	B	D19	83210	109800	96505	19.4829	NA	79355	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	1.753575	4.981747	D	19	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	NOTCH2	fasted	1	7	96505	26590	1.319553	71	1	1	-9.301122	-1.719484	-1.651266
KITA1_066	20230810_GGTassay_7dpf_KITA1_fasted_plate02_B09	2	1	plate02	fasted	9	B	D18	358700	372400	365550	2.650079	NA	348400	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	7.954155	22.59703	D	18	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	365550	13700	1.038193	72	0	1	8.306258	1.166479	1.308247
NOTCH2_058	20230810_GGTassay_7dpf_NOTCH2_fasted_plate01_B08	2	2	plate01	fasted	8	B	D17	147300	149600	148450	1.095551	NA	131300	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	2.950732	8.382761	D	17	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	NOTCH2	fasted	1	7	148450	2300	1.015614	73	1	1	-5.915915	-1.308247	-1.103669
KITA1_058	20230810_GGTassay_7dpf_KITA1_fasted_plate02_B08	2	1	plate02	fasted	8	B	D16	208700	205800	207250	.9894377	NA	190100	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	4.305874	12.2326	D	16	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	207250	2900	.9861044	74	0	1	-2.073984	-.3977839	-.1740297
NOTCH2_050	20230810_GGTassay_7dpf_NOTCH2_fasted_plate01_B07	2	2	plate01	fasted	7	B	D15	194700	198500	196600	1.366737	NA	179450	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	4.060427	11.5353	D	15	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	NOTCH2	fasted	1	7	196600	3800	1.019517	75	1	1	-2.779179	-.5453304	-.3799974
KITA1_050	20230810_GGTassay_7dpf_KITA1_fasted_plate02_B07	2	1	plate02	fasted	7	B	D14	152300	175300	163800	9.92885	NA	146650	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	3.304498	9.387777	D	14	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	163800	23000	1.151018	76	0	1	-4.934609	-1.01688	-.8160462
NOTCH2_042	20230810_GGTassay_7dpf_NOTCH2_fasted_plate01_B06	2	2	plate01	fasted	6	B	D13	179100	179300	179200	.0789182	NA	162050	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	3.659416	10.39607	D	13	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	NOTCH2	fasted	1	7	179200	200	1.001117	77	1	1	-3.934222	-.7058794	-.6235933
KITA1_042	20230810_GGTassay_7dpf_KITA1_fasted_plate02_B06	2	1	plate02	fasted	6	B	D11	161600	171800	166700	4.326628	NA	149550	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	3.371333	9.57765	D	11	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	166700	10200	1.063119	78	0	1	-4.760543	-.8871465	-.793251
NOTCH2_034	20230810_GGTassay_7dpf_NOTCH2_fasted_plate01_B05	2	2	plate01	fasted	5	B	D10	261900	293500	277700	8.0463	NA	260550	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	5.929509	16.8452	D	10	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	NOTCH2	fasted	1	7	277700	31600	1.120657	79	1	1	2.499099	.3447755	.5074458
KITA1_034	20230810_GGTassay_7dpf_KITA1_fasted_plate02_B05	2	1	plate02	fasted	5	B	D09	357000	345000	351000	2.417459	NA	333850	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	7.618826	21.64439	D	9	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	351000	12000	.9663866	80	0	1	7.290393	1.073839	1.134514
NOTCH2_026	20230810_GGTassay_7dpf_NOTCH2_fasted_plate01_B04	2	2	plate01	fasted	4	B	D08	149200	155500	152350	2.924039	NA	135200	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	3.040614	8.638107	D	8	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	NOTCH2	fasted	1	7	152350	6300	1.042225	81	1	1	-5.723796	-1.199681	-1.01688
KITA1_026	20230810_GGTassay_7dpf_KITA1_fasted_plate02_B04	2	1	plate02	fasted	4	B	D07	185100	181900	183500	1.233102	NA	166350	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	3.758516	10.6776	D	7	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	183500	3200	.982712	82	0	1	-3.692204	-.6848778	-.5840145
NOTCH2_018	20230810_GGTassay_7dpf_NOTCH2_fasted_plate01_B03	2	2	plate01	fasted	3	B	D06	237600	239700	238650	.6222184	NA	221500	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	5.029538	14.28846	D	6	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	NOTCH2	fasted	1	7	238650	2100	1.008838	83	1	1	-.089251	.0082456	.1073974
KITA1_018	20230810_GGTassay_7dpf_KITA1_fasted_plate02_B03	2	1	plate02	fasted	3	B	D05	344600	304900	324750	8.644231	NA	307600	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	7.013853	19.92572	D	5	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	324750	39700	.8847939	84	0	1	5.540102	.8871465	.9371445
NOTCH2_010	20230810_GGTassay_7dpf_NOTCH2_fasted_plate01_B02	2	2	plate01	fasted	2	B	D04	180600	171800	176200	3.531521	NA	159050	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	3.590276	10.19965	D	4	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	NOTCH2	fasted	1	7	176200	8800	.9512736	85	1	1	-4.19387	-.7708607	-.6848778
KITA1_010	20230810_GGTassay_7dpf_KITA1_fasted_plate02_B02	2	1	plate02	fasted	2	B	D03	191700	176900	184300	5.67834	NA	167150	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	3.776954	10.72998	D	3	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	184300	14800	.922796	86	0	1	-3.67144	-.6437511	-.5645669
NOTCH2_002	20230810_GGTassay_7dpf_NOTCH2_fasted_plate01_B01	2	2	plate01	fasted	1	B	D02	239800	246000	242900	1.804883	NA	225750	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	5.127486	14.56672	D	2	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	NOTCH2	fasted	1	7	242900	6200	1.025855	87	1	1	.1573972	.0412391	.1406355
KITA1_002	20230810_GGTassay_7dpf_KITA1_fasted_plate02_B01	2	1	plate02	fasted	1	B	D01	295500	285800	290650	2.359861	NA	273500	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	6.227962	17.69308	D	1	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	290650	9700	.9671743	88	0	1	3.275847	.5262936	.7271971
KITA1_075	20230810_GGTassay_7dpf_KITA1_fasted_plate02_C10	2	1	plate02	fasted	10	C	F20	278600	252000	265300	7.089725	NA	248150	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	5.643731	16.03333	F	20	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	265300	26600	.9045226	112	0	1	1.426414	.2076192	.3447755
NOTCH2_067	20230810_GGTassay_7dpf_NOTCH2_fasted_plate01_C09	2	2	plate01	fasted	9	C	F19			1277000		NA	1259850	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	28.96		F	19	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	NOTCH2	fasted	1	7		172000		113	1	1			
KITA1_067	20230810_GGTassay_7dpf_KITA1_fasted_plate02_C09	2	1	plate02	fasted	9	C	F18	239400	225400	232400	4.259679	NA	215250	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	4.885497	13.87925	F	18	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	232400	14000	.9415205	114	0	1	-.7434671	-.0742776	.0577505
NOTCH2_059	20230810_GGTassay_7dpf_NOTCH2_fasted_plate01_C08	2	2	plate01	fasted	8	C	F17	68220	67770	67995	.4679727	NA	50845	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	1.096516	3.115101	F	17	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	NOTCH2	fasted	1	7	67995	450	.9934037	115	1	1	-11.51552	-2.717438	-2.133366
KITA1_059	20230810_GGTassay_7dpf_KITA1_fasted_plate02_C08	2	1	plate02	fasted	8	C	F16	211000	188600	199800	7.927524	NA	182650	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	4.134176	11.74482	F	16	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	199800	22400	.8938389	116	0	1	-2.893706	-.4702759	-.4337449
NOTCH2_051	20230810_GGTassay_7dpf_NOTCH2_fasted_plate01_C07	2	2	plate01	fasted	7	C	F15	164100	162700	163400	.6058443	NA	146250	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	3.295279	9.361588	F	15	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	NOTCH2	fasted	1	7	163400	1400	.9914686	117	1	1	-5.284841	-1.044936	-.9371445
KITA1_051	20230810_GGTassay_7dpf_KITA1_fasted_plate02_C07	2	1	plate02	fasted	7	C	F14	134000	154900	144450	10.2309	NA	127300	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	2.858546	8.120868	F	14	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	144450	20900	1.15597	118	0	1	-6.533465	-1.434899	-1.234262
NOTCH2_043	20230810_GGTassay_7dpf_NOTCH2_fasted_plate01_C06	2	2	plate01	fasted	6	C	F13	180700	187400	184050	2.574091	NA	166900	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	3.771192	10.71361	F	13	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	NOTCH2	fasted	1	7	184050	6700	1.037078	119	1	1	-3.948622	-.664174	-.6437511
KITA1_043	20230810_GGTassay_7dpf_KITA1_fasted_plate02_C06	2	1	plate02	fasted	6	C	F11	174000	171700	172850	.9409	NA	155700	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	3.51307	9.980311	F	11	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	172850	2300	.9867816	120	0	1	-4.689828	-.8392736	-.7708607
NOTCH2_035	20230810_GGTassay_7dpf_NOTCH2_fasted_plate01_C05	2	2	plate01	fasted	5	C	F10	417900	421200	419550	.5561798	NA	402400	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	9.198673	26.13259	F	10	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	NOTCH2	fasted	1	7	419550	3300	1.007897	121	1	1	11.45455	1.589968	1.534121
KITA1_035	20230810_GGTassay_7dpf_KITA1_fasted_plate02_C05	2	1	plate02	fasted	5	C	F09	244100	226000	235050	5.445068	NA	217900	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	4.94657	14.05276	F	9	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	235050	18100	.92585	122	0	1	-.633191	-.0082456	.0742776
NOTCH2_027	20230810_GGTassay_7dpf_NOTCH2_fasted_plate01_C04	2	2	plate01	fasted	4	C	F08	76310	79750	78030	3.117323	NA	60880	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	1.327788	3.772126	F	8	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	NOTCH2	fasted	1	7	78030	3440	1.045079	123	1	1	-10.92172	-1.994911	-1.994911
KITA1_027	20230810_GGTassay_7dpf_KITA1_fasted_plate02_C04	2	1	plate02	fasted	4	C	F07	178600	178500	178550	.0396027	NA	161400	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	3.644435	10.35351	F	7	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	178550	100	.9994401	124	0	1	-4.348243	-.7271971	-.7271971
NOTCH2_019	20230810_GGTassay_7dpf_NOTCH2_fasted_plate01_C03	2	2	plate01	fasted	3	C	F06	298000	282300	290150	3.826151	NA	273000	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	6.216439	17.66034	F	6	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	NOTCH2	fasted	1	7	290150	15700	.9473155	125	1	1	2.950682	.5074458	.6235933
KITA1_019	20230810_GGTassay_7dpf_KITA1_fasted_plate02_C03	2	1	plate02	fasted	3	C	F05	462300	453200	457750	1.405717	NA	440600	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	10.07905	28.63368	F	5	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	457750	9100	.9803158	126	0	1	13.91612	1.719484	1.719484
NOTCH2_011	20230810_GGTassay_7dpf_NOTCH2_fasted_plate01_C02	2	2	plate01	fasted	2	C	F04	254200	239300	246750	4.269865	NA	229600	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	5.216216	14.81879	F	4	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	NOTCH2	fasted	1	7	246750	14900	.9413847	127	1	1	.0933304	.0577505	.1239993
KITA1_011	20230810_GGTassay_7dpf_KITA1_fasted_plate02_C02	2	1	plate02	fasted	2	C	F03	168700	164600	166650	1.739657	NA	149500	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	3.370181	9.574377	F	3	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	166650	4100	.9756965	128	0	1	-5.15899	-.9118606	-.9118606
NOTCH2_003	20230810_GGTassay_7dpf_NOTCH2_fasted_plate01_C01	2	2	plate01	fasted	1	C	F02	215300	218000	216650	.8812316	NA	199500	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	4.522512	12.84805	F	2	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	NOTCH2	fasted	1	7	216650	2700	1.012541	129	1	1	-1.893225	-.2755487	-.0908251
KITA1_003	20230810_GGTassay_7dpf_KITA1_fasted_plate02_C01	2	1	plate02	fasted	1	C	F01	143200	147700	145450	2.18768	NA	128300	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	2.881592	8.186341	F	1	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	145450	4500	1.031425	130	0	1	-6.562833	-1.390182	-1.270385
KITA1_076	20230810_GGTassay_7dpf_KITA1_fasted_plate02_D10	2	1	plate02	fasted	10	D	H20	237600	201100	219350	11.76631	NA	202200	.9826607	y = 43390.2957232046 * x + ( 3266.86550228856 )	3266.865	43390.3	17150	2181625	4.584738	13.02482	H	20	GTT_DAY1v2_GLUGLO_plate-01	1	20230810	GGTassay	KITA1	fasted	1	7	219350	36500	.8463805	154	0	1	-1.914034	-.2414446	-.1073974
