index	filename	injset	control_1_mutant_2_uninjected_0	plate	treatment	column	row	well	luminescenceplatea	luminescenceplateb	rlu_mean	rlu_percstdev	conc	rlublanksub	rsquared_gluglo	stdcurvefunction_gluglo	intercept_gluglo	slope_gluglo	blank_gluglo	maxstd_gluglo	glucconc_well_um	gluc	row384	column384	gluglo_assayfilename	assayplategluc	date	experiment	gene	diet	fasted	age	luminiscence_d	delta_lum_d	luminiscence_dd	position	irx3_dich	batch	gluc_Res	intgluc	intgluc_Res
IRX3_097	20231122_GGTassay_7dpf_IRX3_fasted_plate02_A01	1	2	plate02	fasted	1	A	A13	327400	323400	325400	.8692155	NA	312852.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	7.602864	21.59904	A	13	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	325400	4000	.9877825	11	1	1	6.95555	.9176949	1.145726
IRX3_105	20231122_GGTassay_7dpf_IRX3_fasted_plate02_A02	1	1	plate02	fasted	2	A	A14	249700	263100	256400	3.695488	NA	243852.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	5.904665	16.77462	A	14	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	256400	13400	1.053664	12	0	1	2.12399	.4132966	.434229
IRX3_113	20231122_GGTassay_7dpf_IRX3_fasted_plate02_A03	2	2	plate02	fasted	3	A	A15	114400	111400	112900	1.878937	NA	100352.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	2.372905	6.741207	A	15	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	112900	3000	.9737762	13	1	1	-6.759176	-1.648566	-1.145726
IRX3_121	20231122_GGTassay_7dpf_IRX3_fasted_plate02_A04	2	1	plate02	fasted	4	A	A16	277400	278300	277850	.2290431	NA	265302.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	6.432584	18.27439	A	16	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	277850	900	1.003244	14	0	1	4.766869	.5869282	.8334692
IRX3_129	20231122_GGTassay_7dpf_IRX3_fasted_plate02_A05	1	2	plate02	fasted	5	A	A17	176500	167600	172050	3.657803	NA	159502.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	3.828679	10.87693	A	17	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	172050	8900	.9495751	15	1	1	-3.795098	-.5200145	-.434229
IRX3_137	20231122_GGTassay_7dpf_IRX3_fasted_plate02_A06	1	1	plate02	fasted	6	A	A18	247700	262600	255150	4.129293	NA	242602.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	5.873901	16.68722	A	18	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	255150	14900	1.060153	16	0	1	2.008058	.3925438	.3925438
IRX3_145	20231122_GGTassay_7dpf_IRX3_fasted_plate02_A07	2	2	plate02	fasted	7	A	A19	138600	119500	129050	10.46551	NA	116502.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	2.770382	7.870402	A	19	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	129050	19100	.8621933	17	1	1	-5.658514	-1.308099	-.8334692
IRX3_002	20231122_GGTassay_7dpf_IRX3_fasted_plate01_B01	1	2	plate01	fasted	1	B	C01	287700	276100	281900	2.909698	NA	269352.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	6.53226	18.55756	C	1	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	281900	11600	.9596802	41	1	1	3.700064	.6330246	.6805074
IRX3_010	20231122_GGTassay_7dpf_IRX3_fasted_plate01_B02	1	1	plate01	fasted	2	B	C02	320300	333600	326950	2.87644	NA	314402.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	7.641012	21.70742	C	2	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	326950	13300	1.041524	42	0	1	6.842793	.9472499	1.10959
IRX3_018	20231122_GGTassay_7dpf_IRX3_fasted_plate01_B03	2	2	plate01	fasted	3	B	C03	188400	186900	187650	.5652332	NA	175102.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	4.21262	11.96767	C	3	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	187650	1500	.9920382	43	1	1	-1.746713	-.3312469	-.0382785
IRX3_026	20231122_GGTassay_7dpf_IRX3_fasted_plate01_B04	2	1	plate01	fasted	4	B	C04	276100	272800	274450	.8502286	NA	261902.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	6.348904	18.03666	C	4	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	274450	3300	.9880478	44	0	1	4.315144	.5420468	.7295769
IRX3_034	20231122_GGTassay_7dpf_IRX3_fasted_plate01_B05	1	2	plate01	fasted	5	B	C05	335600	342900	339250	1.521556	NA	326702.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	7.943734	22.56743	C	5	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	339250	7300	1.021752	45	1	1	7.681399	1.145726	1.308099
IRX3_042	20231122_GGTassay_7dpf_IRX3_fasted_plate01_B06	1	1	plate01	fasted	6	B	C06	136400	129400	132900	3.724415	NA	120352.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	2.865136	8.139591	C	6	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	132900	7000	.9486803	46	0	1	-6.75357	-1.074848	-1.10959
IRX3_050	20231122_GGTassay_7dpf_IRX3_fasted_plate01_B07	2	2	plate01	fasted	7	B	C07	387900	396300	392100	1.514842	NA	379552.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	9.244456	26.26266	C	7	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	392100	8400	1.021655	47	1	1	12.51974	1.457283	1.515006
IRX3_058	20231122_GGTassay_7dpf_IRX3_fasted_plate01_B08	2	1	plate01	fasted	8	B	C08	168400	167300	167850	.4634003	NA	155302.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	3.725311	10.58327	C	8	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	167850	1100	.9934679	48	0	1	-3.16678	-.656581	-.3110992
IRX3_066	20231122_GGTassay_7dpf_IRX3_fasted_plate01_B09	1	2	plate01	fasted	9	B	C09	290200	296100	293150	1.423138	NA	280602.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	6.809141	19.34415	C	9	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	293150	5900	1.020331	49	1	1	4.42959	.7804696	.7547789
IRX3_074	20231122_GGTassay_7dpf_IRX3_fasted_plate01_B10	1	1	plate01	fasted	10	B	C10	177800	172900	175350	1.975947	NA	162802.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	3.909898	11.10766	C	10	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	175350	4900	.972441	50	0	1	-3.814031	-.4553535	-.4553535
IRX3_098	20231122_GGTassay_7dpf_IRX3_fasted_plate02_B01	1	2	plate02	fasted	1	B	C13	125200	121500	123350	2.121034	NA	110802.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	2.630096	7.471863	C	13	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	123350	3700	.9704473	51	1	1	-7.456965	-1.457283	-1.354514
IRX3_106	20231122_GGTassay_7dpf_IRX3_fasted_plate02_B02	1	1	plate02	fasted	2	B	C14	177300	163600	170450	5.683404	NA	157902.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	3.789301	10.76506	C	14	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	170450	13700	.9227298	52	0	1	-4.170902	-.5420468	-.5420468
IRX3_114	20231122_GGTassay_7dpf_IRX3_fasted_plate02_B03	2	2	plate02	fasted	3	B	C15	266500	292100	279300	6.481179	NA	266752.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	6.46827	18.37577	C	15	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	279300	25600	1.09606	53	1	1	4.590053	.6098145	.7804696
IRX3_122	20231122_GGTassay_7dpf_IRX3_fasted_plate02_B04	2	1	plate02	fasted	4	B	C16	191400	205700	198550	5.092736	NA	186002.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	4.480886	12.72979	C	16	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	198550	14300	1.074713	54	0	1	-1.063059	-.134345	.0958193
IRX3_130	20231122_GGTassay_7dpf_IRX3_fasted_plate02_B05	1	2	plate02	fasted	5	B	C17	206600	200000	203300	2.295575	NA	190752.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	4.597791	13.06191	C	17	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	203300	6600	.9680542	55	1	1	-1.895455	-.0958193	-.0574353
IRX3_138	20231122_GGTassay_7dpf_IRX3_fasted_plate02_B06	1	1	plate02	fasted	6	B	C18	193600	188600	191100	1.850096	NA	178552.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	4.29753	12.20889	C	18	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	191100	5000	.9741735	56	0	1	-2.755603	-.2910771	-.2316706
IRX3_146	20231122_GGTassay_7dpf_IRX3_fasted_plate02_B07	2	2	plate02	fasted	7	B	C19	282300	281700	282000	.1504482	NA	269452.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	6.534722	18.56455	C	19	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	282000	600	.9978746	57	1	1	4.750301	.656581	.8066862
IRX3_003	20231122_GGTassay_7dpf_IRX3_fasted_plate01_C01	1	2	plate01	fasted	1	C	E01	230500	228500	229500	.6162151	NA	216952.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	5.242614	14.89379	E	1	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	229500	2000	.9913232	82	1	1	-.2561701	.1730713	.1730713
IRX3_011	20231122_GGTassay_7dpf_IRX3_fasted_plate01_C02	1	1	plate01	fasted	2	C	E02	161700	157100	159400	2.040584	NA	146852.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	3.517343	9.992452	E	2	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	159400	4600	.9715523	83	0	1	-5.164642	-.7804696	-.7295769
IRX3_019	20231122_GGTassay_7dpf_IRX3_fasted_plate01_C03	2	2	plate01	fasted	3	C	E03	131100	127700	129400	1.857931	NA	116852.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	2.778996	7.894874	E	3	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	129400	3400	.9740656	84	1	1	-6.111974	-1.264343	-.9472499
IRX3_027	20231122_GGTassay_7dpf_IRX3_fasted_plate01_C04	2	1	plate01	fasted	4	C	E04	259900	242200	251050	4.985377	NA	238502.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	5.772994	16.40055	E	4	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	251050	17700	.9318969	85	0	1	2.386567	.3312469	.5200145
IRX3_035	20231122_GGTassay_7dpf_IRX3_fasted_plate01_C05	1	2	plate01	fasted	5	C	E05	345100	332700	338900	2.58723	NA	326352.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	7.93512	22.54296	E	5	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	338900	12400	.9640684	86	1	1	7.364462	1.10959	1.222883
IRX3_043	20231122_GGTassay_7dpf_IRX3_fasted_plate01_C06	1	1	plate01	fasted	6	C	E06	452900	437500	445200	2.445967	NA	432652.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	10.55133	29.97537	E	6	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	445200	15400	.9659969	87	0	1	14.78974	2.073047	2.073047
IRX3_051	20231122_GGTassay_7dpf_IRX3_fasted_plate01_C07	2	2	plate01	fasted	7	C	E07	242000	238700	240350	.970856	NA	227802.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	5.50965	15.65241	E	7	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	240350	3300	.9863636	88	1	1	1.617033	.2910771	.3719586
IRX3_059	20231122_GGTassay_7dpf_IRX3_fasted_plate01_C08	2	1	plate01	fasted	8	C	E08	185300	178500	181900	2.64339	NA	169352.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	4.071103	11.56563	E	8	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	181900	6800	.9633027	89	0	1	-2.47688	-.3925438	-.1536793
IRX3_067	20231122_GGTassay_7dpf_IRX3_fasted_plate01_C09	1	2	plate01	fasted	9	C	E09	237800	220300	229050	5.402475	NA	216502.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	5.231539	14.86233	E	9	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	229050	17500	.9264088	90	1	1	-.3447002	.1536793	.134345
IRX3_075	20231122_GGTassay_7dpf_IRX3_fasted_plate01_C10	1	1	plate01	fasted	10	C	E10	198500	189400	193950	3.317696	NA	181402.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	4.367673	12.40816	E	10	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	193950	9100	.9541562	91	0	1	-2.805999	-.2120589	-.2513717
IRX3_099	20231122_GGTassay_7dpf_IRX3_fasted_plate02_C01	1	2	plate02	fasted	1	C	E13	197900	191800	194850	2.213678	NA	182302.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	4.389823	12.47109	E	13	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	194850	6100	.9691764	92	1	1	-2.750205	-.1925285	-.2120589
IRX3_107	20231122_GGTassay_7dpf_IRX3_fasted_plate02_C02	1	1	plate02	fasted	2	C	E14	122500	115000	118750	4.465938	NA	106202.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	2.516882	7.150234	E	14	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	118750	7500	.9387755	93	0	1	-8.078193	-1.515006	-1.578269
IRX3_115	20231122_GGTassay_7dpf_IRX3_fasted_plate02_C03	2	2	plate02	fasted	3	C	E15	237000	236500	236750	.1493362	NA	224202.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	5.421048	15.4007	E	15	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	236750	500	.9978903	94	1	1	1.322523	.2513717	.2910771
IRX3_123	20231122_GGTassay_7dpf_IRX3_fasted_plate02_C04	2	1	plate02	fasted	4	C	E16	125900	127100	126500	.6707732	NA	113952.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	2.707622	7.692108	E	16	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	126500	1200	1.009531	95	0	1	-6.393207	-1.404045	-1.008995
IRX3_131	20231122_GGTassay_7dpf_IRX3_fasted_plate02_C05	1	2	plate02	fasted	5	C	E17	427200	427300	427250	.0165502	NA	414702.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	10.10955	28.72032	E	17	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	427250	100	1.000234	96	1	1	13.47049	1.820373	1.820373
IRX3_139	20231122_GGTassay_7dpf_IRX3_fasted_plate02_C06	1	1	plate02	fasted	6	C	E18	147700	155900	151800	3.819681	NA	139252.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	3.330295	9.461065	E	18	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	151800	8200	1.055518	97	0	1	-5.795895	-.9472499	-.8608639
IRX3_147	20231122_GGTassay_7dpf_IRX3_fasted_plate02_C07	2	2	plate02	fasted	7	C	E19	434800	417600	426200	2.853645	NA	413652.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	10.08371	28.64691	E	19	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	426200	17200	.9604416	98	1	1	14.54019	1.728105	1.931388
IRX3_004	20231122_GGTassay_7dpf_IRX3_fasted_plate01_D01	1	2	plate01	fasted	1	D	G01	282800	281600	282200	.3006833	NA	269652.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	6.539644	18.57854	G	1	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	282200	1200	.9957567	122	1	1	3.143242	.6805074	.6098145
IRX3_012	20231122_GGTassay_7dpf_IRX3_fasted_plate01_D02	1	1	plate01	fasted	2	D	G02	221200	214400	217800	2.20768	NA	205252.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	4.954659	14.07574	G	2	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	217800	6800	.9692586	123	0	1	-1.366691	.0766132	.0574353
IRX3_020	20231122_GGTassay_7dpf_IRX3_fasted_plate01_D03	2	2	plate01	fasted	3	D	G03	195200	201000	198100	2.070277	NA	185552.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	4.469811	12.69833	G	3	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	198100	5800	1.029713	124	1	1	-1.593855	-.1536793	-.0191357
IRX3_028	20231122_GGTassay_7dpf_IRX3_fasted_plate01_D04	2	1	plate01	fasted	4	D	G04	128400	127600	128000	.4419417	NA	115452.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	2.744539	7.796987	G	4	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	128000	800	.9937695	125	0	1	-6.502327	-1.354514	-1.041357
IRX3_036	20231122_GGTassay_7dpf_IRX3_fasted_plate01_D05	1	2	plate01	fasted	5	D	G05	232400	230900	231650	.4578719	NA	219102.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	5.295529	15.04412	G	5	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	231650	1500	.9935456	126	1	1	-.4197092	.1925285	.1150608
IRX3_044	20231122_GGTassay_7dpf_IRX3_fasted_plate01_D06	1	1	plate01	fasted	6	D	G06	232000	236000	234000	1.20873	NA	221452.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	5.353366	15.20843	G	6	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	234000	4000	1.017241	127	0	1	-.262533	.2120589	.1536793
IRX3_052	20231122_GGTassay_7dpf_IRX3_fasted_plate01_D07	2	2	plate01	fasted	7	D	G07	218900	217400	218150	.4862068	NA	205602.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	4.963273	14.10021	G	7	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	218150	1500	.9931476	128	1	1	-.220508	.0958193	.1925285
IRX3_060	20231122_GGTassay_7dpf_IRX3_fasted_plate01_D08	2	1	plate01	fasted	8	D	G08	168700	169000	168850	.1256334	NA	156302.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	3.749922	10.65319	G	8	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	168850	300	1.001778	129	0	1	-3.67466	-.5869282	-.4132966
IRX3_068	20231122_GGTassay_7dpf_IRX3_fasted_plate01_D09	1	2	plate01	fasted	9	D	G09	107600	97580	102590	6.906336	NA	90042.5	.9949588	y = 40631.291476371 * x + ( 3938.31632653067 )	3938.316	40631.29	12547.5	2042500	2.119159	6.020339	G	9	GTT_DAY7_GLUGLO_plate-01	1	20231122	GGTassay	IRX3	fasted	1	7	102590	10020	.9068773	130	1	1	-9.47202	-2.275086	-2.073047
