index	filename	injset	control_1_mutant_2_uninjected_0	plate	treatment	column	row	well	luminescenceplatea	luminescenceplateb	rlu_mean	rlu_percstdev	conc	rlublanksub	rsquared_gluglo	stdcurvefunction_gluglo	intercept_gluglo	slope_gluglo	blank_gluglo	maxstd_gluglo	glucconc_well_um	gluc	row384	column384	gluglo_assayfilename	assayplategluc	date	experiment	gene	diet	fasted	age	luminiscence_d	delta_lum_d	luminiscence_dd	position	plin1_dich	batch	gluc_Res	intgluc	intgluc_Res
PLIN1_058	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_B08	2	2	plate03	fasted	8	B	D08	122500	140800	131650	9.829133	NA	118923.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	3.073409	8.731277	D	8	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	131650	18300	1.149388	74	1	1	-5.195156	-.9165567	-.7502154
PLIN1_050	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_B07	2	1	plate03	fasted	7	B	D07	142200	156100	149150	6.589865	NA	136423.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	3.566078	10.1309	D	7	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	149150	13900	1.09775	75	0	1	-3.796278	-.6024495	-.3393116
PLIN1_042	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_B06	1	2	plate03	fasted	6	B	D06	183000	240900	211950	19.31658	NA	199223.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	5.334055	15.15357	D	6	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	211950	57900	1.316393	76	1	1	-3.562613	.0195843	-.2981024
PLIN1_034	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_B05	1	1	plate03	fasted	5	B	D05	157200	181200	169200	10.02988	NA	156473.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.130536	11.73448	D	5	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	169200	24000	1.152672	77	0	1	-6.982452	-.3811055	-1.272699
PLIN1_026	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_B04	2	2	plate03	fasted	4	B	D04	179800	218400	199100	13.70885	NA	186373.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.972296	14.12584	D	4	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	199100	38600	1.214683	78	1	1	.1964085	-.1375134	.2981024
PLIN1_018	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_B03	2	1	plate03	fasted	3	B	D03	173300	222600	197950	17.61069	NA	185223.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.93992	14.03386	D	3	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	197950	49300	1.284478	79	0	1	.1036835	-.217107	.2573935
PLIN1_010	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_B02	1	2	plate03	fasted	2	B	D02	220500	298800	259650	21.3235	NA	246923.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	6.67693	18.96855	D	2	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	259650	78300	1.355102	80	1	1	.2493726	.4668251	.3393116
PLIN1_002	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_B01	1	1	plate03	fasted	1	B	D01	243800	328400	286100	20.9092	NA	273373.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	7.421564	21.08399	D	1	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	286100	84600	1.347006	81	0	1	2.364059	.8584844	.650104
PLIN1_075	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_C10	2	1	plate03	fasted	10	C	F10	139900	157500	148700	8.369253	NA	135973.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	3.55341	10.09491	F	10	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	148700	17600	1.125804	114	0	1	-3.861511	-.650104	-.3811055
PLIN1_067	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_C09	1	1	plate03	fasted	9	C	F09	182800	214600	198700	11.31656	NA	185973.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.961035	14.09385	F	9	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	198700	31800	1.173961	115	0	1	-4.651574	-.1771698	-.5561256
PLIN1_059	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_C08	2	2	plate03	fasted	8	C	F08	111000	128300	119650	10.22394	NA	106923.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	2.735579	7.771532	F	8	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	119650	17300	1.155856	116	1	1	-6.186393	-1.366204	-1.113194
PLIN1_051	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_C07	2	1	plate03	fasted	7	C	F07	270700	361000	315850	20.21584	NA	303123.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	8.259101	23.46336	F	7	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	315850	90300	1.33358	117	0	1	9.504682	1.113194	1.272699
PLIN1_043	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_C06	1	2	plate03	fasted	6	C	F06	272900	371100	322000	21.56456	NA	309273.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	8.432239	23.95522	F	6	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	322000	98200	1.359839	118	1	1	5.207553	1.189164	.9165567
PLIN1_035	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_C05	1	1	plate03	fasted	5	C	F05	151600	176000	163800	10.53321	NA	151073.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	3.978513	11.30259	F	5	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	163800	24400	1.16095	119	0	1	-7.445829	-.5109658	-1.366204
PLIN1_027	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_C04	2	2	plate03	fasted	4	C	F04	146200	188600	167400	17.90999	NA	154673.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.079862	11.59052	F	4	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	167400	42400	1.290014	120	1	1	-2.370409	-.4235761	-.0980721
PLIN1_019	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_C03	2	1	plate03	fasted	3	C	F03	84380	114900	99640	21.65887	NA	86913.25	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	2.172248	6.171158	F	3	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	99640	30520	1.361697	121	0	1	-7.790516	-1.76167	-1.601009
PLIN1_011	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_C02	1	2	plate03	fasted	2	C	F02	269300	382100	325700	24.4893	NA	312973.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	8.536404	24.25115	F	2	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	325700	112800	1.418864	122	1	1	5.500475	1.272699	.9778975
PLIN1_003	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_C01	1	1	plate03	fasted	1	C	F01	242400	331000	286700	21.85199	NA	273973.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	7.438456	21.13198	F	1	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	286700	88600	1.365512	123	0	1	2.380554	.9165567	.6992833
PLIN1_076	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_D10	2	1	plate03	fasted	10	D	H10	242000	257000	249500	4.251143	NA	236773.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	6.391182	18.15677	H	10	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	249500	15000	1.061983	156	0	1	4.168849	.3393116	.8584844
PLIN1_068	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_D09	2	1	plate03	fasted	9	D	H09	92120	90410	91265	1.324881	NA	78538.25	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	1.93647	5.501336	H	9	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	91265	1710	.9814373	157	0	1	-8.487331	-2.417559	-1.987428
PLIN1_060	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_D08	2	2	plate03	fasted	8	D	H08	122200	127400	124800	2.946278	NA	112073.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	2.880565	8.183422	H	8	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	124800	5200	1.042553	158	1	1	-5.805995	-1.189164	-.9165567
PLIN1_052	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_D07	2	1	plate03	fasted	7	D	H07	120000	135100	127550	8.371079	NA	114823.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	2.957984	8.403364	H	7	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	127550	15100	1.125833	159	0	1	-5.586802	-1.043158	-.8031726
PLIN1_044	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_D06	1	2	plate03	fasted	6	D	H06	428200	542000	485100	16.58808	NA	472373.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	13.02391	36.99975	H	6	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	485100	113800	1.265764	160	1	1	18.22059	1.987428	1.601009
PLIN1_036	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_D05	1	1	plate03	fasted	5	D	H05	217900	208000	212950	3.287324	NA	200223.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	5.362208	15.23355	H	5	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	212950	9900	.9545663	161	0	1	-3.546369	.0587829	-.2573935
PLIN1_028	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_D04	2	2	plate03	fasted	4	D	H04	228100	264800	246450	10.52985	NA	233723.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	6.305317	17.91283	H	4	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	246450	36700	1.160894	162	1	1	3.920416	.2573935	.8031726
PLIN1_020	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_D03	2	1	plate03	fasted	3	D	H03			460200		NA	447473.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	12.32292		H	3	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7		212800		163	0	1			
PLIN1_012	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_D02	1	2	plate03	fasted	2	D	H02	415600	560400	488000	20.98137	NA	475273.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	13.10555	37.23169	H	2	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	488000	144800	1.348412	164	1	1	18.44953	2.417559	1.76167
PLIN1_004	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_D01	1	1	plate03	fasted	1	D	H01	178200	225700	201950	16.63163	NA	189223.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	5.052531	14.35378	H	1	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	201950	47500	1.266554	165	0	1	-4.429133	-.0587829	-.5109658
PLIN1_077	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_E10	2	1	plate03	fasted	10	E	J10	132700	139900	136300	3.735267	NA	123573.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	3.204319	9.103177	J	10	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	136300	7200	1.054258	198	0	1	-4.916233	-.7502154	-.650104
PLIN1_069	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_E09	2	1	plate03	fasted	9	E	J09	371600	444600	408100	12.64857	NA	395373.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	10.85617	30.84139	J	9	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	408100	73000	1.196448	199	0	1	16.82123	1.473468	1.473468
PLIN1_061	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_E08	2	2	plate03	fasted	8	E	J08	119300	126900	123100	4.365566	NA	110373.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	2.832705	8.047459	J	8	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	123100	7600	1.063705	200	1	1	-5.973451	-1.272699	-1.043158
PLIN1_053	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_E07	2	1	plate03	fasted	7	E	J07	257100	302600	279850	11.49664	NA	267123.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	7.245611	20.58412	J	7	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	279850	45500	1.176974	201	0	1	6.562463	.8031726	1.113194
PLIN1_045	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_E06	1	2	plate03	fasted	6	E	J06	246900	276300	261600	7.946842	NA	248873.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	6.731828	19.12451	J	6	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	261600	29400	1.119076	202	1	1	.3138533	.5109658	.3811055
PLIN1_037	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_E05	1	1	plate03	fasted	5	E	J05	227400	236400	231900	2.74427	NA	219173.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	5.895698	16.74914	J	5	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	231900	9000	1.039578	203	0	1	-2.062265	.217107	-.0195843
PLIN1_029	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_E04	2	2	plate03	fasted	4	E	J04	173200	216800	195000	15.81018	NA	182273.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.856871	13.79793	J	4	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	195000	43600	1.251732	204	1	1	-.2259806	-.2573935	.217107
PLIN1_021	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_E03	2	1	plate03	fasted	3	E	J03			172950		NA	160223.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.236108		J	3	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	172950	136700	2.306883	205	0	1			
PLIN1_013	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_E02	1	2	plate03	fasted	2	E	J02	216200	307500	261850	24.6549	NA	249123.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	6.738866	19.1445	J	2	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	261850	91300	1.422294	206	1	1	.3308487	.5561256	.4235761
PLIN1_005	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_E01	1	1	plate03	fasted	1	E	J01	244600	308100	276350	16.24798	NA	263623.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	7.147077	20.3042	J	1	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	276350	63500	1.259608	207	0	1	1.48979	.7502154	.6024495
PLIN1_078	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_F10	2	1	plate03	fasted	10	F	L10	256500	295200	275850	9.920259	NA	263123.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	7.133001	20.26421	L	10	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	275850	38700	1.150877	240	0	1	6.213304	.6992833	1.043158
PLIN1_070	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_F09	2	1	plate03	fasted	9	F	L09	287100	327600	307350	9.317659	NA	294623.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	8.019805	22.78354	L	9	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	307350	40500	1.141066	241	0	1	8.731885	1.043158	1.189164
PLIN1_054	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_F07	2	1	plate03	fasted	7	F	L07	99220	104500	101860	3.665348	NA	89133.25	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	2.234746	6.348711	L	7	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	101860	5280	1.053215	242	0	1	-7.703691	-1.601009	-1.473468
PLIN1_046	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_F06	1	2	plate03	fasted	6	F	L06	114300	150500	132400	19.33328	NA	119673.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	3.094524	8.791261	L	6	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	132400	36200	1.31671	243	1	1	-10.05014	-.8584844	-2.417559
PLIN1_038	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_F05	1	1	plate03	fasted	5	F	L05	232600	230500	231550	.6412975	NA	218823.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	5.885845	16.72115	L	5	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	231550	2100	.9909716	244	0	1	-2.120999	.1771698	-.0587829
PLIN1_030	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_F04	2	2	plate03	fasted	4	F	L04	147600	173500	160550	11.40708	NA	147823.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	3.887017	11.04266	L	4	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	160550	25900	1.175474	245	1	1	-3.011989	-.5561256	-.217107
PLIN1_022	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_F03	2	1	plate03	fasted	3	F	L03			101420		NA	88693.25	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	2.222359		L	3	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	101420	90760	2.619557	246	0	1			
PLIN1_014	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_F02	1	2	plate03	fasted	2	F	L02			272350		NA	259623.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	7.034467		L	2	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	272350	129500	1.623796	247	1	1			
PLIN1_006	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_F01	1	1	plate03	fasted	1	F	L01	227100	277800	252450	14.20096	NA	239723.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	6.474232	18.3927	L	1	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	252450	50700	1.22325	248	0	1	-.452444	.4235761	.1771698
PLIN1_079	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_G10	2	1	plate03	fasted	10	G	N10	435900	460900	448400	3.942388	NA	435673.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	11.99072	34.06453	N	10	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	448400	25000	1.057353	280	0	1	19.98364	1.601009	1.987428
PLIN1_071	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_G09	2	1	plate03	fasted	9	G	N09	325700	373700	349700	9.705784	NA	336973.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	9.212064	26.17064	N	9	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	349700	48000	1.147375	281	0	1	12.08899	1.366204	1.366204
PLIN1_055	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_G07	2	1	plate03	fasted	7	G	N07	172700	181700	177200	3.5914	NA	164473.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.355756	12.37431	N	7	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	177200	9000	1.052114	282	0	1	-1.708087	-.3393116	.0195843
